Yes ^uh++++=Yes,
at ^in++++=at
the ^ati++++=the
opera ^nn++++=opera
listening ^vwbg+++xvbg+=listening
to ^to++++=to
" ^zz++++="Carmen."
carmen ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
as ^ql++++=as
everywhere ^rb++++=everywhere.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
behind ^in+pl+++=behind
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
has ^vbz+hvz+vrb++=has
his ^pp$+pp3+++=his
feet ^nns++++=feet
on ^in++++=on
the ^ati++++=the
lower ^jjr+atrb+++=lower
bar ^nn++++=bar
of ^in++++=of
my ^pp$+pp1+++=my
fauteuil ^nn+++??+=fauteuil.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
hums ^nns+++??+=hums
the ^ati++++=the
tune ^nn++++=tune
of ^in++++=of
the ^ati++++=the
duet ^nn++++=duet
in ^in++++=in
the ^ati++++=the
last ^rb++++=last
act ^nn++++=act,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
through ^in++++=through
his ^pp$+pp3+++=his
feet ^nns++++=feet
communicates ^nns+nom+++=communicates
to ^in++++=to
my ^pp$+pp1+++=my
nerves ^nns++++=nerves
every ^at++++=every
movement ^nn+nom+++=movement
of ^in++++=of
his ^pp$+pp3+++=his
body ^nn++++=body.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
entr ^nn+++??+=entr'act,
'act, ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
hear ^vb+vprv+++=hear
him ^pp3o+pp3+++=him
speaking ^nvbg+++xvbg+=speaking
in ^in++++=in
a ^at++++=a
voice ^nn++++=voice
pitched ^vbd+++xvbn+=pitched
high ^np++++=high
enough ^qlp++++=enough
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
hear ^vbi+vprv+++=hear:
: ^zz++++=EXTRAWORD
" ^zz++++="Wonderful
wonderful ^jj+atrb+++=EXTRAWORD
gramophone ^nn++++=gramophone
records ^nns++++=records
the ^ati++++=the
Zadodadofs ^np+++??+=Zadodadofs
have ^vb+hv+vrb++=have.
. ^zz++++=EXTRAWORD
Shalapin ^np+++??+=Shalapin
absolutely ^rb+amp+++=absolutely.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
the ^ati++++=the
difference ^nn+nom+++=difference."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
he ^pp3a+pp3+++=he
or ^cc++++=or
someone ^pn++++=someone
like ^in++++=like
him ^pp3o+pp3+++=him
who ^whp+who+++=who
invented ^vbd+++xvbn+=invented
the ^ati++++=the
barrel ^nn++++=barrel
organ ^nn++++=organ,
, ^zz++++=EXTRAWORD
the ^ati++++=the
gramophone ^nn++++=gramophone,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bioscope ^nn+++??+=bioscope,
, ^zz++++=EXTRAWORD
the ^ati++++=the
photophone ^nn+++??+=photophone,
, ^zz++++=EXTRAWORD
the ^ati++++=the
biograph ^nn+++??+=biograph,
, ^zz++++=EXTRAWORD
the ^ati++++=the
phonograph ^nn+++??+=phonograph,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pathephone ^nn+++??+=pathephone,
, ^zz++++=EXTRAWORD
the ^ati++++=the
musical ^jj+atrb+++=musical
box ^nn++++=box,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pianino ^np++++=pianino,
, ^zz++++=EXTRAWORD
the ^ati++++=the
motor ^nn++++=motor
car ^nn++++=car,
, ^zz++++=EXTRAWORD
paper ^nn++++=paper
collars ^nns++++=collars,
, ^zz++++=EXTRAWORD
oleographs ^nns+++??+=oleographs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
newspapers ^nns+nom+++=newspapers.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
getting ^nn++++=getting
away ^in+pl+++=away
from ^in"++++=from
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
flee ^vb++++=flee
away ^rp+pl+++=away
at ^in++++=at
night ^nn++++=night
to ^in++++=to
the ^ati++++=the
wild ^jj+atrb+++=wild
seashore ^nn+++??+=seashore,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lie ^vb++++=lie
down ^rp++++=down
in ^in++++=in
solitude ^nn++++=solitude
upon ^in++++=upon
a ^at++++=a
cliff ^nn++++=cliff,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
steals ^vbz++++=steals
after ^in++++=after
me ^pp1o+pp1+++=me
in ^in++++=in
the ^ati++++=the
shadow ^nn++++=shadow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
suddenly ^rb++++=suddenly
the ^ati++++=the
silencers ^nns+nom+++=silencers
broken ^vwbn+++xvbn+=broken
by ^in++++=by
a ^at++++=a
self ^nn++++=self-satisfied
- ^zz++++=EXTRAWORD
satisfied ^jj+atrb++xvbn+=EXTRAWORD
voice ^nn++++=voice
which ^whp+rel+subj++=which
says ^vbz+vpub+++=says:
: ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
a ^at++++=a
lovely ^jj+atrb+++=lovely
night ^nn++++=night,
, ^zz++++=EXTRAWORD
Katenka ^np+++??+=Katenka,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
The ^ati++++=The
clouds ^nns++++=clouds,
, ^zz++++=EXTRAWORD
eh ^uh++++=eh,
, ^zz++++=EXTRAWORD
look ^vb++++=look
at ^rb++++=at
them ^pp3o+pp3+++=them!
! ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
as ^in++++=as
in ^in"++++=in
a ^at++++=a
picture ^nn++++=picture.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
a ^at++++=a
painter ^nn++++=painter
painted ^vbd+++xvbn+=painted
them ^pp3o+pp3+++=them
just ^rb+emph+++=just
like ^in++++=like
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
would ^md+prd+++=would
say ^vb+vpub+tht0++=say
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
true ^jj+pred+++=true
to ^in++++=to
Nature ^nn++++=Nature?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+aux++=has
killed ^vprf+++xvbnx+=killed
the ^ati++++=the
best ^jjt+atrb+++=best
minutes ^nns++++=minutes
of ^in++++=of
my ^pp$+pp1+++=my
life ^nn++++=life
minutes ^nns++++=minutes
of ^in++++=of
love ^nn++++=love,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dear ^uh++++=dear
sweet ^nn++++=sweet
nights ^nns++++=nights
of ^in++++=of
youth ^nn++++=youth.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
often ^rb+cnj+++=often,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
wandered ^vprf+++xvbnx+=wandered
arm ^vb++++=arm
in ^in++++=in
arm ^nn++++=arm
with ^in++++=with
the ^ati++++=the
most ^ql+emph+++=most
beauteous ^jj+atrb+++=beauteous
creation ^nn+nom+++=creation
of ^in++++=of
Nature ^nn++++=Nature,
, ^zz++++=EXTRAWORD
along ^in++++=along
an ^at++++=an
avenue ^nn++++=avenue
where ^wrb+who+++=where,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
the ^ati++++=the
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
the ^ati++++=the
silver ^nn++++=silver
moonlight ^nn++++=moonlight
was ^vbd+bedz+vrb++=was
in ^in++++=in
pattern ^nn++++=pattern
with ^in++++=with
the ^ati++++=the
shadows ^nps++++=shadows
of ^in++++=of
the ^ati++++=the
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
has ^vbz+hvz+vrb++=has
suddenly ^rb++++=suddenly
and ^cc+phrs+++=and
unexpectedly ^rb++++=unexpectedly
spoken ^vbd+++xvbn+=spoken
up ^in+cmpx+++=up
to ^in"++++=to
me ^pp1o+pp1+++=me
in ^in++++=in
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
rested ^vprf+++xvbnx+=rested
his ^pp$+pp3+++=his
head ^jjb++++=head
on ^in++++=on
my ^pp$+pp1+++=my
shoulder ^nn+nom+++=shoulder
and ^cc++++=and
cried ^vbd+++xvbn+=cried
out ^rp+pl+++=out
in ^in++++=in
a ^at++++=a
theatrical ^jj+atrb+++=theatrical
tone ^nn++++=tone:
: ^zz++++=EXTRAWORD
" ^zz++++="Tell
tell ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
love ^vb++++=love
to ^to+vcmp+++=to
dream ^vb++++=dream
by ^in++++=by
moonlight ^nn++++=moonlight?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Or ^cc++++=Or:
: ^zz++++=EXTRAWORD
" ^zz++++="Tell
tell ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
love ^vb++++=love
Nature ^nn++++=Nature?
? ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
madly ^rb++++=madly
adore ^vb++++=adore
Nature ^nn++++=Nature."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
many ^ap++++=many
shaped ^jj+++xvbn+=shaped
and ^cc++++=and
many ^ap++++=many
faced ^jj+++xvbn+=faced,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
persecutor ^nn++++=persecutor,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
was ^vbd+bedz+vrb++=was
always ^rb++++=always
the ^ati++++=the
same ^ap++++=same
underneath ^in+strn+++=underneath.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
upon ^in++++=upon
occasion ^nn++++=occasion
the ^ati++++=the
guise ^nn++++=guise
of ^in++++=of
professor ^nn++++=professor,
, ^zz++++=EXTRAWORD
doctor ^nn++++=doctor,
, ^zz++++=EXTRAWORD
engineer ^nn+nom+++=engineer,
, ^zz++++=EXTRAWORD
lady ^npt++++=lady
doctor ^nn++++=doctor,
, ^zz++++=EXTRAWORD
advocate ^nn+nom+++=advocate,
, ^zz++++=EXTRAWORD
girl ^nn++++=girl-student,
- ^zz++++=EXTRAWORD
student ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
author ^nn++++=author,
, ^zz++++=EXTRAWORD
wife ^nn++++=wife
of ^in++++=of
the ^ati++++=the
excise ^nn++++=excise
inspector ^nn++++=inspector,
, ^zz++++=EXTRAWORD
official ^jj++++=official,
, ^zz++++=EXTRAWORD
passenger ^nn+nom+++=passenger,
, ^zz++++=EXTRAWORD
customer ^nn+nom+++=customer,
, ^zz++++=EXTRAWORD
guest ^nn++++=guest,
, ^zz++++=EXTRAWORD
stranger ^nn+nom+++=stranger,
, ^zz++++=EXTRAWORD
spectator ^nn++++=spectator,
, ^zz++++=EXTRAWORD
reader ^nn++++=reader,
, ^zz++++=EXTRAWORD
neighbour ^nn++++=neighbour
at ^in++++=at
a ^at++++=a
country ^nn++++=country
house ^nn++++=house.
. ^zz++++=EXTRAWORD
In ^in++++=In
early ^jj+atrb+++=early
youth ^nn++++=youth
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
the ^ati++++=the
stupidity ^nn+nom+++=stupidity
to ^to++++=to
think ^vbi+vprv+++=think
that ^tht+vcmp+++=that
these ^dt+pdem+++=these
were ^vbd+bed+aux++=were
all ^abn++++=all
separate ^nn+nom+++=separate
people ^nns++++=people.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
all ^abn++++=all
one ^cd1++++=one
and ^cc++++=and
the ^ati++++=the
same ^ap++++=same.
. ^zz++++=EXTRAWORD
Bitter ^jj+atrb+++=Bitter
experience ^nn+nom+++=experience
has ^vbz+hvz+aux++=has
at ^rb++splt++=at
last ^rb"++++=last
discovered ^vbd+vprv++xvbn+=discovered
to ^in++++=to
me ^pp1o+pp1+++=me
his ^pp$+pp3+++=his
name ^nn++++=name.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
Russian ^jj++++=Russian
intelligent ^jj++++=intelligent.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
has ^vbz+hvz+vrb++=has
at ^in++++=at
any ^dti++++=any
time ^nn++++=time
missed ^vbd+++xvbn+=missed
me ^pp1o+pp1+++=me
personally ^rb+cnj+++=personally,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
left ^vprf+++xvbnx+=left
everywhere ^rb++++=everywhere
his ^pp$+pp3+++=his
traces ^nns++++=traces,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
visiting ^jj+atrb++xvbg+=visiting
cards ^nns++++=cards.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
heights ^nns++++=heights
of ^in++++=of
Barchau ^np+++??+=Barchau
and ^cc++++=and
Machuka ^np+++??+=Machuka
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
found ^vprf+++xvbnx+=found
his ^pp$+pp3+++=his
orange ^nn++++=orange
peelings ^nns+nom+++=peelings,
, ^zz++++=EXTRAWORD
sardine ^nn+++??+=sardine
tins ^nns++++=tins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
chocolate ^nn+nom+++=chocolate
wrappings ^nns++++=wrappings.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
rocks ^nns++++=rocks
of ^in++++=of
Aloopka ^np+++??+=Aloopka,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
belfry ^nn++++=belfry
of ^in++++=of
St ^npt++++=St.
. ^zz++++=EXTRAWORD
John ^np++++=John,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
granites ^nns++++=granites
of ^in++++=of
Imatra ^np+++??+=Imatra,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
walls ^nns++++=walls
of ^in++++=of
Bakhchisari ^np+++??+=Bakhchisari,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
grotto ^nn+++??+=grotto
of ^in++++=of
Lermontof ^np+++??+=Lermontof,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
found ^vprf+++xvbnx+=found
the ^ati++++=the
following ^jj+atrb++xvbg+=following
signatures ^nns++++=signatures
and ^cc++++=and
remarks ^nns++++=remarks:
: ^zz++++=EXTRAWORD
" ^zz++++="Pusia
pusia ^nn+++??+=EXTRAWORD
and ^cc++++=and
Kuziki ^np+++??+=Kuziki
1908 ^cd+date+++=1908
year ^nn++++=year
27 ^cd++++=27
February ^nr+nom+++=February."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ivanof."
ivanof ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A.
a ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Plokhokhostof ^np+++??+=Plokhokhostof
( ^zz++++=(Bad-tail)
bad ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
tail ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
from ^in++++=from
Saratof ^np+++??+=Saratof."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ivanof."
ivanof ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Pechora
pechora ^nn+++??+=EXTRAWORD
girl ^nn++++=girl."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ivanof."
ivanof ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="M.D.
m.d ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
P.a.p.. ^np+++??+=P.A.P....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Talotchka ^np+++??+=Talotchka
and ^cc++++=and
Achmet ^np+++??+=Achmet."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ivanof."
ivanof ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Trophim
trophim ^nn+++??+=EXTRAWORD
Sinepupof ^np+++??+=Sinepupof.
. ^zz++++=EXTRAWORD
Samara ^np+++??+=Samara
Town ^nn++++=Town."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ivanof."
ivanof ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Adel
adel ^nn+++??+=EXTRAWORD
Soloveitchik ^np+++??+=Soloveitchik
from ^in++++=from
Minsk ^np+++??+=Minsk."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ivanof."
ivanof ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="From
from ^in++++=EXTRAWORD
this ^dt+dem+++=this
height ^nn++++=height
I ^pp1a+pp1+++=I
delighted ^vbd+++xvbnx+=delighted
in ^in++++=in
the ^ati++++=the
view ^nn++++=view
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
C ^zz++++=C.
. ^zz++++=EXTRAWORD
Nicodemus ^np+++??+=NICODEMUS
Ivanovitch ^np+++??+=IVANOVITCH
Bezuprechny ^np+++??+=BEZUPRECHNY."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ivanof."
ivanof ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
read ^vprf+++xvbnx+=read
his ^pp$+pp3+++=his
verses ^nns++++=verses
and ^cc++++=and
remarks ^nns++++=remarks
in ^in++++=in
all ^abn++++=all
visiting ^jj+atrb++xvbg+=visiting
books ^nns++++=books,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
Puskhin ^np++++=Puskhin's
's ^$++++=EXTRAWORD
house ^npl++++=house,
, ^zz++++=EXTRAWORD
at ^in++++=at
Lermontof ^np++++=Lermontof's
's ^$++++=EXTRAWORD
Cliff ^np++++=Cliff,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
ancient ^jj+atrb+++=ancient
monasteries ^nns+nom+++=monasteries
have ^vb+hv+aux++=have
read ^vprf+++xvbnx+=read:
: ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
Troakofs ^np+++??+=Troakofs
came ^vbd+++xvbn+=came
here ^rn+pl+++=here
from ^in++++=from
Penza ^np+++??+=Penza,
, ^zz++++=EXTRAWORD
drank ^jj+atrb++xvbn+=drank
kvas ^nns+++??+=kvas
and ^cc++++=and
ate ^vbd+++xvbn+=ate
sturgeon ^nn++++=sturgeon.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
wish ^vb+vprv+++=wish
the ^ati++++=the
same ^ap++++=same
to ^in++++=to
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or
" ^zz++++="Visited
visited ^vbd+++xvbn+=EXTRAWORD
the ^ati++++=the
natal ^np++++=natal
ash ^nn++++=ash-tray
- ^zz++++=EXTRAWORD
tray ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
Russian ^jj+atrb+++=Russian
poet ^nn++++=poet,
, ^zz++++=EXTRAWORD
Chichkin ^np+++??+=Chichkin,
, ^zz++++=EXTRAWORD
teacher ^nn++++=teacher
of ^in++++=of
caligraphy ^nn+++??+=caligraphy,
, ^zz++++=EXTRAWORD
Voronezh ^np+++??+=Voronezh
High ^jj+atrb+++=High
School ^nn++++=School
for ^in++++=for
Boys ^nns++++=Boys,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or
I ^pp1a+pp1+++=I
needed ^vbd+++xvbnx+=needed
but ^cc++++=but
to ^to++++=to
pick ^vbi++++=pick
up ^rp++++=up
my ^pp$+pp1+++=my
favourite ^jjb+atrb+++=favourite
Russian ^jj+atrb+++=Russian
book ^nn++++=book,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
upon ^in+ppvb+++=upon
him ^pp3o+pp3+++=him
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
read ^vprf+++xvbnx+=read
this ^dt+dem+++=this
book ^nn++++=book.
. ^zz++++=EXTRAWORD
Pafnutenko ^np+++??+=PAFNUTENKO."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
author ^nn++++=author
is ^vbz+bez+vrb++=is
a ^at++++=a
blockhead ^nn+++??+=blockhead."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Author ^np++++=Author
has ^vbz+hvz+aux++=hasn't
n't ^xnot++not++0=EXTRAWORD
read ^vb+vprv++xvbn+=read
Karl ^np++++=Karl
Marx ^np++++=Marx."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
turn ^nn++++=turn
over ^in++++=over
the ^ati++++=the
pages ^nns++++=pages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
find ^vb+vprv+tht0++=find
his ^pp$+pp3+++=his
notes ^nns++++=notes
in ^in++++=in
all ^abn++++=all
the ^ati++++=the
margins ^nns++++=margins.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
no ^at++++=no
one ^pn++++=one
like ^in++++=like
he ^pp3a+pp3+++=he
turns ^vbz++++=turns
down ^rb+phrv+++=down
corners ^nns+nom+++=corners
and ^cc++++=and
makes ^vbz++++=makes
dog ^nn++++=dog-ears,
- ^zz++++=EXTRAWORD
ears ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
tears ^nns++++=tears
out ^rp+pl+++=out
pages ^nns++++=pages,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
drops ^nns++++=drops
grease ^nn++++=grease
on ^rp++++=on
them ^pp3o+pp3+++=them
from ^in++++=from
tallow ^nn+++??+=tallow
candles ^nns++++=candles.
. ^zz++++=EXTRAWORD
Gentlemen ^nns++++=Gentlemen,
, ^zz++++=EXTRAWORD
judges ^nns++++=judges,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
hard ^jj+pred+++=hard
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
go ^vbi++++=go
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
man ^nn++++=man
has ^vbz+hvz+aux++=has
abused ^vprf+++xvbnx+=abused,
, ^zz++++=EXTRAWORD
fouled ^j+++xvbn+=fouled,
, ^zz++++=EXTRAWORD
vulgarised ^j+++xvbn+=vulgarised
all ^abn++++=all
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
dear ^jj+pred+++=dear
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
delicate ^jj++++=delicate
and ^cc+phrs+++=and
touching ^jj+++xvbg+=touching.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
struggled ^vbd+++xvbnx+=struggled
a ^at++++=a
long ^rb++++=long
while ^cs+sub+++=while
with ^in++++=with
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
Years ^nns++++=Years
went ^vwbn+++xvbn+=went
by ^in+strn+++=by.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
nerves ^nns++++=nerves
became ^vbd+++xvbn+=became
more ^rbr++++=more
irritable ^jj++++=irritable
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
room ^nn++++=room
for ^in++++=for
both ^abx++++=both
of ^in++++=of
us ^pp1o+pp1+++=us
in ^in++++=in
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
us ^pp1o+pp1+++=us
had ^md"++pmd"++=had
to ^md+nec+++=to
go ^vb++++=go.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
foresaw ^vbd+++xvbnx+=foresaw
for ^in++++=for
a ^at++++=a
long ^rb++++=long
while ^cs+sub+++=while
that ^dt+dem+++=that
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
just ^rb+emph+++=just
some ^dti++++=some
little ^jj+atrb+++=little
trifle ^nn++++=trifle
that ^tht+rel+subj++=that
would ^md+prd+++=would
drive ^vb++++=drive
me ^pp1o+pp1+++=me
to ^in++++=to
the ^ati++++=the
crime ^nn++++=crime.
. ^zz++++=EXTRAWORD
So ^ql++++=So
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
the ^ati++++=the
particulars ^nns++++=particulars.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
compartment ^nn+nom+++=compartment
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
a ^at++++=a
crush ^vb++++=crush;
; ^zz++++=EXTRAWORD
the ^ati++++=the
passengers ^nns+nom+++=passengers
were ^vbd+bed+aux++=were
sitting ^vbg+++xvbgx+=sitting
on ^in++++=on
one ^cd1++++=one
another ^dt++++=another's
