" ^zz++++="All
minute ^nn++++=minute
on ^in++++=on
the ^ati++++=the
verge ^nn++++=verge
of ^in++++=of
the ^ati++++=the
laurels ^nns++++=laurels,
, ^zz++++=EXTRAWORD
unobserved ^jj++++=unobserved,
, ^zz++++=EXTRAWORD
considering ^vbg+++xvbg+=considering
the ^ati++++=the
picture ^nn++++=picture
they ^pp3a+pp3+++=they
made ^vbd+++xvbnx+=made,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ruinous ^jj+atrb+++=ruinous
Jacobean ^np+nom++??+=Jacobean
house ^npl++++=house
that ^tht+rel+++=that
formed ^jj+++xvbn+=formed
its ^pp$+it+++=its
background ^nn++++=background.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
was ^vbd+bedz+vrb++=was
house ^nn++++=house
more ^rbr++++=more
eloquent ^jj++++=eloquent
of ^in++++=of
desolation ^nn+nom+++=desolation.
. ^zz++++=EXTRAWORD
Unpainted ^jj+atrb+++=Unpainted
shutters ^nns+nom+++=shutters,
, ^zz++++=EXTRAWORD
cracking ^nvbg+++xvbg+=cracking
in ^in++++=in
the ^ati++++=the
heat ^nn++++=heat,
, ^zz++++=EXTRAWORD
blocked ^jj+atrb++xvbn+=blocked
one ^cd1++++=one
half ^nn++++=half
of ^in++++=of
its ^pp$+it+++=its
windows ^nns++++=windows.
. ^zz++++=EXTRAWORD
Weather ^nn++++=Weather-stains
- ^zz++++=EXTRAWORD
stains ^nns++++=EXTRAWORD
ran ^vbd+++xvbn+=ran
down ^rb+phrv+++=down
the ^ati++++=the
slates ^nns++++=slates
from ^in++++=from
the ^ati++++=the
lantern ^nn++++=lantern
on ^in++++=on
the ^ati++++=the
main ^jjb+atrb+++=main
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lantern ^nn++++=lantern
over ^in++++=over
the ^ati++++=the
stable ^nn++++=stable
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
its ^pp$+it+++=its
vane ^np++++=vane,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
stable ^jj++++=stable-clock
- ^zz++++=EXTRAWORD
clock ^nn++++=EXTRAWORD
its ^pp$+it+++=its
minute ^nn++++=minute-hand.
- ^zz++++=EXTRAWORD
hand ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
very ^ql+amp+++=very
nails ^nns++++=nails
had ^vbd+hvd+aux++=had
dropped ^vprf+++xvbnx+=dropped
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
gable ^nn++++=gable
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wistaria ^nn++++=wistaria
and ^cc++++=and
Gloire ^np+++??+=Gloire
de ^&fw++++=de
Dijons ^np+++??+=Dijons
they ^pp3a+pp3+++=they
should ^md+nec+++=should
have ^vb+hv+aux++=have
supported ^vprf+++xvbnx+=supported
trailed ^vprf+++xvbn+=trailed
down ^rp++++=down
in ^in++++=in
tangles ^nns++++=tangles,
, ^zz++++=EXTRAWORD
like ^in++++=like
curtains ^nns++++=curtains.
. ^zz++++=EXTRAWORD
Grass ^nn++++=Grass
choked ^vbd+++xvbn+=choked
the ^ati++++=the
rain ^nn++++=rain-pipes,
- ^zz++++=EXTRAWORD
pipes ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
moss ^np++++=moss
dappled ^vbd+++xvbn+=dappled
the ^ati++++=the
gravel ^nn++++=gravel
walk ^nn++++=walk.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
border ^nn++++=border
at ^in++++=at
my ^pp$+pp1+++=my
feet ^nns++++=feet
someone ^pn++++=someone
had ^vbd+hvd+aux++=had
attempted ^vprf+++xvbnx+=attempted
a ^at++++=a
clearance ^nn+nom+++=clearance
of ^in++++=of
the ^ati++++=the
weeds ^nns++++=weeds;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
here ^rn+pl+++=here
lay ^jjb+++xvbn+=lay
his ^pp$+pp3+++=his
hoe ^vb++++=hoe,
, ^zz++++=EXTRAWORD
matted ^j+++xvbn+=matted
with ^in++++=with
bindweed ^nn++++=bindweed
and ^cc++++=and
ring ^nn++++=ring-streaked
- ^zz++++=EXTRAWORD
streaked ^xvbn+++xvbn+=EXTRAWORD
with ^in++++=with
the ^ati++++=the
silvery ^jj+atrb+++=silvery
tracks ^nns++++=tracks
of ^in++++=of
snails ^nns++++=snails.
. ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
Lobelia ^np+++??+=Lobelia.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
will ^md+prd+++=will
be ^vb+be+vrb++=be
sensible ^jj+atrb+++=sensible
house ^nn++++=house-maid
- ^zz++++=EXTRAWORD
maid ^np++++=EXTRAWORD
and ^cc++++=and
cook ^nn++++=cook,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
talk ^nn++++=talk
of ^in++++=of
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
came ^vbd+++xvbn+=came
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe,
, ^zz++++=EXTRAWORD
to ^to++++=to
cut ^vbi++++=cut
a ^at++++=a
cabbage ^nn+nom+++=cabbage-leaf
- ^zz++++=EXTRAWORD
leaf ^nn++++=EXTRAWORD
to ^to++++=to
make ^vbi++++=make
an ^at++++=an
apple ^nn++++=apple-pie"-At
- ^zz++++=EXTRAWORD
pie" ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
at ^rb++++=EXTRAWORD
this ^dt+dem+++=this
point ^nn++++=point
happening ^vb+++xvbg+=happening
to ^to+vcmp+++=to
turn ^vbi++++=turn
her ^pp$+pp3+++=her
head ^jjb++++=head
she ^pp3a+pp3+++=she
caught ^vbd+++xvbnx+=caught
sight ^nn++++=sight
of ^in++++=of
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stopped ^vpsv++agls+xvbn+=stopped
with ^in++++=with
a ^at++++=a
slight ^jj+atrb+++=slight,
, ^zz++++=EXTRAWORD
embarrassed ^jj+atrb++xvbn+=embarrassed
laugh ^nn++++=laugh.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
raised ^vbd+++xvbnx+=raised
my ^pp$+pp1+++=my
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
beg ^vb++++=beg
your ^pp$+pp2+++=your
pardon ^nn++++=pardon,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
strangers ^nns+nom+++=strangers
are ^vb+ber+aux++=are
admitted ^vpsv++agls+xvbnx+=admitted
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
beg ^vb++++=beg
your ^pp$+pp2+++=your
pardon" ^nn+++??+=pardon"--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
began ^vbd+++xvbnx+=began;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
shifted ^vbd+++xvbnx+=shifted
my ^pp$+pp1+++=my
walking ^vbg+++xvbg+=walking-stick,
- ^zz++++=EXTRAWORD
stick ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
foolish ^jj+atrb+++=foolish
ankle ^nn++++=ankle
gave ^vbd+++xvbn+=gave
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
plump ^jj++++=plump
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
in ^in++++=in
the ^ati++++=the
very ^ql+amp+++=very
middle ^jjb++++=middle
of ^in++++=of
the ^ati++++=the
bindweed ^nn++++=bindweed.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
ill ^jj+pred+++=ill?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
came ^vbd+++xvbnx+=came
quickly ^rb++++=quickly
towards ^in++++=towards
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
halted ^jj+++xvbn+=halted
a ^at++++=a
pace ^nn++++=pace
or ^cc++++=or
two ^cd++++=two
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
look ^vb++++=look
as ^cs+sub+++=as
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
going ^md"++pmd"++=going
to ^md+prd+++=to
faint ^vb++++=faint."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
try ^vb++++=try
not ^xnot++not++=not
to ^in+strn+++=to,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
fact ^nn++++=fact
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
just ^rb+emph+splt++=just
twisted ^vprf+++xvbnx+=twisted
my ^pp$+pp1+++=my
ankle ^nn++++=ankle
on ^in++++=on
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
Skirrid ^np+++??+=Skirrid,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
told ^vpsv++agls+xvbnx+=told
the ^ati++++=the
shortest ^jjt+atrb+++=shortest
way ^nn++++=way
to ^in++++=to
the ^ati++++=the
station ^nn+nom+++=station."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+tht0++=believe
you ^pp2+pp2+++=you
can ^md+pos+++=can
walk ^vb++++=walk;
; ^zz++++=EXTRAWORD
and" ^nn+++??+=and"--she
-- ^--+clp+++=EXTRAWORD
she ^pp3a+pp3+++=EXTRAWORD
hesitated ^vbd+++xvbnx+=hesitated
a ^at++++=a
second ^rb+cnj+++=second,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
went ^vbd+++xvbn+=went
on ^in++++=on
defiantly ^rb++++=defiantly--"we
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
no ^at++++=no
carriage ^nn+nom+++=carriage
to ^to++++=to
take ^vbi++++=take
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
not ^xnot++not++=not
think ^vb+vprv+++=think
of ^in++++=of
putting ^xvbg+++xvbg+=putting
you ^pp2+pp2+++=you
to ^in++++=to
any ^dti++++=any
such ^abl++++=such
trouble ^nn++++=trouble."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Also,
also ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
reach ^vbi++++=reach
Aber ^np+++??+=Aber,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
train ^nn++++=train
for ^in++++=for
the ^ati++++=the
next ^ap++++=next
two ^cd++++=two
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
come ^vb++++=come
in ^in++++=in
and ^cc++++=and
rest ^nn++++=rest."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
really ^rb+emph+++=really
" ^zz++++="-"I
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
mistress ^nns+nom+++=mistress
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
Wilhelmina ^np+++??+=Wilhelmina
Van ^&fw++++=Van
der ^&fw++++=der
Knoope ^np+++??+=Knoope."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Being ^vbg+beg++xvbg+=Being
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time
on ^in++++=on
my ^pp$+pp1+++=my
feet ^nns++++=feet
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
bowed ^vbd+++xvbnx+=bowed
and ^cc+phrs+++=and
introduced ^vbd+++xvbn+=introduced
myself ^ppl+pp1+++=myself
by ^in++++=by
name ^nn++++=name.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
nodded ^vbd+++xvbnx+=nodded.
. ^zz++++=EXTRAWORD
The ^ati++++=The
child ^nn++++=child
had ^vb+hv+vrb++=had
a ^at++++=a
thoughtful ^jj+atrb+++=thoughtful
face ^nn++++=face--thoughtful
-- ^--+clp+++=EXTRAWORD
thoughtful ^jj++++=EXTRAWORD
beyond ^in++++=beyond
her ^pp$+pp3+++=her
years ^nns++++=years--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
delicately ^rb++++=delicately
shaped ^jj+++xvbn+=shaped
rather ^rb++++=rather
than ^in++++=than
pretty ^rb++++=pretty.
. ^zz++++=EXTRAWORD
" ^zz++++="Lobelia,
lobelia ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
run ^j+++xvbn+=run
in ^in++++=in
and ^cc++++=and
tell ^vb++++=tell
the ^ati++++=the
Admirals ^nns+nom+++=Admirals
that ^tht+rel+obj++=that
a ^at++++=a
gentleman ^nn+nom+++=gentleman
has ^vbz+hvz+aux++=has
called ^vprf+++xvbnx+=called,
, ^zz++++=EXTRAWORD
with ^in++++=with
my ^pp$+pp1+++=my
permission ^nn++++=permission."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Having ^xvbg+++xvbg+=Having
dismissed ^vbd+++xvbn+=dismissed
the ^ati++++=the
handmaiden ^jj+++xvbn+=handmaiden,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
observed ^vbd+vprv++xvbnx+=observed
me ^pp1o+pp1+++=me
in ^in++++=in
silence ^nn+nom+++=silence
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
moments ^nns+nom+++=moments
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
unpinned ^vbd+++xvbnx+=unpinned
her ^pp3o+pp3+++=her
tartan ^nn++++=tartan
riding ^vwbg+++xvbg+=riding-skirt.
- ^zz++++=EXTRAWORD
skirt ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
removal ^nn++++=removal
disclosed ^vbd+vpub++xvbn+=disclosed,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not--as
-- ^--+clp+++=EXTRAWORD
as ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
expected ^vprf+++xvbnx+=expected--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
short ^jj+atrb+++=short
frock ^nn++++=frock,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
one ^pn++++=one
of ^in++++=of
quite ^rb++++=quite
womanly ^jj++++=womanly
length ^rb++++=length;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
carried ^vbd+++xvbnx+=carried
it ^pp3+it+++=it
with ^in++++=with
the ^ati++++=the
air ^nn++++=air
of ^in++++=of
a ^at++++=a
grown ^vprf+++xvbn+=grown
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
make ^vb++++=make
allowances ^nns+nom+++=allowances,
, ^zz++++=EXTRAWORD
please ^uh++++=please.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
mused ^vbd+++xvbnx+=mused,
, ^zz++++=EXTRAWORD
" ^zz++++="yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
really ^rb+emph+++=really
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you
will ^md+prd+++=will
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
help ^vb++++=help.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
must ^md+nec+++=must
not ^xnot++not++=not
be ^vb+be+aux++=be
surprised ^vpsv++agls+xvbnx+=surprised,
, ^zz++++=EXTRAWORD
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
walk ^nn++++=walk
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
will ^md+prd+++=will
you ^pp2+pp2+++=you
lean ^vb++++=lean
a ^at++++=a
hand ^nn++++=hand
on ^in++++=on
my ^pp$+pp1+++=my
shoulder ^nn+nom+++=shoulder?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
walk ^vb++++=walk
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
meant ^vbd+vprv+tht0+xvbnx+=meant
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
of ^in+emph+++=of
course ^nn+emph"+++=course
no ^at++++=no
inkling ^nn+nom+++=inkling;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
as ^ql++++=as
anxious ^jj++++=anxious
now ^rn+tm+++=now
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
come ^vbi++++=come
indoors ^rn+pl+++=indoors
as ^ql++++=as
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
prompt ^jj++++=prompt
at ^rb++++=at
first ^rb"++++=first
to ^to++++=to
warn ^vbi+vpub+++=warn
me ^pp1o+pp1+++=me
off ^in+pl+++=off
the ^ati++++=the
premises ^nns++++=premises.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
hobbled ^vbd+++xvbnx+=hobbled
after ^in++++=after
her ^pp$+pp3+++=her
towards ^in++++=towards
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
steps ^nns++++=steps
by ^in++++=by
the ^ati++++=the
side ^nn++++=side-door
- ^zz++++=EXTRAWORD
door ^nn++++=EXTRAWORD
she ^pp3a+pp3+++=she
turned ^vbd+++xvbnx+=turned
and ^cc+phrs+++=and
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
a ^at++++=a
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
passed ^vbd+++xvbn+=passed
across ^in+pl+++=across
a ^at++++=a
stone ^nn++++=stone-flagged
- ^zz++++=EXTRAWORD
flagged ^vbd+++xvbn+=EXTRAWORD
hall ^nn++++=hall
and ^cc++++=and
through ^in++++=through
a ^at++++=a
carpetless ^jj+atrb+++=carpetless
corridor ^nn++++=corridor,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
brought ^vbd+++xvbn+=brought
us ^pp1o+pp1+++=us
to ^in++++=to
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
the ^ati++++=the
grand ^jj+atrb+++=grand
staircase ^nn++++=staircase:
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
magnificent ^jj+atrb+++=magnificent
staircase ^nn++++=staircase
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
ornate ^jj++++=ornate
with ^in++++=with
twisted ^jj+atrb++xvbn+=twisted
balusters ^nns+nom+++=balusters
and ^cc++++=and
hung ^vpsv++agls+xvbn+=hung
with ^in++++=with
fine ^jj+atrb+++=fine
pictures ^nns++++=pictures,
, ^zz++++=EXTRAWORD
mostly ^rb++++=mostly
by ^in++++=by
old ^jj+atrb+++=old
Dutch ^nn++++=Dutch
masters ^nns+nom+++=masters.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
no ^at++++=no
carpet ^nn++++=carpet
covered ^vbd+++xvbn+=covered
the ^ati++++=the
broad ^jj+atrb+++=broad
steps ^nns++++=steps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
pictures ^nns++++=pictures
were ^vbd+bed+aux++=were
perishing ^vbg+++xvbgx+=perishing
in ^in++++=in
their ^pp$+pp3+++=their
frames ^nns++++=frames
for ^in++++=for
lack ^nn++++=lack
of ^in++++=of
varnish ^nn++++=varnish.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
halted ^vprf+++xvbnx+=halted
to ^to++++=to
stare ^vbi++++=stare
up ^rp++++=up
at ^in++++=at
a ^at++++=a
big ^jj+atrb+++=big
Hondecoeter ^np+nom++??+=Hondecoeter
that ^tht+rel+subj++=that
hung ^vwbn+++xvbn+=hung
in ^in++++=in
the ^ati++++=the
sunlight ^nn++++=sunlight
over ^in++++=over
the ^ati++++=the
first ^rb++++=first
short ^jj+atrb+++=short
flight ^nn++++=flight
of ^in++++=of
stairs ^nns++++=stairs--an
-- ^--+clp+++=EXTRAWORD
an ^at++++=EXTRAWORD
elaborate ^jj++++=elaborate
" ^zz++++="Parliament
parliament ^nn+nom+++=EXTRAWORD
of ^in++++=of
Fowls" ^np+++??+=Fowls"--when
-- ^--+clp+++=EXTRAWORD
when ^wrb+who+++=EXTRAWORD
the ^ati++++=the
girl ^nn++++=girl
turned ^vbd+++xvbn+=turned
the ^ati++++=the
handle ^nn++++=handle
of ^in++++=of
a ^at++++=a
door ^nn++++=door
to ^in++++=to
my ^pp$+pp1+++=my
right ^nn++++=right
and ^cc++++=and
entered ^vbd+++xvbn+=entered.
. ^zz++++=EXTRAWORD
" ^zz++++="Uncle
uncle ^nn++++=EXTRAWORD
Peter ^np++++=Peter,
, ^zz++++=EXTRAWORD
here ^rn+pl+++=here
is ^vbz+bez+vrb++=is
the ^ati++++=the
gentleman ^nn+nom+++=gentleman
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
called ^vprf+++xvbnx+=called
to ^to++++=to
see ^vbi+vprv+++=see
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
crossed ^vbd+++xvbnx+=crossed
the ^ati++++=the
threshold ^nn++++=threshold
I ^pp1a+pp1+++=I
heard ^vbd+vprv+tht0+xvbnx+=heard
a ^at++++=a
chair ^nn++++=chair
pushed ^vwbn+++xvbn+=pushed
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
very ^ql+amp+++=very
old ^jj+atrb+++=old
gentleman ^nn+nom+++=gentleman
rose ^vbd+++xvbn+=rose
to ^to++++=to
welcome ^vbi++++=welcome
me ^pp1o+pp1+++=me
at ^in++++=at
the ^ati++++=the
far ^rb+pl+++=far
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
cool ^jj+atrb+++=cool
and ^cc+phrs+++=and
shadowy ^jj+atrb+++=shadowy
room ^nn++++=room;
; ^zz++++=EXTRAWORD
a ^at++++=a
tall ^jj++++=tall
white ^jj++++=white-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
figure ^nn++++=figure
in ^in++++=in
a ^at++++=a
loose ^jj+atrb+++=loose
suit ^nn++++=suit
of ^in++++=of
holland ^np++++=holland.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
advance ^nn+nom+++=advance,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
held ^vbd+vprv++xvbn+=held
out ^rp+pl+++=out
a ^at++++=a
hand ^nn++++=hand
tentatively ^rb+cnj+++=tentatively,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
uncertain ^jj++++=uncertain
from ^in++++=from
what ^wdt+who+++=what
direction ^nn+nom+++=direction
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
advancing ^vbg+++xvbgx+=advancing.
. ^zz++++=EXTRAWORD
Almost ^rb+hdg+++=Almost
at ^rb++++=at
once ^rb"+tm+++=once
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
stone ^nn++++=stone-blind.
- ^zz++++=EXTRAWORD
blind ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
where ^wrb+who+++=where
is ^vbz+bez+vrb++=is
Uncle ^nn++++=Uncle
Melchior ^np+++??+=Melchior?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
Wilhelmina ^np+++??+=Wilhelmina.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
believe ^vb+vprv+tht0++=believe
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
working ^vbg+++xvbgx+=working
at ^rb++++=at
accounts ^nns++++=accounts,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
gentleman ^nn+nom+++=gentleman
answered ^vbd+vpub++xvbn+=answered-addressing
- ^zz++++=EXTRAWORD
addressing ^vbg+++xvbg+=EXTRAWORD
himself ^ppl+pp3+++=himself
to ^in++++=to
vacancy ^nn++++=vacancy,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
already ^rb++splt++=already
run ^vprf+++xvbnx+=run
from ^in++++=from
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shook ^vbd+++xvbnx+=shook
hands ^nns++++=hands
courteously ^rb++++=courteously
and ^cc++++=and
motioned ^jj+++xvbn+=motioned
me ^pp1o+pp1+++=me
to ^to++++=to
find ^vbi+vprv+++=find
a ^at++++=a
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
