End ^nn++++=End
and ^cc+cls+++=and
the ^ati++++=the
joy ^nn++++=joy
of ^in++++=of
the ^ati++++=the
soul ^nn++++=soul
compensating ^vwbg+++xvbg+=compensating
for ^in++++=for
the ^ati++++=the
desolation ^nn+nom+++=desolation
of ^in++++=of
things ^nns++++=things;
; ^zz++++=EXTRAWORD
the ^ati++++=the
alternating ^jj+atrb+++=alternating
dance ^nn++++=dance
of ^in++++=of
Nature ^nn++++=Nature,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
gives ^vbz++++=gives
her ^pp$+pp3+++=her
left ^vbd+++xvbn+=left
hand ^nn++++=hand
to ^in++++=to
Job ^nn++++=Job
and ^cc++++=and
her ^pp$+pp3+++=her
right ^nn++++=right
to ^to+ncmp+++=to
Sardanapalus ^vb+++??+=Sardanapalus.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
of ^in++++=of
my ^pp$+pp1+++=my
life ^nn++++=life?
? ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
ignorant ^jj+pred+++=ignorant
of ^in++++=of
human ^jj+atrb+++=human
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
ignorant ^jj++++=ignorant
of ^in++++=of
human ^jj+atrb+++=human
life ^nn++++=life?
? ^zz++++=EXTRAWORD
How ^wrb+who+++=How
laughable ^jj++++=laughable!
! ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come,
, ^zz++++=EXTRAWORD
perpetual ^jj+atrb+++=perpetual
man ^nn++++=man,
, ^zz++++=EXTRAWORD
explain ^vb+vpub+++=explain
yourself ^ppl+pp2+++=yourself.
. ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
me ^pp1o+pp1+++=me
everything ^pn++++=everything;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
left ^vbd+++xvbn+=left
Jerusalem ^np++++=Jerusalem
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
left ^vbd+++xvbnx+=left
Jerusalem ^np++++=Jerusalem.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
my ^pp$+pp1+++=my
wandering ^vbg+++xvbg+=wandering
through ^in++++=through
the ^ati++++=the
ages ^nns++++=ages.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
journeyed ^vbd+++xvbnx+=journeyed
everywhere ^rb+cnj+++=everywhere,
, ^zz++++=EXTRAWORD
whatever ^nn+nom+++=whatever
the ^ati++++=the
race ^nn++++=race,
, ^zz++++=EXTRAWORD
the ^ati++++=the
creed ^nn++++=creed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tongue ^nn++++=tongue;
; ^zz++++=EXTRAWORD
suns ^nns+++??+=suns
and ^cc++++=and
snows ^nps++++=snows,
, ^zz++++=EXTRAWORD
barbarous ^jj+atrb+++=barbarous
and ^cc+phrs+++=and
civilized ^jj+atrb+++=civilized
peoples ^nns++++=peoples,
, ^zz++++=EXTRAWORD
islands ^nns++++=islands,
, ^zz++++=EXTRAWORD
continents ^nns++++=continents;
; ^zz++++=EXTRAWORD
wherever ^nn+nom+++=wherever
a ^at++++=a
man ^nn++++=man
breathed ^vbd+++xvbn+=breathed,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
breathed ^vbd+++xvbn+=breathed
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
labored ^jj+++xvbn+=labored.
. ^zz++++=EXTRAWORD
Labor ^np+++??+=Labor
is ^vbz+bez+vrb++=is
a ^at++++=a
refuge ^nn++++=refuge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
refuge ^nn++++=refuge
was ^vbd+bedz+aux++=was
denied ^vpsv++agls+xvbnx+=denied
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
morning ^nn++++=morning
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
upon ^in++++=upon
me ^pp1o+pp1+++=me
the ^ati++++=the
necessary ^jj+atrb+++=necessary
money ^nn++++=money
for ^in++++=for
the ^ati++++=the
day ^nn++++=day
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See;
; ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
last ^jj+atrb+++=last
apportionment ^nn+nom+++=apportionment.
. ^zz++++=EXTRAWORD
Go ^vb++++=Go,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
need ^nn++++=need
you ^pp2+pp2+++=you
no ^at++++=no
longer ^rbr++++=longer.
. ^zz++++=EXTRAWORD
( ^zz++++=(He
he ^pp3a+pp3+++=EXTRAWORD
draws ^vbz++++=draws
forth ^rb++++=forth
the ^ati++++=the
money ^nn++++=money
and ^cc++++=and
throws ^vbz++++=throws
it ^pp3+it+++=it
away ^rp+pl+++=away.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
work ^nn++++=work;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
journeyed ^jj+++xvbn+=journeyed,
, ^zz++++=EXTRAWORD
ever ^rb++++=ever
and ^cc+phrs+++=and
ever ^rb+cnj+++=ever,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
day ^nn++++=day
after ^in++++=after
another ^dt++++=another,
, ^zz++++=EXTRAWORD
year ^nn++++=year
after ^in++++=after
year ^nn++++=year
unendingly ^rb+cnj+++=unendingly,
, ^zz++++=EXTRAWORD
century ^nn++++=century
after ^in++++=after
century ^nn++++=century.
. ^zz++++=EXTRAWORD
Eternal ^jj+atrb+++=Eternal
justice ^nn++++=justice
knew ^vbd+vprv++xvbn+=knew
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
doing ^vbg+++xvbgx+=doing:
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
added ^vbd+++xvbn+=added
idleness ^nns+nom+++=idleness
to ^in++++=to
eternity ^nn+nom+++=eternity.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
generation ^nn+nom+++=generation
bequeathed ^vbd+++xvbn+=bequeathed
me ^pp1o+pp1+++=me
to ^in++++=to
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
The ^ati++++=The
languages ^nns+nom+++=languages,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
died ^vbd+++xvbnx+=died,
, ^zz++++=EXTRAWORD
preserved ^xvbn+++xvbn+=preserved
my ^pp$+pp1+++=my
name ^nn++++=name
like ^in++++=like
a ^at++++=a
fossil ^nn++++=fossil.
. ^zz++++=EXTRAWORD
With ^in++++=With
the ^ati++++=the
passing ^jj+++xvbg+=passing
of ^in++++=of
time ^nn++++=time
all ^rb++++=all
was ^vbd+bedz+aux++=was
forgotten ^vpsv++agls+xvbnx+=forgotten;
; ^zz++++=EXTRAWORD
the ^ati++++=the
heroes ^nns++++=heroes
faded ^vbd+++xvbn+=faded
into ^in++++=into
myths ^nns++++=myths,
, ^zz++++=EXTRAWORD
into ^in++++=into
shadow ^nn++++=shadow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
history ^nn++++=history
crumbled ^jj++++=crumbled
to ^in++++=to
fragments ^nns+nom+++=fragments,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
vague ^jj+atrb+++=vague,
, ^zz++++=EXTRAWORD
remote ^jj+atrb+++=remote
characteristics ^nns++++=characteristics
remaining ^vwbg+++xvbg+=remaining
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
them ^pp3o+pp3+++=them
in ^in++++=in
changing ^xvbg+++xvbg+=changing
aspect ^nn++++=aspect.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
spoke ^vbd+++xvbn+=spoke
of ^in++++=of
a ^at++++=a
chapter ^nn++++=chapter?
? ^zz++++=EXTRAWORD
Happy ^jj++++=Happy
are ^vb+ber+vrb++=are
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
read ^vb+vprv++xvbn+=read
only ^rb+down+++=only
one ^cd1++++=one
chapter ^nn++++=chapter
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Those ^dt+pdem+++=Those
who ^whp+rel+subj++=who
depart ^vb++++=depart
at ^in++++=at
the ^ati++++=the
birth ^nn++++=birth
of ^in++++=of
empires ^nns++++=empires
bear ^vb+vprv+++=bear
with ^in++++=with
them ^pp3o+pp3+++=them
the ^ati++++=the
impression ^nn++++=impression
of ^in++++=of
their ^pp$+pp3+++=their
perpetuity ^nn+nom+++=perpetuity;
; ^zz++++=EXTRAWORD
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
die ^vb++++=die
at ^in++++=at
their ^pp$+pp3+++=their
fall ^nn++++=fall,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
buried ^vpsv++agls+xvbnx+=buried
in ^in++++=in
the ^ati++++=the
hope ^nn++++=hope
of ^in++++=of
their ^pp$+pp3+++=their
restoration ^nn+nom+++=restoration;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
not ^xnot++not++=not
realize ^vb+vprv+++=realize
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
same ^ap++++=same
things ^nns++++=things
unceasingly ^rb+cnj+++=unceasingly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
alternation ^nn+nom+++=alternation
of ^in++++=of
prosperity ^nn+nom+++=prosperity
and ^cc++++=and
desolation ^nn+nom+++=desolation,
, ^zz++++=EXTRAWORD
desolation ^nn+nom+++=desolation
and ^cc++++=and
prosperity ^nn+nom+++=prosperity,
, ^zz++++=EXTRAWORD
eternal ^jj+atrb+++=eternal
obsequies ^nns+++??+=obsequies
and ^cc++++=and
eternal ^jj+atrb+++=eternal
halleluiahs ^nns+++??+=halleluiahs,
, ^zz++++=EXTRAWORD
dawn ^nn++++=dawn
upon ^in++++=upon
dawn ^nn++++=dawn,
, ^zz++++=EXTRAWORD
sunset ^nn++++=sunset
upon ^in++++=upon
sunset ^nn++++=sunset?
? ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=did
not ^xnot++not++=not
suffer ^vb++++=suffer,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
something ^pn++++=something
not ^xnot++not++=not
to ^to++++=to
suffer ^vbi++++=suffer.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
other ^ap++++=other
men ^nns++++=men
suffer ^vb++++=suffer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
end ^nn++++=end
the ^ati++++=the
spectacle ^nn++++=spectacle
of ^in++++=of
joy ^nn++++=joy
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
the ^ati++++=the
same ^ap++++=same
sensations ^nns+nom+++=sensations
as ^in++++=as
the ^ati++++=the
discourses ^nns++++=discourses
of ^in++++=of
an ^at++++=an
idiot ^nn++++=idiot.
. ^zz++++=EXTRAWORD
Fatalities ^nns+nom++??+=Fatalities
of ^in++++=of
flesh ^nn++++=flesh
and ^cc++++=and
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
unending ^jj+atrb+++=unending
strife ^nn++++=strife,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
all ^abn++++=all
pass ^vb++++=pass
before ^in++++=before
my ^pp$+pp1+++=my
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
night ^nn++++=night
caused ^vbd+++xvbn+=caused
me ^pp1o+pp1+++=me
to ^to++++=to
lose ^vbi++++=lose
my ^pp$+pp1+++=my
taste ^nn++++=taste
for ^in++++=for
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
distinguish ^vb++++=distinguish
flowers ^nns+nom+++=flowers
from ^in++++=from
thistles ^nns++++=thistles.
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
is ^vbz+bez+aux++=is
confused ^vpsv++agls+xvbnx+=confused
in ^in++++=in
my ^pp$+pp1+++=my
wearied ^vprf+++xvbn+=wearied
retina ^nn++++=retina.
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
nothing ^pn++++=nothing
pained ^jj++++=pained
you ^pp2+pp2+++=you
personally ^rb++++=personally;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
about ^rb++++=about
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
from ^in++++=from
time ^nn++++=time
immemorial ^jj++++=immemorial
suffering ^jj+++xvbg+=suffering
the ^ati++++=the
wrath ^nn++++=wrath
of ^in++++=of
the ^ati++++=the
gods ^nns++++=gods?
? ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You?
? ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
name ^nn++++=name
is ^vbz+bez+vrb++=is
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You!
! ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus!
! ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
what ^wdt+who+whq++=what
was ^vbd+bedz+aux++=was
my ^pp$+pp1+++=my
crime ^nn++++=crime?
? ^zz++++=EXTRAWORD
Out ^rp+pl+++=Out
of ^in++++=of
clay ^nn++++=clay
and ^cc++++=and
water ^nn++++=water
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
the ^ati++++=the
first ^od++++=first
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
afterwards ^rb+cnj+++=afterwards,
, ^zz++++=EXTRAWORD
seized ^j+++xvbn+=seized
with ^in++++=with
compassion ^nn++++=compassion,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stole ^vbd+++xvbnx+=stole
for ^in++++=for
them ^pp3o+pp3+++=them
fire ^nn++++=fire
from ^in++++=from
the ^ati++++=the
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
crime ^nn++++=crime.
. ^zz++++=EXTRAWORD
Jupiter ^np+++??+=Jupiter,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
then ^rn+tm+++=then
reigned ^vbd+++xvbn+=reigned
over ^in++++=over
Olympus ^np+++??+=Olympus,
, ^zz++++=EXTRAWORD
condemned ^j+++xvbn+=condemned
me ^pp1o+pp1+++=me
to ^in++++=to
the ^ati++++=the
most ^ql+emph+++=most
cruel ^jj++++=cruel
of ^in++++=of
tortures ^nn++++=tortures.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come,
, ^zz++++=EXTRAWORD
climb ^vb++++=climb
this ^dt+dem+++=this
rock ^nn++++=rock
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+aux++=are
telling ^nvbg+++xvbg+=telling
me ^pp1o+pp1+++=me
a ^at++++=a
tale ^nn++++=tale.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
Hellenic ^np+++??+=Hellenic
myth ^nn++++=myth.
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
Incredulous ^jj++++=Incredulous
old ^jj++++=old
fellow ^jjb++++=fellow!
! ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
see ^vb+vprv+++=see
the ^ati++++=the
very ^ql+amp+++=very
chains ^nns++++=chains
that ^tht+rel+subj++=that
fettered ^xvbn+++xvbn+=fettered
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
an ^at++++=an
excessive ^jj+atrb+++=excessive
penalty ^nn++++=penalty
for ^in++++=for
no ^at++++=no
crime ^nn++++=crime
whatever ^nn+nom+++=whatever;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
divine ^nn++++=divine
pride ^np++++=pride
is ^vbz+bez+vrb++=is
terrible ^jj+pred+++=terrible
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
time ^nn++++=time,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
gnaws ^nns+++??+=gnaws
all ^abn++++=all
things ^nns++++=things,
, ^zz++++=EXTRAWORD
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
desire ^nn++++=desire
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then?
? ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
wrought ^vpsv++by+xvbnx+=wrought
by ^in++++=by
a ^at++++=a
divine ^jj+atrb+++=divine
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Vulcan ^np+++??+=Vulcan
forged ^vbd+++xvbn+=forged
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
emissaries ^nns++++=emissaries
from ^in++++=from
heaven ^nn++++=heaven
came ^vbd+++xvbn+=came
to ^to++++=to
secure ^vbi++++=secure
me ^pp1o+pp1+++=me
to ^in++++=to
the ^ati++++=the
rock ^nn++++=rock,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
eagle ^nn++++=eagle,
, ^zz++++=EXTRAWORD
like ^in++++=like
that ^dt+pdem+++=that
which ^whp+rel+subj++=which
now ^rn+tm+++=now
is ^vbz+bez+aux++=is
flying ^vbg+++xvbgx+=flying
across ^in+pl+++=across
the ^ati++++=the
horizon ^nn++++=horizon,
, ^zz++++=EXTRAWORD
kept ^j+++xvbn+=kept
gnawing ^jj++++=gnawing
at ^in++++=at
my ^pp$+pp1+++=my
liver ^nn++++=liver
without ^in++++=without
ever ^rb++++=ever
consuming ^vbg+++xvbg+=consuming
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
lasted ^jj+++xvbn+=lasted
for ^in++++=for
time ^nn++++=time
beyond ^in++++=beyond
my ^pp$+pp1+++=my
reckoning ^nn++++=reckoning.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
cannot ^md+pos+not++=cannot
imagine ^vb+vprv+++=imagine
this ^dt+dem+++=this
torture ^nn++++=torture
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
Are ^vb+ber+aux++=Are
you ^pp2+pp2+++=you
not ^xnot++not++=not
deceiving ^vbg+++xvbg+=deceiving
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You,
, ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus?
? ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
that ^dt+dem+++=that
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
a ^at++++=a
figment ^nn+nom+++=figment
of ^in++++=of
the ^ati++++=the
ancient ^jj+atrb+++=ancient
imagination ^nn+nom+++=imagination?
? ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
Look ^vb++++=Look
well ^jj+pred+++=well
at ^rb++++=at
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
touch ^nn++++=touch
these ^dt+dem+++=these
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See
whether ^cs+who+++=whether
I ^pp1a+pp1+++=I
really ^rb+emph+++=really
exist ^vb++++=exist.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Moses ^np++++=Moses
lied ^vbd+++xvbn+=lied
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
Prometheus ^np+++??+=Prometheus,
, ^zz++++=EXTRAWORD
creator ^nn++++=creator
of ^in++++=of
the ^ati++++=the
first ^od++++=first
men ^nns++++=men?
? ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
crime ^nn++++=crime.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
your ^pp$+pp2+++=your
crime ^nn++++=crime,
, ^zz++++=EXTRAWORD
an ^at++++=an
artifice ^nn++++=artifice
of ^in++++=of
hell ^nn++++=hell;
; ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
crime ^nn++++=crime
was ^vbd+bedz+vrb++=was
inexpiable ^jj+pred+++=inexpiable.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
should ^md+nec+++=should
have ^vb+hv+aux++=have
remained ^vprf+++xvbnx+=remained
forever ^rb+cnj+++=forever,
, ^zz++++=EXTRAWORD
bound ^xvbn+++xvbn+=bound
and ^cc+phrs+++=and
devoured ^xvbn+++xvbn+=devoured,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
the ^ati++++=the
origin ^nn++++=origin
of ^in++++=of
the ^ati++++=the
ills ^nns+++??+=ills
that ^tht+rel+subj++=that
afflict ^vb++++=afflict
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
lacked ^vbd+++xvbnx+=lacked
compassion ^nn++++=compassion,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
life ^nn++++=life,
, ^zz++++=EXTRAWORD
perverse ^jj+atrb+++=perverse
divinity ^nn+nom+++=divinity,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
the ^ati++++=the
cause ^nn++++=cause
of ^in++++=of
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
Approaching ^jj+atrb++xvbg+=Approaching
death ^nn++++=death
confuses ^nns+++??+=confuses
your ^pp$+pp2+++=your
reason ^nn++++=reason.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
you ^pp2+pp2+++=you;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
the ^ati++++=the
Olympic ^jj+atrb+++=Olympic
forehead ^nn++++=forehead,
, ^zz++++=EXTRAWORD
strong ^jj+atrb+++=strong
and ^cc+phrs+++=and
beautiful ^jj+atrb+++=beautiful
Titan ^nn++++=Titan;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
you ^pp2+pp2+++=you
indeed ^rb++++=indeed
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
these ^dt+dem+++=these
your ^pp$+pp2+++=your
chains ^nns++++=chains?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
upon ^in++++=upon
them ^pp3o+pp3+++=them
no ^at++++=no
trace ^nn++++=trace
of ^in++++=of
your ^pp$+pp2+++=your
tears ^nns++++=tears.
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wept ^vbd+++xvbnx+=wept
them ^pp3o+pp3+++=them
for ^in++++=for
your ^pp$+pp2+++=your
humankind ^nn+++??+=humankind.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
humanity ^nn+nom+++=humanity
wept ^vbd+++xvbn+=wept
far ^rb+pl+++=far
more ^rbr++++=more
because ^cs+cos+++=because
of ^in"++++=of
your ^pp$+pp2+++=your
crime ^nn++++=crime.
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
Hear ^vb+vprv+++=Hear
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
last ^rb++++=last
of ^in++++=of
men ^nns++++=men,
, ^zz++++=EXTRAWORD
last ^rb++++=last
of ^in++++=of
ingrates ^nns+nom+++=ingrates!
! ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
need ^nn++++=need
have ^vb+hv+vrb++=have
