**a ^nn+++??+=**A
Letter ^nn++++=LETTER
netherlands ^np++++=EXTRAWORD
: ^zz++++=EXTRAWORD
the ^ati++++=the
hat ^nn++++=hat
of ^in++++=of
Walter ^np++++=Walter
the ^ati++++=the
Doubter ^np+++??+=Doubter,
, ^zz++++=EXTRAWORD
broad ^jj++++=broad
enough ^dt++++=enough
to ^in++++=to
shelter ^nn++++=shelter
a ^at++++=a
burgomaster ^nn+nom+++=burgomaster
and ^cc++++=and
his ^pp$+pp3+++=his
council ^nn++++=council;
; ^zz++++=EXTRAWORD
the ^ati++++=the
shoe ^nn++++=shoe
of ^in++++=of
Peter ^np++++=Peter
Stuyvesant ^np+nom+++=Stuyvesant,
, ^zz++++=EXTRAWORD
of ^in++++=of
prodigious ^jj+atrb+++=prodigious
length ^nn++++=length
and ^cc++++=and
hardness ^nns+nom+++=hardness;
; ^zz++++=EXTRAWORD
a ^at++++=a
fragment ^nn+nom+++=fragment
of ^in++++=of
Oloffe ^np+++??+=Oloffe
the ^ati++++=the
Dreamer ^np++++=Dreamer's
's ^$++++=EXTRAWORD
nightcap ^nn+++??+=nightcap;
; ^zz++++=EXTRAWORD
three ^cd++++=three
buttons ^nns++++=buttons
traditionally ^rb++++=traditionally
detached ^jj+++xvbn+=detached
from ^in++++=from
the ^ati++++=the
coat ^nn++++=coat
of ^in++++=of
William ^np++++=William
the ^ati++++=the
Testy ^np+++??+=Testy;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
pipe ^nn++++=pipe
said ^vbd+vpub++xvbn+=said
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
gone ^vprf+++xvbnx+=gone
out ^rp+pl+++=out
at ^in++++=at
the ^ati++++=the
instant ^nn+nom+++=instant
of ^in++++=of
the ^ati++++=the
surrender ^nn+nom+++=surrender.
. ^zz++++=EXTRAWORD
Having ^vbg+hvg++xvbg+=Having
thus ^rb+cnj+++=thus
secured ^vbd+++xvbn+=secured
the ^ati++++=the
palladium ^np++++=palladium
of ^in++++=of
their ^pp$+pp3+++=their
nation ^nn++++=nation,
, ^zz++++=EXTRAWORD
the ^ati++++=the
settlers ^nns+nom+++=settlers
enacted ^vbd+++xvbn+=enacted
wholesome ^jj+atrb+++=wholesome
laws ^nns++++=laws
against ^in++++=against
innovation ^nn+nom+++=innovation.
. ^zz++++=EXTRAWORD
No ^at++++=No
English ^jj+atrb+++=English
word ^nn++++=word
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
spoken ^vpsv++agls+xvbnx+=spoken
within ^in++++=within
the ^ati++++=the
bounds ^nns++++=bounds
of ^in++++=of
Communipaw ^np+++??+=Communipaw,
, ^zz++++=EXTRAWORD
except ^in++++=except
during ^in++++=during
thunderstorms ^nns++++=thunderstorms,
, ^zz++++=EXTRAWORD
shipwrecks ^nns+++??+=shipwrecks,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
bargains ^nns++++=bargains
with ^in++++=with
persons ^nns++++=persons
incapable ^jj++++=incapable
of ^in++++=of
Dutch ^nn++++=Dutch.
. ^zz++++=EXTRAWORD
No ^at++++=No
foreign ^jj+atrb+++=foreign
garment ^nn+nom+++=garment
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
worn ^vpsv++agls+xvbnx+=worn
until ^in++++=until
thirty ^cd++++=thirty
years ^nns++++=years
after ^in++++=after
its ^pp$+it+++=its
introduction ^nn+nom+++=introduction
elsewhere ^rb++++=elsewhere.
. ^zz++++=EXTRAWORD
No ^at++++=No
chimney ^nn++++=chimney
might ^md+pos+++=might
be ^vb+be+aux++=be
altered ^vpsv++agls+xvbnx+=altered
merely ^rb+down+++=merely
because ^cs+cos+++=because
it ^pp3+it+++=it
smoked ^vbd+++xvbn+=smoked;
; ^zz++++=EXTRAWORD
no ^at++++=no
chair ^nn++++=chair
discarded ^vwbn+++xvbn+=discarded
merely ^rb+down+++=merely
because ^cs+cos+++=because
it ^pp3+it+++=it
lacked ^vbd+++xvbn+=lacked
a ^at++++=a
leg ^nn++++=leg;
; ^zz++++=EXTRAWORD
no ^at++++=no
courtship ^nn+nom+++=courtship
concluded ^vbd+vprv++xvbn+=concluded
in ^in++++=in
fewer ^ap++++=fewer
than ^in++++=than
seven ^cd++++=seven
winters ^nns+nom+++=winters;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
opinion ^nn++++=opinion
adopted ^vbd+++xvbn+=adopted
until ^cs+sub+++=until
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
enjoyed ^vpsv++by+xvbnx+=enjoyed
by ^in++++=by
at ^rb++++=at
least ^rb"++++=least
two ^cd++++=two
generations ^nns+nom+++=generations.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
ordinances ^nns+nom+++=ordinances
produced ^vbd+++xvbn+=produced
an ^at++++=an
admirable ^jj+atrb+++=admirable
tranquillity ^nn+nom+++=tranquillity.
. ^zz++++=EXTRAWORD
News ^nn++++=News
from ^in++++=from
New ^jj++++=New-York
- ^zz++++=EXTRAWORD
york ^np++++=EXTRAWORD
was ^vbd+bedz+aux++=was
held ^vpsv++agls+xvbnx+=held
to ^to++++=to
be ^vbi++vrb++=be
contraband ^nn+++??+=contraband,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
any ^dti++++=any
traveller ^nn+nom+++=traveller
arriving ^vwbg+++xvbg+=arriving
from ^in++++=from
that ^dt+dem+++=that
quarter ^nn++++=quarter
was ^vbd+bedz+aux++=was
detained ^vpsv++agls+xvbnx+=detained
at ^in++++=at
the ^ati++++=the
landing ^jj+++xvbg+=landing
until ^cs+sub+++=until
the ^ati++++=the
dangerous ^jj+atrb+++=dangerous
novelty ^nn++++=novelty
of ^in++++=of
his ^pp$+pp3+++=his
intelligence ^nn+nom+++=intelligence
had ^vbd+hvd+aux++=had
evaporated ^vprf+++xvbnx+=evaporated.
. ^zz++++=EXTRAWORD
The ^ati++++=The
great ^jj+atrb+++=great
events ^nns++++=events
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
reached ^vbd+++xvbn+=reached
Communipaw ^np+++??+=Communipaw
softened ^vwbn+++xvbn+=softened
by ^in++++=by
age ^nn++++=age.
. ^zz++++=EXTRAWORD
A ^at++++=A
European ^jj+atrb+++=European
war ^nn++++=war
was ^vbd+bedz+vrb++=was
commonly ^rb++++=commonly
first ^od++++=first
discussed ^vbd+++xvbn+=discussed
after ^in++++=after
the ^ati++++=the
peace ^nn++++=peace;
; ^zz++++=EXTRAWORD
a ^at++++=a
revolution ^nn+nom+++=revolution
became ^vbd+++xvbn+=became
credible ^jj++++=credible
when ^wrb+who+++=when
its ^pp$+it+++=its
leaders ^nns+nom+++=leaders
were ^vbd+bed+vrb++=were
dead ^jj+pred+++=dead;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
new ^jj+atrb+++=new
fashion ^nn++++=fashion
was ^vbd+bedz+aux++=was
never ^rb++splt++=never
accepted ^vpsv++agls+xvbnx+=accepted
until ^cs+sub+++=until
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
ridiculous ^jj++++=ridiculous
in ^in++++=in
every ^at++++=every
other ^ap++++=other
country ^nn++++=country.
. ^zz++++=EXTRAWORD
The ^ati++++=The
calendar ^nn++++=calendar
likewise ^rb+cnj+++=likewise
remained ^vbd+++xvbn+=remained
pure ^jj++++=pure.
. ^zz++++=EXTRAWORD
At ^in++++=At
Paas ^np+++??+=Paas
the ^ati++++=the
children ^nns++++=children
hunted ^vbd+++xvbn+=hunted
coloured ^vbd+++xvbn+=coloured
eggs ^nns++++=eggs
under ^in++++=under
the ^ati++++=the
fruit ^nn++++=fruit-trees;
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
at ^in++++=at
Pinxter ^np+++??+=Pinxter
the ^ati++++=the
negro ^nn++++=negro
fiddlers ^nns+nom+++=fiddlers
drew ^vbd+++xvbn+=drew
music ^nn++++=music
from ^in++++=from
instruments ^nns+nom+++=instruments
of ^in++++=of
immemorial ^jj+atrb+++=immemorial
discord ^nn++++=discord;
; ^zz++++=EXTRAWORD
at ^in++++=at
Christmas ^np++++=Christmas
the ^ati++++=the
hearths ^nns++++=hearths
were ^vbd+bed+aux++=were
garnished ^vpsv++agls+xvbnx+=garnished,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cupboards ^nns++++=cupboards
opened ^vbd+++xvbn+=opened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Nicholas ^np++++=Nicholas
expected ^vwbn+vprv++xvbn+=expected
with ^in++++=with
that ^dt+dem+++=that
confidence ^nn+nom+++=confidence
which ^whp+rel+subj++=which
belongs ^vbz++++=belongs
only ^rb+down+++=only
to ^in++++=to
children ^nns++++=children,
, ^zz++++=EXTRAWORD
creditors ^nns++++=creditors
and ^cc++++=and
ancient ^jj+atrb+++=ancient
communities ^nns+nom+++=communities.
. ^zz++++=EXTRAWORD
The ^ati++++=The
good ^jj+atrb+++=good
saint ^nn++++=saint
was ^vbd+bedz+aux++=was
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
special ^jj+atrb+++=special
patron ^nn++++=patron
of ^in++++=of
the ^ati++++=the
village ^nn+nom+++=village,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
image ^nn++++=image,
, ^zz++++=EXTRAWORD
carved ^j+++xvbn+=carved
in ^in++++=in
wood ^nn++++=wood,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
in ^in++++=in
the ^ati++++=the
House ^nn++++=House
of ^in++++=of
the ^ati++++=the
Four ^cd++++=Four
Chimneys ^nns++++=Chimneys
with ^in++++=with
one ^cd1++++=one
hand ^nn++++=hand
raised ^vbd+++xvbn+=raised
in ^in++++=in
benediction ^nn+nom+++=benediction
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
holding ^jj+++xvbg+=holding
what ^wdt+who+++=what
some ^dti++++=some
antiquaries ^nns++++=antiquaries
call ^vb++++=call
a ^at++++=a
bishop ^nn++++=bishop's
's ^vbz+bez+vrb++0=EXTRAWORD
crozier ^jjr++++=crozier,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
my ^pp$+pp1+++=my
aunt ^nn++++=aunt
Hillegonda ^np+++??+=Hillegonda
maintained ^vbd+vpub++xvbn+=maintained
it ^pp3+it+++=it
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
sausage ^nn+nom+++=sausage.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
time ^nn++++=time
all ^abn++++=all
prospered ^jj+++xvbn+=prospered.
. ^zz++++=EXTRAWORD
The ^ati++++=The
orchards ^nns++++=orchards
bore ^vbd+++xvbn+=bore;
; ^zz++++=EXTRAWORD
the ^ati++++=the
cows ^nns++++=cows
ruminated ^vbd+++xvbn+=ruminated;
; ^zz++++=EXTRAWORD
the ^ati++++=the
burghers ^nns+nom+++=burghers
increased ^vbd+++xvbn+=increased
in ^in++++=in
circumference ^nn+nom+++=circumference;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
marriages ^nns+nom+++=marriages
between ^in++++=between
Van ^&fw++++=Van
Hornes ^np+++??+=Hornes,
, ^zz++++=EXTRAWORD
Van ^&fw++++=Van
Pelts ^np+++??+=Pelts,
, ^zz++++=EXTRAWORD
Brinkerhoffs ^np+++??+=Brinkerhoffs
and ^cc++++=and
Ten ^cd++++=Ten
Broecks ^np+++??+=Broecks
produced ^vbd+++xvbn+=produced
a ^at++++=a
population ^nn+nom+++=population
so ^rb++++=so
thoroughly ^rb+amp+++=thoroughly
interrelated ^jj++++=interrelated
that ^dt+dem+++=that
no ^at++++=no
man ^nn++++=man
could ^md+pos+++=could
quarrel ^vb++++=quarrel
with ^in++++=with
his ^pp$+pp3+++=his
neighbour ^nn++++=neighbour
without ^in++++=without
offending ^xvbg+++xvbg+=offending
a ^at++++=a
cousin ^nn++++=cousin.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
isolation ^nn+nom+++=isolation,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
favourable ^jj++++=favourable
to ^in++++=to
purity ^nn++++=purity,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
hostile ^jj+pred+++=hostile
to ^in++++=to
commerce ^nn++++=commerce.
. ^zz++++=EXTRAWORD
The ^ati++++=The
settlers ^nns+nom+++=settlers
would ^md+prd+++=would
neither ^dt++neg++=neither
trade ^nn++++=trade
with ^in++++=with
New ^jj++++=New-York
- ^zz++++=EXTRAWORD
york ^np++++=EXTRAWORD
nor ^cc++neg++=nor
admit ^vb+vpub+++=admit
foreign ^jj+atrb+++=foreign
merchants ^nns+nom+++=merchants.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
wooden ^jj+atrb+++=wooden
shoes ^nns++++=shoes
wore ^vbd+++xvbn+=wore
out ^rp+pl+++=out;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
kettles ^nns+++??+=kettles
grew ^vbd+++xvbn+=grew
thin ^jj++++=thin;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
last ^ap++++=last
imported ^jj+atrb++xvbn+=imported
pipe ^nn++++=pipe-stems
- ^zz++++=EXTRAWORD
stems ^nns++++=EXTRAWORD
were ^vbd+bed+aux++=were
smoked ^vpsv++agls+xvbnx+=smoked
down ^rp++++=down
to ^in++++=to
perilous ^jj+atrb+++=perilous
brevity ^nn+nom+++=brevity.
. ^zz++++=EXTRAWORD
Worse ^jjr++++=Worse
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
the ^ati++++=the
soil ^nn++++=soil,
, ^zz++++=EXTRAWORD
fatigued ^xvbn+++xvbn+=fatigued
by ^in++++=by
generations ^nns+nom+++=generations
of ^in++++=of
cabbages ^nns+nom+++=cabbages,
, ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
to ^to++++=to
yield ^vbi++++=yield
heads ^nns++++=heads
scarcely ^rb+down+++=scarcely
larger ^jjr++++=larger
than ^in++++=than
buttons ^nns++++=buttons.
. ^zz++++=EXTRAWORD
The ^ati++++=The
oyster ^nn++++=oyster
beds ^nns++++=beds
failed ^vbd+++xvbn+=failed;
; ^zz++++=EXTRAWORD
the ^ati++++=the
fish ^nn++++=fish,
, ^zz++++=EXTRAWORD
offended ^j+++xvbn+=offended
perhaps ^rb++++=perhaps
by ^in++++=by
the ^ati++++=the
solemn ^jj+atrb+++=solemn
silence ^nn+nom+++=silence
of ^in++++=of
the ^ati++++=the
fishermen ^nns++++=fishermen,
, ^zz++++=EXTRAWORD
removed ^xvbn+++xvbn+=removed
to ^in++++=to
livelier ^jjr+atrb+++=livelier
waters ^nns++++=waters.
. ^zz++++=EXTRAWORD
Poverty ^nn++++=Poverty
entered ^vbd+++xvbn+=entered
Communipaw ^np+++??+=Communipaw
not ^xnot++not++=not
with ^in++++=with
a ^at++++=a
trumpet ^nn++++=trumpet,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
visits ^vbz++++=visits
cities ^nns++++=cities,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
in ^in++++=in
patched ^jj+atrb+++=patched
breeches ^nns++++=breeches,
, ^zz++++=EXTRAWORD
diminished ^jj+atrb++xvbn+=diminished
dinners ^nns+nom+++=dinners
and ^cc++++=and
pewter ^jjr+atrb+++=pewter
spoons ^nns++++=spoons.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
no ^at++++=no
one ^cd1++++=one
proposed ^vbd+vsua++xvbn+=proposed
intercourse ^nn+++??+=intercourse
with ^in++++=with
the ^ati++++=the
English ^nn++++=English.
. ^zz++++=EXTRAWORD
The ^ati++++=The
elders ^nns++++=elders
met ^vbd+++xvbn+=met
daily ^jj++++=daily
at ^rb++++=at
the ^ati++++=the
House ^nn++++=House
of ^in++++=of
the ^ati++++=the
Four ^cd++++=Four
Chimneys ^nns++++=Chimneys,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
sat ^vbd+++xvbnx+=sat
in ^in++++=in
a ^at++++=a
circle ^nn++++=circle,
, ^zz++++=EXTRAWORD
smoking ^vbg+++xvbg+=smoking
and ^cc+phrs+++=and
smoking ^vbg+++xvbg+=smoking,
, ^zz++++=EXTRAWORD
considering ^vbg+++xvbg+=considering
and ^cc++++=and
considering ^vbg+++xvbg+=considering,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
their ^pp$+pp3+++=their
wives ^nns++++=wives
at ^in++++=at
home ^nr++++=home
practised ^vbd+++xvbn+=practised
a ^at++++=a
stercoraceous ^jj+atrb+++=stercoraceous
economy ^nn++++=economy
upon ^in++++=upon
the ^ati++++=the
exhausted ^jj+atrb++xvbn+=exhausted
gardens ^nns++++=gardens.
. ^zz++++=EXTRAWORD
At ^rb++++=At
length ^rb"++++=length
came ^vbd+++xvbn+=came
a ^at++++=a
disastrous ^jj++++=disastrous
cleaning ^jj+++xvbg+=cleaning
of ^in++++=of
the ^ati++++=the
relic ^nn++++=relic-room.
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Grietje ^np+++??+=Grietje
Van ^&fw++++=Van
Horne ^np+++??+=Horne,
, ^zz++++=EXTRAWORD
a ^at++++=a
young ^jj+atrb+++=young
housemaid ^nn++++=housemaid
of ^in++++=of
uncommon ^jj+atrb+++=uncommon
industry ^nn++++=industry
and ^cc++++=and
no ^at++++=no
antiquarian ^jj+atrb+++=antiquarian
sensibility ^nn+nom+++=sensibility,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
directed ^vpsv++agls+xvbnx+=directed
to ^to++++=to
remove ^vbi++++=remove
the ^ati++++=the
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
accumulated ^vprf+++xvbnx+=accumulated
until ^cs+sub+++=until
several ^ap++++=several
documents ^nns+nom+++=documents
of ^in++++=of
state ^nn++++=state
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
indistinguishable ^jj++++=indistinguishable
from ^in++++=from
grey ^jj+atrb+++=grey
cushions ^nns++++=cushions.
. ^zz++++=EXTRAWORD
In ^in++++=In
her ^pp$+pp3+++=her
zeal ^nn++++=zeal
she ^pp3a+pp3+++=she
cast ^vbd+++xvbnx+=cast
Walter ^np++++=Walter
the ^ati++++=the
Doubter ^np++++=Doubter's
's ^$++++=EXTRAWORD
hat ^nn++++=hat
upon ^in++++=upon
a ^at++++=a
manure ^nn++++=manure
heap ^nn++++=heap
behind ^in+pl+++=behind
the ^ati++++=the
mansion ^nn++++=mansion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flung ^vbd+++xvbn+=flung
Peter ^np++++=Peter
Stuyvesant ^np+nom+++=Stuyvesant's
's ^$++++=EXTRAWORD
shoe ^nn++++=shoe
toward ^in++++=toward
the ^ati++++=the
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
supposing ^vbg+vprv++xvbg+=supposing
the ^ati++++=the
one ^cd1++++=one
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
ruined ^jj+atrb++xvbn+=ruined
basket ^nn++++=basket
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
a ^at++++=a
species ^nn++++=species
of ^in++++=of
military ^jj+atrb+++=military
boat ^nn++++=boat.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night
was ^vbd+bedz+vrb++=was
the ^ati++++=the
eve ^nn++++=eve
of ^in++++=of
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Nicholas ^np++++=Nicholas.
. ^zz++++=EXTRAWORD
Snow ^np++++=Snow
lay ^vbd+++xvbn+=lay
upon ^in++++=upon
the ^ati++++=the
roofs ^nns++++=roofs;
; ^zz++++=EXTRAWORD
the ^ati++++=the
bay ^nn++++=bay
shone ^vbd+++xvbn+=shone
beneath ^in+pl+++=beneath
a ^at++++=a
frosty ^nn+++??+=frosty
moon ^np++++=moon;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
honest ^jj+atrb+++=honest
inhabitant ^nn+nom+++=inhabitant
slept ^vbd+++xvbn+=slept,
, ^zz++++=EXTRAWORD
except ^in++++=except
old ^jj+atrb+++=old
Garret ^np++++=Garret's
's ^$++++=EXTRAWORD
grandson ^nn++++=grandson,
, ^zz++++=EXTRAWORD
Baltus ^np+++??+=Baltus
Van ^&fw++++=Van
Horne ^np+++??+=Horne,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
remained ^vbd+++xvbn+=remained
awake ^jj++++=awake
from ^in++++=from
hunger ^nn++++=hunger
and ^cc++++=and
family ^nn++++=family
anxiety ^nn++++=anxiety.
. ^zz++++=EXTRAWORD
Near ^in+pl+++=Near
midnight ^nn++++=midnight
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
trampling ^jj+++xvbg+=trampling
overhead ^jjb++++=overhead,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
a ^at++++=a
sound ^nn++++=sound
resembling ^vwbg+++xvbg+=resembling
a ^at++++=a
large ^jj+atrb+++=large
person ^nn++++=person
descending ^vwbg+++xvbg+=descending
a ^at++++=a
narrow ^jj+atrb+++=narrow
chimney ^nn++++=chimney
in ^in++++=in
ceremonial ^jj+atrb+++=ceremonial
robes ^nns++++=robes.
. ^zz++++=EXTRAWORD
Baltus ^np+++??+=Baltus
arose ^vbd+++xvbn+=arose,
, ^zz++++=EXTRAWORD
wrapped ^j+++xvbn+=wrapped
himself ^ppl+pp3+++=himself
in ^in++++=in
a ^at++++=a
quilt ^nn++++=quilt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
entered ^vbd+++xvbn+=entered
the ^ati++++=the
relic ^nn++++=relic-room.
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
stood ^vprf+++xvbn+=stood
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Nicholas ^np++++=Nicholas,
, ^zz++++=EXTRAWORD
ruddy ^jj++++=ruddy,
, ^zz++++=EXTRAWORD
grave ^jj++++=grave
and ^cc+phrs+++=and
powdered ^jj+++xvbn+=powdered
with ^in++++=with
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
examining ^vbg+++xvbg+=examining
the ^ati++++=the
vacant ^jj+atrb+++=vacant
shelves ^nns++++=shelves.
. ^zz++++=EXTRAWORD
The ^ati++++=The
saint ^npt++++=saint
said ^vbd+vpub++xvbn+=said
nothing ^pn++++=nothing
for ^in++++=for
supernatural ^jj+atrb+++=supernatural
personages ^nns+nom+++=personages
are ^vb+ber+aux++=are
sparing ^vbg+++xvbgx+=sparing
of ^in++++=of
words ^nns++++=words
when ^wrb+who+++=when
dealing ^vbg+nom++xvbg+=dealing
with ^in+ppvb+++=with
local ^jj+atrb+++=local
magistrates ^nns+nom+++=magistrates
but ^cc++++=but
pointed ^vbd+++xvbn+=pointed
first ^rb++++=first
toward ^in++++=toward
the ^ati++++=the
manure ^nn++++=manure
heap ^nn++++=heap,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
toward ^in++++=toward
the ^ati++++=the
oyster ^nn++++=oyster
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finally ^rb++++=finally
laid ^vbd+++xvbn+=laid
one ^cd1++++=one
finger ^nn++++=finger
beside ^in+pl+++=beside
his ^pp$+pp3+++=his
nose ^nn++++=nose,
, ^zz++++=EXTRAWORD
a ^at++++=a
gesture ^nn++++=gesture
of ^in++++=of
profound ^jj+atrb+++=profound
mystic ^nn++++=mystic
signification ^nn+nom+++=signification.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
morning ^nn++++=morning
Baltus ^np+++??+=Baltus
repaired ^vbd+++xvbn+=repaired
to ^in++++=to
the ^ati++++=the
garden ^nn++++=garden.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
the ^ati++++=the
very ^ap+amp+++=very
spot ^nn++++=spot
where ^wrb+who+++=where
Walter ^np++++=Walter's
's ^$++++=EXTRAWORD
hat ^nn++++=hat
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
thrown ^vpsv++agls+xvbnx+=thrown
there ^rn+pl+++=there
rose ^nn+++xvbn+=rose
a ^at++++=a
cabbage ^nn+nom+++=cabbage
of ^in++++=of
such ^abl++++=such
dimensions ^nns++++=dimensions
that ^tht+rel+++=that
three ^cd++++=three
children ^nns++++=children
might ^md+pos+++=might
have ^vb+hv+aux++=have
played ^vprf+++xvbnx+=played
at ^in+ppvb+++=at
blind-man ^jj+atrb+++=blind-man's-buff
's-buff ^nn+++??+=EXTRAWORD
beneath ^rb++++=beneath
its ^pp$+it+++=its
outer ^jjb+atrb+++=outer
leaves ^nns++++=leaves.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
crown ^nn++++=crown
was ^vbd+bedz+vrb++=was
broad ^jj+pred+++=broad,
, ^zz++++=EXTRAWORD
flat ^nn++++=flat
and ^cc++++=and
venerable ^jj++++=venerable;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
colour ^nn++++=colour
that ^tht+rel+++=that
peculiar ^jj+atrb+++=peculiar
green ^nn++++=green
which ^whp+rel+obj++=which
painters ^nns+nom+++=painters
reserve ^nn++++=reserve
for ^in++++=for
ancient ^jj+atrb+++=ancient
bronze ^nn++++=bronze
and ^cc++++=and
municipal ^jj+atrb+++=municipal
furniture ^nn++++=furniture.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
cut ^nn+++xvbn+=cut,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
displayed ^vbd+++xvbn+=displayed
within ^in++++=within
a ^at++++=a
succession ^nn++++=succession
of ^in++++=of
folds ^nns++++=folds
corresponding ^vwbg+++xvbg+=corresponding
exactly ^rb+cnj+++=exactly,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in++++=to
Baltus ^np+++??+=Baltus,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
doubts ^nns++++=doubts
and ^cc++++=and
circumlocutions ^nns+nom+++=circumlocutions
of ^in++++=of
Walter ^np++++=Walter's
's ^$++++=EXTRAWORD
administration ^nn+nom+++=administration.
. ^zz++++=EXTRAWORD
The ^ati++++=The
villagers ^nns+nom+++=villagers
gathered ^vbd+++xvbn+=gathered
round ^rb++++=round
in ^in++++=in
awe ^nn++++=awe.
. ^zz++++=EXTRAWORD
The ^ati++++=The
oldest ^jjt+atrb+++=oldest
men ^nns++++=men
removed ^vwbn+++xvbn+=removed
their ^pp$+pp3+++=their
caps ^nns++++=caps;
; ^zz++++=EXTRAWORD
the ^ati++++=the
women ^nns++++=women
crossed ^vbd+++xvbn+=crossed
their ^pp$+pp3+++=their
hands ^nns++++=hands
upon ^in++++=upon
their ^pp$+pp3+++=their
aprons ^nns++++=aprons;
; ^zz++++=EXTRAWORD
the ^ati++++=the
children ^nns++++=children
were ^vbd+bed+aux++=were
forbidden ^vpsv++agls+xvbnx+=forbidden
to ^to+vcmp+++=to
touch ^vb++++=touch
it ^pp3+it+++=it
until ^cs+sub+++=until
the ^ati++++=the
schoolmaster ^nn+nom+++=schoolmaster
had ^vbd+hvd+aux++=had
