# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
A ^rb++++=A
waitin ^nn+++??+=waitin'."
'." ^nn+++??+=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Waitin'
waitin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
for ^in++++=for
you ^pp2+pp2+++=you
to ^to++++=to
rise ^vbi++++=rise."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing,
, ^zz++++=EXTRAWORD
Father ^nn++++=Father."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
mean ^jj++++=mean
on ^in++++=on
yo ^nn+++??+=yo'
' ^zz++++=EXTRAWORD
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^jj++++=mean
rise ^vb++++=rise."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Robert ^np++++=Robert
lowered ^vbd+++xvbn+=lowered
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
rise ^vb++++=rise
any ^dti++++=any
higher ^jjr++++=higher
without ^in++++=without
leaving ^xvbg+++xvbg+=leaving
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
had ^md"++pmd"++=had
to ^md+nec+++=to
say ^vb+vpub+++=say."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man
looked ^vbd+++xvbn+=looked
hurt ^vbd+++xvbn+=hurt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Robert ^np++++=Robert
regretted ^vbd+vprv++xvbn+=regretted
the ^ati++++=the
sentence ^nn+nom+++=sentence
as ^in++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
spoken ^vpsv++agls+xvbnx+=spoken.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
talked ^vbd+++xvbn+=talked
' ^zz++++='bout
bout ^nn++++=EXTRAWORD
brooms ^nns++++=brooms
and ^cc++++0=an'
schoolbooks ^nns+++??+=schoolbooks
and ^cc++++0=an'
fair ^jj+atrb+++=fair
weights ^nns++++=weights,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Abram ^np+++??+=Abram
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
good ^jj+atrb+++=good
things ^nns++++=things.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
folks ^nns++++=folks
comes ^vbz++++=comes
to ^in++++=to
church ^nn++++=church
to ^in++++=to
git ^np++++=git
religion ^nn++++=religion."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
talking ^vbg+++xvbgx+=talking
about ^in++++=about
religion ^nn++++=religion."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Mebbe."
mebbe ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Abram ^np+++??+=Abram
turned ^vbd+++xvbn+=turned
away ^rb+phrv+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="Mebbe
mebbe ^rb++++=EXTRAWORD
school ^nn++++=school
religion ^nn++++=religion
is ^vbz+bez+vrb++=is
quieter ^jjr+atrb+++=quieter'n
'n ^nn+++??+=EXTRAWORD
de ^&fw++++=de
kind ^nn++++=kind
I ^pp1a+pp1+++=I
knows ^vbz+vprv+++=knows."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^in++++=At
dinner ^nn++++=dinner
the ^ati++++=the
matter ^nn++++=matter
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
mentioned ^vbd+vpub++xvbn+=mentioned.
. ^zz++++=EXTRAWORD
Robert ^np++++=Robert's
's ^$++++=EXTRAWORD
mother ^npt++++=mother
passed ^vbd+++xvbn+=passed
the ^ati++++=the
chicken ^nn++++=chicken
with ^in++++=with
determined ^jj+atrb++xvbn+=determined
cheerfulness ^nns+nom+++=cheerfulness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Abram ^np+++??+=Abram
praised ^vbd+++xvbn+=praised
the ^ati++++=the
biscuits ^nns++++=biscuits
as ^cs+sub+++=as
if ^cs+cnd+++=if
defending ^vbg+++xvbg+=defending
the ^ati++++=the
household ^nn++++=household
against ^in++++=against
an ^at++++=an
unnamed ^jj+atrb+++=unnamed
enemy ^nn++++=enemy.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
throughout ^in++++=throughout
Danvers ^nns+nom++??+=Danvers
the ^ati++++=the
judgment ^nn+nom+++=judgment
was ^vbd+bedz+aux++=was
already ^rb++splt++=already
forming ^vbg+++xvbgx+=forming.
. ^zz++++=EXTRAWORD
The ^ati++++=The
young ^jj+atrb+++=young
preacher ^nn+nom+++=preacher
had ^vb+hv+vrb++=had
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
people ^nns++++=people
said ^vbd+vpub++xvbn+=said;
; ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
could ^md+pos+++=could
deny ^vb+vpub+tht0++=deny
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
arranged ^vbd+vsua+tht0+xvbnx+=arranged
his ^pp$+pp3+++=his
words ^nns++++=words
properly ^rb++++=properly.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
no ^at++++=no
mounting ^nvbg+++xvbg+=mounting,
, ^zz++++=EXTRAWORD
no ^at++++=no
trembling ^nvbg+++xvbg+=trembling,
, ^zz++++=EXTRAWORD
no ^at++++=no
sudden ^jj+atrb+++=sudden
cry ^nn++++=cry
to ^in++++=to
heaven ^nn++++=heaven.
. ^zz++++=EXTRAWORD
Sister ^nn++++=Sister
Bell ^nn++++=Bell
declared ^vbd+vpub++xvbn+=declared
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
not ^xnot++not++=not
felt ^vbd+vprv++xvbn+=felt
" ^zz++++="one
one ^cd1++++=EXTRAWORD
blessed ^jj+atrb++xvbn+=blessed
chill ^nn++++=chill."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Robert ^np++++=Robert
returned ^vbd+++xvbn+=returned
to ^in++++=to
the ^ati++++=the
city ^nn++++=city
carrying ^vwbg+++xvbg+=carrying
his ^pp$+pp3+++=his
disappointment ^nn+nom+++=disappointment
without ^in++++=without
bitterness ^nns+nom+++=bitterness.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
not ^xnot++not++=not
expected ^vbd+vprv++xvbn+=expected
to ^to+vcmp+++=to
convert ^vbi++++=convert
Danvers ^nns+nom++??+=Danvers
in ^in++++=in
a ^at++++=a
morning ^nn++++=morning;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
hoped ^vprf+++xvbnx+=hoped
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
father ^nn++++=father
would ^md+prd+++=would
understand ^vb+vprv+++=understand
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Abram ^np+++??+=Abram,
, ^zz++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
part ^nn++++=part,
, ^zz++++=EXTRAWORD
continued ^j+++xvbn+=continued
to ^to++++=to
love ^vbi++++=love
Robert ^np++++=Robert
and ^cc++++=and
to ^in++++=to
doubt ^nn++++=doubt
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
In ^in++++=In
letters ^nns+nom+++=letters
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
after ^in+ppvb+++=after
his ^pp$+pp3+++=his
health ^nn++++=health,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
preserves ^nns++++=preserves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
baptisms ^nns+nom+++=baptisms,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
never ^rb++++=never
after ^in++++=after
the ^ati++++=the
brooms ^nns++++=brooms
and ^cc++++=and
schoolbooks ^nns+++??+=schoolbooks.
. ^zz++++=EXTRAWORD
Nearly ^rb+down+++=Nearly
a ^at++++=a
year ^nn++++=year
passed ^vbd+++xvbn+=passed
before ^cs+sub+++=before
Abram ^np+++??+=Abram
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
city ^nn++++=city.
. ^zz++++=EXTRAWORD
The ^ati++++=The
journey ^nn++++=journey
was ^vbd+bedz+aux++=was
undertaken ^vpsv++agls+xvbnx+=undertaken
reluctantly ^rb++++=reluctantly.
. ^zz++++=EXTRAWORD
Robert ^np++++=Robert
had ^vbd+hvd+aux++=had
written ^vprf+++xvbnx+=written
that ^tht+vcmp+++=that
the ^ati++++=the
church ^nn++++=church
would ^md+prd+++=would
celebrate ^nn+nom+++=celebrate
its ^pp$+it+++=its
anniversary ^nn+nom+++=anniversary
and ^cc++++=and
begged ^vbd+++xvbn+=begged
his ^pp$+pp3+++=his
father ^nn++++=father
to ^to++++=to
visit ^vbi++++=visit.
. ^zz++++=EXTRAWORD
Abram ^np+++??+=Abram
replied ^vbd+vpub++xvbn+=replied
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
too ^ql++++=too
old ^jj++++=old
to ^to++++=to
go ^vbi++++=go
chasing ^nvbg+++xvbg+=chasing
railroad ^nn++++=railroad
smoke ^nn++++=smoke.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife
replied ^vbd+vpub++xvbn+=replied
for ^in++++=for
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
come ^vb++++=come.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
damp ^jj+atrb+++=damp
October ^nr++++=October
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
descended ^vbd+++xvbnx+=descended
from ^in++++=from
the ^ati++++=the
train ^nn++++=train
into ^in++++=into
a ^at++++=a
confusion ^nn++++=confusion
of ^in++++=of
porters ^nns+nom+++=porters,
, ^zz++++=EXTRAWORD
bells ^nns++++=bells,
, ^zz++++=EXTRAWORD
wheels ^nns++++=wheels,
, ^zz++++=EXTRAWORD
cries ^nns++++=cries,
, ^zz++++=EXTRAWORD
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hurrying ^vbg+++xvbg+=hurrying
faces ^nns++++=faces.
. ^zz++++=EXTRAWORD
Robert ^np++++=Robert
met ^vbd+++xvbn+=met
him ^pp3o+pp3+++=him
at ^in++++=at
the ^ati++++=the
station ^nn+nom+++=station.
. ^zz++++=EXTRAWORD
" ^zz++++="Dis
dis ^np++++=EXTRAWORD
place ^nn++++=place,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Abram ^np+++??+=Abram
announced ^vbd+vpub++xvbn+=announced,
, ^zz++++=EXTRAWORD
" ^zz++++="sounds
sounds ^nns++++=EXTRAWORD
like ^in++++=like
Judgment ^nn+nom+++=Judgment
Day ^nn++++=Day
wid ^in++++=wid
machinery ^nn+nom+++=machinery."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
grow ^vb++++=grow
accustomed ^vbd+++xvbn+=accustomed
to ^in++++=to
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
aim ^vb++++=aim
to ^to+vcmp+++=to
stay ^vbi++++=stay
long ^rb++++=long
enough ^qlp++++=enough."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Robert ^np++++=Robert's
's ^$++++=EXTRAWORD
rooms ^nns++++=rooms
adjoined ^vbd+++xvbn+=adjoined
the ^ati++++=the
mission ^nn++++=mission
chapel ^nn++++=chapel
and ^cc++++=and
were ^vbd+bed+vrb++=were
plain ^nn++++=plain
enough ^qlp++++=enough
to ^to++++=to
reassure ^vbi++++=reassure
even ^rb++++=even
Abram ^np+++??+=Abram,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
examined ^vwbn+++xvbn+=examined
a ^at++++=a
cushioned ^jj+atrb++xvbn+=cushioned
chair ^nn++++=chair
with ^in++++=with
some ^dti++++=some
distrust ^nn++++=distrust.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
sit ^vb++++=sit
on ^in++++=on
dat ^nn+++??+=dat
every ^at++++=every
day ^nn++++=day?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
time ^nn++++=time."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Looks
looks ^nns++++=EXTRAWORD
soft ^jj++++=soft
for ^in++++=for
a ^at++++=a
preacher ^nn+nom+++=preacher."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+aux++=is
mostly ^rb++splt++=mostly
used ^vpsv++by+xvbnx+=used
by ^in++++=by
people ^nns++++=people
who ^whp+rel+subj++=who
come ^vb++++=come
to ^to++++=to
ask ^vbi++++=ask
for ^in+ppvb+++=for
help ^nn++++=help."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Abram ^np+++??+=Abram
pressed ^vbd+++xvbn+=pressed
the ^ati++++=the
cushion ^nn++++=cushion
with ^in++++=with
one ^cd1++++=one
finger ^nn++++=finger.
. ^zz++++=EXTRAWORD
" ^zz++++="Den
den ^&fw++++=EXTRAWORD
trouble ^nn++++=trouble
got ^vbd+++xvbn+=got
a ^at++++=a
comfortable ^jj+atrb+++=comfortable
seat ^nn++++=seat."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
supper ^nn++++=supper
there ^ex+pex+++=there
came ^vbd+++xvbn+=came
a ^at++++=a
knock ^nn++++=knock.
. ^zz++++=EXTRAWORD
A ^at++++=A
small ^jj+atrb+++=small
girl ^nn++++=girl
stood ^vbd+++xvbn+=stood
outside ^jjb++++=outside,
, ^zz++++=EXTRAWORD
bareheaded ^j+++xvbn+=bareheaded
in ^in++++=in
the ^ati++++=the
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
dress ^nn++++=dress
was ^vbd+bedz+vrb++=was
too ^ql++++=too
thin ^jj++++=thin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
shoe ^nn++++=shoe
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
tied ^vpsv++agls+xvbnx+=tied
with ^in++++=with
string ^nn++++=string.
. ^zz++++=EXTRAWORD
" ^zz++++="Mister
mister ^nn++++=EXTRAWORD
Dixon ^np++++=Dixon,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Miss
miss ^npt++++=EXTRAWORD
Cora ^np++++=Cora
says ^vbz+vpub+++=says
will ^md+prd+++=will
you ^pp2+pp2+++=you
come ^vb++++=come?
? ^zz++++=EXTRAWORD
Benny ^np++++=Benny's
's ^$++++=EXTRAWORD
sick ^jj++++=sick
again ^rb+tm+++=again."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Robert ^np++++=Robert
took ^vbd+++xvbn+=took
his ^pp$+pp3+++=his
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
" ^zz++++="Father,
father ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
go ^vb++++=go
a ^ap++++=a
few ^ap"++++=few
streets ^nns++++=streets
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
Supper ^nn++++=Supper
is ^vbz+bez+vrb++=is
ready ^jj+pred+++=ready.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
wait ^vb++++=wait."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Abram ^np+++??+=Abram
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
child ^nn++++=child,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
wet ^jj+atrb+++=wet
hair ^nn++++=hair
clung ^vbd+++xvbn+=clung
to ^in++++=to
her ^pp$+pp3+++=her
narrow ^jj+atrb+++=narrow
forehead ^nn++++=forehead.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
go ^vb++++=go
' ^zz++++='long,"
long ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
followed ^vbd+vprv+tht0+xvbnx+=followed
her ^pp$+pp3+++=her
through ^in++++=through
streets ^nns++++=streets
unlike ^in++++=unlike
any ^dti++++=any
Abram ^np+++??+=Abram
had ^vbd+hvd+aux++=had
imagined ^vprf+++xvbnx+=imagined.
. ^zz++++=EXTRAWORD
Tall ^jj+atrb+++=Tall
houses ^nns++++=houses
leaned ^vbd+++xvbn+=leaned
toward ^in++++=toward
one ^cd1++++=one
another ^dt++++=another
as ^cs+sub+++=as
if ^cs+cnd+++=if
burdened ^jj+++xvbn+=burdened
with ^in++++=with
secrets ^nns++++=secrets.
. ^zz++++=EXTRAWORD
Beneath ^in+pl+++=Beneath
them ^pp3o+pp3+++=them
were ^vbd+bed+vrb++=were
cellars ^nns++++=cellars
in ^in++++=in
which ^whp+rel+pied++=which
families ^nns++++=families
lived ^vbd+++xvbn+=lived
below ^rb++++=below
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
the ^ati++++=the
pavement ^nn+nom+++=pavement.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
slept ^vbd+++xvbn+=slept
on ^in++++=on
doorsills ^nns+++??+=doorsills
or ^cc++++=or
played ^vpsv++agls+xvbn+=played
beside ^in+pl+++=beside
gutters ^nns+nom+++=gutters
whose ^whp+rel+obj++=whose
dark ^jj+atrb+++=dark
water ^nn++++=water
carried ^vbd+++xvbn+=carried
refuse ^vb++++=refuse
toward ^in++++=toward
the ^ati++++=the
wharves ^nns+++??+=wharves.
. ^zz++++=EXTRAWORD
The ^ati++++=The
air ^nn++++=air
smelled ^vbd+++xvbn+=smelled
of ^in++++=of
coal ^nn++++=coal
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
fish ^nns++++=fish,
, ^zz++++=EXTRAWORD
wet ^jj+atrb+++=wet
rope ^nn++++=rope,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
too ^rb++++=too
many ^ap++++=many
human ^jj+atrb+++=human
beings ^nns++++=beings
crowded ^vbd+++xvbn+=crowded
into ^in++++=into
too ^ql++++=too
little ^ap++++=little
space ^nn++++=space.
. ^zz++++=EXTRAWORD
Benny ^np+++??+=Benny
lay ^vbd+++xvbn+=lay
in ^in++++=in
a ^at++++=a
room ^nn++++=room
at ^in++++=at
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
three ^cd++++=three
broken ^xvbn+++xvbn+=broken
flights ^nns++++=flights.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mother ^nn++++=mother
washed ^vwbn+++xvbn+=washed
clothes ^nns++++=clothes
at ^in++++=at
night ^nn++++=night
and ^cc++++=and
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
returned ^vbd+++xvbn+=returned.
. ^zz++++=EXTRAWORD
Robert ^np++++=Robert
felt ^vbd+vprv++xvbn+=felt
the ^ati++++=the
boy ^nn++++=boy's
's ^$++++=EXTRAWORD
forehead ^nn++++=forehead,
, ^zz++++=EXTRAWORD
opened ^j+++xvbn+=opened
a ^at++++=a
window ^nn++++=window,
, ^zz++++=EXTRAWORD
kindled ^j+++xvbn+=kindled
a ^at++++=a
better ^jjr+atrb+++=better
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sent ^vbd+++xvbn+=sent
the ^ati++++=the
girl ^nn++++=girl
for ^in++++=for
a ^at++++=a
physician ^nn++++=physician
with ^in++++=with
a ^at++++=a
note ^nn++++=note.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
done ^vbd+++xvbn+=done
dis ^np++++=dis
before ^in+strn+++=before,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Abram ^np+++??+=Abram
observed ^vbd+++xvbn+=observed.
. ^zz++++=EXTRAWORD
" ^zz++++="Often."
often ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
pays ^vbz++++=pays
de ^&fw++++=de
doctor ^nn++++=doctor?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
church ^nn++++=church,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
church ^nn++++=church
can ^md+pos+++=can.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
cannot ^md+pos+not++=cannot."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
neither ^dt++neg++=neither
can ^md+pos+++=can?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Robert ^np++++=Robert
smiled ^vbd+++xvbn+=smiled
faintly ^rb++++=faintly.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I
persuade ^vb++++=persuade
the ^ati++++=the
doctor ^nn++++=doctor
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
can ^md+pos+++=can."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
returned ^vbd+++xvbnx+=returned
late ^jj++++=late.
. ^zz++++=EXTRAWORD
Supper ^nn++++=Supper
had ^vbd+hvd+aux++=had
dried ^vprf+++xvbnx+=dried
at ^rb++++=at
the ^ati++++=the
edges ^nns++++=edges,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Abram ^np+++??+=Abram
said ^vbd+vpub++xvbn+=said
no ^at++++=no
word ^nn++++=word
of ^in++++=of
complaint ^nn++++=complaint.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
he ^pp3a+pp3+++=he
slept ^vbd+++xvbnx+=slept,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
heard ^vbd+vprv+tht0+xvbnx+=heard
another ^ppls++++=another
knock ^vb++++=knock
and ^cc++++=and
Robert ^np++++=Robert's
's ^$++++=EXTRAWORD
low ^jj+atrb+++=low
voice ^nn++++=voice
in ^in++++=in
the ^ati++++=the
passage ^nn+nom+++=passage.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
morning ^nn++++=morning
a ^at++++=a
policeman ^nn+nom+++=policeman
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
mission ^nn++++=mission
holding ^vwbg+++xvbg+=holding
a ^at++++=a
boy ^nn++++=boy
by ^in++++=by
the ^ati++++=the
collar ^nn++++=collar.
. ^zz++++=EXTRAWORD
The ^ati++++=The
child ^nn++++=child
was ^vbd+bedz+vrb++=was
perhaps ^rb++++=perhaps
ten ^cd++++=ten,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
hunger ^nn++++=hunger
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
him ^pp3o+pp3+++=him
smaller ^jjr++++=smaller.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face
was ^vbd+bedz+vrb++=was
defiant ^jj+pred+++=defiant,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
followed ^vbd+vprv++xvbn+=followed
a ^at++++=a
loaf ^nn++++=loaf
lying ^vwbg+++xvbg+=lying
on ^in++++=on
Robert ^np++++=Robert's
's ^$++++=EXTRAWORD
table ^nn++++=table.
. ^zz++++=EXTRAWORD
" ^zz++++="Caught
caught ^vbd+++xvbn+=EXTRAWORD
him ^pp3o+pp3+++=him
stealing ^nvbg+++xvbg+=stealing
from ^in++++=from
a ^at++++=a
baker ^nn++++=baker,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
officer ^npt++++=officer
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Loaf
loaf ^nn++++=EXTRAWORD
under ^in++++=under
his ^pp$+pp3+++=his
coat ^nn++++=coat."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
steal ^vb++++=steal
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
boy ^nn++++=boy
muttered ^vbd+++xvbn+=muttered.
. ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
trial ^nn++++=trial,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
officer ^nn++++=officer.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are."
. ^zz++++=EXTRAWORD
