# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Maymeys ^np+++??+=MAYMEYS
policeman ^nn+nom+++=policeman.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
magnificent ^jj+atrb+++=magnificent
policeman ^nn+nom+++=policeman,
, ^zz++++=EXTRAWORD
six ^cd++++=six
feet ^nns++++=feet
of ^in++++=of
municipal ^jj+atrb+++=municipal
certainty ^nn++++=certainty
planted ^vwbn+++xvbn+=planted
in ^in++++=in
the ^ati++++=the
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
coat ^nn++++=coat
was ^vbd+bedz+vrb++=was
thick ^jj+pred+++=thick,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
cheeks ^nns++++=cheeks
were ^vbd+bed+vrb++=were
red ^jj+pred+++=red,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
stomach ^nn++++=stomach
described ^vbd+++xvbn+=described
a ^at++++=a
curve ^nn++++=curve
suggesting ^vwbg+++xvbg+=suggesting
faith ^nn++++=faith
in ^in++++=in
regular ^jj+atrb+++=regular
meals ^nns++++=meals.
. ^zz++++=EXTRAWORD
" ^zz++++="Could
could ^md+pos+++=EXTRAWORD
ye ^pp2+pp2+++=ye
tell ^vb++++=tell
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
began ^vbd+++xvbn+=began,
, ^zz++++=EXTRAWORD
" ^zz++++="where
where ^wrb+who+++=EXTRAWORD
there ^ex+pex+++=there
might ^md+pos+++=might
be ^vb+be+vrb++=be
a ^at++++=a
place ^nn++++=place
a ^at++++=a
charitable ^jj+atrb+++=charitable
place ^nn++++=place
where ^wrb+who+++=where
a ^at++++=a
woman ^nn++++=woman
could ^md+pos+++=could
get ^vb++++=get
" ^zz++++="
" ^zz++++="West
west ^np+pl+++=EXTRAWORD
Madison ^np+++??+=Madison,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Which
which ^whp+who+++=EXTRAWORD
way ^nn++++=way
is ^vbz+bez+vrb++=is
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pointed ^vbd+++xvbnx+=pointed
with ^in++++=with
the ^ati++++=the
majesty ^nn++++=majesty
of ^in++++=of
Columbus ^np+++??+=Columbus
indicating ^vwbg+vprv++xvbg+=indicating
America ^np++++=America.
. ^zz++++=EXTRAWORD
" ^zz++++="Take
take ^vb++++=EXTRAWORD
a ^at++++=a
car ^nn++++=car."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+vrb++0=EXTRAWORD
only ^rb+down+++=only
four ^cd++++=four
cents ^nns++++=cents."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
walk ^nn++++=walk."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it
far ^rb+pl+++=far?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
policeman ^nn+nom+++=policeman
had ^vb+hv+aux++=had
already ^rb++splt++=already
turned ^vprf+++xvbnx+=turned
to ^to++++=to
settle ^vbi++++=settle
an ^at++++=an
argument ^nn+nom+++=argument
between ^in++++=between
a ^at++++=a
taxicab ^nn++++=taxicab
and ^cc++++=and
a ^at++++=a
delivery ^nn+nom+++=delivery
wagon ^nn++++=wagon.
. ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
remained ^vbd+++xvbn+=remained
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
loneliness ^nns+nom+++=loneliness
quite ^abl++++=quite
so ^ql+emph+++=so
complete ^jj++++=complete
as ^ql++++=as
that ^cs+sub+++=that
of ^in++++=of
a ^at++++=a
person ^nn++++=person
standing ^vwbg+++xvbg+=standing
next ^ap++++=next
to ^in++++=to
official ^jj+atrb+++=official
authority ^nn+nom+++=authority
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
finished ^vprf+++xvbnx+=finished
speaking ^vbg+++xvbg+=speaking.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
walked ^vbd+++xvbnx+=walked.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
thought ^nn+++xvbn+=thought
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
Streets ^nns++++=Streets
crossed ^vbd+++xvbn+=crossed,
, ^zz++++=EXTRAWORD
doubled ^xvbn+++xvbn+=doubled,
, ^zz++++=EXTRAWORD
widened ^j+++xvbn+=widened,
, ^zz++++=EXTRAWORD
narrowed ^j+++xvbn+=narrowed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
changed ^jj+atrb++xvbn+=changed
names ^nns++++=names
with ^in++++=with
the ^ati++++=the
ingenuity ^nn+nom+++=ingenuity
of ^in++++=of
persons ^nns++++=persons
avoiding ^vwbg+++xvbg+=avoiding
creditors ^nns++++=creditors.
. ^zz++++=EXTRAWORD
A ^at++++=A
wind ^nn++++=wind
from ^in++++=from
the ^ati++++=the
lake ^nn++++=lake
ran ^vbd+++xvbn+=ran
icy ^jj+atrb+++=icy
fingers ^nns+nom+++=fingers
through ^rp++++=through
her ^pp3o+pp3+++=her
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
The ^ati++++=The
coat ^nn++++=coat
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
belonged ^vprf+++xvbnx+=belonged
to ^in++++=to
a ^at++++=a
larger ^jjr+atrb+++=larger
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
hung ^vbd+++xvbn+=hung
upon ^in++++=upon
Jennie ^np+++??+=Jennie
as ^cs+sub+++=as
though ^cs+sub+++=though
disappointed ^jj+++xvbn+=disappointed
in ^in++++=in
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
shoes ^nns++++=shoes
admitted ^vwbn+vpub++xvbn+=admitted
snow ^nn++++=snow
at ^rb++++=at
the ^ati++++=the
toes ^nns++++=toes.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
stocking ^nn++++=stocking
had ^vbd+hvd+aux++=had
slipped ^vprf+++xvbnx+=slipped
down ^rp++++=down
and ^cc++++=and
wrinkled ^vwbn+++xvbn+=wrinkled
beneath ^rb++++=beneath
her ^pp$+pp3+++=her
heel ^nn++++=heel,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
lacked ^vbd+++xvbnx+=lacked
the ^ati++++=the
energy ^nn++++=energy
to ^to++++=to
repair ^vbi++++=repair
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
asked ^vbd+vsua++xvbnx+=asked
a ^at++++=a
man ^nn++++=man
carrying ^vwbg+++xvbg+=carrying
a ^at++++=a
briefcase ^nn++++=briefcase
where ^wrb+who+++=where
West ^np+pl+++=West
Madison ^np+++??+=Madison
lay ^vbd+++xvbn+=lay.
. ^zz++++=EXTRAWORD
" ^zz++++="Search
search ^nn++++=EXTRAWORD
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hurried ^vpsv++agls+xvbn+=hurried
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
asked ^vbd+vsua++xvbnx+=asked
an ^at++++=an
errand ^nn++++=errand
boy ^nn++++=boy
whose ^wp$r+who+whcl++=whose
cap ^nn++++=cap
sat ^vbd+++xvbn+=sat
upon ^in++++=upon
one ^cd1++++=one
ear ^nn++++=ear.
. ^zz++++=EXTRAWORD
" ^zz++++="Keep
keep ^vb++++=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
till ^cs+sub+++=till
you ^pp2+pp2+++=you
get ^vb++++=get
there ^rn+pl+++=there,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
advised ^vbd+vpub++xvbnx+=advised.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
approached ^vbd+++xvbnx+=approached
a ^at++++=a
stout ^jj+atrb+++=stout
woman ^nn++++=woman
coming ^vwbg+++xvbg+=coming
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
theatre ^nn++++=theatre
ticket ^nn++++=ticket
office ^nn++++=office.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
wore ^vbd+++xvbn+=wore
sealskin ^nn++++=sealskin,
, ^zz++++=EXTRAWORD
a ^at++++=a
feathered ^jj+atrb+++=feathered
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
small ^jj+atrb+++=small
lorgnette ^nn+nom+++=lorgnette
suspended ^vwbn+++xvbn+=suspended
from ^in++++=from
a ^at++++=a
chain ^nn++++=chain.
. ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
selected ^vwbn+++xvbn+=selected
her ^pp3o+pp3+++=her
because ^cs+cos+++=because
people ^nns++++=people
in ^in++++=in
sealskin ^nn++++=sealskin
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
capable ^jj++++=capable
of ^in++++=of
philanthropy ^nn++++=philanthropy.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
an ^at++++=an
error ^nn++++=error,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
popular ^jj+atrb+++=popular
one ^pn++++=one.
. ^zz++++=EXTRAWORD
" ^zz++++="Madam,
madam ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
ye ^pp2+pp2+++=ye
perhaps ^rb++++=perhaps
spare ^vb++++=spare
" ^zz++++="
The ^ati++++=The
lorgnette ^nn+nom+++=lorgnette
rose ^vbd+++xvbn+=rose.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
inspected ^vbd+++xvbn+=inspected
Jennie ^np+++??+=Jennie
from ^in++++=from
wet ^jj+atrb+++=wet
shoes ^nns++++=shoes
to ^in++++=to
colourless ^jj+atrb+++=colourless
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
good ^jj+atrb+++=good
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
give ^vb++++=give
in ^in++++=in
the ^ati++++=the
street ^nn++++=street."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
people ^nns++++=people
who ^whp+rel+subj++=who
never ^rb++++=never
give ^vb++++=give
in ^in++++=in
the ^ati++++=the
street ^nn++++=street,
, ^zz++++=EXTRAWORD
never ^rb++++=never
give ^vb++++=give
at ^in++++=at
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
never ^rb++++=never
give ^vb++++=give
through ^in++++=through
the ^ati++++=the
mail ^nn++++=mail,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
never ^rb++++=never
give ^vb++++=give
without ^in++++=without
having ^xvbg+++xvbg+=having
the ^ati++++=the
amount ^nn++++=amount
engraved ^vbd+++xvbn+=engraved
upon ^in++++=upon
a ^at++++=a
marble ^nn++++=marble
tablet ^nn++++=tablet.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
principles ^nns++++=principles,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
warmer ^jjr+pred+++=warmer
than ^in++++=than
sealskin ^nn++++=sealskin
and ^cc++++=and
cost ^nn++++=cost
less ^rbr++++=less.
. ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
tried ^vbd+++xvbn+=tried
a ^at++++=a
workman ^nn++++=workman
powdered ^vbd+++xvbn+=powdered
white ^jj++++=white
with ^in++++=with
lime ^nn++++=lime.
. ^zz++++=EXTRAWORD
" ^zz++++="Ain't
ai ^vb+be+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
got ^vprf+++xvbn+=got
a ^at++++=a
nickel ^nn++++=nickel,
, ^zz++++=EXTRAWORD
sister ^nn++++=sister,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
showing ^vbg+vprv++xvbg+=showing
empty ^jj+atrb+++=empty
palms ^nns++++=palms.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
honestly ^rb++++=honestly
sorry ^uh++++=sorry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
that ^dt+dem+++=that
reason ^nn++++=reason
she ^pp3a+pp3+++=she
thanked ^vbd+++xvbnx+=thanked
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
tried ^vbd+++xvbnx+=tried
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
with ^in++++=with
a ^at++++=a
carnation ^np+nom+++=carnation
in ^in++++=in
his ^pp$+pp3+++=his
buttonhole ^nn++++=buttonhole.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
smiled ^vbd+++xvbnx+=smiled
before ^in++++=before
hearing ^xvbg+++xvbg+=hearing
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Sorry,
sorry ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
kid ^nn++++=kid.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
married ^vpsv++agls+xvbnx+=married."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
struck ^vbd+++xvbn+=struck
him ^pp3o+pp3+++=him
as ^in++++=as
witty ^nn++++=witty.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
carried ^vbd+++xvbnx+=carried
the ^ati++++=the
joke ^nn++++=joke
half ^abn++++=half
a ^at++++=a
block ^nn++++=block
and ^cc++++=and
chuckled ^vpsv++agls+xvbn+=chuckled
over ^in++++=over
it ^pp3+it+++=it
twice ^rb++++=twice.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
tried ^vbd+++xvbnx+=tried
nobody ^pn++++=nobody
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
By ^in++++=By
three ^cd++++=three
o'clock ^rb++++=o'clock
the ^ati++++=the
four ^cd++++=four
cents ^nns++++=cents
had ^vbd+hvd+aux++=had
acquired ^vprf+++xvbnx+=acquired
a ^at++++=a
personality ^nn+nom+++=personality.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
lay ^vbd+++xvbnx+=lay
in ^in++++=in
her ^pp$+pp3+++=her
pocket ^nn++++=pocket
and ^cc++++=and
argued ^vbd+vpub++xvbn+=argued.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
cents ^nns++++=cents
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
buy ^vbi++++=buy
a ^at++++=a
morning ^nn++++=morning
newspaper ^nn+nom+++=newspaper
at ^in++++=at
the ^ati++++=the
wrong ^jj+atrb+++=wrong
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
cent ^nnu"++++=cent
favoured ^vbd+++xvbn+=favoured
a ^at++++=a
stick ^nn++++=stick
of ^in++++=of
gum ^np++++=gum,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
fourth ^od++++=fourth
advocated ^vbd+vsua++xvbn+=advocated
hoarding ^j++++=hoarding.
. ^zz++++=EXTRAWORD
Together ^nn+nom+++=Together
they ^pp3a+pp3+++=they
could ^md+pos+++=could
not ^xnot++not++=not
purchase ^vb++++=purchase
a ^at++++=a
cup ^nn++++=cup
of ^in++++=of
coffee ^nn++++=coffee.
. ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
put ^vbd+++xvbn+=put
her ^pp$+pp3+++=her
hand ^nn++++=hand
around ^rp++++=around
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
less ^rbr++++=less
from ^in++++=from
affection ^nn+nom+++=affection
than ^in++++=than
to ^to++++=to
make ^vbi++++=make
sure ^jj++++=sure
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
not ^xnot++not++=not
deserted ^jj+++xvbn+=deserted.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
passed ^vbd+++xvbnx+=passed
lunchrooms ^vbz+++??+=lunchrooms
whose ^whp+who+++=whose
windows ^nns++++=windows
advertised ^vbd+++xvbn+=advertised
beef ^nn++++=beef
stew ^nn+++??+=stew,
, ^zz++++=EXTRAWORD
fifteen ^cd++++=fifteen
cents ^nns++++=cents;
; ^zz++++=EXTRAWORD
ham ^nn++++=ham
and ^cc++++=and
eggs ^nns++++=eggs,
, ^zz++++=EXTRAWORD
twenty ^cd++++=twenty-five;
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
; ^zz++++=EXTRAWORD
wheat ^nn++++=wheat
cakes ^nns++++=cakes
with ^in++++=with
syrup ^nn++++=syrup,
, ^zz++++=EXTRAWORD
ten ^cd++++=ten;
; ^zz++++=EXTRAWORD
coffee ^nn++++=coffee,
, ^zz++++=EXTRAWORD
five ^cd++++=five.
. ^zz++++=EXTRAWORD
Five ^cd++++=Five
cents ^nns++++=cents!
! ^zz++++=EXTRAWORD
The ^ati++++=The
coffee ^nn++++=coffee
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
distilled ^vwbn+++xvbn+=distilled
from ^in++++=from
rubies ^nns++++=rubies.
. ^zz++++=EXTRAWORD
A ^at++++=A
cafeteria ^nn++++=cafeteria
displayed ^vbd+++xvbn+=displayed
baked ^vbd+++xvbn+=baked
apples ^nns++++=apples
swimming ^vwbg+++xvbg+=swimming
in ^in++++=in
amber ^jj+atrb+++=amber
syrup ^nn++++=syrup;
; ^zz++++=EXTRAWORD
custard ^nn+++??+=custard
pies ^nns++++=pies
with ^in++++=with
trembling ^xvbg+++xvbg+=trembling
yellow ^jj+atrb+++=yellow
centres ^nns++++=centres;
; ^zz++++=EXTRAWORD
bowls ^nns++++=bowls
of ^in++++=of
rice ^nn++++=rice
pudding ^nn++++=pudding
dusted ^vbd+++xvbn+=dusted
with ^in++++=with
cinnamon ^nn++++=cinnamon;
; ^zz++++=EXTRAWORD
roast ^vb++++=roast
pork ^nn++++=pork
beneath ^in+pl+++=beneath
a ^at++++=a
crust ^nn++++=crust
that ^tht+rel+subj++=that
crackled ^vbd+++xvbn+=crackled
in ^in++++=in
imagination ^nn+nom+++=imagination;
; ^zz++++=EXTRAWORD
brown ^jj+atrb+++=brown
gravy ^nn++++=gravy
shining ^vwbg+++xvbg+=shining
over ^in++++=over
mountains ^npl++++=mountains
of ^in++++=of
mashed ^jj+atrb++xvbn+=mashed
potato ^nn++++=potato.
. ^zz++++=EXTRAWORD
A ^at++++=A
revolving ^jj+atrb++xvbg+=revolving
ventilator ^nn++++=ventilator
pushed ^vwbn+++xvbn+=pushed
the ^ati++++=the
smells ^nns++++=smells
into ^in++++=into
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
submit ^vb+vpub+++=submit,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
assault ^nn++++=assault.
. ^zz++++=EXTRAWORD
Had ^vb+hv+aux++=Had
Jennie ^np+++??+=Jennie
struck ^vbd+++xvbn+=struck
the ^ati++++=the
restaurant ^nn+nom+++=restaurant
with ^in++++=with
a ^at++++=a
brick ^nn++++=brick,
, ^zz++++=EXTRAWORD
any ^dti++++=any
intelligent ^jj+atrb+++=intelligent
jury ^nn++++=jury
would ^md+prd+++=would
have ^vb+hv+aux++=have
called ^vprf+++xvbnx+=called
it ^pp3+it+++=it
self ^nn++++=self-defence.
- ^zz++++=EXTRAWORD
defence ^nn+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
no ^at++++=no
brick ^nn++++=brick.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
came ^vbd+++xvbnx+=came
at ^rb++++=at
last ^rb"++++=last
to ^in++++=to
a ^at++++=a
department ^nn+nom+++=department
store ^nn++++=store,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
enormous ^jj+atrb+++=enormous
commercial ^jj+atrb+++=commercial
temples ^nns++++=temples
in ^in++++=in
which ^whp+rel+pied++=which
a ^at++++=a
citizen ^nn++++=citizen
may ^md+pos+++=may
buy ^vb++++=buy
a ^at++++=a
piano ^nn++++=piano,
, ^zz++++=EXTRAWORD
a ^at++++=a
corset ^nn+++??+=corset,
, ^zz++++=EXTRAWORD
a ^at++++=a
fishing ^jj+++xvbg+=fishing
rod ^np++++=rod,
, ^zz++++=EXTRAWORD
a ^at++++=a
funeral ^nn++++=funeral
wreath ^nn++++=wreath,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
imported ^jj+atrb++xvbn+=imported
sausage ^nn+nom+++=sausage
without ^in++++=without
once ^rb+tm+++=once
seeing ^vbg+vprv++xvbg+=seeing
daylight ^nn++++=daylight.
. ^zz++++=EXTRAWORD
Warmth ^nn++++=Warmth
rolled ^vbd+++xvbn+=rolled
through ^in++++=through
the ^ati++++=the
revolving ^jj+atrb++xvbg+=revolving
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
entered ^vbd+++xvbn+=entered.
. ^zz++++=EXTRAWORD
Instantly ^rb+tm+++=Instantly
civilisation ^nn+nom+++=civilisation
received ^vbd+++xvbn+=received
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Perfume ^nn++++=Perfume
counters ^nns+nom+++=counters
breathed ^vbd+++xvbn+=breathed
upon ^in++++=upon
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
elevators ^nns++++=elevators
clanged ^vbd+++xvbn+=clanged;
; ^zz++++=EXTRAWORD
cash ^nn++++=cash
registers ^nns+nom+++=registers
rang ^vbd+++xvbn+=rang;
; ^zz++++=EXTRAWORD
saleswomen ^j+++xvbn+=saleswomen
in ^in++++=in
black ^nn++++=black
moved ^vbd+++xvbn+=moved
briskly ^rb++++=briskly
behind ^in+pl+++=behind
counters ^nns+nom+++=counters;
; ^zz++++=EXTRAWORD
parcels ^nns++++=parcels
travelled ^vbd+++xvbn+=travelled
overhead ^jjb++++=overhead
on ^in++++=on
wires ^nns++++=wires
like ^in++++=like
captive ^jj+atrb+++=captive
birds ^nns++++=birds.
. ^zz++++=EXTRAWORD
A ^at++++=A
floorwalker ^jjr++++=floorwalker,
, ^zz++++=EXTRAWORD
tall ^jj++++=tall
and ^cc+phrs+++=and
waxed ^jj+++xvbn+=waxed
and ^cc+phrs+++=and
parted ^jj+++xvbn+=parted
down ^rp++++=down
the ^ati++++=the
centre ^nn++++=centre,
, ^zz++++=EXTRAWORD
saw ^j+++xvbn+=saw
everything ^pn++++=everything
in ^in++++=in
the ^ati++++=the
store ^nn++++=store
except ^in++++=except
Jennie ^np+++??+=Jennie.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
paused ^vbd+++xvbnx+=paused
beside ^in+pl+++=beside
gloves ^nns++++=gloves.
. ^zz++++=EXTRAWORD
Gloves ^nns++++=Gloves
at ^in++++=at
two ^cd++++=two
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
four ^cd++++=four
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
six ^cd++++=six
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
twelve ^cd++++=twelve
dollars ^nns++++=dollars
the ^ati++++=the
hands ^nns++++=hands
of ^in++++=of
the ^ati++++=the
rich ^jj++++=rich
evidently ^rb++++=evidently
requiring ^vbg+vsua++xvbg+=requiring
more ^rbr++++=more
protection ^nn+nom+++=protection
than ^in++++=than
the ^ati++++=the
bodies ^nns++++=bodies
of ^in++++=of
the ^ati++++=the
poor ^nn++++=poor.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
came ^vbd+++xvbn+=came
ribbons ^nns++++=ribbons,
, ^zz++++=EXTRAWORD
laces ^nns++++=laces,
, ^zz++++=EXTRAWORD
silver ^nn++++=silver,
, ^zz++++=EXTRAWORD
china ^np++++=china,
, ^zz++++=EXTRAWORD
toys ^nns++++=toys,
, ^zz++++=EXTRAWORD
furniture ^nn++++=furniture,
, ^zz++++=EXTRAWORD
lamps ^nns++++=lamps.
. ^zz++++=EXTRAWORD
A ^at++++=A
mechanical ^nn++++=mechanical
bear ^vb+vprv+++=bear
beat ^nn+++xvbn+=beat
a ^at++++=a
drum ^nn++++=drum
in ^in++++=in
the ^ati++++=the
toy ^nn++++=toy
department ^nn+nom+++=department
with ^in++++=with
the ^ati++++=the
fixed ^jj+atrb++xvbn+=fixed
cheerfulness ^nns+nom+++=cheerfulness
of ^in++++=of
one ^cd1++++=one
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
never ^rb++splt++=never
missed ^vprf+++xvbnx+=missed
a ^at++++=a
meal ^nn++++=meal.
. ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
saw ^vbd+vprv++xvbn+=saw
a ^at++++=a
sign ^nn++++=sign:
: ^zz++++=EXTRAWORD
**grocery ^nn+nom+++=**GROCERY
Department ^nn+nom+++=DEPARTMENT
Basement** ^np+++??+=BASEMENT**
She ^pp3a+pp3+++=She
followed ^vbd+vprv+tht0+xvbnx+=followed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
basement ^nn+nom+++=basement
was ^vbd+bedz+vrb++=was
no ^at++++=no
basement ^nn+nom+++=basement.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
continent ^nn++++=continent
of ^in++++=of
food ^nn++++=food.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
the ^ati++++=the
city ^npl++++=city's
's ^$++++=EXTRAWORD
appetite ^nn++++=appetite
had ^vbd+hvd+aux++=had
organised ^vprf+++xvbnx+=organised
itself ^ppl++++=itself
into ^in++++=into
aisles ^nns+++??+=aisles,
, ^zz++++=EXTRAWORD
counters ^nns+nom+++=counters,
, ^zz++++=EXTRAWORD
showcases ^nns+++??+=showcases,
, ^zz++++=EXTRAWORD
bins ^nns++++=bins,
, ^zz++++=EXTRAWORD
