# ^zz++++=#
Something ^pn++++=SOMETHING
when ^wrb+who+whcl++=when
the ^ati++++=the
jury ^nn++++=jury
is ^vbz+bez+vrb++=is
against ^in++++=against
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
she ^pp3a+pp3+++=she
could ^md+pos+++=could
answer ^vb++++=answer,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night
Violet ^nn++++=Violet
cried ^vbd+++xvbn+=cried
with ^in++++=with
her ^pp$+pp3+++=her
face ^nn++++=face
buried ^vwbn+++xvbn+=buried
in ^in++++=in
the ^ati++++=the
pillow ^nn++++=pillow.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
told ^vbd+vpub+tht0+xvbnx+=told
herself ^ppl+pp3+++=herself
that ^cs+sub+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
aversion ^nn++++=aversion,
, ^zz++++=EXTRAWORD
shame ^vb++++=shame
and ^cc++++=and
dread ^nn++++=dread
of ^in++++=of
the ^ati++++=the
future ^nn++++=future.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
beneath ^in+pl+++=beneath
those ^dt+dem+++=those
feelings ^nns+nom+++=feelings
something ^pn++++=something
else ^rb+cnj+++=else
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
stir ^vbi++++=stir
something ^pn++++=something
warm ^jj++++=warm
and ^cc+phrs+++=and
reluctant ^jj++++=reluctant,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
refused ^vbd+++xvbnx+=refused
to ^to+vcmp+++=to
name ^vb++++=name.
. ^zz++++=EXTRAWORD
The ^ati++++=The
change ^nn++++=change
in ^in++++=in
their ^pp$+pp3+++=their
fortunes ^nns++++=fortunes
came ^vbd+++xvbn+=came
through ^in++++=through
a ^at++++=a
newspaper ^nn+nom+++=newspaper
paragraph ^nn++++=paragraph.
. ^zz++++=EXTRAWORD
Jerry ^np++++=Jerry
burst ^vbd+++xvbn+=burst
into ^in+ppvb+++=into
the ^ati++++=the
sitting ^jj+++xvbg+=sitting-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
shortly ^rb+tm+++=shortly
before ^in++++=before
breakfast ^nn++++=breakfast,
, ^zz++++=EXTRAWORD
half ^abn++++=half
dressed ^jj+++xvbn+=dressed
and ^cc++++=and
wholly ^rb++++=wholly
incoherent ^jj++++=incoherent.
. ^zz++++=EXTRAWORD
" ^zz++++="Vi!
vi ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
are ^vb+ber+aux++=are
the ^ati++++=the
certificates ^nns+nom+++=certificates?
? ^zz++++=EXTRAWORD
The ^ati++++=The
San ^np++++=San
Marco ^np+++??+=Marco
shares ^nns++++=shares
where ^wrb+who+++=where
did ^vbd+dod+vrb++=did
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
them ^pp3o+pp3+++=them?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
the ^ati++++=the
black ^jj+atrb+++=black
dispatch ^nn++++=dispatch-box."
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Key?"
key ^jjb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+vrb++=have
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=haven't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have.
. ^zz++++=EXTRAWORD
Great ^jj+atrb+++=Great
heavens ^nns++++=heavens,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
a ^at++++=a
turn ^nn++++=turn-up!"
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
flung ^vbd+++xvbnx+=flung
open ^jj++++=open
a ^at++++=a
drawer ^nn++++=drawer,
, ^zz++++=EXTRAWORD
scattering ^vbg+++xvbg+=scattering
gloves ^nns++++=gloves,
, ^zz++++=EXTRAWORD
letters ^nns+nom+++=letters
and ^cc++++=and
old ^jj+atrb+++=old
bills ^nns++++=bills
across ^in+pl+++=across
the ^ati++++=the
carpet ^nn++++=carpet.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
has ^vbz+hvz+aux++=has
happened ^vprf+++xvbnx+=happened?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Happened?
happened ^vbd+++xvbn+=EXTRAWORD
? ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They've
've ^vb+hv+aux++0=EXTRAWORD
risen ^vwbn+++xvbn+=risen!
! ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+vrb++0=EXTRAWORD
at ^rb++++=at
twelve ^cd++++=twelve."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Violet ^jj++++=Violet
stared ^jj+++xvbn+=stared.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
were ^vbd+bed+vrb++=were
eightpence ^nn+nom+++=eightpence
yesterday ^nr+tm+++=yesterday."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Exactly!
exactly ^rb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Twelve ^cd++++=Twelve
pounds ^nns++++=pounds
not ^xnot++not++=not
shillings ^nns+nom+++=shillings.
. ^zz++++=EXTRAWORD
Twelve ^cd++++=Twelve
pounds ^nns++++=pounds,
, ^zz++++=EXTRAWORD
Vi ^np+++??+=Vi!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
found ^vbd+vprv++xvbnx+=found
the ^ati++++=the
key ^jjb++++=key
at ^rb++++=at
last ^rb"++++=last
and ^cc++++=and
dragged ^vbd+++xvbn+=dragged
the ^ati++++=the
battered ^jj+atrb++xvbn+=battered
dispatch ^nn++++=dispatch-box
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
from ^in++++=from
beneath ^in+pl+++=beneath
the ^ati++++=the
writing ^jj+++xvbg+=writing-table.
- ^zz++++=EXTRAWORD
table ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hands ^nns++++=hands
shook ^vbd+++xvbn+=shook
so ^rb++++=so
violently ^rb++++=violently
that ^dt+dem+++=that
Violet ^jj++++=Violet
took ^vbd+++xvbn+=took
the ^ati++++=the
key ^nn++++=key
from ^in++++=from
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
have ^vb+hv+vrb++=have
they ^pp3a+pp3+++=they
risen ^vprf+++xvbn+=risen?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="New
new ^jj+atrb+++=EXTRAWORD
capital ^nn++++=capital.
. ^zz++++=EXTRAWORD
Reorganization ^np+nom++??+=Reorganization.
. ^zz++++=EXTRAWORD
A ^at++++=A
syndicate ^nn+nom+++=syndicate
is ^vbz+bez+aux++=is
taking ^vbg+++xvbgx+=taking
over ^rb+phrv+++=over
the ^ati++++=the
line ^nn++++=line.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
say ^vb+vpub+tht0++=say
the ^ati++++=the
northern ^jj+atrb+++=northern
extension ^nn++++=extension
is ^vbz+bez+aux++=is
to ^to++++=to
be ^vbi+vbi+aux++=be
completed ^vpsv++agls+xvbnx+=completed
after ^in++++=after
all ^abn++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
snatched ^vbd+++xvbnx+=snatched
the ^ati++++=the
certificates ^nns+nom+++=certificates
and ^cc++++=and
began ^vbd+++xvbn+=began
counting ^nvbg+++xvbg+=counting
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="Five
five ^cd++++=EXTRAWORD
hundred ^cd++++=hundred
shares ^nns++++=shares.
. ^zz++++=EXTRAWORD
Bought ^j+++xvbn+=Bought
at ^rb++++=at
seven ^cd++++=seven
pounds ^nns++++=pounds
then ^rn+tm+++=then
down ^rp++++=down
to ^in++++=to
nothing ^pn++++=nothing
and ^cc++++=and
now ^rn+tm+++=now
twelve ^cd++++=twelve!
! ^zz++++=EXTRAWORD
Six ^cd++++=Six
thousand ^cd++++=thousand
pounds ^nns++++=pounds,
, ^zz++++=EXTRAWORD
Violet ^jj++++=Violet!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
rise ^nn++++=rise
further ^jjb+atrb+++=further
" ^zz++++="
" ^zz++++="Will
will ^md+prd+++=EXTRAWORD
they ^pp3a+pp3+++=they?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj+atrb+++=dear
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they'll
'll ^md+prd+++0=EXTRAWORD
go ^vb++++=go
like ^in++++=like
a ^at++++=a
spring ^nn++++=spring
tide ^vb++++=tide.
. ^zz++++=EXTRAWORD
Prendergast ^np+++??+=Prendergast
always ^rb++++=always
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
traffic ^nn++++=traffic
possibilities ^nns+nom+++=possibilities
were ^vbd+bed+vrb++=were
enormous ^jj+pred+++=enormous."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Prendergast
prendergast ^nn+++??+=EXTRAWORD
also ^rb++++=also
lost ^vbd+++xvbn+=lost
all ^abn++++=all
his ^pp$+pp3+++=his
money ^nn++++=money."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jerry ^np++++=Jerry
waved ^vbd+++xvbn+=waved
this ^dt+pdem+++=this
aside ^rp++++=aside.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
are ^vb+ber+aux++=are
saved ^vpsv++agls+xvbnx+=saved!
! ^zz++++=EXTRAWORD
Better ^jjr++++=Better
than ^in++++=than
saved ^nn++++=saved.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
they ^pp3a+pp3+++=they
reach ^vb++++=reach
twenty ^cd++++=twenty,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
have ^vb+hv+vrb++=have
ten ^cd++++=ten
thousand ^cd++++=thousand
clear ^jj++++=clear."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Violet ^jj++++=Violet
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
first ^od++++=first
emotion ^nn+nom+++=emotion
was ^vbd+bedz+vrb++=was
relief ^nn++++=relief,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
sudden ^jj++++=sudden
and ^cc++++=and
exquisite ^nn++++=exquisite
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
felt ^vbd+vprv++xvbnx+=felt
faint ^jj++++=faint.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
helpless ^jj++++=helpless.
. ^zz++++=EXTRAWORD
Jerry ^np++++=Jerry
need ^nn++++=need
not ^xnot++not++=not
accept ^vb+vprv+++=accept
Dick ^np++++=Dick's
's ^$++++=EXTRAWORD
employment ^nn+nom+++=employment.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
need ^nn++++=need
not ^xnot++not++=not
marry ^vb++++=marry
The ^ati++++=The
thought ^nn++++=thought
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
Jerry ^np++++=Jerry,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
it ^pp3+it+++=it
more ^rbr++++=more
rapidly ^rb+cnj+++=rapidly,
, ^zz++++=EXTRAWORD
struck ^j+++xvbn+=struck
the ^ati++++=the
table ^nn++++=table
with ^in++++=with
his ^pp$+pp3+++=his
fist ^nn++++=fist.
. ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course!
! ^zz++++=EXTRAWORD
The ^ati++++=The
engagement ^nn+nom+++=engagement."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
end ^vb++++=end
it ^pp3+it+++=it
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
A ^at++++=A
coldness ^nns+nom+++=coldness
passed ^vbd+++xvbn+=passed
through ^in++++=through
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="We?"
we ^pp1a+pp1+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You,
you ^pp2+pp2+++=EXTRAWORD
, ^zz++++=EXTRAWORD
naturally ^rb++++=naturally.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
see ^vb+vprv+++=see
Kenyon ^np+++??+=Kenyon."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
not ^xnot++not++=not?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
I ^pp1a+pp1+++=I
promised ^vbd+++xvbnx+=promised
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jerry ^np++++=Jerry
stared ^vbd+++xvbn+=stared
as ^cs+sub+++=as
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
spoken ^vprf+++xvbnx+=spoken
in ^in++++=in
another ^dt++++=another
language ^nn+nom+++=language.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
promised ^vbd+++xvbn+=promised
him ^pp3o+pp3+++=him
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
ruined ^vpsv++agls+xvbnx+=ruined."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
promised ^vbd+++xvbnx+=promised
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come,
, ^zz++++=EXTRAWORD
Vi ^np+++??+=Vi!
! ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
quixotic ^jj+pred+++=quixotic.
. ^zz++++=EXTRAWORD
The ^ati++++=The
whole ^jj+atrb+++=whole
situation ^nn+nom+++=situation
has ^vbz+hvz+aux++=has
altered ^vprf+++xvbnx+=altered."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Has
has ^vbz+hvz+vrb++=EXTRAWORD
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Completely.
completely ^rb+amp+++=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
accepted ^vbd+++xvbn+=accepted
because ^cs+cos+++=because
you ^pp2+pp2+++=you
thought ^vbd+++xvbn+=thought
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
other ^ap++++=other
way ^nn++++=way."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face
burned ^vbd+++xvbn+=burned.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
knew ^vbd+vprv+tht0+xvbn+=knew
that ^tht+vcmp+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj+atrb+++=dear
child ^nn++++=child,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suggested ^vbd+vpub+tht0+xvbnx+=suggested
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
does ^vbz+doz+aux++=does
he ^pp3a+pp3+++=he
know ^vb+vprv+++=know?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jerry ^np++++=Jerry's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes
shifted ^vbd+++xvbn+=shifted.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
suppose ^vb+vprv+tht0++=suppose
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
blind ^jj+pred+++=blind.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
is ^vbz+bez+aux++=is
no ^at++++=no
need ^vb++md++=need
to ^to+vcmp+++=to
rake ^vb++++=rake
up ^rp++++=up
unpleasant ^jj+atrb+++=unpleasant
details ^nns++++=details.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
him ^pp3o+pp3+++=him
circumstances ^nns+nom+++=circumstances
have ^vb+hv+aux++=have
changed ^vprf+++xvbnx+=changed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
a ^at++++=a
man ^nn++++=man
of ^in++++=of
the ^ati++++=the
world ^nn++++=world."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Violet ^jj+atrb+++=Violet
rose ^nn+++xvbn+=rose.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
shall ^md+prd+++=shall
not ^xnot++not++=not
tell ^vb++++=tell
him ^pp3o+pp3+++=him
anything ^pn++++=anything."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
imagine ^vb+vprv+tht0++=imagine
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
let ^vb+++xvbn+=let
you ^pp2+pp2+++=you
sacrifice ^vb++++=sacrifice
yourself ^ppl+pp2+++=yourself
to ^in++++=to
a ^at++++=a
phrase ^nn++++=phrase?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
promise ^nn++++=promise."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Given
given ^vbd+++xvbn+=EXTRAWORD
under ^in++++=under
pressure ^nn++++=pressure."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
pressure ^nn++++=pressure."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jerry ^np++++=Jerry
flushed ^vbd+++xvbn+=flushed.
. ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
blame ^vb++++=blame
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
deserve ^vb++++=deserve
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
do ^vb+do+aux++=do
not ^xnot++not++=not
make ^vb++++=make
two ^cd++++=two
blunders ^nns+nom+++=blunders
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
one ^pn++++=one."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
moved ^vbd+++xvbnx+=moved
to ^in++++=to
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
Rain ^nn++++=Rain
blurred ^vbd+++xvbn+=blurred
the ^ati++++=the
roofs ^nns++++=roofs
opposite ^jj++++=opposite,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beyond ^in++++=beyond
them ^pp3o+pp3+++=them
the ^ati++++=the
city ^nn++++=city
lay ^vbd+++xvbn+=lay
under ^in++++=under
a ^at++++=a
smoky ^jj+atrb+++=smoky,
, ^zz++++=EXTRAWORD
impenetrable ^jj+atrb+++=impenetrable
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps,"
perhaps ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Kenyon ^np++++=Kenyon
will ^md+prd+++=will
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
release ^vb++++=release
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Wish
wish ^vb+vprv+++=EXTRAWORD
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He'll
'll ^md+prd+++0=EXTRAWORD
have ^vb+hv+vrb++=have
to ^in+strn+++=to."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
head ^jjb++++=head
turned ^jj+++xvbn+=turned.
. ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+vrb++=EXTRAWORD
to ^to++++=to?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
are ^vb+ber+vrb++=are
no ^at++++=no
longer ^rbr++++=longer
beggars ^nns++++=beggars.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
puts ^vbz++++=puts
us ^pp1o+pp1+++=us
in ^in++++=in
a ^at++++=a
position ^nn+nom+++=position
to ^to++++=to
settle ^vbi++++=settle
the ^ati++++=the
affair ^nn++++=affair
decently ^rb++++=decently."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Settle
settle ^vb++++=EXTRAWORD
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jerry ^np++++=Jerry
was ^vbd+bedz+vrb++=was
too ^ql++++=too
excited ^jj+++xvbn+=excited
to ^to++++=to
hear ^vbi+vprv+++=hear
the ^ati++++=the
warning ^nn++++=warning
in ^in++++=in
her ^pp$+pp3+++=her
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+vrb++=be
expenses ^nns++++=expenses.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+aux++=has
made ^vprf+++xvbnx+=made
arrangements ^nns+nom+++=arrangements,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
house ^nn++++=house
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
of ^in++++=of
taking ^nn++++=taking.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
could ^md+pos+++=could
offer ^vb++++=offer
compensation ^nn+nom+++=compensation."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
second ^od++++=second
Violet ^nn++++=Violet
did ^vbd+dod+aux++=did
not ^xnot++not++=not
understand ^vb+vprv+++=understand.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
blood ^nn++++=blood
rushed ^vbd+++xvbn+=rushed
to ^in++++=to
her ^pp$+pp3+++=her
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="Money?"
money ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
in ^cs+sub+++=in
that ^cs"++++=that
vulgar ^jj+atrb+++=vulgar
sense ^nn++++=sense."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
what ^wdt+who+++=what
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Business
business ^nns+nom+++=EXTRAWORD
is ^vbz+bez+vrb++=is
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
entered ^vbd+++xvbnx+=entered
into ^in+ppvb+++=into
the ^ati++++=the
engagement ^nn+nom+++=engagement
believing ^vwbg+vprv++xvbg+=believing
" ^zz++++="
" ^zz++++="Stop!"
stop ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
so ^ql++++=so
sharp ^np++++=sharp
that ^tht+rel+obj++=that
Jerry ^np++++=Jerry
fell ^vbd+++xvbn+=fell
silent ^jj++++=silent.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
persuaded ^vbd+vsua++xvbn+=persuaded
me ^pp1o+pp1+++=me
to ^to++++=to
sell ^vbi++++=sell
myself ^ppl+pp1+++=myself
to ^in++++=to
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
propose ^vb++++=propose
to ^to++++=to
buy ^vbi++++=buy
me ^pp1o+pp1+++=me
