**to ^nn+++??+=**TO
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
murmur ^nn++++=murmur
belongs ^vbz++++=belongs
to ^in++++=to
the ^ati++++=the
stream ^nn++++=stream.
. ^zz++++=EXTRAWORD
Consider ^nn+nom+++=Consider
Neperan ^np+++??+=Neperan.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
word ^nn++++=word
that ^tht+rel+obj++=that
winds ^nns++++=winds
pleasantly ^rb++++=pleasantly
through ^in++++=through
the ^ati++++=the
ear ^nn++++=ear;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
stream ^nn++++=stream
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
gliding ^vbg+++xvbg+=gliding
among ^in++++=among
quiet ^nn++++=quiet
meadows ^npl++++=meadows
and ^cc++++=and
wooded ^jj+atrb+++=wooded
banks ^nns++++=banks,
, ^zz++++=EXTRAWORD
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
acknowledge ^vbi+vpub+tht0++=acknowledge
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Call ^vb++++=Call
it ^pp3+it+++=it
by ^in++++=by
some ^dti++++=some
municipal ^jj+atrb+++=municipal
surname ^nn++++=surname,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
half ^nn++++=half
its ^pp$+it+++=its
pastoral ^jj+atrb+++=pastoral
charm ^nn++++=charm
is ^vbz+bez+aux++=is
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
Pocantico ^np+++??+=Pocantico,
, ^zz++++=EXTRAWORD
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
a ^at++++=a
wild ^jj+atrb+++=wild
and ^cc+phrs+++=and
shadowy ^jj+atrb+++=shadowy
cadence ^nn+nom+++=cadence
suited ^vwbn+++xvbn+=suited
to ^in++++=to
those ^dt+dem+++=those
secluded ^jj+atrb+++=secluded
regions ^nns++++=regions
where ^wrb+who+++=where
evening ^nn++++=evening
gathers ^nns+nom+++=gathers
early ^jj++++=early
beneath ^in+pl+++=beneath
the ^ati++++=the
trees ^nns++++=trees
and ^cc++++=and
old ^jj+atrb+++=old
traditions ^nns+nom+++=traditions
linger ^vb++++=linger
in ^in++++=in
the ^ati++++=the
recesses ^nns+nom+++=recesses
of ^in++++=of
Sleepy ^jj+atrb+++=Sleepy
Hollow ^nn++++=Hollow.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
can ^md+pos+++=can
" ^zz++++="Smith's
smith ^np++++=EXTRAWORD
's ^$++++=EXTRAWORD
Brook ^np++++=Brook"
" ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
in ^in++++=in
such ^abl++++=such
company ^nn++++=company?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
comes ^vbz++++=comes
among ^in++++=among
the ^ati++++=the
spirits ^nns++++=spirits
like ^in++++=like
a ^at++++=a
tax ^nn++++=tax
collector ^nn++++=collector.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
preserve ^vb++++=preserve
these ^dt+dem+++=these
native ^jj+atrb+++=native
appellations ^nns+nom+++=appellations,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Editor ^np++++=Editor,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
merely ^rb+down+++=merely
as ^ql++++=as
curiosities ^nns+nom+++=curiosities
for ^in++++=for
antiquaries ^nns++++=antiquaries,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^ql++++=as
reliques ^nns+++??+=reliques
of ^in++++=of
a ^at++++=a
history ^nn++++=history
otherwise ^rb+cnj+++=otherwise
passing ^vbg+++xvbg+=passing
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
The ^ati++++=The
people ^nns++++=people
who ^whp+rel+subj++=who
bestowed ^vwbn+++xvbn+=bestowed
them ^pp3o+pp3+++=them
have ^vb+hv+aux++=have
faded ^vprf+++xvbnx+=faded
from ^in++++=from
many ^ap++++=many
of ^in++++=of
their ^pp$+pp3+++=their
ancient ^jj+atrb+++=ancient
seats ^nns++++=seats;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
paths ^nns++++=paths
are ^vb+ber+vrb++=are
roads ^nns++++=roads,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
hunting ^nvbg+++xvbg+=hunting
grounds ^nns++++=grounds
farms ^nns++++=farms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
council ^nn++++=council
fires ^nns++++=fires
are ^vb+ber+aux++=are
extinguished ^vpsv++agls+xvbnx+=extinguished.
. ^zz++++=EXTRAWORD
Surely ^rb++++=Surely
the ^ati++++=the
least ^ql++++=least
we ^pp1a+pp1+++=we
can ^md+pos+++=can
do ^vb+do+aux++=do
is ^vbz+bez+vrb++=is
refrain ^nn++++=refrain
from ^in++++=from
erasing ^xvbg+++xvbg+=erasing
the ^ati++++=the
few ^ap++++=few
syllables ^nns++++=syllables
that ^tht+rel+subj++=that
remain ^vb++++=remain
upon ^in++++=upon
the ^ati++++=the
land ^nn++++=land.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
inscriptions ^nns+nom+++=inscriptions
more ^rbr++++=more
venerable ^jj++++=venerable
than ^in++++=than
those ^dt+dem+++=those
carved ^jj+++xvbn+=carved
upon ^in++++=upon
monuments ^nns+nom+++=monuments,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
the ^ati++++=the
mountain ^nn++++=mountain
and ^cc++++=and
river ^npl++++=river
themselves ^ppls+pp3+++=themselves
are ^vb+ber+vrb++=are
the ^ati++++=the
tablets ^nns+nom+++=tablets.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
prudent ^jj+atrb+++=prudent
gentleman ^nn+nom+++=gentleman
will ^md+prd+++=will
object ^vb++++=object
that ^tht+rel+obj++=that
these ^dt+dem+++=these
words ^nns++++=words
are ^vb+ber+vrb++=are
difficult ^jj+pred+++=difficult.
. ^zz++++=EXTRAWORD
Difficult ^jj++++=Difficult
to ^to+jcmp+++=to
whom ^whp+wpor+++=whom?
? ^zz++++=EXTRAWORD
Every ^at++++=Every
name ^nn++++=name
is ^vbz+bez+vrb++=is
difficult ^jj+pred+++=difficult
until ^cs+sub+++=until
it ^pp3+it+++=it
becomes ^vbz++++=becomes
familiar ^jj++++=familiar.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
pronounce ^vb++++=pronounce
with ^in++++=with
composure ^nn++++=composure
the ^ati++++=the
titles ^nns++++=titles
of ^in++++=of
European ^jj+atrb+++=European
princes ^nns++++=princes,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
seem ^vb+seem+++=seem
constructed ^vbd+++xvbn+=constructed
of ^in++++=of
consonants ^nns+nom+++=consonants
packed ^vbd+++xvbn+=packed
together ^nn+nom+++=together
for ^in++++=for
exportation ^nn+nom+++=exportation;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
master ^nn++++=master
the ^ati++++=the
terminology ^nn++++=terminology
of ^in++++=of
law ^nn++++=law,
, ^zz++++=EXTRAWORD
medicine ^nn++++=medicine,
, ^zz++++=EXTRAWORD
cookery ^nn+nom+++=cookery,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
horse ^nn++++=horse-racing;
- ^zz++++=EXTRAWORD
racing ^nvbg+++xvbg+=EXTRAWORD
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
we ^pp1a+pp1+++=we
affect ^vb++++=affect
despair ^vb++++=despair
before ^cs+sub+++=before
four ^cd++++=four
harmonious ^jj+atrb+++=harmonious
syllables ^nns++++=syllables
inherited ^vbd+++xvbn+=inherited
from ^in++++=from
the ^ati++++=the
valley ^nn++++=valley
in ^in++++=in
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
live ^vb++++=live.
. ^zz++++=EXTRAWORD
Let ^jj+atrb++xvbn+=Let
poets ^nns++++=poets
employ ^vb++++=employ
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
let ^jj+atrb++xvbn+=let
historians ^nns++++=historians
restore ^vb++++=restore
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
let ^jj+atrb++xvbn+=let
schoolboys ^nns++++=schoolboys
repeat ^nn++++=repeat
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
usage ^nn++++=usage
will ^md+prd+++=will
soon ^rb+tm+splt++=soon
make ^vb++++=make
them ^pp3o+pp3+++=them
as ^in++++=as
domestic ^nn++++=domestic
as ^in++++=as
bread ^nn++++=bread.
. ^zz++++=EXTRAWORD
Literature ^nn++++=Literature,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
great ^jj++++=great
naturalizer ^jjr++++=naturalizer
of ^in++++=of
names ^nns++++=names.
. ^zz++++=EXTRAWORD
A ^at++++=A
single ^jj+atrb+++=single
song ^nn++++=song
may ^md+pos+++=may
do ^vb+do+vrb++=do
more ^rbr++++=more
than ^in++++=than
twenty ^cd++++=twenty
statutes ^nns++++=statutes.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Bryant ^np++++=Bryant
breathe ^vb++++=breathe
over ^in++++=over
a ^at++++=a
neglected ^jj+++xvbn+=neglected
river ^npl++++=river;
; ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
some ^dti++++=some
future ^jjb++++=future
Halleck ^np+++??+=Halleck
strike ^nn++++=strike
a ^at++++=a
spirited ^jj+atrb+++=spirited
measure ^nn++++=measure
upon ^in++++=upon
a ^at++++=a
mountain ^nn++++=mountain;
; ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
a ^at++++=a
novelist ^nn+nom+++=novelist
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Cooper ^np++++=Cooper's
's ^$++++=EXTRAWORD
faculty ^nn++++=faculty
place ^nn++++=place
love ^nn++++=love,
, ^zz++++=EXTRAWORD
danger ^nn++++=danger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
adventure ^nn++++=adventure
beside ^in+pl+++=beside
an ^at++++=an
obscure ^jj+atrb+++=obscure
lake ^nn++++=lake
and ^cc++++=and
presently ^rb+tm+++=presently
the ^ati++++=the
word ^nn++++=word,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
strange ^jj++++=strange,
, ^zz++++=EXTRAWORD
passes ^vbz++++=passes
into ^in++++=into
every ^at++++=every
household ^nn++++=household.
. ^zz++++=EXTRAWORD
Fancy ^jj+atrb+++=Fancy
adopts ^nns+++??+=adopts
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
memory ^nn++++=memory
cherishes ^nns+++??+=cherishes
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
map ^nn++++=map
is ^vbz+bez+vrb++=is
no ^at++++=no
longer ^rbr++++=longer
a ^at++++=a
register ^nn+nom+++=register
of ^in++++=of
distances ^nns+nom+++=distances,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
treasury ^np++++=treasury
of ^in++++=of
associations ^nns+nom+++=associations.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
therefore ^rb+cnj+splt++=therefore
propose ^vb++++=propose
without ^in++++=without
presuming ^xvbg+++xvbg+=presuming,
, ^zz++++=EXTRAWORD
forsooth ^nn+++??+=forsooth,
, ^zz++++=EXTRAWORD
to ^to++++=to
dictate ^nn+nom+++=dictate
to ^in++++=to
Congress ^nns+nom+++=Congress
that ^tht+rel+obj++=that
our ^pp$+pp1+++=our
historical ^jj++++=historical,
, ^zz++++=EXTRAWORD
antiquarian ^jj++++=antiquarian,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
literary ^jj+atrb+++=literary
societies ^nns++++=societies
enter ^vb++++=enter
into ^in+ppvb+++=into
a ^at++++=a
friendly ^jj+atrb+++=friendly
coparceny ^nn+++??+=coparceny
in ^in++++=in
this ^dt+dem+++=this
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
each ^dt++++=each
examine ^vb++++=examine
the ^ati++++=the
elder ^jjr+atrb+++=elder
nomenclature ^nn++++=nomenclature
of ^in++++=of
its ^pp$+it+++=its
neighborhood ^nn+nom+++=neighborhood;
; ^zz++++=EXTRAWORD
collect ^vb++++=collect
the ^ati++++=the
surviving ^jj+atrb++xvbg+=surviving
names ^nns++++=names
from ^in++++=from
records ^nns++++=records,
, ^zz++++=EXTRAWORD
traditions ^nns+nom+++=traditions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
memories ^nns++++=memories
of ^in++++=of
aged ^jj+atrb+++=aged
inhabitants ^nns+nom+++=inhabitants;
; ^zz++++=EXTRAWORD
determine ^vb++++=determine,
, ^zz++++=EXTRAWORD
as ^ql++++=as
nearly ^rb+down+++=nearly
as ^in++++=as
scholarship ^nn+nom+++=scholarship
permits ^nns++++=permits,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
pronunciation ^nn+nom+++=pronunciation
and ^cc++++=and
acceptation ^nn+nom+++=acceptation;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
recommend ^vb+vsua+tht0++=recommend
their ^pp$+pp3+++=their
restoration ^nn+nom+++=restoration
wherever ^nn+nom+++=wherever
some ^dti++++=some
vulgar ^jj+atrb+++=vulgar
or ^cc+phrs+++=or
borrowed ^jj+atrb++xvbn+=borrowed
substitute ^nn++++=substitute
has ^vbz+hvz+aux++=has
usurped ^vprf+++xvbnx+=usurped
the ^ati++++=the
place ^nn++++=place.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
a ^at++++=a
reform ^nn++++=reform
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+aux++=be
conducted ^vpsv++by+xvbnx+=conducted
by ^in++++=by
a ^at++++=a
committee ^nn+nom+++=committee
of ^in++++=of
political ^jj+atrb+++=political
godfathers ^nns+nom+++=godfathers.
. ^zz++++=EXTRAWORD
Keep ^vb++++=Keep
candidates ^nns+nom+++=candidates
away ^in+pl+++=away
from ^in"++++=from
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
every ^at++++=every
doubtful ^jj+atrb+++=doubtful
township ^nn+nom+++=township
will ^md+prd+++=will
be ^vb+be+aux++=be
christened ^vpsv++agls+xvbnx+=christened
in ^in++++=in
expectation ^nn+nom+++=expectation
of ^in++++=of
an ^at++++=an
appointment ^nn+nom+++=appointment.
. ^zz++++=EXTRAWORD
Let ^jj+atrb++xvbn+=Let
taste ^nn++++=taste,
, ^zz++++=EXTRAWORD
history ^nn++++=history,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
local ^jj+atrb+++=local
fitness ^nns+nom+++=fitness
preside ^vb++++=preside.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
the ^ati++++=the
societies ^nns++++=societies
correspond ^vb++++=correspond
with ^in++++=with
one ^cd1++++=one
another ^dt++++=another,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
we ^pp1a+pp1+++=we
do ^vb+do+aux++=do
not ^xnot++not++=not
bestow ^vb++++=bestow
the ^ati++++=the
same ^ap++++=same
noble ^jj+atrb+++=noble
name ^nn++++=name
upon ^in++++=upon
twelve ^cd++++=twelve
villages ^nns+nom+++=villages
and ^cc++++=and
three ^cd++++=three
counties ^nns++++=counties;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
let ^vb+++xvbn+=let
geographers ^nns+nom+++=geographers
lend ^vb++++=lend
their ^pp$+pp3+++=their
maps ^nns++++=maps
to ^in++++=to
the ^ati++++=the
undertaking ^nvbg+++xvbg+=undertaking.
. ^zz++++=EXTRAWORD
A ^at++++=A
national ^jj+atrb+++=national
gazetteer ^nn+nom+++=gazetteer
might ^md+pos+++=might
thus ^rb+cnj+splt++=thus
become ^vb++++=become
almost ^rb+hdg+++=almost
a ^at++++=a
poem ^nn++++=poem.
. ^zz++++=EXTRAWORD
Having ^vbg+hvg++xvbg+=Having
once ^cs+tm+++=once
established ^vprf+++xvbn+=established
this ^dt+dem+++=this
confederacy ^nn+nom+++=confederacy
of ^in++++=of
taste ^nn++++=taste,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
set ^vb+++xvbn+=set
it ^pp3+it+++=it
immediately ^rb+tm+++=immediately
against ^in++++=against
the ^ati++++=the
tyranny ^nn++++=tyranny
of ^in++++=of
" ^zz++++="New."
new ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
prefix ^nn++++=prefix
had ^vbd+hvd+aux++=had
meaning ^vbg+vprv++xvbg+=meaning
when ^wrb+who+whcl++=when
our ^pp$+pp1+++=our
settlements ^nns+nom+++=settlements
were ^vbd+bed+vrb++=were
recent ^jj+atrb+++=recent
dependencies ^nns++++=dependencies;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+vrb++=has
none ^rb++++=none
now ^rn+tm+++=now
but ^cc++++=but
habit ^nn++++=habit.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
no ^at++++=no
longer ^rbr++++=longer
the ^ati++++=the
faint ^jj+atrb+++=faint
copy ^nn++++=copy
of ^in++++=of
an ^at++++=an
elder ^jjr+atrb+++=elder
world ^nn++++=world,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
an ^at++++=an
appendix ^nn++++=appendix
printed ^vbd+++xvbn+=printed
across ^in+pl+++=across
the ^ati++++=the
Atlantic ^np++++=Atlantic.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
cities ^nns++++=cities
have ^vb+hv+aux++=have
acquired ^vprf+++xvbnx+=acquired
histories ^nns++++=histories,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
rivers ^nns++++=rivers
have ^vb+hv+aux++=have
witnessed ^vprf+++xvbnx+=witnessed
events ^nns++++=events,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
forests ^nns++++=forests
have ^vb+hv+aux++=have
furnished ^vprf+++xvbnx+=furnished
legends ^nns++++=legends,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
our ^pp$+pp1+++=our
people ^nns++++=people
have ^vb+hv+aux++=have
accumulated ^vprf+++xvbnx+=accumulated
enough ^qlp++++=enough
sins ^nns++++=sins
and ^cc++++=and
glories ^nns++++=glories
to ^to++++=to
stand ^vbi++++=stand
upon ^in++++=upon
their ^pp$+pp3+++=their
own ^ap++++=own
account ^nn++++=account.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
should ^md+nec+++=should
maturity ^nn+nom+++=maturity
continue ^vb++++=continue
to ^to++++=to
answer ^vbi++++=answer
to ^in++++=to
a ^at++++=a
nursery ^nn+nom+++=nursery
name ^nn++++=name?
? ^zz++++=EXTRAWORD
Speaking ^vbg+++xvbg+=Speaking
of ^in++++=of
New ^jj+atrb+++=New
York ^np++++=York
reminds ^vbz++++=reminds
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
both ^abx++++=both
the ^ati++++=the
state ^nn++++=state
and ^cc++++=and
city ^nn++++=city
furnish ^vb++++=furnish
excellent ^jj+atrb+++=excellent
subjects ^nns++++=subjects
for ^in++++=for
experiment ^nn+nom+++=experiment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
city ^nn++++=city
has ^vbz+hvz+vrb++=has
already ^rb++++=already
a ^at++++=a
proper ^jj+atrb+++=proper
and ^cc+phrs+++=and
noble ^jj+atrb+++=noble
designation ^nn+nom+++=designation
waiting ^vwbg+++xvbg+=waiting
at ^rb++++=at
its ^pp$+it+++=its
very ^ap+amp+++=very
threshold ^nn++++=threshold
Manhattan ^np+nom++??+=Manhattan.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
compact ^jj+pred+++=compact,
, ^zz++++=EXTRAWORD
sonorous ^jj++++=sonorous,
, ^zz++++=EXTRAWORD
historical ^jj++++=historical,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inseparable ^jj++++=inseparable
from ^in++++=from
the ^ati++++=the
island ^npl++++=island
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
" ^zz++++="New
new ^jj+atrb+++=EXTRAWORD
York ^np++++=York"
" ^zz++++=EXTRAWORD
might ^md+pos+++=might
belong ^vb++++=belong
anywhere ^rb++++=anywhere;
; ^zz++++=EXTRAWORD
Manhattan ^np+nom++??+=Manhattan
can ^md+pos+++=can
belong ^vb++++=belong
nowhere ^rb+pl+++=nowhere
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say
Manhattan ^np+nom++??+=Manhattan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
sees ^vbz+vprv+++=sees
the ^ati++++=the
crowded ^jj+atrb++xvbn+=crowded
harbor ^nn++++=harbor,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bright ^jj+atrb+++=bright
bay ^nn++++=bay,
, ^zz++++=EXTRAWORD
the ^ati++++=the
long ^rb++++=long
island ^nn++++=island
thrust ^vbd+++xvbn+=thrust
between ^in++++=between
its ^pp$+it+++=its
rivers ^nns++++=rivers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
masts ^nns+++??+=masts,
, ^zz++++=EXTRAWORD
roofs ^nns++++=roofs,
, ^zz++++=EXTRAWORD
bells ^nns++++=bells,
, ^zz++++=EXTRAWORD
merchants ^nns+nom+++=merchants,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
ceaseless ^jj+atrb+++=ceaseless
human ^jj+atrb+++=human
tide ^nn++++=tide
which ^whp+rel+subj++=which
makes ^vbz++++=makes
the ^ati++++=the
place ^nn++++=place
at ^rb++++=at
once ^rb"+tm+++=once
magnificent ^jj++++=magnificent
and ^cc+phrs+++=and
fatiguing ^jj+++xvbg+=fatiguing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
state ^nn++++=state
presents ^vbz++++=presents
greater ^jjr+atrb+++=greater
difficulty ^nn++++=difficulty.
. ^zz++++=EXTRAWORD
" ^zz++++="Ontario"
ontario ^np++++=EXTRAWORD
" ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
breadth ^nn++++=breadth
and ^cc++++=and
dignity ^nn+nom+++=dignity,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
lake ^nn++++=lake
might ^md+pos+++=might
complain ^vb+vpub+++=complain
that ^tht+vcmp+++=that
its ^pp$+it+++=its
individual ^jj+atrb+++=individual
property ^nn++++=property
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
seized ^vpsv++agls+xvbnx+=seized
for ^in++++=for
public ^jj+atrb+++=public
use ^nn++++=use.
. ^zz++++=EXTRAWORD
" ^zz++++="Mohegan"
mohegan ^jj++++=EXTRAWORD
" ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
more ^rbr++++=more
romantic ^jj+pred+++=romantic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carries ^vbz++++=carries
with ^in++++=with
it ^pp3+it+++=it
an ^at++++=an
echo ^nn++++=echo
of ^in++++=of
forest ^nn++++=forest
lineage ^nn+nom+++=lineage;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
scholars ^nns++++=scholars
might ^md+pos+++=might
quarrel ^vb++++=quarrel
concerning ^in++++=concerning
boundaries ^nns++++=boundaries,
, ^zz++++=EXTRAWORD
tribes ^nns++++=tribes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
orthography ^nn++++=orthography
until ^cs+sub+++=until
the ^ati++++=the
state ^nn++++=state
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
old ^jj++++=old
under ^in++++=under
discussion ^nn++++=discussion.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
offer ^vb++++=offer
both ^abx++++=both
merely ^rb+down+++=merely
as ^ql++++=as
hints ^nns++++=hints.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
are ^vb+ber+vrb++=are
crude ^jj+atrb+++=crude
ideas ^nns++++=ideas;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
crude ^jj+atrb+++=crude
idea ^nn++++=idea
may ^md+pos+++=may
be ^vb+be+vrb++=be
the ^ati++++=the
acorn ^nn++++=acorn
of ^in++++=of
a ^at++++=a
stately ^jj+atrb+++=stately
reform ^nn++++=reform,
, ^zz++++=EXTRAWORD
provided ^j+++xvbn+=provided
no ^at++++=no
legislative ^jj+atrb+++=legislative
squirrel ^nn++++=squirrel
carry ^vb++++=carry
it ^pp3+it+++=it
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Editor ^np++++=Editor,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
subject ^nn++++=subject,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
began ^vbd+++xvbn+=began
with ^in++++=with
a ^at++++=a
baptismal ^jj+atrb+++=baptismal
syllable ^nn++++=syllable
and ^cc++++=and
wandered ^vpsv++agls+xvbn+=wandered
into ^in++++=into
brooks ^nps++++=brooks
and ^cc++++=and
villages ^nns+nom+++=villages,
, ^zz++++=EXTRAWORD
expands ^vbz++++=expands
before ^in++++=before
me ^pp1o+pp1+++=me
to ^in++++=to
its ^pp$+it+++=its
full ^jj+atrb+++=full
magnitude ^nn++++=magnitude.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
want ^vb++++=want
more ^rbr++++=more
than ^in++++=than
proper ^jj+atrb+++=proper
names ^nns++++=names
for ^in++++=for
towns ^nns++++=towns,
, ^zz++++=EXTRAWORD
states ^nns++++=states,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rivers ^nns++++=rivers.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
want ^vb++++=want
a ^at++++=a
National ^jj+atrb+++=NATIONAL
Name ^nn++++=NAME.
. ^zz++++=EXTRAWORD
The ^ati++++=The
political ^jj+atrb+++=political
title ^nn++++=title
" ^zz++++="United
united ^np++++=EXTRAWORD
States ^nns++++=States
of ^in++++=of
America ^np++++=America"
" ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
accurate ^jj+pred+++=accurate,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
admit ^vb+vpub+++=admit;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
accuracy ^nn+nom+++=accuracy
is ^vbz+bez+vrb++=is
the ^ati++++=the
humblest ^nn++++=humblest
merit ^vb++++=merit
of ^in++++=of
language ^nn+nom+++=language.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
description ^nn+nom+++=description,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
name ^nn++++=name
a ^at++++=a
circumlocution ^nn+nom+++=circumlocution
stamped ^vwbn+++xvbn+=stamped
upon ^in++++=upon
treaties ^nns+++??+=treaties.
