# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Mary ^np++++=Mary's
the ^ati++++=the
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
the ^ati++++=the
familiar ^nn++++=familiar
gurgle ^vb++++=gurgle
of ^in++++=of
the ^ati++++=the
creek ^nn++++=creek.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
heavy ^jj+atrb+++=heavy,
, ^zz++++=EXTRAWORD
muffled ^jj+atrb+++=muffled
concussion ^nn++++=concussion,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
a ^at++++=a
long ^jj+atrb+++=long
scraping ^nn++++=scraping,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
some ^dti++++=some
great ^jj+atrb+++=great
animal ^nn++++=animal
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
itself ^ppl++++=itself
over ^in++++=over
under ^in++++=under
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Sailor ^nn++++=Sailor
sprang ^vbd+++xvbn+=sprang
up ^rp++++=up
and ^cc++++=and
barked ^vbd+++xvbn+=barked.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
took ^vbd+++xvbn+=took
the ^ati++++=the
lamp ^nn++++=lamp
and ^cc++++=and
opened ^vbd+++xvbn+=opened
the ^ati++++=the
back ^jjb+atrb+++=back
door ^nn++++=door.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind
instantly ^rb+tm+++=instantly
extinguished ^vbd+++xvbn+=extinguished
the ^ati++++=the
flame ^nn++++=flame.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
nothing ^pn++++=nothing
but ^cc++++=but
darkness ^nns+nom+++=darkness
and ^cc++++=and
feel ^vb+vprv+tht0++=feel
nothing ^pn++++=nothing
but ^cc++++=but
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
from ^in++++=from
below ^in+pl+++=below
came ^vbd+++xvbn+=came
a ^at++++=a
sucking ^jj++++=sucking
and ^cc+phrs+++=and
bubbling ^jj+++xvbg+=bubbling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
against ^in++++=against
the ^ati++++=the
step ^nn++++=step
something ^pn++++=something
struck ^vbd+++xvbn+=struck
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drifted ^vbd+++xvbn+=drifted
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
shut ^vbd+++xvbnx+=shut
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
relit ^nn+++??+=relit
the ^ati++++=the
lamp ^nn++++=lamp,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vpsv++agls+xvbn+=went
to ^in++++=to
the ^ati++++=the
front ^jjb+atrb+++=front
window ^nn++++=window.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
but ^cc++++=but
water ^nn++++=water.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
bedroom ^nn++++=bedroom
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
but ^cc++++=but
water ^nn++++=water
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
crawling ^jj+++xvbg+=crawling
inward ^jjb++++=inward.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
ran ^vbd+++xvbnx+=ran
to ^in+ppvb+++=to
the ^ati++++=the
kitchen ^nn++++=kitchen.
. ^zz++++=EXTRAWORD
Water ^nn++++=Water
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
through ^in++++=through
the ^ati++++=the
cracks ^nns++++=cracks
between ^in++++=between
the ^ati++++=the
boards ^nns++++=boards.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lifted ^vbd+++xvbnx+=lifted
the ^ati++++=the
lamp ^nn++++=lamp.
. ^zz++++=EXTRAWORD
The ^ati++++=The
yellow ^jj++++=yellow
light ^jj++++=light
trembled ^jj+++xvbn+=trembled
over ^in++++=over
the ^ati++++=the
chairs ^nns++++=chairs,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stove ^nn++++=stove,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cradle ^nn++++=cradle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
black ^jj+atrb+++=black
surface ^nn++++=surface
spreading ^vwbg+++xvbg+=spreading
under ^in++++=under
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
For ^in++++=For
perhaps ^rb++++=perhaps
half ^rb++++=half
a ^at++++=a
minute ^nn++++=minute
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
comprehend ^vb+++??+=comprehend
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tide ^nn++++=tide
did ^vbd+dod+aux++=did
not ^xnot++not++=not
rise ^vb++++=rise
so ^ql++++=so
high ^np++++=high;
; ^zz++++=EXTRAWORD
Tom ^np++++=Tom
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said
it ^pp3+it+++=it
never ^rb++++=never
could ^md+pos+++=could;
; ^zz++++=EXTRAWORD
the ^ati++++=the
cabin ^nn++++=cabin
stood ^vbd+++xvbn+=stood
above ^jjb++++=above
the ^ati++++=the
old ^nn++++=old
mark ^vb++++=mark
on ^in++++=on
the ^ati++++=the
alder ^nn++++=alder.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
remembered ^vbd+vprv++xvbnx+=remembered
the ^ati++++=the
rain ^nn++++=rain
in ^in++++=in
the ^ati++++=the
mountains ^nns++++=mountains,
, ^zz++++=EXTRAWORD
the ^ati++++=the
brown ^jj+atrb+++=brown
river ^nn++++=river
at ^rb++++=at
noon ^nn++++=noon,
, ^zz++++=EXTRAWORD
the ^ati++++=the
logs ^nns++++=logs
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
down ^rp++++=down
the ^ati++++=the
creek ^nn++++=creek.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
the ^ati++++=the
tide ^nn++++=tide!
! ^zz++++=EXTRAWORD
The ^ati++++=The
recognition ^nn+nom+++=recognition
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
strike ^vbi++++=strike
strength ^nn++++=strength
into ^in++++=into
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
set ^vbd+++xvbnx+=set
the ^ati++++=the
lamp ^nn++++=lamp
on ^in++++=on
a ^at++++=a
shelf ^nn++++=shelf,
, ^zz++++=EXTRAWORD
seized ^j+++xvbn+=seized
the ^ati++++=the
cradle ^nn++++=cradle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dragged ^vbd+++xvbn+=dragged
it ^pp3+it+++=it
toward ^in++++=toward
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
The ^ati++++=The
water ^nn++++=water
covered ^vbd+++xvbn+=covered
her ^pp3o+pp3+++=her
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
Sailor ^nn++++=Sailor
splashed ^vbd+++xvbn+=splashed
beside ^in+pl+++=beside
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
barking ^vbg+++xvbg+=barking
furiously ^rb++++=furiously
at ^rb++++=at
each ^dt++++=each
floating ^xvbg+++xvbg+=floating
stick ^vb++++=stick
that ^dt+dem+++=that
entered ^jj+++xvbn+=entered
under ^in++++=under
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
placed ^vbd+++xvbnx+=placed
the ^ati++++=the
baby ^nn++++=baby
on ^in++++=on
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
climbed ^vbd+++xvbn+=climbed
upon ^in++++=upon
a ^at++++=a
chair ^nn++++=chair
and ^cc++++=and
lifted ^jj+++xvbn+=lifted
him ^pp3o+pp3+++=him
to ^in++++=to
a ^at++++=a
beam ^nn++++=beam
from ^in++++=from
which ^whp+rel+pied++=which
Tom ^np++++=Tom
had ^vbd+hvd+aux++=had
hung ^vprf+++xvbnx+=hung
a ^at++++=a
broad ^jj+atrb+++=broad
storage ^nn+nom+++=storage
shelf ^nn++++=shelf.
. ^zz++++=EXTRAWORD
Blankets ^nns++++=Blankets,
, ^zz++++=EXTRAWORD
flour ^nn++++=flour,
, ^zz++++=EXTRAWORD
matches ^vbz++++=matches,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
tin ^nn++++=tin
cup ^nn++++=cup
followed ^vbd+vprv++xvbn+=followed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
worked ^vbd+++xvbnx+=worked
without ^in++++=without
crying ^xvbg+++xvbg+=crying,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
she ^pp3a+pp3+++=she
prayed ^vbd+vsua++xvbnx+=prayed
continually ^rb++++=continually
not ^xnot++not++=not
in ^in++++=in
ordered ^jj+atrb++xvbn+=ordered
sentences ^nns+nom+++=sentences,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^rb++++=in
brief ^rb"++++=brief
appeals ^nns+nom+++=appeals
fitted ^vbd+++xvbn+=fitted
between ^in++++=between
exertions ^nns+nom+++=exertions.
. ^zz++++=EXTRAWORD
" ^zz++++="Lord,
lord ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
hold ^nn++++=hold
the ^ati++++=the
house ^nn++++=house!
! ^zz++++=EXTRAWORD
Lord ^npt++++=Lord,
, ^zz++++=EXTRAWORD
keep ^vb++++=keep
him ^pp3o+pp3+++=him
warm ^jj++++=warm!
! ^zz++++=EXTRAWORD
Lord ^npt++++=Lord,
, ^zz++++=EXTRAWORD
bring ^vb++++=bring
Tom ^np++++=Tom!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
cabin ^nn++++=cabin
lurched ^vbd+++xvbn+=lurched.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stove ^nn++++=stove
shifted ^vbd+++xvbn+=shifted
six ^cd++++=six
inches ^nns++++=inches,
, ^zz++++=EXTRAWORD
tearing ^vbg+++xvbg+=tearing
the ^ati++++=the
pipe ^nn++++=pipe
loose ^jj++++=loose
from ^in++++=from
the ^ati++++=the
chimney ^nn++++=chimney.
. ^zz++++=EXTRAWORD
Smoke ^vb++++=Smoke
poured ^vbd+++xvbn+=poured
into ^in++++=into
the ^ati++++=the
room ^nn++++=room;
; ^zz++++=EXTRAWORD
water ^nn++++=water
hissed ^vbd+++xvbn+=hissed
upon ^in++++=upon
the ^ati++++=the
coals ^nns++++=coals;
; ^zz++++=EXTRAWORD
a ^at++++=a
cloud ^nn++++=cloud
of ^in++++=of
steam ^nn++++=steam
rose ^vbd+++xvbn+=rose,
, ^zz++++=EXTRAWORD
bitter ^jj++++=bitter
and ^cc+phrs+++=and
suffocating ^jj+++xvbg+=suffocating.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
threw ^vbd+++xvbn+=threw
open ^jj++++=open
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
through ^in++++=through
it ^pp3+it+++=it
entered ^vbd+++xvbn+=entered
a ^at++++=a
muddy ^jj+atrb+++=muddy
wave ^nn++++=wave
bearing ^vwbg+++xvbg+=bearing
chips ^nns++++=chips,
, ^zz++++=EXTRAWORD
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
a ^at++++=a
drowned ^jj+atrb++xvbn+=drowned
hen ^nn++++=hen
from ^in++++=from
some ^dti++++=some
upstream ^rb+pl+++=upstream
ranch ^nn++++=ranch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one
of ^in++++=of
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
standing ^vbg+++xvbgx+=standing
upon ^in++++=upon
the ^ati++++=the
porch ^nn++++=porch.
. ^zz++++=EXTRAWORD
The ^ati++++=The
table ^nn++++=table
turned ^vbd+++xvbn+=turned
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
considering ^vbg+++xvbg+=considering
departure ^nn++++=departure,
, ^zz++++=EXTRAWORD
struck ^j+++xvbn+=struck
the ^ati++++=the
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
became ^vbd+++xvbn+=became
wedged ^vbd+++xvbn+=wedged.
. ^zz++++=EXTRAWORD
The ^ati++++=The
child ^nn++++=child
began ^vbd+++xvbn+=began
to ^to++++=to
cry ^vbi++++=cry.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
weak ^jj+atrb+++=weak,
, ^zz++++=EXTRAWORD
familiar ^jj+atrb+++=familiar
complaint ^nn++++=complaint,
, ^zz++++=EXTRAWORD
scarcely ^rb+down+++=scarcely
louder ^jjr++++=louder
than ^in++++=than
the ^ati++++=the
creaking ^jj+atrb+++=creaking
rafters ^nns+nom+++=rafters,
, ^zz++++=EXTRAWORD
steadied ^j+++xvbn+=steadied
her ^pp$+pp3+++=her
more ^rbr++++=more
than ^in++++=than
any ^dti++++=any
trumpet ^nn++++=trumpet.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
climbed ^vbd+++xvbnx+=climbed
to ^in++++=to
the ^ati++++=the
shelf ^nn++++=shelf,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
him ^pp3o+pp3+++=him
against ^in++++=against
her ^pp$+pp3+++=her
breast ^nn++++=breast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wrapped ^vbd+++xvbn+=wrapped
the ^ati++++=the
quilt ^nn++++=quilt
around ^rp++++=around
them ^pp3o+pp3+++=them
both ^abx++++=both.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
followed ^vbd+vprv++xvbn+=followed
a ^at++++=a
period ^nn++++=period
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
could ^md+pos+++=could
never ^rb++++=never
measure ^nn++++=measure.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
" ^zz++++="sat
sat ^vbd+++xvbn+=EXTRAWORD
and ^cc+phrs+++=and
sat ^vbd+++xvbn+=sat."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
water ^nn++++=water
mounted ^vbd+++xvbn+=mounted
to ^in++++=to
the ^ati++++=the
chair ^nn++++=chair
seats ^nns++++=seats,
, ^zz++++=EXTRAWORD
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stove ^nn++++=stove
top ^jjb++++=top.
. ^zz++++=EXTRAWORD
Household ^nn++++=Household
objects ^nns++++=objects,
, ^zz++++=EXTRAWORD
liberated ^j+++xvbn+=liberated
from ^in++++=from
their ^pp$+pp3+++=their
customary ^jj+atrb+++=customary
obligations ^nns+nom+++=obligations,
, ^zz++++=EXTRAWORD
drifted ^j+++xvbn+=drifted
solemnly ^rb++++=solemnly
through ^in++++=through
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
A ^at++++=A
saucepan ^nn+nom+++=saucepan
sailed ^vbd+++xvbn+=sailed
into ^in++++=into
the ^ati++++=the
bedroom ^nn++++=bedroom;
; ^zz++++=EXTRAWORD
the ^ati++++=the
family ^nn++++=family
Bible ^nn++++=Bible
floated ^vbd+++xvbn+=floated
open ^jj++++=open
against ^in++++=against
the ^ati++++=the
wall ^nn++++=wall;
; ^zz++++=EXTRAWORD
a ^at++++=a
red ^jj+atrb+++=red
wool ^nn++++=wool
stocking ^nn++++=stocking
circled ^vbd+++xvbn+=circled
the ^ati++++=the
table ^nn++++=table
three ^cd++++=three
times ^nns++++=times
and ^cc++++=and
vanished ^jj+++xvbn+=vanished.
. ^zz++++=EXTRAWORD
Sailor ^nn++++=Sailor
had ^vbd+hvd+aux++=had
climbed ^vprf+++xvbnx+=climbed
upon ^in++++=upon
the ^ati++++=the
wood ^nn++++=wood
box ^nn++++=box
and ^cc++++=and
stood ^vbd+++xvbn+=stood
there ^ex+pex+++=there
trembling ^vbg+nom++xvbg+=trembling,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
claws ^nns++++=claws
spread ^vbd+++xvbn+=spread,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
fixed ^vbd+++xvbn+=fixed
upon ^in++++=upon
Mary ^np++++=Mary.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^nn++++=house
began ^vbd+++xvbn+=began
to ^to++++=to
move ^vbi++++=move.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
a ^at++++=a
shudder ^nn++++=shudder;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
a ^at++++=a
lifting ^jj+++xvbg+=lifting
of ^in++++=of
one ^cd1++++=one
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
a ^at++++=a
settling ^jj+++xvbg+=settling
of ^in++++=of
another ^dt++++=another,
, ^zz++++=EXTRAWORD
a ^at++++=a
wrench ^nn++++=wrench
that ^tht+rel+subj++=that
ran ^vbd+++xvbn+=ran
through ^rb+phrv+++=through
every ^at++++=every
timber ^nn++++=timber.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
spikes ^vbz+++??+=spikes
held ^vbd+vprv++xvbn+=held.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
knew ^vbd+vprv++xvbn+=knew
their ^pp$+pp3+++=their
virtue ^nn++++=virtue
and ^cc++++=and
blessed ^jj+++xvbn+=blessed
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
earth ^nn++++=earth
beneath ^in+pl+++=beneath
the ^ati++++=the
cabin ^nn++++=cabin
was ^vbd+bedz+vrb++=was
dissolving ^jj+pred+++=dissolving,
, ^zz++++=EXTRAWORD
the ^ati++++=the
posts ^nns++++=posts
were ^vbd+bed+aux++=were
yielding ^vbg+++xvbgx+=yielding,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
workmanship ^nn+nom+++=workmanship
could ^md+pos+++=could
not ^xnot++not++=not
nail ^vb++++=nail
a ^at++++=a
house ^nn++++=house
to ^in++++=to
water ^nn++++=water.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
came ^vbd+++xvbn+=came
a ^at++++=a
tremendous ^jj+atrb+++=tremendous
blow ^nn++++=blow
against ^in++++=against
the ^ati++++=the
rear ^jjb+atrb+++=rear
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boards ^nns++++=boards
bulged ^vbd+++xvbn+=bulged
inward ^jjb++++=inward.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
scraped ^vbd+++xvbn+=scraped
along ^rp++++=along
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
crushing ^jj+++xvbg+=crushing
the ^ati++++=the
porch ^nn++++=porch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stopped ^vpsv++agls+xvbn+=stopped
with ^in++++=with
a ^at++++=a
crash ^nn++++=crash
that ^tht+rel+subj++=that
flung ^vbd+++xvbn+=flung
Mary ^np++++=Mary
against ^in++++=against
the ^ati++++=the
beam ^nn++++=beam.
. ^zz++++=EXTRAWORD
A ^at++++=A
tree ^nn++++=tree
had ^vbd+hvd+aux++=had
lodged ^vprf+++xvbnx+=lodged
against ^in++++=against
the ^ati++++=the
cabin ^nn++++=cabin.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
not ^xnot++not++=not
see ^vb+vprv+++=see
its ^pp$+it+++=its
length ^nn++++=length,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
through ^in++++=through
the ^ati++++=the
broken ^jj+++xvbn+=broken
wall ^np++++=wall
she ^pp3a+pp3+++=she
made ^vbd+++xvbnx+=made
out ^rp+pl+++=out
a ^at++++=a
vast ^jj+atrb+++=vast,
, ^zz++++=EXTRAWORD
black ^jj+atrb+++=black
trunk ^nn++++=trunk
and ^cc++++=and
a ^at++++=a
confusion ^nn++++=confusion
of ^in++++=of
roots ^nns++++=roots.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
redwood ^nn+++??+=redwood,
, ^zz++++=EXTRAWORD
uprooted ^j+++xvbn+=uprooted
in ^in++++=in
the ^ati++++=the
upper ^jjb+atrb+++=upper
valley ^nn++++=valley
and ^cc++++=and
brought ^vbd+++xvbn+=brought
down ^rb+phrv+++=down
bodily ^jj++++=bodily
by ^in++++=by
the ^ati++++=the
flood ^nn++++=flood,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
branches ^nns++++=branches
stripped ^vbd+++xvbn+=stripped,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
roots ^nns++++=roots
clutching ^vwbg+++xvbg+=clutching
mud ^nn++++=mud,
, ^zz++++=EXTRAWORD
brush ^nn++++=brush,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fragments ^nns+nom+++=fragments
of ^in++++=of
fence ^nn++++=fence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
trunk ^nn++++=trunk
rose ^vbd+++xvbn+=rose
and ^cc+phrs+++=and
fell ^vbd+++xvbn+=fell
with ^in++++=with
the ^ati++++=the
water ^nn++++=water,
, ^zz++++=EXTRAWORD
striking ^vbg+++xvbg+=striking
the ^ati++++=the
house ^npl++++=house
at ^rb++++=at
each ^dt++++=each
movement ^nn+nom+++=movement.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
understood ^vwbn+vprv++xvbn+=understood
only ^rb+down+++=only
that ^dt+dem+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
larger ^jjr+pred+++=larger
than ^in++++=than
the ^ati++++=the
cabin ^nn++++=cabin
and ^cc++++=and
might ^md+pos+++=might
outlive ^vb++++=outlive
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
tied ^vbd+++xvbnx+=tied
the ^ati++++=the
baby ^nn++++=baby
inside ^in+pl+++=inside
the ^ati++++=the
quilt ^nn++++=quilt
with ^in++++=with
a ^at++++=a
strip ^nn++++=strip
torn ^vbd+++xvbn+=torn
from ^in++++=from
her ^pp$+pp3+++=her
skirt ^nn++++=skirt.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
took ^vbd+++xvbnx+=took
the ^ati++++=the
matches ^nns++++=matches,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
already ^rb++++=already
wet ^jj+pred+++=wet;
; ^zz++++=EXTRAWORD
the ^ati++++=the
tin ^nn++++=tin
cup ^nn++++=cup,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
she ^pp3a+pp3+++=she
could ^md+pos+++=could
imagine ^vb+vprv+++=imagine
no ^at++++=no
immediate ^jj+atrb+++=immediate
social ^jj+atrb+++=social
or ^cc+phrs+++=or
domestic ^jj+atrb+++=domestic
use ^nn++++=use
for ^in++++=for
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
shawl ^nn++++=shawl.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
crawled ^vprf+++xvbn+=crawled
along ^in++++=along
the ^ati++++=the
shelf ^nn++++=shelf
toward ^in++++=toward
the ^ati++++=the
break ^nn++++=break
in ^in++++=in
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^nn++++=house
leaned ^vbd+++xvbn+=leaned.
. ^zz++++=EXTRAWORD
The ^ati++++=The
roof ^nn++++=roof
timbers ^nns+nom+++=timbers
groaned ^vbd+++xvbn+=groaned
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
The ^ati++++=The
chimney ^nn++++=chimney
fell ^vbd+++xvbn+=fell
outward ^jjb++++=outward
with ^in++++=with
a ^at++++=a
noise ^nn++++=noise
like ^in++++=like
distant ^jj+atrb+++=distant
cannon ^nn++++=cannon.
. ^zz++++=EXTRAWORD
Sailor ^nn++++=Sailor
leaped ^vbd+++xvbn+=leaped
from ^in++++=from
the ^ati++++=the
wood ^nn++++=wood
box ^nn++++=box,
, ^zz++++=EXTRAWORD
swam ^j+++xvbn+=swam
across ^in+pl+++=across
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
scrambled ^vpsv++agls+xvbn+=scrambled
through ^in++++=through
the ^ati++++=the
breach ^nn++++=breach.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
followed ^vbd+vprv++xvbn+=followed.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hand ^nn++++=hand
grasped ^vwbn+vprv++xvbn+=grasped
a ^at++++=a
projecting ^jj+atrb++xvbg+=projecting
board ^nn++++=board;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
knee ^nn++++=knee
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
sill ^nn++++=sill;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
child ^nn++++=child
pressed ^vbd+++xvbn+=pressed
beneath ^in+pl+++=beneath
her ^pp$+pp3+++=her
breast ^nn++++=breast,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
lowered ^vbd+++xvbnx+=lowered
herself ^ppl+pp3+++=herself
upon ^in++++=upon
the ^ati++++=the
wet ^jj+atrb+++=wet
trunk ^nn++++=trunk.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Lord ^npt++++=Lord!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="You've
you ^pp2+pp2+++=EXTRAWORD
've ^md"++pmd"++0=EXTRAWORD
got ^vb++pmd"+xvbnx+=got
to ^to+vcmp+pmd++=to
help ^vb++++=help
me ^pp1o+pp1+++=me!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
the ^ati++++=the
appeal ^nn++++=appeal
was ^vbd+bedz+aux++=was
considered ^vpsv++agls+xvbnx+=considered
irregular ^nn++++=irregular
in ^in++++=in
form ^nn++++=form
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
say ^vb+vpub+++=say;
