# ^zz++++=#
Westward ^rb++++=WESTWARD
by ^in++++=by
traffic ^nn++++=traffic;
; ^zz++++=EXTRAWORD
Canadians ^nn++++=Canadians
in ^in++++=in
homespun ^nn+++??+=homespun;
; ^zz++++=EXTRAWORD
boatmen ^j+++xvbn+=boatmen
browned ^vpsv++by+xvbn+=browned
by ^in++++=by
sun ^nn++++=sun
and ^cc++++=and
spray ^nn++++=spray;
; ^zz++++=EXTRAWORD
farmers ^nns+nom+++=farmers
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
the ^ati++++=the
odor ^nn++++=odor
of ^in++++=of
hay ^nn++++=hay
and ^cc++++=and
stable ^nn++++=stable
into ^in++++=into
the ^ati++++=the
counting ^jj+++xvbg+=counting-room;
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
women ^nns++++=women
newly ^rb++++=newly
landed ^jj+++xvbn+=landed,
, ^zz++++=EXTRAWORD
keeping ^vbg+++xvbg+=keeping
anxious ^jj++++=anxious
watch ^vb++++=watch
over ^in++++=over
children ^nns++++=children
and ^cc++++=and
bundles ^nns++++=bundles;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
emigrants ^nns+nom+++=emigrants
from ^in++++=from
Ireland ^np++++=Ireland,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
numbers ^nns+nom+++=numbers
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
increase ^vbi++++=increase
with ^in++++=with
every ^at++++=every
turn ^nn++++=turn
toward ^in++++=toward
the ^ati++++=the
waterfront ^nn++++=waterfront.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
rolled ^vbd+++xvbnx+=rolled
barrels ^nns++++=barrels,
, ^zz++++=EXTRAWORD
shouldered ^jj+atrb++xvbn+=shouldered
timber ^nn++++=timber,
, ^zz++++=EXTRAWORD
dug ^xvbn+++xvbn+=dug
foundations ^nns+nom+++=foundations,
, ^zz++++=EXTRAWORD
dragged ^jj+atrb++xvbn+=dragged
ropes ^nns++++=ropes,
, ^zz++++=EXTRAWORD
drove ^jj+atrb++xvbn+=drove
carts ^nns+++??+=carts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
performed ^vbd+++xvbn+=performed
the ^ati++++=the
thousand ^cd++++=thousand
heavy ^jj+atrb+++=heavy
offices ^nns++++=offices
by ^in++++=by
which ^whp+rel+pied++=which
a ^at++++=a
young ^jj+atrb+++=young
town ^nn++++=town
exhibits ^nns++++=exhibits
its ^pp$+it+++=its
prosperity ^nn+nom+++=prosperity
without ^in++++=without
over ^in++++=over-fatiguing
- ^zz++++=EXTRAWORD
fatiguing ^jj+++xvbg+=EXTRAWORD
its ^pp$+it+++=its
richer ^jjr+atrb+++=richer
inhabitants ^nns+nom+++=inhabitants.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
laborers ^nns+nom+++=laborers
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
from ^in+ppvb+++=from
green ^jj+atrb+++=green
fields ^nns++++=fields
to ^in++++=to
a ^at++++=a
greener ^jjr+atrb+++=greener
continent ^nn++++=continent,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
resemblance ^nn+nom+++=resemblance,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fear ^vb++++=fear,
, ^zz++++=EXTRAWORD
ended ^j+++xvbn+=ended
principally ^rb+down+++=principally
in ^in++++=in
color ^nn++++=color.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
coats ^nns++++=coats
were ^vbd+bed+vrb++=were
patched ^jj+pred+++=patched,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
faces ^nns++++=faces
weather ^nn++++=weather-marked,
- ^zz++++=EXTRAWORD
marked ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
worldly ^jj+atrb+++=worldly
possessions ^nns++++=possessions
often ^rb++++=often
compressed ^jj+++xvbn+=compressed
into ^in++++=into
a ^at++++=a
bundle ^nn++++=bundle
which ^whp+rel+obj++=which
a ^at++++=a
prosperous ^jj+atrb+++=prosperous
merchant ^nn+nom+++=merchant
would ^md+prd+++=would
have ^vb+hv+aux++=have
considered ^vprf+++xvbnx+=considered
insufficient ^jj++++=insufficient
for ^in++++=for
a ^at++++=a
night ^nn++++=night's
's ^$++++=EXTRAWORD
lodging ^nn++++=lodging.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
they ^pp3a+pp3+++=they
moved ^vbd+++xvbnx+=moved
with ^in++++=with
a ^at++++=a
rough ^jj+atrb+++=rough
vivacity ^nn+nom+++=vivacity
amid ^in++++=amid
the ^ati++++=the
burdens ^nns++++=burdens
of ^in++++=of
the ^ati++++=the
wharf ^nn++++=wharf;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
their ^pp$+pp3+++=their
gestures ^nns++++=gestures
were ^vbd+bed+vrb++=were
broad ^jj+pred+++=broad,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
laughter ^nn+nom+++=laughter
loud ^jj++++=loud,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
acquaintance ^nn+nom+++=acquaintance
with ^in++++=with
American ^jj+atrb+++=American
geography ^nn++++=geography
imperfect ^jj++++=imperfect,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
already ^rb++splt++=already
helping ^vbg+++xvbgx+=helping
to ^to+vcmp+++=to
alter ^vbi++++=alter
the ^ati++++=the
map ^nn++++=map
more ^rbr++++=more
effectually ^rb++++=effectually
than ^in++++=than
many ^ap++++=many
a ^at++++=a
gentleman ^nn+nom+++=gentleman
who ^whp+rel+subj++=who
could ^md+pos+++=could
have ^vb+hv+aux++=have
drawn ^vprf+++xvbnx+=drawn
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
lifted ^vbd+++xvbn+=lifted
the ^ati++++=the
stones ^nns++++=stones
of ^in++++=of
a ^at++++=a
warehouse ^nn++++=warehouse
in ^in++++=in
which ^whp+rel+pied++=which
another ^dt++++=another
man ^nn++++=man's
's ^$++++=EXTRAWORD
name ^nn++++=name
would ^md+prd+++=would
be ^vb+be+aux++=be
painted ^vpsv++agls+xvbnx+=painted;
; ^zz++++=EXTRAWORD
another ^dt++++=another
cut ^vwbn+++xvbn+=cut
a ^at++++=a
road ^npl++++=road
over ^in++++=over
which ^whp+rel+pied++=which
carriages ^nns+nom+++=carriages
would ^md+prd+++=would
presently ^rb+tm+++=presently
roll ^nn++++=roll
too ^ql++++=too
fast ^rb++++=fast
to ^in++++=to
notice ^nn++++=notice
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
a ^at++++=a
third ^od++++=third
carried ^vbd+++xvbn+=carried
merchandise ^nn++++=merchandise
whose ^whp+rel+obj++=whose
owner ^nn++++=owner
might ^md+pos+++=might,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
public ^jj+atrb+++=public
speech ^nn++++=speech,
, ^zz++++=EXTRAWORD
attribute ^vb++++=attribute
all ^abn++++=all
success ^nns+nom+++=success
to ^in++++=to
native ^jj+atrb+++=native
enterprise ^nn++++=enterprise.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
often ^rb++splt++=often
observed ^vprf+++xvbnx+=observed
that ^tht+vcmp+++=that
civilization ^nn+nom+++=civilization,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
represented ^vbd+++xvbn+=represented
upon ^in++++=upon
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
advances ^nns+nom+++=advances
in ^in++++=in
a ^at++++=a
robe ^nn++++=robe,
, ^zz++++=EXTRAWORD
bearing ^vbg+++xvbg+=bearing
a ^at++++=a
lamp ^nn++++=lamp;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
encountered ^vbd+++xvbn+=encountered
upon ^in++++=upon
a ^at++++=a
new ^jj+atrb+++=new
road ^npl++++=road
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
commonly ^rb++splt++=commonly
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
coarse ^jj+atrb+++=coarse
trousers ^nns+nom+++=trousers,
, ^zz++++=EXTRAWORD
swinging ^jj+++xvbg+=swinging
a ^at++++=a
pickaxe ^nn+++??+=pickaxe.
. ^zz++++=EXTRAWORD
The ^ati++++=The
emblem ^nn++++=emblem
is ^vbz+bez+vrb++=is
less ^rbr++++=less
graceful ^jj+pred+++=graceful,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
perhaps ^rb++++=perhaps
more ^rbr++++=more
trustworthy ^jj++++=trustworthy.
. ^zz++++=EXTRAWORD
Burlington ^np+++??+=Burlington,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
white ^jj+atrb+++=white
houses ^nns++++=houses
ascending ^vwbg+++xvbg+=ascending
from ^in++++=from
the ^ati++++=the
lake ^nn++++=lake,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
busy ^jj+atrb+++=busy
wharves ^nns+++??+=wharves,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
sparkling ^jj+atrb+++=sparkling
roofs ^nns++++=roofs
and ^cc++++=and
many ^ap++++=many-colored
- ^zz++++=EXTRAWORD
colored ^jj+atrb++xvbn+=EXTRAWORD
crowd ^nn++++=crowd,
, ^zz++++=EXTRAWORD
pleased ^j+++xvbn+=pleased
me ^pp1o+pp1+++=me
greatly ^rb+amp+++=greatly.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
something ^pn++++=something
comic ^jj++++=comic
in ^in++++=in
its ^pp$+it+++=its
imitation ^nn+nom+++=imitation
of ^in++++=of
maritime ^jj+atrb+++=maritime
grandeur ^nn++++=grandeur,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
something ^pn++++=something
admirable ^jj++++=admirable
too ^ql++++=too;
; ^zz++++=EXTRAWORD
for ^in++++=for
imitation ^nn+nom+++=imitation
is ^vbz+bez+vrb++=is
often ^rb++++=often
the ^ati++++=the
first ^od++++=first
rehearsal ^nn+nom+++=rehearsal
of ^in++++=of
reality ^nn+nom+++=reality.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^ap++++=little
port ^npl++++=port
played ^vbd+++xvbn+=played
at ^in+ppvb+++=at
being ^vbg+beg++xvbg+=being
a ^at++++=a
seaport ^nn++++=seaport
with ^in++++=with
such ^abl++++=such
industry ^nn++++=industry
that ^tht+rel+++=that
one ^cd1++++=one
could ^md+pos+++=could
not ^xnot++not++=not
doubt ^vb++++=doubt
its ^pp$+it+++=its
eventual ^jj+atrb+++=eventual
success ^nns+nom+++=success.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
schooners ^nns+nom+++=schooners
might ^md+pos+++=might
never ^rb++splt++=never
smell ^vb++++=smell
the ^ati++++=the
ocean ^nn++++=ocean;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
sailors ^nns++++=sailors
might ^md+pos+++=might
grow ^vb++++=grow
old ^jj++++=old
without ^in++++=without
seeing ^xvbg+++xvbg+=seeing
a ^at++++=a
tide ^nn++++=tide;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
its ^pp$+it+++=its
flour ^nn++++=flour
went ^vbd+++xvbn+=went
north ^np+pl+++=north,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
merchandise ^nn++++=merchandise
came ^vbd+++xvbn+=came
south ^np+pl+++=south,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
warehouses ^nns++++=warehouses
enlarged ^vbd+++xvbn+=enlarged,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
citizens ^nns++++=citizens
calculated ^vwbn+++xvbn+=calculated
the ^ati++++=the
future ^nn++++=future
in ^in++++=in
square ^jj+atrb+++=square
feet ^nns++++=feet
and ^cc++++=and
compound ^jj+atrb+++=compound
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
left ^vbd+++xvbn+=left
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
the ^ati++++=the
afternoon ^nn++++=afternoon
sun ^nn++++=sun
struck ^vbd+++xvbn+=struck
full ^jj++++=full
upon ^in++++=upon
the ^ati++++=the
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
whole ^jj+atrb+++=whole
town ^nn++++=town
flashed ^vbd+++xvbn+=flashed
for ^in++++=for
an ^at++++=an
instant ^nn+nom+++=instant
between ^in++++=between
the ^ati++++=the
blue ^jj+atrb+++=blue
mountains ^npl++++=mountains
and ^cc++++=and
the ^ati++++=the
silvery ^jj+atrb+++=silvery
lake ^nn++++=lake.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
an ^at++++=an
island ^nn++++=island
intervened ^vbd+++xvbn+=intervened;
; ^zz++++=EXTRAWORD
the ^ati++++=the
last ^jj+atrb+++=last
spire ^nn++++=spire
sank ^vbd+++xvbn+=sank
behind ^in+pl+++=behind
the ^ati++++=the
trees ^nns++++=trees;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Burlington ^np+++??+=Burlington,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
foreign ^jj+atrb+++=foreign
trade ^nn++++=trade,
, ^zz++++=EXTRAWORD
mixed ^jj+atrb++xvbn+=mixed
money ^nn++++=money,
, ^zz++++=EXTRAWORD
inland ^jjb+atrb+++=inland
admirals ^nns+nom+++=admirals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laboring ^jj+atrb++xvbg+=laboring
multitude ^nn++++=multitude,
, ^zz++++=EXTRAWORD
disappeared ^j+++xvbn+=disappeared
as ^ql++++=as
completely ^rb+amp+++=completely
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
no ^at++++=no
more ^rbr++++=more
than ^in++++=than
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
speculative ^jj+atrb+++=speculative
cities ^nns++++=cities
which ^whp+rel+obj++=which
projectors ^nns++++=projectors
build ^vb++++=build
in ^in++++=in
pamphlets ^nns+nom+++=pamphlets
and ^cc++++=and
sell ^vb++++=sell
in ^in++++=in
corner ^nn++++=corner
lots ^nns++++=lots.
. ^zz++++=EXTRAWORD
# ^zz++++=##
# ^zz++++=EXTRAWORD
Ii ^np+++??+=II.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
next ^ap++++=next
movement ^nn+nom+++=movement
carried ^vbd+++xvbn+=carried
us ^pp1o+pp1+++=us
through ^in++++=through
a ^at++++=a
country ^nn++++=country
in ^in++++=in
which ^whp+rel+pied++=which
improvement ^nn+nom+++=improvement
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
so ^ql+emph+++=so
active ^jj++++=active
that ^dt+dem+++=that
even ^rb++++=even
the ^ati++++=the
scenery ^nn+nom+++=scenery
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
have ^vbi++++=have
entered ^vbd+++xvbn+=entered
into ^in+ppvb+++=into
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
Rivers ^nns++++=Rivers
were ^vbd+bed+aux++=were
measured ^vpsv++by+xvbnx+=measured
by ^in++++=by
their ^pp$+pp3+++=their
power ^nn++++=power,
, ^zz++++=EXTRAWORD
hills ^nns++++=hills
by ^in++++=by
the ^ati++++=the
roads ^nns++++=roads
that ^tht+rel+subj++=that
might ^md+pos+++=might
cross ^jj++++=cross
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
forests ^nns++++=forests
by ^in++++=by
the ^ati++++=the
boards ^nns++++=boards
concealed ^vbd+++xvbn+=concealed
within ^in++++=within
their ^pp$+pp3+++=their
trunks ^nns++++=trunks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cataracts ^nns+++??+=cataracts
by ^in++++=by
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
mills ^nns++++=mills
they ^pp3a+pp3+++=they
could ^md+pos+++=could
be ^vb+be+aux++=be
persuaded ^vpsv++agls+xvbnx+=persuaded
to ^to+vcmp+++=to
turn ^vbi++++=turn.
. ^zz++++=EXTRAWORD
A ^at++++=A
waterfall ^nn++++=waterfall,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
practical ^jj+atrb+++=practical
region ^nn++++=region,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
no ^at++++=no
longer ^rbr++++=longer
permitted ^vbd+++xvbn+=permitted
to ^to+vcmp+++=to
waste ^vbi++++=waste
its ^pp$+it+++=its
sublimity ^nn+nom+++=sublimity
in ^in++++=in
mere ^jjb+atrb+++=mere
noise ^nn++++=noise.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
must ^md+nec+++=must
grind ^vb+++??+=grind,
, ^zz++++=EXTRAWORD
saw ^j+++xvbn+=saw,
, ^zz++++=EXTRAWORD
pump ^nn++++=pump,
, ^zz++++=EXTRAWORD
spin ^nn++++=spin,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
submit ^vb+vpub+++=submit
to ^to++++=to
being ^xvbg+++xvbg+=being
regarded ^vpsv++agls+xvbn+=regarded
as ^ql++++=as
an ^at++++=an
idle ^jj+atrb+++=idle
vagabond ^nn++++=vagabond
among ^in++++=among
industrious ^jj+atrb+++=industrious
citizens ^nns++++=citizens.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
to ^in++++=to
the ^ati++++=the
Falls ^nn++++=Falls
of ^in++++=of
the ^ati++++=the
Genesee ^np+++??+=Genesee
with ^in++++=with
expectations ^nns+nom+++=expectations
formed ^vbd+++xvbn+=formed
partly ^rb+down+++=partly
by ^in++++=by
geography ^nn++++=geography
and ^cc++++=and
partly ^rb+down+++=partly
by ^in++++=by
imagination ^nn+nom+++=imagination,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
two ^cd++++=two
authorities ^nns+nom+++=authorities
which ^whp+rel+subj++=which
seldom ^rb++++=seldom
agree ^vb+vpub+++=agree
when ^wrb+who+whcl++=when
called ^jj+++xvbn+=called
upon ^in++++=upon
to ^to++++=to
describe ^vbi++++=describe
the ^ati++++=the
same ^ap++++=same
place ^nn++++=place.
. ^zz++++=EXTRAWORD
The ^ati++++=The
evening ^nn++++=evening
was ^vbd+bedz+vrb++=was
gray ^np++++=gray
and ^cc++++=and
singularly ^rb++++=singularly
transparent ^jj++++=transparent.
. ^zz++++=EXTRAWORD
A ^at++++=A
thin ^jj+atrb+++=thin
vapor ^nn++++=vapor
hung ^vbd+++xvbn+=hung
above ^jjb++++=above
the ^ati++++=the
chasm ^nn++++=chasm;
; ^zz++++=EXTRAWORD
the ^ati++++=the
rocks ^nns++++=rocks
descended ^vbd+++xvbn+=descended
in ^in++++=in
broad ^jj+atrb+++=broad,
, ^zz++++=EXTRAWORD
dark ^jj+atrb+++=dark
masses ^nns++++=masses;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
robbed ^xvbn+++xvbn+=robbed
by ^in++++=by
races ^nns++++=races,
, ^zz++++=EXTRAWORD
dams ^nns++++=dams,
, ^zz++++=EXTRAWORD
channels ^nns++++=channels,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
ingenious ^jj+atrb+++=ingenious
contrivances ^nns+nom++??+=contrivances,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
its ^pp$+it+++=its
plunge ^nn++++=plunge
with ^in++++=with
diminished ^jj+atrb++xvbn+=diminished
pomp ^nn++++=pomp.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
still ^rb+atrb+++=still
height ^nn++++=height
enough ^dt++++=enough
to ^in++++=to
command ^nn++++=command
respect ^nn++++=respect,
, ^zz++++=EXTRAWORD
foam ^vb++++=foam
enough ^qlp++++=enough
to ^to++++=to
whiten ^vbi++++=whiten
the ^ati++++=the
depths ^nns++++=depths,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thunder ^nn++++=thunder
enough ^dt++++=enough
to ^to++++=to
awaken ^vbi++++=awaken
echoes ^nns++++=echoes;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
genius ^nn++++=genius
of ^in++++=of
utility ^nn+nom+++=utility
had ^vbd+hvd+aux++=had
laid ^vprf+++xvbnx+=laid
hands ^nns++++=hands
upon ^in++++=upon
the ^ati++++=the
torrent ^nn++++=torrent
and ^cc++++=and
taught ^vbd+vsua++xvbn+=taught
it ^pp3+it+++=it
to ^to++++=to
earn ^vbi++++=earn
its ^pp$+it+++=its
living ^nvbg+++xvbg+=living.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
confess ^nns+nom+++=confess
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
first ^od++++=first
sensation ^nn+nom+++=sensation
was ^vbd+bedz+vrb++=was
disappointment ^nn+nom+++=disappointment.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
prepared ^vprf+++xvbnx+=prepared
myself ^ppl+pp1+++=myself
for ^in++++=for
an ^at++++=an
unprofitable ^jj+atrb+++=unprofitable
sublimity ^nn+nom+++=sublimity
for ^in++++=for
a ^at++++=a
vast ^jj+atrb+++=vast
body ^nn++++=body
of ^in++++=of
water ^nn++++=water
rushing ^vwbg+++xvbg+=rushing
down ^rp++++=down
in ^in++++=in
majestic ^jj+atrb+++=majestic
idleness ^nns+nom+++=idleness,
, ^zz++++=EXTRAWORD
producing ^vbg+++xvbg+=producing
nothing ^pn++++=nothing
but ^cc++++=but
astonishment ^nn+nom+++=astonishment.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stream ^nn++++=stream
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
divided ^vpsv++agls+xvbnx+=divided
like ^in++++=like
an ^at++++=an
estate ^nn++++=estate
among ^in++++=among
industrious ^jj+atrb+++=industrious
heirs ^nns++++=heirs.
. ^zz++++=EXTRAWORD
A ^at++++=A
portion ^nn+nom+++=portion
turned ^vbd+++xvbn+=turned
wheels ^nns++++=wheels;
; ^zz++++=EXTRAWORD
a ^at++++=a
portion ^nn+nom+++=portion
crept ^vbd+++xvbn+=crept
along ^in++++=along
mill ^nn++++=mill-races;
- ^zz++++=EXTRAWORD
races ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
another ^dt++++=another
portion ^nn+nom+++=portion,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
ashamed ^jj++++=ashamed
of ^in++++=of
its ^pp$+it+++=its
leisure ^nn++++=leisure,
, ^zz++++=EXTRAWORD
hurried ^j+++xvbn+=hurried
toward ^in++++=toward
some ^dti++++=some
mechanical ^jj+atrb+++=mechanical
engagement ^nn+nom+++=engagement
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
remained ^vbd+++xvbn+=remained
fell ^vbd+++xvbn+=fell
over ^in++++=over
the ^ati++++=the
precipice ^nn++++=precipice
and ^cc++++=and
represented ^vbd+++xvbn+=represented
Nature ^nn++++=Nature
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
circumstances ^nns+nom+++=circumstances
allowed ^vwbn+++xvbn+=allowed.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
place ^nn++++=place
possessed ^vbd+++xvbn+=possessed
an ^at++++=an
association ^nn+nom+++=association
which ^whp+rel+subj++=which
restored ^vbd+++xvbn+=restored
to ^in++++=to
it ^pp3+it+++=it
more ^rbr++++=more
than ^in++++=than
the ^ati++++=the
engineers ^nns+nom+++=engineers
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
away ^rb+phrv+++=away.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
Sam ^np++++=Sam
Patch ^nn++++=Patch,
, ^zz++++=EXTRAWORD
the ^ati++++=the
celebrated ^jj+atrb++xvbn+=celebrated
jumper ^nn++++=jumper,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
his ^pp$+pp3+++=his
final ^jj++++=final
leap ^vb++++=leap.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
men ^nns++++=men
whose ^whp+rel+obj++=whose
road ^nn++++=road
to ^in++++=to
distinction ^nn+nom+++=distinction
lies ^nns++++=lies
through ^in++++=through
senates ^nns+nom+++=senates,
, ^zz++++=EXTRAWORD
battlefields ^nns++++=battlefields,
, ^zz++++=EXTRAWORD
books ^nns++++=books,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
discoveries ^nns+nom+++=discoveries;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
others ^aps++++=others
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=finding
all ^abn++++=all
these ^dt+dem+++=these
avenues ^nns++++=avenues
crowded ^vbd+++xvbn+=crowded,
, ^zz++++=EXTRAWORD
go ^vb++++=go
over ^in++++=over
a ^at++++=a
precipice ^nn++++=precipice.
. ^zz++++=EXTRAWORD
Sam ^np++++=Sam
chose ^vbd+++xvbn+=chose
the ^ati++++=the
latter ^ap++++=latter
path ^nn++++=path.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
leaped ^vprf+++xvbnx+=leaped
from ^in++++=from
masts ^nns+++??+=masts,
, ^zz++++=EXTRAWORD
bridges ^nns++++=bridges,
, ^zz++++=EXTRAWORD
rocks ^nns++++=rocks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
various ^jj+atrb+++=various
elevations ^nns+nom+++=elevations
which ^whp+rel+obj++=which
ordinary ^jj+atrb+++=ordinary
persons ^nns++++=persons
consider ^nn+nom+++=consider
useful ^jj++++=useful
chiefly ^rb++++=chiefly
for ^in++++=for
staying ^xvbg+++xvbg+=staying
upon ^in+strn+++=upon.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
successful ^jj+atrb+++=successful
descent ^nn++++=descent
raised ^vbd+++xvbn+=raised
him ^pp3o+pp3+++=him
higher ^jjr++++=higher
in ^in++++=in
public ^jj+atrb+++=public
estimation ^nn+nom+++=estimation,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
brought ^vbd+++xvbn+=brought
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
physical ^jj+atrb+++=physical
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
invariably ^rb++++=invariably
downward ^jjb++++=downward.
. ^zz++++=EXTRAWORD
The ^ati++++=The
multitude ^nn++++=multitude
applauded ^vwbn+++xvbn+=applauded;
; ^zz++++=EXTRAWORD
newspapers ^nns+nom+++=newspapers
announced ^vbd+vpub++xvbn+=announced
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
boys ^nns++++=boys
imitated ^vwbn+++xvbn+=imitated
him ^pp3o+pp3+++=him
from ^in++++=from
fences ^nns++++=fences;
