Purple ^jj++++=Purple,
Her ^pp$+pp3+++=Her
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
redder ^jjr+pred+++=redder
than ^in++++=than
the ^ati++++=the
gown ^nn++++=gown.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Maida ^np+++??+=Maida
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Nothing."
nothing ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Grace ^nn++++=Grace
sniffed ^vbd+++xvbn+=sniffed.
. ^zz++++=EXTRAWORD
" ^zz++++="Tell
tell ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
landlady ^nn++++=landlady.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
says ^vbz+vpub+++=says
out ^rp+pl+++=out
I ^pp1a+pp1+++=I
go ^vb++++=go
tonight ^nr+tm+++=tonight
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
pay ^vb++++=pay
four ^cd++++=four
dollars ^nns++++=dollars."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Four?"
four ^cd++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
spent ^vbd+++xvbnx+=spent
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Grace ^nn++++=Grace
touched ^vbd+++xvbn+=touched
the ^ati++++=the
dress ^nn++++=dress
box ^nn++++=box.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
I ^pp1a+pp1+++=I
could ^md+pos+++=could
put ^vbd+++xvbn+=put
her ^pp$+pp3+++=her
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she'll
'll ^md+prd+++0=EXTRAWORD
set ^vb+++xvbn+=set
my ^pp$+pp1+++=my
trunk ^nn++++=trunk
in ^in++++=in
the ^ati++++=the
hall ^nn++++=hall.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=haven't
n't ^xnot++not++0=EXTRAWORD
anywhere ^rb++++=anywhere
to ^to++++=to
go ^vbi++++=go."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sniffle ^np+++??+=Sniffle,
, ^zz++++=EXTRAWORD
gulp ^nn++++=gulp,
, ^zz++++=EXTRAWORD
sniffle ^nn+++??+=sniffle
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
bother ^nn++++=bother!
! ^zz++++=EXTRAWORD
Tears ^nns++++=Tears
are ^vb+ber+vrb++=are
awkward ^jj+atrb+++=awkward
things ^nns++++=things
in ^in++++=in
a ^at++++=a
department ^nn+nom+++=department
store ^nn++++=store.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
spot ^nn++++=spot
ribbons ^nns++++=ribbons,
, ^zz++++=EXTRAWORD
alarm ^vb++++=alarm
customers ^nns+nom+++=customers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
expose ^vb++++=expose
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
young ^jj+atrb+++=young
women ^nns++++=women
who ^whp+rel+subj++=who
sell ^vb++++=sell
holiday ^nn++++=holiday
luxuries ^nns++++=luxuries
may ^md+pos+++=may
themselves ^ppls+pp3+++=themselves
lack ^nn++++=lack
four ^cd++++=four
dollars ^nns++++=dollars'
' ^zz++++=EXTRAWORD
worth ^in++++=worth
of ^in++++=of
shelter ^nn++++=shelter.
. ^zz++++=EXTRAWORD
Maida ^np+++??+=Maida
opened ^vbd+++xvbn+=opened
her ^pp$+pp3+++=her
purse ^nn++++=purse.
. ^zz++++=EXTRAWORD
Inside ^in+pl+++=Inside
lay ^jjb+++xvbn+=lay
two ^cd++++=two
five ^cd++++=five-dollar
- ^zz++++=EXTRAWORD
dollar ^nn++++=EXTRAWORD
bills ^nns++++=bills
and ^cc++++=and
four ^cd++++=four
ones ^cd1s++++=ones
the ^ati++++=the
final ^jj+atrb+++=final
treasury ^np++++=treasury
of ^in++++=of
months ^nns++++=months
of ^in++++=of
denial ^nn++++=denial.
. ^zz++++=EXTRAWORD
The ^ati++++=The
four ^cd++++=four
dollars ^nns++++=dollars
were ^vbd+bed+vrb++=were
Schlegel ^np+++??+=Schlegel's.
's. ^nn+++??+=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
also ^rb++++=also
a ^at++++=a
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
a ^at++++=a
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Grace ^np++++=Grace's
's ^$++++=EXTRAWORD
battered ^jj+atrb++xvbn+=battered
little ^jj+atrb+++=little
trunk ^nn++++=trunk
safe ^jj++++=safe
from ^in++++=from
public ^jj+atrb+++=public
disgrace ^nn+++??+=disgrace.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam
with ^in++++=with
the ^ati++++=the
six ^cd++++=six
gowns ^nns++++=gowns,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
place ^nn++++=place
where ^wrb+who+++=where
you ^pp2+pp2+++=you
may ^md+pos+++=may
misunderstand ^vb+++??+=misunderstand
Maida ^np+++??+=Maida.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
say ^vb+vpub+tht0++=say
she ^pp3a+pp3+++=she
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi+vbi+aux++=have
offered ^vprf+++xvbn+=offered
two ^cd++++=two
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
demanded ^vbd+vsua++xvbn+=demanded
the ^ati++++=the
return ^nn++++=return
of ^in++++=of
the ^ati++++=the
red ^jj+atrb+++=red
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
proposed ^vbd+vsua++xvbn+=proposed
an ^at++++=an
installment ^nn+nom+++=installment
arrangement ^nn+nom+++=arrangement.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
poverty ^nn++++=poverty
does ^vbz+doz+aux++=does
not ^xnot++not++=not
always ^rb++++=always
make ^vb++++=make
people ^nns++++=people
calculating ^vwbg+++xvbg+=calculating.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
it ^pp3+it+++=it
makes ^vbz++++=makes
them ^pp3o+pp3+++=them
magnificent ^jj++++=magnificent.
. ^zz++++=EXTRAWORD
Maida ^np+++??+=Maida
gave ^vbd+++xvbn+=gave
Grace ^nn++++=Grace
the ^ati++++=the
four ^cd++++=four
one ^cd1++++=one-dollar
- ^zz++++=EXTRAWORD
dollar ^nn++++=EXTRAWORD
bills ^nns++++=bills.
. ^zz++++=EXTRAWORD
" ^zz++++="Pay
pay ^vb++++=EXTRAWORD
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Grace ^nn++++=Grace
stared ^vbd+++xvbn+=stared.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
your ^pp$+pp2+++=your
dress ^nn++++=dress?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
it ^pp3+it+++=it
later ^rbr+tm+++=later."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
miss ^vb++++=miss
the ^ati++++=the
dinner ^nn++++=dinner."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
suppose ^vb+vprv+++=suppose
so ^rb++++=so."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
Ramsay ^np+++??+=Ramsay
" ^zz++++="
" ^zz++++="Go
go ^vb++++=EXTRAWORD
pay ^nn++++=pay
your ^pp$+pp2+++=your
rent ^nn++++=rent."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Grace ^nn++++=Grace
embraced ^vbd+++xvbn+=embraced
her ^pp$+pp3+++=her
with ^in++++=with
one ^cd1++++=one
arm ^nn++++=arm,
, ^zz++++=EXTRAWORD
preserving ^vbg+++xvbg+=preserving
the ^ati++++=the
red ^jj+atrb+++=red
dress ^nn++++=dress
with ^in++++=with
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
Gratitude ^nn++++=Gratitude
is ^vbz+bez+vrb++=is
sincere ^jj+pred+++=sincere,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
new ^jj+atrb+++=new
gown ^nn++++=gown
must ^md+nec+++=must
not ^xnot++not++=not
be ^vb+be+aux++=be
crushed ^vpsv++agls+xvbnx+=crushed.
. ^zz++++=EXTRAWORD
At ^rb++++=At
six ^cd++++=six-fifteen
- ^zz++++=EXTRAWORD
fifteen ^cd++++=EXTRAWORD
Maida ^np+++??+=Maida
stood ^vbd+++xvbn+=stood
in ^in++++=in
Schlegel ^np++++=Schlegel's
's ^$++++=EXTRAWORD
shop ^nn++++=shop
while ^cs+sub+++=while
rain ^nn++++=rain
worried ^vbd+vprv++xvbn+=worried
the ^ati++++=the
windows ^nns++++=windows.
. ^zz++++=EXTRAWORD
" ^zz++++="Four
four ^cd++++=EXTRAWORD
dollars ^nns++++=dollars
yet ^rb+cnj+++=yet,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Schlegel ^np+++??+=Schlegel,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
out ^rp+pl+++=out
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=haven't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No?"
no ^at++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
gave ^vbd+++xvbnx+=gave
it ^pp3+it+++=it
to ^in++++=to
somebody ^pn++++=somebody."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
tailor ^nn++++=tailor's
's ^$++++=EXTRAWORD
eyebrows ^nns++++=eyebrows
rose ^vbd+++xvbn+=rose.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
square ^nn++++=square
little ^ap++++=little
man ^nn++++=man
with ^in++++=with
gray ^np++++=gray
bristles ^nns++++=bristles
and ^cc++++=and
spectacles ^nns++++=spectacles
through ^in++++=through
which ^whp+rel+pied++=which
the ^ati++++=the
world ^nn++++=world
had ^vb+hv+aux++=had
apparently ^rb++splt++=apparently
disappointed ^vprf+++xvbnx+=disappointed
him ^pp3o+pp3+++=him
for ^in++++=for
forty ^cd++++=forty
years ^nns++++=years.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
gif ^vb+++??+=gif
away ^rp+pl+++=away
my ^pp$+pp1+++=my
four ^cd++++=four
dollars ^nns++++=dollars?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
gave ^vbd+++xvbnx+=gave
away ^rb+phrv+++=away
mine ^nn++++=mine.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dress ^nn++++=dress
can ^md+pos+++=can
stay ^vb++++=stay."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Stay!
stay ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
After ^in++++=After
I ^pp1a+pp1+++=I
finish ^nn++++=finish
him ^pp3o+pp3+++=him?
? ^zz++++=EXTRAWORD
After ^in++++=After
buttons ^nns++++=buttons,
, ^zz++++=EXTRAWORD
hooks ^nns++++=hooks,
, ^zz++++=EXTRAWORD
pressing ^vbg+++xvbg+=pressing,
, ^zz++++=EXTRAWORD
two ^cd++++=two
alterations ^nns+nom+++=alterations
because ^cs+cos+++=because
somebody ^pn++++=somebody
is ^vbz+bez+aux++=is
growing ^vbg+++xvbgx+=growing
thinner ^jjr++++=thinner
from ^in++++=from
foolishness ^nns+nom+++=foolishness?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
sorry ^uh++++=sorry."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Sorry!"
sorry ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Schlegel ^np+++??+=Schlegel.
. ^zz++++=EXTRAWORD
" ^zz++++="Sorry
sorry ^uh++++=EXTRAWORD
buys ^vbz++++=buys
silk ^nn++++=silk
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps?
? ^zz++++=EXTRAWORD
Sorry ^uh++++=Sorry
pays ^vbz++++=pays
gas ^nn++++=gas?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
take ^vb++++=take
him ^pp3o+pp3+++=him
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sell ^vb++++=sell
him ^pp3o+pp3+++=him
to ^in++++=to
a ^at++++=a
duchess ^nns+nom+++=duchess."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
many ^ap++++=many
duchesses ^nns+nom+++=duchesses
my ^pp$+pp1+++=my
size ^nn++++=size,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Maida ^np+++??+=Maida.
. ^zz++++=EXTRAWORD
Schlegel ^np+++??+=Schlegel
glared ^vbd+++xvbn+=glared.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
thrust ^vbd+++xvbnx+=thrust
the ^ati++++=the
dress ^nn++++=dress
behind ^in+pl+++=behind
a ^at++++=a
curtain ^nn++++=curtain.
. ^zz++++=EXTRAWORD
" ^zz++++="Go.
go ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
make ^vb++++=make
me ^pp1o+pp1+++=me
nervous ^jj++++=nervous."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
Maida ^np+++??+=Maida
went ^vbd+++xvbn+=went
home ^nr++++=home
in ^in++++=in
her ^pp$+pp3+++=her
old ^jj+atrb+++=old
brown ^jj+atrb+++=brown
skirt ^nn++++=skirt
and ^cc++++=and
black ^jj+atrb+++=black
jacket ^nn++++=jacket
while ^cs+sub+++=while
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Bachman ^np++++=Bachman's
's ^$++++=EXTRAWORD
clerks ^nns++++=clerks
gathered ^vbd+++xvbn+=gathered
beneath ^in+pl+++=beneath
paper ^nn++++=paper
garlands ^nns++++=garlands.
. ^zz++++=EXTRAWORD
Grace ^nn++++=Grace
came ^vbd+++xvbn+=came
in ^in++++=in
red ^jj++++=red,
, ^zz++++=EXTRAWORD
brilliant ^jj++++=brilliant
and ^cc+phrs+++=and
frightened ^jj+++xvbn+=frightened,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
poppy ^nn++++=poppy
that ^tht+rel+subj++=that
suspects ^vbz+vprv+++=suspects
the ^ati++++=the
gardener ^nn+nom+++=gardener.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ramsay ^np++++=Ramsay
looked ^vbd+++xvbn+=looked
at ^rb++++=at
her ^pp3o+pp3+++=her
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
three ^cd++++=three
times ^nns++++=times.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Bachman ^np++++=Bachman
carved ^vbd+++xvbn+=carved
the ^ati++++=the
turkey ^nn++++=turkey
thinly ^rb++++=thinly.
. ^zz++++=EXTRAWORD
Speeches ^nns++++=Speeches
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made
concerning ^in++++=concerning
loyalty ^nn++++=loyalty,
, ^zz++++=EXTRAWORD
prosperity ^nn+nom+++=prosperity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
family ^nn++++=family
spirit ^nn++++=spirit
existing ^vwbg+++xvbg+=existing
between ^in++++=between
employer ^nn+nom+++=employer
and ^cc++++=and
employees ^nns+nom+++=employees.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
remarked ^vprf+++xvbn+=remarked
that ^tht+vcmp+++=that
families ^nns++++=families
generally ^rb+down+++=generally
provide ^vb+vsua+++=provide
enough ^dt++++=enough
food ^nn++++=food
on ^in++++=on
more ^rbr++++=more
than ^in++++=than
one ^cd1++++=one
evening ^nn++++=evening
per ^in++++=per
year ^nn++++=year.
. ^zz++++=EXTRAWORD
Maida ^np+++??+=Maida
sat ^vbd+++xvbn+=sat
in ^in++++=in
her ^pp$+pp3+++=her
boarding ^nn++++=boarding-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
room ^nn++++=room
and ^cc++++=and
heard ^vbd+vprv++xvbn+=heard
the ^ati++++=the
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
cry ^vb++++=cry.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
disappointment ^nn+nom+++=disappointment
was ^vbd+bedz+vrb++=was
beyond ^in++++=beyond
the ^ati++++=the
convenience ^nn+nom+++=convenience
of ^in++++=of
tears ^nns++++=tears.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
laid ^vbd+++xvbnx+=laid
out ^rb+phrv+++=out
the ^ati++++=the
old ^jj+atrb+++=old
blue ^nn++++=blue
waist ^nn++++=waist
she ^pp3a+pp3+++=she
would ^md+prd+++=would
wear ^vb++++=wear
to ^in++++=to
work ^nn++++=work,
, ^zz++++=EXTRAWORD
repaired ^j+++xvbn+=repaired
a ^at++++=a
loosened ^jj+atrb++xvbn+=loosened
button ^nn++++=button,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
imagined ^vbd+vprv++xvbn+=imagined
the ^ati++++=the
purple ^jj+atrb+++=purple
dress ^nn++++=dress
hanging ^vwbg+++xvbg+=hanging
in ^in++++=in
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
At ^rb++++=At
nine ^cd++++=nine
came ^vbd+++xvbn+=came
a ^at++++=a
pounding ^jj+++xvbg+=pounding
below ^rb++++=below.
. ^zz++++=EXTRAWORD
" ^zz++++="Miss
miss ^npt++++=EXTRAWORD
Flynn ^np++++=Flynn!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
called ^xvbn+++xvbn+=called
the ^ati++++=the
landlady ^nn++++=landlady.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
parcel ^nn++++=parcel!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
enormous ^jj+pred+++=enormous,
, ^zz++++=EXTRAWORD
wrapped ^j+++xvbn+=wrapped
in ^in++++=in
brown ^jj+atrb+++=brown
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
accompanied ^vpsv++by+xvbn+=accompanied
by ^in++++=by
a ^at++++=a
note ^nn++++=note
written ^vbd+++xvbn+=written
in ^in++++=in
violent ^jj+atrb+++=violent
pencil ^nn++++=pencil:
: ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
take ^vb++++=take
the ^ati++++=the
dress ^nn++++=dress.
. ^zz++++=EXTRAWORD
Pay ^nn++++=Pay
one ^cd1++++=one
dollar ^nn++++=dollar
each ^dt++++=each
week ^nn++++=week.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
spoil ^vb++++=spoil
it ^pp3+it+++=it
in ^in++++=in
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
a ^at++++=a
crazy ^jj+atrb+++=crazy
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
Schlegel ^np+++??+=Schlegel.
. ^zz++++=EXTRAWORD
Maida ^np+++??+=Maida
tore ^vbd+++xvbn+=tore
the ^ati++++=the
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
Purple ^jj++++=Purple
flowed ^jj+++xvbn+=flowed
into ^in++++=into
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
moments ^nns+nom+++=moments
when ^wrb+who+++=when
the ^ati++++=the
daughters ^nns+nom+++=daughters
of ^in++++=of
man ^nn++++=man
become ^vb++++=become
queens ^npt++++=queens
without ^in++++=without
the ^ati++++=the
assistance ^nn+nom+++=assistance
of ^in++++=of
crowns ^nns++++=crowns,
, ^zz++++=EXTRAWORD
inheritances ^nns+nom++??+=inheritances,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
newspaper ^nn+nom+++=newspaper
photographers ^nns+nom+++=photographers.
. ^zz++++=EXTRAWORD
Maida ^np+++??+=Maida
held ^vbd+vprv++xvbn+=held
the ^ati++++=the
dress ^nn++++=dress
against ^in++++=against
her ^pp$+pp3+++=her
and ^cc++++=and
saw ^vpsv++agls+xvbn+=saw
in ^in++++=in
the ^ati++++=the
cracked ^jj+atrb++xvbn+=cracked
mirror ^nn++++=mirror
not ^xnot++not++=not
silk ^nn++++=silk,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
buttons ^nns++++=buttons,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
eighteen ^cd++++=eighteen
dollars ^nns++++=dollars
but ^cc++++=but
the ^ati++++=the
lunches ^nns++++=lunches
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
refused ^vprf+++xvbnx+=refused,
, ^zz++++=EXTRAWORD
the ^ati++++=the
miles ^nns++++=miles
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
walked ^vprf+++xvbnx+=walked,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cold ^jj+atrb+++=cold
mornings ^nns++++=mornings,
, ^zz++++=EXTRAWORD
the ^ati++++=the
quiet ^nn++++=quiet
hopes ^nns++++=hopes.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
saw ^vbd+vprv+tht0+xvbnx+=saw
patience ^nn+nom+++=patience
made ^vbd+++xvbn+=made
visible ^jj++++=visible.
. ^zz++++=EXTRAWORD
In ^in++++=In
ten ^cd++++=ten
minutes ^nns++++=minutes
she ^pp3a+pp3+++=she
wore ^vbd+++xvbnx+=wore
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dinner ^nn++++=dinner
would ^md+prd+++=would
be ^vb+be+vrb++=be
nearly ^rb+down+++=nearly
over ^rb++++=over.
. ^zz++++=EXTRAWORD
The ^ati++++=The
streets ^nns++++=streets
were ^vbd+bed+aux++=were
streaming ^vbg+++xvbgx+=streaming.
. ^zz++++=EXTRAWORD
Sensible ^jj+atrb+++=Sensible
persons ^nns++++=persons
were ^vbd+bed+vrb++=were
indoors ^rn+pl+++=indoors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Maida ^np+++??+=Maida
possessed ^vbd+++xvbn+=possessed
neither ^dt++neg++=neither
umbrella ^nn++++=umbrella
nor ^cc++neg++=nor
overshoes ^nns+++??+=overshoes.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
dress ^nn++++=dress
had ^vbd+hvd+aux++=had
waited ^vprf+++xvbnx+=waited
four ^cd++++=four
months ^nns++++=months
to ^to++++=to
exist ^vbi++++=exist
upon ^in++++=upon
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Must ^md+nec+++=Must
purple ^vb++++=purple
submit ^vb+vpub+++=submit
to ^in++++=to
weather ^nn++++=weather?
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
put ^vbd+++xvbnx+=put
on ^rb+phrv+++=on
her ^pp$+pp3+++=her
poorest ^jjt+atrb+++=poorest
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
lifted ^j+++xvbn+=lifted
her ^pp3o+pp3+++=her
skirt ^nn++++=skirt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rain ^nn++++=rain
descended ^vbd+++xvbn+=descended
with ^in++++=with
the ^ati++++=the
enthusiasm ^nn++++=enthusiasm
of ^in++++=of
a ^at++++=a
municipal ^jj+atrb+++=municipal
contractor ^nn++++=contractor
paid ^vwbn+++xvbn+=paid
by ^in++++=by
the ^ati++++=the
gallon ^nn++++=gallon.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
drummed ^vbd+++xvbn+=drummed
on ^in++++=on
awnings ^nns+++??+=awnings,
, ^zz++++=EXTRAWORD
polished ^jj+atrb+++=polished
sidewalks ^nns+++??+=sidewalks,
, ^zz++++=EXTRAWORD
filled ^jj+atrb++xvbn+=filled
gutters ^nns+nom+++=gutters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drove ^vbd+++xvbn+=drove
citizens ^nns++++=citizens
into ^in++++=into
doorways ^nns++++=doorways.
. ^zz++++=EXTRAWORD
Maida ^np+++??+=Maida
walked ^vbd+++xvbn+=walked
through ^in++++=through
it ^pp3+it+++=it
radiant ^jj++++=radiant.
. ^zz++++=EXTRAWORD
Beneath ^rb++++=Beneath
her ^pp$+pp3+++=her
coat ^nn++++=coat
the ^ati++++=the
purple ^jj+atrb+++=purple
skirt ^nn++++=skirt
flashed ^vbd+++xvbn+=flashed
at ^in++++=at
every ^at++++=every
step ^nn++++=step
a ^at++++=a
banner ^nn++++=banner,
, ^zz++++=EXTRAWORD
a ^at++++=a
secret ^jj+atrb+++=secret
sunset ^nn++++=sunset,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
private ^jj+atrb+++=private
