Superstitious ^jj+atrb+++=Superstitious
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
cheerful ^jj+pred+++=cheerful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
Thursday ^nr++++=Thursday
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
was ^vbd+bedz+aux++=was
wondering ^vbg+++xvbgx+=wondering
which ^whp+who+++=which
article ^nn++++=article
of ^in++++=of
furniture ^nn++++=furniture
would ^md+prd+++=would
go ^vb++++=go
next ^rb++++=next.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
begun ^vbd+++xvbnx+=begun
with ^in++++=with
things ^nns++++=things
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
unnecessary ^jj++++=unnecessary.
. ^zz++++=EXTRAWORD
The ^ati++++=The
parlour ^nn++++=parlour
clock ^nn++++=clock
went ^vbd+++xvbn+=went
because ^cs+cos+++=because,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
clock ^nn++++=clock
at ^in++++=at
the ^ati++++=the
church ^nn++++=church.
. ^zz++++=EXTRAWORD
The ^ati++++=The
easy ^jj++++=easy-chair
- ^zz++++=EXTRAWORD
chair ^nn++++=EXTRAWORD
went ^vbd+++xvbn+=went
because ^cs+cos+++=because
sitting ^vbg+++xvbg+=sitting
down ^rb+phrv+++=down
too ^ql++++=too
much ^ap++++=much
was ^vbd+bedz+vrb++=was
bad ^jj+pred+++=bad
for ^in++++=for
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
figure ^nn++++=figure.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
china ^np++++=china
dog ^nn++++=dog
off ^in+pl+++=off
the ^ati++++=the
mantelpiece ^nn++++=mantelpiece
went ^vbd+++xvbn+=went
because ^cs+cos+++=because
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
unlucky ^jj+pred+++=unlucky
to ^to++++=to
keep ^vbi++++=keep
an ^at++++=an
animal ^nn++++=animal
as ^ql++++=as
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
bark ^nn++++=bark.
. ^zz++++=EXTRAWORD
Arter ^np+++??+=Arter
that ^tht+rel+obj++=that
the ^ati++++=the
spare ^jj+atrb+++=spare
blankets ^nns++++=blankets
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
a ^at++++=a
copper ^nn++++=copper
kettle ^nn++++=kettle,
, ^zz++++=EXTRAWORD
three ^cd++++=three
saucepans ^nns+nom+++=saucepans,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
curtains ^nns++++=curtains.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
asked ^vbd+vsua++xvbn+=asked
' ^zz++++='im
im ^&fw++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
curtains ^nns++++=curtains
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
they ^pp3a+pp3+++=they'd
'd ^vbd+hvd+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
sent ^vpsv++agls+xvbnx+=sent
to ^to++++=to
be ^vbi+vbi+aux++=be
cleaned ^vpsv++agls+xvbnx+=cleaned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked
which ^wdt+who+whcl++=which
cleaners ^nns+nom+++=cleaners
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
offended ^xvbn+++xvbn+=offended
and ^cc+phrs+++=and
went ^xvbn+++xvbn+=went
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
" ^zz++++="At
at ^rb++++=EXTRAWORD
last ^rb"++++=last
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
hardly ^rb+down+++=hardly
enough ^qlp++++=enough
left ^jj+++xvbn+=left
in ^in++++=in
the ^ati++++=the
house ^nn++++=house
to ^to++++=to
furnish ^vbi++++=furnish
a ^at++++=a
cupboard ^nn++++=cupboard.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
kept ^vbd+++xvbn+=kept
the ^ati++++=the
poker ^nn++++=poker
in ^in++++=in
the ^ati++++=the
bedroom ^nn++++=bedroom
at ^in++++=at
night ^nn++++=night,
, ^zz++++=EXTRAWORD
partly ^rb+down+++=partly
for ^in++++=for
protection ^nn+nom+++=protection
and ^cc++++=and
partly ^rb+down+++=partly
because ^cs+cos+++=because
Bill ^nn++++=Bill
had ^vb+hv+vrb++=hadn't
n't ^xnot++not++0=EXTRAWORD
thought ^nn+++xvbn+=thought
of ^in++++=of
selling ^xvbg+++xvbg+=selling
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
hid ^vbd+++xvbnx+=hid
the ^ati++++=the
flat ^jj++++=flat-irons
- ^zz++++=EXTRAWORD
irons ^nns++++=EXTRAWORD
under ^in++++=under
a ^at++++=a
loose ^jj+atrb+++=loose
board ^nn++++=board,
, ^zz++++=EXTRAWORD
kept ^j+++xvbn+=kept
the ^ati++++=the
teaspoons ^nns+++??+=teaspoons
in ^in++++=in
her ^pp$+pp3+++=her
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wore ^vbd+++xvbn+=wore
two ^cd++++=two
petticoats ^nns++++=petticoats
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
trust ^vb+vprv+++=trust
the ^ati++++=the
chest ^nn++++=chest
of ^in++++=of
drawers ^nns+nom+++=drawers.
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^cd1++++=EXTRAWORD
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Bill ^nn++++=Bill
was ^vbd+bedz+aux++=was
out ^rp+pl+splt++=out
improving ^vbg+++xvbgx+=improving
the ^ati++++=the
landlord ^nn++++=landlord's
's ^$++++=EXTRAWORD
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
came ^vbd+++xvbn+=came
a ^at++++=a
knock ^vb++++=knock
at ^rb++++=at
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
opened ^vbd+++xvbn+=opened
it ^pp3+it+++=it
and ^cc++++=and
saw ^vbd+vprv++xvbn+=saw
a ^at++++=a
long ^jj++++=long,
, ^zz++++=EXTRAWORD
melancholy ^jj++++=melancholy-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
man ^nn++++=man
with ^in++++=with
sandy ^jj+atrb+++=sandy
whiskers ^nns+nom+++=whiskers
and ^cc++++=and
a ^at++++=a
mouth ^nn++++=mouth
that ^tht+rel+subj++=that
turned ^vprf+++xvbn+=turned
down ^rb+phrv+++=down
at ^rb++++=at
both ^abx++++=both
corners ^nns+nom+++=corners
as ^cs+sub+++=as
if ^cs+cnd+++=if
life ^nn++++=life
had ^vbd+hvd+aux++=had
disappointed ^vprf+++xvbnx+=disappointed
' ^zz++++='im
im ^&fw++++=EXTRAWORD
personal ^jj++++=personal.
. ^zz++++=EXTRAWORD
" ^zz++++="'Mrs.
' ^zz++++=EXTRAWORD
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="'Yes,'
' ^zz++++=EXTRAWORD
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="'My
' ^zz++++=EXTRAWORD
my ^pp$+pp1+++=EXTRAWORD
name ^nn++++=name's
's ^$++++=EXTRAWORD
Silas ^np+++??+=Silas
Winch ^nn++++=Winch,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
' ^zz++++='Me
me ^pp1o+pp1+++=EXTRAWORD
and ^cc++++=and
Bill ^nn++++=Bill
was ^vbd+bedz+vrb++=was
shipmates ^nns+nom+++=shipmates
aboard ^in+pl+++=aboard
the ^ati++++=the
*golden ^jj+++xvbn+=*Golden
Fleece* ^np+++??+=Fleece*.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Come
' ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=EXTRAWORD
in ^in+strn+++=in,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses,
, ^zz++++=EXTRAWORD
' ^zz++++='if
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
nothing ^pn++++=nothing.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Silas
silas ^vbz+++??+=EXTRAWORD
looked ^vprf+++xvbn+=looked
a ^at++++=a
bit ^nn++++=bit
hurt ^vbd+++xvbn+=hurt
at ^rb++++=at
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
in ^in++++=in
and ^cc++++=and
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
on ^in++++=on
the ^ati++++=the
only ^ap+down+++=only
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
sat ^vbd+++xvbn+=sat
on ^in++++=on
an ^at++++=an
empty ^jj+atrb+++=empty
flour ^nn++++=flour-bin.
- ^zz++++=EXTRAWORD
bin ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="'Bill
' ^zz++++=EXTRAWORD
bill ^nn++++=EXTRAWORD
out ^rp+pl+++=out?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="'Yes,'
' ^zz++++=EXTRAWORD
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="'At
' ^zz++++=EXTRAWORD
at ^rb++++=EXTRAWORD
the ^ati++++=the
Sailor ^np++++=Sailor's
's ^$++++=EXTRAWORD
Return ^vb++++=Return?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="'No,'
' ^zz++++=EXTRAWORD
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
' ^zz++++='At
at ^rb++++=EXTRAWORD
the ^ati++++=the
Jolly ^jj+atrb+++=Jolly
Mariner ^np+++??+=Mariner.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Ah,'
' ^zz++++=EXTRAWORD
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Silas ^np+++??+=Silas,
, ^zz++++=EXTRAWORD
nodding ^vbg+++xvbg+=nodding.
. ^zz++++=EXTRAWORD
' ^zz++++='He
he ^pp3a+pp3+++=EXTRAWORD
always ^rb++++=always
did ^vbd+dod+vrb++=did
like ^in++++=like
a ^at++++=a
change ^nn++++=change.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
looked ^vbd+++xvbnx+=looked
round ^rb++++=round
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
long ^jj++++=long,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
asked ^vbd+vsua++xvbn+=asked
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they'd
'd ^vbd+hvd+aux++0=EXTRAWORD
moved ^vprf+++xvbnx+=moved
lately ^rb+tm+++=lately.
. ^zz++++=EXTRAWORD
" ^zz++++="'No,'
' ^zz++++=EXTRAWORD
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw.
. ^zz++++=EXTRAWORD
' ^zz++++='The
the ^ati++++=EXTRAWORD
furniture ^nn++++=furniture
has ^vbz+hvz+vrb++=has.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
she ^pp3a+pp3+++=she
told ^vbd+vpub++xvbnx+=told
' ^zz++++='im
im ^&fw++++=EXTRAWORD
about ^in++++=about
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
told ^vbd+vpub++xvbnx+=told
' ^zz++++='im
im ^&fw++++=EXTRAWORD
about ^in++++=about
the ^ati++++=the
wages ^nns++++=wages
and ^cc++++=and
the ^ati++++=the
public ^jj++++=public-house,
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
blankets ^nns++++=blankets
and ^cc++++=and
the ^ati++++=the
saucepans ^nns+nom+++=saucepans,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
clock ^nn++++=clock
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
no ^at++++=no
longer ^rbr++++=longer
required ^vbd+++xvbn+=required
because ^cs+cos+++=because
of ^in"++++=of
the ^ati++++=the
church ^nn++++=church.
. ^zz++++=EXTRAWORD
Silas ^np+++??+=Silas
listened ^vbd+++xvbn+=listened
with ^in++++=with
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
turned ^vbd+++xvbn+=turned
down ^rb+phrv+++=down
worse ^jjr++++=worse
than ^in++++=than
ever ^rb+cnj+++=ever,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
shook ^vbd+++xvbnx+=shook
his ^pp$+pp3+++=his
head ^jjb++++=head
till ^in++++=till
his ^pp$+pp3+++=his
whiskers ^nns+nom+++=whiskers
brushed ^vbd+++xvbn+=brushed
his ^pp$+pp3+++=his
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
" ^zz++++="'Drink,'
' ^zz++++=EXTRAWORD
drink ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
a ^at++++=a
terrible ^jj+atrb+++=terrible
thing ^nn++++=thing.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'It
' ^zz++++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
when ^wrb+who+++=when
somebody ^pn++++=somebody
else ^rb+cnj+++=else
does ^vbz+doz+vrb++=does
it ^pp3+it+++=it,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw.
. ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
touch ^vb++++=touch
it ^pp3+it+++=it,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Silas ^np+++??+=Silas,
, ^zz++++=EXTRAWORD
' ^zz++++='except
except ^in++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
asked ^vpsv++agls+xvbnx+=asked.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
remember ^nn+nom+++=remember
not ^xnot++not++=not
to ^to++++=to
ask ^vbi++++=ask
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Silas
silas ^nns+++??+=EXTRAWORD
sat ^vbd+++xvbn+=sat
thinking ^nvbg+++xvbg+=thinking,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
long ^jj+atrb+++=long
hands ^nns++++=hands
between ^in++++=between
his ^pp$+pp3+++=his
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
all ^rb++++=all
of ^in++++=of
a ^at++++=a
sudden ^jj++++=sudden
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="'Is
' ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=EXTRAWORD
Bill ^nn++++=Bill
still ^rb+atrb+++=still
superstitious ^jj++++=superstitious?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="'Worse,'
' ^zz++++=EXTRAWORD
worse ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
' ^zz++++='Last
last ^rb++++=EXTRAWORD
week ^nn++++=week
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
my ^pp$+pp1+++=my
washing ^nvbg+++xvbg+=washing
money ^nn++++=money
to ^in++++=to
an ^at++++=an
old ^jj+atrb+++=old
woman ^nn++++=woman
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
told ^vbd+vpub++xvbnx+=told
' ^zz++++='im
im ^&fw++++=EXTRAWORD
his ^pp$+pp3+++=his
left ^jj+atrb++xvbn+=left
eyebrow ^nn++++=eyebrow
meant ^vbd+vprv++xvbn+=meant
sudden ^jj+atrb+++=sudden
danger ^nn++++=danger.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Did
' ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=EXTRAWORD
it ^pp3+it+++=it?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Silas ^np+++??+=Silas.
. ^zz++++=EXTRAWORD
" ^zz++++="'It
' ^zz++++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
did ^vbd+dod+vrb++=did
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
' ^zz++++='ome,'
ome ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw.
. ^zz++++=EXTRAWORD
" ^zz++++="Silas
silas ^nns+++??+=EXTRAWORD
rubbed ^vbd+++xvbn+=rubbed
his ^pp$+pp3+++=his
hands ^nns++++=hands
together ^nn+nom+++=together
very ^ql+amp+++=very
slow ^vb++++=slow.
. ^zz++++=EXTRAWORD
" ^zz++++="'Me
' ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=EXTRAWORD
and ^cc++++=and
Bill ^nn++++=Bill
made ^vbd+++xvbn+=made
an ^at++++=an
agreement ^nn+nom+++=agreement
once ^rb+cnj+++=once,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
' ^zz++++='It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
aboard ^in+pl+++=aboard
the ^ati++++=the
*golden ^jj+++xvbn+=*Golden
Fleece* ^np+++??+=Fleece*,
, ^zz++++=EXTRAWORD
off ^in+pl+++=off
the ^ati++++=the
coast ^nn++++=coast
of ^in++++=of
Peru ^np++++=Peru,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
p ^zz++++=p'raps
'raps ^nns+++??+0=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
Margate ^np+nom++??+=Margate.
. ^zz++++=EXTRAWORD
Wherever ^nn+nom+++=Wherever
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
the ^ati++++=the
weather ^nn++++=weather
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
bad ^jj++++=bad.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
agreed ^vbd+vpub++xvbn+=agreed
that ^tht+vcmp+++=that
whichever ^nn+nom+++=whichever
of ^in++++=of
us ^pp1o+pp1+++=us
died ^vbd+++xvbn+=died
first ^rb++++=first
was ^vbd+bedz+aux++=was
to ^to++++=to
come ^vbi++++=come
back ^jjb++++=back
and ^cc++++=and
tell ^vb++++=tell
the ^ati++++=the
other ^ap++++=other
wot ^wpr++++=wot
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
like ^in+strn+++=like.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
stared ^vbd+++xvbn+=stared
at ^in++++=at
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="'Did
' ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
put ^vbd+++xvbn+=put
it ^pp3+it+++=it
in ^in++++=in
writing ^xvbg+++xvbg+=writing?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="'No,'
' ^zz++++=EXTRAWORD
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Silas ^np+++??+=Silas.
. ^zz++++=EXTRAWORD
' ^zz++++='Ghosts
ghosts ^nns++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care
for ^in++++=for
paperwork ^nn+++??+=paperwork.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Bill ^nn++++=Bill
remembers ^nns+nom+++=remembers.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
that ^dt+pdem+++=that
frightened ^vbd+++xvbn+=frightened
arterwards ^rb++++=arterwards
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
me ^pp1o+pp1+++=me
promise ^nn++++=promise
not ^xnot++not++=not
to ^to++++=to
come ^vbi++++=come
back ^jjb++++=back
during ^in++++=during
meals ^nns++++=meals.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
leaned ^vbd+++xvbnx+=leaned
nearer ^rbr++++=nearer
and ^cc++++=and
lowered ^vbd+++xvbn+=lowered
his ^pp$+pp3+++=his
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="'If
' ^zz++++=EXTRAWORD
if ^cs+cnd+++=EXTRAWORD
Bill ^nn++++=Bill
was ^vbd+bedz+aux++=was
to ^to++++=to
think ^vbi+vprv+tht0++=think
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses,
, ^zz++++=EXTRAWORD
' ^zz++++='and
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
my ^pp$+pp1+++=my
ghost ^nn++++=ghost
was ^vbd+bedz+aux++=was
to ^to++++=to
appear ^vbi+seem+++=appear
to ^to+vcmp+++=to
' ^zz++++='im
im ^&fw++++=EXTRAWORD
and ^cc++++=and
warn ^vb+vpub+++=warn
' ^zz++++='im
im ^&fw++++=EXTRAWORD
against ^in++++=against
drink ^nn++++=drink
' ^zz++++='
" ^zz++++="Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
sat ^vbd+++xvbn+=sat
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="'Could
' ^zz++++=EXTRAWORD
could ^md+pos+++=EXTRAWORD
you ^pp2+pp2+++=you
look ^vb++++=look
dead ^jj++++=dead?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="Silas
silas ^vbz+++??+=EXTRAWORD
considered ^vbd+vprv++xvbn+=considered.
. ^zz++++=EXTRAWORD
' ^zz++++='I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
told ^vpsv++tht0+xvbnx+=told
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
of ^in++++=of
a ^at++++=a
morning ^nn++++=morning,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
talked ^vbd+++xvbnx+=talked
it ^pp3+it+++=it
over ^rb++++=over.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
Silas ^np+++??+=Silas
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
appear ^vbi+seem+++=appear
in ^in++++=in
chains ^nns++++=chains,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
