Bullies ^nns++++=BULLIES,
men ^nns++++=men,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
proper ^jj+atrb+++=proper
respect ^nn++++=respect
for ^in++++=for
law ^nn++++=law
and ^cc++++=and
order ^nn++++=order,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
when ^wrb+who+++=when
the ^ati++++=the
law ^nn++++=law
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing
six ^cd++++=six
foot ^nn++++=foot
two ^cd++++=two
and ^cc++++=and
could ^md+pos+++=could
box ^vb++++=box.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
we ^pp1a+pp1+++=we
sympathized ^vbd+++xvbn+=sympathized
with ^in++++=with
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
shipmates ^nns+nom+++=shipmates
sympathize ^vb++++=sympathize
with ^in++++=with
' ^zz++++='im,
im ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
knowing ^jj+++xvbg+=knowing
wot ^wpr++++=wot
he ^pp3a+pp3+++=he
may ^md+pos+++=may
be ^vb+be+aux++=be
persuaded ^vpsv++agls+xvbnx+=persuaded
to ^to+vcmp+++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
Joe ^np++++=Joe
Smith ^np++++=Smith
as ^in++++=as
thought ^nn++++=thought
of ^in++++=of
the ^ati++++=the
idea ^nn++++=idea.
. ^zz++++=EXTRAWORD
Joe ^np++++=Joe
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
soft ^jj++++=soft-spoken
- ^zz++++=EXTRAWORD
spoken ^vprf+++xvbn+=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
way ^nn++++=way
of ^in++++=of
looking ^xvbg+++xvbg+=looking
at ^rb++++=at
you ^pp2+pp2+++=you
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
sorry ^uh++++=sorry
for ^in++++=for
your ^pp$+pp2+++=your
future ^jjb++++=future.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
on ^in++++=on
his ^pp$+pp3+++=his
chest ^nn++++=chest
one ^cd1++++=one
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
mending ^vbg+++xvbg+=mending
a ^at++++=a
sock ^nn++++=sock,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
mate ^nn++++=mate's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
came ^vbd+++xvbn+=came
down ^in++++=down
the ^ati++++=the
hatch ^np++++=hatch
ordering ^vwbg+++xvbg+=ordering
Bill ^nn++++=Bill
to ^to++++=to
go ^vbi++++=go
aft ^jjb++++=aft
and ^cc++++=and
wash ^vb++++=wash
some ^dti++++=some
mud ^nn++++=mud
off ^in+pl+++=off
the ^ati++++=the
jolly ^jj++++=jolly-boat.
- ^zz++++=EXTRAWORD
boat ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
third ^nn++++=third
time ^nn++++=time
to ^to++++=to-day,"
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob
Pullin ^np+++??+=Pullin.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
clean ^vb++++=clean
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you'd
'd ^md"+hvd+pmd"++0=EXTRAWORD
better ^md++++=better
go ^vb++++=go
and ^cc++++=and
dirty ^jj++++=dirty
it ^pp3+it+++=it
first ^rb+cnj+++=first,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe,
, ^zz++++=EXTRAWORD
biting ^vbg+++xvbg+=biting
off ^in+pl+++=off
a ^at++++=a
thread ^nn++++=thread.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
said ^vbd+vpub++xvbn+=said
several ^ap++++=several
things ^nns++++=things
about ^in++++=about
the ^ati++++=the
mate ^nn++++=mate
which ^whp+rel+subj++=which
showed ^vbd+vprv++xvbn+=showed
that ^tht+vcmp+++=that
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
brought ^vpsv++agls+xvbnx+=brought
up ^rb+phrv+++=up
among ^in++++=among
people ^nns++++=people
with ^in++++=with
large ^jj+atrb+++=large
vocabularies ^nns++++=vocabularies.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
was ^vbd+bedz+aux++=was
to ^to++++=to
hit ^vbd+++xvbn+=hit
' ^zz++++='im
im ^&fw++++=EXTRAWORD
aboard ^in+strn+++=aboard,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe,
, ^zz++++=EXTRAWORD
thoughtful ^jj++++=thoughtful,
, ^zz++++=EXTRAWORD
" ^zz++++="it'd
it ^pp3+it+++0=EXTRAWORD
'd ^md+prd+aux++=EXTRAWORD
be ^vb+be+vrb++=be
mutiny ^nn++++=mutiny."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
that ^tht+vcmp+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
hit ^vbd+++xvbn+=hit
' ^zz++++='im
im ^&fw++++=EXTRAWORD
ashore ^rb+cnj+++=ashore,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe,
, ^zz++++=EXTRAWORD
" ^zz++++="you'd
you ^pp2+pp2+++=EXTRAWORD
'd ^md+prd+aux++0=EXTRAWORD
get ^vb++++=get
put ^vb+++xvbn+=put
in ^rb+phrv+++=in
quod ^&fw++++=quod."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
too ^ql++++=too,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
Joe ^np++++=Joe
held ^vbd+vprv++xvbn+=held
the ^ati++++=the
sock ^nn++++=sock
up ^rp++++=up
and ^cc++++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Course,"
course ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses,
, ^zz++++=EXTRAWORD
" ^zz++++="if
if ^cs+cnd+++=EXTRAWORD
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
set ^vpsv++agls+xvbnx+=set
upon ^in++++=upon
by ^in++++=by
a ^at++++=a
couple ^nn++++=couple
of ^in++++0=o'
strangers ^nns+nom+++=strangers,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that'd
'd ^md+prd+aux++0=EXTRAWORD
be ^vb+be+vrb++=be
different ^jj+pred+++=different."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
stared ^vbd+++xvbn+=stared
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Wot
wot ^wpr++++=EXTRAWORD
strangers ^nns+nom+++=strangers?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="Any
any ^dti++++=EXTRAWORD
strangers ^nns+nom+++=strangers,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe.
. ^zz++++=EXTRAWORD
" ^zz++++="Sailormen,
sailormen ^vb+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
choice ^nn++++=choice."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He'd
he ^pp3a+pp3+++0=EXTRAWORD
'd ^md+prd+aux++=EXTRAWORD
know ^vb+vprv+++=know
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="He'd
he ^pp3a+pp3+++0=EXTRAWORD
'd ^md+prd+aux++=EXTRAWORD
know ^vb+vprv+++=know
this ^dt+dem+++=this
' ^zz++++='air
air ^nn++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
coal ^nn++++=coal-cellar."
- ^zz++++=EXTRAWORD
cellar ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Joe ^np++++=Joe
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
altered ^vbd+++xvbn+=altered
yourself ^ppl+pp2+++=yourself,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="How?"
how ^wrb+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="Cut
cut ^vb+++xvbn+=EXTRAWORD
my ^pp$+pp1+++=my
head ^jjb++++=head
off ^rp+pl+++=off?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Black
black ^jj++++=EXTRAWORD
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
quietness ^nns+nom+++=quietness
in ^in++++=in
the ^ati++++=the
fo ^nn+++??+=fo'c's'le
'c's'le ^nn+++??+=EXTRAWORD
after ^in++++=after
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
Everybody ^pn++++=Everybody
looked ^vbd+++xvbn+=looked
at ^rb++++=at
Bill ^np++++=Bill's
's ^$++++=EXTRAWORD
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
Joe ^np++++=Joe.
. ^zz++++=EXTRAWORD
Ginger ^nn++++=Ginger
Dick ^np++++=Dick
began ^vbd+++xvbn+=began
to ^to++++=to
laugh ^vbi++++=laugh,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
stopped ^vbd+++xvbn+=stopped
when ^wrb+who+++=when
Bill ^nn++++=Bill
turned ^vbd+++xvbn+=turned
round ^rb+phrv+++=round.
. ^zz++++=EXTRAWORD
" ^zz++++="Black
black ^jj++++=EXTRAWORD
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
your ^pp$+pp2+++=your
' ^zz++++='air,"
air ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
and ^cc++++=and
Bob ^np++++=Bob
could ^md+pos+++=could
dress ^vb++++=dress
up ^rp++++=up
like ^in++++=like
a ^at++++=a
couple ^nn++++=couple
of ^in++++0=o'
natives ^nns++++=natives.
. ^zz++++=EXTRAWORD
Loose ^jj+atrb+++=Loose
shirts ^nns++++=shirts,
, ^zz++++=EXTRAWORD
turbans ^nns+nom+++=turbans,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
bit ^nn++++=bit
of ^in++++0=o'
blacking ^nn++++=blacking.
. ^zz++++=EXTRAWORD
Wait ^vb++++=Wait
for ^in++++=for
the ^ati++++=the
mate ^nn++++=mate
somewhere ^rb++++=somewhere
quiet ^jj++++=quiet,
, ^zz++++=EXTRAWORD
give ^vb++++=give
' ^zz++++='im
im ^&fw++++=EXTRAWORD
a ^at++++=a
doing ^nvbg+++xvbg+=doing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
come ^vb++++=come
back ^jjb++++=back
aboard ^rp+pl+++=aboard
afore ^in++++=afore
he ^pp3a+pp3+++=he
does ^vbz+doz+vrb++=does."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob
Pullin ^np+++??+=Pullin,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
sharp ^np++++=sharp.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
Bill ^np++++=Bill's
's ^$++++=EXTRAWORD
friend ^nn++++=friend,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
that ^dt+dem+++=that
sort ^nn++++=sort
of ^in++++=of
friend ^nn++++=friend,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbn+=thought
you ^pp2+pp2+++=you
was ^vbd+bedz+vrb++=was,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
old ^jj+atrb+++=old
Ned ^np+++??+=Ned
Baker ^np++++=Baker.
. ^zz++++=EXTRAWORD
" ^zz++++="There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
friendship ^nn+nom+++=friendship
and ^cc++++=and
friendship ^nn+nom+++=friendship,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob.
. ^zz++++=EXTRAWORD
" ^zz++++="I'd
i ^pp1a+pp1+++0=EXTRAWORD
'd ^md+prd+aux++=EXTRAWORD
lend ^vb++++=lend
' ^zz++++='im
im ^&fw++++=EXTRAWORD
tobacco ^nn++++=tobacco.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
even ^rb++splt++=even
lend ^vb++++=lend
' ^zz++++='im
im ^&fw++++=EXTRAWORD
money ^nn++++=money
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
sure ^jj+pred+++=sure
he ^pp3a+pp3+++=he
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
ashore ^rb+pl+++=ashore
to ^to++++=to
spend ^vbi++++=spend
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
dressing ^nvbg+++xvbg+=dressing
up ^rp++++=up
and ^cc++++=and
fighting ^nvbg+++xvbg+=fighting
the ^ati++++=the
mate ^nn++++=mate
is ^vbz+bez+vrb++=is
different ^jj+pred+++=different."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
put ^vbd+++xvbn+=put
his ^pp$+pp3+++=his
hand ^nn++++=hand
on ^in++++=on
Bob ^np++++=Bob's
's ^$++++=EXTRAWORD
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
" ^zz++++="You've
you ^pp2+pp2+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
often ^rb++splt++=often
said ^vprf++tht0+xvbnx+=said
you ^pp2+pp2+++=you'd
'd ^md+prd+vrb++0=EXTRAWORD
like ^vb++++=like
to ^to+vcmp+++=to
see ^vbi+vprv+tht0++=see
the ^ati++++=the
mate ^nn++++=mate
get ^vb++++=get
a ^at++++=a
hiding ^nvbg+++xvbg+=hiding,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob.
. ^zz++++=EXTRAWORD
" ^zz++++="From
from ^in++++=EXTRAWORD
a ^at++++=a
safe ^jj+atrb+++=safe
place ^nn++++=place."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
shall ^md+prd+++=shall,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="Close
close ^in+cmpx+++=EXTRAWORD
to ^in"++++=to."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bob ^np++++=Bob
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
argue ^vbi+vpub+++=argue,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
arguing ^jj+atrb++xvbg+=arguing
agin ^nn+++??+=agin
six ^cd++++=six
men ^nns++++=men
all ^abn++++=all
telling ^jj+++xvbg+=telling
you ^pp2+pp2+++=you
wot ^wpr++++=wot
a ^at++++=a
fine ^jj+atrb+++=fine,
, ^zz++++=EXTRAWORD
loyal ^jj+atrb+++=loyal
character ^nn+nom+++=character
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got.
. ^zz++++=EXTRAWORD
Besides ^rb++++=Besides,
, ^zz++++=EXTRAWORD
Joe ^np++++=Joe
said ^vbd+vpub+tht0+xvbn+=said
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
hardly ^rb+down+++=hardly
no ^at++++=no
risk ^vb++++=risk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
Joe ^np++++=Joe
said ^vbd+vpub+tht0+xvbn+=said
a ^at++++=a
thing ^nn++++=thing
was ^vbd+bedz+vrb++=was
safe ^jj+pred+++=safe
it ^pp3+it+++=it
generally ^rb+down+++=generally
meant ^vprf+++xvbn+=meant
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=wasn't
n't ^xnot++not++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
take ^vb++++=take
part ^nn++++=part
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
carpenter ^nn+nom+++=carpenter
had ^vb+hv+vrb++=had
a ^at++++=a
pot ^nn++++=pot
of ^in++++=of
blacking ^xvbg+++xvbg+=blacking
he ^pp3a+pp3+++=he
used ^vbd+++xvbnx+=used
for ^in++++=for
marking ^xvbg+++xvbg+=marking
timber ^nn++++=timber
and ^cc++++=and
touching ^vbg+++xvbg+=touching
up ^rp++++=up
odd ^jj+atrb+++=odd
jobs ^nns++++=jobs.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
ordinary ^jj+atrb+++=ordinary
boot ^nn++++=boot-blacking;
- ^zz++++=EXTRAWORD
blacking ^vbg+++xvbg+=EXTRAWORD
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
own ^ap++++=own
mixture ^nn++++=mixture,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
proud ^jj++++=proud
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Water
water ^nn++++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
touch ^vb++++=touch
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="Sun
sun ^nn++++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
fade ^vb++++=fade
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Salt ^jj++++=Salt
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
bite ^vb++++=bite
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
stays ^vbz++++=stays."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
just ^rb+emph+++=just
wot ^wpr++++=wot
we ^pp1a+pp1+++=we
want ^vb++++=want,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe.
. ^zz++++=EXTRAWORD
The ^ati++++=The
carpenter ^nn+nom+++=carpenter
lent ^vbd+++xvbn+=lent
us ^pp1o+pp1+++=us
the ^ati++++=the
pot ^nn++++=pot,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
wasting ^vbg+++xvbgx+=wasting
good ^jj+atrb+++=good
material ^nn++++=material
on ^in++++=on
bad ^jj+atrb+++=bad
faces ^nns++++=faces.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
old ^jj+atrb+++=old
cotton ^nn++++=cotton
shirts ^nns++++=shirts
was ^vbd+bedz+aux++=was
bought ^vpsv++agls+xvbnx+=bought
ashore ^rb+cnj+++=ashore,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
steward ^nn++++=steward
provided ^vbd+++xvbn+=provided
a ^at++++=a
couple ^nn++++=couple
of ^in++++0=o'
cloths ^nns++++=cloths
for ^in++++=for
turbans ^nns+nom+++=turbans
after ^cs+sub+++=after
we ^pp1a+pp1+++=we'd
'd ^vbd+hvd+aux++0=EXTRAWORD
promised ^vprf+++xvbnx+=promised
to ^to+vcmp+++=to
pay ^vbi++++=pay
for ^in++++=for
them ^pp3o+pp3+++0='em
at ^in++++=at
some ^dti++++=some
future ^jjb+atrb+++=future
date ^nn++++=date.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
wanted ^vbd+++xvbn+=wanted
bracelets ^nns+nom+++=bracelets
as ^rb++++=as
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Joe ^np++++=Joe
said ^vbd+vpub+tht0+xvbn+=said
that ^tht+vcmp+++=that
would ^md+prd+++=would
be ^vb+be+aux++=be
overdoing ^vbg+++xvbgx+=overdoing
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
waited ^vbd+++xvbn+=waited
till ^cs+sub+++=till
the ^ati++++=the
skipper ^npt++++=skipper
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
to ^to++++=to
dine ^vbi++++=dine
with ^in++++=with
an ^at++++=an
agent ^nn++++=agent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Grummett ^np++++=Grummett
had ^vbd+hvd+aux++=had
dressed ^vprf+++xvbnx+=dressed
himself ^ppl+pp3+++=himself
to ^to++++=to
go ^vbi++++=go
ashore ^rb+pl+++=ashore.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
for ^in+ppvb+++=for'ard
'ard ^nn+++??+=EXTRAWORD
before ^in++++=before
leaving ^xvbg+++xvbg+=leaving,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
to ^to++++=to
tell ^vbi++++=tell
us ^pp1o+pp1+++=us
that ^dt+dem+++=that
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
any ^dti++++=any
man ^nn++++=man
drunk ^vbd+++xvbn+=drunk
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
back ^rb+phrv+++=back
he ^pp3a+pp3+++0=he'd
'd ^md+prd+vrb++=EXTRAWORD
cure ^nn++++=cure
' ^zz++++='im
im ^&fw++++=EXTRAWORD
of ^in++++=of
it ^pp3+it+++=it
in ^in++++=in
a ^at++++=a
way ^nn++++=way
he ^pp3a+pp3+++=he
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
forget ^vb+vprv+++=forget.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
drink ^vb++++=drink,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
down ^rp++++=down.
. ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
