Moonlight ^nn++++=Moonlight
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
unnecessary ^jj+atrb+++=unnecessary
bust ^nn++++=bust
of ^in++++=of
Seneca ^np+++??+=Seneca
when ^wrb+who+++=when
fists ^nns++++=fists
strike ^vb++++=strike
the ^ati++++=the
panels ^nns++++=panels.
. ^zz++++=EXTRAWORD
" ^zz++++="Open!"
open ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Wessel ^np++++=Wessel's
's ^$++++=EXTRAWORD
eyebrows ^nns++++=eyebrows
rise ^nn++++=rise.
. ^zz++++=EXTRAWORD
" ^zz++++="Persistent
persistent ^jj+atrb+++=EXTRAWORD
readers ^nns+nom+++=readers?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Open,
open ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Queen ^np++++=Queen's
's ^$++++=EXTRAWORD
name ^nn++++=name!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
Queen ^nn++++=Queen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
murmurs ^nns++++=murmurs
Will ^md+prd+++=Will,
, ^zz++++=EXTRAWORD
" ^zz++++="has
has ^vbz+hvz+aux++=EXTRAWORD
never ^rb++splt++=never
knocked ^vprf+++xvbnx+=knocked
so ^pn+emph+++=so
coarsely ^jj++++=coarsely."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
door ^nn++++=door
shakes ^vbz++++=shakes.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
points ^nns++++=points
to ^in++++=to
the ^ati++++=the
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
vanishes ^vbz++++=vanishes
up ^rp++++=up
them ^pp3o+pp3+++=them
with ^in++++=with
the ^ati++++=the
obedient ^jj+atrb+++=obedient
speed ^nn++++=speed
of ^in++++=of
a ^at++++=a
cat ^nn++++=cat
expelled ^vwbn+++xvbn+=expelled
from ^in++++=from
a ^at++++=a
dairy ^nn++++=dairy.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
removes ^vbz++++=removes
one ^cd1++++=one
folio ^nn++++=folio,
, ^zz++++=EXTRAWORD
sits ^vbz++++=sits
on ^in++++=on
the ^ati++++=the
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
opens ^vbz++++=opens
*the ^nn+++??+=*The
Faerie ^np+++??+=Faerie
Queene* ^np+++??+=Queene*,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arranges ^vbz++++=arranges
his ^pp$+pp3+++=his
face ^nn++++=face
into ^in++++=into
mild ^jj+atrb+++=mild
allegory ^nn++++=allegory.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+aux++=is
discovered ^vpsv++agls+xvbnx+=discovered
thus ^rb+cnj+++=thus
when ^wrb+who+++=when
a ^at++++=a
shutter ^nn++++=shutter
beside ^in+pl+++=beside
the ^ati++++=the
door ^nn++++=door
is ^vbz+bez+aux++=is
beaten ^vpsv++agls+xvbnx+=beaten
inward ^jjb++++=inward
and ^cc++++=and
a ^at++++=a
rapier ^np++++=rapier
enters ^vbz++++=enters.
. ^zz++++=EXTRAWORD
" ^zz++++="Master
master ^nn++++=EXTRAWORD
Caxter ^np+++??+=Caxter!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Sir
sir ^npt++++=EXTRAWORD
Rapier ^np+++??+=Rapier."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
saw ^vbd+vprv+tht0+xvbn+=saw
him ^pp3o+pp3+++=him
come ^vb++++=come
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Many
many ^ap++++=EXTRAWORD
come ^vprf+++xvbn+=come
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
Few ^ap++++=Few
return ^vb++++=return
my ^pp$+pp1+++=my
books ^nns++++=books."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="William
william ^np++++=EXTRAWORD
Sh ^np+++??+=Sh
" ^zz++++="
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
astonish ^vb++++=astonish
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believed ^vbd+vprv++xvbnx+=believed
him ^pp3o+pp3+++=him
in ^in++++=in
Shoreditch ^np+++??+=Shoreditch,
, ^zz++++=EXTRAWORD
ruining ^vbg+++xvbg+=ruining
a ^at++++=a
comedy ^nn++++=comedy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
point ^nn++++=point
withdraws ^vbz++++=withdraws.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
the ^ati++++=the
broken ^jj+atrb++xvbn+=broken
shutter ^nn++++=shutter
appears ^vbz+seem+tht0++=appears
an ^at++++=an
eye ^nn++++=eye
surrounded ^vwbn+++xvbn+=surrounded
by ^in++++=by
fury ^nn++++=fury,
, ^zz++++=EXTRAWORD
wet ^jj+atrb+++=wet
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
expensive ^jj+atrb+++=expensive
velvet ^nn++++=velvet.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+aux++=has
wronged ^vprf+++xvbnx+=wronged
our ^pp$+pp1+++=our
sister ^nn++++=sister."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^cs+sub+++=EXTRAWORD
narrows ^nps++++=narrows
London ^np++++=London
very ^ql+amp+++=very
little ^ap++++=little."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+vrb++=EXTRAWORD
not ^xnot++not++=not
jest ^rb++++=jest!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
command ^nn++++=command
cracks ^nns++++=cracks.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
looks ^vbz++++=looks
more ^rbr++++=more
closely ^rb++++=closely.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gentleman ^nn+nom+++=gentleman's
's ^$++++=EXTRAWORD
cheek ^nn++++=cheek
is ^vbz+bez+aux++=is
cut ^vpsv++agls+xvbnx+=cut.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
with ^in++++=with
a ^at++++=a
blade ^nn++++=blade:
: ^zz++++=EXTRAWORD
four ^cd++++=four
parallel ^jj+atrb+++=parallel
scratches ^nns++++=scratches
mark ^vb++++=mark
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
him ^pp3o+pp3+++=him
stands ^vbz++++=stands
his ^pp$+pp3+++=his
brother ^nn++++=brother,
, ^zz++++=EXTRAWORD
bareheaded ^j+++xvbn+=bareheaded,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
arm ^vb++++=arm
bound ^vbd+++xvbn+=bound
in ^in++++=in
a ^at++++=a
linen ^nn++++=linen
strip ^nn++++=strip
already ^rb++++=already
darkening ^jj+++xvbg+=darkening.
. ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
has ^vbz+hvz+vrb++=has
the ^ati++++=the
flushed ^jj+atrb++xvbn+=flushed
delight ^nn++++=delight
of ^in++++=of
a ^at++++=a
tavern ^nn++++=tavern
quarrel ^nn++++=quarrel.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
rage ^nn++++=rage
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
theatrical ^jj+atrb+++=theatrical
rage ^nn++++=rage,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
pauses ^vbz+++??+=pauses
to ^to++++=to
see ^vbi+vprv+++=see
whether ^cs+who+++=whether
the ^ati++++=the
gallery ^nn+nom+++=gallery
has ^vbz+hvz+aux++=has
understood ^vprf+++xvbnx+=understood.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
sick ^jj+atrb+++=sick
rage ^nn++++=rage.
. ^zz++++=EXTRAWORD
Helpless ^jj+atrb+++=Helpless
rage ^nn++++=rage.
. ^zz++++=EXTRAWORD
Terror ^nn++++=Terror
put ^vbd+++xvbn+=put
into ^in++++=into
boots ^nns++++=boots.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
closes ^vbz++++=closes
the ^ati++++=the
book ^nn++++=book.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
wrong ^jj++++=wrong?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
eye ^nn++++=eye
disappears ^vbz+seem+++=disappears.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+aux++=is
hurried ^vpsv++agls+xvbnx+=hurried
speech ^nn++++=speech
outside ^jjb++++=outside,
, ^zz++++=EXTRAWORD
broken ^xvbn+++xvbn+=broken
by ^in++++=by
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
received ^vbd+++xvbnx+=received
him ^pp3o+pp3+++=him
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew
him ^pp3o+pp3+++=him
God ^np++++=God
forgive ^vb++++=forgive
her ^pp$+pp3+++=her
" ^zz++++="
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
locked ^vbd+++xvbnx+=locked
the ^ati++++=the
chamber ^nn++++=chamber."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
cried ^vbd+++xvbnx+=cried
out ^rp+pl+++=out."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
broke ^vbd+++xvbn+=broke
in ^rb+phrv+++=in."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
struck ^vbd+++xvbnx+=struck
Edmund ^np++++=Edmund
with ^in++++=with
a ^at++++=a
stool ^nn++++=stool."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
gown ^nn++++=gown
" ^zz++++="
The ^ati++++=The
voice ^nn++++=voice
fails ^vbz++++=fails.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
brother ^nn++++=brother
seizes ^vbz++++=seizes
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
forced ^vbd+++xvbnx+=forced
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
By ^in++++=By
God ^np++++=God,
, ^zz++++=EXTRAWORD
Caxter ^np+++??+=Caxter,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
forced ^vbd+++xvbnx+=forced
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
hide ^nn++++=hide
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
partner ^nn++++=partner
to ^in++++=to
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Upstairs ^jjb++++=Upstairs,
, ^zz++++=EXTRAWORD
a ^at++++=a
board ^nn++++=board
whispers ^nns+nom+++=whispers.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
hears ^vbz+vprv+++=hears.
. ^zz++++=EXTRAWORD
The ^ati++++=The
brothers ^nns+nom+++=brothers
hear ^vb+vprv+++=hear.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rapier ^np++++=rapier
comes ^vbz++++=comes
through ^in++++=through
the ^ati++++=the
shutter ^nn++++=shutter
again ^rb+tm+++=again
and ^cc++++=and
drives ^nns++++=drives
into ^in++++=into
the ^ati++++=the
panel ^nn++++=panel
beside ^in+pl+++=beside
Wessel ^np++++=Wessel's
's ^$++++=EXTRAWORD
ear ^nn++++=ear.
. ^zz++++=EXTRAWORD
Seneca ^np+++??+=Seneca
topples ^nns+++??+=topples
from ^in++++=from
the ^ati++++=the
barricade ^nn+++??+=barricade
and ^cc++++=and
bursts ^nns++++=bursts
his ^pp$+pp3+++=his
plaster ^nn+nom+++=plaster
head ^jjb++++=head
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
perhaps ^rb++++=perhaps
the ^ati++++=the
most ^ql+emph+++=most
practical ^jj+atrb+++=practical
criticism ^nn+nom+++=criticism
Seneca ^np+++??+=Seneca
had ^vbd+hvd+aux++=had
received ^vprf+++xvbnx+=received
in ^in++++=in
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
does ^vbz+doz+aux++=does
not ^xnot++not++=not
move ^vb++++=move.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
house ^nn++++=house,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
" ^zz++++="contains
contains ^vbz++++=EXTRAWORD
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
eleven ^cd++++=eleven
hundred ^cd++++=hundred
books ^nns++++=books,
, ^zz++++=EXTRAWORD
two ^cd++++=two
cheeses ^nns+nom++??+=cheeses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
maid ^nn++++=maid
who ^whp+rel+subj++=who
would ^md+prd+++=would
defeat ^vb++++=defeat
you ^pp2+pp2+++=you
both ^abx++++=both.
. ^zz++++=EXTRAWORD
Search ^nn++++=Search
it ^pp3+it+++=it
and ^cc++++=and
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
have ^vb+hv+vrb++=have
the ^ati++++=the
law ^nn++++=law
on ^in++++=on
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
law ^nn++++=law?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
slow ^jj+atrb+++=slow
instrument ^nn+nom+++=instrument,
, ^zz++++=EXTRAWORD
gentlemen ^nns++++=gentlemen,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
one ^cd1++++=one
designed ^vbd+++xvbn+=designed
for ^in++++=for
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
put ^vb+++xvbn+=put
swords ^nns++++=swords
through ^in++++=through
other ^ap++++=other
men ^nns++++=men's
's ^$++++=EXTRAWORD
doors ^nns++++=doors."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
hesitate ^nn+nom+++=hesitate.
. ^zz++++=EXTRAWORD
Rank ^nn++++=Rank
despises ^vbz++++=despises
the ^ati++++=the
law ^nn++++=law
while ^cs+sub+++=while
remaining ^vbg+++xvbg+=remaining
curiously ^rb++++=curiously
attentive ^jj++++=attentive
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Send
send ^vb++++=EXTRAWORD
him ^pp3o+pp3+++=him
out ^rp+pl+++=out,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
elder ^nn++++=elder.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
he ^pp3a+pp3+++=he
comes ^vbz++++=comes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
send ^vb++++=send
him ^pp3o+pp3+++=him
to ^in++++=to
answer ^nn++++=answer
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=will
answer ^vb++++=answer
us ^pp1o+pp1+++=us."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
fear ^vb++++=fear
that ^tht+vcmp+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
long ^rb++++=long
silence ^nn+nom+++=silence
stands ^vbz++++=stands
between ^in++++=between
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
brothers ^nns+nom+++=brothers
retreat ^nn++++=retreat
not ^xnot++not++=not
defeated ^jj+++xvbn+=defeated,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
recalled ^vpsv++by+xvbn+=recalled
by ^in++++=by
something ^pn++++=something
more ^rbr++++=more
urgent ^jj++++=urgent
than ^in++++=than
vengeance ^nn+nom+++=vengeance.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
sister ^nn++++=sister,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps.
. ^zz++++=EXTRAWORD
A ^at++++=A
surgeon ^nn++++=surgeon.
. ^zz++++=EXTRAWORD
A ^at++++=A
mother ^nn++++=mother
asking ^vwbg+vsua++xvbg+=asking
where ^wrb+who+whcl++=where
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
gone ^vprf+++xvbnx+=gone.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
boots ^nns++++=boots
diminish ^vb++++=diminish
along ^in++++=along
the ^ati++++=the
lane ^nn++++=lane.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
waits ^nns+++??+=waits
until ^cs+sub+++=until
even ^rb++++=even
the ^ati++++=the
dog ^nn++++=dog
has ^vbz+hvz+aux++=has
ceased ^vprf+++xvbnx+=ceased
commentary ^nn+nom+++=commentary.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
down ^rp++++=down,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
No ^at++++=No
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
down ^rp++++=down,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
I ^pp1a+pp1+++=I
invite ^vb++++=invite
them ^pp3o+pp3+++=them
back ^jjb++++=back
and ^cc++++=and
lend ^vb++++=lend
them ^pp3o+pp3+++=them
a ^at++++=a
ladder ^nn++++=ladder."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
appears ^vbz+seem+++=appears
at ^in++++=at
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
agility ^nn+nom+++=agility
has ^vbz+hvz+aux++=has
gone ^vprf+++xvbnx+=gone
out ^rp+pl+++=out
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
descends ^vbz++++=descends
one ^cd1++++=one
hand ^nn++++=hand
at ^in++++=at
a ^at++++=a
time ^nn++++=time
along ^in++++=along
the ^ati++++=the
rail ^nn++++=rail.
. ^zz++++=EXTRAWORD
The ^ati++++=The
candle ^nn++++=candle
shows ^vbz+vprv+++=shows
a ^at++++=a
bruise ^nn++++=bruise
upon ^in++++=upon
his ^pp$+pp3+++=his
jaw ^nn++++=jaw,
, ^zz++++=EXTRAWORD
blood ^nn++++=blood
at ^in++++=at
his ^pp$+pp3+++=his
collar ^nn++++=collar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
rent ^nn++++=rent
in ^in++++=in
his ^pp$+pp3+++=his
shirt ^nn++++=shirt.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
also ^rb++++=also
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
smiling ^nvbg+++xvbg+=smiling.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
hates ^vbz++++=hates
the ^ati++++=the
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
looks ^vbz++++=looks
toward ^in++++=toward
the ^ati++++=the
broken ^jj+atrb++xvbn+=broken
shutter ^nn++++=shutter.
. ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
force ^nn++++=force
that ^tht+rel+++=that
woman ^nn++++=woman?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
went ^vbd+++xvbnx+=went
to ^to++++=to
see ^vbi+vprv+tht0++=see
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
my ^pp$+pp1+++=my
question ^nn+nom+++=question."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
sent ^vbd+++xvbnx+=sent
for ^in++++=for
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nor
nor ^cc++neg++=EXTRAWORD
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Her
her ^pp3o+pp3+++=EXTRAWORD
brothers ^nns+nom+++=brothers
hate ^vb++++=hate
players ^nns+nom+++=players."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Most
most ^ql+emph+++=EXTRAWORD
sensible ^jj+atrb+++=sensible
men ^nns++++=men
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
Answer ^nn++++=Answer."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Will ^np+prd+++=Will's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes
move ^vb++++=move
over ^in++++=over
the ^ati++++=the
room ^nn++++=room:
: ^zz++++=EXTRAWORD
books ^nns++++=books
banked ^vbd+++xvbn+=banked
to ^in++++=to
the ^ati++++=the
ceiling ^nn+nom+++=ceiling;
; ^zz++++=EXTRAWORD
maps ^nns++++=maps
curling ^vwbg+++xvbg+=curling
above ^jjb++++=above
the ^ati++++=the
hearth ^nn++++=hearth;
; ^zz++++=EXTRAWORD
Seneca ^np+++??+=Seneca
murdered ^vwbn+++xvbn+=murdered
on ^in++++=on
the ^ati++++=the
rushes ^nn++++=rushes.
. ^zz++++=EXTRAWORD
Anywhere ^rb++++=Anywhere
but ^cc++++=but
Wessel ^np++++=Wessel's
's ^$++++=EXTRAWORD
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
sent ^vbd+++xvbnx+=sent
for ^in++++=for
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
repeats ^vbz+vpub+++=repeats.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
afterward ^rb++++=afterward?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
changed ^vbd+++xvbnx+=changed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Her
her ^pp$+pp3+++=EXTRAWORD
mind ^nn++++=mind?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Everything."
everything ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
rises ^nns++++=rises.
. ^zz++++=EXTRAWORD
The ^ati++++=The
book ^nn++++=book
slides ^nns++++=slides
from ^in++++=from
his ^pp$+pp3+++=his
lap ^nn++++=lap
and ^cc++++=and
falls ^vbz++++=falls
open ^jj++++=open
upon ^in++++=upon
a ^at++++=a
woodcut ^nn+++??+=woodcut
of ^in++++=of
a ^at++++=a
knight ^nn++++=knight
rescuing ^vwbg+++xvbg+=rescuing
chastity ^nn+nom+++=chastity
from ^in++++=from
a ^at++++=a
dragon ^nn++++=dragon.
. ^zz++++=EXTRAWORD
Literature ^nn++++=Literature
has ^vbz+hvz+vrb++=has
tact ^nn++++=tact
of ^in++++=of
a ^at++++=a
brutal ^jj+atrb+++=brutal
sort ^nn++++=sort.
. ^zz++++=EXTRAWORD
" ^zz++++="Was
was ^vbd+bedz+vrb++=EXTRAWORD
she ^pp3a+pp3+++=she
willing ^jj++++=willing?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Will ^np+prd+++=Will's
's ^$++++=EXTRAWORD
mouth ^nn++++=mouth
opens ^vbz++++=opens.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
comes ^vbz++++=comes.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
steps ^nns++++=steps
away ^rp+pl+++=away
as ^cs+sub+++=as
though ^cs+sub+++=though
some ^dti++++=some
smell ^nn++++=smell
has ^vbz+hvz+aux++=has
entered ^vprf+++xvbnx+=entered
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can
turn ^vb++++=turn
any ^dti++++=any
charge ^nn++++=charge
into ^in++++=into
a ^at++++=a
jest ^nn++++=jest,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can
make ^vb++++=make
a ^at++++=a
prince ^npt++++=prince
sound ^jj++++=sound
like ^in++++=like
a ^at++++=a
tapster ^nn+nom+++=tapster
and ^cc++++=and
a ^at++++=a
tapster ^nn+nom+++=tapster
like ^in++++=like
Julius ^np++++=Julius
Caesar ^np++++=Caesar.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+vrb++=have
five ^cd++++=five
hundred ^cd++++=hundred
words ^nns++++=words
for ^in++++=for
moonlight ^nn++++=moonlight
and ^cc++++=and
none ^rb++++=none
for ^in++++=for
no ^at++++=no?"
