# ^zz++++=#
Blas ^np+++??+=Blas
said ^vpsv++agls+xvbnx+=said
to ^to+vcmp+++=to
be ^vbi++vrb++=be
shallow ^jj+pred+++=shallow.
. ^zz++++=EXTRAWORD
Society ^nn++++=Society
had ^vbd+hvd+aux++=had
tested ^vprf+++xvbnx+=tested
her ^pp$+pp3+++=her
depth ^nn++++=depth
by ^in++++=by
asking ^xvbg+++xvbg+=asking
what ^wdt+who+whcl++=what
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
of ^in++++=of
a ^at++++=a
new ^jj+atrb+++=new
tenor ^nn++++=tenor,
, ^zz++++=EXTRAWORD
a ^at++++=a
royal ^jj+atrb+++=royal
engagement ^nn+nom+++=engagement,
, ^zz++++=EXTRAWORD
two ^cd++++=two
doubtful ^jj+atrb+++=doubtful
marriages ^nns+nom+++=marriages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sleeves ^nns++++=sleeves
to ^to++++=to
be ^vbi+vbi+aux++=be
worn ^vpsv++agls+xvbnx+=worn
that ^dt+dem+++=that
autumn ^nn++++=autumn.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
replied ^vprf+++xvbnx+=replied
exactly ^rb++++=exactly
as ^in++++=as
the ^ati++++=the
last ^ap++++=last
clever ^jj+atrb+++=clever
person ^nn++++=person
had ^vbd+hvd+aux++=had
replied ^vprf+++xvbnx+=replied,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
proved ^jj+++xvbn+=proved
that ^tht+jcmp+++=that
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
no ^at++++=no
ideas ^nns++++=ideas
of ^in++++=of
her ^pp$+pp3+++=her
own ^ap++++=own.
. ^zz++++=EXTRAWORD
Original ^nn+nom+++=Original
opinions ^nns++++=opinions,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
intolerable ^jj+pred+++=intolerable
in ^in++++=in
a ^at++++=a
woman ^nn++++=woman
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
become ^vprf+++xvbn+=become
fashionable ^jj++++=fashionable;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
indispensable ^jj+pred+++=indispensable.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
Miss ^npt++++=Miss
Lovell ^np++++=Lovell?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked
Billy ^np++++=Billy.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
compilation ^nn+nom+++=compilation."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in++++=EXTRAWORD
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Other
other ^ap++++=EXTRAWORD
people ^nns++++=people's
's ^$++++=EXTRAWORD
remarks ^nns++++=remarks,
, ^zz++++=EXTRAWORD
Madame ^npt++++=Madame
Vernier ^np++++=Vernier's
's ^$++++=EXTRAWORD
gowns ^nns++++=gowns,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
advertisements ^nns+nom+++=advertisements
for ^in++++=for
violet ^jj+atrb+++=violet
scent ^nn++++=scent."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
admire ^vb++++=admire
her ^pp$+pp3+++=her?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Immensely.
immensely ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
spares ^nns++++=spares
one ^cd1++++=one
the ^ati++++=the
fatigue ^nn++++=fatigue
of ^in++++=of
surprise ^nn++++=surprise."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
instant ^nn+nom+++=instant
Gerty ^np+++??+=Gerty
turned ^vbd+++xvbn+=turned,
, ^zz++++=EXTRAWORD
saw ^j+++xvbn+=saw
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
smiled ^vbd+++xvbn+=smiled.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy's
's ^$++++=EXTRAWORD
face ^vb++++=face
altered ^vbd+++xvbn+=altered.
. ^zz++++=EXTRAWORD
The ^ati++++=The
alteration ^nn+nom+++=alteration
was ^vbd+bedz+vrb++=was
minute ^nn++++=minute.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyeglass ^vbz+++??+=eyeglass
did ^vbd+dod+aux++=did
not ^xnot++not++=not
fall ^vb++++=fall;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
clutch ^nn++++=clutch
the ^ati++++=the
table ^nn++++=table;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
merely ^rb+down+++=merely
ceased ^vbd+++xvbn+=ceased,
, ^zz++++=EXTRAWORD
for ^in++++=for
perhaps ^rb++++=perhaps
two ^cd++++=two
seconds ^nns++++=seconds,
, ^zz++++=EXTRAWORD
to ^to++++=to
look ^vbi++++=look
bored ^jj+++xvbn+=bored.
. ^zz++++=EXTRAWORD
In ^in++++=In
Billy ^np++++=Billy
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
equivalent ^jj+pred+++=equivalent
to ^in++++=to
a ^at++++=a
public ^jj+atrb+++=public
declaration ^nn+nom+++=declaration
accompanied ^vwbn+++xvbn+=accompanied
by ^in++++=by
fireworks ^nns++++=fireworks.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
her ^pp$+pp3+++=her?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Slightly."
slightly ^rb+down+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Introduce
introduce ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
refusal ^nn++++=refusal,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
unreasonable ^jj++++=unreasonable,
, ^zz++++=EXTRAWORD
interested ^jj++++=interested
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Five ^cd++++=Five
minutes ^nns++++=minutes
later ^rbr+tm+++=later
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
crossed ^vprf+++xvbnx+=crossed
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
was ^vbd+bedz+aux++=was
talking ^vbg+++xvbgx+=talking
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
The ^ati++++=The
young ^nn++++=young
attach ^vb++++=attach
drifted ^vbd+++xvbn+=drifted
away ^rp+pl+++=away
with ^in++++=with
the ^ati++++=the
Balkan ^np+++??+=Balkan
crisis ^nn++++=crisis
still ^rb+atrb+++=still
unsettled ^jj++++=unsettled.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
next ^ap++++=next
month ^nn++++=month
Billy ^np++++=Billy
met ^vbd+++xvbn+=met
Gerty ^np+++??+=Gerty
everywhere ^rb++++=everywhere.
. ^zz++++=EXTRAWORD
In ^in++++=In
London ^np++++=London
one ^cd1++++=one
can ^md+pos+++=can
avoid ^vb++++=avoid
a ^at++++=a
creditor ^nn++++=creditor,
, ^zz++++=EXTRAWORD
an ^at++++=an
old ^jj+atrb+++=old
schoolfellow ^nn+++??+=schoolfellow,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
consequences ^nns+nom+++=consequences
of ^in++++=of
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
conduct ^nn++++=conduct,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
one ^cd1++++=one
cannot ^md+pos+not++=cannot
avoid ^vb++++=avoid
a ^at++++=a
woman ^nn++++=woman
whom ^whp+rel+obj++=whom
one ^cd1++++=one
wishes ^vb++++=wishes
to ^to+vcmp+++=to
meet ^vbi++++=meet.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
found ^vbd+vprv+tht0+xvbnx+=found
her ^pp$+pp3+++=her
at ^in++++=at
dinners ^nns+nom+++=dinners,
, ^zz++++=EXTRAWORD
dances ^nns++++=dances,
, ^zz++++=EXTRAWORD
race ^nn++++=race
meetings ^nns++++=meetings,
, ^zz++++=EXTRAWORD
exhibitions ^nns+nom+++=exhibitions,
, ^zz++++=EXTRAWORD
river ^nn++++=river
parties ^nns++++=parties,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
charitable ^jj+atrb+++=charitable
bazaars ^nns++++=bazaars
at ^in++++=at
which ^whp+rel+pied++=which
the ^ati++++=the
rich ^nn++++=rich
purchased ^vbd+++xvbn+=purchased
useless ^jj+atrb+++=useless
objects ^nns++++=objects
in ^cs+sub+++=in
order ^vb++++=order
that ^tht+vcmp+++=that
the ^ati++++=the
poor ^nn++++=poor
might ^md+pos+++=might
acquire ^vb++++=acquire
useful ^jj+atrb+++=useful
pennies ^nns++++=pennies.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
manner ^nn++++=manner
remained ^vbd+++xvbn+=remained
languid ^jj++++=languid,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
movements ^nns+nom+++=movements
became ^vbd+++xvbn+=became
energetic ^jj++++=energetic.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
complain ^vb+vpub+++=complain
bitterly ^rb++++=bitterly
of ^in++++=of
an ^at++++=an
entertainment ^nn+nom+++=entertainment
and ^cc++++=and
arrive ^vb++++=arrive
before ^in++++=before
anybody ^pn++++=anybody
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
discovered ^vbd+vprv++xvbnx+=discovered
merit ^vb++++=merit
in ^in++++=in
plays ^nns++++=plays
which ^whp+rel+obj++=which
Gerty ^np+++??+=Gerty
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
see ^vbi+vprv+++=see,
, ^zz++++=EXTRAWORD
music ^nn++++=music
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
hear ^vbi+vprv+++=hear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
people ^nns++++=people
whom ^whp+rel+obj++=whom
she ^pp3a+pp3+++=she
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
visit ^vbi++++=visit.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
declaring ^nn+vpub++xvbg+=declaring
that ^tht+ncmp+++=that
amateur ^jjb+atrb+++=amateur
theatricals ^nns+nom+++=theatricals
combined ^vbd+++xvbn+=combined
the ^ati++++=the
conceit ^nn++++=conceit
of ^in++++=of
the ^ati++++=the
stage ^nn++++=stage
with ^in++++=with
the ^ati++++=the
incompetence ^nn+nom+++=incompetence
of ^in++++=of
private ^jj+atrb+++=private
life ^nn++++=life,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
drove ^vbd+++xvbnx+=drove
fifteen ^cd++++=fifteen
miles ^nns++++=miles
into ^in++++=into
Surrey ^np++++=Surrey
to ^to++++=to
watch ^vbi++++=watch
Gerty ^np+++??+=Gerty
speak ^vb++++=speak
seven ^cd++++=seven
lines ^nns++++=lines
as ^in++++=as
a ^at++++=a
dairymaid ^nn+++??+=dairymaid.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
in ^in++++=in
love ^nn++++=love,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
on ^in++++=on
the ^ati++++=the
return ^nn++++=return
journey ^nn++++=journey.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj+atrb+++=dear
chap ^nn++++=chap,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
indecent ^jj+pred+++=indecent."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
sat ^vbd+++xvbn+=sat
through ^in++++=through
three ^cd++++=three
acts ^nns++++=acts
of ^in++++=of
Lady ^nn++++=Lady
Bellingham ^np++++=Bellingham's
's ^$++++=EXTRAWORD
comedy ^nn++++=comedy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
survived ^vprf+++xvbnx+=survived
worse ^jjr++++=worse."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
applauded ^vbd+++xvbn+=applauded."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
killing ^nvbg+++xvbg+=killing
a ^at++++=a
mosquito ^nn+++??+=mosquito."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
are ^vb+ber+vrb++=are
no ^at++++=no
mosquitoes ^nn++++=mosquitoes
in ^in++++=in
Surrey ^np++++=Surrey."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
shows ^vbz+vprv+++=shows
how ^wrb+who+whcl++=how
effectively ^rb++++=effectively
I ^pp1a+pp1+++=I
killed ^vbd+++xvbnx+=killed
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
week ^nn++++=week
later ^rbr+tm+++=later
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
them ^pp3o+pp3+++=them
at ^in++++=at
the ^ati++++=the
Lyric ^nn++++=Lyric,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
Lady ^nn++++=Lady
Feversham ^np++++=Feversham's
's ^$++++=EXTRAWORD
box ^nn++++=box.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stage ^nn++++=stage
contained ^vbd+++xvbn+=contained
a ^at++++=a
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
a ^at++++=a
painted ^jj+++xvbn+=painted
lake ^npl++++=lake,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
baritone ^nn++++=baritone
assuring ^vwbg+++xvbg+=assuring
a ^at++++=a
soprano ^nn++++=soprano
that ^tht+rel+obj++=that
his ^pp$+pp3+++=his
passion ^nn++++=passion
was ^vbd+bedz+vrb++=was
eternal ^jj+pred+++=eternal.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
ordinarily ^rb++++=ordinarily
regarded ^vbd+++xvbn+=regarded
operatic ^jj+atrb+++=operatic
love ^nn++++=love
as ^ql++++=as
an ^at++++=an
unpleasant ^jj+atrb+++=unpleasant
form ^nn++++=form
of ^in++++=of
shouting ^xvbg+++xvbg+=shouting,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
watching ^vbg+++xvbgx+=watching
Gerty ^np+++??+=Gerty
instead ^rb+cnj+++=instead.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
watching ^vbg+++xvbg+=watching
the ^ati++++=the
stage ^nn++++=stage
either ^dtx++++=either.
. ^zz++++=EXTRAWORD
Afterwards ^rb+tm+++=Afterwards
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left
a ^at++++=a
glove ^nn++++=glove
in ^in++++=in
the ^ati++++=the
box ^nn++++=box.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
his ^pp$+pp3+++=his
glove ^nn++++=glove;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
hers ^pp$$++++=hers.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
returned ^vbd+++xvbnx+=returned
for ^in++++=for
it ^pp3+it+++=it
with ^in++++=with
a ^at++++=a
promptness ^nns+nom+++=promptness
singular ^nn++++=singular
in ^in++++=in
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
allowed ^vprf+++xvbnx+=allowed
his ^pp$+pp3+++=his
luggage ^nn+nom+++=luggage
to ^to++++=to
remain ^vbi++++=remain
in ^in++++=in
Cairo ^np++++=Cairo
for ^in++++=for
four ^cd++++=four
months ^nns++++=months
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
bothered ^vpsv++agls+xvbnx+=bothered
to ^to+vcmp+++=to
write ^vbi++++=write
a ^at++++=a
telegram ^nn++++=telegram.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
happened ^vbd+++xvbnx+=happened
to ^to+vcmp+++=to
go ^vbi++++=go
back ^jjb++++=back
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
left ^vprf+++xvbn+=left
my ^pp$+pp1+++=my
coat ^nn++++=coat
through ^in++++=through
stupidity ^nn+nom+++=stupidity,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
less ^rbr++++=less
romantic ^jj+pred+++=romantic
but ^cc++++=but
more ^rbr++++=more
common ^jj++++=common.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
darkened ^jj+atrb++xvbn+=darkened
corridor ^nn++++=corridor.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
was ^vbd+bedz+aux++=was
kissing ^vbg+++xvbgx+=kissing
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
withdrew ^vbd+++xvbnx+=withdrew
with ^in++++=with
the ^ati++++=the
tact ^nn++++=tact
of ^in++++=of
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
intends ^vbz++++=intends
to ^to+vcmp+++=to
mention ^nn+nom+++=mention
the ^ati++++=the
matter ^nn++++=matter
at ^rb++++=at
breakfast ^nn++++=breakfast.
. ^zz++++=EXTRAWORD
Next ^ap++++=Next
morning ^nn++++=morning
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
to ^in++++=to
my ^pp$+pp1+++=my
rooms ^nns++++=rooms.
. ^zz++++=EXTRAWORD
" ^zz++++="Well?"
well ^rb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Well
well ^rb++++=EXTRAWORD
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
glove ^nn++++=glove?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^rb++++=EXTRAWORD
little ^rb"++++=little
tight ^jj++++=tight."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
to ^to++++=to
be ^vbi++vrb++=be?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
walked ^vbd+++xvbnx+=walked
to ^in++++=to
the ^ati++++=the
window ^nn++++=window
and ^cc++++=and
inspected ^vbd+++xvbn+=inspected
the ^ati++++=the
chimneys ^nns++++=chimneys.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
asked ^vprf++tht0+xvbnx+=asked
her ^pp$+pp3+++=her
to ^to++++=to
marry ^vbi++++=marry
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
she ^pp3a+pp3+++=she?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Has
has ^vbz+hvz+aux++=EXTRAWORD
consented ^vprf+++xvbnx+=consented."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj+atrb+++=dear
Billy ^np++++=Billy!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
upon ^in++++=upon
me ^pp1o+pp1+++=me
with ^in++++=with
suspicious ^jj+atrb+++=suspicious
severity ^nn+nom+++=severity.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
say ^vb+vpub+++=say
' ^zz++++='lucky
lucky ^jj+atrb+++=EXTRAWORD
dog ^nn++++=dog,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
leave ^vb++++=leave."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
phrase ^nn++++=phrase
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
risen ^vprf+++xvbn+=risen
naturally ^rb++++=naturally
to ^in++++=to
my ^pp$+pp1+++=my
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
requiring ^vbg+vsua++xvbg+=requiring
no ^at++++=no
assistance ^nn+nom+++=assistance
from ^in++++=from
thought ^nn+++xvbn+=thought.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
hoped ^vbd+vprv+tht0+xvbnx+=hoped
you ^pp2+pp2+++=you
deserved ^vbd+++xvbn+=deserved
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+vrb++=be
more ^rbr++++=more
offensive ^nn++++=offensive,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
less ^rbr++++=less
conventional ^jj++++=conventional."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
engagement ^nn+nom+++=engagement
astonished ^vbd+++xvbn+=astonished
everybody ^pn++++=everybody.
. ^zz++++=EXTRAWORD
Lord ^npt++++=Lord
Runnymede ^np+++??+=Runnymede
considered ^vwbn+vprv++xvbn+=considered
it ^pp3+it+++=it
imprudent ^jj++++=imprudent;
; ^zz++++=EXTRAWORD
Lady ^npt++++=Lady
Runnymede ^np+++??+=Runnymede
considered ^vwbn+vprv++xvbn+=considered
it ^pp3+it+++=it
impossible ^jj++++=impossible;
; ^zz++++=EXTRAWORD
Gerty ^np++++=Gerty's
's ^$++++=EXTRAWORD
aunt ^npt++++=aunt
considered ^vwbn+vprv++xvbn+=considered
it ^pp3+it+++=it
providential ^jj++++=providential;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Pelican ^np+++??+=Pelican
considered ^vwbn+vprv++xvbn+=considered
it ^pp3+it+++=it
temporary ^jj++++=temporary.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
had ^vb+hv+vrb++=had
about ^in++++=about
fifteen ^cd++++=fifteen
hundred ^cd++++=hundred
a ^at++++=a
year ^nn++++=year,
, ^zz++++=EXTRAWORD
expensive ^jj+atrb+++=expensive
habits ^nns++++=habits,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
expectations ^nns+nom+++=expectations
dependent ^jj++++=dependent
upon ^in++++=upon
an ^at++++=an
elder ^jjr+atrb+++=elder
brother ^nn++++=brother
who ^whp+rel+subj++=who
enjoyed ^vbd+++xvbn+=enjoyed
rude ^jj+atrb+++=rude
health ^nn++++=health
and ^cc++++=and
mountain ^nn++++=mountain-climbing.
- ^zz++++=EXTRAWORD
climbing ^nvbg+++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
Gerty ^np+++??+=Gerty
had ^vb+hv+vrb++=had
beauty ^nn++++=beauty,
, ^zz++++=EXTRAWORD
breeding ^nvbg+++xvbg+=breeding,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seven ^cd++++=seven
pounds ^nns++++=pounds
in ^in++++=in
the ^ati++++=the
Post ^nn++++=Post
Office ^nn++++=Office
Savings ^nns++++=Savings
Bank ^nn++++=Bank.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
felt ^vpsv++agls+xvbnx+=felt
that ^tht+vcmp+++=that
two ^cd++++=two
persons ^nns++++=persons
so ^rb++++=so
inadequately ^rb++++=inadequately
provided ^vbd+vsua++xvbn+=provided
for ^in+ppvb+++=for
had ^vb+hv+vrb++=had
no ^at++++=no
right ^nn++++=right
to ^to+ncmp+++=to
be ^vbi++vrb++=be
so ^ql+emph+++=so
happy ^jj++++=happy.
. ^zz++++=EXTRAWORD
" ^zz++++="They'll
they ^pp3a+pp3+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+aux++=be
ruined ^vpsv++agls+xvbnx+=ruined,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Captain ^npt++++=Captain
Vane ^np++++=Vane
in ^in++++=in
the ^ati++++=the
smoking ^jj+++xvbg+=smoking-room.
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Certainly,"
certainly ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Billy ^np++++=Billy.
