**to ^nn+++??+=**TO
administered ^vbd+++xvbnx+=administered
chastisement ^nn+nom+++=chastisement
to ^in++++=to
the ^ati++++=the
tune ^nn++++=tune
of ^in++++=of
" ^zz++++="The
the ^ati++++=EXTRAWORD
Pilgrim ^nn++++=Pilgrim
Fathers ^nns+nom+++=Fathers,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
associating ^vbg+++xvbg+=associating
that ^dt+pdem+++=that
celebrated ^vbd+++xvbn+=celebrated
melody ^nn++++=melody
with ^in++++=with
recollections ^nns+nom+++=recollections
which ^whp+rel+subj++=which
have ^vb+hv+aux++=have
prevented ^vprf+++xvbnx+=prevented
me ^pp1o+pp1+++=me
from ^in++++=from
enjoying ^xvbg+++xvbg+=enjoying
it ^pp3+it+++=it
to ^in++++=to
this ^dt+dem+++=this
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
not ^xnot++not++=not
eat ^vb++++=eat
baked ^jj+atrb++xvbn+=baked
beans ^nns++++=beans;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
regarded ^vbd+++xvbnx+=regarded
codfish ^nn++++=codfish
prepared ^vwbn+++xvbn+=prepared
after ^in++++=after
the ^ati++++=the
eastern ^jj+atrb+++=eastern
fashion ^nn++++=fashion
as ^in++++=as
a ^at++++=a
political ^jj+atrb+++=political
insult ^nn++++=insult;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
once ^rb+tm+++=once
dismissed ^vwbn+++xvbn+=dismissed
a ^at++++=a
hired ^jj+atrb++xvbn+=hired
man ^nn++++=man
merely ^rb+down+++=merely
for ^in++++=for
pronouncing ^xvbg+++xvbg+=pronouncing
the ^ati++++=the
word ^nn++++=word
" ^zz++++="school"
school ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
through ^in++++=through
his ^pp$+pp3+++=his
nose ^nn++++=nose.
. ^zz++++=EXTRAWORD
From ^in++++=From
him ^pp3o+pp3+++=him
I ^pp1a+pp1+++=I
learned ^vbd+vprv++xvbnx+=learned
the ^ati++++=the
machinery ^nn+nom+++=machinery
of ^in++++=of
our ^pp$+pp1+++=our
great ^jj+atrb+++=great
design ^nn++++=design.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
first ^od++++=first
place ^nn++++=place,
, ^zz++++=EXTRAWORD
intermarriage ^nn+nom+++=intermarriage
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
employed ^vpsv++agls+xvbnx+=employed
as ^ql++++=as
a ^at++++=a
system ^nn++++=system
of ^in++++=of
military ^jj+atrb+++=military
occupation ^nn+nom+++=occupation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
families ^nns++++=families
Van ^&fw++++=Van
Rippers ^nns+nom++??+=Rippers,
, ^zz++++=EXTRAWORD
Van ^&fw++++=Van
Horns ^nns++++=Horns,
, ^zz++++=EXTRAWORD
Van ^&fw++++=Van
Winkles ^np+++??+=Winkles,
, ^zz++++=EXTRAWORD
Van ^&fw++++=Van
Tassels ^np+++??+=Tassels,
, ^zz++++=EXTRAWORD
Van ^&fw++++=Van
Dams ^nns++++=Dams,
, ^zz++++=EXTRAWORD
Van ^&fw++++=Van
Pelts ^np+++??+=Pelts,
, ^zz++++=EXTRAWORD
Van ^&fw++++=Van
Brunts ^np+++??+=Brunts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sundry ^jj++++=sundry
others ^aps++++=others
whose ^whp+rel+obj++=whose
names ^nns++++=names
begin ^vb++++=begin
with ^in++++=with
a ^at++++=a
patriotic ^jj+atrb+++=patriotic
preposition ^nn+nom+++=preposition
have ^vb+hv+aux++=have
spread ^vprf+++xvbnx+=spread
themselves ^ppls+pp3+++=themselves
quietly ^rb++++=quietly
through ^in++++=through
the ^ati++++=the
province ^nn++++=province.
. ^zz++++=EXTRAWORD
A ^at++++=A
daughter ^nn+nom+++=daughter
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
stationed ^vpsv++agls+xvbnx+=stationed
upon ^in++++=upon
one ^cd1++++=one
farm ^nn++++=farm,
, ^zz++++=EXTRAWORD
a ^at++++=a
son ^nn++++=son
upon ^in++++=upon
another ^dt++++=another;
; ^zz++++=EXTRAWORD
cousins ^nns++++=cousins
have ^vb+hv+aux++=have
formed ^vprf+++xvbnx+=formed
alliances ^nns+nom+++=alliances
along ^in++++=along
the ^ati++++=the
Hackensack ^np+++??+=Hackensack;
; ^zz++++=EXTRAWORD
nieces ^nns++++=nieces
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
possession ^nn++++=possession
of ^in++++=of
Bergen ^np+++??+=Bergen;
; ^zz++++=EXTRAWORD
widows ^nns++++=widows
have ^vb+hv+aux++=have
remarried ^vprf+++xvbn+=remarried
advantageously ^rb++++=advantageously
near ^in+pl+++=near
Hoboken ^np+++??+=Hoboken;
; ^zz++++=EXTRAWORD
until ^cs+sub+++=until
the ^ati++++=the
whole ^jj+atrb+++=whole
region ^nn++++=region
is ^vbz+bez+aux++=is
intersected ^vpsv++by+xvbnx+=intersected
by ^in++++=by
a ^at++++=a
network ^nn++++=network
of ^in++++=of
blood ^nn++++=blood
relationships ^nns+nom+++=relationships
compared ^vbd+++xvbn+=compared
with ^in++++=with
which ^whp+rel+pied++=which
the ^ati++++=the
combinations ^nns+nom+++=combinations
of ^in++++=of
European ^jj+atrb+++=European
diplomacy ^nn+nom+++=diplomacy
are ^vb+ber+vrb++=are
a ^at++++=a
child ^nn++++=child's
's ^$++++=EXTRAWORD
cat ^nn++++=cat's-cradle.
's-cradle. ^nn+++??+=EXTRAWORD
An ^at++++=An
ignorant ^jj+atrb+++=ignorant
observer ^nn+nom+++=observer
attends ^vbz++++=attends
a ^at++++=a
Dutch ^jj+atrb+++=Dutch
wedding ^nn++++=wedding
and ^cc++++=and
sees ^vbz+vprv+++=sees
only ^rb+down+++=only
tables ^nns++++=tables
loaded ^vbd+++xvbn+=loaded
with ^in++++=with
beef ^nn++++=beef,
, ^zz++++=EXTRAWORD
ham ^nn++++=ham,
, ^zz++++=EXTRAWORD
doughnuts ^nns+++??+=doughnuts,
, ^zz++++=EXTRAWORD
crullers ^nns+nom+++=crullers,
, ^zz++++=EXTRAWORD
cheeses ^nns+nom++??+=cheeses,
, ^zz++++=EXTRAWORD
pies ^nns++++=pies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bottles ^nns++++=bottles.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
hears ^vbz+vprv+++=hears
fiddles ^nns+++??+=fiddles;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
beholds ^nns+++??+=beholds
old ^jj+atrb+++=old
gentlemen ^nns++++=gentlemen
nodding ^vwbg+++xvbg+=nodding
over ^in++++=over
their ^pp$+pp3+++=their
pipes ^nns++++=pipes
and ^cc++++=and
young ^jj+atrb+++=young
people ^nns++++=people
performing ^vwbg+++xvbg+=performing
dances ^nns++++=dances
of ^in++++=of
alarming ^xvbg+++xvbg+=alarming
energy ^nn++++=energy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
supposes ^vbz+vprv+++=supposes
the ^ati++++=the
occasion ^nn++++=occasion
festive ^jj++++=festive.
. ^zz++++=EXTRAWORD
Miserable ^jj+atrb+++=Miserable
blindness ^nns+nom+++=blindness!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
council ^nn++++=council
of ^in++++=of
war ^nn++++=war.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
marriage ^nn+nom+++=marriage
adds ^vbz+vpub+++=adds
another ^dt++++=another
recruit ^nn++++=recruit
to ^in++++=to
the ^ati++++=the
national ^jj+atrb+++=national
cause ^nn++++=cause;
; ^zz++++=EXTRAWORD
every ^at++++=every
christening ^nvbg+++xvbg+=christening
is ^vbz+bez+vrb++=is
a ^at++++=a
levy ^nn++++=levy;
; ^zz++++=EXTRAWORD
every ^at++++=every
cradle ^nn++++=cradle
is ^vbz+bez+vrb++=is
an ^at++++=an
arsenal ^np++++=arsenal.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
second ^od++++=second
place ^nn++++=place,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
preserve ^vb++++=preserve
our ^pp$+pp1+++=our
traditions ^nns+nom+++=traditions
by ^in++++=by
stated ^vbn+vpub++xvbn+=stated
assemblies ^nns++++=assemblies.
. ^zz++++=EXTRAWORD
At ^rb++++=At
these ^dt+dem+++=these
solemn ^jj+atrb+++=solemn
gatherings ^nns+++??+=gatherings,
, ^zz++++=EXTRAWORD
generally ^rb+down+++=generally
held ^vbd+vprv++xvbn+=held
about ^in++++=about
a ^at++++=a
nut ^nn++++=nut-wood
- ^zz++++=EXTRAWORD
wood ^nn++++=EXTRAWORD
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
the ^ati++++=the
elders ^nns++++=elders
relate ^vb++++=relate
how ^wrb+who+++=how
spacious ^jj++++=spacious
the ^ati++++=the
city ^nn++++=city
was ^vbd+bedz+vrb++=was
before ^cs+sub+++=before
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
crowded ^jj+++xvbn+=crowded;
; ^zz++++=EXTRAWORD
how ^wrb+who+++=how
honest ^jj++++=honest
the ^ati++++=the
markets ^nns++++=markets
were ^vbd+bed+vrb++=were
before ^cs+sub+++=before
weights ^nns++++=weights
were ^vbd+bed+aux++=were
inspected ^vpsv++agls+xvbnx+=inspected;
; ^zz++++=EXTRAWORD
how ^wrb+who+++=how
deep ^jj++++=deep
the ^ati++++=the
snow ^nn++++=snow
fell ^vbd+++xvbn+=fell
in ^in++++=in
their ^pp$+pp3+++=their
youth ^nn++++=youth;
; ^zz++++=EXTRAWORD
how ^wrb+who+++=how
peaches ^nns++++=peaches
once ^rb+tm+++=once
grew ^vbd+++xvbn+=grew
as ^in++++=as
large ^nn++++=large
as ^in++++=as
cannon ^np++++=cannon-balls;
- ^zz++++=EXTRAWORD
balls ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
a ^at++++=a
man ^nn++++=man
might ^md+pos+++=might
then ^rn+tm+++=then
walk ^nn++++=walk
from ^in++++=from
the ^ati++++=the
Battery ^nn+nom+++=Battery
to ^in++++=to
Haarlem ^np+++??+=Haarlem
without ^in++++=without
encountering ^xvbg+++xvbg+=encountering
a ^at++++=a
lecture ^nn++++=lecture-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
railroad ^nn++++=railroad
cutting ^vwbg+++xvbg+=cutting,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
gentleman ^nn+nom+++=gentleman
soliciting ^vwbg+++xvbg+=soliciting
subscriptions ^nns+nom+++=subscriptions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
younger ^jjr+atrb+++=younger
members ^nns+nom+++=members
listen ^vb++++=listen,
, ^zz++++=EXTRAWORD
eat ^vb++++=eat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inherit ^vb++++=inherit.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
enemies ^nns++++=enemies
have ^vb+hv+aux++=have
mistaken ^vprf+++xvbnx+=mistaken
this ^dt+dem+++=this
tranquillity ^nn+nom+++=tranquillity
for ^in++++=for
stupidity ^nn+nom+++=stupidity.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
tranquillity ^nn+nom+++=tranquillity
of ^in++++=of
the ^ati++++=the
lion ^nn++++=lion
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
rises ^vbz++++=rises;
; ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
ocean ^nn++++=ocean
before ^in++++=before
the ^ati++++=the
storm ^nn++++=storm;
; ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
burgomaster ^nn+nom+++=burgomaster
after ^in++++=after
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Spaniards ^nn++++=Spaniards
once ^cs+tm+++=once
imagined ^vprf++tht0+xvbn+=imagined
their ^pp$+pp3+++=their
mountains ^npl++++=mountains
secure ^vb++++=secure,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
an ^at++++=an
indomitable ^jj+atrb+++=indomitable
people ^nns++++=people
descended ^vbd+++xvbn+=descended
from ^in++++=from
them ^pp3o+pp3+++=them
and ^cc++++=and
reconquered ^jj+++xvbn+=reconquered
Granada ^np++++=Granada.
. ^zz++++=EXTRAWORD
Shall ^md+prd+++=Shall
less ^ql++++=less
be ^vb+be+aux++=be
expected ^vpsv++agls+xvbnx+=expected
of ^in++++=of
men ^nns++++=men
nourished ^vprf+++xvbn+=nourished
upon ^in++++=upon
buckwheat ^nn+++??+=buckwheat
cakes ^nns++++=cakes?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
now ^rn+tm+splt++=now
comprehend ^vb+++??+=comprehend
the ^ati++++=the
true ^jj+atrb+++=true
significance ^nn+nom+++=significance
of ^in++++=of
those ^dt+dem+++=those
institutions ^nns+nom+++=institutions
which ^whp+rel+subj++=which
have ^vb+hv+aux++=have
lately ^rb+tm+splt++=lately
assumed ^vprf+++xvbnx+=assumed
the ^ati++++=the
honoured ^jj+atrb++xvbn+=honoured
appellation ^nn+nom+++=appellation
of ^in++++=of
Knickerbocker ^np+nom++??+=Knickerbocker.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
Knickerbocker ^np+nom++??+=Knickerbocker
banks ^np++++=banks,
, ^zz++++=EXTRAWORD
Knickerbocker ^np+nom++??+=Knickerbocker
ice ^nn++++=ice
companies ^nns++++=companies,
, ^zz++++=EXTRAWORD
Knickerbocker ^np+nom++??+=Knickerbocker
stages ^nns++++=stages,
, ^zz++++=EXTRAWORD
Knickerbocker ^np+nom++??+=Knickerbocker
insurance ^nn+nom+++=insurance
associations ^nns+nom+++=associations,
, ^zz++++=EXTRAWORD
Knickerbocker ^np+nom++??+=Knickerbocker
hotels ^nns++++=hotels,
, ^zz++++=EXTRAWORD
Knickerbocker ^np+nom++??+=Knickerbocker
fire ^nn++++=fire
engines ^nns++++=engines,
, ^zz++++=EXTRAWORD
Knickerbocker ^np+nom++??+=Knickerbocker
debating ^vwbg+++xvbg+=debating
clubs ^nns++++=clubs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
for ^in++++=for
aught ^vwbn+++xvbn+=aught
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
Knickerbocker ^np+nom++??+=Knickerbocker
pills ^nns++++=pills.
. ^zz++++=EXTRAWORD
The ^ati++++=The
superficial ^jj+atrb+++=superficial
citizen ^nn++++=citizen
supposes ^vbz+vprv+++=supposes
this ^dt+dem+++=this
merely ^rb+down+++=merely
a ^at++++=a
fashion ^nn++++=fashion.
. ^zz++++=EXTRAWORD
Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
proclamation ^nn+nom+++=proclamation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
name ^nn++++=name,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
whispered ^vbd+vpub++xvbn+=whispered
around ^rp++++=around
family ^nn++++=family
hearths ^nns++++=hearths,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
advances ^nns+nom+++=advances
in ^in++++=in
gilt ^jj+atrb+++=gilt
letters ^nns+nom+++=letters
three ^cd++++=three
feet ^nns++++=feet
high ^jj++++=high
and ^cc++++=and
takes ^vbz++++=takes
possession ^nn++++=possession
of ^in++++=of
public ^jj+atrb+++=public
signboards ^nns+++??+=signboards.
. ^zz++++=EXTRAWORD
Consider ^nn+nom+++=Consider
also ^rb++++=also
the ^ati++++=the
Society ^nn++++=Society
of ^in++++=of
Saint ^nn++++=Saint
Nicholas ^np++++=Nicholas,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
ostensible ^jj+atrb+++=ostensible
object ^nn++++=object
is ^vbz+bez+vrb++=is
convivial ^jj+atrb+++=convivial
remembrance ^nn+nom+++=remembrance.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
members ^nns+nom+++=members
dine ^vb++++=dine;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
toast ^nn++++=toast
the ^ati++++=the
past ^jjb++++=past;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
contemplate ^nn+nom+++=contemplate
portraits ^nns++++=portraits
of ^in++++=of
ancient ^jj+atrb+++=ancient
governors ^npts++++=governors;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
speak ^vb++++=speak
with ^in++++=with
emotion ^nn+nom+++=emotion
of ^in++++=of
the ^ati++++=the
Manhattoes ^np+++??+=Manhattoes;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
depart ^vb++++=depart
at ^in++++=at
a ^at++++=a
late ^jj+atrb+++=late
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
supported ^xvbn+++xvbn+=supported
by ^in++++=by
descendants ^nns+nom+++=descendants
of ^in++++=of
families ^nns++++=families
allied ^vbd+++xvbn+=allied
before ^in++++=before
the ^ati++++=the
Revolution ^nn+nom+++=Revolution.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
this ^dt+dem+++=this
nothing ^pn++++=nothing?
? ^zz++++=EXTRAWORD
Did ^vbd+dod+vrb++=Did
the ^ati++++=the
Carbonari ^np+++??+=Carbonari
dine ^vb++++=dine
for ^in++++=for
appetite ^nn++++=appetite
alone ^jj++++=alone?
? ^zz++++=EXTRAWORD
Did ^vbd+dod+vrb++=Did
the ^ati++++=the
patriots ^nns++++=patriots
of ^in++++=of
antiquity ^nn+nom+++=antiquity
assemble ^vb++++=assemble
merely ^rb+down+++=merely
to ^to++++=to
discuss ^vbi++++=discuss
the ^ati++++=the
gravy ^nn++++=gravy?
? ^zz++++=EXTRAWORD
Saint ^nn++++=Saint
Nicholas ^np++++=Nicholas
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
venerable ^jj+atrb+++=venerable
commander ^nn+nom+++=commander
of ^in++++=of
aerial ^nn++++=aerial
transport ^nn++++=transport,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
long ^jj++++=long
served ^jj+++xvbn+=served
as ^ql++++=as
the ^ati++++=the
genius ^nn++++=genius
of ^in++++=of
our ^pp$+pp1+++=our
cause ^nn++++=cause.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
a ^at++++=a
year ^nn++++=year
he ^pp3a+pp3+++=he
passes ^vbz++++=passes
over ^rb+phrv+++=over
roofs ^nns++++=roofs
without ^in++++=without
toll ^nn++++=toll,
, ^zz++++=EXTRAWORD
turnpike ^nn++++=turnpike
fee ^nn++++=fee,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
legislative ^jj+atrb+++=legislative
charter ^nn++++=charter;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
descends ^vbz++++=descends
chimneys ^nns++++=chimneys
in ^in++++=in
defiance ^nn+nom+++=defiance
of ^in++++=of
modern ^jj+atrb+++=modern
architecture ^nn++++=architecture;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
rewards ^vbz++++=rewards
children ^nns++++=children
who ^whp+rel+subj++=who
preserve ^vb++++=preserve
domestic ^jj+atrb+++=domestic
obedience ^nn+nom+++=obedience
and ^cc++++=and
terrifies ^vbz++++=terrifies
those ^dt+dem+++=those
inclined ^jj+++xvbn+=inclined
toward ^in++++=toward
foreign ^jj+atrb+++=foreign
innovation ^nn+nom+++=innovation.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
very ^ql+amp+++=very
pipe ^vb++++=pipe
is ^vbz+bez+vrb++=is
an ^at++++=an
emblem ^nn++++=emblem.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
his ^pp$+pp3+++=his
image ^nn++++=image
shall ^md+prd+++=shall
again ^rb+tm+splt++=again
surmount ^vbd+++xvbn+=surmount
the ^ati++++=the
public ^jj+atrb+++=public
buildings ^nns++++=buildings
of ^in++++=of
restored ^jj+++xvbn+=restored
New ^jj++++=New-Amsterdam,
- ^zz++++=EXTRAWORD
amsterdam ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
trust ^vb+vprv+tht0++=trust
no ^at++++=no
committee ^nn+nom+++=committee
will ^md+prd+++=will
recommend ^vb+vsua+++=recommend
replacing ^vbg+++xvbg+=replacing
it ^pp3+it+++=it
with ^in++++=with
an ^at++++=an
allegorical ^jj+atrb+++=allegorical
figure ^nn++++=figure
of ^in++++=of
Commerce ^nn++++=Commerce
carrying ^vwbg+++xvbg+=carrying
a ^at++++=a
ledger ^np++++=ledger.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor
is ^vbz+bez+vrb++=is
Communipaw ^np+++??+=Communipaw
an ^at++++=an
accidental ^jj+atrb+++=accidental
centre ^nn++++=centre
of ^in++++=of
these ^dt+dem+++=these
operations ^nns+nom+++=operations.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Dutch ^jj+atrb+++=Dutch
descendants ^nns+nom+++=descendants
turn ^nn++++=turn
toward ^in++++=toward
it ^pp3+it+++=it
as ^in++++=as
the ^ati++++=the
captive ^jj+atrb+++=captive
Israelites ^np+++??+=Israelites
turned ^vbd+++xvbn+=turned
toward ^in++++=toward
Jerusalem ^np++++=Jerusalem.
. ^zz++++=EXTRAWORD
Citizens ^nns++++=Citizens
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
forgotten ^vprf+++xvbnx+=forgotten
the ^ati++++=the
road ^nn++++=road
to ^in++++=to
their ^pp$+pp3+++=their
grandfathers ^nns+nom+++=grandfathers'
' ^zz++++=EXTRAWORD
graves ^np++++=graves
can ^md+pos+++=can
nevertheless ^rb+cnj+splt++=nevertheless
point ^vb++++=point
out ^rp+pl+++=out
Communipaw ^np+++??+=Communipaw
from ^in++++=from
a ^at++++=a
steamboat ^nn+++??+=steamboat.
. ^zz++++=EXTRAWORD
Painters ^nns+nom+++=Painters
sketch ^nn++++=sketch
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
antiquaries ^nns++++=antiquaries
visit ^vb++++=visit
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
corpulent ^jj+atrb+++=corpulent
gentlemen ^nns++++=gentlemen
regard ^vb++++=regard
it ^pp3+it+++=it
through ^in++++=through
spyglasses ^nns+++??+=spyglasses
and ^cc++++=and
sigh ^nn++++=sigh.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
fashionable ^jj+atrb+++=fashionable
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
ignorant ^jj++++=ignorant
whether ^cs+who+++=whether
Pavonia ^np+++??+=Pavonia
were ^vbd+bed+vrb++=were
a ^at++++=a
Roman ^jj+atrb+++=Roman
goddess ^nns+nom+++=goddess
or ^cc++++=or
a ^at++++=a
patent ^nn++++=patent
medicine ^nn++++=medicine,
, ^zz++++=EXTRAWORD
feels ^vbz+vprv+++=feels
a ^at++++=a
mysterious ^jj+atrb+++=mysterious
respect ^nn++++=respect
as ^ql++++=as
he ^pp3a+pp3+++=he
beholds ^nns+++??+=beholds
its ^pp$+it+++=its
roofs ^nns++++=roofs
across ^in+pl+++=across
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why
this ^dt+dem+++=this
universal ^jj+atrb+++=universal
reverence ^nn+nom+++=reverence?
? ^zz++++=EXTRAWORD
Blood ^nn++++=Blood
remembers ^nns+nom+++=remembers
what ^wdt+who+++=what
the ^ati++++=the
head ^nn++++=head
forgets ^vbz++++=forgets.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
myself ^ppl+pp1+++=myself
watched ^vbd+++xvbn+=watched
from ^in++++=from
the ^ati++++=the
shore ^nn++++=shore
at ^rb++++=at
sunset ^nn++++=sunset,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Manhattan ^np+nom++??+=Manhattan
rose ^vbd+++xvbn+=rose
opposite ^jj++++=opposite
in ^in++++=in
brick ^nn++++=brick,
, ^zz++++=EXTRAWORD
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
steeples ^nns++++=steeples,
, ^zz++++=EXTRAWORD
masts ^nns+++??+=masts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
restless ^jj+atrb+++=restless
vapour ^nn++++=vapour.
. ^zz++++=EXTRAWORD
The ^ati++++=The
city ^npl++++=city
roared ^vbd+++xvbn+=roared
like ^in++++=like
a ^at++++=a
furnace ^nn++++=furnace.
. ^zz++++=EXTRAWORD
Ferries ^nns++++=Ferries
churned ^vwbn+++xvbn+=churned
the ^ati++++=the
river ^nn++++=river;
; ^zz++++=EXTRAWORD
bells ^nns++++=bells
rang ^vbd+++xvbn+=rang;
; ^zz++++=EXTRAWORD
steam ^nn++++=steam-whistles
- ^zz++++=EXTRAWORD
whistles ^nns++++=EXTRAWORD
shrieked ^vbd+++xvbn+=shrieked;
; ^zz++++=EXTRAWORD
warehouses ^nns++++=warehouses,
, ^zz++++=EXTRAWORD
counting ^nvbg+++xvbg+=counting-houses,
- ^zz++++=EXTRAWORD
houses ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
markets ^nns++++=markets,
, ^zz++++=EXTRAWORD
presses ^nns+nom++??+=presses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
exchanges ^nns++++=exchanges
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
proclaim ^vbi++++=proclaim
the ^ati++++=the
eternal ^jj+atrb+++=eternal
sovereignty ^nn++++=sovereignty
of ^in++++=of
Utility ^nn+nom+++=Utility.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
meanwhile ^rb+cnj+++=meanwhile,
, ^zz++++=EXTRAWORD
a ^at++++=a
cow ^nn++++=cow
cropped ^vbd+++xvbn+=cropped
grass ^nn++++=grass
beside ^in+pl+++=beside
a ^at++++=a
buried ^jj+atrb++xvbn+=buried
tombstone ^nn+++??+=tombstone;
; ^zz++++=EXTRAWORD
a ^at++++=a
blue ^jj+atrb+++=blue
thread ^nn++++=thread
of ^in++++=of
smoke ^nn++++=smoke
ascended ^vbd+++xvbn+=ascended
from ^in++++=from
an ^at++++=an
ancient ^jj+atrb+++=ancient
chimney ^nn++++=chimney;
; ^zz++++=EXTRAWORD
children ^nns++++=children
chased ^vbd+++xvbn+=chased
a ^at++++=a
rooster ^nn+nom+++=rooster
through ^in++++=through
a ^at++++=a
cabbage ^nn+nom+++=cabbage
patch ^nn++++=patch;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
weathercock ^nn+++??+=weathercock
upon ^in++++=upon
the ^ati++++=the
inn ^npl++++=inn
pointed ^vbd+++xvbn+=pointed
steadily ^rb++++=steadily
toward ^in++++=toward
New ^jj++++=New-Amsterdam.
- ^zz++++=EXTRAWORD
