Evening ^nn++++=Evening
clerk ^nn++++=clerk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
frighten ^vb++++=frighten
old ^jj+atrb+++=old
women ^nns++++=women
out ^rp+pl+++=out
of ^in++++=of
their ^pp$+pp3+++=their
geese ^nns++++=geese;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
cannot ^md+pos+not++=cannot
command ^vb++++=command
my ^pp$+pp1+++=my
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
On ^in++++=On
Ascension ^np+++??+=Ascension
Day ^nn++++=Day
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
speak ^vb++++=speak
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
' ^zz++++='Father,
father ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
marry ^vb++++=marry
Hanna ^np+++??+=Hanna,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
other. ^nn+++??+=other.'"
'" ^nn+++??+=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
shuts ^nns+++??+=shuts
you ^pp2+pp2+++=you
in ^in++++=in
the ^ati++++=the
storehouse ^nn++++=storehouse?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
climb ^vb++++=climb
through ^in++++=through
the ^ati++++=the
roof ^nn++++=roof."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
he ^pp3a+pp3+++=he
sends ^vbz++++=sends
you ^pp2+pp2+++=you
to ^in++++=to
the ^ati++++=the
Cossacks ^np+++??+=Cossacks?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
return ^vb++++=return
with ^in++++=with
a ^at++++=a
sabre ^nn++++=sabre."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
he ^pp3a+pp3+++=he
finds ^vbz+vprv+tht0++=finds
you ^pp2+pp2+++=you
another ^dt++++=another
bride ^nn++++=bride?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
tell ^vb++++=tell
her ^pp$+pp3+++=her
she ^pp3a+pp3+++=she
squints ^nns+++??+=squints."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hanna ^np+++??+=Hanna
laughed ^vbd+++xvbn+=laughed,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
tears ^nns++++=tears
stood ^vbd+++xvbn+=stood
in ^in++++=in
her ^pp$+pp3+++=her
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Leoko ^np+++??+=Leoko,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
turn ^vb++++=turn
everything ^pn++++=everything
into ^in++++=into
play ^nn++++=play."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
everything ^pn++++=everything."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pressed ^vbd+++xvbnx+=pressed
her ^pp3o+pp3+++=her
hand ^nn++++=hand
against ^in++++=against
his ^pp$+pp3+++=his
breast ^nn++++=breast.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
no ^at++++=no
play ^nn++++=play.
. ^zz++++=EXTRAWORD
Hear ^vb+vprv+++=Hear
how ^wrb+who+whcl++=how
my ^pp$+pp1+++=my
heart ^nn++++=heart
beats ^nns++++=beats!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
' ^zz++++='Hanna,
hanna ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Hanna ^np+++??+=Hanna,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
nothing ^pn++++=nothing
else ^rb+cnj+++=else."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
cheeks ^nns++++=cheeks
flushed ^vbd+++xvbn+=flushed.
. ^zz++++=EXTRAWORD
" ^zz++++="Mine
mine ^pp$$++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
same ^ap++++=same."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
all ^rb++++=all
is ^vbz+bez+aux++=is
settled ^vpsv++agls+xvbnx+=settled."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
love ^nn++++=love,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
speaks ^vbz++++=speaks
bravely ^rb+cnj+++=bravely,
, ^zz++++=EXTRAWORD
knows ^vbz+vprv+++=knows
a ^at++++=a
thousand ^cd++++=thousand
fears ^nns++++=fears.
. ^zz++++=EXTRAWORD
Hanna ^np+++??+=Hanna
sighed ^vbd+++xvbn+=sighed
and ^cc+phrs+++=and
looked ^vbd+++xvbn+=looked
beyond ^in++++=beyond
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
past ^jjb++++=past
the ^ati++++=the
sloping ^jj+atrb++xvbg+=sloping
meadow ^nn++++=meadow
to ^in++++=to
the ^ati++++=the
pool ^nn++++=pool.
. ^zz++++=EXTRAWORD
Darkness ^nns+nom+++=Darkness
had ^vbd+hvd+aux++=had
gathered ^vprf+++xvbnx+=gathered
there ^rn+pl+++=there
before ^cs+sub+++=before
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
gathered ^vprf+++xvbnx+=gathered
elsewhere ^rb++++=elsewhere.
. ^zz++++=EXTRAWORD
The ^ati++++=The
water ^nn++++=water
lay ^vbd+++xvbn+=lay
smooth ^jj++++=smooth
as ^ql++++=as
black ^np++++=black
glass ^nn++++=glass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
upon ^in++++=upon
its ^pp$+it+++=its
farther ^rbr++++=farther
bank ^npl++++=bank
stood ^vbd+++xvbn+=stood
an ^at++++=an
abandoned ^jj+++xvbn+=abandoned
house ^npl++++=house,
, ^zz++++=EXTRAWORD
large ^jj++++=large
and ^cc++++=and
once ^rb+tm+++=once
handsome ^jj++++=handsome,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
roof ^nn++++=roof
and ^cc++++=and
shutters ^nns+nom+++=shutters
fast ^rb++++=fast
closed ^jj+++xvbn+=closed.
. ^zz++++=EXTRAWORD
Moss ^np++++=Moss
covered ^vbd+++xvbn+=covered
its ^pp$+it+++=its
steps ^nns++++=steps.
. ^zz++++=EXTRAWORD
Nettles ^nns++++=Nettles
crowded ^vbd+++xvbn+=crowded
the ^ati++++=the
threshold ^nn++++=threshold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
willows ^nns++++=willows
bent ^vbd+++xvbn+=bent
over ^in++++=over
it ^pp3+it+++=it
like ^in++++=like
mourners ^nns+nom+++=mourners.
. ^zz++++=EXTRAWORD
" ^zz++++="Leoko,"
leoko ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
whispered ^vbd+vpub++xvbnx+=whispered,
, ^zz++++=EXTRAWORD
" ^zz++++="whose
whose ^whp+who+++=EXTRAWORD
house ^nn++++=house
is ^vbz+bez+vrb++=is
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
ruin ^nn++++=ruin?
? ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one's."
's." ^nn+++??+=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
who ^whp+who+++=who
lived ^vbd+++xvbn+=lived
there ^rn+pl+++=there?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Long,
long ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
long ^rb++++=long
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
a ^at++++=a
Cossack ^np+++??+=Cossack
captain ^nn++++=captain.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
like ^vb++++=like
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
in ^in++++=in
daylight ^nn++++=daylight
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
watch ^vbi++++=watch
the ^ati++++=the
pool ^nn++++=pool."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Old
old ^jj+atrb+++=EXTRAWORD
houses ^nns++++=houses
must ^md+nec+++=must
look ^vb++++=look
somewhere ^rb++++=somewhere."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
not ^xnot++not++=not
laugh ^vb++++=laugh.
. ^zz++++=EXTRAWORD
Paraska ^np+++??+=Paraska
says ^vbz+vpub+++=says
evil ^jj+atrb+++=evil
spirits ^nns++++=spirits
dance ^nn++++=dance
upon ^in++++=upon
the ^ati++++=the
roof ^nn++++=roof."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Paraska
paraska ^nn+++??+=EXTRAWORD
sees ^vbz+vprv+++=sees
evil ^jj+atrb+++=evil
spirits ^nns++++=spirits
whenever ^nn+nom+++=whenever
she ^pp3a+pp3+++=she
has ^vbz+hvz+aux++=has
drunk ^vprf+++xvbnx+=drunk
too ^ql++++=too
much ^ap++++=much
cherry ^np++++=cherry
brandy ^nn++++=brandy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
she ^pp3a+pp3+++=she
says ^vbz+vpub+++=says
a ^at++++=a
drowned ^jj+atrb++xvbn+=drowned
maiden ^jjb+atrb+++=maiden
walks ^nns++++=walks
beneath ^in+pl+++=beneath
the ^ati++++=the
willows ^nns++++=willows.
. ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
me ^pp1o+pp1+++=me
the ^ati++++=the
truth ^nn++++=truth."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Leoko ^np+++??+=Leoko
turned ^vbd+++xvbn+=turned
toward ^in++++=toward
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
For ^in++++=For
all ^abn++++=all
his ^pp$+pp3+++=his
mockery ^nn+nom+++=mockery,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
crossed ^vbd+++xvbnx+=crossed
himself ^ppl+pp3+++=himself
before ^in++++=before
beginning ^nn++++=beginning.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
grandmother ^nn+nom+++=grandmother
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
the ^ati++++=the
tale ^nn++++=tale
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
little ^ap++++=little.
. ^zz++++=EXTRAWORD
The ^ati++++=The
captain ^nn++++=captain
who ^whp+rel+subj++=who
owned ^xvbn+++xvbn+=owned
that ^dt+dem+++=that
house ^npl++++=house
had ^vb+hv+vrb++=had
one ^cd1++++=one
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
fair ^jj++++=fair
as ^ql++++=as
the ^ati++++=the
white ^nn++++=white
blossom ^vb++++=blossom
on ^in++++=on
an ^at++++=an
apple ^nn++++=apple
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
mother ^npt++++=mother
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
many ^ap++++=many
years ^nns++++=years
the ^ati++++=the
two ^cd++++=two
lived ^vbd+++xvbn+=lived
happily ^rb++++=happily
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
autumn ^nn++++=autumn,
, ^zz++++=EXTRAWORD
the ^ati++++=the
captain ^nn++++=captain
went ^vbd+++xvbn+=went
to ^in++++=to
market ^nn++++=market
beyond ^in++++=beyond
the ^ati++++=the
pine ^nn++++=pine
wood ^nn++++=wood
and ^cc++++=and
brought ^xvbn+++xvbn+=brought
home ^nr++++=home
a ^at++++=a
new ^jj+atrb+++=new
wife ^nn++++=wife."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
wicked ^jj+atrb+++=wicked
one ^pn++++=one?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="At
at ^rb++++=EXTRAWORD
first ^rb"++++=first
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
gentle ^jj+pred+++=gentle.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
speech ^nn++++=speech
was ^vbd+bedz+vrb++=was
sweeter ^jjr+pred+++=sweeter
than ^in++++=than
honey ^nn++++=honey;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
kissed ^vbd+++xvbnx+=kissed
the ^ati++++=the
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
combed ^j+++xvbn+=combed
her ^pp$+pp3+++=her
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
called ^vwbn+++xvbn+=called
her ^pp$+pp3+++=her
' ^zz++++='little
little ^ap++++=EXTRAWORD
daughter ^nn+nom+++=daughter.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
But ^cc++++=But
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
cold ^jj+pred+++=cold.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dogs ^nns++++=dogs
snarled ^vbd+++xvbn+=snarled
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
passed ^vbd+++xvbnx+=passed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
crucifix ^nn+++??+=crucifix
in ^in++++=in
the ^ati++++=the
holy ^jj+atrb+++=holy
corner ^npl++++=corner
trembled ^vbd+++xvbn+=trembled
whenever ^nn+nom+++=whenever
she ^pp3a+pp3+++=she
prayed ^vbd+vsua++xvbnx+=prayed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hanna ^np+++??+=Hanna
drew ^vbd+++xvbn+=drew
nearer ^rbr++++=nearer
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
the ^ati++++=the
first ^od++++=first
night ^nn++++=night,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Leoko ^np+++??+=Leoko
continued ^vbd+++xvbn+=continued,
, ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
girl ^nn++++=girl
awoke ^vbd+++xvbn+=awoke
and ^cc+phrs+++=and
saw ^vbd+vprv++xvbn+=saw
a ^at++++=a
black ^jj+atrb+++=black
cat ^nn++++=cat
crouching ^vwbg+++xvbg+=crouching
upon ^in++++=upon
her ^pp$+pp3+++=her
breast ^nn++++=breast.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
claws ^nns++++=claws
were ^vbd+bed+vrb++=were
at ^rb++++=at
her ^pp3o+pp3+++=her
throat ^nn++++=throat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
green ^jj+atrb+++=green
eyes ^nns++++=eyes
burned ^vbd+++xvbn+=burned
like ^in++++=like
coals ^nns++++=coals.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
seized ^vbd+++xvbnx+=seized
it ^pp3+it+++=it
and ^cc++++=and
flung ^vbd+++xvbn+=flung
it ^pp3+it+++=it
down ^rp++++=down;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
before ^cs+sub+++=before
it ^pp3+it+++=it
escaped ^vbd+++xvbn+=escaped
she ^pp3a+pp3+++=she
struck ^vbd+++xvbnx+=struck
one ^cd1++++=one
paw ^nn++++=paw
with ^in++++=with
her ^pp3o+pp3+++=her
father ^npt++++=father's
's ^$++++=EXTRAWORD
sabre ^nn++++=sabre.
. ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
the ^ati++++=the
second ^od++++=second
morning ^nn++++=morning
the ^ati++++=the
stepmother ^nn+nom+++=stepmother
came ^vbd+++xvbn+=came
to ^in++++=to
breakfast ^nn++++=breakfast
with ^in++++=with
her ^pp$+pp3+++=her
hand ^nn++++=hand
bound ^vwbn+++xvbn+=bound
in ^in++++=in
linen ^nn++++=linen.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
girl ^nn++++=girl
understood ^vwbn+vprv++xvbn+=understood.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
ran ^vbd+++xvbnx+=ran
to ^in+ppvb+++=to
her ^pp3o+pp3+++=her
father ^npt++++=father.
. ^zz++++=EXTRAWORD
' ^zz++++='Father,'
father ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
' ^zz++++='your
your ^pp$+pp2+++=EXTRAWORD
wife ^nn++++=wife
is ^vbz+bez+vrb++=is
a ^at++++=a
witch ^nn++++=witch!
! ^zz++++=EXTRAWORD
Last ^rb++++=Last
night ^nn++++=night
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
to ^in++++=to
me ^pp1o+pp1+++=me
in ^in++++=in
the ^ati++++=the
likeness ^nns+nom+++=likeness
of ^in++++=of
a ^at++++=a
cat ^nn++++=cat.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
the ^ati++++=the
stepmother ^nn+nom+++=stepmother
wept ^vbd+++xvbn+=wept
so ^ql++++=so
bitterly ^rb++++=bitterly
that ^cs+sub+++=that
the ^ati++++=the
captain ^npt++++=captain
believed ^vbd+vprv++xvbn+=believed
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
the ^ati++++=the
first ^rb++++=first
day ^nn++++=day
he ^pp3a+pp3+++=he
ordered ^vbd+vsua+tht0+xvbnx+=ordered
his ^pp$+pp3+++=his
daughter ^nn+nom+++=daughter
to ^to++++=to
carry ^vbi++++=carry
water ^nn++++=water
like ^in++++=like
a ^at++++=a
menial ^nn++++=menial.
. ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
the ^ati++++=the
second ^od++++=second
day ^nn++++=day
he ^pp3a+pp3+++=he
drove ^vbd+++xvbnx+=drove
her ^pp$+pp3+++=her
from ^in++++=from
the ^ati++++=the
best ^jjt+atrb+++=best
chamber ^nn++++=chamber.
. ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
the ^ati++++=the
third ^od++++=third
day ^nn++++=day
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
her ^pp$+pp3+++=her
no ^at++++=no
bread ^nn++++=bread.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
fourth ^od++++=fourth
the ^ati++++=the
witch ^nn++++=witch
wound ^vbd+++xvbn+=wound
her ^pp3o+pp3+++=her
arms ^nns++++=arms
about ^rb++++=about
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
whispered ^j+++xvbn+=whispered
into ^in++++=into
his ^pp$+pp3+++=his
ear ^nn++++=ear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turned ^vbd+++xvbn+=turned
his ^pp$+pp3+++=his
heart ^nn++++=heart
to ^in++++=to
stone ^nn++++=stone.
. ^zz++++=EXTRAWORD
Whereupon ^cs+sub+++=Whereupon
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
his ^pp$+pp3+++=his
own ^ap++++=own
child ^nn++++=child
a ^at++++=a
liar ^nn++++=liar
and ^cc++++=and
cast ^nn+++xvbn+=cast
her ^pp$+pp3+++=her
from ^in++++=from
the ^ati++++=the
house ^nn++++=house."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Her
her ^pp$+pp3+++=EXTRAWORD
own ^ap++++=own
father ^nn++++=father?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hanna ^np+++??+=Hanna
breathed ^vbd+++xvbn+=breathed.
. ^zz++++=EXTRAWORD
" ^zz++++="Her
her ^pp$+pp3+++=EXTRAWORD
own ^ap++++=own
father ^nn++++=father.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
at ^in++++=at
night ^nn++++=night,
, ^zz++++=EXTRAWORD
barefooted ^jj++++=barefooted
and ^cc++++=and
weeping ^nn++++=weeping.
. ^zz++++=EXTRAWORD
No ^at++++=No
neighbour ^nn++++=neighbour
opened ^vbd+++xvbn+=opened
a ^at++++=a
door ^nn++++=door,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
witch ^nn++++=witch
had ^vbd+hvd+aux++=had
bewitched ^vprf+++xvbnx+=bewitched
them ^pp3o+pp3+++=them
all ^rb++++=all.
. ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl
came ^vbd+++xvbn+=came
to ^in++++=to
this ^dt+dem+++=this
pool ^nn++++=pool.
. ^zz++++=EXTRAWORD
The ^ati++++=The
moon ^nn++++=moon
shone ^vbd+++xvbn+=shone
upon ^in++++=upon
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
the ^ati++++=the
water ^nn++++=water
moved ^vbd+++xvbn+=moved
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
babe ^nn++++=babe
in ^in++++=in
a ^at++++=a
cradle ^nn++++=cradle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
' ^zz++++='Come,
come ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
poor ^jj++++=poor
maiden ^jjb++++=maiden;
; ^zz++++=EXTRAWORD
here ^rn+pl+++=here
is ^vbz+bez+vrb++=is
rest ^nn++++=rest.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
prayed ^vbd+vsua++xvbnx+=prayed
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
covered ^j+++xvbn+=covered
her ^pp3o+pp3+++=her
face ^nn++++=face
with ^in++++=with
her ^pp$+pp3+++=her
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
threw ^vbd+++xvbn+=threw
herself ^ppl+pp3+++=herself
in ^in+strn+++=in."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hanna ^np++++=Hanna's
's ^$++++=EXTRAWORD
fingers ^nns+nom+++=fingers
became ^vbd+++xvbn+=became
cold ^nn++++=cold
in ^in++++=in
Leoko ^np++++=Leoko's
's ^$++++=EXTRAWORD
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="Afterward,"
afterward ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
lowering ^vbg+++xvbg+=lowering
his ^pp$+pp3+++=his
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
drowned ^jj+atrb++xvbn+=drowned
maidens ^nns++++=maidens
of ^in++++=of
every ^at++++=every
pool ^nn++++=pool
gathered ^vbd+++xvbn+=gathered
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
wore ^vbd+++xvbnx+=wore
wreaths ^nns++++=wreaths
of ^in++++=of
sedge ^nn+++??+=sedge
and ^cc++++=and
water ^nn++++=water
lilies ^nns++++=lilies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
faces ^nns++++=faces
were ^vbd+bed+vrb++=were
as ^ql++++=as
white ^np++++=white
as ^ql++++=as
snow ^np++++=snow.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
became ^vbd+++xvbnx+=became
their ^pp$+pp3+++=their
queen ^nn++++=queen.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
distinguish ^vb++++=distinguish
the ^ati++++=the
witch ^nn++++=witch
among ^in++++=among
the ^ati++++=the
living ^nvbg+++xvbg+=living,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
the ^ati++++=the
witch ^nn++++=witch
could ^md+pos+++=could
take ^vb++++=take
any ^dti++++=any
shape ^nn++++=shape
she ^pp3a+pp3+++=she
pleased ^vbd+++xvbnx+=pleased.
. ^zz++++=EXTRAWORD
So ^ql++++=So
on ^in++++=on
moonlit ^nn+++??+=moonlit
nights ^nns++++=nights
the ^ati++++=the
drowned ^jj+++xvbn+=drowned
queen ^npt++++=queen
rises ^vbz++++=rises,
, ^zz++++=EXTRAWORD
calls ^nns++++=calls
travellers ^nns+nom+++=travellers
to ^in++++=to
the ^ati++++=the
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
begs ^nns+++??+=begs
them ^pp3o+pp3+++=them
to ^to++++=to
find ^vbi+vprv+++=find
her ^pp$+pp3+++=her
stepmother ^nn+nom+++=stepmother.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
they ^pp3a+pp3+++=they
fail ^vb++++=fail
" ^zz++++="
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
then ^rn+tm+++=then?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
grandmother ^nn+nom+++=grandmother
never ^rb++++=never
said ^vbd+vpub++xvbn+=said."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
did ^vbd+dod+vrb++=did!"
