# ^zz++++=#
Three ^cd++++=THREE
given ^jj+++xvbn+=given.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
always ^rb++++=always
a ^at++++=a
hand ^nn++++=hand
behind ^in+pl+++=behind
' ^zz++++='em,
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
there ^ex+pex+++=there
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
hand ^nn++++=hand
inside ^in+pl+++=inside
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
tried ^vbd+++xvbnx+=tried
the ^ati++++=the
makers ^nns++++=makers
first ^rb++++=first.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gloves ^nns++++=gloves
was ^vbd+bedz+vrb++=was
French ^jj+pred+++=French,
, ^zz++++=EXTRAWORD
sold ^xvbn+++xvbn+=sold
by ^in++++=by
half ^nn++++=half
a ^at++++=a
dozen ^cd++++=dozen
houses ^nns++++=houses.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
shops ^nns++++=shops.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
little ^jj+atrb+++=little
dealers ^nns+nom+++=dealers.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
cleaners ^nns+nom+++=cleaners.
. ^zz++++=EXTRAWORD
" ^zz++++="Glove-cleaning
glove ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
cleaning ^nvbg+++xvbg+=EXTRAWORD
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
of ^in++++=of
a ^at++++=a
trade ^nn++++=trade
then ^rn+tm+++=then
than ^in++++=than
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
queer ^jj+atrb+++=queer
trade ^nn++++=trade
too ^rb++++=too.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'd
'd ^md+prd+aux++0=EXTRAWORD
take ^vb++++=take
in ^rb+phrv+++=in
a ^at++++=a
pair ^nn++++=pair
at ^in++++=at
a ^at++++=a
hosier ^np++++=hosier's
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Strand ^nn++++=Strand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
might ^md+pos+++=might
travel ^vb++++=travel
to ^in++++=to
Clerkenwell ^np+++??+=Clerkenwell,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
to ^in++++=to
Soho ^np++++=Soho,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
to ^in++++=to
a ^at++++=a
room ^nn++++=room
up ^rp++++=up
three ^cd++++=three
pairs ^nns++++=pairs
of ^in++++=of
stairs ^nns++++=stairs
where ^wrb+who+++=where
a ^at++++=a
woman ^nn++++=woman
and ^cc++++=and
two ^cd++++=two
girls ^nns++++=girls
cleaned ^vwbn+++xvbn+=cleaned
forty ^cd++++=forty
dozen ^cd++++=dozen
a ^at++++=a
week ^nn++++=week
and ^cc++++=and
slept ^vpsv++agls+xvbn+=slept
among ^in++++=among
the ^ati++++=the
chemicals ^nns+nom+++=chemicals.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
kept ^vbd+++xvbn+=kept
proper ^jj+atrb+++=proper
books ^nns++++=books.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
man ^nn++++=man
remembered ^vwbn+vprv++xvbn+=remembered
a ^at++++=a
stain ^nn++++=stain
and ^cc++++=and
forgot ^vbd+vprv++xvbn+=forgot
a ^at++++=a
face ^nn++++=face;
; ^zz++++=EXTRAWORD
another ^dt++++=another
remembered ^jj+++xvbn+=remembered
a ^at++++=a
face ^nn++++=face
and ^cc++++=and
swore ^vbd+vpub+tht0+xvbn+=swore
the ^ati++++=the
gloves ^nns++++=gloves
was ^vbd+bedz+vrb++=was
black ^jj+pred+++=black;
; ^zz++++=EXTRAWORD
a ^at++++=a
woman ^nn++++=woman
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
never ^rb++splt++=never
handled ^vprf+++xvbnx+=handled
' ^zz++++='em,
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
owned ^vbd+++xvbn+=owned
she ^pp3a+pp3+++=she
might ^md+pos+++=might
have ^vb+hv+aux++=have
handled ^vprf+++xvbnx+=handled
five ^cd++++=five
hundred ^cd++++=hundred
just ^rb+emph+++=just
like ^in++++=like
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
there ^rn+pl+++=there;
; ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
Borough ^nn++++=Borough
to ^in++++=to
Holborn ^np++++=Holborn,
, ^zz++++=EXTRAWORD
from ^in++++=from
Holborn ^np++++=Holborn
to ^in++++=to
Wardour ^np++++=Wardour
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
Wardour ^np++++=Wardour
Street ^nn++++=Street
to ^in++++=to
a ^at++++=a
court ^nn++++=court
where ^wrb+who+++=where
the ^ati++++=the
smell ^nn++++=smell
coming ^vwbg+++xvbg+=coming
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
houses ^nns++++=houses
was ^vbd+bedz+vrb++=was
enough ^qlp++++=enough
to ^to++++=to
clean ^vbi++++=clean
the ^ati++++=the
skin ^nn++++=skin
off ^in+pl+++=off
you ^pp2+pp2+++=you
without ^in++++=without
troubling ^nn++++=troubling
about ^in++++=about
the ^ati++++=the
gloves ^nns++++=gloves.
. ^zz++++=EXTRAWORD
" ^zz++++="At
at ^rb++++=EXTRAWORD
last ^rb"++++=last
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
word ^nn++++=word
that ^tht+rel+obj++=that
a ^at++++=a
cleaner ^nn++++=cleaner
named ^vbd+++xvbn+=named
Priddle ^np+++??+=Priddle
sometimes ^rb++++=sometimes
marked ^jj+atrb++xvbn+=marked
customers ^nns+nom+++=customers'
' ^zz++++=EXTRAWORD
goods ^nns++++=goods
in ^in++++=in
pencil ^nn++++=pencil
under ^in++++=under
the ^ati++++=the
wrist ^nn++++=wrist.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
faint ^jj++++=faint
little ^ap++++=little
cross ^nn++++=cross
and ^cc++++=and
a ^at++++=a
figure ^nn++++=figure
seven ^cd++++=seven.
. ^zz++++=EXTRAWORD
Priddle ^np+++??+=Priddle
had ^vbd+hvd+aux++=had
moved ^vprf+++xvbnx+=moved.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
Useful ^jj+atrb+++=Useful
people ^nns++++=people
in ^in++++=in
inquiries ^nns++++=inquiries
always ^rb++++=always
have ^vb+hv+aux++=have
moved ^vprf+++xvbnx+=moved;
; ^zz++++=EXTRAWORD
useless ^jj+atrb+++=useless
people ^nns++++=people
live ^vb++++=live
for ^in+ppvb+++=for
fifty ^cd++++=fifty
years ^nns++++=years
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
parlour ^nn++++=parlour.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
traced ^vbd+++xvbnx+=traced
him ^pp3o+pp3+++=him
to ^in++++=to
a ^at++++=a
public ^jj++++=public-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
near ^in+pl+++=near
the ^ati++++=the
New ^nn++++=New
Cut ^vbd+++xvbn+=Cut.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
waited ^vbd+++xvbnx+=waited.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
come ^vb++++=come.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
called ^vbd+++xvbnx+=called
next ^ap++++=next
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
in ^in++++=in
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
called ^vbd+++xvbnx+=called
at ^rb++++=at
noon ^nn++++=noon.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
to ^in++++=to
the ^ati++++=the
theatre ^nn++++=theatre
to ^to++++=to
see ^vbi+vprv+tht0++=see
a ^at++++=a
friend ^nn++++=friend
employed ^vbd+++xvbn+=employed
behind ^in+pl+++=behind
the ^ati++++=the
scenes ^nns++++=scenes.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
went ^vbd+++xvbnx+=went
to ^in++++=to
the ^ati++++=the
theatre ^nn++++=theatre,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
by ^in++++=by
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
chances ^nns+nom+++=chances
that ^tht+rel+subj++=that's
's ^vbz+bez+aux++0=EXTRAWORD
always ^rb++++=always
called ^vpsv++agls+xvbnx+=called
wonderful ^jj++++=wonderful
after ^cs+sub+++=after
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
worked ^vprf+++xvbnx+=worked
three ^cd++++=three
days ^nns++++=days
to ^to++++=to
arrive ^vbi++++=arrive
at ^rb++++=at
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
met ^vbd+++xvbnx+=met
a ^at++++=a
man ^nn++++=man
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew.
. ^zz++++=EXTRAWORD
" ^zz++++="'Why,
' ^zz++++=EXTRAWORD
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Wield ^np+++??+=Wield!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
' ^zz++++='What
what ^wdt+who+++=EXTRAWORD
brings ^vbz++++=brings
you ^pp2+pp2+++=you
among ^in++++=among
the ^ati++++=the
drama ^nn++++=drama?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Gloves,'
' ^zz++++=EXTRAWORD
gloves ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="'Then
' ^zz++++=EXTRAWORD
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
want ^vb++++=want
Priddle ^np+++??+=Priddle.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
glove ^nn++++=glove-cleaner.'
- ^zz++++=EXTRAWORD
cleaner ^jjr++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'That's
' ^zz++++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
exactly ^rb++++=exactly
the ^ati++++=the
man ^nn++++=man
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
following ^vbg+++xvbgx+=following.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Following
' ^zz++++=EXTRAWORD
following ^jj+++xvbg+=EXTRAWORD
him ^pp3o+pp3+++=him!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+aux++0=EXTRAWORD
drinking ^vbg+++xvbgx+=drinking
half ^abn++++=half-and-half
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
half ^abn++++=EXTRAWORD
across ^in+pl+++=across
the ^ati++++=the
road ^nn++++=road.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
sure ^jj++++=sure
enough ^dt++++=enough:
: ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
sharp ^jj++++=sharp-faced
- ^zz++++=EXTRAWORD
faced ^vbd+++xvbn+=EXTRAWORD
man ^nn++++=man
with ^in++++=with
pale ^jj+atrb+++=pale
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
washed ^vpsv++agls+xvbnx+=washed
in ^in++++=in
something ^pn++++=something
stronger ^jjr++++=stronger
than ^in++++=than
water ^nn++++=water.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
showed ^vbd+vprv++xvbnx+=showed
him ^pp3o+pp3+++=him
the ^ati++++=the
gloves ^nns++++=gloves.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
smelled ^vbd+++xvbnx+=smelled
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="'Mine,'
' ^zz++++=EXTRAWORD
mine ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="'Cleaned
' ^zz++++=EXTRAWORD
cleaned ^vpsv++by+xvbn+=EXTRAWORD
by ^in++++=by
you ^pp2+pp2+++=you?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Tried
' ^zz++++=EXTRAWORD
tried ^vbd+++xvbn+=EXTRAWORD
to ^to+vcmp+++=to
be ^vbi++vrb++=be.
. ^zz++++=EXTRAWORD
Grease ^nn++++=Grease
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
come ^vb++++=come
out ^rb+phrv+++=out
of ^in+ppvb+++=of
that ^dt+dem+++=that
seam ^nn++++=seam.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Who
' ^zz++++=EXTRAWORD
who ^whp+who+++=EXTRAWORD
brought ^vbd+++xvbn+=brought
' ^zz++++='em?'
em ^nn+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
turned ^vbd+++xvbnx+=turned
the ^ati++++=the
left ^jj+atrb++xvbn+=left
glove ^nn++++=glove
inside ^jjb++++=inside
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
squinted ^j+++xvbn+=squinted
at ^in++++=at
his ^pp$+pp3+++=his
mark ^nn++++=mark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rubbed ^vbd+++xvbn+=rubbed
his ^pp$+pp3+++=his
chin ^nn++++=chin.
. ^zz++++=EXTRAWORD
" ^zz++++="'Young
' ^zz++++=EXTRAWORD
young ^jj+atrb+++=EXTRAWORD
woman ^nn++++=woman.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'What
' ^zz++++=EXTRAWORD
what ^wdt+who+++=EXTRAWORD
young ^jj+atrb+++=young
woman ^nn++++=woman?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Brown
' ^zz++++=EXTRAWORD
brown ^jj+atrb+++=EXTRAWORD
bonnet ^nn++++=bonnet.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Name?'
' ^zz++++=EXTRAWORD
name ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Don't
' ^zz++++=EXTRAWORD
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Where
' ^zz++++=EXTRAWORD
where ^wrb+who+++=EXTRAWORD
did ^vbd+dod+vrb++=did
she ^pp3a+pp3+++=she
leave ^vb++++=leave
' ^zz++++='em?'
em ^nn+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Hosier's
' ^zz++++=EXTRAWORD
hosier ^np++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
Blackfriars ^np+++??+=Blackfriars
Road ^nn++++=Road,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
likely ^jj++++=likely.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
hosier ^np++++=hosier's.
's. ^nn+++??+=EXTRAWORD
The ^ati++++=The
hosier ^np++++=hosier
remembered ^vwbn+vprv+tht0+xvbn+=remembered
nothing ^pn++++=nothing
until ^cs+sub+++=until
his ^pp$+pp3+++=his
wife ^nn++++=wife
came ^vbd+++xvbn+=came
down ^rp++++=down;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
remembered ^vbd+vprv+tht0+xvbnx+=remembered
everything ^pn++++=everything
she ^pp3a+pp3+++=she
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
A ^at++++=A
young ^jj+atrb+++=young
woman ^nn++++=woman
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
the ^ati++++=the
gloves ^nns++++=gloves,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
called ^vprf+++xvbnx+=called
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
refused ^vprf+++xvbnx+=refused
to ^to+vcmp+++=to
pay ^vbi++++=pay
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
was ^vbd+bedz+aux++=wasn't
n't ^xnot++not++0=EXTRAWORD
properly ^rb++++=properly
cleaned ^vbd+++xvbn+=cleaned.
. ^zz++++=EXTRAWORD
" ^zz++++="'What
' ^zz++++=EXTRAWORD
what ^wdt+who+++=EXTRAWORD
became ^vbd+++xvbn+=became
of ^in++++=of
' ^zz++++='em?'
em ^nn+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="'She
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=EXTRAWORD
took ^vbd+++xvbnx+=took
' ^zz++++='em,'
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
" ^zz++++="'Who
' ^zz++++=EXTRAWORD
who ^whp+who+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
she ^pp3a+pp3+++=she?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Would
' ^zz++++=EXTRAWORD
would ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
her ^pp$+pp3+++=her?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Anywhere.'
' ^zz++++=EXTRAWORD
anywhere ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
generally ^rb+down+++=generally
means ^in++++=means
nowhere ^rb+pl+++=nowhere;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
kept ^vbd+++xvbnx+=kept
her ^pp$+pp3+++=her
description ^nn+nom+++=description.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
short ^jj+pred+++=short,
, ^zz++++=EXTRAWORD
brisk ^jj++++=brisk,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
a ^at++++=a
scar ^nn++++=scar
near ^in+pl+++=near
the ^ati++++=the
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wore ^vbd+++xvbn+=wore
a ^at++++=a
brown ^jj+atrb+++=brown
bonnet ^nn++++=bonnet
with ^in++++=with
a ^at++++=a
green ^jj+atrb+++=green
ribbon ^nn++++=ribbon.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
made ^vbd+++xvbnx+=made
inquiries ^nns++++=inquiries
round ^in++++=round
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Grimwood ^np++++=Grimwood's
's ^$++++=EXTRAWORD
neighbourhood ^nn+nom+++=neighbourhood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
her ^pp3o+pp3+++=her
cousin ^nn++++=cousin,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Pell ^np++++=Pell,
, ^zz++++=EXTRAWORD
answered ^j+++xvbn+=answered
pretty ^rb++++=pretty
well ^rb++++=well
to ^in++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
allowing ^vbg+++xvbg+=allowing
for ^in+ppvb+++=for
the ^ati++++=the
ribbon ^nn++++=ribbon
having ^xvbg+++xvbg+=having
become ^vb++++=become
blue ^jj++++=blue
in ^in++++=in
six ^cd++++=six
months ^nns++++=months
of ^in++++=of
recollection ^nn+nom+++=recollection.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Pell ^np++++=Pell
worked ^vbd+++xvbn+=worked
at ^rb++++=at
a ^at++++=a
laundry ^nn++++=laundry.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="'Did
' ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
take ^vb++++=take
these ^dt+dem+++=these
gloves ^nns++++=gloves
to ^to++++=to
be ^vbi+vbi+aux++=be
cleaned ^vpsv++agls+xvbnx+=cleaned?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
them ^pp3o+pp3+++0='em
and ^cc++++=and
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
' ^zz++++='Yes.'
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Whose
' ^zz++++=EXTRAWORD
whose ^whp+who+++=EXTRAWORD
were ^vbd+bed+vrb++=were
they ^pp3a+pp3+++=they?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Young
' ^zz++++=EXTRAWORD
young ^jj+atrb+++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Trinkle ^np++++=Trinkle's.'
's.' ^nn+++??+=EXTRAWORD
" ^zz++++="'How
' ^zz++++=EXTRAWORD
how ^wrb+who+++=EXTRAWORD
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
come ^vb++++=come
by ^in++++=by
' ^zz++++='em?'
em ^nn+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'He
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
gave ^vbd+++xvbnx+=gave
them ^pp3o+pp3+++0='em
me ^pp1o+pp1+++=me.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'What
' ^zz++++=EXTRAWORD
what ^wdt+who+++=EXTRAWORD
for ^in+strn+++=for?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Nothing.'
' ^zz++++=EXTRAWORD
nothing ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Why
' ^zz++++=EXTRAWORD
why ^wrb+who+++=EXTRAWORD
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
put ^vbd+++xvbn+=put
them ^pp3o+pp3+++0='em
under ^in++++=under
Eliza ^np++++=Eliza
Grimwood ^np++++=Grimwood's
's ^$++++=EXTRAWORD
pillow ^nn++++=pillow?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
she ^pp3a+pp3+++=she
gave ^vbd+++xvbnx+=gave
a ^at++++=a
scream ^vb++++=scream,
, ^zz++++=EXTRAWORD
dropped ^j+++xvbn+=dropped
into ^in++++=into
a ^at++++=a
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
called ^vbd+++xvbn+=called
me ^pp1o+pp1+++=me
a ^at++++=a
wicked ^jj+atrb+++=wicked
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
put ^vb+++xvbn+=put
them ^pp3o+pp3+++0='em
under ^in++++=under
no ^at++++=no
pillow ^nn++++=pillow!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="'They
' ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+aux++=was
