Our ^pp$+pp1+++=Our
accused ^vbd+++xvbn+=accused
one ^cd1++++=one
another ^dt++++=another.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
clear ^jj++++=clear
of ^in++++=of
the ^ati++++=the
osiers ^nn++++=osiers,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
expedition ^nn+nom+++=expedition
took ^vbd+++xvbn+=took
on ^rb+phrv+++=on
dignity ^nn+nom+++=dignity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
river ^nn++++=river,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
at ^in++++=at
ordinary ^jj+atrb+++=ordinary
times ^nns++++=times
was ^vbd+bedz+vrb++=was
a ^at++++=a
sluggish ^jj++++=sluggish
and ^cc++++=and
rather ^rb++++=rather
ill ^jj++++=ill-smelling
- ^zz++++=EXTRAWORD
smelling ^vbg+nom++xvbg+=EXTRAWORD
stream ^nn++++=stream
passing ^vwbg+++xvbg+=passing
between ^in++++=between
cow ^nn++++=cow-pastures,
- ^zz++++=EXTRAWORD
pastures ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
stretched ^vbd+++xvbn+=stretched
before ^in++++=before
us ^pp1o+pp1+++=us
as ^in++++=as
the ^ati++++=the
sea ^nn++++=sea
beyond ^in++++=beyond
Thessaly ^np+++??+=Thessaly.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
bends ^nns++++=bends
hid ^vbd+++xvbn+=hid
unknown ^jj+atrb+++=unknown
continents ^nns++++=continents;
; ^zz++++=EXTRAWORD
pollarded ^jj+atrb++xvbn+=pollarded
willows ^nns++++=willows
became ^vbd+++xvbn+=became
monstrous ^jj+atrb+++=monstrous
guardians ^nns++++=guardians
of ^in++++=of
the ^ati++++=the
shore ^nn++++=shore;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
mud ^nn++++=mud-banks,
- ^zz++++=EXTRAWORD
banks ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
perforated ^xvbn+++xvbn+=perforated
by ^in++++=by
water ^nn++++=water-rats,
- ^zz++++=EXTRAWORD
rats ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
unquestionably ^rb++++=unquestionably
the ^ati++++=the
habitations ^nns+nom+++=habitations
of ^in++++=of
hostile ^jj+atrb+++=hostile
tribes ^nns++++=tribes.
. ^zz++++=EXTRAWORD
A ^at++++=A
white ^jj+atrb+++=white
horse ^nn++++=horse
standing ^vwbg+++xvbg+=standing
knee ^nn++++=knee-deep
- ^zz++++=EXTRAWORD
deep ^jj++++=EXTRAWORD
at ^rb++++=at
a ^at++++=a
ford ^np++++=ford
was ^vbd+bedz+aux++=was
first ^od++++=first
identified ^vbd+++xvbn+=identified
as ^ql++++=as
Poseidon ^np+++??+=Poseidon
and ^cc++++=and
afterward ^rb+cnj+++=afterward,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
whisked ^vbd+++xvbn+=whisked
its ^pp$+it+++=its
tail ^nn++++=tail,
, ^zz++++=EXTRAWORD
as ^ql++++=as
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
man ^nn++++=man-eating
- ^zz++++=EXTRAWORD
eating ^nvbg+++xvbg+=EXTRAWORD
mares ^nns++++=mares
of ^in++++=of
Diomedes ^np+++??+=Diomedes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
distinction ^nn+nom+++=distinction
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
concern ^nn++++=concern
us ^pp1o+pp1+++=us
greatly ^rb+amp+++=greatly.
. ^zz++++=EXTRAWORD
In ^in++++=In
childhood ^nn+nom+++=childhood,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
diplomacy ^nn+nom+++=diplomacy,
, ^zz++++=EXTRAWORD
a ^at++++=a
formidable ^jj+atrb+++=formidable
name ^nn++++=name
is ^vbz+bez+vrb++=is
often ^rb++++=often
more ^rbr++++=more
important ^jj++++=important
than ^in++++=than
exact ^jj+atrb+++=exact
classification ^nn+nom+++=classification.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
rowed ^vbd+++xvbn+=rowed
upstream ^rb+pl+++=upstream
because ^cs+cos+++=because
the ^ati++++=the
current ^nn++++=current,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
mild ^jj+atrb+++=mild,
, ^zz++++=EXTRAWORD
gave ^jj+atrb++xvbn+=gave
resistance ^nn+nom+++=resistance
enough ^dt++++=enough
to ^to++++=to
make ^vbi++++=make
conquest ^nn++++=conquest
perceptible ^jj++++=perceptible.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
first ^od++++=first
narrow ^vb++++=narrow
passage ^nn+nom+++=passage,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
two ^cd++++=two
willows ^nns++++=willows
leaned ^vbd+++xvbn+=leaned
toward ^in++++=toward
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
Harold ^np++++=Harold
shouted ^vbd+vpub++xvbn+=shouted
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
reached ^vprf+++xvbnx+=reached
the ^ati++++=the
Symplegades ^np+++??+=Symplegades.
. ^zz++++=EXTRAWORD
Edward ^np++++=Edward
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
not ^xnot++not++=not
to ^to++++=to
be ^vbi++vrb++=be
an ^at++++=an
ass ^nn++++=ass
and ^cc++++=and
pulled ^vbd+++xvbn+=pulled
hard ^jj++++=hard,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
precisely ^rb++++=precisely
the ^ati++++=the
practical ^jj+atrb+++=practical
assistance ^nn+nom+++=assistance
Jason ^np+++??+=Jason
himself ^ppl+pp3+++=himself
must ^md+nec+++=must
often ^rb++++=often
have ^vb+hv+aux++=have
desired ^vprf+++xvbnx+=desired
from ^in++++=from
his ^pp$+pp3+++=his
crew ^nn++++=crew.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
passed ^vbd+++xvbn+=passed
safely ^rb+cnj+++=safely,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
a ^at++++=a
branch ^nn++++=branch
scraped ^vbd+++xvbn+=scraped
our ^pp$+pp1+++=our
heads ^nns++++=heads
and ^cc++++=and
knocked ^vbd+++xvbn+=knocked
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
oars ^nns+++??+=oars
from ^in++++=from
its ^pp$+it+++=its
rowlock ^nn++++=rowlock.
. ^zz++++=EXTRAWORD
Harold ^np++++=Harold
declared ^vbd+vpub++xvbn+=declared
the ^ati++++=the
incident ^nn++++=incident
a ^at++++=a
fulfilment ^nn+nom+++=fulfilment
of ^in++++=of
the ^ati++++=the
prophecy ^nn++++=prophecy
that ^tht+ncmp+++=that
the ^ati++++=the
ship ^nn++++=ship
should ^md+nec+++=should
lose ^vb++++=lose
a ^at++++=a
feather ^nn++++=feather
from ^in++++=from
its ^pp$+it+++=its
stern ^nn++++=stern.
. ^zz++++=EXTRAWORD
Edward ^np++++=Edward
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
stern ^nn++++=stern,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
a ^at++++=a
feather ^nn++++=feather;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
by ^in++++=by
then ^rn+tm+++=then
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
occupied ^vpsv++agls+xvbnx+=occupied
with ^in++++=with
a ^at++++=a
family ^nn++++=family
of ^in++++=of
ducks ^nns++++=ducks,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
took ^vbd+++xvbn+=took
wing ^nn++++=wing
ahead ^rb+pl+++=ahead
of ^in++++=of
us ^pp1o+pp1+++=us
like ^in++++=like
six ^cd++++=six
disreputable ^jj+atrb+++=disreputable
sirens ^nns+++??+=sirens.
. ^zz++++=EXTRAWORD
At ^in++++=At
noon ^nn++++=noon
or ^cc+cls+++=or
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
supposed ^vb+vprv+pmd"+xvbn+=supposed
to ^to+vcmp+pmd++=to
be ^vbi++vrb++=be
noon ^nn++++=noon,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
no ^at++++=no
watch ^vb++++=watch
and ^cc++++=and
a ^at++++=a
liberal ^jj+atrb+++=liberal
attitude ^nn++++=attitude
toward ^in++++=toward
chronology ^nn++++=chronology
we ^pp1a+pp1+++=we
ate ^vbd+++xvbn+=ate
our ^pp$+pp1+++=our
provisions ^nns++++=provisions.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
consisted ^jj+++xvbn+=consisted
of ^in++++=of
two ^cd++++=two
apples ^nns++++=apples,
, ^zz++++=EXTRAWORD
a ^at++++=a
heel ^nn++++=heel
of ^in++++=of
cake ^nn++++=cake,
, ^zz++++=EXTRAWORD
three ^cd++++=three
biscuits ^nns++++=biscuits
intended ^vwbn+vsua++xvbn+=intended
for ^in++++=for
the ^ati++++=the
spaniel ^nn++++=spaniel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
acid ^jj+atrb+++=acid
drops ^nns++++=drops
which ^whp+rel+obj++=which
Harold ^np++++=Harold
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
preserving ^vbg+++xvbgx+=preserving
since ^in++++=since
Sunday ^nr++++=Sunday.
. ^zz++++=EXTRAWORD
Division ^nn++++=Division
raised ^vbd+++xvbn+=raised
constitutional ^jj+atrb+++=constitutional
difficulties ^nns++++=difficulties.
. ^zz++++=EXTRAWORD
Jason ^np+++??+=Jason
claimed ^vbd+vpub++xvbn+=claimed
the ^ati++++=the
cake ^nn++++=cake
by ^in++++=by
prerogative ^nn++++=prerogative;
; ^zz++++=EXTRAWORD
Orpheus ^np++++=Orpheus
maintained ^vbd+vpub++xvbn+=maintained
that ^tht+vcmp+++=that
the ^ati++++=the
artist ^nn++++=artist
must ^md+nec+++=must
be ^vb+be+aux++=be
sustained ^vpsv++agls+xvbnx+=sustained;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Edward ^np++++=Edward,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
furnished ^vprf+++xvbnx+=furnished
half ^abn++++=half
the ^ati++++=the
supplies ^nns++++=supplies
and ^cc++++=and
all ^rb++++=all
the ^ati++++=the
rowing ^nvbg+++xvbg+=rowing,
, ^zz++++=EXTRAWORD
threatened ^nn+++xvbn+=threatened
to ^to+ncmp+++=to
land ^vb++++=land
us ^pp1o+pp1+++=us
unless ^cs+cnd+++=unless
equity ^nn++++=equity
prevailed ^vbd+++xvbn+=prevailed.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
therefore ^rb+cnj+++=therefore
divided ^vwbn+++xvbn+=divided
everything ^pn++++=everything
with ^in++++=with
exactness ^nns+nom+++=exactness,
, ^zz++++=EXTRAWORD
except ^in++++=except
the ^ati++++=the
acid ^jj+atrb+++=acid
drops ^nns++++=drops,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
adhered ^vprf+++xvbnx+=adhered
permanently ^rb++++=permanently
to ^in++++=to
the ^ati++++=the
lining ^jj+++xvbg+=lining
of ^in++++=of
Harold ^np++++=Harold's
's ^$++++=EXTRAWORD
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
the ^ati++++=the
second ^od++++=second
bridge ^nn++++=bridge
the ^ati++++=the
river ^npl++++=river
entered ^vbd+++xvbn+=entered
country ^nn++++=country
less ^rbr++++=less
familiar ^jj++++=familiar
to ^in++++=to
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Meadows ^npl++++=Meadows
gave ^vbd+++xvbn+=gave
place ^nn++++=place
to ^in++++=to
thickets ^nns+++??+=thickets;
; ^zz++++=EXTRAWORD
the ^ati++++=the
banks ^nns++++=banks
rose ^vbd+++xvbn+=rose;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
elder ^jjr++++=elder,
, ^zz++++=EXTRAWORD
hazel ^np++++=hazel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wild ^jj+atrb+++=wild
hop ^nn++++=hop
leaned ^vbd+++xvbn+=leaned
over ^in++++=over
the ^ati++++=the
water ^nn++++=water
until ^cs+sub+++=until
the ^ati++++=the
channel ^npl++++=channel
seemed ^vbd+seem++xvbn+=seemed
a ^at++++=a
green ^jj+atrb+++=green
corridor ^nn++++=corridor,
, ^zz++++=EXTRAWORD
cool ^vb++++=cool
and ^cc++++=and
secret ^nn++++=secret
beneath ^in+pl+++=beneath
the ^ati++++=the
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
we ^pp1a+pp1+++=we
lowered ^vbd+++xvbn+=lowered
our ^pp$+pp1+++=our
voices ^nns++++=voices,
, ^zz++++=EXTRAWORD
partly ^rb+down+++=partly
because ^cs+cos+++=because
the ^ati++++=the
place ^nn++++=place
required ^vbd+++xvbn+=required
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
partly ^rb+down+++=partly
because ^cs+cos+++=because
Edward ^np++++=Edward,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
rowed ^vprf+++xvbnx+=rowed
farther ^rbr++++=farther
than ^in++++=than
he ^pp3a+pp3+++=he
admitted ^vbd+vpub++xvbnx+=admitted,
, ^zz++++=EXTRAWORD
wished ^vb+++xvbn+=wished
to ^to+vcmp+++=to
rest ^vb++++=rest.
. ^zz++++=EXTRAWORD
A ^rb++++=A
little ^rb"++++=little
water ^nn++++=water-gate
- ^zz++++=EXTRAWORD
gate ^nn++++=EXTRAWORD
appeared ^vbd+seem++xvbn+=appeared
on ^in++++=on
the ^ati++++=the
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
concealed ^vpsv++by+xvbn+=concealed
by ^in++++=by
loose ^jj+atrb+++=loose
sprays ^nns++++=sprays
of ^in++++=of
honeysuckle ^nn++++=honeysuckle.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
shallow ^jj+atrb+++=shallow
steps ^nns++++=steps
climbed ^vbd+++xvbn+=climbed
from ^in++++=from
the ^ati++++=the
river ^nn++++=river
into ^in++++=into
a ^at++++=a
garden ^nn++++=garden.
. ^zz++++=EXTRAWORD
No ^at++++=No
house ^npl++++=house
could ^md+pos+++=could
at ^rb++++=at
first ^rb"++++=first
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
a ^at++++=a
gravel ^nn++++=gravel
path ^nn++++=path,
, ^zz++++=EXTRAWORD
grass ^nn++++=grass
whitening ^vwbg+++xvbg+=whitening
beneath ^in+pl+++=beneath
daisies ^nns++++=daisies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flowers ^nns+nom+++=flowers
growing ^vwbg+++xvbg+=growing
in ^in++++=in
such ^abl++++=such
profusion ^nn++++=profusion
that ^tht+rel+obj++=that
cultivation ^nn+nom+++=cultivation
had ^vb+hv+aux++=had
plainly ^rb++splt++=plainly
retreated ^vprf+++xvbnx+=retreated
and ^cc++++=and
left ^jj+++xvbn+=left
them ^pp3o+pp3+++=them
to ^in++++=to
their ^pp$+pp3+++=their
own ^ap++++=own
politics ^nn++++=politics.
. ^zz++++=EXTRAWORD
" ^zz++++="Colchis,"
colchis ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Harold ^np++++=Harold
whispered ^vbd+++xvbn+=whispered.
. ^zz++++=EXTRAWORD
The ^ati++++=The
name ^nn++++=name
settled ^vbd+++xvbn+=settled
the ^ati++++=the
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
brought ^vbd+++xvbn+=brought
the ^ati++++=the
boat ^nn++++=boat
alongside ^in+strn+++=alongside,
, ^zz++++=EXTRAWORD
tied ^j+++xvbn+=tied
it ^pp3+it+++=it
with ^in++++=with
an ^at++++=an
elaborate ^jj+atrb+++=elaborate
knot ^nn++++=knot
which ^whp+rel+obj++=which
Edward ^np++++=Edward
afterward ^rb++++=afterward
replaced ^vbd+++xvbn+=replaced
with ^in++++=with
a ^at++++=a
useful ^jj+atrb+++=useful
one ^pn++++=one,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
landed ^vpsv++agls+xvbn+=landed
in ^in++++=in
search ^in"++++=search
of ^in"++++=of
the ^ati++++=the
Golden ^jj+atrb+++=Golden
Fleece ^np+++??+=Fleece.
. ^zz++++=EXTRAWORD
Quiet ^nn++++=Quiet
had ^vbd+hvd+aux++=had
lapped ^vprf+++xvbnx+=lapped
over ^in++++=over
that ^dt+dem+++=that
garden ^npl++++=garden
until ^cs+sub+++=until
even ^rb++++=even
our ^pp$+pp1+++=our
footsteps ^nns++++=footsteps
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
make ^vbi++++=make
rings ^nns++++=rings
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Roses ^nns++++=Roses
hung ^vbd+++xvbn+=hung
heavily ^rb++++=heavily
from ^in++++=from
unpruned ^jj+atrb++xvbn+=unpruned
arches ^nns++++=arches;
; ^zz++++=EXTRAWORD
tall ^jj+atrb+++=tall
lilies ^nns++++=lilies
leaned ^vbd+++xvbn+=leaned
across ^in+pl+++=across
the ^ati++++=the
paths ^nns++++=paths
as ^cs+sub+++=as
though ^rb+cnj+++=though
listening ^nvbg+++xvbg+=listening;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
heliotrope ^vb+++??+=heliotrope
poured ^vbd+++xvbn+=poured
out ^rp+pl+++=out
a ^at++++=a
sweetness ^nns+nom+++=sweetness
so ^rb+emph+++=so
dense ^jj++++=dense
that ^cs+sub+++=that
we ^pp1a+pp1+++=we
fancied ^vbd+++xvbn+=fancied
one ^cd1++++=one
might ^md+pos+++=might
have ^vb+hv+aux++=have
gathered ^vprf+++xvbnx+=gathered
it ^pp3+it+++=it
in ^in++++=in
handfuls ^nns+nom+++=handfuls.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
centre ^nn++++=centre
of ^in++++=of
the ^ati++++=the
lawn ^nn++++=lawn
stood ^vbd+++xvbn+=stood
a ^at++++=a
grey ^jj++++=grey
sundial ^jj++++=sundial,
, ^zz++++=EXTRAWORD
severe ^jj++++=severe
amid ^in++++=amid
the ^ati++++=the
disorder ^nn+nom+++=disorder,
, ^zz++++=EXTRAWORD
recording ^vbg+vpub++xvbg+=recording
hours ^nns++++=hours
which ^whp+rel+obj++=which
no ^at++++=no
one ^cd1++++=one
there ^ex+pex+++=there
appeared ^vprf+++xvbn+=appeared
willing ^jj++++=willing
to ^to+jcmp+++=to
use ^vbi++++=use.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^nn++++=house
showed ^vbd+vprv++xvbn+=showed
itself ^ppl++++=itself
at ^rb++++=at
last ^rb"++++=last
behind ^in+pl+++=behind
cedar ^nn++++=cedar
branches ^nns++++=branches:
: ^zz++++=EXTRAWORD
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
withdrawn ^vbd+++xvbn+=withdrawn,
, ^zz++++=EXTRAWORD
with ^in++++=with
blinds ^nns++++=blinds
pulled ^vbd+++xvbn+=pulled
down ^rb+phrv+++=down
against ^in++++=against
the ^ati++++=the
sun ^nn++++=sun.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
knew ^vbd+vprv++xvbn+=knew
at ^rb++++=at
once ^rb"+tm+++=once
that ^cs+sub+++=that
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
enchanted ^vpsv++agls+xvbnx+=enchanted.
. ^zz++++=EXTRAWORD
No ^at++++=No
ordinary ^jj+atrb+++=ordinary
household ^nn++++=household
closed ^vbd+++xvbn+=closed
its ^pp$+it+++=its
eyes ^nns++++=eyes
on ^in++++=on
so ^ql+emph+++=so
brilliant ^jj++++=brilliant
a ^at++++=a
day ^nn++++=day
unless ^cs+cnd+++=unless
a ^at++++=a
spell ^nn++++=spell,
, ^zz++++=EXTRAWORD
a ^at++++=a
death ^nn++++=death,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
an ^at++++=an
elderly ^jj+atrb+++=elderly
relation ^nn+nom+++=relation
were ^vbd+bed+aux++=were
involved ^vpsv++agls+xvbnx+=involved.
. ^zz++++=EXTRAWORD
Harold ^np++++=Harold
led ^vbd+++xvbn+=led
us ^pp1o+pp1+++=us
toward ^in++++=toward
the ^ati++++=the
sundial ^nn++++=sundial.
. ^zz++++=EXTRAWORD
Hanging ^vbg+++xvbg+=Hanging
from ^in++++=from
a ^at++++=a
bush ^nn++++=bush
near ^in+pl+++=near
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
yellow ^jj+atrb+++=yellow
shawl ^nn++++=shawl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
a ^at++++=a
cry ^nn++++=cry
of ^in++++=of
triumph ^nn++++=triumph.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
Fleece ^np+++??+=Fleece!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
examination ^nn+nom+++=examination,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
golden ^jj++++=golden,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it
fleece ^nn++++=fleece;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
mythological ^jj+atrb+++=mythological
necessities ^nns+nom+++=necessities
are ^vb+ber+vrb++=are
elastic ^jj+pred+++=elastic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
remove ^vbi++++=remove
it ^pp3+it+++=it
when ^wrb+who+++=when
a ^at++++=a
voice ^nn++++=voice
behind ^in+pl+++=behind
us ^pp1o+pp1+++=us
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
turned ^vbd+++xvbn+=turned.
. ^zz++++=EXTRAWORD
A ^at++++=A
young ^jj+atrb+++=young
woman ^nn++++=woman
stood ^vbd+++xvbn+=stood
at ^rb++++=at
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
shadow ^nn++++=shadow.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wore ^vbd+++xvbnx+=wore
a ^at++++=a
white ^jj+atrb+++=white
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
firm ^nn++++=firm,
, ^zz++++=EXTRAWORD
practical ^jj+atrb+++=practical
white ^nn++++=white
of ^in++++=of
our ^pp$+pp1+++=our
sisters ^nns+nom+++=sisters'
' ^zz++++=EXTRAWORD
summer ^nn++++=summer
frocks ^nns++++=frocks,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
something ^pn++++=something
soft ^jj++++=soft
that ^dt+pdem+++=that
fell ^vbd+++xvbn+=fell
about ^rb++++=about
her ^pp3o+pp3+++=her
as ^ql++++=as
water ^nn++++=water
falls ^vbz++++=falls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
dark ^jj+atrb+++=dark
hair ^nn++++=hair
was ^vbd+bedz+aux++=was
loosely ^rb++splt++=loosely
fastened ^vpsv++agls+xvbnx+=fastened
behind ^in+strn+++=behind.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face
was ^vbd+bedz+vrb++=was
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
an ^at++++=an
instant ^nn+nom+++=instant
we ^pp1a+pp1+++=we
judged ^vbd+vprv++xvbn+=judged
her ^pp$+pp3+++=her
to ^to++++=to
be ^vbi++vrb++=be
angry ^jj+pred+++=angry;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
smiled ^vbd+++xvbnx+=smiled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
whole ^jj+atrb+++=whole
garden ^nn++++=garden
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
draw ^vbi++++=draw
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
are ^vb+ber+vrb++=are
the ^ati++++=the
Argonauts ^np+++??+=Argonauts,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Harold ^np++++=Harold
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
added ^vbd+vpub++xvbnx+=added,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
courtesy ^nn++++=courtesy
was ^vbd+bedz+vrb++=was
due ^jj+pred+++=due
even ^rb++++=even
in ^in++++=in
hostile ^jj+atrb+++=hostile
kingdoms ^nns+nom+++=kingdoms,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
Jason ^np+++??+=Jason."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
answered ^vbd+vpub++xvbnx+=answered.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
immediate ^jj+atrb+++=immediate
acceptance ^nn+nom+++=acceptance
established ^vbd+++xvbn+=established
her ^pp3o+pp3+++=her
quality ^nn+nom+++=quality.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
adults ^nns++++=adults,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
informed ^jj+++xvbn+=informed
of ^in++++=of
an ^at++++=an
obvious ^jj+atrb+++=obvious
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
sought ^j+++xvbn+=sought
to ^to++++=to
diminish ^vbi++++=diminish
it ^pp3+it+++=it
with ^in++++=with
questions ^nns+nom+++=questions;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
merely ^rb+down+++=merely
stepped ^vbd+++xvbn+=stepped
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
sunlight ^nn++++=sunlight
and ^cc++++=and
