Disgrace ^np+++??+=Disgrace
're ^vb+ber+vrb++0=EXTRAWORD
poor ^jj+pred+++=poor.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
came ^vbd+++xvbn+=came
to ^to++++=to
run ^vbi++++=run."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
else ^rb+cnj+++=else
can ^md+pos+++=can
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
here ^rn+pl+++=here?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Work."
work ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ted ^np++++=Ted
laughed ^vbd+++xvbn+=laughed
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
without ^in++++=without
amusement ^nn+nom+++=amusement.
. ^zz++++=EXTRAWORD
" ^zz++++="Who'd
who ^whp+who+whq++=EXTRAWORD
'd ^md+prd+aux++0=EXTRAWORD
hire ^nn++++=hire
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
would ^md+prd+++=would."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^cs+sub+++=That
stopped ^vprf+++xvbn+=stopped
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Jo ^np++++=Jo
removed ^vwbn+++xvbn+=removed
his ^pp$+pp3+++=his
spectacles ^nns++++=spectacles.
. ^zz++++=EXTRAWORD
" ^zz++++="Minnie
minnie ^nn+++??+=EXTRAWORD
Wenzel ^np++++=Wenzel's
's ^vbz+bez+aux++0=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
Saturday ^nr++++=Saturday
to ^to++++=to
marry ^vbi++++=marry
Elmer ^np+++??+=Elmer
Trapp ^np+++??+=Trapp.
. ^zz++++=EXTRAWORD
Lord ^npt++++=Lord
knows ^vbz+vprv+++=knows
why ^wrb+who+whcl++=why
either ^dtx++++=either
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++0='em
wants ^vbz++++=wants
the ^ati++++=the
punishment ^nn+nom+++=punishment,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they've
've ^vb+hv+aux++0=EXTRAWORD
applied ^vprf+++xvbnx+=applied
for ^in++++=for
it ^pp3+it+++=it
voluntarily ^rb++++=voluntarily.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
need ^nn++++=need
a ^at++++=a
bookkeeper ^nn++++=bookkeeper."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ted ^np++++=Ted's
's ^$++++=EXTRAWORD
hand ^nn++++=hand
closed ^vbd+++xvbn+=closed
over ^in++++=over
the ^ati++++=the
handle ^nn++++=handle
of ^in++++=of
his ^pp$+pp3+++=his
suitcase ^nn++++=suitcase.
. ^zz++++=EXTRAWORD
" ^zz++++="You'd
you ^pp2+pp2+++=EXTRAWORD
'd ^vbd+hvd+aux++0=EXTRAWORD
put ^vprf+++xvbnx+=put
me ^pp1o+pp1+++=me
on ^in++++=on
the ^ati++++=the
books ^nns++++=books?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
said ^vbd+vpub++xvbnx+=said
bookkeeper ^jjr++++=bookkeeper.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
somebody ^pn++++=somebody
to ^to++++=to
eat ^vbi++++=eat
' ^zz++++='em,
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
advertise ^vb++++=advertise
for ^in++++=for
a ^at++++=a
goat ^nn++++=goat."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
they ^pp3a+pp3+++=they'll
'll ^md+prd+++0=EXTRAWORD
say ^vb+vpub+++=say."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jo ^np++++=Jo
waved ^vbd+++xvbn+=waved
toward ^in++++=toward
the ^ati++++=the
lobby ^nn++++=lobby,
, ^zz++++=EXTRAWORD
toward ^in++++=toward
Main ^jjb+atrb+++=Main
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
toward ^in++++=toward
all ^abn++++=all
Bellwether ^np+nom++??+=Bellwether.
. ^zz++++=EXTRAWORD
" ^zz++++="They're
they ^pp3a+pp3+++=EXTRAWORD
're ^vb+ber+aux++0=EXTRAWORD
saying ^vbg+++xvbgx+=saying
it ^pp3+it+++=it
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bixby ^np++++=Bixby's
's ^$++++=EXTRAWORD
probably ^rb++++=probably
got ^vbd+++xvbn+=got
three ^cd++++=three
telephone ^nn++++=telephone
girls ^nns++++=girls
holding ^vwbg+++xvbg+=holding
wires ^nns++++=wires
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
tells ^vbz++++=tells
the ^ati++++=the
Methodist ^jj+atrb+++=Methodist
Ladies ^nns++++=Ladies'
' ^zz++++=EXTRAWORD
Aid ^nn++++=Aid
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
returned ^vprf+++xvbnx+=returned
with ^in++++=with
a ^at++++=a
gang ^nn++++=gang
of ^in++++=of
international ^jj+atrb+++=international
jewel ^nn++++=jewel
thieves ^nns++++=thieves.
. ^zz++++=EXTRAWORD
Staying ^vbg+++xvbg+=Staying
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
start ^vb++++=start
talk ^nn++++=talk.
. ^zz++++=EXTRAWORD
Leaving ^vbg+++xvbg+=Leaving
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
stop ^vb++++=stop
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
stand ^vb++++=stand
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Jo ^np++++=Jo."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
sit ^vb++++=sit
down ^rb+phrv+++=down."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
mean ^jj+atrb+++=mean
people ^nns++++=people
looking ^vwbg+++xvbg+=looking
at ^rb++++=at
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
them ^pp3o+pp3+++0='em
look ^nn++++=look.
. ^zz++++=EXTRAWORD
Most ^ap+emph+++=Most
of ^in++++=of
them ^pp3o+pp3+++0='em
have ^vb+hv+vrb++=have
nothing ^pn++++=nothing
better ^jjr++++=better
to ^to+jcmp+++=to
do ^vbi++++=do,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
rest ^nn++++=rest
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
working ^vbg+++xvbgx+=working."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ted ^np++++=Ted's
's ^$++++=EXTRAWORD
mouth ^nn++++=mouth
moved ^vbd+++xvbn+=moved,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
reply ^nn++++=reply
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
suddenly ^rb++++=suddenly
younger ^jjr++++=younger
and ^cc++++=and
much ^ap++++=much
older ^jjr++++=older
like ^in++++=like
a ^at++++=a
boy ^nn++++=boy
dressed ^vbd+++xvbn+=dressed
in ^in++++=in
his ^pp$+pp3+++=his
father ^nn++++=father's
's ^$++++=EXTRAWORD
weariness ^nns+nom+++=weariness.
. ^zz++++=EXTRAWORD
Jo ^np++++=Jo
lowered ^vbd+++xvbn+=lowered
his ^pp$+pp3+++=his
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
took ^vbd+++xvbn+=took
your ^pp$+pp2+++=your
lickin ^nn+++??+=lickin'.
'. ^nn+++??+=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
not ^xnot++not++=not
enough ^qlp++++=enough
for ^in++++=for
some ^dti++++=some
folks ^nns++++=folks;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they'd
'd ^md+prd+aux++0=EXTRAWORD
enjoy ^vb++++=enjoy
seeing ^jj+++xvbg+=seeing
you ^pp2+pp2+++=you
serve ^vb++++=serve
eternity ^nn+nom+++=eternity
with ^in++++=with
an ^at++++=an
extra ^jj+atrb+++=extra
week ^nn++++=week
for ^in++++=for
good ^jj+atrb+++=good
measure ^nn++++=measure.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
state ^nn++++=state
says ^vbz+vpub+tht0++=says
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
willing ^jj+pred+++=willing
to ^to+jcmp+++=to
take ^vbi++++=take
the ^ati++++=the
state ^nn++++=state's
's ^$++++=EXTRAWORD
word ^nn++++=word
over ^in++++=over
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bixby ^np++++=Bixby's,
's, ^nn+++??+=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
pains ^nns++++=pains
me ^pp1o+pp1+++=me
to ^to++++=to
oppose ^vbi++++=oppose
a ^at++++=a
lady ^nn++++=lady."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
can ^md+pos+++=can."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
why ^wrb+who+++=why
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
telling ^nvbg+++xvbg+=telling
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
who ^whp+who+++=who
know ^vb+vprv+tht0++=know
they ^pp3a+pp3+++=they
can ^md+pos+++=can
do ^vb+do+vrb++=do
a ^at++++=a
thing ^nn++++=thing
generally ^rb+down+++=generally
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
need ^vb++++=need
advice ^nn++++=advice."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
office ^nn++++=office
door ^nn++++=door
opened ^vbd+++xvbn+=opened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Birdie ^np+++??+=Birdie
Callahan ^np+nom++??+=Callahan
came ^vbd+++xvbn+=came
through ^in++++=through
carrying ^xvbg+++xvbg+=carrying
six ^cd++++=six
cups ^nns++++=cups
and ^cc++++=and
eight ^cd++++=eight
saucers ^nns+nom+++=saucers
on ^in++++=on
a ^at++++=a
tray ^nn++++=tray.
. ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
always ^rb++++=always
carried ^vbd+++xvbn+=carried
more ^ql++++=more
saucers ^nns+nom+++=saucers
than ^in++++=than
cups ^nns++++=cups.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
she ^pp3a+pp3+++=she
expected ^vbd+vprv++xvbnx+=expected
reinforcements ^nns+nom+++=reinforcements.
. ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
was ^vbd+bedz+vrb++=was
head ^jjb+atrb+++=head
waitress ^nns+nom+++=waitress
at ^in++++=at
the ^ati++++=the
Haley ^np+++??+=Haley
House ^nn++++=House.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
red ^jj+atrb+++=red
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
iron ^nn++++=iron-gray
- ^zz++++=EXTRAWORD
gray ^np++++=EXTRAWORD
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
square ^nn++++=square
capable ^jj+atrb+++=capable
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
face ^nn++++=face
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
considered ^vpbn+vprv++xvbn+=considered
feature ^nn++++=feature
by ^in++++=by
feature ^nn++++=feature,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
like ^in++++=like
a ^at++++=a
huge ^jj+atrb+++=huge
mistake ^nn++++=mistake.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
nose ^nn++++=nose
had ^vb+hv+vrb++=had
enthusiasm ^nn++++=enthusiasm
but ^cc++++=but
no ^at++++=no
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
mouth ^nn++++=mouth
was ^vbd+bedz+vrb++=was
too ^ql++++=too
wide ^jj++++=wide.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
freckles ^vbz+++??+=freckles
had ^vbd+hvd+aux++=had
organized ^vprf+++xvbnx+=organized
beyond ^in++++=beyond
all ^abn++++=all
control ^nn++++=control.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
she ^pp3a+pp3+++=she
walked ^vbd+++xvbnx+=walked
like ^in++++=like
a ^at++++=a
panther ^jjr++++=panther
and ^cc++++=and
could ^md+pos+++=could
make ^vb++++=make
a ^at++++=a
dining ^jj+atrb++xvbg+=dining
room ^nn++++=room
full ^jj++++=full
of ^in++++=of
commercial ^jj+atrb+++=commercial
travelers ^nns+nom+++=travelers
obey ^vb++++=obey
her ^pp$+pp3+++=her
by ^in++++=by
lifting ^xvbg+++xvbg+=lifting
one ^cd1++++=one
eyebrow ^nn++++=eyebrow.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
saw ^vbd+vprv++xvbnx+=saw
Ted ^np++++=Ted.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tray ^nn++++=tray
tilted ^vbd+++xvbn+=tilted.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
cup ^nn++++=cup
jumped ^vbd+++xvbn+=jumped,
, ^zz++++=EXTRAWORD
thought ^j+++xvbn+=thought
better ^jjr++++=better
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
remained ^vbd+++xvbn+=remained.
. ^zz++++=EXTRAWORD
" ^zz++++="Saints
saints ^nns++++=EXTRAWORD
above ^jjb++++=above,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
Mister ^npt++++=Mister
Terrill ^np+++??+=Terrill."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ted ^np++++=Ted
flushed ^vbd+++xvbn+=flushed.
. ^zz++++=EXTRAWORD
" ^zz++++="Hello,
hello ^rb+dspt+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
set ^vbd+++xvbnx+=set
down ^rb+phrv+++=down
the ^ati++++=the
tray ^nn++++=tray
and ^cc++++=and
wiped ^vbd+++xvbn+=wiped
her ^pp$+pp3+++=her
hands ^nns++++=hands
on ^rp++++=on
her ^pp3o+pp3+++=her
apron ^nn++++=apron,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
clean ^jj+pred+++=clean.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
ye ^pp2+pp2+++=ye
look ^vb++++=look
at ^rb++++=at
him ^pp3o+pp3+++=him!
! ^zz++++=EXTRAWORD
Thin ^jj++++=Thin
as ^in++++=as
a ^at++++=a
hotel ^nn++++=hotel
blanket ^nn++++=blanket
and ^cc++++=and
twice ^rb++++=twice
as ^in++++=as
gloomy ^nn++++=gloomy.
. ^zz++++=EXTRAWORD
Have ^vb+hv+vrb++=Have
they ^pp3a+pp3+++=they
no ^at++++=no
vittles ^nns++++=vittles
in ^cs+sub+++=in
that ^cs"++++=that
place ^nn++++=place,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
did ^vbd+dod+vrb++=did
ye ^pp2+pp2+++=ye
insult ^nn++++=insult
the ^ati++++=the
cook ^nn++++=cook?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jo ^np++++=Jo
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
leaving ^vbg+++xvbgx+=leaving
on ^in++++=on
the ^ati++++=the
night ^nn++++=night
train ^nn++++=train."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
turned ^vbd+++xvbn+=turned
upon ^in++++=upon
Ted ^np++++=Ted.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
I ^pp1a+pp1+++=I
would ^md+prd+++=would."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="West,"
west ^np+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jo ^np++++=Jo
explained ^vbd+vpub++xvbn+=explained.
. ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
got ^vpsv++agls+xvbnx+=got
a ^at++++=a
position ^nn+nom+++=position
waiting ^vwbg+++xvbg+=waiting
in ^in++++=in
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
Know ^vb+vprv+++=Know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
sniffed ^vbd+++xvbn+=sniffed.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
fine ^jj+atrb+++=fine
position ^nn+nom+++=position.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+aux++=be
promoted ^vpsv++agls+xvbnx+=promoted
to ^in++++=to
Nowhere ^rb+pl+++=Nowhere
in ^in++++=in
six ^cd++++=six
months ^nns++++=months."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ted ^np++++=Ted
looked ^vbd+++xvbn+=looked
from ^in++++=from
one ^pn++++=one
to ^in++++=to
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
" ^zz++++="Jo
jo ^np++++=EXTRAWORD
offered ^vbd+++xvbn+=offered
me ^pp1o+pp1+++=me
the ^ati++++=the
bookkeeping ^jj+atrb++xvbg+=bookkeeping
job ^nn++++=job."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+vrb++=EXTRAWORD
he ^pp3a+pp3+++=he?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
sense ^nn++++=sense
in ^in++++=in
him ^pp3o+pp3+++=him
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it's
's ^vbz+bez+aux++0=EXTRAWORD
hid ^vpsv++agls+xvbnx+=hid
like ^in++++=like
a ^at++++=a
flea ^nn++++=flea
in ^in++++=in
a ^at++++=a
carpet ^nn++++=carpet."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
" ^zz++++="
" ^zz++++="Can't
can ^md+pos+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
add ^vb+vpub+++=add?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
add ^vb+vpub+++=add."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Can't
can ^md+pos+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
write ^vb++++=write?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
I ^pp1a+pp1+++=I
can ^md+pos+++=can."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
chairs ^nns++++=chairs,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe.
. ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
ye ^pp2+pp2+++=ye
afraid ^jj+atrb+++=afraid
av ^nn++++=av
chairs ^nns++++=chairs?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Birdie
birdie ^nn+++??+=EXTRAWORD
" ^zz++++="
" ^zz++++="Or
or ^cc++++=EXTRAWORD
the ^ati++++=the
ink ^nn++++=ink?
? ^zz++++=EXTRAWORD
Black ^jj+atrb+++=Black
ink ^nn++++=ink
is ^vbz+bez+vrb++=is
fierce ^jj+atrb+++=fierce
stuff ^nn++++=stuff.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
seen ^vbd+vprv++xvbnx+=seen
a ^at++++=a
bottle ^nn++++=bottle
av ^nn++++=av
it ^pp3+it+++=it
chase ^vb++++=chase
Minnie ^np+++??+=Minnie
Wenzel ^np+++??+=Wenzel
clear ^jj++++=clear
across ^in+pl+++=across
the ^ati++++=the
office ^nn++++=office
yesterday ^nr+tm+++=yesterday."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jo ^np++++=Jo
put ^vbd+++xvbn+=put
a ^at++++=a
registration ^nn+nom+++=registration
card ^nn++++=card
before ^cs+sub+++=before
Ted ^np++++=Ted
and ^cc++++=and
pushed ^vbd+++xvbn+=pushed
a ^at++++=a
pen ^nn++++=pen
across ^in+pl+++=across
the ^ati++++=the
desk ^nn++++=desk.
. ^zz++++=EXTRAWORD
" ^zz++++="Sign."
sign ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
moments ^nns+nom+++=moments
when ^wrb+who+++=when
destiny ^nn++++=destiny
enters ^vbz++++=enters
with ^in++++=with
trumpets ^nns++++=trumpets.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
A ^at++++=A
radiator ^nn++++=radiator
clanked ^vbd+++xvbn+=clanked,
, ^zz++++=EXTRAWORD
a ^at++++=a
fly ^nn++++=fly
fell ^vbd+++xvbn+=fell
into ^in+ppvb+++=into
the ^ati++++=the
inkwell ^nn+++??+=inkwell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
somebody ^pn++++=somebody
in ^in++++=in
the ^ati++++=the
dining ^jj+atrb++xvbg+=dining
room ^nn++++=room
shouted ^vbd+vpub++xvbn+=shouted
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
gravy ^nn++++=gravy
had ^vb+hv+vrb++=had
a ^at++++=a
thumbprint ^nn++++=thumbprint.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
Ted ^np++++=Ted
signed ^vbd+++xvbn+=signed.
. ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
seized ^vbd+++xvbn+=seized
his ^pp$+pp3+++=his
suitcase ^nn++++=suitcase.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
show ^vb++++=show
him ^pp3o+pp3+++=him
to ^to++++=to
seventeen ^cd++++=seventeen."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do
nothing ^pn++++=nothing,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jo ^np++++=Jo.
. ^zz++++=EXTRAWORD
" ^zz++++="Get
get ^vb++++=EXTRAWORD
Parker ^np++++=Parker
his ^pp$+pp3+++=his
gravy ^nn++++=gravy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
Parker ^np++++=Parker
lick ^vb++++=lick
the ^ati++++=the
thumbprint ^nn++++=thumbprint.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
may ^md+pos+++=may
be ^vb+be+vrb++=be
the ^ati++++=the
nearest ^jjt++++=nearest
he ^pp3a+pp3+++=he
comes ^vbz++++=comes
to ^in++++=to
affection ^nn+nom+++=affection."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
carried ^vbd+++xvbnx+=carried
the ^ati++++=the
suitcase ^nn++++=suitcase
upstairs ^jjb++++=upstairs.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
how ^wrb+who+++=how
Ted ^np++++=Ted
Terrill ^np+++??+=Terrill
remained ^vbd+++xvbn+=remained
in ^in++++=in
Bellwether ^np+nom++??+=Bellwether.
. ^zz++++=EXTRAWORD
The ^ati++++=The
town ^nn++++=town
did ^vbd+dod+aux++=did
not ^xnot++not++=not
approve ^vb++++=approve.
. ^zz++++=EXTRAWORD
Towns ^nns++++=Towns
rarely ^rb++++=rarely
approve ^vb++++=approve
of ^in++++=of
anything ^pn++++=anything
until ^cs+sub+++=until
it ^pp3+it+++=it
succeeds ^vbz++++=succeeds,
, ^zz++++=EXTRAWORD
whereupon ^cs+sub+++=whereupon
they ^pp3a+pp3+++=they
claim ^vb++++=claim
to ^to+vcmp+++=to
