# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Bibine ^np++++=Bibine's
required ^vbd+++xvbn+=required
him ^pp3o+pp3+++=him
to ^to++++=to
be ^vbi++vrb++=be
angry ^jj+pred+++=angry.
. ^zz++++=EXTRAWORD
Tontine ^np+++??+=Tontine,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
worked ^vbd+++xvbn+=worked
equally ^rb++++=equally
hard ^jj++++=hard,
, ^zz++++=EXTRAWORD
considered ^vpbn+vprv++xvbn+=considered
anger ^nn++++=anger
the ^ati++++=the
proper ^jj+atrb+++=proper
grease ^nn++++=grease
of ^in++++=of
industry ^nn++++=industry.
. ^zz++++=EXTRAWORD
On ^in++++=On
Sundays ^nrs++++=Sundays
she ^pp3a+pp3+++=she
instructed ^vbd+++xvbnx+=instructed
Loka ^np+++??+=Loka
in ^in++++=in
religion ^nn++++=religion.
. ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl
learned ^vbd+vprv++xvbn+=learned
slowly ^rb++++=slowly.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
confused ^vbd+++xvbnx+=confused
the ^ati++++=the
commandments ^nns+nom+++=commandments,
, ^zz++++=EXTRAWORD
forgot ^j+++xvbn+=forgot
the ^ati++++=the
saints ^nns++++=saints,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stared ^vbd+++xvbn+=stared
out ^rp+pl+++=out
the ^ati++++=the
window ^nn++++=window
during ^in++++=during
the ^ati++++=the
account ^nn++++=account
of ^in++++=of
the ^ati++++=the
Flood ^nn++++=Flood.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
hear ^vb+vprv+++=hear
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
madame ^npt++++=madame."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka
looked ^vbd+++xvbn+=looked
at ^rb++++=at
Bibine ^np+++??+=Bibine,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
fit ^vbi++++=fit
his ^pp$+pp3+++=his
foot ^nn++++=foot
into ^in++++=into
a ^at++++=a
tin ^nn++++=tin
cup ^nn++++=cup.
. ^zz++++=EXTRAWORD
" ^zz++++="God
god ^np++++=EXTRAWORD
send ^vb++++=send
rain ^nn++++=rain."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
wickedness ^nns+nom+++=wickedness!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
madame ^npt++++=madame."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Remember
remember ^nn+nom+++=EXTRAWORD
that ^tht+vcmp+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc+cls+++=But
what ^wdt+who+++=what
Loka ^np+++??+=Loka
remembered ^vwbn+vprv++xvbn+=remembered
was ^vbd+bedz+vrb++=was
rain ^nn++++=rain
on ^in++++=on
palmetto ^nn++++=palmetto
leaves ^nns++++=leaves.
. ^zz++++=EXTRAWORD
Rain ^nn++++=Rain
swelling ^nn+nom+++=swelling
the ^ati++++=the
bayou ^nn+++??+=bayou
until ^cs+sub+++=until
it ^pp3+it+++=it
lifted ^vbd+++xvbn+=lifted
old ^jj+atrb+++=old
logs ^nns++++=logs
and ^cc++++=and
turned ^vbd+++xvbn+=turned
the ^ati++++=the
paths ^nns++++=paths
to ^to++++=to
shining ^vbi++++=shining
black ^jj+atrb+++=black
ribbons ^nns++++=ribbons.
. ^zz++++=EXTRAWORD
Rain ^nn++++=Rain
drumming ^vwbg+++xvbg+=drumming
on ^in++++=on
the ^ati++++=the
abandoned ^jj+atrb++xvbn+=abandoned
sugar ^nn++++=sugar
shed ^vbd+++xvbn+=shed
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
slept ^vprf+++xvbnx+=slept
alone ^rb++++=alone
and ^cc++++=and
unafraid ^jj++++=unafraid,
, ^zz++++=EXTRAWORD
wrapped ^j+++xvbn+=wrapped
in ^in++++=in
moss ^np++++=moss
and ^cc++++=and
burlap ^nn+++??+=burlap.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
her ^pp$+pp3+++=her
then ^rn+tm+++=then
that ^dt+dem+++=that
rain ^nn++++=rain
was ^vbd+bedz+vrb++=was
punishment ^nn+nom+++=punishment.
. ^zz++++=EXTRAWORD
Summer ^nn++++=Summer
entered ^vbd+++xvbn+=entered
the ^ati++++=the
parish ^nn++++=parish
with ^in++++=with
a ^at++++=a
white ^jj+atrb+++=white
sky ^nn++++=sky
and ^cc++++=and
a ^at++++=a
noise ^nn++++=noise
of ^in++++=of
insects ^nns++++=insects.
. ^zz++++=EXTRAWORD
Heat ^nn++++=Heat
pressed ^vbd+++xvbn+=pressed
upon ^in++++=upon
the ^ati++++=the
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
The ^ati++++=The
garden ^nn++++=garden
drooped ^vbd+++xvbn+=drooped.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
Tontine ^np++++=Tontine's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
travel ^vbi++++=travel
more ^rbr++++=more
slowly ^rb++++=slowly
through ^in++++=through
the ^ati++++=the
thick ^jj+atrb+++=thick
afternoons ^nns++++=afternoons.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
morning ^nn++++=morning
a ^at++++=a
neighbor ^nn++++=neighbor
came ^vbd+++xvbn+=came
running ^nvbg+++xvbg+=running
to ^to++++=to
say ^vbi+vpub+++=say
that ^tht+vcmp+++=that
old ^jj+atrb+++=old
M ^zz++++=M
re ^in++++=re
Chavan ^np+++??+=Chavan
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
ill ^jj++++=ill.
. ^zz++++=EXTRAWORD
Tontine ^np+++??+=Tontine
packed ^vbd+++xvbn+=packed
broth ^nn++++=broth
and ^cc++++=and
linen ^nn++++=linen,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
Loka ^np+++??+=Loka
a ^at++++=a
dozen ^cd++++=dozen
instructions ^nns+nom+++=instructions
concerning ^in++++=concerning
Bibine ^np+++??+=Bibine,
, ^zz++++=EXTRAWORD
repeated ^j+++xvbn+=repeated
every ^at++++=every
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
set ^vpsv++agls+xvbn+=set
off ^rb+phrv+++=off
down ^rp++++=down
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
keep ^vb++++=keep
him ^pp3o+pp3+++=him
inside ^jjb++++=inside.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
give ^vb++++=give
his ^pp$+pp3+++=his
milk ^nn++++=milk
at ^in++++=at
eleven ^cd++++=eleven.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
him ^pp3o+pp3+++=him
by ^in++++=by
the ^ati++++=the
stove ^nn++++=stove.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
hear ^vb+vprv+++=hear?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
madame ^npt++++=madame."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
no ^at++++=no
foolishness ^nns+nom+++=foolishness."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
madame ^npt++++=madame."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Baptiste ^np+++??+=Baptiste
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
to ^in++++=to
the ^ati++++=the
far ^rb+pl+++=far
field ^nn++++=field.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hired ^jj+atrb++xvbn+=hired
boy ^nn++++=boy
was ^vbd+bedz+vrb++=was
hauling ^nn+nom+++=hauling
cane ^nn++++=cane.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
since ^cs+sub+++=since
coming ^vbg+++xvbg+=coming
to ^in++++=to
the ^ati++++=the
Padues ^np+++??+=Padues,
, ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka
was ^vbd+bedz+vrb++=was
alone ^rb++++=alone
in ^in++++=in
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
completed ^vbd+++xvbnx+=completed
her ^pp3o+pp3+++=her
work ^nn++++=work.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
rinsed ^vbd+++xvbnx+=rinsed
the ^ati++++=the
breakfast ^nn++++=breakfast
bowls ^nns++++=bowls
and ^cc++++=and
set ^nn+++xvbn+=set
them ^pp3o+pp3+++=them
upside ^nn++++=upside
down ^in+strn+++=down.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
swept ^vbd+++xvbnx+=swept
the ^ati++++=the
crumbs ^nns++++=crumbs
from ^in++++=from
beneath ^in+pl+++=beneath
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
folded ^vbd+++xvbnx+=folded
the ^ati++++=the
washing ^nvbg+++xvbg+=washing.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
fed ^vbd+++xvbnx+=fed
Bibine ^np+++??+=Bibine
his ^pp$+pp3+++=his
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
wiped ^j+++xvbn+=wiped
his ^pp$+pp3+++=his
chin ^nn++++=chin,
, ^zz++++=EXTRAWORD
changed ^j+++xvbn+=changed
his ^pp$+pp3+++=his
diaper ^nn++++=diaper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laid ^vbd+++xvbn+=laid
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
cradle ^nn++++=cradle.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
moved ^vbd+++xvbnx+=moved
without ^in++++=without
haste ^nn++++=haste,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
nothing ^pn++++=nothing
was ^vbd+bedz+aux++=was
forgotten ^vpsv++agls+xvbnx+=forgotten.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
work ^nn++++=work
left ^vbd+++xvbn+=left.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clock ^nn++++=clock
ticked ^vbd+++xvbn+=ticked.
. ^zz++++=EXTRAWORD
A ^at++++=A
fly ^nn++++=fly
worried ^vbd+vprv++xvbn+=worried
the ^ati++++=the
window ^nn++++=window
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
Bibine ^np+++??+=Bibine
slept ^vbd+++xvbn+=slept
with ^in++++=with
one ^cd1++++=one
fist ^nn++++=fist
open ^nn++++=open
beside ^in+pl+++=beside
his ^pp$+pp3+++=his
ear ^nn++++=ear.
. ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka
stood ^vbd+++xvbn+=stood
at ^rb++++=at
the ^ati++++=the
back ^jjb+atrb+++=back
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
the ^ati++++=the
yard ^nn++++=yard
lay ^vbd+++xvbn+=lay
the ^ati++++=the
kitchen ^nn++++=kitchen
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fence ^nn++++=fence,
, ^zz++++=EXTRAWORD
a ^at++++=a
field ^nn++++=field
burned ^vbd+++xvbn+=burned
pale ^nn++++=pale
by ^in++++=by
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beyond ^in++++=beyond
that ^dt+dem+++=that
the ^ati++++=the
woods ^nns++++=woods.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
the ^ati++++=the
woods ^nns++++=woods
of ^in++++=of
Bayou ^np+++??+=Bayou
Choctaw ^np+++??+=Choctaw,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
distance ^nn+nom+++=distance
softened ^vbd+++xvbn+=softened
the ^ati++++=the
difference ^nn+nom+++=difference.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cypresses ^nns+nom++??+=cypresses
rose ^vbd+++xvbn+=rose
dark ^jj++++=dark
and ^cc+phrs+++=and
cool ^jj++++=cool.
. ^zz++++=EXTRAWORD
Trumpet ^nn++++=Trumpet-vine
- ^zz++++=EXTRAWORD
vine ^nn++++=EXTRAWORD
burned ^vbd+++xvbn+=burned
among ^in++++=among
the ^ati++++=the
branches ^nns++++=branches.
. ^zz++++=EXTRAWORD
Somewhere ^rb++++=Somewhere
beneath ^in+pl+++=beneath
that ^dt+dem+++=that
green ^nn++++=green
roof ^nn++++=roof
there ^ex+pex+++=there
would ^md+prd+++=would
be ^vb+be+vrb++=be
damp ^nn++++=damp
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
sassafras ^nns+++??+=sassafras,
, ^zz++++=EXTRAWORD
pennyroyal ^jj++++=pennyroyal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
camomile ^jj+++??+=camomile
bruised ^jj+++xvbn+=bruised
sweet ^jj++++=sweet
beneath ^in+pl+++=beneath
the ^ati++++=the
foot ^nn++++=foot.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
would ^md+prd+++=would
be ^vb+be+vrb++=be
springy ^jj+atrb+++=springy
turf ^nn++++=turf
by ^in++++=by
the ^ati++++=the
water ^nn++++=water
and ^cc++++=and
old ^jj+atrb+++=old
trees ^nns++++=trees
hollow ^vb++++=hollow
enough ^qlp++++=enough
to ^to++++=to
hide ^vbi++++=hide
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
would ^md+prd+++=would
be ^vb+be+vrb++=be
turtles ^nns++++=turtles
sliding ^vwbg+++xvbg+=sliding
from ^in++++=from
logs ^nns++++=logs,
, ^zz++++=EXTRAWORD
lizards ^nns++++=lizards
flickering ^jj++++=flickering
over ^in++++=over
bark ^nn++++=bark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
birds ^nns++++=birds
calling ^vwbg+++xvbg+=calling
names ^nns++++=names
no ^at++++=no
catechism ^nn+nom+++=catechism
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
taught ^vprf+++xvbnx+=taught
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woods ^nns++++=woods
breathed ^vbd+++xvbn+=breathed
toward ^in++++=toward
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
to ^to++++=to
go ^vbi++++=go
barefoot ^jj++++=barefoot
where ^wrb+who+++=where
the ^ati++++=the
moss ^np++++=moss
drank ^vbd+++xvbn+=drank
the ^ati++++=the
heat ^nn++++=heat!
! ^zz++++=EXTRAWORD
To ^to++++=To
feel ^vbi+vprv+++=feel
mud ^nn++++=mud
close ^jj++++=close
cool ^vb++++=cool
between ^in++++=between
the ^ati++++=the
toes ^nns++++=toes!
! ^zz++++=EXTRAWORD
To ^to++++=To
walk ^vbi++++=walk
without ^in++++=without
a ^at++++=a
voice ^nn++++=voice
behind ^rp+pl+++=behind
her ^pp3o+pp3+++=her
Loka ^np+++??+=Loka,
, ^zz++++=EXTRAWORD
fetch ^vb++++=fetch;
; ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka,
, ^zz++++=EXTRAWORD
scrub ^nn++++=scrub;
; ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka,
, ^zz++++=EXTRAWORD
quicker ^jjr++++=quicker
now ^rn+tm+++=now!
! ^zz++++=EXTRAWORD
To ^to++++=To
lie ^vbi++++=lie
beneath ^in+pl+++=beneath
a ^at++++=a
sycamore ^nn+++??+=sycamore
and ^cc++++=and
watch ^vb++++=watch
the ^ati++++=the
leaves ^nns++++=leaves
turn ^nn++++=turn
their ^pp$+pp3+++=their
silver ^nn++++=silver
sides ^nns++++=sides
to ^in++++=to
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
To ^to++++=To
sleep ^vbi++++=sleep
when ^wrb+who+++=when
sleep ^nn++++=sleep
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
To ^to++++=To
wake ^vbi++++=wake
at ^in++++=at
the ^ati++++=the
owls ^nns++++=owls.
. ^zz++++=EXTRAWORD
To ^to++++=To
eat ^vbi++++=eat
berries ^nns++++=berries
from ^in++++=from
her ^pp$+pp3+++=her
palm ^np++++=palm
and ^cc++++=and
steal ^vb++++=steal
no ^at++++=no
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
bread ^nn++++=bread.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
had ^vb+hv+vrb++=had
she ^pp3a+pp3+++=she
remained ^vbd+++xvbnx+=remained?
? ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
bed ^nn++++=bed?
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
slept ^vprf+++xvbnx+=slept
soundly ^rb++++=soundly
on ^in++++=on
pine ^nn++++=pine
needles ^nps++++=needles.
. ^zz++++=EXTRAWORD
For ^in++++=For
food ^nn++++=food?
? ^zz++++=EXTRAWORD
The ^ati++++=The
bayou ^nn+++??+=bayou
gave ^vbd+++xvbn+=gave
fish ^nn++++=fish,
, ^zz++++=EXTRAWORD
crawfish ^jj++++=crawfish,
, ^zz++++=EXTRAWORD
pecans ^nn++++=pecans,
, ^zz++++=EXTRAWORD
roots ^nns++++=roots.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
the ^ati++++=the
ladies ^nns++++=ladies
had ^vbd+hvd+aux++=had
written ^vprf+++xvbnx+=written
her ^pp$+pp3+++=her
name ^nn++++=name
in ^in++++=in
a ^at++++=a
book ^nn++++=book?
? ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
ink ^nn++++=ink
could ^md+pos+++=could
not ^xnot++not++=not
hold ^vb+vprv+++=hold
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
went ^vbd+++xvbnx+=went
to ^in++++=to
the ^ati++++=the
corner ^nn++++=corner
where ^wrb+who+++=where
her ^pp$+pp3+++=her
few ^ap++++=few
belongings ^nns++++=belongings
were ^vbd+bed+aux++=were
kept ^vpsv++agls+xvbnx+=kept.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
dress ^nn++++=dress.
. ^zz++++=EXTRAWORD
A ^at++++=A
comb ^nn++++=comb
missing ^vwbg+++xvbg+=missing
half ^abn++++=half
its ^pp$+it+++=its
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
A ^at++++=A
red ^jj+atrb+++=red
handkerchief ^nn++++=handkerchief
Baptiste ^np+++??+=Baptiste
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
tied ^vbd+++xvbnx+=tied
them ^pp3o+pp3+++=them
into ^in++++=into
a ^at++++=a
bundle ^nn++++=bundle.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+aux++=was
no ^at++++=no
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
return ^vb++++=return
to ^in++++=to
Bayou ^np+++??+=Bayou
Choctaw ^np+++??+=Choctaw.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
go ^vb++++=go
north ^np+pl+++=north,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
no ^at++++=no
uncle ^nn++++=uncle
knew ^vbd+vprv+tht0+xvbn+=knew
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
follow ^vb+vprv+++=follow
the ^ati++++=the
creek ^npl++++=creek
until ^cs+sub+++=until
it ^pp3+it+++=it
met ^vbd+++xvbn+=met
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
find ^vb+vprv+++=find
people ^nns++++=people
who ^whp+rel+subj++=who
asked ^vbd+vsua++xvbn+=asked
no ^at++++=no
questions ^nns+nom+++=questions,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
find ^vb+vprv+++=find
no ^at++++=no
people ^nns++++=people
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lifted ^vbd+++xvbnx+=lifted
the ^ati++++=the
latch ^nn++++=latch.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
sound ^jj++++=sound
that ^dt+dem+++=that
stopped ^jj+++xvbn+=stopped
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Bibine ^np+++??+=Bibine
had ^vbd+hvd+aux++=had
awakened ^vprf+++xvbnx+=awakened.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stood ^vbd+++xvbnx+=stood
in ^in++++=in
the ^ati++++=the
cradle ^nn++++=cradle,
, ^zz++++=EXTRAWORD
gripping ^vbg+++xvbg+=gripping
its ^pp$+it+++=its
rail ^nn++++=rail,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
face ^nn++++=face
flushed ^vbd+++xvbn+=flushed
from ^in++++=from
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
" ^zz++++="Lo,"
lo ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka
did ^vbd+dod+aux++=did
not ^xnot++not++=not
move ^vb++++=move.
. ^zz++++=EXTRAWORD
" ^zz++++="Lo!"
lo ^np++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
smiled ^vbd+++xvbnx+=smiled,
, ^zz++++=EXTRAWORD
certain ^jj++++=certain
that ^tht+jcmp+++=that
she ^pp3a+pp3+++=she
belonged ^vbd+++xvbnx+=belonged
wherever ^nn+nom+++=wherever
he ^pp3a+pp3+++=he
happened ^vbd+++xvbnx+=happened
to ^to+vcmp+++=to
be ^vbi++vrb++=be.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
crossed ^vbd+++xvbnx+=crossed
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
lifted ^jj+++xvbn+=lifted
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
smelled ^vbd+++xvbnx+=smelled
of ^in++++=of
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
warm ^jj+atrb+++=warm
cotton ^np++++=cotton,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
arms ^nns++++=arms
closed ^vbd+++xvbn+=closed
around ^rp++++=around
her ^pp3o+pp3+++=her
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
instant ^nn+nom+++=instant
she ^pp3a+pp3+++=she
held ^vbd+vprv++xvbnx+=held
him ^pp3o+pp3+++=him
fiercely ^rb+cnj+++=fiercely,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
angrily ^rb++++=angrily.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
got ^vbd+++xvbnx+=got
to ^to+vcmp+++=to
go ^vbi++++=go,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
Bibine ^np+++??+=Bibine
patted ^vbd+++xvbn+=patted
her ^pp$+pp3+++=her
cheek ^nn++++=cheek.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
stay ^vb++++=stay
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
Maman ^np+++??+=Maman
come ^vb++++=come."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Lo,"
lo ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
repeated ^vbd+++xvbnx+=repeated.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
set ^vbd+++xvbnx+=set
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
cradle ^nn++++=cradle.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
began ^vbd+++xvbnx+=began
to ^to++++=to
cry ^vbi++++=cry.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
loudly ^rb++++=loudly
at ^rb++++=at
first ^rb"++++=first.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
watched ^vbd+++xvbnx+=watched
her ^pp$+pp3+++=her
with ^in++++=with
bewilderment ^nn+nom+++=bewilderment,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
waiting ^nvbg+++xvbg+=waiting
for ^in++++=for
the ^ati++++=the
familiar ^jj+atrb+++=familiar
game ^nn++++=game
in ^in++++=in
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
vanished ^vbd+++xvbnx+=vanished
behind ^in+pl+++=behind
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
returned ^vbd+++xvbn+=returned
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
return ^vb++++=return,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
cry ^vb++++=cry
sharpened ^vwbn+++xvbn+=sharpened.
. ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka
stood ^vbd+++xvbn+=stood
outside ^jjb++++=outside
with ^in++++=with
her ^pp$+pp3+++=her
bundle ^nn++++=bundle.
. ^zz++++=EXTRAWORD
