**san ^jj+atrb+++=**SAN
Francisco ^np++++=FRANCISCO,
Nobody ^pn++++=Nobody
knew ^vbd+vprv++xvbn+=knew
precisely ^rb++++=precisely
to ^to++++=to
whom ^whp+wpor+++=whom
he ^pp3a+pp3+++=he
belonged ^vbd+++xvbnx+=belonged.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
slept ^vbd+++xvbnx+=slept
anywhere ^rb+cnj+++=anywhere,
, ^zz++++=EXTRAWORD
ate ^j+++xvbn+=ate
when ^wrb+who+++=when
opportunity ^nn+nom+++=opportunity
and ^cc++++=and
I ^pp1a+pp1+++=I
agreed ^vbd+vpub++xvbnx+=agreed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
followed ^vbd+vprv++xvbn+=followed
me ^pp1o+pp1+++=me
with ^in++++=with
the ^ati++++=the
fidelity ^nn+nom+++=fidelity
of ^in++++=of
a ^at++++=a
dog ^nn++++=dog
and ^cc++++=and
the ^ati++++=the
temper ^nn++++=temper
of ^in++++=of
a ^at++++=a
wildcat ^nn+++??+=wildcat.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Father ^npt++++=Father
struck ^vbd+++xvbn+=struck
the ^ati++++=the
Comet ^nn++++=Comet
Ledge ^nn++++=Ledge
and ^cc++++=and
sent ^vbd+++xvbn+=sent
us ^pp1o+pp1+++=us
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
Dumps ^np+++??+=Dumps
disappeared ^vbd+seem++xvbn+=disappeared.
. ^zz++++=EXTRAWORD
Years ^nns++++=Years
afterward ^rb++++=afterward
we ^pp1a+pp1+++=we
heard ^vbd+vprv++xvbn+=heard
that ^tht+vcmp+++=that
road ^npl++++=road
agents ^nns++++=agents
had ^vbd+hvd+aux++=had
killed ^vprf+++xvbnx+=killed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack
said ^vbd+vpub++xvbn+=said
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
boy ^nn++++=boy's
's ^$++++=EXTRAWORD
cap ^nn++++=cap
found ^vbd+vprv++xvbn+=found
near ^in+pl+++=near
the ^ati++++=the
trail ^nn++++=trail.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
do ^vb+do+vrb++=do
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you
this ^dt+pdem+++=this?
? ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Barritz ^np++++=Barritz's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
sometimes ^rb++++=sometimes
gives ^vbz++++=gives
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
absurd ^jj+atrb+++=absurd
sensation ^nn+nom+++=sensation
of ^in++++=of
a ^at++++=a
hand ^nn++++=hand
reaching ^vwbg+++xvbg+=reaching
through ^in++++=through
years ^nns++++=years
of ^in++++=of
red ^jj+atrb+++=red
dust ^nn++++=dust.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There!
! ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
you ^pp2+pp2+++=you
will ^md+prd+++=will
say ^vb+vpub+tht0++=say
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
bewitched ^vpsv++agls+xvbnx+=bewitched.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
not ^xnot++not++=not
bewitched ^vbd+++xvbn+=bewitched.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
merely ^rb+down+++=merely
uneasy ^jj+pred+++=uneasy.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
write ^vb++++=write
that ^tht+vcmp+++=that
nickname ^nn++++=nickname
on ^in++++=on
a ^at++++=a
postcard ^nn++++=postcard
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
cross ^vb++++=cross
the ^ati++++=the
continent ^nn++++=continent
and ^cc++++=and
destroy ^vb++++=destroy
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
**m ^nn+++??+=**M.
. ^zz++++=EXTRAWORD
J ^zz++++=J.
. ^zz++++=EXTRAWORD
D.** ^np+++??+=D.**
**april ^nn+++??+=**April
12.** ^cd++++=12.**
Beloved ^jj+atrb+++=Beloved
Fiend ^nn++++=Fiend:
: ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
called ^vbd+++xvbnx+=called.
. ^zz++++=EXTRAWORD
At ^rb++++=At
four ^cd++++=four
o'clock ^rb++++=o'clock
precisely ^rb++++=precisely
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Barritz ^np++++=Barritz
entered ^vbd+++xvbn+=entered
my ^pp$+pp1+++=my
drawing ^nvbg+++xvbg+=drawing-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
four ^cd++++=four
minutes ^nns++++=minutes
after ^cs+sub+++=after
four ^cd++++=four
I ^pp1a+pp1+++=I
forgot ^vbd+vprv+tht0+xvbnx+=forgot
everything ^pn++++=everything
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
intended ^vprf+++xvbnx+=intended
to ^to+vcmp+++=to
say ^vbi+vpub+++=say.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
prepared ^vprf+++xvbnx+=prepared
conversation ^nn+nom+++=conversation
on ^in++++=on
India ^np++++=India,
, ^zz++++=EXTRAWORD
psychic ^jj+atrb+++=psychic
force ^nn++++=force,
, ^zz++++=EXTRAWORD
Schopenhauer ^np+nom++??+=Schopenhauer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
probable ^jj++++=probable
future ^jjb++++=future
of ^in++++=of
decorative ^jj+atrb+++=decorative
art ^nn++++=art.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
I ^pp1a+pp1+++=I
actually ^rb+amp+++=actually
said ^vbd+vpub++xvbn+=said
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
find ^vb+vprv+++=find
the ^ati++++=the
fog ^nn++++=fog
damp ^nn++++=damp?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
replied ^vbd+vpub++xvbnx+=replied
that ^tht+vcmp+++=that
fog ^nn++++=fog
was ^vbd+bedz+vrb++=was
generally ^rb+down+++=generally
so ^ql+emph+++=so
regarded ^jj+++xvbn+=regarded.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
smiled ^vbd+++xvbnx+=smiled.
. ^zz++++=EXTRAWORD
Irene ^np++++=Irene,
, ^zz++++=EXTRAWORD
the ^ati++++=the
room ^nn++++=room
brightened ^vbd+++xvbn+=brightened.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
call ^vb++++=call
that ^dt+dem+++=that
an ^at++++=an
optical ^jj+atrb+++=optical
effect ^nn++++=effect;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
always ^rb++++=always
strong ^jj+pred+++=strong
in ^in++++=in
the ^ati++++=the
sciences ^nns+nom+++=sciences
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
could ^md+pos+++=could
be ^vb+be+aux++=be
used ^vpsv++++=used
to ^in++++=to
insult ^nn++++=insult
your ^pp$+pp2+++=your
friends ^nns++++=friends.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
spoke ^vbd+++xvbn+=spoke
of ^in++++=of
travel ^nn++++=travel.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+aux++=has
crossed ^vprf+++xvbnx+=crossed
deserts ^vbz++++=deserts
where ^wrb+who+++=where
men ^nns++++=men
die ^vb++++=die
of ^in++++=of
thirst ^nn++++=thirst,
, ^zz++++=EXTRAWORD
slept ^j+++xvbn+=slept
in ^in++++=in
ruined ^jj+atrb++xvbn+=ruined
temples ^nns++++=temples,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seen ^vbd+vprv++xvbn+=seen
the ^ati++++=the
sunrise ^nn++++=sunrise
on ^rp++++=on
mountains ^npl++++=mountains
higher ^jjr++++=higher
than ^in++++=than
our ^pp$+pp1+++=our
ambitions ^nns+nom+++=ambitions.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
mentioned ^vbd+vpub++xvbnx+=mentioned
Redhorse ^np+++??+=Redhorse
merely ^rb+down+++=merely
as ^ql++++=as
one ^cd1++++=one
might ^md+pos+++=might
mention ^nn+nom+++=mention
Nineveh ^np+++??+=Nineveh
or ^cc++++=or
some ^dti++++=some
other ^ap++++=other
extinct ^jj+atrb+++=extinct
centre ^nn++++=centre
of ^in++++=of
civilisation ^nn+nom+++=civilisation
his ^pp$+pp3+++=his
face ^vb++++=face
altered ^vbd+++xvbn+=altered.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+++=know
Redhorse ^np+++??+=Redhorse?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
visited ^vprf+++xvbnx+=visited
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Visited ^j+++xvbn+=Visited
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born
behind ^in+pl+++=behind
Mcginty ^np++++=McGinty's
's ^$++++=EXTRAWORD
livery ^nn++++=livery
stable ^nn++++=stable
during ^in++++=during
a ^at++++=a
cloudburst ^nn+++??+=cloudburst!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
the ^ati++++=the
flour ^nn++++=flour-sack
- ^zz++++=EXTRAWORD
sack ^nn++++=EXTRAWORD
dress ^nn++++=dress
descend ^vb++++=descend
upon ^in++++=upon
my ^pp$+pp1+++=my
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv+tht0+xvbnx+=felt
every ^at++++=every
freckle ^nn+++??+=freckle
return ^vb++++=return
to ^in++++=to
its ^pp$+it+++=its
original ^nn+nom+++=original
station ^nn+nom+++=station.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard,
, ^zz++++=EXTRAWORD
in ^in++++=in
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
Jack ^np++++=Jack
shouting ^vb+vpub++xvbg+=shouting
that ^tht+vcmp+++=that
name ^nn++++=name
across ^in+pl+++=across
the ^ati++++=the
gulch ^nn+++??+=gulch.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
Doctor ^nn++++=Doctor
said ^vbd+vpub++xvbn+=said
quietly ^rb+cnj+++=quietly,
, ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
an ^at++++=an
interesting ^jj+atrb+++=interesting
place ^nn++++=place."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Picturesque,"
picturesque ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
changed ^vbd+++xvbn+=changed
the ^ati++++=the
subject ^nn++++=subject
with ^in++++=with
such ^abl++++=such
violence ^nn+nom+++=violence
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
discussing ^vbg+++xvbgx+=discussing
Venetian ^np+++??+=Venetian
glass ^nn++++=glass
before ^cs+sub+++=before
either ^dtx++++=either
of ^in++++=of
us ^pp1o+pp1+++=us
drew ^vbd+++xvbn+=drew
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stayed ^vbd+++xvbnx+=stayed
an ^at++++=an
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
rose ^vbd+++xvbnx+=rose
to ^to++++=to
go ^vbi++++=go,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
my ^pp$+pp1+++=my
hand ^nn++++=hand
not ^xnot++not++=not
improperly ^rb+cnj+++=improperly,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
even ^rb++++=even
warmly ^rb+cnj+++=warmly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
something ^pn++++=something
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
and ^cc+phrs+++=and
found ^vbd+vprv++xvbn+=found.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
hope ^nn++++=hope
you ^pp2+pp2+++=you
will ^md+prd+++=will
not ^xnot++not++=not
always ^rb++++=always
be ^vb+be+vrb++=be
afraid ^jj+pred+++=afraid
of ^in++++=of
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Afraid ^jj++++=Afraid!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
laughed ^vbd+++xvbnx+=laughed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
cultivated ^jj+atrb++xvbn+=cultivated
laugh ^nn++++=laugh,
, ^zz++++=EXTRAWORD
Irene ^np++++=Irene,
, ^zz++++=EXTRAWORD
silver ^nn++++=silver
bells ^nns++++=bells
shaken ^vwbn+++xvbn+=shaken
in ^in++++=in
a ^at++++=a
marble ^nn++++=marble
temple ^nn++++=temple.
. ^zz++++=EXTRAWORD
Unfortunately ^rb+cnj+++=Unfortunately,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
my ^pp$+pp1+++=my
feet ^nns++++=feet
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
to ^to++++=to
sleep ^vbi++++=sleep.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
attempted ^vbd+++xvbnx+=attempted
to ^to+vcmp+++=to
accompany ^vbi++++=accompany
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
lurched ^vbd+++xvbnx+=lurched
against ^in++++=against
a ^at++++=a
table ^nn++++=table
and ^cc++++=and
upset ^vb+++xvbn+=upset
the ^ati++++=the
Venetian ^np+++??+=Venetian
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
caught ^vbd+++xvbnx+=caught
me ^pp1o+pp1+++=me
about ^in++++=about
the ^ati++++=the
waist ^nn++++=waist.
. ^zz++++=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
celestial ^jj+atrb+++=celestial
instant ^nn+nom+++=instant
I ^pp1a+pp1+++=I
rested ^vbd+++xvbnx+=rested
upon ^in++++=upon
his ^pp$+pp3+++=his
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
next ^ap++++=next
three ^cd++++=three
minutes ^nns++++=minutes
I ^pp1a+pp1+++=I
hopped ^vbd+++xvbnx+=hopped
privately ^rb++++=privately
behind ^in+pl+++=behind
the ^ati++++=the
curtains ^nns++++=curtains
and ^cc++++=and
stamped ^jj+atrb++xvbn+=stamped
life ^nn++++=life
into ^in++++=into
my ^pp$+pp1+++=my
leg ^nn++++=leg.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+aux++=has
asked ^vprf+++xvbnx+=asked
permission ^nn++++=permission
to ^to+ncmp+++=to
call ^vbi++++=call
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
begin ^vb++++=begin
the ^ati++++=the
obituary ^nn+nom+++=obituary.
. ^zz++++=EXTRAWORD
**mary ^nn++++=**MARY
Jane** ^np+++??+=JANE**
**april ^nn+++??+=**April
18.** ^cd++++=18.**
Dearest ^jjt++++=Dearest:
: ^zz++++=EXTRAWORD
The ^ati++++=The
situation ^nn+nom+++=situation
is ^vbz+bez+vrb++=is
grave ^jj+pred+++=grave.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack
says ^vbz+vpub+tht0++=says
the ^ati++++=the
Doctor ^nn++++=Doctor
is ^vbz+bez+vrb++=is
in ^in++++=in
love ^nn++++=love
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
the ^ati++++=the
delicacy ^nn+nom+++=delicacy
of ^in++++=of
a ^at++++=a
stamp ^nn++++=stamp-mill
- ^zz++++=EXTRAWORD
mill ^nn++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
judgment ^nn+nom+++=judgment
of ^in++++=of
a ^at++++=a
burro ^nn+++??+=burro,
, ^zz++++=EXTRAWORD
whereupon ^cs+sub+++=whereupon
he ^pp3a+pp3+++=he
demanded ^vbd+vsua++xvbnx+=demanded
twenty ^cd++++=twenty
dollars ^nns++++=dollars
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lent ^vprf+++xvbnx+=lent
me ^pp1o+pp1+++=me
at ^in++++=at
Redhorse ^np+++??+=Redhorse
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
ten ^cd++++=ten
years ^nns++++=years
old ^jj++++=old.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
twenty ^cd++++=twenty
dollars ^nns++++=dollars;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
two ^cd++++=two
bits ^nns++++=bits,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
spent ^vbd+++xvbnx+=spent
it ^pp3+it+++=it
on ^in++++=on
licorice ^nn+++??+=licorice.
. ^zz++++=EXTRAWORD
Wealth ^nn++++=Wealth
develops ^vbz++++=develops
the ^ati++++=the
predatory ^jj+atrb+++=predatory
instinct ^nn++++=instinct
in ^in++++=in
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
early ^jj+atrb+++=early
associates ^nns+nom+++=associates.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jack ^np++++=Jack.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
nearly ^rb+down+++=nearly
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
recovered ^j+++xvbn+=recovered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
called ^xvbn+++xvbn+=called
Jack ^np++++=Jack
a ^at++++=a
liar ^nn++++=liar.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
then ^rn+tm+++=then
admitted ^vbd+vpub++xvbn+=admitted
that ^tht+vcmp+++=that
Barritz ^np+++??+=Barritz
had ^vb+hv+aux++=had
not ^xnot++not++=not
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
in ^in++++=in
words ^nns++++=words,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
any ^dti++++=any
fool ^jjb++++=fool
could ^md+pos+++=could
see ^vb+vprv+++=see
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Jack ^np++++=Jack
is ^vbz+bez+aux++=is
undoubtedly ^rb++splt++=undoubtedly
qualified ^vpsv++agls+xvbnx+=qualified
under ^in++++=under
that ^dt+dem+++=that
definition ^nn+nom+++=definition,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
evidence ^nn+nom+++=evidence
has ^vbz+hvz+vrb++=has
weight ^nn++++=weight.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
why ^wrb+who+whq++=why
should ^md+nec+++=should
a ^at++++=a
man ^nn++++=man
like ^in++++=like
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Barritz ^np++++=Barritz
love ^nn++++=love
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
answer ^vb++++=answer,
, ^zz++++=EXTRAWORD
with ^in++++=with
offensive ^jj+atrb+++=offensive
loyalty ^nn++++=loyalty,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
handsome ^jj+pred+++=handsome,
, ^zz++++=EXTRAWORD
rich ^jj++++=rich,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
occasionally ^rb++++=occasionally
tolerable ^jj++++=tolerable.
. ^zz++++=EXTRAWORD
So ^ql++++=So
are ^vb+ber+vrb++=are
fifty ^cd++++=fifty
women ^nns++++=women
in ^in++++=in
this ^dt+dem+++=this
town ^nn++++=town,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
three ^cd++++=three
of ^in++++=of
them ^pp3o+pp3+++=them
have ^vb+hv+vrb++=have
grandfathers ^nns+nom+++=grandfathers
whose ^whp+rel+obj++=whose
portraits ^nns++++=portraits
do ^vb+do+aux++=do
not ^xnot++not++=not
show ^vb+vprv+++=show
pickaxes ^nns+++??+=pickaxes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looks ^vbz++++=looks
at ^rb++++=at
me ^pp1o+pp1+++=me
as ^cs+sub+++=as
if ^cs+cnd+++=if
waiting ^nvbg+++xvbg+=waiting
for ^in++++=for
something ^pn++++=something
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
knows ^vbz+vprv+tht0++=knows
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
locked ^jj+atrb++xvbn+=locked
room ^nn++++=room
in ^in++++=in
my ^pp$+pp1+++=my
life ^nn++++=life
and ^cc++++=and
possesses ^nns+nom+++=possesses
the ^ati++++=the
key ^nn++++=key.
. ^zz++++=EXTRAWORD
Last ^rb++++=Last
evening ^nn++++=evening
at ^in++++=at
the ^ati++++=the
opera ^nn++++=opera,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
most ^ql+emph+++=most
divine ^nn++++=divine
passage ^npl+nom+++=passage,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
leaned ^vbd+++xvbnx+=leaned
near ^in+pl+++=near
and ^cc++++=and
whispered ^jj+++xvbn+=whispered:
: ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
ever ^rb++++=ever
believe ^vb+vprv+tht0++=believe
the ^ati++++=the
dead ^nn++++=dead
could ^md+pos+++=could
return ^vb++++=return?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
dropped ^vbd+++xvbnx+=dropped
my ^pp$+pp1+++=my
fan ^nn++++=fan.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
dead ^jj++++=dead?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Any
any ^dti++++=EXTRAWORD
one ^cd1++++=one
greatly ^rb+amp+++=greatly
loved ^vbd+++xvbn+=loved."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
he ^pp3a+pp3+++=he
speaking ^nvbg+++xvbg+=speaking
of ^in++++=of
Dumps ^np+++??+=Dumps?
? ^zz++++=EXTRAWORD
Could ^md+pos+++=Could
he ^pp3a+pp3+++=he
by ^in++++=by
some ^dti++++=some
abominable ^jj+atrb+++=abominable
Oriental ^jj+atrb+++=Oriental
process ^nns+nom+++=process
have ^vb+hv+aux++=have
drawn ^vprf+++xvbnx+=drawn
that ^dt+dem+++=that
poor ^jj+atrb+++=poor
child ^nn++++=child's
's ^$++++=EXTRAWORD
history ^nn++++=history
out ^rp+pl+++=out
of ^in++++=of
my ^pp$+pp1+++=my
mind ^nn++++=mind?
? ^zz++++=EXTRAWORD
Jack ^np++++=Jack
insists ^nns+nom+++=insists
that ^tht+vcmp+++=that
adepts ^nns+++??+=adepts
in ^in++++=in
India ^np++++=India
can ^md+pos+++=can
recover ^vb++++=recover
the ^ati++++=the
image ^nn++++=image
of ^in++++=of
every ^at++++=every
event ^nn++++=event
from ^in++++=from
the ^ati++++=the
universal ^jj+atrb+++=universal
ether ^nn++++=ether.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
the ^ati++++=the
universal ^jj+atrb+++=universal
ether ^nn++++=ether
ought ^md+nec+++=ought
to ^in++++=to
mind ^nn++++=mind
its ^pp$+it+++=its
own ^ap++++=own
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
the ^ati++++=the
opera ^nn++++=opera
Barritz ^np+++??+=Barritz
drove ^vbd+++xvbn+=drove
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
moonlight ^nn++++=moonlight
on ^in++++=on
the ^ati++++=the
bay ^nn++++=bay,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
