**a ^nn+++??+=**A
Confusion ^nn++++=CONFUSION
Return ^nn++++=Return
them ^pp3o+pp3+++=them
in ^in++++=in
good ^jj+atrb+++=good
condition ^nn+nom+++=condition."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
it ^pp3+it+++=it
happened ^vbd+++xvbn+=happened
that ^dt+dem+++=that
John ^np++++=John
dined ^vbd+++xvbn+=dined
at ^rb++++=at
the ^ati++++=the
Margovans ^nns+nom++??+=Margovans'
' ^zz++++=EXTRAWORD
and ^cc++++=and
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
deception ^nn+nom+++=deception,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
deception ^nn+nom+++=deception
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+aux++=be
called ^vpsv++agls+xvbnx+=called,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
merely ^rb+down+++=merely
a ^at++++=a
restoration ^nn+nom+++=restoration
of ^in++++=of
error ^nn++++=error
to ^in++++=to
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Margovan ^np+nom+++=Margovan
had ^vbd+hvd+aux++=had
intended ^vprf+++xvbnx+=intended
to ^to+vcmp+++=to
invite ^vbi++++=invite
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
accidentally ^rb++splt++=accidentally
intercepted ^vprf+++xvbnx+=intercepted
the ^ati++++=the
invitation ^nn+nom+++=invitation.
. ^zz++++=EXTRAWORD
From ^in++++=From
that ^dt+dem+++=that
evening ^nn++++=evening
John ^np++++=John
became ^vbd+++xvbn+=became
a ^at++++=a
frequent ^jj+atrb+++=frequent
visitor ^nn++++=visitor
at ^in++++=at
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
six ^cd++++=six
months ^nns++++=months
he ^pp3a+pp3+++=he
informed ^vbd+vpub++xvbnx+=informed
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
Miss ^npt++++=Miss
Julia ^np++++=Julia
Margovan ^np+nom++??+=Margovan
had ^vb+hv+vrb++=had
heartlessly ^jj++++=heartlessly
accepted ^jj+++xvbn+=accepted
him ^pp3o+pp3+++=him
in ^in++++=in
marriage ^nn+nom+++=marriage.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
seen ^vprf+++xvbn+=seen
her ^pp$+pp3+++=her
or ^cc++++=or
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
weeks ^nns++++=weeks
before ^cs+sub+++=before
the ^ati++++=the
engagement ^nn+nom+++=engagement
was ^vbd+bedz+aux++=was
announced ^vpsv++agls+xvbnx+=announced,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
observed ^vprf+++xvbnx+=observed
in ^in++++=in
Union ^nn++++=Union
Square ^nn++++=Square
a ^at++++=a
man ^nn++++=man
whose ^whp+rel+obj++=whose
appearance ^nn+nom+++=appearance
was ^vbd+bedz+vrb++=was
sufficiently ^rb++++=sufficiently
disagreeable ^jj+pred+++=disagreeable
to ^in++++=to
command ^nn++++=command
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
young ^jj+pred+++=young,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
dissipation ^nn+nom+++=dissipation
had ^vbd+hvd+aux++=had
written ^vprf+++xvbnx+=written
its ^pp$+it+++=its
age ^nn++++=age
upon ^in++++=upon
him ^pp3o+pp3+++=him
in ^in++++=in
a ^at++++=a
bold ^jj+atrb+++=bold
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
clothing ^nn++++=clothing
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been
fashionable ^jj++++=fashionable;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
handsome ^jj++++=handsome
in ^in++++=in
its ^pp$+it+++=its
lines ^nns++++=lines,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
colorless ^jj+pred+++=colorless
and ^cc+phrs+++=and
loose ^jj++++=loose;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
had ^vb+hv+vrb++=had
the ^ati++++=the
watchfulness ^nns+nom+++=watchfulness
of ^in++++=of
one ^cd1++++=one
who ^whp+rel+subj++=who
expects ^vbz++++=expects
pursuit ^nn++++=pursuit.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
passed ^vbd+++xvbnx+=passed
me ^pp1o+pp1+++=me
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
each ^dt++++=each
time ^nn++++=time
looking ^vwbg+++xvbg+=looking
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
certain ^jj+pred+++=certain
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Without ^in++++=Without
assignable ^jj+atrb+++=assignable
motive ^nn++++=motive
I ^pp1a+pp1+++=I
followed ^vbd+vprv++xvbnx+=followed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
defend ^vb++++=defend
the ^ati++++=the
act ^nn++++=act.
. ^zz++++=EXTRAWORD
Curiosity ^nn+nom+++=Curiosity
is ^vbz+bez+vrb++=is
a ^at++++=a
plea ^nn++++=plea
which ^whp+rel+obj++=which
the ^ati++++=the
moral ^jj+atrb+++=moral
law ^nn++++=law
receives ^vbz++++=receives
with ^in++++=with
proper ^jj+atrb+++=proper
contempt ^nn++++=contempt;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
the ^ati++++=the
time ^nn++++=time
I ^pp1a+pp1+++=I
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
no ^at++++=no
volition ^nn+nom+++=volition
in ^in++++=in
the ^ati++++=the
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
went ^vbd+++xvbn+=went
westward ^rb++++=westward
through ^in++++=through
streets ^nns++++=streets
shining ^vwbg+++xvbg+=shining
with ^in++++=with
recent ^jj+atrb+++=recent
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned
abruptly ^rb++++=abruptly
more ^ql++++=more
than ^cs+sub+++=than
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finally ^rb++++=finally
entered ^vbd+++xvbn+=entered
a ^at++++=a
narrow ^jj+atrb+++=narrow
lane ^nn++++=lane
behind ^in+pl+++=behind
a ^at++++=a
row ^nn++++=row
of ^in++++=of
respectable ^jj+atrb+++=respectable
houses ^nns++++=houses.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
he ^pp3a+pp3+++=he
waited ^vbd+++xvbnx+=waited
beneath ^in+pl+++=beneath
a ^at++++=a
lamp ^nn++++=lamp
which ^whp+rel+obj++=which
cast ^nn+++xvbn+=cast
upon ^in++++=upon
his ^pp$+pp3+++=his
face ^nn++++=face
a ^at++++=a
wan ^jj+atrb+++=wan
and ^cc+phrs+++=and
ghastly ^jj+atrb+++=ghastly
light ^nn++++=light.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
a ^at++++=a
woman ^nn++++=woman
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
a ^at++++=a
side ^nn++++=side
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
closely ^rb++splt++=closely
veiled ^vpsv++agls+xvbnx+=veiled,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
movement ^nn+nom+++=movement
with ^in++++=with
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
approached ^vbd+++xvbnx+=approached
him ^pp3o+pp3+++=him
had ^vb+hv+vrb++=had
the ^ati++++=the
certainty ^nn++++=certainty
of ^in++++=of
habit ^nn++++=habit.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
both ^abx++++=both
her ^pp$+pp3+++=her
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
should ^md+nec+++=should
not ^xnot++not++=not
have ^vb+hv+aux++=have
sent ^vprf+++xvbnx+=sent
for ^in++++=for
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
low ^jj+pred+++=low,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
I ^pp1a+pp1+++=I
heard ^vbd+vprv+tht0+xvbnx+=heard
it ^pp3+it+++=it
distinctly ^rb++++=distinctly
from ^in++++=from
the ^ati++++=the
shadow ^nn++++=shadow
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+aux++=have
come ^vprf+++xvbn+=come
otherwise ^rb+cnj+++=otherwise,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
replied ^vbd+vpub++xvbnx+=replied.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
had ^vbd+hvd+aux++=had
resolved ^vprf+++xvbnx+=resolved
never ^rb++++=never
to ^to++++=to
see ^vbi+vprv+++=see
you ^pp2+pp2+++=you
again ^rb+tm+++=again."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
resolved ^vprf++tht0+xvbnx+=resolved
that ^tht+vcmp+++=that
often ^rb++++=often."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
drew ^vbd+++xvbnx+=drew
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
not ^xnot++not++=not
speak ^vb++++=speak
so ^rb++++=so
loudly ^rb++++=loudly.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^nn++++=father
" ^zz++++="
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
father ^nn++++=father
knows ^vbz+vprv+++=knows
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
your ^pp$+pp2+++=your
excellent ^jj+atrb+++=excellent
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Stevens ^np++++=Stevens
knows ^vbz+vprv+++=knows
less ^rbr++++=less."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
my ^pp$+pp1+++=my
name ^nn++++=name
or ^cc++++=or
John ^np++++=John's
's ^$++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
an ^at++++=an
inward ^jjb+atrb+++=inward
shudder ^nn++++=shudder,
, ^zz++++=EXTRAWORD
different ^jj++++=different
from ^in++++=from
the ^ati++++=the
physical ^nn++++=physical
trembling ^xvbg+++xvbg+=trembling
caused ^vpsv++by+xvbn+=caused
by ^in++++=by
the ^ati++++=the
cold ^nn++++=cold.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
turned ^vbd+++xvbn+=turned
her ^pp$+pp3+++=her
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
one ^cd1++++=one
instant ^nn+nom+++=instant
the ^ati++++=the
wind ^nn++++=wind
lifted ^vbd+++xvbn+=lifted
her ^pp3o+pp3+++=her
veil ^nn++++=veil.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face
was ^vbd+bedz+vrb++=was
singularly ^rb++++=singularly
beautiful ^jj+pred+++=beautiful;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
beauty ^nn++++=beauty
seen ^vbd+vprv++xvbn+=seen
in ^in++++=in
fear ^nn++++=fear
is ^vbz+bez+vrb++=is
an ^at++++=an
accusation ^nn+nom+++=accusation.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
never ^rb++++=never
beheld ^nn+++??+=beheld
her ^pp3o+pp3+++=her
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
certain ^jj+pred+++=certain.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
remaining ^jj+atrb++xvbg+=remaining
words ^nns++++=words
were ^vbd+bed+aux++=were
too ^ql++++=too
faint ^vb++++=faint
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
hear ^vbi+vprv+++=hear.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
demand ^vbi++++=demand
something ^pn++++=something;
; ^zz++++=EXTRAWORD
the ^ati++++=the
woman ^nn++++=woman
refused ^vbd+++xvbn+=refused,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
yielded ^vbd+++xvbn+=yielded
him ^pp3o+pp3+++=him
a ^at++++=a
small ^jj+atrb+++=small
packet ^nn++++=packet.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
caught ^vbd+++xvbnx+=caught
her ^pp$+pp3+++=her
wrist ^nn++++=wrist
with ^in++++=with
needless ^jj+atrb+++=needless
violence ^nn+nom+++=violence,
, ^zz++++=EXTRAWORD
bent ^j+++xvbn+=bent
toward ^in++++=toward
her ^pp$+pp3+++=her
and ^cc++++=and
spoke ^vbd+++xvbn+=spoke
close ^in+cmpx+++=close
to ^in"++++=to
her ^pp$+pp3+++=her
ear ^nn++++=ear.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
left ^vbd+++xvbnx+=left
him ^pp3o+pp3+++=him
immediately ^rb+tm+++=immediately.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
follow ^vb+vprv+++=follow
either ^dtx++++=either
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Whatever ^nn+nom+++=Whatever
compulsion ^nn++++=compulsion
had ^vbd+hvd+aux++=had
led ^vprf+++xvbnx+=led
me ^pp1o+pp1+++=me
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
withdrawn ^vpsv++agls+xvbnx+=withdrawn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
returned ^vbd+++xvbnx+=returned
home ^nr++++=home
ashamed ^jj++++=ashamed,
, ^zz++++=EXTRAWORD
perplexed ^j+++xvbn+=perplexed
and ^cc+phrs+++=and
angry ^jj++++=angry
with ^in++++=with
a ^at++++=a
person ^nn++++=person
whom ^whp+rel+obj++=whom
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
name ^nn++++=name.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
weeks ^nns++++=weeks
later ^rbr+tm+++=later
John ^np++++=John
presented ^vwbn+++xvbn+=presented
me ^pp1o+pp1+++=me
at ^in++++=at
the ^ati++++=the
Margovan ^np+nom++??+=Margovan
house ^nn++++=house.
. ^zz++++=EXTRAWORD
The ^ati++++=The
drawing ^jj+atrb++xvbg+=drawing
room ^nn++++=room
was ^vbd+bedz+vrb++=was
bright ^jj+pred+++=bright
with ^in++++=with
fire ^nn++++=fire
and ^cc++++=and
shaded ^xvbn+++xvbn+=shaded
lamps ^nns++++=lamps;
; ^zz++++=EXTRAWORD
the ^ati++++=the
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
blackened ^jj++++=blackened
by ^in++++=by
fog ^nn++++=fog,
, ^zz++++=EXTRAWORD
reflected ^j+++xvbn+=reflected
the ^ati++++=the
interior ^jj++++=interior
so ^ql++++=so
perfectly ^rb+amp+++=perfectly
that ^cs+sub+++=that
we ^pp1a+pp1+++=we
seemed ^vbd+seem++xvbn+=seemed
enclosed ^vbd+++xvbn+=enclosed
among ^in++++=among
duplicates ^nns+nom+++=duplicates
of ^in++++=of
ourselves ^ppls+pp1+++=ourselves.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Margovan ^np+nom+++=Margovan
greeted ^vbd+++xvbn+=greeted
me ^pp1o+pp1+++=me
with ^in++++=with
loud ^jj+atrb+++=loud
amusement ^nn+nom+++=amusement.
. ^zz++++=EXTRAWORD
" ^zz++++="Julia,"
julia ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="here
here ^rn+pl+++=EXTRAWORD
is ^vbz+bez+vrb++=is
another ^ppls++++=another
John ^np++++=John
or ^cc++++=or
perhaps ^rb++++=perhaps
the ^ati++++=the
same ^ap++++=same
one ^cd1++++=one
twice ^rb++++=twice."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
entered ^vbd+++xvbnx+=entered
as ^ql++++=as
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
woman ^nn++++=woman
of ^in++++=of
the ^ati++++=the
lane ^nn++++=lane.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
composure ^nn++++=composure
did ^vbd+dod+aux++=did
not ^xnot++not++=not
fail ^vb++++=fail,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
blood ^nn++++=blood
left ^vbd+++xvbn+=left
her ^pp3o+pp3+++=her
face ^nn++++=face.
. ^zz++++=EXTRAWORD
John ^np++++=John,
, ^zz++++=EXTRAWORD
observing ^vbg+vprv+tht0+xvbg+=observing
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
attributed ^xvbn+++xvbn+=attributed
it ^pp3+it+++=it
to ^in++++=to
astonishment ^nn+nom+++=astonishment
at ^in++++=at
our ^pp$+pp1+++=our
resemblance ^nn+nom+++=resemblance
and ^cc++++=and
was ^vbd+bedz+aux++=was
delighted ^vpsv++agls+xvbnx+=delighted.
. ^zz++++=EXTRAWORD
" ^zz++++="Which
which ^wdt+who+whq++=EXTRAWORD
will ^md+prd+++=will
you ^pp2+pp2+++=you
marry ^vb++++=marry?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
one ^cd1++++=one
who ^whp+who+++=who
asks ^vbz++++=asks
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
replied ^vbd+vpub++xvbnx+=replied.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
asked ^vprf++tht0+xvbnx+=asked
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
the ^ati++++=the
difficulty ^nn++++=difficulty
is ^vbz+bez+aux++=is
solved ^vpsv++agls+xvbnx+=solved."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
levity ^nn++++=levity
of ^in++++=of
her ^pp$+pp3+++=her
answer ^nn++++=answer
was ^vbd+bedz+vrb++=was
faultless ^jj+pred+++=faultless;
; ^zz++++=EXTRAWORD
only ^rb+down+++=only
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes
betrayed ^vbd+++xvbn+=betrayed
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
rested ^vbd+++xvbnx+=rested
upon ^in++++=upon
me ^pp1o+pp1+++=me
with ^in++++=with
the ^ati++++=the
fixed ^jj+atrb++xvbn+=fixed
attention ^nn+nom+++=attention
one ^cd1++++=one
gives ^vbz++++=gives
to ^in++++=to
a ^at++++=a
weapon ^nn++++=weapon
whose ^whp+rel+obj++=whose
use ^nn++++=use
is ^vbz+bez+vrb++=is
uncertain ^jj+pred+++=uncertain.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
an ^at++++=an
opportunity ^nn+nom+++=opportunity,
, ^zz++++=EXTRAWORD
later ^rbr+tm+++=later
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
to ^to++++=to
speak ^vbi++++=speak
with ^in++++=with
her ^pp$+pp3+++=her
alone ^rb++++=alone
in ^in++++=in
the ^ati++++=the
conservatory ^nn++++=conservatory.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
the ^ati++++=the
glass ^nn++++=glass
the ^ati++++=the
fog ^nn++++=fog
pressed ^vbd+++xvbn+=pressed
like ^in++++=like
a ^at++++=a
gray ^np++++=gray
hand ^nn++++=hand;
; ^zz++++=EXTRAWORD
drops ^nns++++=drops
of ^in++++=of
moisture ^nn++++=moisture
slid ^vbd+++xvbn+=slid
down ^rp++++=down
the ^ati++++=the
panes ^nns++++=panes
with ^in++++=with
a ^at++++=a
stealthy ^jj+atrb+++=stealthy
persistence ^nn+nom+++=persistence.
. ^zz++++=EXTRAWORD
" ^zz++++="Miss
miss ^npt++++=EXTRAWORD
Margovan ^np+nom+++=Margovan,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="we
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
met ^vprf+++xvbnx+=met
before ^in+strn+++=before."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
saw ^vbd+vprv+tht0+xvbnx+=saw
you ^pp2+pp2+++=you
near ^in+pl+++=near
Union ^nn++++=Union
Square ^nn++++=Square,
, ^zz++++=EXTRAWORD
at ^in++++=at
night ^nn++++=night."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
touched ^vbd+++xvbnx+=touched
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
a ^at++++=a
chair ^nn++++=chair
but ^cc++++=but
did ^vbd+dod+aux++=did
not ^xnot++not++=not
sit ^vb++++=sit.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
followed ^vbd+vprv++xvbn+=followed
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
followed ^vbd+vprv++xvbnx+=followed
the ^ati++++=the
man ^nn++++=man."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
distinction ^nn+nom+++=distinction
may ^md+pos+++=may
satisfy ^vb++++=satisfy
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
does ^vbz+doz+vrb++=does
not ^xnot++not++=not."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
regarded ^vbd+++xvbnx+=regarded
me ^pp1o+pp1+++=me
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
in ^in++++=in
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
much ^rb++++=much
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
require ^vb+vsua+++=require?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
quietly ^rb++++=quietly
spoken ^jj+++xvbn+=spoken,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
more ^rbr++splt++=more
shocking ^vbg+++xvbgx+=shocking
than ^in++++=than
an ^at++++=an
outcry ^nn++++=outcry.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
believe ^vb+vprv+tht0++=believe
I ^pp1a+pp1+++=I
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
blackmail ^vb++++=blackmail
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
presume ^vb+vprv+++=presume
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
call ^vb++++=call
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
require ^vb+vsua+tht0++=require
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
in ^in++++=in
danger ^nn++++=danger,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
offer ^nn++++=offer
assistance ^nn+nom+++=assistance."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
her ^pp$+pp3+++=her
expression ^nn++++=expression
altered ^vwbn+++xvbn+=altered,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
whether ^cs+who+++=whether
toward ^in++++=toward
hope ^nn++++=hope
or ^cc++++=or
suspicion ^nn++++=suspicion
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
determine ^vb++++=determine.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
cannot ^md+pos+not++=cannot
assist ^vb++++=assist
