# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Caught ^xvbn+++xvbn+=CAUGHT
divided ^xvbn+++xvbn+=divided
readers ^nns+nom+++=readers
of ^in++++=of
psychological ^jj+atrb+++=psychological
fiction ^nn+nom+++=fiction
into ^in++++=into
two ^cd++++=two
classes ^nns++++=classes:
: ^zz++++=EXTRAWORD
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
supplied ^vbd+++xvbn+=supplied
a ^at++++=a
meaning ^jj+++xvbg+=meaning
for ^in++++=for
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+pdem+++=those
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=finding
none ^pn++++=none,
, ^zz++++=EXTRAWORD
pretended ^vb+++xvbn+=pretended
that ^tht+vcmp+++=that
the ^ati++++=the
author ^nn++++=author
had ^vbd+hvd+aux++=had
concealed ^vprf+++xvbnx+=concealed
one ^pn++++=one
at ^in++++=at
an ^at++++=an
inaccessible ^jj+atrb+++=inaccessible
depth ^nn++++=depth.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
classes ^nns++++=classes
were ^vbd+bed+vrb++=were
flattering ^jj+pred+++=flattering
to ^in++++=to
the ^ati++++=the
author ^nn++++=author.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
added ^vbd+vpub++xvbnx+=added
" ^zz++++="tragedy
tragedy ^nn++++=EXTRAWORD
of ^in++++=of
consciousness ^nns+nom+++=consciousness,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
read ^vb+vprv++xvbn+=read
the ^ati++++=the
sentence ^nn+nom+++=sentence
aloud ^rb+cnj+++=aloud,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disliked ^vbd+++xvbn+=disliked
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
voice ^nn++++=voice
sounded ^vbd+++xvbn+=sounded
hollow ^jj++++=hollow
in ^in++++=in
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
From ^in++++=From
below ^in+pl+++=below
came ^vbd+++xvbn+=came
the ^ati++++=the
smell ^nn++++=smell
of ^in++++=of
frying ^nn++++=frying
onions ^nns++++=onions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
odour ^nn++++=odour
rose ^vbd+++xvbn+=rose
through ^in++++=through
the ^ati++++=the
house ^nn++++=house
with ^in++++=with
leisurely ^jj+atrb+++=leisurely
cruelty ^nn++++=cruelty.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
entered ^vbd+++xvbn+=entered
under ^in++++=under
his ^pp$+pp3+++=his
door ^nn++++=door,
, ^zz++++=EXTRAWORD
curled ^j+++xvbn+=curled
about ^in++++=about
the ^ati++++=the
stove ^nn++++=stove,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
established ^vbd+vprv+tht0+xvbn+=established
itself ^ppl++++=itself
between ^in++++=between
him ^pp3o+pp3+++=him
and ^cc++++=and
the ^ati++++=the
manuscript ^nn++++=manuscript.
. ^zz++++=EXTRAWORD
Blake ^np++++=Blake
attempted ^vbd+++xvbn+=attempted
to ^to+vcmp+++=to
think ^vbi+vprv+++=think
of ^in++++=of
the ^ati++++=the
sentient ^jj+atrb+++=sentient
ego ^nn++++=ego,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
saw ^vbd+vprv++xvbn+=saw
instead ^rb+cnj+++=instead
a ^at++++=a
brown ^jj+atrb+++=brown
sausage ^nn+nom+++=sausage
splitting ^vwbg+++xvbg+=splitting
in ^in++++=in
a ^at++++=a
pan ^nn++++=pan.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
considered ^vbd+vprv++xvbnx+=considered
the ^ati++++=the
objective ^jj+atrb+++=objective
pressure ^nn++++=pressure
of ^in++++=of
circumstance ^nn+nom+++=circumstance
and ^cc++++=and
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
it ^pp3+it+++=it
resembled ^vbd+++xvbn+=resembled
a ^at++++=a
loaf ^nn++++=loaf
of ^in++++=of
bread ^nn++++=bread.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
dipped ^vbd+++xvbnx+=dipped
his ^pp$+pp3+++=his
pen ^nn++++=pen,
, ^zz++++=EXTRAWORD
wrote ^j+++xvbn+=wrote
" ^zz++++="Man,"
man ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
listened ^vpsv++agls+xvbn+=listened
to ^in++++=to
the ^ati++++=the
rattle ^nn++++=rattle
of ^in++++=of
plates ^nns++++=plates
in ^in++++=in
the ^ati++++=the
dining ^jj+++xvbg+=dining-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
Hunger ^nn++++=Hunger
and ^cc++++=and
Blake ^np++++=Blake
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
strangers ^nns+nom+++=strangers,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
ordinarily ^rb++++=ordinarily
no ^at++++=no
more ^rbr++++=more
than ^in++++=than
slight ^jj+atrb+++=slight
acquaintances ^nns+nom+++=acquaintances.
. ^zz++++=EXTRAWORD
To ^to++++=To-night
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
hunger ^nn++++=hunger
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
intimate ^jj++++=intimate.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
pinched ^vbd+++xvbn+=pinched
his ^pp$+pp3+++=his
stomach ^nn++++=stomach,
, ^zz++++=EXTRAWORD
sharpened ^j+++xvbn+=sharpened
his ^pp$+pp3+++=his
hearing ^nvbg+++xvbg+=hearing,
, ^zz++++=EXTRAWORD
filled ^j+++xvbn+=filled
his ^pp$+pp3+++=his
head ^nn++++=head
with ^in++++=with
hot ^jj+atrb+++=hot
visions ^nns++++=visions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
the ^ati++++=the
gas ^nn++++=gas
flame ^nn++++=flame
appear ^vb+seem+++=appear
yellow ^jj++++=yellow
and ^cc+phrs+++=and
edible ^jj++++=edible.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rose ^vbd+++xvbnx+=rose,
, ^zz++++=EXTRAWORD
examined ^xvbn+++xvbn+=examined
the ^ati++++=the
cupboard ^nn++++=cupboard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
discovered ^vbd+vprv++xvbn+=discovered
half ^abn++++=half
a ^at++++=a
teaspoonful ^nn+nom+++=teaspoonful
of ^in++++=of
mustard ^nn++++=mustard,
, ^zz++++=EXTRAWORD
a ^at++++=a
crust ^nn++++=crust
too ^rb++++=too
ancient ^jj++++=ancient
even ^rb++++=even
for ^in++++=for
philosophy ^nn++++=philosophy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
paper ^nn++++=paper
bag ^nn++++=bag
which ^whp+rel+subj++=which
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
contained ^vprf+++xvbnx+=contained
cakes ^nns++++=cakes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
smelled ^vbd+++xvbnx+=smelled
the ^ati++++=the
bag ^nn++++=bag.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
humiliating ^jj+atrb+++=humiliating
act ^nn++++=act,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
produced ^vbd+++xvbn+=produced
no ^at++++=no
nourishment ^nn+nom+++=nourishment.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
still ^rb++++=still
no ^at++++=no
sound ^nn++++=sound
of ^in++++=of
Leroux ^np+++??+=Leroux
or ^cc++++=or
Petersen ^np+++??+=Petersen.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
returned ^vbd+++xvbnx+=returned
to ^in++++=to
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
Outside ^jjb+atrb+++=Outside,
, ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
York ^np++++=York
conducted ^vbd+++xvbn+=conducted
its ^pp$+it+++=its
immense ^jj+atrb+++=immense
and ^cc+phrs+++=and
indifferent ^jj+atrb+++=indifferent
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
Elevated ^jj+atrb++xvbn+=Elevated
trains ^nns++++=trains
shook ^vbd+++xvbn+=shook
the ^ati++++=the
distance ^nn+nom+++=distance;
; ^zz++++=EXTRAWORD
carts ^vbz+++??+=carts
struck ^vprf+++xvbn+=struck
iron ^nn++++=iron
upon ^in++++=upon
the ^ati++++=the
street ^nn++++=street;
; ^zz++++=EXTRAWORD
newsboys ^nns+++??+=newsboys
called ^vbd+++xvbn+=called
editions ^nns+nom+++=editions
full ^jj++++=full
of ^in++++=of
murders ^nns+nom+++=murders,
, ^zz++++=EXTRAWORD
elections ^nns+nom+++=elections,
, ^zz++++=EXTRAWORD
divorces ^nns++++=divorces,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wars ^nns++++=wars.
. ^zz++++=EXTRAWORD
The ^ati++++=The
city ^nn++++=city
had ^vb+hv+vrb++=had
money ^nn++++=money
enough ^qlp++++=enough
to ^in++++=to
light ^jj++++=light
a ^at++++=a
million ^cd++++=million
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
none ^pn++++=none
of ^in++++=of
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
its ^pp$+it+++=its
way ^nn++++=way
into ^in++++=into
the ^ati++++=the
third ^nn++++=third
floor ^nn++++=floor
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
Blake ^np++++=Blake
thought ^vbd+++xvbn+=thought
of ^in++++=of
England ^np++++=England,
, ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
clean ^jj+atrb+++=clean
kitchen ^nn++++=kitchen
in ^in++++=in
a ^at++++=a
small ^jj+atrb+++=small
Surrey ^np++++=Surrey
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
his ^pp$+pp3+++=his
mother ^nn++++=mother
placing ^vwbg+++xvbg+=placing
a ^at++++=a
joint ^nn++++=joint
upon ^in++++=upon
the ^ati++++=the
table ^nn++++=table
every ^at++++=every
Sunday ^nr++++=Sunday
with ^in++++=with
the ^ati++++=the
calm ^nn++++=calm
certainty ^nn++++=certainty
of ^in++++=of
a ^at++++=a
woman ^nn++++=woman
to ^to++++=to
whom ^whp+wpor+++=whom
roast ^vb++++=roast
beef ^nn++++=beef
was ^vbd+bedz+vrb++=was
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
natural ^jj+atrb+++=natural
order ^nn++++=order.
. ^zz++++=EXTRAWORD
Homesickness ^nns+nom++??+=Homesickness,
, ^zz++++=EXTRAWORD
like ^in++++=like
hunger ^nn++++=hunger,
, ^zz++++=EXTRAWORD
made ^jj+atrb++xvbn+=made
poor ^jj+atrb+++=poor
company ^nn++++=company
for ^in++++=for
literary ^jj+atrb+++=literary
composition ^nn+nom+++=composition.
. ^zz++++=EXTRAWORD
At ^in++++=At
half ^abn++++=half-past
- ^zz++++=EXTRAWORD
past ^jjb++++=EXTRAWORD
seven ^cd++++=seven
he ^pp3a+pp3+++=he
wrote ^vbd+vprv++xvbnx+=wrote
another ^dt++++=another
paragraph ^nn++++=paragraph.
. ^zz++++=EXTRAWORD
In ^in++++=In
it ^pp3+it+++=it
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
entered ^vbd+++xvbn+=entered
a ^at++++=a
drawing ^jj+++xvbg+=drawing-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
and ^cc++++=and
immediately ^rb+tm+++=immediately
became ^vbd+++xvbn+=became
aware ^jj++++=aware
that ^tht+jcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
the ^ati++++=the
scene ^nn++++=scene
before ^in++++=before
in ^in++++=in
some ^dti++++=some
anterior ^jj+atrb+++=anterior
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
Blake ^np++++=Blake
had ^vb+hv+aux++=had
never ^rb++splt++=never
entered ^vprf+++xvbnx+=entered
a ^at++++=a
drawing ^jj+++xvbg+=drawing-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
in ^in++++=in
New ^jj+atrb+++=New
York ^np++++=York
and ^cc++++=and
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+aux++=have
known ^vprf+++xvbnx+=known
what ^wdt+who+whcl++=what
furniture ^nn++++=furniture
to ^to++++=to
put ^vbi++++=put
into ^in++++=into
one ^pn++++=one.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
made ^vbd+++xvbnx+=made
the ^ati++++=the
room ^nn++++=room
dim ^jj++++=dim,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
saved ^vbd+++xvbn+=saved
detail ^nn++++=detail,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gave ^vbd+++xvbn+=gave
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man
an ^at++++=an
hereditary ^jj+atrb+++=hereditary
terror ^nn++++=terror
of ^in++++=of
clocks ^nns++++=clocks.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
clock ^nn++++=clock
upon ^in++++=upon
the ^ati++++=the
mantel ^jj+++??+=mantel
whose ^whp+who+++=whose
presence ^nn+nom+++=presence
Blake ^np++++=Blake
had ^vbd+hvd+aux++=had
overlooked ^vprf+++xvbnx+=overlooked
until ^cs+sub+++=until
that ^dt+dem+++=that
instant ^nn+nom+++=instant
struck ^vbd+++xvbn+=struck
twelve ^cd++++=twelve.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
crossed ^vbd+++xvbnx+=crossed
out ^rp+pl+++=out
eleven ^cd++++=eleven
lines ^nns++++=lines.
. ^zz++++=EXTRAWORD
A ^at++++=A
stupor ^&fw++++=stupor
settled ^vbd+++xvbn+=settled
upon ^in++++=upon
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
room ^nn++++=room
was ^vbd+bedz+vrb++=was
cold ^jj+pred+++=cold,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
his ^pp$+pp3+++=his
forehead ^nn++++=forehead
felt ^vbd+vprv++xvbn+=felt
warm ^jj++++=warm.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
slept ^vprf+++xvbnx+=slept
little ^ap++++=little
for ^in++++=for
several ^ap++++=several
nights ^nns++++=nights,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
spent ^vprf+++xvbn+=spent
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
at ^in++++=at
a ^at++++=a
police ^nns++++=police
court ^nn++++=court
in ^in++++=in
search ^in"++++=search
of ^in"++++=of
material ^nn++++=material
and ^cc++++=and
another ^dt++++=another
correcting ^nvbg+++xvbg+=correcting,
, ^zz++++=EXTRAWORD
for ^in++++=for
three ^cd++++=three
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
the ^ati++++=the
autobiography ^nn++++=autobiography
of ^in++++=of
a ^at++++=a
gentleman ^nn+nom+++=gentleman
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
a ^at++++=a
fortune ^nn++++=fortune
in ^in++++=in
green ^jj+atrb+++=green
goods ^nns++++=goods
and ^cc++++=and
wished ^vbd+vprv++xvbn+=wished
posterity ^nn+nom+++=posterity
to ^in++++=to
mistake ^nn++++=mistake
him ^pp3o+pp3+++=him
for ^in++++=for
a ^at++++=a
financier ^nn+nom+++=financier.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gas ^nn++++=gas
hissed ^vbd+++xvbn+=hissed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
blank ^jj+atrb+++=blank
sheets ^nns++++=sheets
blurred ^vbd+++xvbn+=blurred.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
own ^ap++++=own
sentence ^nn+nom+++=sentence
" ^zz++++="the
the ^ati++++=EXTRAWORD
sentient ^jj+atrb+++=sentient
ego ^nn++++=ego
recoiling ^vwbg+++xvbg+=recoiling"
" ^zz++++=EXTRAWORD
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
crawl ^vbi++++=crawl
backward ^jj++++=backward
and ^cc++++=and
forward ^rb++++=forward
like ^in++++=like
a ^at++++=a
pale ^jj+atrb+++=pale
insect ^nn++++=insect.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rested ^vbd+++xvbnx+=rested
his ^pp$+pp3+++=his
head ^nn++++=head
upon ^in++++=upon
his ^pp$+pp3+++=his
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
told ^vbd+vpub+tht0+xvbnx+=told
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
somebody ^pn++++=somebody
knocked ^vbd+++xvbn+=knocked
at ^rb++++=at
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Blake ^np++++=Blake
raised ^vbd+++xvbn+=raised
his ^pp$+pp3+++=his
head ^jjb++++=head
sharply ^rb++++=sharply.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
have ^vb+hv+aux++=have
slept ^vprf+++xvbnx+=slept,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
gas ^nn++++=gas
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
burning ^vbg+++xvbgx+=burning
and ^cc++++=and
his ^pp$+pp3+++=his
pen ^nn++++=pen
remained ^vbd+++xvbn+=remained
between ^in++++=between
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
the ^ati++++=the
room ^nn++++=room
appeared ^vbd+seem++xvbn+=appeared
changed ^vbd+++xvbn+=changed
in ^in++++=in
some ^dti++++=some
indefinable ^jj+atrb+++=indefinable
fashion ^nn++++=fashion.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
narrower ^jjr+pred+++=narrower,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
shadows ^nps++++=shadows
in ^in++++=in
its ^pp$+it+++=its
corners ^nns+nom+++=corners
were ^vbd+bed+vrb++=were
heavier ^jjr+pred+++=heavier.
. ^zz++++=EXTRAWORD
The ^ati++++=The
knock ^nn++++=knock
came ^vbd+++xvbn+=came
again ^rb+tm+++=again
three ^cd++++=three
slow ^jj++++=slow
taps ^vbz++++=taps,
, ^zz++++=EXTRAWORD
delivered ^xvbn+++xvbn+=delivered
with ^in++++=with
precision ^nn++++=precision.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
expected ^vbd+vprv++xvbnx+=expected
Petersen ^np++++=Petersen's
's ^$++++=EXTRAWORD
cheerful ^jj+atrb+++=cheerful
assault ^nn++++=assault
upon ^in++++=upon
the ^ati++++=the
door ^nn++++=door
or ^cc++++=or
Leroux ^np++++=Leroux's
's ^$++++=EXTRAWORD
quick ^jj+atrb+++=quick
tattoo ^nn++++=tattoo.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
neither ^dt++neg++=neither.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
in ^in+strn+++=in,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called.
. ^zz++++=EXTRAWORD
The ^ati++++=The
door ^nn++++=door
opened ^vbd+++xvbn+=opened
halfway ^rb+cnj+++=halfway,
, ^zz++++=EXTRAWORD
stopped ^j+++xvbn+=stopped
against ^in++++=against
the ^ati++++=the
folded ^jj+atrb++xvbn+=folded
cot ^nn++++=cot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
admitted ^vbd+vpub++xvbn+=admitted
a ^at++++=a
man ^nn++++=man
sideways ^jjb++++=sideways.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
of ^in++++=of
middle ^jjb+atrb+++=middle
height ^nn++++=height
and ^cc++++=and
dressed ^vpsv++agls+xvbn+=dressed
in ^in++++=in
a ^at++++=a
black ^jj+atrb+++=black
coat ^nn++++=coat
which ^whp+rel+subj++=which
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been
good ^jj++++=good.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hat ^nn++++=hat
was ^vbd+bedz+aux++=was
pulled ^vpsv++agls+xvbnx+=pulled
low ^jj++++=low.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
carried ^vbd+++xvbnx+=carried
a ^at++++=a
small ^jj+atrb+++=small
black ^jj+atrb+++=black
bag ^nn++++=bag,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
a ^at++++=a
country ^nn++++=country
doctor ^nn++++=doctor
might ^md+pos+++=might
carry ^vb++++=carry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
moved ^vpsv++agls+xvbn+=moved
with ^in++++=with
an ^at++++=an
odd ^jj+atrb+++=odd,
, ^zz++++=EXTRAWORD
crablike ^jj+atrb+++=crablike
caution ^nn+nom+++=caution,
, ^zz++++=EXTRAWORD
keeping ^vbg+++xvbg+=keeping
one ^cd1++++=one
shoulder ^nn+nom+++=shoulder
advanced ^vbd+++xvbn+=advanced
and ^cc++++=and
his ^pp$+pp3+++=his
face ^nn++++=face
partly ^rb+down+++=partly
turned ^vbd+++xvbn+=turned
away ^rb+phrv+++=away.
. ^zz++++=EXTRAWORD
Having ^xvbg+++xvbg+=Having
entered ^vprf+++xvbn+=entered,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
closed ^vbd+++xvbnx+=closed
the ^ati++++=the
door ^nn++++=door
behind ^in+pl+++=behind
him ^pp3o+pp3+++=him
and ^cc++++=and
remained ^vpsv++agls+xvbn+=remained
near ^in+pl+++=near
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Edward ^np++++=Edward
Blake ^np++++=Blake?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
smooth ^jj+pred+++=smooth,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
oily ^jj++++=oily.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
name ^nn++++=name."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Edward ^np++++=Edward
James ^np++++=James
Blake ^np++++=Blake,
, ^zz++++=EXTRAWORD
formerly ^rb+tm+++=formerly
of ^in++++=of
London ^np++++=London?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Newspaper
newspaper ^nn+nom+++=EXTRAWORD
reporter ^nn+nom+++=reporter?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+aux++=is
reporting ^vbg+++xvbgx+=reporting
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
done ^vpsv++agls+xvbnx+=done."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
lowered ^vbd+++xvbn+=lowered
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
business ^nns+nom+++=business
with ^in++++=with
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
the ^ati++++=the
advantage ^nn+nom+++=advantage
of ^in++++=of
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Blake ^np++++=Blake.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
business ^nns+nom+++=business?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^nn+nom+++=stranger
did ^vbd+dod+aux++=did
not ^xnot++not++=not
answer ^vb++++=answer
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
set ^vbd+++xvbnx+=set
the ^ati++++=the
bag ^nn++++=bag
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
removed ^xvbn+++xvbn+=removed
his ^pp$+pp3+++=his
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
glanced ^vpsv++agls+xvbn+=glanced
around ^in++++=around
the ^ati++++=the
poor ^jj+atrb+++=poor
room ^nn++++=room.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
curious ^jj+atrb+++=curious
glance ^nn++++=glance
of ^in++++=of
a ^at++++=a
visitor ^nn++++=visitor,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
swift ^jj+atrb+++=swift
examination ^nn+nom+++=examination
of ^in++++=of
a ^at++++=a
man ^nn++++=man
verifying ^vwbg+++xvbg+=verifying
arrangements ^nns+nom+++=arrangements
already ^rb++++=already
known ^vbd+vprv++xvbn+=known
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Blake ^np++++=Blake
felt ^vbd+vprv++xvbn+=felt
an ^at++++=an
obscure ^jj+atrb+++=obscure
dislike ^nn++++=dislike
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^jjr+atrb+++=stranger's
's ^vbz+bez+vrb++0=EXTRAWORD
face ^nn++++=face,
, ^zz++++=EXTRAWORD
so ^ql++++=so
far ^rb+pl+++=far
as ^ql++++=as
it ^pp3+it+++=it
could ^md+pos+++=could
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen,
