# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Who ^whp+rel+subj++=WHO
with ^in++++=with
elaborate ^jj+atrb+++=elaborate
cordiality ^nn+nom+++=cordiality.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
still ^rb+atrb+++=still
handsome ^jj+pred+++=handsome,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
lines ^nns++++=lines
about ^rb++++=about
her ^pp3o+pp3+++=her
mouth ^nn++++=mouth
which ^whp+rel+obj++=which
no ^at++++=no
art ^nn++++=art
could ^md+pos+++=could
soften ^vb++++=soften.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
dress ^nn++++=dress
was ^vbd+bedz+vrb++=was
of ^in++++=of
a ^at++++=a
costly ^jj+atrb+++=costly
material ^nn++++=material;
; ^zz++++=EXTRAWORD
rings ^nns++++=rings
flashed ^vbd+++xvbn+=flashed
upon ^in++++=upon
her ^pp$+pp3+++=her
fingers ^nns+nom+++=fingers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
heavy ^jj+atrb+++=heavy
chain ^nn++++=chain
encircled ^vbd+++xvbn+=encircled
her ^pp$+pp3+++=her
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
delighted ^vbd+++xvbn+=delighted
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
to ^to++++=to
see ^vbi+vprv+tht0++=see
you ^pp2+pp2+++=you!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
find ^vb+vprv+++=find
L ^zz++++=L
greatly ^rb+amp+++=greatly
improved ^jj+++xvbn+=improved,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+aux++=are
becoming ^vbg+++xvbgx+=becoming
quite ^rb++++=quite
metropolitan ^jj++++=metropolitan.
. ^zz++++=EXTRAWORD
Society ^nn++++=Society
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
different ^jj++++=different
from ^in++++=from
what ^wdt+who+++=what
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
eight ^cd++++=eight
years ^nns++++=years
ago ^rb++++=ago."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
eldest ^jjt+atrb+++=eldest
daughter ^nn+nom+++=daughter
entered ^vbd+++xvbn+=entered
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
speaking ^vbg+++xvbgx+=speaking.
. ^zz++++=EXTRAWORD
The ^ati++++=The
young ^jj+atrb+++=young
lady ^nn++++=lady
wore ^vbd+++xvbn+=wore
lace ^nn++++=lace
and ^cc++++=and
ribbons ^nns++++=ribbons
suited ^vwbn+++xvbn+=suited
rather ^rb++++=rather
to ^in++++=to
an ^at++++=an
evening ^nn++++=evening
assembly ^nn++++=assembly
than ^in++++=than
a ^at++++=a
family ^nn++++=family
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^nn++++=dear,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Payson ^np++++=Payson,
, ^zz++++=EXTRAWORD
" ^zz++++="where
where ^wrb+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
Julia ^np++++=Julia?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
her ^pp$+pp3+++=her
room ^nn++++=room.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
declares ^vbz+vpub+tht0++=declares
she ^pp3a+pp3+++=she
cannot ^md+pos+not++=cannot
come ^vprf+++xvbn+=come
down ^rp++++=down.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
new ^jj+atrb+++=new
silk ^nn++++=silk
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
spoiled ^vpsv++agls+xvbnx+=spoiled
in ^in++++=in
making ^xvbg+++xvbg+=making."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Absurd!
absurd ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
her ^pp3o+pp3+++=her
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she
has ^vbz+hvz+vrb++=has
nothing ^pn++++=nothing
fit ^jj++++=fit
to ^to+jcmp+++=to
wear ^vbi++++=wear."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Payson ^np+++??+=Payson,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
behind ^in+pl+++=behind
his ^pp$+pp3+++=his
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
smiled ^j+++xvbn+=smiled
in ^in++++=in
a ^at++++=a
constrained ^jj+atrb++xvbn+=constrained
manner ^nn++++=manner.
. ^zz++++=EXTRAWORD
" ^zz++++="Nothing
nothing ^pn++++=EXTRAWORD
fit ^jj++++=fit
to ^to+jcmp+++=to
wear ^vbi++++=wear!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
repeated ^vbd+++xvbnx+=repeated.
. ^zz++++=EXTRAWORD
" ^zz++++="Her
her ^pp$+pp3+++=EXTRAWORD
wardrobe ^nn++++=wardrobe
would ^md+prd+++=would
clothe ^vb+++??+=clothe
a ^at++++=a
small ^jj+atrb+++=small
congregation ^nn+nom+++=congregation."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Payson ^np++++=Payson,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
laughing ^vbg+++xvbg+=laughing,
, ^zz++++=EXTRAWORD
" ^zz++++="pray
pray ^vb+vsua+++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
begin ^vb++++=begin
one ^pn++++=one
of ^in++++=of
your ^pp$+pp2+++=your
economical ^jj+atrb+++=economical
lectures ^nns++++=lectures.
. ^zz++++=EXTRAWORD
A ^at++++=A
young ^jj+atrb+++=young
lady ^nn++++=lady
must ^md+nec+++=must
dress ^vb++++=dress
like ^in++++=like
her ^pp$+pp3+++=her
associates ^nns+nom+++=associates."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Her
her ^pp$+pp3+++=EXTRAWORD
associates ^nns+nom+++=associates
seem ^vb+seem+++=seem
determined ^jj+++xvbn+=determined
to ^to+jcmp+++=to
ruin ^vbi++++=ruin
their ^pp$+pp3+++=their
fathers ^nns+nom+++=fathers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
very ^ql+amp+++=very
severe ^jj++++=severe!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
forget ^vb+vprv+++=forget
that ^tht+vcmp+++=that
your ^pp$+pp2+++=your
own ^ap++++=own
position ^nn+nom+++=position
requires ^vbz++++=requires
something ^pn++++=something
of ^in++++=of
us ^pp1o+pp1+++=us."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
not ^xnot++not++=not
likely ^jj++++=likely
to ^to+jcmp+++=to
forget ^vbi+vprv+++=forget
what ^wdt+who+whcl++=what
my ^pp$+pp1+++=my
position ^nn+nom+++=position
requires ^vbz++++=requires,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
emphasis ^nn++++=emphasis
intelligible ^jj++++=intelligible
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
lost ^vprf+++xvbn+=lost
upon ^in++++=upon
his ^pp$+pp3+++=his
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
Dinner ^nn++++=Dinner
was ^vbd+bedz+aux++=was
served ^vpsv++agls+xvbnx+=served
in ^in++++=in
a ^at++++=a
style ^nn++++=style
corresponding ^vwbg+++xvbg+=corresponding
with ^in++++=with
the ^ati++++=the
apartments ^nns+nom+++=apartments.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
several ^ap++++=several
courses ^nns++++=courses,
, ^zz++++=EXTRAWORD
wines ^nns++++=wines
of ^in++++=of
different ^jj+atrb+++=different
kinds ^nns++++=kinds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^rbr++++=more
food ^nn++++=food
wasted ^vwbn+++xvbn+=wasted
than ^in++++=than
would ^md+prd+++=would
have ^vb+hv+aux++=have
supplied ^vprf+++xvbnx+=supplied
a ^at++++=a
frugal ^jj+atrb+++=frugal
household ^nn++++=household
for ^in++++=for
a ^at++++=a
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
no ^at++++=no
cheerful ^jj+atrb+++=cheerful
spirit ^nn++++=spirit
presided ^vbd+++xvbn+=presided
over ^in++++=over
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Payson ^np++++=Payson
spoke ^vbd+++xvbn+=spoke
of ^in++++=of
a ^at++++=a
new ^jj+atrb+++=new
carriage ^nn+nom+++=carriage
belonging ^vwbg+++xvbg+=belonging
to ^to++++=to
one ^cd1++++=one
neighbor ^nn++++=neighbor,
, ^zz++++=EXTRAWORD
the ^ati++++=the
diamonds ^nns++++=diamonds
worn ^vwbn+++xvbn+=worn
by ^in++++=by
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
expected ^jj+atrb++xvbn+=expected
improvements ^nns+nom+++=improvements
in ^in++++=in
a ^at++++=a
third ^nn++++=third
person ^nn++++=person's
's ^$++++=EXTRAWORD
mansion ^nn++++=mansion.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
daughters ^nns+nom+++=daughters
discussed ^vwbn+++xvbn+=discussed
dresses ^nns+nom+++=dresses,
, ^zz++++=EXTRAWORD
parties ^nns++++=parties,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
projected ^jj+atrb++xvbn+=projected
journey ^nn++++=journey
to ^in++++=to
a ^at++++=a
fashionable ^jj++++=fashionable
watering ^jj+++xvbg+=watering-place.
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Payson ^np+++??+=Payson
ate ^vbd+++xvbn+=ate
little ^jj++++=little,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
answered ^vbd+vpub++xvbn+=answered
absently ^rb++++=absently.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
his ^pp$+pp3+++=his
wife ^nn++++=wife
said ^vbd+vpub++xvbn+=said
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
drawing ^nvbg+++xvbg+=drawing-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
furniture ^nn++++=furniture
must ^md+nec+++=must
be ^vb+be+aux++=be
changed ^vpsv++agls+xvbnx+=changed
before ^in++++=before
winter ^nn++++=winter,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
laid ^vbd+++xvbnx+=laid
down ^rb+phrv+++=down
his ^pp$+pp3+++=his
fork ^nn++++=fork.
. ^zz++++=EXTRAWORD
" ^zz++++="Changed!
changed ^vbd+++xvbn+=EXTRAWORD
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
bought ^vpsv++agls+xvbnx+=bought
only ^rb+down+++=only
two ^cd++++=two
years ^nns++++=years
ago ^rb++++=ago."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
the ^ati++++=the
color ^nn++++=color
is ^vbz+bez+vrb++=is
no ^at++++=no
longer ^rbr++++=longer
fashionable ^jj++++=fashionable."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
debt ^nn++++=debt
upon ^in++++=upon
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
not ^xnot++not++=not
yet ^rb++++=yet
paid ^vwbn+++xvbn+=paid."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
brief ^nn++++=brief
silence ^nn+nom+++=silence
followed ^vbd+vprv++xvbn+=followed.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
always ^rb++++=always
say ^vb+vpub+++=say
such ^abl++++=such
things ^nns++++=things
before ^in++++=before
company ^nn++++=company,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
returned ^vbd+++xvbn+=returned
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Payson ^np++++=Payson,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
forced ^jj+atrb++xvbn+=forced
laugh ^nn++++=laugh.
. ^zz++++=EXTRAWORD
" ^zz++++="Any
any ^dti++++=EXTRAWORD
one ^cd1++++=one
would ^md+prd+++=would
suppose ^vb+vprv+++=suppose
us ^pp1o+pp1+++=us
to ^to++++=to
be ^vbi++vrb++=be
very ^ql+amp+++=very
poor ^jj++++=poor."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Payson ^np+++??+=Payson
looked ^vbd+++xvbn+=looked
across ^in+pl+++=across
the ^ati++++=the
table ^nn++++=table
at ^in++++=at
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
sadness ^nns+nom+++=sadness
than ^in++++=than
anger ^nn++++=anger
in ^in++++=in
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
After ^in++++=After
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
drew ^vbd+++xvbnx+=drew
me ^pp1o+pp1+++=me
into ^in++++=into
the ^ati++++=the
library ^nn+nom+++=library.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
closing ^jj+++xvbg+=closing
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
family ^nn++++=family
see ^vb+vprv+++=see
the ^ati++++=the
romance ^nn+nom+++=romance
of ^in++++=of
wealth ^nn++++=wealth;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
the ^ati++++=the
hard ^jj+atrb+++=hard
reality ^nn+nom+++=reality.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
new ^jj+atrb+++=new
indulgence ^nn+nom+++=indulgence
creates ^nns+nom+++=creates
a ^at++++=a
new ^jj+atrb+++=new
necessity ^nn+nom+++=necessity.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
was ^vbd+bedz+aux++=was
luxury ^nn++++=luxury
last ^jj+atrb+++=last
year ^nn++++=year
is ^vbz+bez+vrb++=is
comfort ^nn++++=comfort
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
will ^md+prd+++=will
be ^vb+be+vrb++=be
an ^at++++=an
indispensable ^jj+atrb+++=indispensable
want ^vb++++=want
to ^to+vcmp+++=to-morrow."
- ^zz++++=EXTRAWORD
morrow ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
not ^xnot++not++=not
so ^rb+emph+++=so
prosperous ^jj++++=prosperous
as ^in++++=as
the ^ati++++=the
world ^nn++++=world
supposes ^vbz+vprv+++=supposes?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
walked ^vbd+++xvbnx+=walked
twice ^rb++++=twice
across ^in+pl+++=across
the ^ati++++=the
room ^nn++++=room
before ^in++++=before
replying ^nn++++=replying.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
business ^nns+nom+++=business
is ^vbz+bez+vrb++=is
large ^jj+pred+++=large."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
does ^vbz+doz+aux++=does
not ^xnot++not++=not
answer ^vb++++=answer
my ^pp$+pp1+++=my
question ^nn+nom+++=question."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
lowering ^vbg+++xvbg+=lowering
his ^pp$+pp3+++=his
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
not ^xnot++not++=not
prosperous ^jj++++=prosperous
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
securely ^rb++++=securely
so ^rb++++=so.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
property ^nn++++=property,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
burdened ^vpsv++agls+xvbnx+=burdened.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
conduct ^vb++++=conduct
transactions ^nns+nom+++=transactions
involving ^vwbg+++xvbg+=involving
many ^ap++++=many
thousands ^cds++++=thousands,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
days ^nns++++=days
when ^wrb+who+++=when
the ^ati++++=the
demand ^nn++++=demand
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
hundreds ^cds++++=hundreds
makes ^vbz++++=makes
my ^pp$+pp1+++=my
blood ^nn++++=blood
run ^vbd+++xvbn+=run
cold ^jj++++=cold.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
can ^md+pos+++=can
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do?
? ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
retrench ^nn+++??+=retrench,
, ^zz++++=EXTRAWORD
people ^nns++++=people
will ^md+prd+++=will
suspect ^vb+vprv+++=suspect
embarrassment ^nn+nom+++=embarrassment;
; ^zz++++=EXTRAWORD
suspicion ^nn++++=suspicion
will ^md+prd+++=will
injure ^vb++++=injure
my ^pp$+pp1+++=my
credit ^nn++++=credit;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
injury ^nn++++=injury
to ^in++++=to
my ^pp$+pp1+++=my
credit ^nn++++=credit
may ^md+pos+++=may
bring ^vb++++=bring
the ^ati++++=the
very ^ap+amp+++=very
disaster ^nn+nom+++=disaster
I ^pp1a+pp1+++=I
seek ^vb++++=seek
to ^to+vcmp+++=to
avoid ^vbi++++=avoid."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
your ^pp$+pp2+++=your
household ^nn++++=household
expenses ^nns++++=expenses?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
remonstrated ^vprf+++xvbnx+=remonstrated
until ^cs+sub+++=until
remonstrance ^nn+nom+++=remonstrance
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
useless ^jj++++=useless.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
wife ^nn++++=wife
thinks ^vbz+vprv+++=thinks
me ^pp1o+pp1+++=me
timid ^jj++++=timid;
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
daughters ^nns+nom+++=daughters
believe ^vb+vprv+tht0++=believe
money ^nn++++=money
may ^md+pos+++=may
be ^vb+be+aux++=be
procured ^vpsv++agls+xvbnx+=procured
whenever ^nn+nom+++=whenever
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
wanted ^vpsv++agls+xvbnx+=wanted.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
compare ^vb++++=compare
themselves ^ppls+pp3+++=themselves
with ^in++++=with
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
spend ^vb++++=spend
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
never ^rb++++=never
with ^in++++=with
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
spend ^vb++++=spend
less ^rbr++++=less.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
gained ^vbd+++xvbnx+=gained
twenty ^cd++++=twenty
thousand ^cd++++=thousand
dollars ^nns++++=dollars
to ^to++++=to-morrow,
- ^zz++++=EXTRAWORD
morrow ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
discover ^nn+nom+++=discover
before ^cs+sub+++=before
night ^nn++++=night
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
needed ^vbd+++xvbn+=needed
thirty ^cd++++=thirty."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
but ^cc++++=but
pity ^nn++++=pity
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
intelligence ^nn+nom+++=intelligence
enough ^dt++++=enough
to ^to++++=to
perceive ^vbi+vprv+++=perceive
the ^ati++++=the
precipice ^nn++++=precipice,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
lacked ^vbd+++xvbn+=lacked
courage ^nn+nom+++=courage
to ^to++++=to
turn ^vbi++++=turn
from ^in++++=from
the ^ati++++=the
road ^npl++++=road
that ^tht+rel+++=that
led ^jj+++xvbn+=led
toward ^in++++=toward
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suspected ^vbd+vprv++xvbnx+=suspected
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
himself ^ppl+pp3+++=himself
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
innocent ^jj++++=innocent.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fine ^jj+atrb+++=fine
house ^npl++++=house,
, ^zz++++=EXTRAWORD
the ^ati++++=the
reputation ^nn+nom+++=reputation
of ^in++++=of
wealth ^nn++++=wealth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
deference ^nn+nom+++=deference
paid ^vbd+++xvbn+=paid
to ^to++++=to
supposed ^vbi+vprv+tht0+xvbn+=supposed
prosperity ^nn+nom+++=prosperity
were ^vbd+bed+vrb++=were
pleasant ^jj+pred+++=pleasant
to ^to+jcmp+++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
condemned ^vbd+++xvbnx+=condemned
the ^ati++++=the
harvest ^nn++++=harvest
while ^cs+sub+++=while
continuing ^vbg+++xvbg+=continuing
to ^to++++=to
sow ^vbi++++=sow
the ^ati++++=the
seed ^nn++++=seed.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
I ^pp1a+pp1+++=I
left ^vbd+++xvbnx+=left,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mentioned ^vbd+vpub++xvbnx+=mentioned
the ^ati++++=the
Wightmans ^nns+nom++??+=Wightmans.
. ^zz++++=EXTRAWORD
" ^zz++++="Poor
poor ^jj+atrb+++=EXTRAWORD
people ^nns++++=people!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Payson ^np++++=Payson,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
joined ^vprf+++xvbnx+=joined
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
dreadfully ^rb++++=dreadfully
they ^pp3a+pp3+++=they
must ^md+nec+++=must
suffer ^vb++++=suffer!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
met ^vbd+++xvbnx+=met
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Wightman ^np+nom+++=Wightman
last ^jj+atrb+++=last
week ^nn++++=week.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
on ^in++++=on
the ^ati++++=the
same ^ap++++=same
bonnet ^nn++++=bonnet
she ^pp3a+pp3+++=she
wore ^vbd+++xvbnx+=wore
last ^jj+atrb+++=last
season ^nn++++=season."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
she ^pp3a+pp3+++=she
look ^vb++++=look
unhappy ^jj++++=unhappy?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Really,
really ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
observe ^vb+vprv+++=observe.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
smiled ^vbd+++xvbnx+=smiled,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe.
. ^zz++++=EXTRAWORD
