# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Lost ^vbd+++xvbn+=Lost
climbed ^vbd+++xvbn+=climbed
down ^rp++++=down
with ^in++++=with
extreme ^jj+atrb+++=extreme
deliberation ^nn+nom+++=deliberation
and ^cc++++=and
approached ^vbd+++xvbn+=approached
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
voices ^nns++++=voices
came ^vbd+++xvbn+=came
to ^in++++=to
us ^pp1o+pp1+++=us
in ^in++++=in
fragments ^nns+nom+++=fragments.
. ^zz++++=EXTRAWORD
" ^zz++++="Colville
colville ^nn+++??+=EXTRAWORD
" ^zz++++="
" ^zz++++="Which?"
which ^whp+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Gardens."
gardens ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Bayswater?"
bayswater ^jjr++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
the ^ati++++=the
ladies ^nns++++=ladies
says ^vbz+vpub+++=says."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a
long ^jj+atrb+++=long
way ^nn++++=way
off ^in+strn+++=off."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
Kate ^np++++=Kate.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
raised ^vbd+++xvbnx+=raised
her ^pp3o+pp3+++=her
eyebrows ^nns++++=eyebrows.
. ^zz++++=EXTRAWORD
The ^ati++++=The
policeman ^nn+nom+++=policeman
gave ^vbd+++xvbn+=gave
a ^at++++=a
series ^nn++++=series
of ^in++++=of
directions ^nns+nom+++=directions
involving ^vwbg+++xvbg+=involving
a ^at++++=a
turning ^nvbg+++xvbg+=turning,
, ^zz++++=EXTRAWORD
a ^at++++=a
public ^jj++++=public-house,
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
church ^nn++++=church,
, ^zz++++=EXTRAWORD
a ^at++++=a
square ^nn++++=square,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
something ^pn++++=something
which ^whp+who+++=which
sounded ^vbd+++xvbn+=sounded
like ^in++++=like
" ^zz++++="keep
keep ^vb++++=EXTRAWORD
bearing ^nvbg+++xvbg+=bearing
to ^in++++=to
the ^ati++++=the
left ^nn+++xvbn+=left."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
cabman ^jj++++=cabman
listened ^jj+++xvbn+=listened
with ^in++++=with
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
open ^nn++++=open.
. ^zz++++=EXTRAWORD
" ^zz++++="Understand?"
understand ^vb+vprv+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
policeman ^nn+nom+++=policeman.
. ^zz++++=EXTRAWORD
" ^zz++++="Blest
blest ^jjt++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
follow ^vb+vprv+++=follow
the ^ati++++=the
road ^npl++++=road
till ^cs+sub+++=till
you ^pp2+pp2+++=you
come ^vprf+++xvbn+=come
to ^in++++=to
" ^zz++++="
The ^ati++++=The
rest ^nn++++=rest
was ^vbd+bedz+aux++=was
swallowed ^vpsv++by+xvbnx+=swallowed
by ^in++++=by
the ^ati++++=the
fog ^nn++++=fog.
. ^zz++++=EXTRAWORD
The ^ati++++=The
driver ^nn++++=driver
returned ^vbd+++xvbn+=returned,
, ^zz++++=EXTRAWORD
climbed ^j+++xvbn+=climbed
to ^in++++=to
his ^pp$+pp3+++=his
perch ^nn++++=perch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shook ^vbd+++xvbn+=shook
the ^ati++++=the
reins ^nns++++=reins.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
say ^vb+vpub+++=say?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
called ^vbd+++xvbnx+=called.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right,
, ^zz++++=EXTRAWORD
mum ^nn++++=mum."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
moved ^vbd+++xvbn+=moved
off ^in+pl+++=off
in ^in++++=in
the ^ati++++=the
direction ^nn+nom+++=direction
from ^in++++=from
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
eleven ^cd++++=eleven
o ^zz++++=o'clock,
'clock, ^nn+++??+=EXTRAWORD
or ^cc++++=or
near ^in+pl+++=near
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
this ^dt+dem+++=this
because ^cs+cos+++=because
a ^at++++=a
distant ^jj+atrb+++=distant
clock ^nn++++=clock
struck ^vbd+++xvbn+=struck,
, ^zz++++=EXTRAWORD
each ^dt++++=each
note ^nn++++=note
arriving ^vwbg+++xvbg+=arriving
damp ^nn++++=damp
and ^cc++++=and
solitary ^jj++++=solitary,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
midnight ^nn++++=midnight
itself ^ppl++++=itself
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
its ^pp$+it+++=its
way ^nn++++=way.
. ^zz++++=EXTRAWORD
The ^ati++++=The
streets ^nns++++=streets
grew ^vbd+++xvbn+=grew
emptier ^jjr++++=emptier.
. ^zz++++=EXTRAWORD
Shops ^nns++++=Shops
were ^vbd+bed+vrb++=were
shuttered ^jj+pred+++=shuttered;
; ^zz++++=EXTRAWORD
public ^jj++++=public-houses
- ^zz++++=EXTRAWORD
houses ^nns++++=EXTRAWORD
spilled ^vbd+++xvbn+=spilled
out ^rp+pl+++=out
their ^pp$+pp3+++=their
last ^ap++++=last
noisy ^jj+atrb+++=noisy
companies ^nns++++=companies
and ^cc++++=and
closed ^jj+++xvbn+=closed;
; ^zz++++=EXTRAWORD
even ^rb++++=even
the ^ati++++=the
policemen ^nns++++=policemen
became ^vbd+++xvbn+=became
rare ^jj++++=rare.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then
a ^at++++=a
figure ^nn++++=figure
passed ^vbd+++xvbn+=passed
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
enlarged ^xvbn+++xvbn+=enlarged
by ^in++++=by
the ^ati++++=the
mist ^nn++++=mist
to ^in++++=to
gigantic ^jj+atrb+++=gigantic
proportions ^nns+nom+++=proportions
and ^cc++++=and
then ^rn+tm+++=then
instantly ^rb+tm+++=instantly
reduced ^vbd+++xvbn+=reduced
to ^in++++=to
a ^at++++=a
very ^ql+amp+++=very
ordinary ^jj+atrb+++=ordinary
man ^nn++++=man
carrying ^vwbg+++xvbg+=carrying
a ^at++++=a
basket ^nn++++=basket.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
foreboding ^xvbg+++xvbg+=foreboding
fear ^vb++++=fear
became ^vbd+++xvbn+=became
articulate ^jj++++=articulate.
. ^zz++++=EXTRAWORD
" ^zz++++="Kate,"
kate ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="we
we ^pp1a+pp1+++=EXTRAWORD
are ^vb+ber+aux++=are
being ^vbg+beg+aux+xvbg+=being
abducted ^vpsv++agls+xvbn+=abducted."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nonsense."
nonsense ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
nonsense ^nn++++=nonsense?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
does ^vbz+doz+aux++=does
not ^xnot++not++=not
know ^vb+vprv+++=know
London ^np++++=London.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
does ^vbz+doz+aux++=does
not ^xnot++not++=not
know ^vb+vprv+++=know
Bayswater ^np+nom++??+=Bayswater.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
may ^md+pos+++=may
not ^xnot++not++=not
even ^rb++++=even
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
in ^in++++=in
the ^ati++++=the
cab ^nn++++=cab."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
knows ^vbz+vprv+++=knows
when ^wrb+who+whcl++=when
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
paid ^vpsv++agls+xvbnx+=paid."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah!
ah ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
the ^ati++++=the
point ^nn++++=point.
. ^zz++++=EXTRAWORD
Suppose ^vb+vprv+tht0++=Suppose
he ^pp3a+pp3+++=he
intends ^vbz++++=intends
to ^to+vcmp+++=to
demand ^vb++++=demand
twenty ^cd++++=twenty
pounds ^nns++++=pounds?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
not ^xnot++not++=not
twenty ^cd++++=twenty
pounds ^nns++++=pounds."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
he ^pp3a+pp3+++=he
will ^md+prd+++=will
murder ^vb++++=murder
us ^pp1o+pp1+++=us
from ^in++++=from
disappointment ^nn+nom+++=disappointment."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kate ^np++++=Kate
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
understood ^vbd+vprv++xvbn+=understood
the ^ati++++=the
peculiar ^jj+atrb+++=peculiar
constitution ^nn+nom+++=constitution
of ^in++++=of
my ^pp$+pp1+++=my
sister ^nn++++=sister's
's ^$++++=EXTRAWORD
courage ^nn+nom+++=courage.
. ^zz++++=EXTRAWORD
A ^at++++=A
real ^jj+atrb+++=real
danger ^nn++++=danger
could ^md+pos+++=could
alarm ^vb++++=alarm
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
once ^rb+tm+++=once
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
enlarged ^vprf+++xvbnx+=enlarged
it ^pp3+it+++=it
to ^in++++=to
its ^pp$+it+++=its
natural ^jj+atrb+++=natural
dramatic ^jj+atrb+++=dramatic
proportions ^nns+nom+++=proportions
she ^pp3a+pp3+++=she
became ^vbd+++xvbnx+=became
offensively ^rb++++=offensively
merry ^jj++++=merry.
. ^zz++++=EXTRAWORD
After ^in++++=After
another ^dt++++=another
quarter ^nn++++=quarter
of ^in++++=of
an ^at++++=an
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cabman ^nn++++=cabman
stopped ^vbd+++xvbn+=stopped
beneath ^in+pl+++=beneath
a ^at++++=a
lamp ^nn++++=lamp
and ^cc++++=and
descended ^vbd+++xvbn+=descended.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
round ^rb++++=round
to ^in++++=to
the ^ati++++=the
front ^jjb+atrb+++=front,
, ^zz++++=EXTRAWORD
opened ^jj+atrb++xvbn+=opened
one ^cd1++++=one
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vpsv++agls+xvbn+=looked
in ^in++++=in
upon ^in++++=upon
us ^pp1o+pp1+++=us
with ^in++++=with
the ^ati++++=the
grave ^jj+atrb+++=grave
surprise ^nn++++=surprise
of ^in++++=of
a ^at++++=a
man ^nn++++=man
finding ^vwbg+++xvbg+=finding
ladies ^nns++++=ladies
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
expected ^vprf+++xvbnx+=expected
luggage ^nn+nom+++=luggage.
. ^zz++++=EXTRAWORD
" ^zz++++="Beg
beg ^vb++++=EXTRAWORD
pardon ^nn++++=pardon,
, ^zz++++=EXTRAWORD
mum ^nn++++=mum,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said;
; ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc+cls+++=EXTRAWORD
where ^wrb+who+++=where
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it
you ^pp2+pp2+++=you
was ^vbd+bedz+vrb++=was
a-goin ^nn+++??+=a-goin'?"
'?" ^nn+++??+=EXTRAWORD
" ^zz++++="Colville
colville ^nn+++??+=EXTRAWORD
Gardens ^nns++++=Gardens!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
told ^vpsv++agls+xvbnx+=told
six ^cd++++=six
times ^nns++++=times."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah,"
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
thoughtfully ^rb++++=thoughtfully.
. ^zz++++=EXTRAWORD
" ^zz++++="Colville
colville ^nn+++??+=EXTRAWORD
Gardens ^nns++++=Gardens."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
where ^wrb+who+whcl++=where
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
scratched ^vbd+++xvbnx+=scratched
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
mum ^nn++++=mum,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
long ^rb++++=long
at ^rb++++=at
the ^ati++++=the
cabbin ^nn+++??+=cabbin'.
'. ^nn+++??+=EXTRAWORD
Come ^vprf+++xvbn+=Come
up ^rp++++=up
from ^in++++=from
Sussex ^np++++=Sussex
Tuesday ^nr++++=Tuesday."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kate ^np++++=Kate
turned ^vbd+++xvbn+=turned
her ^pp$+pp3+++=her
face ^nn++++=face
toward ^in++++=toward
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
hansom ^nn+++??+=hansom.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
shoulders ^nns+nom+++=shoulders
began ^vbd+++xvbn+=began
to ^to++++=to
shake ^vbi++++=shake.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
laughing ^nvbg+++xvbg+=laughing?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
demanded ^vbd+vsua++xvbnx+=demanded.
. ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
faintly ^rb++++=faintly.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
dying ^vbg+++xvbgx+=dying."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
driver ^nn++++=driver
leaned ^vbd+++xvbn+=leaned
confidentially ^rb++++=confidentially
nearer ^rbr++++=nearer.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
breath ^nn++++=breath
removed ^vwbn+++xvbn+=removed
any ^dti++++=any
lingering ^jj+atrb++xvbg+=lingering
doubt ^nn++++=doubt
as ^in++++=as
to ^in"++++=to
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
occupied ^vprf+++xvbnx+=occupied
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
knows ^vbz+vprv+++=knows
London ^np++++=London
mostly ^rb+cnj+++=mostly,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Only
only ^rb+down+++=EXTRAWORD
this ^dt+dem+++=this
' ^zz++++='ere
ere ^nn+++??+=EXTRAWORD
fog ^nn++++=fog
puts ^vbz++++=puts
a ^at++++=a
man ^nn++++=man
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
ladies ^nns++++=ladies
sit ^vb++++=sit
quiet ^jj++++=quiet.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+tht0++=find
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
closed ^vbd+++xvbnx+=closed
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
resumed ^vbd+++xvbn+=resumed
his ^pp$+pp3+++=his
perch ^nn++++=perch.
. ^zz++++=EXTRAWORD
" ^zz++++="Sit
sit ^vb++++=EXTRAWORD
quiet ^jj++++=quiet!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
exclaimed ^vbd+++xvbnx+=exclaimed.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
else ^rb+cnj+++=else
does ^vbz+doz+aux++=does
he ^pp3a+pp3+++=he
suppose ^vb+vprv+tht0++=suppose
we ^pp1a+pp1+++=we
can ^md+pos+++=can
do ^vb+do+aux++=do?
? ^zz++++=EXTRAWORD
Shall ^md+prd+++=Shall
we ^pp1a+pp1+++=we
leap ^vb++++=leap
from ^in++++=from
the ^ati++++=the
vehicle ^nn++++=vehicle,
, ^zz++++=EXTRAWORD
harness ^nns+nom+++=harness
ourselves ^ppls+pp1+++=ourselves
to ^in++++=to
the ^ati++++=the
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
navigate ^nn+nom+++=navigate
by ^in++++=by
the ^ati++++=the
stars ^vbz++++=stars?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
are ^vb+ber+vrb++=are
no ^at++++=no
stars ^nns++++=stars,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kate ^np++++=Kate
observed ^vbd+++xvbn+=observed.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
true ^jj+pred+++=true,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
depressed ^jj+++xvbn+=depressed
me ^pp1o+pp1+++=me
further ^jjb++++=further.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
condition ^nn+nom+++=condition
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
elegant ^jj++++=elegant.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fog ^nn++++=fog
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
everywhere ^rb++++=everywhere.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
hung ^vbd+++xvbn+=hung
in ^in++++=in
drops ^nns++++=drops
upon ^in++++=upon
Kate ^np++++=Kate's
's ^$++++=EXTRAWORD
curls ^nns++++=curls,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
their ^pp$+pp3+++=their
arrangement ^nn+nom+++=arrangement
and ^cc++++=and
lay ^jjb+++xvbn+=lay
mournfully ^jj++++=mournfully
about ^rb++++=about
her ^pp3o+pp3+++=her
face ^nn++++=face.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
glove ^nn++++=glove
had ^vbd+hvd+aux++=had
split ^vprf+++xvbnx+=split
at ^rb++++=at
the ^ati++++=the
thumb ^nn++++=thumb;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
bonnet ^nn++++=bonnet
was ^vbd+bedz+vrb++=was
awry ^rb++++=awry;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
splash ^nn++++=splash
of ^in++++=of
mud ^nn++++=mud
decorated ^vbd+++xvbn+=decorated
her ^pp3o+pp3+++=her
cheek ^nn++++=cheek.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sat ^vbd+++xvbnx+=sat
with ^in++++=with
her ^pp$+pp3+++=her
hands ^nns++++=hands
clasped ^vbd+++xvbn+=clasped
and ^cc++++=and
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
half ^abn++++=half
closed ^jj+++xvbn+=closed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
image ^nn++++=image
of ^in++++=of
a ^at++++=a
dilapidated ^jj+atrb+++=dilapidated
Ophelia ^np+++??+=Ophelia
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
selected ^vprf+++xvbnx+=selected
a ^at++++=a
hansom ^nn+++??+=hansom
instead ^rb+cnj+++=instead
of ^in++++=of
a ^at++++=a
brook ^nn++++=brook.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
look ^vb++++=look
dreadful ^jj++++=dreadful,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
cannot ^md+pos+not++=cannot.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
bonnet ^nn++++=bonnet
is ^vbz+bez+vrb++=is
plain ^nn++++=plain."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Shortly ^rb+tm+++=Shortly
afterward ^rb++++=afterward
she ^pp3a+pp3+++=she
fell ^vbd+++xvbnx+=fell
asleep ^jj++++=asleep.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
never ^rb++splt++=never
forgive ^vb++++=forgive
her ^pp$+pp3+++=her
for ^in++++=for
that ^dt+dem+++=that
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat,
, ^zz++++=EXTRAWORD
sustaining ^vbg+++xvbg+=sustaining
the ^ati++++=the
combined ^jj+atrb++xvbn+=combined
responsibility ^nn+nom+++=responsibility
of ^in++++=of
our ^pp$+pp1+++=our
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
nation ^nn++++=nation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
our ^pp$+pp1+++=our
luggage ^nn+nom+++=luggage
for ^in++++=for
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
a ^at++++=a
small ^jj+atrb+++=small
parcel ^nn++++=parcel
of ^in++++=of
music ^nn++++=music
somewhere ^rb++++=somewhere
beneath ^in+pl+++=beneath
our ^pp$+pp1+++=our
feet ^nns++++=feet
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
slumbered ^vbd+++xvbnx+=slumbered
against ^in++++=against
my ^pp$+pp1+++=my
shoulder ^nn+nom+++=shoulder
and ^cc++++=and
breathed ^vpsv++agls+xvbn+=breathed
with ^in++++=with
enviable ^jj+atrb+++=enviable
regularity ^nn+nom+++=regularity.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
alone ^rb++++=alone
watched ^vbd+++xvbn+=watched
the ^ati++++=the
phantom ^nn++++=phantom
horse ^nn++++=horse
trot ^nn++++=trot
onward ^jjb++++=onward
through ^in++++=through
endless ^jj+atrb+++=endless
streets ^nns++++=streets.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
alone ^jj++++=alone
listened ^jj+++xvbn+=listened
to ^in++++=to
the ^ati++++=the
wheels ^nns++++=wheels
grind ^nn+++??+=grind,
, ^zz++++=EXTRAWORD
splash ^vb++++=splash,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
grind ^nn+++??+=grind
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
alone ^rb++++=alone
imagined ^vbn+vprv++xvbn+=imagined
tomorrow ^nr+tm+++=tomorrow's
's ^$++++=EXTRAWORD
newspapers ^nns+nom+++=newspapers:
: ^zz++++=EXTRAWORD
Mysterious ^jj+atrb+++=MYSTERIOUS
Disappearance ^nn+nom+++=DISAPPEARANCE
Of ^in++++=OF
Two ^cd++++=TWO
American ^jj+atrb+++=AMERICAN
Ladies ^nns++++=LADIES.
. ^zz++++=EXTRAWORD
Believed ^vb+++xvbn+=Believed
to ^to+vcmp+++=to
Have ^vbi+vbi+aux++=Have
Entered ^vprf+++xvbnx+=Entered
a ^at++++=a
Hansom ^np+++??+=Hansom.
. ^zz++++=EXTRAWORD
No ^at++++=No
Trace ^nn++++=Trace
of ^in++++=of
Cabman ^np+++??+=Cabman,
, ^zz++++=EXTRAWORD
Horse ^nn++++=Horse,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
