# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Little ^ap++++=Little
' ^zz++++=EXTRAWORD
fo ^nn+++??+=fo'
' ^zz++++=EXTRAWORD
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Pa
pa ^npt++++=EXTRAWORD
say ^vb+vpub+++=say
cartridges ^nns+++??+=cartridges."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Mathurin ^np++++=Mathurin
laughed ^vbd+++xvbn+=laughed
so ^rb++++=so
heartily ^rb++++=heartily
that ^cs+sub+++=that
his ^pp$+pp3+++=his
cigar ^nn++++=cigar
fell ^vbd+++xvbn+=fell
from ^in++++=from
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="Cartridges!
cartridges ^nns+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
Mathurin ^np+++??+=Mathurin
Landry ^np++++=Landry
is ^vbz+bez+aux++=is
to ^to++++=to
feed ^vb++++=feed
the ^ati++++=the
family ^nn++++=family
and ^cc++++=and
provide ^vb+vsua+++=provide
the ^ati++++=the
hunting ^jj+++xvbg+=hunting
besides ^rb++++=besides.
. ^zz++++=EXTRAWORD
Ma ^npt++++=Ma
foi ^nn+++??+=foi,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
an ^at++++=an
honor ^nn++++=honor."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='Polyte's
polyte ^nn+++??+=EXTRAWORD
's ^$++++=EXTRAWORD
face ^nn++++=face
hardened ^vbd+++xvbn+=hardened.
. ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
cartridges ^nn++++=cartridges.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
tell ^vb++++=tell
your ^pp$+pp2+++=your
pa ^nn++++=pa
he ^pp3a+pp3+++=he
can ^md+pos+++=can
come ^vb++++=come
ask ^vb++++=ask
me ^pp1o+pp1+++=me
hisself ^nn+++??+=hisself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
plowing ^vbg+++xvbgx+=plowing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
plowing ^jj+++xvbg+=plowing
at ^rb++++=at
this ^dt+dem+++=this
hour ^nn++++=hour."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
fixing ^vbg+++xvbgx+=fixing
the ^ati++++=the
plow ^nn+++??+=plow."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
let ^vb+++xvbn+=let
him ^pp3o+pp3+++=him
fix ^vb++++=fix
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Az ^np+++??+=Az
lie ^vb++++=lie
turned ^vbd+++xvbn+=turned
away ^rb+phrv+++=away.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
descended ^vbd+++xvbnx+=descended
the ^ati++++=the
two ^cd++++=two
wooden ^jj+atrb+++=wooden
steps ^nns++++=steps
and ^cc++++=and
crossed ^vbd+++xvbn+=crossed
the ^ati++++=the
yard ^nn++++=yard
with ^in++++=with
the ^ati++++=the
pail ^nn++++=pail
striking ^vwbg+++xvbg+=striking
her ^pp3o+pp3+++=her
knee ^nn++++=knee
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
man ^nn++++=man
spoke ^vbd+++xvbn+=spoke
until ^cs+sub+++=until
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
the ^ati++++=the
cotton ^np++++=cotton
shed ^vbd+++xvbn+=shed.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Mathurin ^np++++=Mathurin
lighted ^vbd+++xvbn+=lighted
another ^dt++++=another
cigar ^nn++++=cigar.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+vrb++=has
a ^at++++=a
gentle ^jj+atrb+++=gentle
face ^nn++++=face,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
girl ^nn++++=girl."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
got ^vbd+++xvbnx+=got
no ^at++++=no
sense ^nn++++=sense,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
' ^zz++++='Polyte.
polyte ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="No?"
no ^at++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
sense ^nn++++=sense
of ^in++++=of
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
No ^at++++=No
shame ^vb++++=shame,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
take ^vb++++=take,
, ^zz++++=EXTRAWORD
take ^vb++++=take,
, ^zz++++=EXTRAWORD
take ^vb++++=take.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
pa ^npt++++=pa
don ^npt++++=don'
' ^zz++++=EXTRAWORD
care ^nn++++=care
how ^wrb+who+++=how
much ^rb++++=much
he ^pp3a+pp3+++=he
owes ^vbz++++=owes.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
ma ^npt++++=ma
don ^npt++++=don'
' ^zz++++=EXTRAWORD
care ^nn++++=care.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
whole ^jj+atrb+++=whole
Li ^np+++??+=Li'le
'le ^nn+++??+=EXTRAWORD
River ^nn++++=River
crowd ^nn++++=crowd's
's ^$++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Mathurin ^np++++=Mathurin
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
with ^in++++=with
mild ^jj+atrb+++=mild
curiosity ^nn+nom+++=curiosity.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
severe ^jj+pred+++=severe
to ^to++++=to-day."
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
their ^pp$+pp3+++=their
kind ^nn++++=kind."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Perhaps.
perhaps ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
give ^vb++++=give
them ^pp3o+pp3+++=them
enough ^qlp++++=enough
to ^to++++=to
finish ^vbi++++=finish
the ^ati++++=the
season ^nn++++=season.
. ^zz++++=EXTRAWORD
Apr ^np+++??+=Apr
s ^zz++++=s
tout ^&fw++++=tout,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
work ^vb++++=work."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Mathurin ^np++++=Mathurin
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone,
, ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^vb+++??+=EXTRAWORD
returned ^vbd+++xvbn+=returned
to ^in++++=to
the ^ati++++=the
desk ^nn++++=desk.
. ^zz++++=EXTRAWORD
The ^ati++++=The
figures ^nns++++=figures
no ^at++++=no
longer ^rbr++++=longer
held ^vbd+vprv++xvbn+=held
themselves ^ppls+pp3+++=themselves
quietly ^rb++++=quietly
in ^in++++=in
their ^pp$+pp3+++=their
columns ^nns++++=columns.
. ^zz++++=EXTRAWORD
Az ^np+++??+=Az
lie ^nn++++=lie's
's ^$++++=EXTRAWORD
requests ^nns++++=requests
intruded ^vprf+++xvbn+=intruded
between ^in++++=between
them ^pp3o+pp3+++=them:
: ^zz++++=EXTRAWORD
coffee ^nn++++=coffee,
, ^zz++++=EXTRAWORD
coal ^nn++++=coal
oil ^nn++++=oil,
, ^zz++++=EXTRAWORD
soap ^nn++++=soap,
, ^zz++++=EXTRAWORD
cartridges ^nns+++??+=cartridges.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
the ^ati++++=the
unreasonable ^jj+atrb+++=unreasonable
impression ^nn++++=impression
that ^tht+ncmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
standing ^vbg+++xvbgx+=standing
in ^in++++=in
the ^ati++++=the
doorway ^nn++++=doorway,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
pleading ^nvbg+++xvbg+=pleading,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
smiling ^jj+++xvbg+=smiling,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
waiting ^vbg+++xvbg+=waiting
for ^in++++=for
the ^ati++++=the
things ^nns++++=things
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
sent ^vpsv++agls+xvbnx+=sent
to ^to++++=to
obtain ^vbi++++=obtain.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shut ^vbd+++xvbnx+=shut
the ^ati++++=the
account ^nn++++=account
book ^nn++++=book
with ^in++++=with
a ^at++++=a
slap ^nn++++=slap.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night
the ^ati++++=the
air ^nn++++=air
lay ^vbd+++xvbn+=lay
warm ^jj++++=warm
and ^cc+phrs+++=and
heavy ^jj++++=heavy
about ^in++++=about
the ^ati++++=the
plantation ^nn+nom+++=plantation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cabins ^nns++++=cabins
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
quiet ^nn++++=quiet
before ^in++++=before
ten ^cd++++=ten,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then
a ^at++++=a
child ^nn++++=child
cried ^vbd+++xvbn+=cried
or ^cc++++=or
a ^at++++=a
man ^nn++++=man
called ^vbd+++xvbn+=called
across ^in+pl+++=across
the ^ati++++=the
quarters ^nns+nom+++=quarters.
. ^zz++++=EXTRAWORD
Frogs ^nns++++=Frogs
sounded ^vbd+++xvbn+=sounded
from ^in++++=from
the ^ati++++=the
ditch ^nn++++=ditch.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cotton ^nn++++=cotton
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale
under ^in++++=under
the ^ati++++=the
rising ^jj+++xvbg+=rising
moon ^np++++=moon,
, ^zz++++=EXTRAWORD
seemed ^vb+++xvbn+=seemed
to ^to+vcmp+++=to
bloom ^vbi++++=bloom
beyond ^in++++=beyond
their ^pp$+pp3+++=their
proper ^jj+atrb+++=proper
limits ^nns++++=limits
and ^cc++++=and
spread ^vpsv++agls+xvbn+=spread
toward ^in++++=toward
the ^ati++++=the
dark ^jj+atrb+++=dark
line ^nn++++=line
of ^in++++=of
woods ^nns++++=woods.
. ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^nn+++??+=EXTRAWORD
slept ^vbd+++xvbn+=slept
in ^in++++=in
a ^at++++=a
small ^jj+atrb+++=small
room ^nn++++=room
behind ^in+pl+++=behind
the ^ati++++=the
plantation ^nn+nom+++=plantation
office ^nn++++=office.
. ^zz++++=EXTRAWORD
Shortly ^rb+tm+++=Shortly
after ^cs+sub+++=after
midnight ^nn++++=midnight
he ^pp3a+pp3+++=he
awoke ^vbd+++xvbnx+=awoke,
, ^zz++++=EXTRAWORD
uncertain ^jj++++=uncertain
what ^wdt+who+whq++=what
had ^vbd+hvd+aux++=had
disturbed ^vprf+++xvbnx+=disturbed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
remained ^vbd+++xvbnx+=remained
still ^jj+pred+++=still
and ^cc++++=and
listened ^vbd+++xvbn+=listened.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
came ^vbd+++xvbn+=came
a ^at++++=a
faint ^jj+atrb+++=faint
metallic ^jj+atrb+++=metallic
touch ^nn++++=touch,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rose ^vbd+++xvbnx+=rose
without ^in++++=without
lighting ^nn++++=lighting
the ^ati++++=the
lamp ^nn++++=lamp.
. ^zz++++=EXTRAWORD
The ^ati++++=The
corridor ^nn++++=corridor
boards ^nns++++=boards
felt ^vbd+vprv++xvbn+=felt
warm ^jj++++=warm
beneath ^rb++++=beneath
his ^pp$+pp3+++=his
bare ^jj+atrb+++=bare
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
the ^ati++++=the
open ^jj+atrb+++=open
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
passage ^nn+nom+++=passage
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
narrow ^jj++++=narrow
and ^cc+phrs+++=and
bright ^jj++++=bright
as ^in++++=as
a ^at++++=a
keen ^jj+atrb+++=keen,
, ^zz++++=EXTRAWORD
curved ^jj+atrb+++=curved
blade ^nn++++=blade.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sound ^nn++++=sound
came ^vbd+++xvbn+=came
again ^rb+tm+++=again
from ^in++++=from
the ^ati++++=the
store ^nn++++=store.
. ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^jj+++??+=EXTRAWORD
dressed ^jj+++xvbn+=dressed
quickly ^rb+cnj+++=quickly,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
the ^ati++++=the
revolver ^nn+nom+++=revolver
from ^in++++=from
beneath ^rb++++=beneath
his ^pp$+pp3+++=his
pillow ^nn++++=pillow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
cross ^vb++++=cross
the ^ati++++=the
yard ^nn++++=yard
directly ^rb++++=directly.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
passed ^vbd+++xvbnx+=passed
around ^rp++++=around
the ^ati++++=the
office ^nn++++=office
and ^cc++++=and
approached ^vpsv++agls+xvbn+=approached
along ^in++++=along
the ^ati++++=the
shadow ^nn++++=shadow
of ^in++++=of
the ^ati++++=the
gallery ^nn+nom+++=gallery.
. ^zz++++=EXTRAWORD
The ^ati++++=The
store ^nn++++=store
door ^nn++++=door
was ^vbd+bedz+aux++=was
closed ^vpsv++agls+xvbnx+=closed.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
shutter ^nn++++=shutter
at ^in++++=at
the ^ati++++=the
rear ^nn++++=rear
stood ^vbd+++xvbn+=stood
open ^jj++++=open
a ^at++++=a
hand ^nn++++=hand's
's ^$++++=EXTRAWORD
breadth ^nn++++=breadth.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
waited ^vbd+++xvbnx+=waited.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
low ^nn++++=low
scrape ^vb++++=scrape
within ^in+strn+++=within,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
the ^ati++++=the
soft ^jj+atrb+++=soft
fall ^nn++++=fall
of ^in++++=of
something ^pn++++=something
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^vb+++??+=EXTRAWORD
moved ^vbd+++xvbn+=moved
to ^in++++=to
the ^ati++++=the
shutter ^nn++++=shutter
and ^cc++++=and
pushed ^vbd+++xvbn+=pushed
it ^pp3+it+++=it
inward ^jjb++++=inward.
. ^zz++++=EXTRAWORD
A ^at++++=A
match ^nn++++=match
flared ^vbd+++xvbn+=flared.
. ^zz++++=EXTRAWORD
For ^in++++=For
an ^at++++=an
instant ^nn+nom+++=instant
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
Az ^np+++??+=Az
lie ^nn++++=lie
beside ^in+pl+++=beside
the ^ati++++=the
counter ^nn++++=counter.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
placed ^vprf+++xvbnx+=placed
a ^at++++=a
sack ^nn++++=sack
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor
and ^cc++++=and
was ^vbd+bedz+aux++=was
bending ^vbg+++xvbgx+=bending
over ^in++++=over
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
light ^nn++++=light
shone ^vbd+++xvbn+=shone
upon ^in++++=upon
her ^pp$+pp3+++=her
face ^nn++++=face,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
bare ^jj+atrb+++=bare
forearm ^nn++++=forearm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
neck ^nn++++=neck
of ^in++++=of
a ^at++++=a
coal ^nn++++=coal-oil
- ^zz++++=EXTRAWORD
oil ^nn++++=EXTRAWORD
bottle ^nn++++=bottle.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
dropped ^vbd+++xvbnx+=dropped
the ^ati++++=the
match ^nn++++=match,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
darkness ^nns+nom+++=darkness
closed ^vbd+++xvbn+=closed
over ^in++++=over
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
" ^zz++++="Don'
don ^npt++++=EXTRAWORD
' ^zz++++=EXTRAWORD
move ^vb++++=move,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
move ^vb++++=move.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
climbed ^vbd+++xvbnx+=climbed
through ^in++++=through
the ^ati++++=the
window ^nn++++=window
and ^cc++++=and
struck ^vbd+++xvbn+=struck
a ^at++++=a
match ^nn++++=match
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own.
. ^zz++++=EXTRAWORD
Az ^np+++??+=Az
lie ^vb++++=lie
stood ^vbd+++xvbn+=stood
with ^in++++=with
her ^pp$+pp3+++=her
hands ^nns++++=hands
at ^rb++++=at
her ^pp3o+pp3+++=her
sides ^nns++++=sides.
. ^zz++++=EXTRAWORD
At ^rb++++=At
her ^pp3o+pp3+++=her
feet ^nns++++=feet
were ^vbd+bed+vrb++=were
coffee ^nn++++=coffee,
, ^zz++++=EXTRAWORD
soap ^nn++++=soap,
, ^zz++++=EXTRAWORD
cartridges ^nns+++??+=cartridges,
, ^zz++++=EXTRAWORD
sugar ^nn++++=sugar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bottle ^nn++++=bottle
of ^in++++=of
oil ^nn++++=oil.
. ^zz++++=EXTRAWORD
" ^zz++++="You!"
you ^pp2+pp2+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
match ^nn++++=match
burned ^vbd+++xvbn+=burned
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
threw ^vbd+++xvbnx+=threw
it ^pp3+it+++=it
down ^rp++++=down
and ^cc++++=and
lighted ^vbd+++xvbn+=lighted
the ^ati++++=the
hanging ^jj+atrb++xvbg+=hanging
lamp ^nn++++=lamp.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
yellow ^jj+atrb+++=yellow
flame ^nn++++=flame
revealed ^vbd+vprv++xvbn+=revealed
the ^ati++++=the
confusion ^nn++++=confusion
around ^in++++=around
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
A ^at++++=A
nail ^vb++++=nail
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
worked ^vpsv++agls+xvbnx+=worked
loose ^jj++++=loose
from ^in++++=from
the ^ati++++=the
shutter ^nn++++=shutter;
; ^zz++++=EXTRAWORD
a ^at++++=a
flour ^nn++++=flour
box ^nn++++=box
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
dragged ^vpsv++agls+xvbnx+=dragged
beneath ^in+pl+++=beneath
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
in ^rb+phrv+++=in
yere ^nn+++??+=yere?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Through
through ^in++++=EXTRAWORD
there ^rn+pl+++=there."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
see ^vb+vprv+++=see
through ^rb+phrv+++=through
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
Who ^whp+who+++=Who
opened ^vprf+++xvbn+=opened
that ^dt+dem+++=that
shutter ^nn++++=shutter?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+vrb++=did."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="With
with ^in++++=EXTRAWORD
w ^zz++++=w'at?"
'at?" ^nn+++??+=EXTRAWORD
She ^pp3a+pp3+++=She
showed ^vbd+vprv++xvbnx+=showed
him ^pp3o+pp3+++=him
a ^at++++=a
narrow ^jj+atrb+++=narrow
iron ^nn++++=iron
blade ^nn++++=blade,
, ^zz++++=EXTRAWORD
broken ^j+++xvbn+=broken
from ^in++++=from
some ^dti++++=some
farm ^nn++++=farm
implement ^nn+nom+++=implement.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
pa ^npt++++=pa
sent ^vbd+++xvbn+=sent
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
ma ^npt++++=ma?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
come ^vb++++=come
by ^in++++=by
yourself ^ppl+pp2+++=yourself?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
quiet ^nn++++=quiet
of ^in++++=of
her ^pp$+pp3+++=her
answers ^nns+nom+++=answers
angered ^vbd+++xvbn+=angered
him ^pp3o+pp3+++=him
more ^rbr++++=more
than ^in++++=than
denial ^nn++++=denial
would ^md+prd+++=would
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
caught ^vbd+++xvbnx+=caught
her ^pp$+pp3+++=her
by ^in++++=by
the ^ati++++=the
wrist ^nn++++=wrist.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+tht0++=know
I ^pp1a+pp1+++=I
can ^md+pos+++=can
put ^vb+++xvbn+=put
you ^pp2+pp2+++=you
in ^in++++=in
jail ^nn++++=jail?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
glanced ^vbd+++xvbnx+=glanced
at ^in++++=at
his ^pp$+pp3+++=his
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
at ^in++++=at
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
stealin ^nn+++??+=stealin'?"
'?" ^nn+++??+=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
needed ^vbd+++xvbn+=needed
them ^pp3o+pp3+++=them
things ^nns++++=things."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^cs+sub+++=EXTRAWORD
don ^npt++++=don'
' ^zz++++=EXTRAWORD
make ^vb++++=make
no ^at++++=no
difference ^nn+nom+++=difference."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
think ^vbi+vprv+tht0++=think
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
mistaken ^vpsv++agls+xvbnx+=mistaken.
. ^zz++++=EXTRAWORD
" ^zz++++="Ma
ma ^npt++++=EXTRAWORD
got ^vbd+++xvbn+=got
no ^at++++=no
oil ^nn++++=oil.
. ^zz++++=EXTRAWORD
The ^ati++++=The
baby ^nn++++=baby
been ^vprf+ben+vrb+xvbn+=been
sick ^jj++++=sick
in ^in++++=in
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Pa ^npt++++=Pa
needs ^nns++++=needs
cartridges ^nns+++??+=cartridges
fo ^nn+++??+=fo'
' ^zz++++=EXTRAWORD
birds ^nns++++=birds.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
got ^vbd+++xvbn+=got
no ^at++++=no
soap ^nn++++=soap,
, ^zz++++=EXTRAWORD
no ^at++++=no
coffee ^nn++++=coffee."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
you ^pp2+pp2+++=you
