**the ^nn+++??+=**THE
Last ^rb++++=LAST
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
song ^nn++++=song.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
shall ^md+prd+++=shall
arise ^vb++++=arise
a ^at++++=a
race ^nn++++=race
not ^xnot++not++=not
born ^vbd+++xvbn+=born
of ^in++++=of
the ^ati++++=the
infirm ^jj+atrb+++=infirm
humanity ^nn+nom+++=humanity
thou ^pp2+pp2+++=thou
knewest ^jjt++++=knewest,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
fashioned ^vpsv++agls+xvbn+=fashioned
from ^in++++=from
its ^pp$+it+++=its
purified ^vprf+++xvbn+=purified
remembrance ^nn+nom+++=remembrance.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
No ^at++++=No!
! ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Yea ^np+++??+=Yea.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Men ^nns++++=Men
again ^rb+tm+++=again?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Not ^xnot++not++=Not
men ^nns++++=men
as ^ql++++=as
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tree ^nn++++=tree
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
slain ^nn+++??+=slain
because ^cs+cos+++=because
its ^pp$+it+++=its
rotten ^jj+atrb+++=rotten
branches ^nns++++=branches
are ^vb+ber+aux++=are
cut ^vpsv++agls+xvbnx+=cut
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
A ^at++++=A
nobler ^jjr+atrb+++=nobler
stem ^nn++++=stem
shall ^md+prd+++=shall
rise ^vb++++=rise:
: ^zz++++=EXTRAWORD
a ^at++++=a
race ^nn++++=race
without ^in++++=without
greed ^nn++++=greed,
, ^zz++++=EXTRAWORD
without ^in++++=without
falsehood ^nn+nom+++=falsehood,
, ^zz++++=EXTRAWORD
without ^in++++=without
masters ^nns+nom+++=masters
or ^cc++++=or
slaves ^nns++++=slaves;
; ^zz++++=EXTRAWORD
strong ^jj++++=strong
without ^in++++=without
cruelty ^nn++++=cruelty,
, ^zz++++=EXTRAWORD
wise ^jj++++=wise
without ^in++++=without
pride ^nn++++=pride,
, ^zz++++=EXTRAWORD
beautiful ^jj++++=beautiful
without ^in++++=without
vanity ^nn++++=vanity.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
shall ^md+prd+++=shall
possess ^nns+nom+++=possess
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
burn ^vb++++=burn
no ^at++++=no
city ^nn++++=city;
; ^zz++++=EXTRAWORD
speech ^nn++++=speech,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
utter ^jjb++++=utter
no ^at++++=no
lie ^vb++++=lie;
; ^zz++++=EXTRAWORD
love ^nn++++=love,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
forge ^nn++++=forge
no ^at++++=no
chain ^nn++++=chain
from ^in++++=from
love ^nn++++=love.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
temples ^nns++++=temples
shall ^md+prd+++=shall
have ^vb+hv+vrb++=have
no ^at++++=no
victims ^nns++++=victims,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
laws ^nns++++=laws
no ^at++++=no
executioners ^nns+nom+++=executioners,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
frontiers ^nns+nom+++=frontiers
no ^at++++=no
graves ^np++++=graves.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Be ^vb+be+vrb++=Be
silent ^jj+pred+++=silent!
! ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Why ^wrb+who+++=Why?
? ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Thou ^pp2+pp2+++=Thou
disturbest ^jjt+atrb+++=disturbest
death ^nn++++=death.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Death ^nn++++=Death
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
so ^ql+emph+++=so
light ^jj++++=light
a ^at++++=a
sleeper ^nn++++=sleeper.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
attained ^vprf+++xvbnx+=attained
certainty ^nn++++=certainty.
. ^zz++++=EXTRAWORD
Dost ^np+++??+=Dost
thou ^pp2+pp2+++=thou
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
certainty ^nn++++=certainty
means ^nns++++=means
to ^to++++=to
one ^cd1++++=one
who ^whp+rel+subj++=who
hath ^vbz+hvz+aux++=hath
walked ^vprf+++xvbnx+=walked
through ^in++++=through
doubt ^nn++++=doubt
for ^in++++=for
a ^at++++=a
million ^cd++++=million
dawns ^vbz+++??+=dawns?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
reached ^vprf+++xvbnx+=reached
the ^ati++++=the
last ^rb++++=last
gate ^nn++++=gate
of ^in++++=of
the ^ati++++=the
many ^ap++++=many-gated
- ^zz++++=EXTRAWORD
gated ^vbd+++xvbn+=EXTRAWORD
city ^npl++++=city
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
hand ^nn++++=hand
was ^vbd+bedz+vrb++=was
upon ^in++++=upon
the ^ati++++=the
latch ^nn++++=latch.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
it ^pp3+it+++=it
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
road ^npl++++=road,
, ^zz++++=EXTRAWORD
no ^at++++=no
command ^nn++++=command,
, ^zz++++=EXTRAWORD
no ^at++++=no
morrow ^nn++++=morrow.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
thou ^pp2+pp2+++=thou
criest ^jjt++++=criest
that ^dt+dem+++=that
the ^ati++++=the
road ^nn++++=road
begins ^vbz++++=begins
anew ^nn+++??+=anew!
! ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Would ^md+prd+++=Would
that ^cs+sub+++=that
grieve ^np++++=grieve
thee ^pp2+pp2+++=thee?
? ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Grieve ^np+++??+=Grieve
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
Hear ^vb+vprv+++=Hear,
, ^zz++++=EXTRAWORD
Titan ^nn++++=Titan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
judge ^nn++++=judge.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
once ^rb+tm+++=once
at ^rb++++=at
a ^at++++=a
door ^nn++++=door
in ^in++++=in
Jerusalem ^np++++=Jerusalem.
. ^zz++++=EXTRAWORD
The ^ati++++=The
noon ^nn++++=noon
was ^vbd+bedz+vrb++=was
white ^jj+pred+++=white,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dust ^nn++++=dust
bitter ^jj++++=bitter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
streets ^nns++++=streets
howled ^vbd+++xvbn+=howled
with ^in++++=with
a ^at++++=a
multitude ^nn++++=multitude
hungry ^jj++++=hungry
for ^in++++=for
suffering ^xvbg+++xvbg+=suffering.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
approached ^vbd+++xvbn+=approached
beneath ^in+pl+++=beneath
a ^at++++=a
cross ^nn++++=cross.
. ^zz++++=EXTRAWORD
Blood ^nn++++=Blood
covered ^vbd+++xvbn+=covered
his ^pp$+pp3+++=his
brow ^nn++++=brow;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
knees ^nns++++=knees
trembled ^vbd+++xvbn+=trembled;
; ^zz++++=EXTRAWORD
behind ^in+pl+++=behind
him ^pp3o+pp3+++=him
came ^vbd+++xvbn+=came
soldiers ^nns+nom+++=soldiers,
, ^zz++++=EXTRAWORD
women ^nns++++=women,
, ^zz++++=EXTRAWORD
mockers ^nns+nom+++=mockers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+dem+++=those
mild ^jj+atrb+++=mild
spectators ^nns++++=spectators
who ^whp+rel+subj++=who
commit ^vb++++=commit
every ^at++++=every
cruelty ^nn++++=cruelty
by ^in++++=by
merely ^rb+down+++=merely
looking ^vbg+++xvbg+=looking
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
leaned ^vbd+++xvbnx+=leaned
toward ^in++++=toward
my ^pp$+pp1+++=my
threshold ^nn++++=threshold
and ^cc++++=and
asked ^vbd+vsua++xvbn+=asked
one ^cd1++++=one
moment ^nn++++=moment's
's ^$++++=EXTRAWORD
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
refused ^vbd+++xvbnx+=refused
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
I ^pp1a+pp1+++=I
feared ^vbd+vprv++xvbnx+=feared
the ^ati++++=the
Romans ^nn++++=Romans.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
I ^pp1a+pp1+++=I
loved ^vbd+++xvbnx+=loved
my ^pp$+pp1+++=my
clean ^jj+atrb+++=clean
stone ^nn++++=stone
more ^rbr++++=more
than ^in++++=than
his ^pp$+pp3+++=his
anguish ^nn++++=anguish.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
evil ^nn++++=evil
needs ^nns++++=needs
no ^at++++=no
great ^jj+atrb+++=great
cause ^nn++++=cause,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
enters ^vbz++++=enters
through ^in++++=through
a ^at++++=a
crevice ^&fw++++=crevice
no ^at++++=no
wider ^nn++++=wider
than ^in++++=than
a ^at++++=a
thought ^nn+++xvbn+=thought.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thrust ^vbd+++xvbnx+=thrust
him ^pp3o+pp3+++=him
away ^rp+pl+++=away
and ^cc++++=and
cried ^vbd+++xvbn+=cried,
, ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
on ^in+strn+++=on!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
No ^at++++=No
thunder ^nn++++=thunder
spoke ^vbd+++xvbn+=spoke.
. ^zz++++=EXTRAWORD
No ^at++++=No
angel ^nn++++=angel
drew ^vbd+++xvbn+=drew
a ^at++++=a
sword ^nn++++=sword.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said
only ^rb+cnj+++=only,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
go ^vb++++=go;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
thou ^pp2+pp2+++=thou
shalt ^md++++=shalt
go ^vb++++=go
until ^cs+sub+++=until
I ^pp1a+pp1+++=I
return ^vb++++=return."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Thenceforth ^np+++??+=Thenceforth
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Century ^nn++++=Century
after ^in++++=after
century ^nn++++=century.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Century ^nn++++=Century
after ^in++++=after
century ^nn++++=century;
; ^zz++++=EXTRAWORD
dawn ^nn++++=dawn
upon ^in++++=upon
dawn ^nn++++=dawn,
, ^zz++++=EXTRAWORD
sunset ^nn++++=sunset
upon ^in++++=upon
sunset ^nn++++=sunset.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
crossed ^vbd+++xvbnx+=crossed
lands ^nns++++=lands
whose ^whp+rel+obj++=whose
names ^nns++++=names
were ^vbd+bed+aux++=were
not ^xnot++not++=not
yet ^rb++++=yet
conceived ^vwbn+++xvbn+=conceived,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
returned ^vbd+++xvbn+=returned
when ^wrb+who+++=when
their ^pp$+pp3+++=their
names ^nns++++=names
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
forgotten ^vpsv++agls+xvbnx+=forgotten.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
beheld ^nn+++??+=beheld
Rome ^np++++=Rome
crowned ^vwbn+++xvbn+=crowned,
, ^zz++++=EXTRAWORD
drunken ^jj++++=drunken,
, ^zz++++=EXTRAWORD
Christian ^jj++++=Christian,
, ^zz++++=EXTRAWORD
divided ^xvbn+++xvbn+=divided,
, ^zz++++=EXTRAWORD
sacked ^xvbn+++xvbn+=sacked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
buried ^vpsv++agls+xvbn+=buried
beneath ^in+pl+++=beneath
the ^ati++++=the
palaces ^nns++++=palaces
of ^in++++=of
men ^nns++++=men
who ^whp+rel+subj++=who
called ^vbd+++xvbn+=called
themselves ^ppls+pp3+++=themselves
Romans ^nn++++=Romans.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
the ^ati++++=the
Cross ^nn++++=Cross
lifted ^vbd+++xvbn+=lifted
above ^jjb++++=above
the ^ati++++=the
eagle ^nn++++=eagle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
eagle ^nn++++=eagle
painted ^vbd+++xvbn+=painted
upon ^in++++=upon
shields ^nns++++=shields
beneath ^in+pl+++=beneath
the ^ati++++=the
Cross ^nn++++=Cross.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
monks ^nns++++=monks
dispute ^nn++++=dispute
concerning ^in++++=concerning
mercy ^nn++++=mercy
while ^cs+sub+++=while
peasants ^nns+nom+++=peasants
starved ^vprf+++xvbn+=starved
outside ^jjb++++=outside
their ^pp$+pp3+++=their
walls ^nns++++=walls.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
caliphs ^nns+++??+=caliphs
enter ^vb++++=enter
cities ^nns++++=cities
with ^in++++=with
wisdom ^nn++++=wisdom
and ^cc++++=and
their ^pp$+pp3+++=their
heirs ^nns++++=heirs
depart ^vb++++=depart
them ^pp3o+pp3+++=them
with ^in++++=with
treasure ^nn++++=treasure.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
followed ^vbd+vprv++xvbnx+=followed
crusaders ^nns+nom+++=crusaders
to ^in++++=to
Jerusalem ^np++++=Jerusalem
and ^cc++++=and
merchants ^nns+nom+++=merchants
to ^in++++=to
Cathay ^np+++??+=Cathay;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
watched ^vbd+++xvbnx+=watched
black ^jj+atrb+++=black
ships ^nns++++=ships
carry ^vb++++=carry
chains ^nns++++=chains
toward ^in++++=toward
the ^ati++++=the
west ^np+pl+++=west
and ^cc++++=and
golden ^jj+atrb+++=golden
ships ^nns++++=ships
carry ^vb++++=carry
death ^nn++++=death
toward ^in++++=toward
the ^ati++++=the
east ^np+pl+++=east.
. ^zz++++=EXTRAWORD
Everywhere ^rb++++=Everywhere
the ^ati++++=the
race ^nn++++=race,
, ^zz++++=EXTRAWORD
the ^ati++++=the
creed ^nn++++=creed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tongue ^nn++++=tongue
changed ^vbd+++xvbn+=changed;
; ^zz++++=EXTRAWORD
everywhere ^rb++++=everywhere
the ^ati++++=the
cry ^nn++++=cry
remained ^vbd+++xvbn+=remained.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Yet ^rb++++=Yet
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
also ^rb++++=also
laughter ^nn+nom+++=laughter.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Brief ^jj+atrb+++=Brief
laughter ^nn+nom+++=laughter
between ^in++++=between
two ^cd++++=two
funerals ^nns+nom+++=funerals!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
Abraham ^np++++=Abraham's
's ^$++++=EXTRAWORD
children ^nns++++=children
slay ^vb++++=slay
one ^cd1++++=one
another ^dt++++=another
over ^in++++=over
Abraham ^np++++=Abraham's
's ^$++++=EXTRAWORD
blessing ^nn++++=blessing.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
Moses ^np++++=Moses
engraved ^vbd+++xvbn+=engraved
above ^jjb+atrb+++=above
courts ^nns++++=courts
where ^wrb+who+++=where
justice ^nn++++=justice
was ^vbd+bedz+aux++=was
sold ^vpsv++agls+xvbnx+=sold.
. ^zz++++=EXTRAWORD
David ^np++++=David's
's ^$++++=EXTRAWORD
songs ^nns++++=songs
were ^vbd+bed+aux++=were
sung ^vpsv++by+xvbnx+=sung
by ^in++++=by
armies ^nns++++=armies
marching ^vwbg+++xvbg+=marching
to ^in++++=to
plunder ^nn++++=plunder.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Nazarene ^np++++=Nazarene's
's ^$++++=EXTRAWORD
wounds ^nns++++=wounds
were ^vbd+bed+aux++=were
painted ^vpsv++agls+xvbnx+=painted
upon ^in++++=upon
banners ^nns+nom+++=banners
that ^tht+rel+subj++=that
covered ^vprf+++xvbn+=covered
fresh ^jj+atrb+++=fresh
wounds ^nns++++=wounds.
. ^zz++++=EXTRAWORD
Philosophers ^nns+nom+++=Philosophers
praised ^vbd+++xvbn+=praised
reason ^nn++++=reason
and ^cc++++=and
flattered ^vbd+++xvbn+=flattered
tyrants ^nns+nom+++=tyrants;
; ^zz++++=EXTRAWORD
poets ^nns++++=poets
praised ^vbd+++xvbn+=praised
love ^nn++++=love
and ^cc++++=and
abandoned ^vbd+++xvbn+=abandoned
their ^pp$+pp3+++=their
children ^nns++++=children;
; ^zz++++=EXTRAWORD
kings ^npt++++=kings
erected ^vwbn+++xvbn+=erected
monuments ^nns+nom+++=monuments
to ^in++++=to
peace ^nn++++=peace
with ^in++++=with
the ^ati++++=the
spoil ^nn++++=spoil
of ^in++++=of
war ^nn++++=war.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
not ^xnot++not++=not
speak ^vb++++=speak
to ^in++++=to
me ^pp1o+pp1+++=me
of ^in++++=of
peoples ^nns++++=peoples.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
known ^vprf+++xvbnx+=known
barbarous ^jj+atrb+++=barbarous
and ^cc+phrs+++=and
civilized ^jj+atrb+++=civilized
peoples ^nns++++=peoples,
, ^zz++++=EXTRAWORD
clothed ^xvbn+++xvbn+=clothed
and ^cc++++=and
naked ^jj+atrb+++=naked
peoples ^nns++++=peoples,
, ^zz++++=EXTRAWORD
peoples ^nns++++=peoples
of ^in++++=of
islands ^nns++++=islands
and ^cc++++=and
continents ^nns++++=continents,
, ^zz++++=EXTRAWORD
of ^in++++=of
suns ^nns+++??+=suns
and ^cc++++=and
snows ^nps++++=snows.
. ^zz++++=EXTRAWORD
The ^ati++++=The
barbarian ^nn++++=barbarian
broke ^vbd+++xvbn+=broke
the ^ati++++=the
skull ^nn++++=skull
with ^in++++=with
a ^at++++=a
stone ^nn++++=stone;
; ^zz++++=EXTRAWORD
the ^ati++++=the
civilized ^jj+atrb+++=civilized
man ^nn++++=man
pressed ^vbd+++xvbn+=pressed
a ^at++++=a
lever ^nn++++=lever
beyond ^in++++=beyond
the ^ati++++=the
horizon ^nn++++=horizon.
. ^zz++++=EXTRAWORD
Progress ^nns+nom+++=Progress
altered ^vwbn+++xvbn+=altered
the ^ati++++=the
instrument ^nn+nom+++=instrument,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Thou ^pp2+pp2+++=Thou
hast ^&fw++++=hast
seen ^vbd+vprv++xvbn+=seen
much ^ap++++=much.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
too ^ql++++=too
much ^ap++++=much
and ^cc++++=and
done ^vwbn+++xvbn+=done
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
lay ^jjb+++xvbn+=lay
the ^ati++++=the
cruelty ^nn++++=cruelty
of ^in++++=of
my ^pp$+pp1+++=my
sentence ^nn+nom+++=sentence.
. ^zz++++=EXTRAWORD
Had ^vb+hv+aux++=Had
I ^pp1a+pp1+++=I
been ^vprf+ben+aux+xvbnx+=been
commanded ^vpsv++agls+xvbnx+=commanded
to ^to++++=to
build ^vbi++++=build,
, ^zz++++=EXTRAWORD
the ^ati++++=the
labor ^nn++++=labor
might ^md+pos+++=might
have ^vb+hv+aux++=have
comforted ^vprf+++xvbnx+=comforted
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Had ^vb+hv+aux++=Had
I ^pp1a+pp1+++=I
been ^vprf+ben+aux+xvbnx+=been
permitted ^vpsv++agls+xvbnx+=permitted
to ^in+vcmp+++=to
heal ^jj++++=heal,
, ^zz++++=EXTRAWORD
a ^at++++=a
single ^jj+atrb+++=single
child ^nn++++=child's
's ^$++++=EXTRAWORD
gratitude ^nn++++=gratitude
might ^md+pos+++=might
have ^vb+hv+vrb++=have
shortened ^jj++++=shortened
an ^at++++=an
age ^nn++++=age.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
wandered ^vbd+++xvbnx+=wandered.
. ^zz++++=EXTRAWORD
Empires ^np+++??+=Empires
rose ^vbd+++xvbn+=rose
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
crossed ^vbd+++xvbnx+=crossed
a ^at++++=a
mountain ^nn++++=mountain
and ^cc++++=and
fell ^vbd+++xvbn+=fell
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
crossed ^vbd+++xvbnx+=crossed
it ^pp3+it+++=it
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
begged ^vbd+++xvbn+=begged
me ^pp1o+pp1+++=me
for ^in++++=for
the ^ati++++=the
future ^jjb++++=future,
, ^zz++++=EXTRAWORD
supposing ^vbg+vprv+tht0+xvbg+=supposing
age ^nn++++=age
must ^md+nec+++=must
know ^vb+vprv+++=know;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
only ^rb+down+++=only
that ^dt+dem+++=that
the ^ati++++=the
future ^nn++++=future
would ^md+prd+++=would
resemble ^vb++++=resemble
the ^ati++++=the
past ^nn++++=past
wearing ^vwbg+++xvbg+=wearing
another ^dt++++=another
mask ^nn++++=mask.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
warned ^vbd+vpub++xvbnx+=warned
Sardanapalus ^np+++??+=Sardanapalus;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
for ^in+ppvb+++=for
music ^nn++++=music.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
warned ^vbd+vpub++xvbnx+=warned
a ^at++++=a
conqueror ^nn++++=conqueror
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
entered ^vbd+++xvbnx+=entered
the ^ati++++=the
snow ^nn++++=snow;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
laughed ^vbd+++xvbnx+=laughed
at ^in+ppvb+++=at
my ^pp$+pp1+++=my
rags ^nns++++=rags.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
warned ^vbd+vpub++xvbnx+=warned
a ^at++++=a
republic ^nn++++=republic
that ^tht+rel+obj++=that
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
adore ^vbi++++=adore
its ^pp$+it+++=its
own ^ap++++=own
reflection ^nn+nom+++=reflection;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
raised ^vbd+++xvbn+=raised
statues ^nns+++??+=statues
to ^in++++=to
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
spoke ^vbd+++xvbnx+=spoke
in ^in++++=in
markets ^nns++++=markets,
, ^zz++++=EXTRAWORD
courts ^nns++++=courts,
, ^zz++++=EXTRAWORD
camps ^nns++++=camps,
, ^zz++++=EXTRAWORD
universities ^nns+nom+++=universities.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
they ^pp3a+pp3+++=they
stoned ^vbd+++xvbnx+=stoned
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
crowned ^vbd+++xvbn+=crowned
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
printed ^jj+++xvbn+=printed
my ^pp$+pp1+++=my
words ^nns++++=words
and ^cc++++=and
understood ^vbd+vprv++xvbn+=understood
not ^xnot++not++=not
a ^at++++=a
jot ^nn++++=jot
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stones ^nns++++=stones,
, ^zz++++=EXTRAWORD
the ^ati++++=the
crowns ^nns++++=crowns,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
books ^nns++++=books
became ^vbd+++xvbn+=became
dust ^nn++++=dust.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remained ^vbd+++xvbnx+=remained.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Knowledge ^nn++++=Knowledge
remained ^vbd+++xvbn+=remained
in ^in++++=in
thee ^pp2+pp2+++=thee.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Knowledge ^nn++++=Knowledge
without ^in++++=without
use ^nn++++=use
is ^vbz+bez+vrb++=is
a ^at++++=a
lamp ^nn++++=lamp
in ^in++++=in
a ^at++++=a
tomb ^nn++++=tomb.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
thou ^pp2+pp2+++=thou
wert ^vb+++??+=wert
the ^ati++++=the
memory ^nn++++=memory
of ^in++++=of
mankind ^nn++++=mankind.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
A ^at++++=A
book ^nn++++=book
no ^at++++=no
man ^nn++++=man
could ^md+pos+++=could
finish ^vb++++=finish!
! ^zz++++=EXTRAWORD
Each ^dt++++=Each
generation ^nn+nom+++=generation
opened ^vbd+++xvbn+=opened
me ^pp1o+pp1+++=me
at ^in++++=at
the ^ati++++=the
page ^nn++++=page
flattering ^jj++++=flattering
to ^in++++=to
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
The ^ati++++=The
happy ^nn++++=happy
