Dr ^npt++++=Dr.
is ^vbz+bez+aux++=is
easily ^rb++splt++=easily
said ^vpsv++agls+xvbnx+=said.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
even ^rb++++=even
neat ^jj+pred+++=neat.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
two ^cd++++=two
sentences ^nns+nom+++=sentences,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Clara ^np++++=Clara's
's ^$++++=EXTRAWORD
youth ^nn++++=youth
appears ^vbz+seem+++=appears
explained ^vbd+vpub++xvbn+=explained.
. ^zz++++=EXTRAWORD
Leroy ^np+++??+=LeRoy
would ^md+prd+++=would
have ^vb+hv+aux++=have
objected ^vprf+++xvbnx+=objected.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
were ^vbd+bed+vrb++=weren't
n't ^xnot++not++0=EXTRAWORD
there ^rn+pl+++=there,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
her ^pp$+pp3+++=her
hands ^nns++++=hands."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
hands ^nns++++=hands
were ^vbd+bed+vrb++=were
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
first ^od++++=first
remembered ^vbd+vprv++xvbn+=remembered.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
large ^jj+pred+++=large,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale
hands ^nns++++=hands
with ^in++++=with
blunt ^jj+atrb+++=blunt
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
played ^vbd+++xvbnx+=played
the ^ati++++=the
piano ^nn++++=piano
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
strong ^jj+pred+++=strong
and ^cc+phrs+++=and
sure ^jj++++=sure,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
a ^at++++=a
man ^nn++++=man
spoke ^vbd+++xvbn+=spoke
to ^in++++=to
her ^pp$+pp3+++=her
they ^pp3a+pp3+++=they
flew ^vbd+++xvbnx+=flew
to ^in++++=to
her ^pp$+pp3+++=her
throat ^nn++++=throat
or ^cc++++=or
twisted ^vbd+++xvbn+=twisted
together ^nn+nom+++=together
in ^in++++=in
her ^pp$+pp3+++=her
lap ^nn++++=lap.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
came ^vbd+++xvbnx+=came
to ^in++++=to
Chicago ^np++++=Chicago
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
imagined ^vprf+++xvbnx+=imagined
that ^tht+vcmp+++=that
life ^nn++++=life
there ^ex+pex+++=there
would ^md+prd+++=would
open ^vb++++=open.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
would ^md+prd+++=would
be ^vb+be+vrb++=be
concerts ^nns++++=concerts,
, ^zz++++=EXTRAWORD
streets ^nns++++=streets
full ^jj++++=full
of ^in++++=of
people ^nns++++=people,
, ^zz++++=EXTRAWORD
lights ^nns++++=lights,
, ^zz++++=EXTRAWORD
young ^jj+atrb+++=young
men ^nns++++=men
who ^whp+rel+subj++=who
read ^vb+vprv++xvbn+=read
books ^nns++++=books.
. ^zz++++=EXTRAWORD
Love ^nn++++=Love
would ^md+prd+++=would
come ^vb++++=come,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
would ^md+prd+++=would
come ^vb++++=come
in ^in++++=in
some ^dti++++=some
form ^nn++++=form
different ^jj++++=different
from ^in++++=from
the ^ati++++=the
awkward ^jj+atrb+++=awkward
courtships ^nns+nom+++=courtships
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
at ^rb++++=at
home ^nr++++=home.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
be ^vb+be+vrb++=be
noble ^jj+pred+++=noble
and ^cc+phrs+++=and
safe ^jj++++=safe.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
understand ^vb+vprv+++=understand
her ^pp$+pp3+++=her
before ^in++++=before
touching ^xvbg+++xvbg+=touching
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
five ^cd++++=five
men ^nns++++=men
in ^in++++=in
the ^ati++++=the
boardinghouse ^nn+++??+=boardinghouse.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
ordinary ^jj+atrb+++=ordinary
young ^jj+atrb+++=young
men ^nns++++=men
a ^at++++=a
salesman ^nn+nom+++=salesman,
, ^zz++++=EXTRAWORD
a ^at++++=a
bookkeeper ^jjr++++=bookkeeper,
, ^zz++++=EXTRAWORD
two ^cd++++=two
students ^nns++++=students,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Leroy ^np+++??+=LeRoy.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
they ^pp3a+pp3+++=they
paid ^vbd+++xvbnx+=paid
little ^ap++++=little
attention ^nn+nom+++=attention
to ^in++++=to
Clara ^np++++=Clara.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
ate ^vbd+++xvbnx+=ate
quietly ^rb+cnj+++=quietly,
, ^zz++++=EXTRAWORD
wore ^jj+atrb++xvbn+=wore
dark ^jj+atrb+++=dark
dresses ^nns+nom+++=dresses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
each ^dt++++=each
morning ^nn++++=morning
carrying ^vwbg+++xvbg+=carrying
music ^nn++++=music
books ^nns++++=books.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
began ^vbd+++xvbnx+=began
to ^to++++=to
talk ^vbi++++=talk.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
asked ^vbd+vsua++xvbnx+=asked
the ^ati++++=the
bookkeeper ^jjr++++=bookkeeper
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
ever ^rb++++=ever
felt ^vbd+vprv++xvbn+=felt
lonely ^jj++++=lonely
in ^in++++=in
the ^ati++++=the
city ^nn++++=city.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stood ^vbd+++xvbnx+=stood
beside ^in+pl+++=beside
the ^ati++++=the
salesman ^nn+nom+++=salesman
on ^in++++=on
the ^ati++++=the
front ^jjb+atrb+++=front
steps ^nns++++=steps
and ^cc++++=and
asked ^vbd+vsua++xvbn+=asked
him ^pp3o+pp3+++=him
to ^to++++=to
walk ^vbi++++=walk
with ^in++++=with
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
entered ^vbd+++xvbnx+=entered
Leroy ^np++++=LeRoy's
's ^$++++=EXTRAWORD
room ^nn++++=room
one ^cd1++++=one
afternoon ^nn++++=afternoon
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
his ^pp$+pp3+++=his
pictures ^nns++++=pictures
and ^cc++++=and
remained ^vpsv++agls+xvbn+=remained
for ^in++++=for
an ^at++++=an
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face
became ^vbd+++xvbn+=became
bright ^jj++++=bright
when ^wrb+who+++=when
the ^ati++++=the
men ^nns++++=men
gathered ^vbd+++xvbn+=gathered
about ^in++++=about
her ^pp$+pp3+++=her
at ^in++++=at
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
laughed ^vbd+++xvbnx+=laughed
too ^rb++++=too
loudly ^rb++++=loudly.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
a ^at++++=a
student ^nn++++=student
told ^vbd+vpub++xvbn+=told
a ^at++++=a
foolish ^jj+atrb+++=foolish
story ^nn++++=story,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
put ^vbd+++xvbnx+=put
her ^pp$+pp3+++=her
hand ^nn++++=hand
on ^in++++=on
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve
and ^cc++++=and
left ^nn+++xvbn+=left
it ^pp3+it+++=it
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
The ^ati++++=The
men ^nns++++=men
thought ^vbd+++xvbn+=thought
her ^pp3o+pp3+++=her
eager ^jj++++=eager
for ^in++++=for
love ^nn++++=love.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
their ^pp$+pp3+++=their
phrase ^nn++++=phrase.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
whispered ^vbd+vpub+tht0+xvbnx+=whispered
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
hall ^nn++++=hall.
. ^zz++++=EXTRAWORD
The ^ati++++=The
salesman ^nn+nom+++=salesman
offered ^vbd+++xvbn+=offered
to ^to++++=to
take ^vbi++++=take
her ^pp$+pp3+++=her
to ^in++++=to
the ^ati++++=the
theater ^nn++++=theater.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
way ^nn++++=way
home ^nr++++=home
he ^pp3a+pp3+++=he
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
kiss ^vbi++++=kiss
her ^pp$+pp3+++=her
in ^in++++=in
the ^ati++++=the
shadow ^nn++++=shadow
beside ^in+pl+++=beside
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Clara ^np++++=Clara
struck ^vbd+++xvbn+=struck
him ^pp3o+pp3+++=him
across ^in+pl+++=across
the ^ati++++=the
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
evening ^nn++++=evening
she ^pp3a+pp3+++=she
sat ^vbd+++xvbnx+=sat
near ^rb++++=near
him ^pp3o+pp3+++=him
and ^cc++++=and
asked ^vbd+vsua++xvbn+=asked
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
angry ^jj+pred+++=angry.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
spoke ^vbd+++xvbnx+=spoke
softly ^rb++++=softly
and ^cc++++=and
looked ^vpsv++agls+xvbn+=looked
into ^in+ppvb+++=into
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
touched ^vbd+++xvbnx+=touched
her ^pp$+pp3+++=her
hand ^nn++++=hand
she ^pp3a+pp3+++=she
jumped ^vbd+++xvbnx+=jumped
up ^rp++++=up,
, ^zz++++=EXTRAWORD
upsetting ^vbg+++xvbg+=upsetting
a ^at++++=a
lamp ^nn++++=lamp.
. ^zz++++=EXTRAWORD
With ^in++++=With
the ^ati++++=the
bookkeeper ^jjr++++=bookkeeper
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
same ^ap++++=same.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
asked ^vbd+vsua++xvbnx+=asked
him ^pp3o+pp3+++=him
to ^to++++=to
walk ^vbi++++=walk
beside ^in+pl+++=beside
the ^ati++++=the
lake ^nn++++=lake
and ^cc++++=and
spoke ^vpsv++agls+xvbn+=spoke
of ^in++++=of
marriage ^nn+nom+++=marriage,
, ^zz++++=EXTRAWORD
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sadness ^nns+nom+++=sadness
of ^in++++=of
returning ^xvbg+++xvbg+=returning
at ^rb++++=at
night ^nn++++=night
to ^in++++=to
an ^at++++=an
empty ^jj+atrb+++=empty
room ^nn++++=room.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
put ^vbd+++xvbnx+=put
his ^pp$+pp3+++=his
arm ^vb++++=arm
about ^in++++=about
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
screamed ^vbd+++xvbnx+=screamed
and ^cc+phrs+++=and
ran ^vbd+++xvbn+=ran
from ^in++++=from
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
young ^jj+atrb+++=young
men ^nns++++=men
began ^vbd+++xvbn+=began
to ^to++++=to
hate ^vbi++++=hate
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
angers ^nn++++=angers
some ^dti++++=some
men ^nns++++=men
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
woman ^nn++++=woman
who ^whp+rel+obj++=who
awakens ^nns+++??+=awakens
desire ^nn++++=desire
and ^cc++++=and
then ^rn+tm+++=then
is ^vbz+bez+vrb++=is
afraid ^jj+pred+++=afraid
of ^in++++=of
the ^ati++++=the
desire ^nn++++=desire
she ^pp3a+pp3+++=she
has ^vbz+hvz+aux++=has
awakened ^vprf+++xvbnx+=awakened.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
said ^vbd+vpub+tht0+xvbnx+=said
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
playing ^vbg+++xvbgx+=playing
with ^in++++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
called ^vbd+++xvbnx+=called
her ^pp3o+pp3+++=her
cold ^jj++++=cold,
, ^zz++++=EXTRAWORD
sly ^jj++++=sly,
, ^zz++++=EXTRAWORD
hungry ^jj++++=hungry,
, ^zz++++=EXTRAWORD
unnatural ^jj++++=unnatural.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
word ^nn++++=word
relieved ^vbd+++xvbn+=relieved
them ^pp3o+pp3+++=them
of ^in++++=of
the ^ati++++=the
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
wonder ^vb++++=wonder
about ^in++++=about
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Leroy ^np+++??+=LeRoy
also ^rb++++=also
wondered ^vbd+vprv++xvbn+=wondered
very ^ql+amp+++=very
little ^ap++++=little
at ^rb++++=at
first ^rb"++++=first.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
needs ^nns++++=needs
a ^at++++=a
man ^nn++++=man,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
" ^zz++++="Once
once ^rb+tm+++=EXTRAWORD
she ^pp3a+pp3+++=she
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
taken ^vpsv++agls+xvbnx+=taken
and ^cc+phrs+++=and
knows ^vbz+vprv+tht0++=knows
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
terrible ^jj++++=terrible
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
will ^md+prd+++=will
become ^vb++++=become
simple ^jj++++=simple."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me
this ^dt+dem+++=this
without ^in++++=without
defending ^xvbg+++xvbg+=defending
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
fool ^nn++++=fool,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
the ^ati++++=the
body ^nn++++=body
was ^vbd+bedz+vrb++=was
a ^at++++=a
locked ^jj+atrb++xvbn+=locked
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Open ^jj++++=Open
it ^pp3+it+++=it
and ^cc++++=and
the ^ati++++=the
prisoner ^nn+nom+++=prisoner
walks ^nns++++=walks
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
wisdom ^nn++++=wisdom."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Clara ^np++++=Clara
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
beautiful ^jj++++=beautiful
in ^in++++=in
the ^ati++++=the
usual ^jj+atrb+++=usual
way ^nn++++=way.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
a ^at++++=a
narrow ^jj+atrb+++=narrow
face ^nn++++=face
and ^cc++++=and
light ^nn++++=light
eyebrows ^nns++++=eyebrows.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
shoulders ^nns+nom+++=shoulders
stooped ^vbd+++xvbn+=stooped,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
crossed ^vbd+++xvbnx+=crossed
a ^at++++=a
room ^nn++++=room
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
short ^jj+atrb+++=short,
, ^zz++++=EXTRAWORD
careful ^jj+atrb+++=careful
steps ^nns++++=steps.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
at ^rb++++=at
certain ^jj+atrb+++=certain
moments ^nns+nom+++=moments
her ^pp$+pp3+++=her
face ^nn++++=face
changed ^vbd+++xvbn+=changed.
. ^zz++++=EXTRAWORD
Hope ^nn++++=Hope
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
it ^pp3+it+++=it
suddenly ^rb++++=suddenly
and ^cc++++=and
made ^vprf+++xvbn+=made
her ^pp$+pp3+++=her
young ^jj++++=young.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
seeing ^vb+vprv+tht0+xvbg+=seeing
that ^tht+vcmp+++=that
hope ^vb++++=hope
felt ^vbd+vprv++xvbn+=felt
chosen ^xvbn+++xvbn+=chosen.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
offering ^vbg+++xvbgx+=offering
him ^pp3o+pp3+++=him
entrance ^nn+nom+++=entrance
into ^in++++=into
a ^at++++=a
secret ^jj+atrb+++=secret
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
moved ^vbd+++xvbnx+=moved
toward ^in++++=toward
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
hope ^nn++++=hope
became ^vbd+++xvbn+=became
terror ^nn++++=terror.
. ^zz++++=EXTRAWORD
The ^ati++++=The
landlady ^nn++++=landlady,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Dorgan ^np++++=Dorgan,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
broad ^jj+atrb+++=broad
woman ^nn++++=woman
whose ^whp+rel+obj++=whose
husband ^nn++++=husband
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died
and ^cc++++=and
left ^jj+++xvbn+=left
her ^pp3o+pp3+++=her
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
believed ^vbd+vprv++xvbnx+=believed
in ^in++++=in
decency ^nn++++=decency
because ^cs+cos+++=because
decency ^nn++++=decency
kept ^vbd+++xvbn+=kept
a ^at++++=a
boardinghouse ^nn+++??+=boardinghouse
quiet ^nn++++=quiet.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
watched ^vprf+++xvbnx+=watched
Clara ^np++++=Clara
on ^in++++=on
the ^ati++++=the
steps ^nns++++=steps
with ^in++++=with
the ^ati++++=the
salesman ^nn+nom+++=salesman.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
the ^ati++++=the
lamp ^nn++++=lamp
fall ^nn++++=fall.
. ^zz++++=EXTRAWORD
More ^ql++++=More
than ^cs+sub+++=than
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
the ^ati++++=the
talk ^nn++++=talk
of ^in++++=of
the ^ati++++=the
men ^nns++++=men.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
night ^nn++++=night
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
to ^in++++=to
Clara ^np++++=Clara's
's ^$++++=EXTRAWORD
room ^nn++++=room.
. ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
leave ^vb++++=leave
Saturday ^nr++++=Saturday,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Clara ^np++++=Clara
stood ^vbd+++xvbn+=stood
beside ^in+pl+++=beside
the ^ati++++=the
bed ^nn++++=bed
in ^in++++=in
her ^pp$+pp3+++=her
nightdress ^nns+nom+++=nightdress.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
hair ^nn++++=hair
hung ^vbd+++xvbn+=hung
in ^in++++=in
two ^cd++++=two
long ^rb++++=long
braids ^nns+++??+=braids.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
have ^vb+hv+aux++=have
I ^pp1a+pp1+++=I
done ^vbd+++xvbnx+=done?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
trouble ^nn++++=trouble."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
trouble ^nn++++=trouble?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Clara ^np++++=Clara
did ^vbd+dod+aux++=did
know ^vb+vprv+++=know
or ^cc++++=or
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
words ^nns++++=words
returned ^vbd+++xvbn+=returned.
. ^zz++++=EXTRAWORD
Indecent ^jj++++=Indecent.
. ^zz++++=EXTRAWORD
Forward ^rb++++=Forward.
. ^zz++++=EXTRAWORD
A ^at++++=A
woman ^nn++++=woman
who ^whp+rel+subj++=who
asks ^vbz++++=asks
for ^in+ppvb+++=for
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
must ^md+nec+++=must
refuse ^vb++++=refuse.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
began ^vbd+++xvbnx+=began
to ^to++++=to
tremble ^vbi++++=tremble.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
nowhere ^rb+pl+++=nowhere
to ^to++++=to
go ^vbi++++=go,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
are ^vb+ber+vrb++=are
other ^ap++++=other
houses ^nns++++=houses."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=will
be ^vb+be+vrb++=be
the ^ati++++=the
same ^ap++++=same."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Dorgan ^np++++=Dorgan
shrugged ^vbd+++xvbn+=shrugged.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
bills ^nns++++=bills
to ^to++++=to
pay ^vbi++++=pay
and ^cc++++=and
reputations ^nns+nom+++=reputations
to ^to++++=to
consider ^nn+nom+++=consider.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
left ^vbd+++xvbnx+=left
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
Clara ^np++++=Clara
dressed ^vbd+++xvbn+=dressed
hurriedly ^rb++++=hurriedly.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
after ^in++++=after
eleven ^cd++++=eleven.
. ^zz++++=EXTRAWORD
The ^ati++++=The
men ^nns++++=men
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
upstairs ^jjb++++=upstairs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
house ^npl++++=house
had ^vbd+hvd+aux++=had
become ^vb++++=become
quiet ^nn++++=quiet.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stood ^vbd+++xvbnx+=stood
in ^in++++=in
the ^ati++++=the
hallway ^nn++++=hallway
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
to ^in++++=to
Leroy ^np++++=LeRoy's
's ^$++++=EXTRAWORD
door ^nn++++=door.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
awake ^jj+pred+++=awake,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
before ^in++++=before
an ^at++++=an
unfinished ^jj+atrb+++=unfinished
painting ^nvbg+++xvbg+=painting.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
painted ^vprf+++xvbnx+=painted
a ^at++++=a
field ^nn++++=field
under ^in++++=under
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
field ^nn++++=field
a ^at++++=a
small ^jj+atrb+++=small
dark ^jj+atrb+++=dark
figure ^nn++++=figure
bent ^vbd+++xvbn+=bent
against ^in++++=against
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
Clara ^np++++=Clara
came ^vbd+++xvbn+=came
in ^in++++=in
and ^cc++++=and
closed ^vbd+++xvbn+=closed
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wore ^vbd+++xvbnx+=wore
