Let ^vb+++xvbn+=Let
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
necessary ^jj++++=necessary,
, ^zz++++=EXTRAWORD
a ^at++++=a
firm ^jj+atrb+++=firm
hand ^nn++++=hand
applied ^vwbn+++xvbn+=applied
in ^in++++=in
a ^at++++=a
loving ^jj+atrb++xvbg+=loving
manner ^nn++++=manner.
. ^zz++++=EXTRAWORD
The ^ati++++=The
logic ^nn++++=logic
was ^vbd+bedz+vrb++=was
faultless ^jj+pred+++=faultless
until ^cs+sub+++=until
one ^cd1++++=one
included ^vbd+++xvbn+=included
human ^jj+atrb+++=human
beings ^nns++++=beings.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
Max ^np++++=Max
spoke ^vbd+++xvbn+=spoke
quietly ^rb++++=quietly.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
taught ^vbd+vsua++xvbnx+=taught
patience ^np+nom+++=patience
to ^in++++=to
the ^ati++++=the
angry ^jj++++=angry,
, ^zz++++=EXTRAWORD
courage ^nn+nom+++=courage
to ^in++++=to
the ^ati++++=the
frightened ^jj+++xvbn+=frightened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
justice ^nn++++=justice
to ^in++++=to
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
profited ^vbd+++xvbn+=profited
from ^in++++=from
injustice ^nn++++=injustice.
. ^zz++++=EXTRAWORD
The ^ati++++=The
poor ^nn++++=poor
listened ^vbd+++xvbn+=listened
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
nothing ^pn++++=nothing
to ^to++++=to
sell ^vbi++++=sell
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
young ^nn++++=young
followed ^vbd+vprv++xvbn+=followed
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
of ^in++++=of
tomorrow ^nr+tm+++=tomorrow
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
inspected ^vprf+++xvbnx+=inspected
it ^pp3+it+++=it
personally ^rb++++=personally.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
comfortable ^nn++++=comfortable
admired ^vbd+++xvbn+=admired
him ^pp3o+pp3+++=him
for ^in++++=for
several ^ap++++=several
weeks ^nns++++=weeks,
, ^zz++++=EXTRAWORD
believing ^vbg+vprv+tht0+xvbg+=believing
his ^pp$+pp3+++=his
doctrines ^nns++++=doctrines
were ^vbd+bed+aux++=were
intended ^vpsv++agls+xvbnx+=intended
for ^in++++=for
their ^pp$+pp3+++=their
neighbors ^nns++++=neighbors.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
became ^vbd+++xvbnx+=became
famous ^jj++++=famous.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
words ^nns++++=words
traveled ^vbd+++xvbn+=traveled
farther ^rbr++++=farther
than ^in++++=than
his ^pp$+pp3+++=his
intentions ^nns+nom+++=intentions.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
group ^nn++++=group
printed ^vbd+++xvbn+=printed
them ^pp3o+pp3+++=them
in ^in++++=in
gold ^nn++++=gold;
; ^zz++++=EXTRAWORD
another ^dt++++=another
burned ^jj+++xvbn+=burned
them ^pp3o+pp3+++=them
in ^in++++=in
public ^jj+atrb+++=public
squares ^nns++++=squares.
. ^zz++++=EXTRAWORD
Admirers ^nns+nom+++=Admirers
called ^vbd+++xvbn+=called
him ^pp3o+pp3+++=him
the ^ati++++=the
conscience ^nn+nom+++=conscience
of ^in++++=of
the ^ati++++=the
age ^nn++++=age.
. ^zz++++=EXTRAWORD
Opponents ^nns++++=Opponents
called ^vbd+++xvbn+=called
him ^pp3o+pp3+++=him
a ^at++++=a
diseased ^jj+atrb+++=diseased
ambition ^nn+nom+++=ambition
wearing ^vwbg+++xvbg+=wearing
the ^ati++++=the
mask ^nn++++=mask
of ^in++++=of
pity ^nn++++=pity.
. ^zz++++=EXTRAWORD
Scholars ^nns++++=Scholars
proved ^jj+vprv++xvbn+=proved
that ^tht+jcmp+++=that
his ^pp$+pp3+++=his
ideas ^nns++++=ideas
had ^vb+hv+aux++=had
all ^abn++++=all
been ^jj+jj+aux+xvbn+=been
expressed ^vpsv++agls+xvbnx+=expressed
previously ^rb+tm+++=previously
by ^in++++=by
Greeks ^nn++++=Greeks,
, ^zz++++=EXTRAWORD
prophets ^nns++++=prophets,
, ^zz++++=EXTRAWORD
heretics ^nns++++=heretics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
three ^cd++++=three
obscure ^jj+atrb+++=obscure
Germans ^nns+nom+++=Germans.
. ^zz++++=EXTRAWORD
Max ^np++++=Max
replied ^vbd+vpub++xvbn+=replied
that ^tht+vcmp+++=that
hunger ^nn++++=hunger
was ^vbd+bedz+vrb++=was
also ^rb++++=also
ancient ^jj+pred+++=ancient,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
dinner ^nn++++=dinner
remained ^vbd+++xvbn+=remained
useful ^jj++++=useful.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
persuasion ^nn++++=persuasion
failed ^vbd+++xvbn+=failed,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
followers ^nns+nom+++=followers
demanded ^vbd+vsua++xvbn+=demanded
action ^nn++++=action.
. ^zz++++=EXTRAWORD
Max ^np++++=Max
resisted ^vbd+++xvbn+=resisted
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
led ^vwbn+++xvbn+=led
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
condemned ^jj+atrb++xvbn+=condemned
violence ^nn+nom+++=violence,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
justified ^vbd+++xvbn+=justified
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
carried ^j+++xvbn+=carried
an ^at++++=an
olive ^nn++++=olive
branch ^nn++++=branch
in ^in++++=in
one ^cd1++++=one
hand ^nn++++=hand
and ^cc++++=and,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
circumstances ^nns+nom+++=circumstances
became ^vbd+++xvbn+=became
historically ^rb++++=historically
urgent ^jj++++=urgent,
, ^zz++++=EXTRAWORD
a ^at++++=a
sword ^nn++++=sword
in ^in++++=in
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
At ^rb++++=At
times ^nns++++=times
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
unarmed ^jj++++=unarmed
into ^in++++=into
hostile ^jj+atrb+++=hostile
crowds ^nns++++=crowds
and ^cc++++=and
subdued ^jj++++=subdued
them ^pp3o+pp3+++=them
by ^in++++=by
courage ^nn+nom+++=courage.
. ^zz++++=EXTRAWORD
At ^rb++++=At
other ^ap++++=other
times ^nns++++=times
fires ^nns++++=fires
burned ^vbd+++xvbn+=burned
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
prisons ^nns++++=prisons
filled ^vbd+++xvbn+=filled
before ^in++++=before
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
widows ^nns++++=widows
cursed ^vbd+++xvbn+=cursed
his ^pp$+pp3+++=his
name ^nn++++=name
without ^in++++=without
knowing ^xvbg+++xvbg+=knowing
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
caused ^vprf+++xvbnx+=caused
or ^cc++++=or
attempted ^vb+++xvbn+=attempted
to ^to+vcmp+++=to
prevent ^vbi++++=prevent
their ^pp$+pp3+++=their
sorrow ^nn++++=sorrow.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
praised ^vpsv++agls+xvbnx+=praised,
, ^zz++++=EXTRAWORD
condemned ^j+++xvbn+=condemned,
, ^zz++++=EXTRAWORD
arrested ^xvbn+++xvbn+=arrested,
, ^zz++++=EXTRAWORD
released ^xvbn+++xvbn+=released,
, ^zz++++=EXTRAWORD
exiled ^j+++xvbn+=exiled,
, ^zz++++=EXTRAWORD
recalled ^vpbn+vprv++xvbn+=recalled,
, ^zz++++=EXTRAWORD
crowned ^xvbn+++xvbn+=crowned
with ^in++++=with
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
pelted ^j+++xvbn+=pelted
with ^in++++=with
stones ^nns++++=stones,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
examined ^vpsv++by+xvbn+=examined
by ^in++++=by
committees ^nns+nom+++=committees.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lived ^vbd+++xvbnx+=lived
in ^in++++=in
palaces ^nns++++=palaces
without ^in++++=without
owning ^xvbg+++xvbg+=owning
a ^at++++=a
bed ^nn++++=bed
and ^cc++++=and
in ^in++++=in
cellars ^nns++++=cellars
where ^wrb+who+++=where
kings ^np++++=kings
sent ^vbd+++xvbn+=sent
messengers ^nns+nom+++=messengers.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
a ^at++++=a
judge ^nn++++=judge
sentenced ^vbd+++xvbn+=sentenced
him ^pp3o+pp3+++=him
for ^in++++=for
disturbing ^xvbg+++xvbg+=disturbing
the ^ati++++=the
peace ^nn++++=peace;
; ^zz++++=EXTRAWORD
once ^rb+tm+++=once
a ^at++++=a
general ^jj++++=general
decorated ^jj+++xvbn+=decorated
him ^pp3o+pp3+++=him
for ^in++++=for
restoring ^xvbg+++xvbg+=restoring
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
both ^abx++++=both
referred ^jj+++xvbn+=referred
to ^in++++=to
the ^ati++++=the
same ^ap++++=same
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
Years ^nns++++=Years
passed ^vbd+++xvbn+=passed
seven ^cd++++=seven,
, ^zz++++=EXTRAWORD
seventeen ^cd++++=seventeen,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
perhaps ^rb++++=perhaps
only ^rb+down+++=only
the ^ati++++=the
prolonged ^jj+atrb++xvbn+=prolonged
Wednesday ^nr++++=Wednesday
of ^in++++=of
public ^jj+atrb+++=public
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Max ^np++++=Max
grew ^vbd+++xvbn+=grew
thin ^jj++++=thin.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hair ^nn++++=hair
whitened ^jj++++=whitened,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
his ^pp$+pp3+++=his
convictions ^nns+nom+++=convictions
retained ^vbd+++xvbn+=retained
their ^pp$+pp3+++=their
original ^jj+atrb+++=original
color ^nn++++=color.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
still ^rb++++=still
believed ^vprf+++xvbn+=believed
that ^tht+vcmp+++=that
wisdom ^nn++++=wisdom,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
spoken ^vprf+++xvbn+=spoken
clearly ^rb++++=clearly
enough ^dt++++=enough
and ^cc++++=and
supported ^vpsv++by+xvbn+=supported
by ^in++++=by
adequate ^jj+atrb+++=adequate
organization ^nn+nom+++=organization,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
establish ^vb+vprv+++=establish
peace ^nn++++=peace
on ^in++++=on
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv++xvbnx+=saw
mankind ^nn++++=mankind
as ^in++++=as
a ^at++++=a
sick ^jj++++=sick
giant ^jjb++++=giant:
: ^zz++++=EXTRAWORD
feverish ^jj++++=feverish,
, ^zz++++=EXTRAWORD
powerful ^jj++++=powerful,
, ^zz++++=EXTRAWORD
confused ^j+++xvbn+=confused,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
curable ^jj++++=curable.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
notice ^vb+vprv+++=notice
that ^tht+vcmp+++=that
every ^at++++=every
physician ^nn++++=physician
who ^whp+rel+subj++=who
approached ^vbd+++xvbn+=approached
the ^ati++++=the
giant ^jjb++++=giant
was ^vbd+bedz+aux++=was
eventually ^rb+tm+splt++=eventually
mistaken ^vpsv++agls+xvbnx+=mistaken
for ^in++++=for
an ^at++++=an
insect ^nn++++=insect
and ^cc++++=and
slapped ^vbd+++xvbn+=slapped.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
came ^vbd+++xvbn+=came
the ^ati++++=the
panic ^nn++++=panic.
. ^zz++++=EXTRAWORD
A ^at++++=A
rumor ^nn++++=rumor
ran ^vbd+++xvbn+=ran
through ^rb+phrv+++=through
the ^ati++++=the
cities ^nns++++=cities
that ^tht+rel+obj++=that
destruction ^nn+nom+++=destruction
was ^vbd+bedz+vrb++=was
near ^in+strn+++=near.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
knew ^vbd+vprv++xvbn+=knew
who ^whp+who+++=who
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
said ^vbd+vpub++xvbn+=said
Max ^np++++=Max's
's ^$++++=EXTRAWORD
enemies ^nns++++=enemies
had ^vbd+hvd+aux++=had
whispered ^vprf+++xvbnx+=whispered
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
others ^aps++++=others
said ^vbd+vpub+tht0+xvbn+=said
his ^pp$+pp3+++=his
disciples ^nns++++=disciples
had ^vbd+hvd+aux++=had
shouted ^vprf+++xvbnx+=shouted
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
a ^at++++=a
third ^nn++++=third
party ^nn++++=party
demonstrated ^vbd+vprv++xvbn+=demonstrated
statistically ^rb++++=statistically
that ^cs+sub+++=that
nothing ^pn++++=nothing
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
said ^vpsv++agls+xvbnx+=said
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless
doors ^nns++++=doors
were ^vbd+bed+aux++=were
barred ^vpsv++agls+xvbnx+=barred,
, ^zz++++=EXTRAWORD
warehouses ^nns++++=warehouses
emptied ^vwbn+++xvbn+=emptied,
, ^zz++++=EXTRAWORD
soldiers ^nns+nom+++=soldiers
summoned ^vbd+++xvbn+=summoned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
peaceful ^jj+atrb+++=peaceful
citizens ^nns++++=citizens
armed ^vbd+++xvbn+=armed
themselves ^ppls+pp3+++=themselves
against ^in++++=against
other ^ap++++=other
peaceful ^jj+atrb+++=peaceful
citizens ^nns++++=citizens
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
armed ^vprf+++xvbnx+=armed
themselves ^ppls+pp3+++=themselves
first ^rb++++=first.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
like ^in++++=like
a ^at++++=a
crowded ^jj+++xvbn+=crowded
theatre ^npl++++=theatre
where ^wrb+who+++=where
someone ^pn++++=someone
imagines ^vbz+vprv+++=imagines
a ^at++++=a
cry ^nn++++=cry
of ^in++++=of
fire ^nn++++=fire:
: ^zz++++=EXTRAWORD
the ^ati++++=the
audience ^nn+nom+++=audience
tramples ^vbz++++=tramples
the ^ati++++=the
exits ^nns+++??+=exits,
, ^zz++++=EXTRAWORD
overturns ^nns+++??+=overturns
the ^ati++++=the
lamps ^nns++++=lamps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
identifies ^vbz++++=identifies
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
begged ^vbd+++xvbn+=begged
them ^pp3o+pp3+++=them
not ^xnot++not++=not
to ^to++++=to
run ^vbi++++=run
as ^in++++=as
the ^ati++++=the
incendiary ^nn++++=incendiary.
. ^zz++++=EXTRAWORD
Max ^np++++=Max
stood ^vbd+++xvbn+=stood
before ^cs+sub+++=before
the ^ati++++=the
crowd ^nn++++=crowd
and ^cc++++=and
pleaded ^vpsv++agls+xvbn+=pleaded
for ^in++++=for
reason ^nn++++=reason.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
heard ^vbd+vprv++xvbnx+=heard
command ^nn++++=command.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
begged ^vbd+++xvbnx+=begged
them ^pp3o+pp3+++=them
to ^to++++=to
lay ^vbi++++=lay
down ^rb+phrv+++=down
weapons ^nns++++=weapons.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
heard ^vbd+vprv++xvbnx+=heard
threat ^nn++++=threat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
warned ^vbd+vpub++xvbnx+=warned
them ^pp3o+pp3+++=them
that ^dt+dem+++=that
fear ^nn++++=fear
itself ^ppl++++=itself
would ^md+prd+++=would
bring ^vb++++=bring
the ^ati++++=the
ruin ^nn++++=ruin
they ^pp3a+pp3+++=they
feared ^vbd+vprv++xvbnx+=feared.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
heard ^vbd+vprv++xvbnx+=heard
confession ^nn++++=confession.
. ^zz++++=EXTRAWORD
Soon ^rb+tm+++=Soon
the ^ati++++=the
red ^jj+atrb+++=red
flower ^nn++++=flower
of ^in++++=of
evil ^nn++++=evil
opened ^vbd+++xvbn+=opened
everywhere ^rb++++=everywhere
on ^in++++=on
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
on ^in++++=on
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
on ^in++++=on
children ^nns++++=children's
's ^$++++=EXTRAWORD
clothing ^nn++++=clothing
and ^cc++++=and
each ^dt++++=each
person ^nn++++=person
insisted ^vbd+vpub++xvbn+=insisted
that ^tht+vcmp+++=that
another ^dt++++=another
had ^vbd+hvd+aux++=had
planted ^vprf+++xvbnx+=planted
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Houses ^nns++++=Houses
burned ^vbd+++xvbn+=burned.
. ^zz++++=EXTRAWORD
Bridges ^nns++++=Bridges
fell ^vbd+++xvbn+=fell.
. ^zz++++=EXTRAWORD
The ^ati++++=The
earth ^nn++++=earth
continued ^vbd+++xvbn+=continued
its ^pp$+it+++=its
coquettish ^jj+atrb+++=coquettish
revolutions ^nns+nom+++=revolutions,
, ^zz++++=EXTRAWORD
showing ^vbg+vprv++xvbg+=showing
the ^ati++++=the
moon ^np++++=moon
first ^rb++++=first
this ^dt+dem+++=this
battlefield ^nn++++=battlefield,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
that ^dt+dem+++=that
cemetery ^nn+nom+++=cemetery,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
asking ^vbg+vsua++xvbg+=asking
which ^wdt+who+whcl++=which
ornament ^nn+nom+++=ornament
suited ^vwbn+++xvbn+=suited
her ^pp$+pp3+++=her
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
the ^ati++++=the
people ^nns++++=people
united ^np++++=united.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
in ^in++++=in
peace ^nn++++=peace,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
in ^in++++=in
wisdom ^nn++++=wisdom,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
in ^in++++=in
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
difficult ^jj+atrb+++=difficult
virtues ^nns++++=virtues
Max ^np++++=Max
had ^vbd+hvd+aux++=had
preached ^vprf+++xvbnx+=preached,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
hatred ^nn++++=hatred
of ^in++++=of
Max ^np++++=Max.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
declared ^vpsv++agls+xvbnx+=declared
responsible ^jj++++=responsible
for ^in++++=for
the ^ati++++=the
panic ^vb++++=panic
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
predicted ^vprf++tht0+xvbnx+=predicted
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
responsible ^jj++++=responsible
for ^in++++=for
the ^ati++++=the
violence ^nn+nom+++=violence
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
opposed ^vprf+++xvbnx+=opposed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
responsible ^jj++++=responsible
for ^in++++=for
human ^jj+atrb+++=human
misery ^nn++++=misery
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
promised ^vprf+++xvbnx+=promised
that ^tht+vcmp+++=that
misery ^nn++++=misery
could ^md+pos+++=could
end ^vb++++=end.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
oldest ^jjt+atrb+++=oldest
followers ^nns+nom+++=followers
testified ^vbd+vpub++xvbn+=testified
against ^in++++=against
him ^pp3o+pp3+++=him
with ^in++++=with
special ^jj+atrb+++=special
eloquence ^nn+nom+++=eloquence;
; ^zz++++=EXTRAWORD
betrayal ^nn+nom+++=betrayal,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
practiced ^vbd+++xvbn+=practiced
publicly ^rb+cnj+++=publicly,
, ^zz++++=EXTRAWORD
becomes ^vbz++++=becomes
civic ^jj+atrb+++=civic
duty ^nn++++=duty.
. ^zz++++=EXTRAWORD
Max ^np++++=Max
did ^vbd+dod+aux++=did
not ^xnot++not++=not
defend ^vb++++=defend
himself ^ppl+pp3+++=himself
well ^rb++++=well.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
the ^ati++++=the
faces ^nns++++=faces
before ^cs+sub+++=before
him ^pp3o+pp3+++=him
faces ^nns++++=faces
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
trusted ^vprf+++xvbnx+=trusted
in ^in++++=in
the ^ati++++=the
plural ^nn++++=plural
because ^cs+cos+++=because
trusting ^vbg+++xvbg+=trusting
one ^cd1++++=one
face ^nn++++=face
had ^vb+hv+aux++=had
once ^cs+tm+++=once
proved ^vprf+++xvbn+=proved
dangerous ^jj++++=dangerous
and ^cc++++=and
saw ^vbd+vprv+tht0+xvbn+=saw
the ^ati++++=the
old ^nn++++=old
kiss ^vb++++=kiss
repeated ^vprf+++xvbn+=repeated
on ^in++++=on
a ^at++++=a
continental ^jj+atrb+++=continental
scale ^nn++++=scale.
. ^zz++++=EXTRAWORD
Humanity ^nn+nom+++=Humanity,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
last ^ap++++=last
beloved ^jj++++=beloved,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
embraced ^vprf+++xvbnx+=embraced
his ^pp$+pp3+++=his
enemies ^nns++++=enemies
while ^cs+sub+++=while
resting ^vbg+++xvbg+=resting
one ^cd1++++=one
hand ^nn++++=hand
upon ^in++++=upon
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
soul ^nn++++=soul
died ^vbd+++xvbn+=died
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
second ^od++++=second
death ^nn++++=death
differed ^vbd+++xvbn+=differed
from ^in++++=from
the ^ati++++=the
first ^rb++++=first.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
personal ^jj+atrb+++=personal
love ^nn++++=love
and ^cc++++=and
preserved ^jj+atrb++xvbn+=preserved
mankind ^nn++++=mankind;
; ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
he ^pp3a+pp3+++=he
lost ^vbd+++xvbnx+=lost
mankind ^nn++++=mankind
and ^cc++++=and
had ^vb+hv+vrb++=had
no ^at++++=no
larger ^jjr+atrb+++=larger
abstraction ^nn+nom+++=abstraction
to ^to++++=to
inherit ^vbi++++=inherit.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
appeal ^vb++++=appeal
to ^in++++=to
the ^ati++++=the
stars ^nns++++=stars,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
remote ^jj+pred+++=remote;
; ^zz++++=EXTRAWORD
to ^in++++=to
God ^np++++=God,
, ^zz++++=EXTRAWORD
concerning ^in++++=concerning
whom ^whp+rel+pied++=whom
committees ^nns+nom+++=committees
disagreed ^vbd+++xvbn+=disagreed;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
to ^in++++=to
history ^nn++++=history,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
accepts ^vbz++++=accepts
every ^at++++=every
crime ^nn++++=crime
provided ^vbd+++xvbn+=provided
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
occurred ^vprf+++xvbnx+=occurred.
. ^zz++++=EXTRAWORD
The ^ati++++=The
officials ^nns+nom+++=officials
observed ^vbd+vprv++xvbn+=observed
his ^pp$+pp3+++=his
silence ^nn+nom+++=silence
and ^cc++++=and
concluded ^vbd+vprv++xvbn+=concluded
that ^tht+vcmp+++=that
it ^pp3+it+++=it
showed ^vbd+vprv++xvbn+=showed
neither ^dt++neg++=neither
repentance ^nn+nom+++=repentance
nor ^cc++neg++=nor
insanity ^nn+nom+++=insanity,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
an ^at++++=an
aggravated ^jj+atrb++xvbn+=aggravated
form ^nn++++=form
of ^in++++=of
thought ^nn+++xvbn+=thought.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
sentenced ^vbd+++xvbnx+=sentenced
him ^pp3o+pp3+++=him
to ^in++++=to
life ^nn++++=life
in ^in++++=in
solitary ^jj+atrb+++=solitary
confinement ^nn+nom+++=confinement.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cell ^nn++++=cell
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
designed ^vpsv++by+xvbnx+=designed
by ^in++++=by
enlightened ^jj+atrb+++=enlightened
experts ^nns++++=experts.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
narrow ^vb++++=narrow
enough ^qlp++++=enough
to ^to++++=to
prevent ^vbi++++=prevent
walking ^vbg+++xvbg+=walking,
, ^zz++++=EXTRAWORD
low ^jj++++=low
enough ^qlp++++=enough
to ^to++++=to
discourage ^nn+nom+++=discourage
standing ^vbg+++xvbg+=standing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
furnished ^vpsv++agls+xvbn+=furnished
with ^in++++=with
a ^at++++=a
bench ^nn++++=bench
arranged ^vwbn+vsua++xvbn+=arranged
so ^pn++++=so
that ^dt+dem+++=that
no ^at++++=no
adult ^nn++++=adult
body ^nn++++=body
could ^md+pos+++=could
rest ^vb++++=rest
upon ^in++++=upon
it ^pp3+it+++=it
without ^in++++=without
negotiating ^xvbg+++xvbg+=negotiating
separately ^rb++++=separately
with ^in++++=with
the ^ati++++=the
spine ^nn++++=spine,
, ^zz++++=EXTRAWORD
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
neck ^nn++++=neck,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
feet ^nns++++=feet.
