Cold ^jj++++=Cold?
drowning ^vbg+++xvbgx+=drowning,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
hand ^vb++++=hand
them ^pp3o+pp3+++=them
rocks ^nns++++=rocks."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
drank ^vbd+++xvbnx+=drank
her ^pp$+pp3+++=her
coffee ^nn++++=coffee
like ^in++++=like
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
responsible ^jj+pred+++=responsible.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
about ^in++++=about
ten ^cd++++=ten
o'clock ^rb++++=o'clock
the ^ati++++=the
storm ^nn++++=storm
got ^vbd+++xvbn+=got
worse ^jjr++++=worse.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
think ^vb+vprv+tht0++=think
a ^at++++=a
blizzard ^nn++++=blizzard
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
worse ^jjr++++=worse
after ^cs+sub+++=after
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
removed ^vprf+++xvbnx+=removed
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
one ^cd1++++=one
started ^vbd+++xvbn+=started
taking ^vbg+++xvbg+=taking
inventory ^nn++++=inventory.
. ^zz++++=EXTRAWORD
The ^ati++++=The
roof ^nn++++=roof
jumped ^vbd+++xvbn+=jumped,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stovepipe ^nn+++??+=stovepipe
coughed ^vbd+++xvbn+=coughed
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
snow ^nn++++=snow
squeezed ^vwbn+++xvbn+=squeezed
through ^in++++=through
cracks ^nns++++=cracks
finer ^jjr++++=finer
than ^in++++=than
flour ^nn++++=flour.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'd
'd ^vbd+hvd+aux++0=EXTRAWORD
laid ^vprf+++xvbnx+=laid
out ^rb+phrv+++=out
our ^pp$+pp1+++=our
blankets ^nns++++=blankets
and ^cc++++=and
was ^vbd+bedz+aux++=was
discussing ^vbg+++xvbgx+=discussing
whether ^cs+who+++=whether
the ^ati++++=the
road ^nn++++=road-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
would ^md+prd+++=would
go ^vb++++=go
first ^rb++++=first
toward ^in++++=toward
Dawson ^np++++=Dawson
or ^cc++++=or
the ^ati++++=the
Arctic ^np++++=Arctic
Ocean ^nn++++=Ocean
when ^wrb+who+++=when
something ^pn++++=something
scratched ^vbd+++xvbn+=scratched
at ^rb++++=at
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
knocked ^vbd+++xvbn+=knocked.
. ^zz++++=EXTRAWORD
Scratched ^xvbn+++xvbn+=Scratched.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
opened ^vbd+++xvbn+=opened
up ^rp++++=up
and ^cc++++=and
a ^at++++=a
man ^nn++++=man
fell ^vbd+++xvbn+=fell
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
an ^at++++=an
Indigenous ^jj+atrb+++=Indigenous
guide ^nn++++=guide
named ^vbd+++xvbn+=named
John ^np++++=John
Nanook ^np+++??+=Nanook,
, ^zz++++=EXTRAWORD
a ^at++++=a
quiet ^jj+atrb+++=quiet
old ^jj+atrb+++=old
trail ^nn++++=trail
man ^nn++++=man
who ^whp+rel+subj++=who
knew ^vbd+vprv++xvbn+=knew
every ^at++++=every
creek ^nn++++=creek
and ^cc++++=and
cutbank ^nn+++??+=cutbank
from ^in++++=from
the ^ati++++=the
Yukon ^np+++??+=Yukon
to ^in++++=to
the ^ati++++=the
divide ^nn++++=divide.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^vbd+hvd+aux++=EXTRAWORD
lost ^vprf+++xvbnx+=lost
one ^cd1++++=one
mitten ^np++++=mitten,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
cheek ^nn++++=cheek
was ^vbd+bedz+vrb++=was
white ^jj+pred+++=white
with ^in++++=with
frost ^nn++++=frost,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
parka ^nn+++??+=parka
had ^vb+hv+aux++=had
snow ^nn++++=snow
rammed ^vbd+++xvbn+=rammed
into ^in++++=into
it ^pp3+it+++=it
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
upholstered ^jj++++=upholstered.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
speak ^vbi++++=speak,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
jaw ^nn++++=jaw
was ^vbd+bedz+aux++=was
frozen ^vpsv++agls+xvbnx+=frozen.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
rolled ^vbd+++xvbn+=rolled
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
stove ^nn++++=stove,
, ^zz++++=EXTRAWORD
rubbed ^j+++xvbn+=rubbed
him ^pp3o+pp3+++=him
careful ^jj++++=careful,
, ^zz++++=EXTRAWORD
got ^jj+atrb++xvbn+=got
warm ^jj+atrb+++=warm
tea ^nn++++=tea
into ^in++++=into
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
a ^at++++=a
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says:
: ^zz++++=EXTRAWORD
" ^zz++++="Two
two ^cd++++=EXTRAWORD
men ^nns++++=men.
. ^zz++++=EXTRAWORD
Back ^jjb+atrb+++=Back
trail ^nn++++=trail.
. ^zz++++=EXTRAWORD
Sled ^np+++??+=Sled
broke ^vwbn+++xvbn+=broke
by ^in++++=by
Little ^jj+atrb+++=Little
Alder ^np+++??+=Alder.
. ^zz++++=EXTRAWORD
Horses ^nns++++=Horses
gone ^vbd+++xvbn+=gone."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Who?"
who ^whp+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Lund
lund ^nn+++??+=EXTRAWORD
brothers ^nns+nom+++=brothers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Annie ^np++++=Annie's
's ^$++++=EXTRAWORD
cup ^nn++++=cup
stopped ^vbd+++xvbn+=stopped
halfway ^rb++++=halfway
to ^in++++=to
her ^pp$+pp3+++=her
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
John ^np++++=John
told ^vbd+vpub+tht0+xvbn+=told
it ^pp3+it+++=it
in ^in++++=in
pieces ^nns++++=pieces.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Lunds ^np+++??+=Lunds
had ^vbd+hvd+aux++=had
started ^vprf+++xvbnx+=started
before ^cs+sub+++=before
the ^ati++++=the
blow ^nn++++=blow
got ^vbd+++xvbn+=got
bad ^jj++++=bad,
, ^zz++++=EXTRAWORD
hauling ^nn+nom+++=hauling
records ^nns++++=records
and ^cc++++=and
supplies ^nns++++=supplies
from ^in++++=from
town ^nn++++=town.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
sled ^vbd+++xvbn+=sled
struck ^vprf+++xvbn+=struck
overflow ^nn++++=overflow
ice ^nn++++=ice
near ^in+pl+++=near
Little ^ap++++=Little
Alder ^np+++??+=Alder
Creek ^nn++++=Creek,
, ^zz++++=EXTRAWORD
tipped ^xvbn+++xvbn+=tipped,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
smashed ^vbd+++xvbn+=smashed
a ^at++++=a
runner ^nn++++=runner.
. ^zz++++=EXTRAWORD
The ^ati++++=The
horses ^nns++++=horses
tore ^vbd+++xvbn+=tore
loose ^jj++++=loose.
. ^zz++++=EXTRAWORD
John ^np++++=John
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
on ^rp++++=on
them ^pp3o+pp3+++=them
while ^cs+sub+++=while
hunting ^nvbg+++xvbg+=hunting
his ^pp$+pp3+++=his
own ^ap++++=own
dog ^nn++++=dog
team ^nn++++=team,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Lars ^np+++??+=Lars
was ^vbd+bedz+aux++=was
hurt ^vpsv++agls+xvbnx+=hurt
and ^cc++++=and
Ole ^np+++??+=Ole
half ^nn++++=half
blind ^jj++++=blind
from ^in++++=from
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
John ^np++++=John
had ^vbd+hvd+aux++=had
tried ^vprf+++xvbnx+=tried
to ^to+vcmp+++=to
lead ^vbi++++=lead
them ^pp3o+pp3+++=them
toward ^in++++=toward
Black ^jj++++=Black
Spruce ^jj++++=Spruce.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
made ^vbd+++xvbnx+=made
maybe ^rb+hdg+++=maybe
a ^at++++=a
mile ^nn++++=mile.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Lars ^np+++??+=Lars
went ^vbd+++xvbn+=went
down ^rp++++=down.
. ^zz++++=EXTRAWORD
Ole ^np+++??+=Ole
stayed ^vbd+++xvbn+=stayed
with ^in++++=with
him ^pp3o+pp3+++=him
while ^cs+sub+++=while
John ^np++++=John
pushed ^vwbn+++xvbn+=pushed
ahead ^rb+pl+++=ahead
for ^in++++=for
help ^nn++++=help.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
far ^rb+pl+++=far?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Annie ^np+++??+=Annie.
. ^zz++++=EXTRAWORD
" ^zz++++="Three
three ^cd++++=EXTRAWORD
miles ^nns++++=miles.
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
four ^cd++++=four.
. ^zz++++=EXTRAWORD
Storm ^nn++++=Storm
turns ^vbz++++=turns
trail ^nn++++=trail."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
answered ^vbd+vpub++xvbn+=answered.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
fellows ^nns++++=fellows
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
sat ^vprf+++xvbnx+=sat
indoors ^rn+pl+++=indoors
in ^in++++=in
civilization ^nn+nom+++=civilization
may ^md+pos+++=may
arrange ^vb++++=arrange
your ^pp$+pp2+++=your
faces ^nns++++=faces
superior ^jj++++=superior
at ^rb++++=at
this ^dt+dem+++=this
point ^nn++++=point.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
miles ^nns++++=miles
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
sound ^jj++++=sound
like ^in++++=like
distance ^nn+nom+++=distance.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
three ^cd++++=three
miles ^nns++++=miles
in ^cs+sub+++=in
that ^cs"++++=that
blow ^nn++++=blow
was ^vbd+bedz+vrb++=was
a ^at++++=a
foreign ^jj+atrb+++=foreign
country ^nn++++=country.
. ^zz++++=EXTRAWORD
The ^ati++++=The
night ^nn++++=night
had ^vb+hv+vrb++=had
no ^at++++=no
top ^jjb++++=top,
, ^zz++++=EXTRAWORD
bottom ^nn++++=bottom,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
edges ^nns++++=edges.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
could ^md+pos+++=could
walk ^vb++++=walk
twenty ^cd++++=twenty
paces ^nns++++=paces
from ^in++++=from
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
spend ^vb++++=spend
eternity ^nn+nom+++=eternity
trying ^vb+++xvbg+=trying
to ^to+vcmp+++=to
locate ^vbi++++=locate
the ^ati++++=the
house ^nn++++=house
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
left ^vprf+++xvbnx+=left.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Alder ^np+++??+=Alder
trail ^nn++++=trail
crossed ^vbd+++xvbn+=crossed
a ^at++++=a
flat ^nn++++=flat
where ^wrb+who+++=where
the ^ati++++=the
wind ^nn++++=wind
planed ^vwbn+++xvbn+=planed
snow ^nn++++=snow
hard ^jj++++=hard
as ^ql++++=as
iron ^nn++++=iron,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
dipped ^vbd+++xvbn+=dipped
among ^in++++=among
cutbanks ^nn++++=cutbanks
loaded ^vbd+++xvbn+=loaded
to ^in++++=to
avalanche ^nn++++=avalanche.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vb+hv+vrb++=had
one ^cd1++++=one
sound ^jj+atrb+++=sound
dog ^nn++++=dog
team ^nn++++=team,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dogs ^nns++++=dogs
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
machines ^nns++++=machines,
, ^zz++++=EXTRAWORD
regardless ^rb++++=regardless
of ^in++++=of
the ^ati++++=the
opinions ^nns++++=opinions
of ^in++++=of
men ^nns++++=men
who ^whp+rel+obj++=who
rent ^nn++++=rent
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Sims ^np+++??+=Sims
cleared ^vwbn+++xvbn+=cleared
his ^pp$+pp3+++=his
throat ^nn++++=throat.
. ^zz++++=EXTRAWORD
" ^zz++++="Can't
can ^md+pos+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
till ^cs+sub+++=till
she ^pp3a+pp3+++=she
eases ^vbz++++=eases."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
ease ^nn++++=ease,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
John ^np++++=John.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
we ^pp1a+pp1+++=we
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Meaning,"
meaning ^nvbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Annie ^np+++??+=Annie,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
quiet ^nn++++=quiet,
, ^zz++++=EXTRAWORD
" ^zz++++="they
they ^pp3a+pp3+++=EXTRAWORD
freeze ^vb++++=freeze."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Shorty ^np++++=Shorty
poked ^vbd+++xvbn+=poked
the ^ati++++=the
stove ^nn++++=stove.
. ^zz++++=EXTRAWORD
" ^zz++++="Likely
likely ^jj++++=EXTRAWORD
they ^pp3a+pp3+++=they're
're ^vb+ber+aux++0=EXTRAWORD
froze ^vpsv++agls+xvbnx+=froze
already ^rb++++=already."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
looked ^vbd+++xvbn+=looked
around ^rp++++=around
at ^rb++++=at
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
an ^at++++=an
educational ^jj+atrb+++=educational
look ^nn++++=look.
. ^zz++++=EXTRAWORD
" ^zz++++="Six
six ^cd++++=EXTRAWORD
men ^nns++++=men,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="with
with ^in++++=EXTRAWORD
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
dogs ^nns++++=dogs,
, ^zz++++=EXTRAWORD
rope ^nn++++=rope,
, ^zz++++=EXTRAWORD
lanterns ^nns++++=lanterns,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
whole ^jj+atrb+++=whole
warehouse ^nn++++=warehouse
of ^in++++=of
heroic ^jj+atrb+++=heroic
whiskers ^nns+nom+++=whiskers.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
not ^xnot++not++=not
one ^cd1++++=one
vertebra ^nn+++??+=vertebra
among ^in++++=among
the ^ati++++=the
lot ^nn++++=lot."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
listen ^vb++++=listen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Dutch ^jj+atrb+++=Dutch
Henry ^np++++=Henry.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
man ^nn++++=man
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
nobody ^pn++++=nobody
by ^in++++=by
gettin ^nn+++??+=gettin'
' ^zz++++=EXTRAWORD
lost ^vbd+++xvbn+=lost
himself ^ppl+pp3+++=himself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That,"
that ^dt+pdem+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Annie ^np+++??+=Annie,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
the ^ati++++=the
favorite ^jj+atrb+++=favorite
syllogism ^nn+nom+++=syllogism
of ^in++++=of
cowards ^nns++++=cowards:
: ^zz++++=EXTRAWORD
because ^cs+cos+++=because
danger ^nn++++=danger
exists ^vbz++++=exists,
, ^zz++++=EXTRAWORD
virtue ^nn++++=virtue
is ^vbz+bez+vrb++=is
impractical ^jj+pred+++=impractical."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Big
big ^jj+atrb+++=EXTRAWORD
words ^nns++++=words
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
warm ^vb++++=warm
a ^at++++=a
corpse ^nn++++=corpse."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
movement ^nn+nom+++=movement
might ^md+pos+++=might."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
pulled ^vbd+++xvbnx+=pulled
on ^in++++=on
her ^pp$+pp3+++=her
frozen ^vbd+++xvbn+=frozen
mittens ^nns+++??+=mittens.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+++=EXTRAWORD
you ^pp2+pp2+++=you
going ^vbg+++xvbg+=going?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="To
to ^to++++=EXTRAWORD
fetch ^vbi++++=fetch
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
you ^pp2+pp2+++=you'd
'd ^md+prd+vrb++0=EXTRAWORD
hand ^nn++++=hand
them ^pp3o+pp3+++0='em
rocks ^nns++++=rocks
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
was ^vbd+bedz+aux++=was
drowning ^vbg+++xvbgx+=drowning."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
drowning ^nvbg+++xvbg+=drowning.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+vrb++0=EXTRAWORD
freezing ^nn++++=freezing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
claim ^vb++++=claim
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
governed ^vpsv++by+xvbnx+=governed
by ^in++++=by
logic ^nn++++=logic.
. ^zz++++=EXTRAWORD
No ^at++++=No
good ^jj+atrb+++=good
prospector ^nn++++=prospector
is ^vbz+bez+vrb++=is;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
keep ^vb++++=keep
wages ^nns++++=wages.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
statements ^nns+nom+++=statements
that ^tht+ncmp+++=that
catch ^vb++++=catch
a ^at++++=a
man ^nn++++=man
in ^in++++=in
his ^pp$+pp3+++=his
pride ^nn++++=pride
like ^in++++=like
a ^at++++=a
fishhook ^nn+++??+=fishhook
in ^in++++=in
the ^ati++++=the
ear ^nn++++=ear.
. ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
opened ^vbd+++xvbn+=opened
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
storm ^nn++++=storm
struck ^vbd+++xvbn+=struck
her ^pp$+pp3+++=her
backward ^jj++++=backward
two ^cd++++=two
steps ^nns++++=steps.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lowered ^vbd+++xvbnx+=lowered
her ^pp3o+pp3+++=her
head ^jjb++++=head
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
into ^in++++=into
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
swore ^vbd+vpub++xvbnx+=swore,
, ^zz++++=EXTRAWORD
grabbed ^j+++xvbn+=grabbed
my ^pp$+pp1+++=my
parka ^nn+++??+=parka,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
followed ^vbd+vprv++xvbn+=followed.
. ^zz++++=EXTRAWORD
Shorty ^np++++=Shorty
swore ^vbd+vpub++xvbn+=swore
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
Dutch ^nn++++=Dutch
Henry ^np++++=Henry
swore ^vbd+vpub++xvbn+=swore
at ^in++++=at
Shorty ^np++++=Shorty.
. ^zz++++=EXTRAWORD
French ^jj+atrb+++=French
Pete ^np++++=Pete
said ^vbd+vpub+tht0+xvbn+=said
something ^pn++++=something
in ^in++++=in
two ^cd++++=two
languages ^nns+nom+++=languages
and ^cc++++=and
got ^vbd+++xvbn+=got
the ^ati++++=the
dog ^nn++++=dog
harness ^nns+nom+++=harness.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
five ^cd++++=five
minutes ^nns++++=minutes
the ^ati++++=the
whole ^jj+atrb+++=whole
cowardly ^jj+atrb+++=cowardly,
, ^zz++++=EXTRAWORD
spineless ^jj+atrb+++=spineless
organization ^nn+nom+++=organization
was ^vbd+bedz+vrb++=was
outside ^jjb+pred+++=outside,
, ^zz++++=EXTRAWORD
functioning ^vbg+++xvbg+=functioning
under ^in++++=under
female ^jj+atrb+++=female
management ^nn+nom+++=management.
. ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
knew ^vbd+vprv++xvbn+=knew
that ^tht+vcmp+++=that
trail ^nn++++=trail
better ^jjr++++=better
than ^in++++=than
any ^dti++++=any
of ^in++++=of
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
tied ^vbd+++xvbnx+=tied
a ^at++++=a
rope ^nn++++=rope
from ^in++++=from
man ^nn++++=man
to ^in++++=to
man ^nn++++=man,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
John ^np++++=John
Nanook ^np+++??+=Nanook
on ^in++++=on
the ^ati++++=the
sled ^nn++++=sled
under ^in++++=under
blankets ^nns++++=blankets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
lead ^nn++++=lead
with ^in++++=with
her ^pp$+pp3+++=her
beside ^in+pl+++=beside
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
carried ^vbd+++xvbn+=carried
a ^at++++=a
lantern ^nn++++=lantern,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
lit ^vbd+++xvbn+=lit
nothing ^pn++++=nothing
except ^in++++=except
a ^at++++=a
spinning ^jj+atrb++xvbg+=spinning
yellow ^jj+atrb+++=yellow
wall ^nn++++=wall
about ^in++++=about
the ^ati++++=the
size ^nn++++=size
of ^in++++=of
a ^at++++=a
hatbox ^nn+++??+=hatbox.
. ^zz++++=EXTRAWORD
Snow ^nn++++=Snow
hit ^vbd+++xvbn+=hit
our ^pp$+pp1+++=our
faces ^nns++++=faces
like ^in++++=like
handfuls ^nns+nom+++=handfuls
of ^in++++=of
sand ^nn++++=sand.
. ^zz++++=EXTRAWORD
Breathing ^xvbg+++xvbg+=Breathing
hurt ^vbd+++xvbn+=hurt.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dogs ^nns++++=dogs
went ^vbd+++xvbn+=went
belly ^nn++++=belly-low,
- ^zz++++=EXTRAWORD
low ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whining ^vbg+++xvbg+=whining,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
tails ^vbz++++=tails
tucked ^vwbn+++xvbn+=tucked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
few ^ap++++=few
rods ^nns++++=rods
the ^ati++++=the
wind ^nn++++=wind
laid ^vbd+++xvbn+=laid
the ^ati++++=the
whole ^jj+atrb+++=whole
team ^nn++++=team
sideways ^jjb++++=sideways.
. ^zz++++=EXTRAWORD
" ^zz++++="Bear
bear ^vb+vprv+++=EXTRAWORD
left ^vwbn+++xvbn+=left!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
yelled ^vbd+++xvbn+=yelled.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
trail ^nn++++=trail!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
bears ^vbz++++=bears
left ^vbd+++xvbn+=left
anyway ^rb++++=anyway!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
sense ^nn++++=sense!"
! ^zz++++=EXTRAWORD
