# ^zz++++=##
# ^zz++++=EXTRAWORD
Jane ^np++++=Jane
. ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
mark ^vb++++=mark
your ^pp$+pp2+++=your
dress ^nn++++=dress."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+aux++=is
gone ^vpsv++agls+xvbnx+=gone,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
generally ^rb+down+++=generally
what ^wdt+who+++=what
happens ^vbz+vsua+++=happens
when ^wrb+who+whcl++=when
a ^at++++=a
person ^nn++++=person
goes ^vbz++++=goes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
may ^md+pos+++=may
never ^rb++splt++=never
come ^vb++++=come
back ^jjb++++=back."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
fortunate ^jj+pred+++=fortunate
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=did
not ^xnot++not++=not
marry ^vb++++=marry
him ^pp3o+pp3+++=him
first ^rb++++=first."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me
as ^cs+sub+++=as
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said
something ^pn++++=something
cruel ^jj++++=cruel,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
only ^rb+down+splt++=only
pointing ^vbg+++xvbgx+=pointing
out ^rp+pl+++=out
the ^ati++++=the
bright ^jj+atrb+++=bright
side ^nn++++=side.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
curious ^jj+atrb+++=curious
thing ^nn++++=thing
that ^tht+rel+obj++=that
people ^nns++++=people
who ^whp+rel+subj++=who
boast ^vb+vpub+++=boast
of ^in++++=of
tender ^jj+atrb+++=tender
hearts ^nns++++=hearts
cannot ^md+pos+not++=cannot
bear ^vb+vprv+++=bear
plain ^nn++++=plain
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack
wrote ^vbd+vprv++xvbn+=wrote
from ^in++++=from
Liverpool ^np++++=Liverpool,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
from ^in++++=from
New ^jj+atrb+++=New
York ^np++++=York,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
from ^in++++=from
a ^at++++=a
place ^nn++++=place
called ^vbd+++xvbn+=called
Pittsburgh ^np+++??+=Pittsburgh,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
iron ^nn++++=iron
works ^nns++++=works
and ^cc++++=and
smoke ^vb++++=smoke
enough ^qlp++++=enough,
, ^zz++++=EXTRAWORD
by ^in++++=by
his ^pp$+pp3+++=his
account ^nn++++=account,
, ^zz++++=EXTRAWORD
to ^to++++=to
make ^vbi++++=make
our ^pp$+pp1+++=our
blacksmith ^nn++++=blacksmith's
's ^$++++=EXTRAWORD
chimney ^nn++++=chimney
seem ^vb+seem+++=seem
like ^in++++=like
a ^at++++=a
lady ^nn++++=lady's
's ^$++++=EXTRAWORD
perfume ^nn++++=perfume
bottle ^nn++++=bottle.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
letters ^nns+nom+++=letters
come ^vb++++=come
regularly ^rb++++=regularly
at ^rb++++=at
first ^rb"++++=first.
. ^zz++++=EXTRAWORD
Mattie ^np+++??+=Mattie
read ^vbd+vprv++xvbn+=read
them ^pp3o+pp3+++=them
until ^cs+sub+++=until
the ^ati++++=the
folds ^nn++++=folds
split ^vbd+++xvbn+=split.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=would
not ^xnot++not++=not
show ^nn++++=show
them ^pp3o+pp3+++=them
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
considered ^vbd+vprv++xvbnx+=considered
unkind ^jj++++=unkind
after ^cs+sub+++=after
all ^abn++++=all
the ^ati++++=the
times ^nns++++=times
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
fetched ^vprf+++xvbnx+=fetched
them ^pp3o+pp3+++=them
from ^in++++=from
the ^ati++++=the
post ^nn++++=post.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
see ^vb+vprv+++=see
pieces ^nns++++=pieces,
, ^zz++++=EXTRAWORD
naturally ^rb++++=naturally.
. ^zz++++=EXTRAWORD
A ^at++++=A
letter ^nn++++=letter
left ^vbd+++xvbn+=left
open ^jj++++=open
on ^in++++=on
a ^at++++=a
kitchen ^nn++++=kitchen
table ^nn++++=table
is ^vbz+bez+vrb++=is
no ^at++++=no
more ^rbr++++=more
private ^jj++++=private
than ^in++++=than
a ^at++++=a
notice ^nn++++=notice
nailed ^vwbn+++xvbn+=nailed
to ^in++++=to
the ^ati++++=the
church ^npl++++=church
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wrote ^vbd+vprv++xvbnx+=wrote
of ^in++++=of
long ^jj+atrb+++=long
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
hard ^jj+atrb+++=hard
labour ^nn++++=labour,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wages ^nns++++=wages
four ^cd++++=four
times ^nns++++=times
what ^wdt+who+++=what
Davy ^np++++=Davy
paid ^vbd+++xvbn+=paid.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
some ^dti++++=some
share ^nn++++=share
in ^in++++=in
a ^at++++=a
machine ^nn++++=machine
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
what ^wdt+who+++=what
sort ^nn++++=sort
of ^in++++=of
machines ^nns++++=machines
Mattie ^np+++??+=Mattie
could ^md+pos+++=could
not ^xnot++not++=not
explain ^vb+vpub+++=explain.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
only ^rb+down+++=only
knew ^vbd+vprv+tht0+xvbn+=knew
Jack ^np++++=Jack
was ^vbd+bedz+aux++=was
doing ^vbg+++xvbgx+=doing
well ^jj+pred+++=well
and ^cc++++=and
loved ^vbd+++xvbn+=loved
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
twenty ^cd++++=twenty
pages ^nns++++=pages
about ^in++++=about
boilers ^nns+nom+++=boilers
and ^cc++++=and
one ^cd1++++=one
line ^nn++++=line
saying ^vwbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
own ^ap++++=own
dear ^uh++++=dear
girl ^nn++++=girl,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
the ^ati++++=the
line ^nn++++=line
she ^pp3a+pp3+++=she
remembered ^vbd+vprv++xvbnx+=remembered.
. ^zz++++=EXTRAWORD
For ^in++++=For
three ^cd++++=three
years ^nns++++=years
she ^pp3a+pp3+++=she
waited ^vbd+++xvbnx+=waited.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
deny ^vb+vpub+++=deny
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
chances ^nns+nom+++=chances.
. ^zz++++=EXTRAWORD
Young ^jj+atrb+++=Young
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
father ^npt++++=father
kept ^vbd+++xvbn+=kept
the ^ati++++=the
Red ^jj+atrb+++=Red
Lion ^nn++++=Lion
and ^cc++++=and
owned ^vbd+++xvbn+=owned
two ^cd++++=two
cottages ^nns+nom+++=cottages,
, ^zz++++=EXTRAWORD
asked ^j+++xvbn+=asked
her ^pp$+pp3+++=her
twice ^rb++++=twice
to ^to++++=to
walk ^vbi++++=walk
out ^rp+pl+++=out
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Ned ^np+++??+=Ned
Swan ^nn++++=Swan,
, ^zz++++=EXTRAWORD
the ^ati++++=the
miller ^nn++++=miller's
's ^$++++=EXTRAWORD
nephew ^nn++++=nephew,
, ^zz++++=EXTRAWORD
brought ^j+++xvbn+=brought
her ^pp$+pp3+++=her
a ^at++++=a
china ^np++++=china
brooch ^nn++++=brooch
from ^in++++=from
Birmingham ^np++++=Birmingham.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Rudge ^np++++=Rudge,
, ^zz++++=EXTRAWORD
a ^at++++=a
widower ^nn++++=widower
with ^in++++=with
a ^at++++=a
comfortable ^jj+atrb+++=comfortable
coal ^nn++++=coal
business ^nns+nom+++=business
and ^cc++++=and
only ^rb+down+++=only
four ^cd++++=four
children ^nns++++=children,
, ^zz++++=EXTRAWORD
made ^jj+atrb++xvbn+=made
inquiries ^nns++++=inquiries.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
advised ^vbd+vpub++xvbnx+=advised
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Rudge ^np++++=Rudge.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
children ^nns++++=children
is ^vbz+bez+vrb++=is
a ^at++++=a
consideration ^nn+nom+++=consideration,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
so ^ql++++=so
is ^vbz+bez+vrb++=is
a ^at++++=a
horse ^nn++++=horse
and ^cc++++=and
trap ^nn++++=trap.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
love ^nn++++=love
Jack ^np++++=Jack,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mattie ^np+++??+=Mattie.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
loved ^vbd+++xvbn+=loved
him ^pp3o+pp3+++=him
three ^cd++++=three
years ^nns++++=years
ago ^rb+cnj+++=ago,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
the ^ati++++=the
same ^ap++++=same
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
A ^at++++=A
preserve ^nn++++=preserve
may ^md+pos+++=may
keep ^vb++++=keep
three ^cd++++=three
years ^nns++++=years,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
taste ^vb++++=taste
fresh ^jj++++=fresh."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
loves ^nns++++=loves
me ^pp1o+pp1+++=me
too ^rb++++=too."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
a ^at++++=a
man ^nn++++=man
is ^vbz+bez+aux++=is
doing ^vbg+++xvbgx+=doing
across ^in+pl+++=across
the ^ati++++=the
ocean ^nn++++=ocean?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
may ^md+pos+++=may
have ^vb+hv+aux++=have
married ^vprf+++xvbnx+=married
an ^at++++=an
American ^nn++++=American."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
would ^md+prd+++=would
tell ^vb++++=tell
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
laughed ^vbd+++xvbnx+=laughed
at ^in+ppvb+++=at
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
do ^vb+do+aux++=do
not ^xnot++not++=not
always ^rb++++=always
tell ^vb++++=tell.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
where ^wrb+who+whq++=where
would ^md+prd+++=would
lawyers ^nns+nom+++=lawyers
get ^vb++++=get
their ^pp$+pp3+++=their
dinner ^nn++++=dinner?
? ^zz++++=EXTRAWORD
The ^ati++++=The
truth ^nn++++=truth
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
use ^nn++++=use
making ^vwbg+++xvbg+=making
too ^ql++++=too
much ^ap++++=much
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
sometimes ^rb++splt++=sometimes
wondered ^vprf+++xvbnx+=wondered
about ^in++++=about
Jack ^np++++=Jack
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
poor ^jj+pred+++=poor,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
A ^at++++=A
woman ^nn++++=woman
should ^md+nec+++=should
never ^rb++splt++=never
encourage ^nn+nom+++=encourage
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
in ^in++++=in
habits ^nns++++=habits
he ^pp3a+pp3+++=he
cannot ^md+pos+not++=cannot
afford ^vb++++=afford.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
as ^ql++++=as
his ^pp$+pp3+++=his
letters ^nns+nom+++=letters
spoke ^vbd+++xvbn+=spoke
of ^in++++=of
contracts ^nns++++=contracts,
, ^zz++++=EXTRAWORD
partners ^nns+nom+++=partners,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
money ^nn++++=money
put ^vbd+++xvbn+=put
away ^rb+phrv+++=away
in ^in++++=in
a ^at++++=a
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
improve ^vbi++++=improve
wonderfully ^rb++++=wonderfully.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
his ^pp$+pp3+++=his
fortune ^nn++++=fortune
I ^pp1a+pp1+++=I
cared ^vbd+++xvbnx+=cared
for ^in+ppvb+++=for.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
like ^in++++=like
that ^dt+pdem+++=that
understood ^vbd+vprv++xvbn+=understood.
. ^zz++++=EXTRAWORD
Money ^nn++++=Money
alone ^rb++++=alone
never ^rb++++=never
attracted ^vbd+++xvbn+=attracted
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
steadiness ^nns+nom+++=steadiness
that ^tht+rel+++=that
money ^nn++++=money
represented ^vbd+++xvbn+=represented,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
house ^nn++++=house
it ^pp3+it+++=it
might ^md+pos+++=might
furnish ^vb++++=furnish,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
servants ^nns+nom+++=servants
it ^pp3+it+++=it
might ^md+pos+++=might
pay ^vb++++=pay,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
respect ^nn++++=respect
it ^pp3+it+++=it
might ^md+pos+++=might
purchase ^vb++++=purchase.
. ^zz++++=EXTRAWORD
Any ^dti++++=Any
sensible ^jj+atrb+++=sensible
girl ^nn++++=girl
would ^md+prd+++=would
think ^vb+vprv+++=think
the ^ati++++=the
same ^ap++++=same.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
important ^jj+atrb+++=important
letter ^nn++++=letter
come ^vb++++=come,
, ^zz++++=EXTRAWORD
Mattie ^np+++??+=Mattie
and ^cc++++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
making ^vbg+++xvbgx+=making
blackberry ^nn++++=blackberry
jam ^nn++++=jam.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
on ^in++++=on
a ^at++++=a
blue ^jj+atrb+++=blue
apron ^nn++++=apron,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
hair ^nn++++=hair
was ^vbd+bedz+aux++=was
twisted ^vpsv++agls+xvbnx+=twisted
up ^rp++++=up
anyhow ^rb++++=anyhow
because ^cs+cos+++=because
of ^in"++++=of
the ^ati++++=the
heat ^nn++++=heat.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
lifting ^vbg+++xvbgx+=lifting
jars ^nns++++=jars
from ^in++++=from
the ^ati++++=the
boiler ^nn++++=boiler.
. ^zz++++=EXTRAWORD
The ^ati++++=The
postman ^nn++++=postman
put ^vbd+++xvbn+=put
the ^ati++++=the
letter ^nn++++=letter
through ^in++++=through
the ^ati++++=the
open ^jj+atrb+++=open
window ^nn++++=window,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
fell ^vbd+++xvbn+=fell
beside ^in+pl+++=beside
the ^ati++++=the
sugar ^nn++++=sugar
scales ^nns++++=scales.
. ^zz++++=EXTRAWORD
Mattie ^np+++??+=Mattie
knew ^vbd+vprv++xvbn+=knew
Jack ^np++++=Jack's
's ^vbz+bez+aux++0=EXTRAWORD
writing ^vbg+++xvbg+=writing
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
hand ^nn++++=hand
shook ^vbd+++xvbn+=shook
so ^ql++++=so
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
upset ^vbd+++xvbnx+=upset
a ^at++++=a
saucer ^nn++++=saucer.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
broke ^vprf+++xvbnx+=broke
the ^ati++++=the
good ^jj+atrb+++=good
one ^pn++++=one,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+aux++=is
coming ^vbg+++xvbgx+=coming
home ^nr++++=home!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
not ^xnot++not++=not
even ^cs+sub+++=even
opened ^vprf+++xvbn+=opened
the ^ati++++=the
letter ^nn++++=letter.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
foolishness ^nns+nom+++=foolishness
I ^pp1a+pp1+++=I
mean ^jj++++=mean.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
open ^vb++++=open
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
read ^vbd+vprv++xvbnx+=read
with ^in++++=with
both ^abx++++=both
hands ^nns++++=hands
pressed ^vbd+++xvbn+=pressed
to ^in++++=to
her ^pp$+pp3+++=her
cheeks ^nns++++=cheeks.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
laughed ^vbd+++xvbnx+=laughed,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
cried ^vbd+++xvbn+=cried,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
kissed ^vbd+++xvbn+=kissed
the ^ati++++=the
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
travelled ^vprf+++xvbnx+=travelled
through ^in++++=through
several ^ap++++=several
dirty ^jj+atrb+++=dirty
post ^nn++++=post
offices ^nns++++=offices.
. ^zz++++=EXTRAWORD
" ^zz++++="Well?"
well ^rb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
home ^nr++++=home
already ^rb++++=already.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
landed ^vbd+++xvbnx+=landed
four ^cd++++=four
days ^nns++++=days
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
London ^np++++=London
on ^in++++=on
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
comes ^vbz++++=comes
here ^rn+pl+++=here
Thursday ^nr++++=Thursday."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Does
does ^vbz+doz+vrb++=EXTRAWORD
he ^pp3a+pp3+++=he?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
wants ^vbz++++=wants
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
me ^pp1o+pp1+++=me
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
sees ^vbz+vprv+++=sees
Father ^nn++++=Father.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
says ^vbz+vpub+tht0++=says
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
something ^pn++++=something
he ^pp3a+pp3+++=he
must ^md+nec+++=must
tell ^vb++++=tell
me ^pp1o+pp1+++=me
alone ^rb++++=alone."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
that ^tht+vcmp+++=that
sounded ^vprf+++xvbn+=sounded
suspicious ^jj++++=suspicious.
. ^zz++++=EXTRAWORD
Mattie ^np+++??+=Mattie
read ^vbd+vprv++xvbn+=read
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack
had ^vbd+hvd+aux++=had
arranged ^vprf+++xvbnx+=arranged
to ^to+vcmp+++=to
meet ^vbi++++=meet
her ^pp$+pp3+++=her
at ^in++++=at
eight ^cd++++=eight
on ^in++++=on
Thursday ^nr++++=Thursday
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
old ^jj+atrb+++=old
yew ^nn++++=yew
beside ^in+pl+++=beside
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Bartholomew ^np++++=Bartholomew's
's ^$++++=EXTRAWORD
Church ^npl++++=Church.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
enclosed ^vbd+++xvbnx+=enclosed
a ^rb++++=a
little ^rb"++++=little
note ^vb+vprv+++=note
meant ^vbd+vprv++xvbn+=meant
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
put ^vpsv++agls+xvbnx+=put
in ^rb+phrv+++=in
her ^pp$+pp3+++=her
prayer ^nn++++=prayer-book,
- ^zz++++=EXTRAWORD
book ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
case ^nn++++=case
Uncle ^nn++++=Uncle
Peter ^np++++=Peter
should ^md+nec+++=should
see ^vb+vprv+++=see
the ^ati++++=the
larger ^jjr+atrb+++=larger
letter ^nn++++=letter.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
sense ^nn++++=sense
in ^cs+sub+++=in
that ^cs"++++=that
arrangement ^nn+nom+++=arrangement,
, ^zz++++=EXTRAWORD
for ^in++++=for
Uncle ^nn++++=Uncle
Peter ^np++++=Peter
never ^rb++++=never
touched ^xvbn+++xvbn+=touched
anybody ^pn++++=anybody's
's ^vbz+bez+vrb++0=EXTRAWORD
prayer ^nn++++=prayer-book
- ^zz++++=EXTRAWORD
book ^nn++++=EXTRAWORD
except ^in++++=except
in ^in++++=in
church ^nn++++=church,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
only ^rb+down+++=only
his ^pp$+pp3+++=his
own ^ap++++=own,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
lovers ^nns++++=lovers
enjoy ^vb++++=enjoy
complication ^nn+nom+++=complication
as ^ql++++=as
cats ^nns++++=cats
enjoy ^vb++++=enjoy
string ^nn++++=string.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
does ^vbz+doz+aux++=does
he ^pp3a+pp3+++=he
say ^vb+vpub+++=say
of ^in++++=of
his ^pp$+pp3+++=his
circumstances ^nns+nom+++=circumstances?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
blank ^np++++=blank.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
succeeded ^vprf+++xvbnx+=succeeded
beyond ^in++++=beyond
his ^pp$+pp3+++=his
hopes ^nns++++=hopes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
far ^rb+pl+++=far
beyond ^in+strn+++=beyond?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Does
does ^vbz+doz+aux++=EXTRAWORD
he ^pp3a+pp3+++=he
mention ^nn+nom+++=mention
