**the ^nn+++??+=**The
Lighthouse ^nn++++=Lighthouse
. ^zz++++=EXTRAWORD
Nine ^cd++++=Nine
bodies ^nns++++=bodies
had ^vbd+hvd+aux++=had
washed ^vprf+++xvbnx+=washed
ashore ^rb+pl+++=ashore.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
a ^at++++=a
young ^jj+atrb+++=young
assistant ^nn+nom+++=assistant
keeper ^nn++++=keeper,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
helped ^vprf+++xvbnx+=helped
lay ^jjb+++xvbn+=lay
them ^pp3o+pp3+++=them
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
chapel ^nn++++=chapel.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wreck ^nn++++=wreck
was ^vbd+bedz+vrb++=was
visible ^jj+pred+++=visible
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
half ^abn++++=half
a ^at++++=a
mile ^nn++++=mile
across ^in+pl+++=across
the ^ati++++=the
seabed ^nn++++=seabed.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
rusted ^jj+atrb++xvbn+=rusted
bow ^nn++++=bow
rose ^vbd+++xvbn+=rose
from ^in++++=from
the ^ati++++=the
mud ^nn++++=mud
at ^in++++=at
a ^at++++=a
crooked ^jj+atrb+++=crooked
angle ^nn++++=angle.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
told ^vbd+vpub++xvbn+=told
you ^pp2+pp2+++=you
about ^in++++=about
the ^ati++++=the
Saint ^nn++++=Saint
Orison ^np+++??+=Orison?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
mother ^nn++++=mother."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
cold ^jj+atrb+++=cold
sensation ^nn+nom+++=sensation
moved ^vbd+++xvbn+=moved
through ^rp++++=through
him ^pp3o+pp3+++=him
that ^dt+pdem+++=that
had ^vb+hv+vrb++=had
nothing ^pn++++=nothing
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
with ^in++++=with
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="We'll
we ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
talk ^vb++++=talk
at ^rb++++=at
the ^ati++++=the
lighthouse ^nn++++=lighthouse."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
go ^vb++++=go
to ^in++++=to
her ^pp$+pp3+++=her
before ^in++++=before
the ^ati++++=the
sea ^nn++++=sea
returns ^nns++++=returns."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Especially
especially ^rb++++=EXTRAWORD
before ^in++++=before
the ^ati++++=the
sea ^nn++++=sea
returns ^nns++++=returns."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Cora ^np++++=Cora's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
the ^ati++++=the
green ^jj++++=green-gray
- ^zz++++=EXTRAWORD
gray ^np++++=EXTRAWORD
color ^nn++++=color
of ^in++++=of
deep ^jj+atrb+++=deep
water ^nn++++=water.
. ^zz++++=EXTRAWORD
" ^zz++++="She's
she ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
been ^vpsv++agls+xvbnx+=been
waiting ^vbg+++xvbgx+=waiting
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
reached ^vbd+++xvbn+=reached
for ^in++++=for
her ^pp$+pp3+++=her
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stepped ^vbd+++xvbnx+=stepped
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
a ^at++++=a
shout ^nn++++=shout
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
the ^ati++++=the
hill ^nn++++=hill.
. ^zz++++=EXTRAWORD
" ^zz++++="Elias!"
elias ^nns+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Bell ^nn++++=Bell
stood ^vbd+++xvbn+=stood
near ^in+pl+++=near
the ^ati++++=the
chapel ^nn++++=chapel,
, ^zz++++=EXTRAWORD
waving ^vbg+++xvbg+=waving
both ^abx++++=both
arms ^nns++++=arms.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
the ^ati++++=the
last ^jj+atrb+++=last
islanders ^nns+nom+++=islanders
were ^vbd+bed+aux++=were
nearing ^vbg+++xvbgx+=nearing
the ^ati++++=the
ridge ^nn++++=ridge.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
looked ^vbd+++xvbn+=looked
east ^np+pl+++=east.
. ^zz++++=EXTRAWORD
Along ^in++++=Along
the ^ati++++=the
horizon ^nn++++=horizon,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dark ^jj+atrb+++=dark
bank ^nn++++=bank
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
mistaken ^vprf+++xvbnx+=mistaken
for ^in++++=for
cloud ^nn++++=cloud
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
higher ^jjr++++=higher.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
cloud ^nn++++=cloud.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
water ^nn++++=water.
. ^zz++++=EXTRAWORD
From ^in++++=From
that ^dt+dem+++=that
distance ^nn+nom+++=distance
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
motionless ^jj++++=motionless,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Elias ^np+++??+=Elias
understood ^vwbn+vprv++xvbn+=understood
how ^wrb+who+whcl++=how
quickly ^rb++++=quickly
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
approaching ^vbg+++xvbgx+=approaching.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sea ^nn++++=sea
had ^vbd+hvd+aux++=had
gathered ^vprf+++xvbnx+=gathered
itself ^ppl++++=itself
into ^in++++=into
a ^at++++=a
single ^jj+atrb+++=single
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
less ^rbr++++=less
than ^in++++=than
an ^at++++=an
hour ^nn++++=hour,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Cora ^np+++??+=Cora
turned ^vbd+++xvbn+=turned
toward ^in++++=toward
the ^ati++++=the
wreck ^nn++++=wreck.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
caught ^vbd+++xvbn+=caught
her ^pp$+pp3+++=her
wrist ^nn++++=wrist.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
twisted ^vbd+++xvbnx+=twisted
with ^in++++=with
surprising ^xvbg+++xvbg+=surprising
strength ^nn++++=strength.
. ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me
go ^vb++++=go!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
calls ^vbz++++=calls
every ^at++++=every
night ^nn++++=night!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
force ^nn++++=force
of ^in++++=of
her ^pp$+pp3+++=her
cry ^nn++++=cry
stopped ^vbd+++xvbn+=stopped
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Cora ^np++++=Cora's
's ^$++++=EXTRAWORD
face ^nn++++=face
had ^vbd+hvd+aux++=had
changed ^vprf+++xvbnx+=changed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
calm ^nn++++=calm
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beneath ^in+pl+++=beneath
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
grief ^nn++++=grief
so ^rb+emph+++=so
old ^jj++++=old
it ^pp3+it+++=it
looked ^vbd+++xvbn+=looked
unnatural ^jj++++=unnatural
on ^in++++=on
a ^at++++=a
child ^nn++++=child.
. ^zz++++=EXTRAWORD
" ^zz++++="Every
every ^at++++=EXTRAWORD
night ^nn++++=night,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
repeated ^vbd+++xvbnx+=repeated,
, ^zz++++=EXTRAWORD
" ^zz++++="when
when ^wrb+who+++=EXTRAWORD
your ^pp$+pp2+++=your
light ^jj++++=light
turns ^vbz++++=turns."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
glanced ^vbd+++xvbn+=glanced
back ^jjb++++=back
at ^in++++=at
the ^ati++++=the
lighthouse ^nn++++=lighthouse.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
does ^vbz+doz+aux++=does
she ^pp3a+pp3+++=she
say ^vb+vpub+++=say?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
says ^vbz+vpub+tht0++=says
you ^pp2+pp2+++=you
left ^vbd+++xvbn+=left
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
dark ^nn++++=dark."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind
moved ^vbd+++xvbn+=moved
across ^in+pl+++=across
the ^ati++++=the
empty ^jj+atrb+++=empty
harbor ^nn++++=harbor.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
mud ^nn++++=mud
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
thousands ^cds++++=thousands
of ^in++++=of
stranded ^jj+atrb+++=stranded
fish ^nns++++=fish
opened ^vbd+++xvbn+=opened
and ^cc+phrs+++=and
closed ^vbd+++xvbn+=closed
their ^pp$+pp3+++=their
mouths ^nns++++=mouths.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
loosened ^vbd+++xvbn+=loosened
his ^pp$+pp3+++=his
grip ^nn++++=grip.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
things ^nns++++=things
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
never ^rb++splt++=never
told ^vprf++tht0+xvbnx+=told
anyone ^pn++++=anyone
about ^in++++=about
the ^ati++++=the
Saint ^nn++++=Saint
Orison ^np+++??+=Orison.
. ^zz++++=EXTRAWORD
The ^ati++++=The
official ^nn++++=official
report ^vb++++=report
blamed ^vbd+++xvbn+=blamed
the ^ati++++=the
storm ^nn++++=storm,
, ^zz++++=EXTRAWORD
the ^ati++++=the
captain ^nn++++=captain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bad ^jj+atrb+++=bad
charts ^nns++++=charts.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
mentioned ^vbd+vpub++xvbn+=mentioned
that ^tht+vcmp+++=that
the ^ati++++=the
island ^nn++++=island
lighthouse ^nn++++=lighthouse
had ^vbd+hvd+aux++=had
suffered ^vprf+++xvbnx+=suffered
a ^at++++=a
mechanical ^jj+atrb+++=mechanical
failure ^nn++++=failure
that ^tht+rel+++=that
night ^nn++++=night,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
stated ^vbn+vpub++xvbn+=stated
that ^tht+vcmp+++=that
the ^ati++++=the
assistant ^nn+nom+++=assistant
keeper ^nn++++=keeper
had ^vbd+hvd+aux++=had
restored ^vprf+++xvbnx+=restored
the ^ati++++=the
lamp ^nn++++=lamp
as ^in++++=as
quickly ^rb++++=quickly
as ^ql++++=as
conditions ^nns+nom+++=conditions
allowed ^vwbn+++xvbn+=allowed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
did ^vbd+dod+aux++=did
not ^xnot++not++=not
say ^vb+vpub+tht0++=say
Elias ^np+++??+=Elias
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
to ^in++++=to
the ^ati++++=the
village ^nn+nom+++=village
tavern ^nn++++=tavern.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^nn++++=father,
, ^zz++++=EXTRAWORD
the ^ati++++=the
head ^jjb+atrb+++=head
keeper ^nn++++=keeper,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
ill ^jj++++=ill
with ^in++++=with
fever ^nn++++=fever.
. ^zz++++=EXTRAWORD
Before ^in++++=Before
leaving ^xvbg+++xvbg+=leaving,
, ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
had ^vbd+hvd+aux++=had
filled ^vprf+++xvbnx+=filled
the ^ati++++=the
oil ^nn++++=oil
reservoir ^nn++++=reservoir
and ^cc++++=and
set ^vb+++xvbn+=set
the ^ati++++=the
rotation ^nn+nom+++=rotation
mechanism ^nn+nom+++=mechanism.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
told ^vbd+vpub+tht0+xvbnx+=told
himself ^ppl+pp3+++=himself
he ^pp3a+pp3+++=he
would ^md+prd+++=would
return ^vb++++=return
in ^in++++=in
an ^at++++=an
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
storm ^nn++++=storm
worsened ^vbd+++xvbn+=worsened.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tavern ^nn++++=tavern
doors ^nns++++=doors
shook ^vbd+++xvbn+=shook
in ^in++++=in
the ^ati++++=the
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
someone ^pn++++=someone
began ^vbd+++xvbn+=began
playing ^vbg+++xvbg+=playing
a ^at++++=a
fiddle ^nn++++=fiddle.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
drink ^nn++++=drink
became ^vbd+++xvbn+=became
three ^cd++++=three.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Elias ^np+++??+=Elias
finally ^rb++++=finally
climbed ^vbd+++xvbn+=climbed
the ^ati++++=the
hill ^nn++++=hill,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
the ^ati++++=the
mechanism ^nn+nom+++=mechanism
jammed ^vbd+++xvbn+=jammed
and ^cc++++=and
the ^ati++++=the
flame ^nn++++=flame
extinguished ^vbd+++xvbn+=extinguished.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
relit ^nn+++??+=relit
it ^pp3+it+++=it
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
By ^in++++=By
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Saint ^nn++++=Saint
Orison ^np+++??+=Orison
had ^vbd+hvd+aux++=had
struck ^vprf+++xvbnx+=struck
the ^ati++++=the
reef ^nn++++=reef.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^nn++++=father
took ^vbd+++xvbn+=took
responsibility ^nn+nom+++=responsibility.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
signed ^vbd+++xvbnx+=signed
the ^ati++++=the
report ^nn++++=report
with ^in++++=with
a ^at++++=a
trembling ^jj+atrb++xvbg+=trembling
hand ^nn++++=hand
and ^cc++++=and
died ^vbd+++xvbn+=died
the ^ati++++=the
following ^jj+atrb++xvbg+=following
winter ^nn++++=winter.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
inherited ^vbd+++xvbn+=inherited
the ^ati++++=the
lighthouse ^nn++++=lighthouse
and ^cc++++=and
never ^rb++++=never
left ^vbd+++xvbn+=left
the ^ati++++=the
island ^nn++++=island
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
For ^in++++=For
forty ^cd++++=forty
years ^nns++++=years,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
kept ^vprf+++xvbnx+=kept
the ^ati++++=the
lamp ^nn++++=lamp
as ^cs+sub+++=as
if ^cs+cnd+++=if
each ^dt++++=each
night ^nn++++=night
might ^md+pos+++=might
undo ^vb++++=undo
that ^cs+sub+++=that
one ^pn++++=one.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
mother ^nn++++=mother
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
ship ^nn++++=ship?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
Cora ^np+++??+=Cora
nodded ^vbd+++xvbn+=nodded.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
was ^vbd+bedz+aux++=was
her ^pp$+pp3+++=her
name ^nn++++=name?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Eleanor
eleanor ^np++++=EXTRAWORD
Wren ^nn++++=Wren."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
remembered ^vwbn+vprv++xvbn+=remembered
the ^ati++++=the
manifest ^nn++++=manifest.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
read ^vprf+++xvbnx+=read
it ^pp3+it+++=it
so ^rb++++=so
often ^rb++++=often
in ^in++++=in
those ^dt+dem+++=those
first ^rb++++=first
years ^nns++++=years
that ^tht+rel+obj++=that
the ^ati++++=the
names ^nns++++=names
remained ^vbd+++xvbn+=remained
lodged ^vprf+++xvbn+=lodged
in ^in++++=in
him ^pp3o+pp3+++=him
like ^in++++=like
fragments ^nns+nom+++=fragments
of ^in++++=of
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
Eleanor ^np++++=Eleanor
Wren ^np++++=Wren,
, ^zz++++=EXTRAWORD
aged ^jj++++=aged
twenty ^cd++++=twenty-eight.
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Traveling ^np+nom++??+=Traveling
with ^in++++=with
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
Coraline ^np+++??+=Coraline
Wren ^np++++=Wren,
, ^zz++++=EXTRAWORD
aged ^jj++++=aged
nine ^cd++++=nine.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
Cora ^np++++=Cora's
's ^$++++=EXTRAWORD
yellow ^jj+atrb+++=yellow
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
walked ^vprf+++xvbnx+=walked
through ^in++++=through
mud ^nn++++=mud,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
hem ^nn++++=hem
was ^vbd+bedz+vrb++=was
clean ^jj+pred+++=clean.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
shoes ^nns++++=shoes
left ^vbd+++xvbn+=left
no ^at++++=no
prints ^nns++++=prints
on ^in++++=on
the ^ati++++=the
wet ^jj+atrb+++=wet
stones ^nns++++=stones.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
were ^vbd+bed+vrb++=were
on ^in++++=on
the ^ati++++=the
ship ^nn++++=ship
too ^rb+cnj+++=too,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
Cora ^np+++??+=Cora
gazed ^vbd+++xvbn+=gazed
at ^rb++++=at
him ^pp3o+pp3+++=him
without ^in++++=without
blinking ^nn++++=blinking.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bell ^nn++++=bell
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
ringing ^vbg+++xvbg+=ringing.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
ridge ^nn++++=ridge
came ^vbd+++xvbn+=came
distant ^jj+atrb+++=distant
voices ^nns++++=voices
calling ^vwbg+++xvbg+=calling
his ^pp$+pp3+++=his
name ^nn++++=name.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
looked ^vbd+++xvbn+=looked
toward ^in++++=toward
the ^ati++++=the
approaching ^jj+atrb++xvbg+=approaching
wall ^nn++++=wall
of ^in++++=of
water ^nn++++=water.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
now ^rn+tm+++=now
stretched ^vbd+++xvbn+=stretched
across ^in+pl+++=across
the ^ati++++=the
entire ^jjb+atrb+++=entire
horizon ^nn++++=horizon,
, ^zz++++=EXTRAWORD
dark ^jj++++=dark
and ^cc++++=and
impossibly ^rb++++=impossibly
high ^jj++++=high.
. ^zz++++=EXTRAWORD
Birds ^nns++++=Birds
fled ^vbd+++xvbn+=fled
before ^in++++=before
it ^pp3+it+++=it
in ^in++++=in
wheeling ^xvbg+++xvbg+=wheeling
clouds ^nns++++=clouds.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
here ^rn+pl+++=here?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="To
to ^to++++=EXTRAWORD
find ^vbi+vprv+tht0++=find
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
the ^ati++++=the
sea ^npl++++=sea
opened ^vbd+++xvbn+=opened
the ^ati++++=the
door ^nn++++=door."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Cora ^np+++??+=Cora
pulled ^vbd+++xvbn+=pulled
her ^pp3o+pp3+++=her
wrist ^nn++++=wrist
free ^jj++++=free.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
time ^nn++++=time
Elias ^np+++??+=Elias
did ^vbd+dod+aux++=did
not ^xnot++not++=not
stop ^vb++++=stop
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
climbed ^vbd+++xvbnx+=climbed
down ^rp++++=down
a ^at++++=a
ladder ^nn++++=ladder
from ^in++++=from
the ^ati++++=the
quay ^nn++++=quay
and ^cc++++=and
stepped ^vpsv++agls+xvbn+=stepped
onto ^in++++=onto
the ^ati++++=the
seabed ^nn++++=seabed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mud ^nn++++=mud
held ^vbd+vprv++xvbn+=held
her ^pp$+pp3+++=her
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
firm ^jj+atrb+++=firm
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
thought ^vbd+++xvbn+=thought
of ^in++++=of
his ^pp$+pp3+++=his
father ^nn++++=father's
's ^$++++=EXTRAWORD
warning ^nn++++=warning.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
not ^xnot++not++=not
follow ^vb+vprv+++=follow
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^nn++++=father
had ^vbd+hvd+aux++=had
carried ^vprf+++xvbnx+=carried
secrets ^nns++++=secrets
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
all ^abn++++=all
warnings ^nns++++=warnings
were ^vbd+bed+aux++=were
born ^vpsv++agls+xvbnx+=born
from ^in++++=from
mistakes ^nns++++=mistakes
no ^at++++=no
one ^cd1++++=one
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
confess ^nns+nom+++=confess.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
climbed ^vbd+++xvbn+=climbed
after ^in++++=after
the ^ati++++=the
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mud ^nn++++=mud
swallowed ^vbd+++xvbn+=swallowed
his ^pp$+pp3+++=his
boots ^nns++++=boots
to ^in++++=to
the ^ati++++=the
ankles ^nns++++=ankles.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
step ^vb++++=step
made ^vwbn+++xvbn+=made
a ^at++++=a
wet ^jj+atrb+++=wet
sucking ^jj+atrb+++=sucking
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
Cora ^np+++??+=Cora
walked ^vbd+++xvbn+=walked
several ^ap++++=several
yards ^nns++++=yards
ahead ^rb+cnj+++=ahead,
, ^zz++++=EXTRAWORD
light ^jj++++=light
and ^cc+phrs+++=and
swift ^jj++++=swift
in ^in++++=in
her ^pp$+pp3+++=her
yellow ^jj+atrb+++=yellow
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
shouted ^vbd+vpub++xvbn+=shouted
from ^in++++=from
the ^ati++++=the
hill ^nn++++=hill.
. ^zz++++=EXTRAWORD
" ^zz++++="Elias,
elias ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
come ^vb++++=come
back ^jjb++++=back!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
and ^cc++++=and
cupped ^jj++++=cupped
his ^pp$+pp3+++=his
hands ^nns++++=hands
around ^in++++=around
his ^pp$+pp3+++=his
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
ridge ^nn++++=ridge!
! ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
wait ^vb++++=wait
for ^in++++=for
me ^pp1o+pp1+++=me!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
began ^vbd+++xvbn+=began
