**what ^nn+++??+=**What
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
love ^nn++++=love.
. ^zz++++=EXTRAWORD
A ^at++++=A
week ^nn++++=week
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
auntie ^npt++++=auntie
took ^vbd+++xvbn+=took
the ^ati++++=the
children ^nns++++=children
to ^to++++=to
visit ^vbi++++=visit
her ^pp3o+pp3+++=her
sister ^npt++++=sister
in ^in++++=in
New ^jj+atrb+++=New
Jersey ^np++++=Jersey.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
uncle ^npt++++=uncle
returned ^vbd+++xvbn+=returned
from ^in++++=from
work ^nn++++=work
early ^jj++++=early.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
were ^vbd+bed+vrb++=were
in ^in++++=in
the ^ati++++=the
basement ^nn+nom+++=basement
folding ^jj+atrb+++=folding
clothes ^nns++++=clothes
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
down ^rp++++=down.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sat ^vbd+++xvbnx+=sat
on ^in++++=on
the ^ati++++=the
mattress ^nns+nom+++=mattress
and ^cc++++=and
asked ^vbd+vsua++xvbn+=asked
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
happy ^jj+pred+++=happy.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+aux++=EXTRAWORD
we ^pp1a+pp1+++=we
treating ^vbg+++xvbg+=treating
you ^pp2+pp2+++=you
well ^rb++++=well?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
much ^rb++++=much
your ^pp$+pp2+++=your
ticket ^nn++++=ticket
cost ^nn++++=cost?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
shirt ^nn++++=shirt
in ^in++++=in
your ^pp$+pp2+++=your
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
a ^at++++=a
small ^jj+atrb+++=small
green ^nn++++=green
one ^pn++++=one
with ^in++++=with
a ^at++++=a
dinosaur ^nn+++??+=dinosaur
on ^in++++=on
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
spoke ^vbd+++xvbnx+=spoke
gently ^rb++++=gently.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
college ^npl++++=college
was ^vbd+bedz+vrb++=was
expensive ^jj+pred+++=expensive.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said
recommendation ^nn+nom+++=recommendation
letters ^nns+nom+++=letters
were ^vbd+bed+vrb++=were
important ^jj+pred+++=important.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
people ^nns++++=people.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
palm ^np++++=palm
moved ^vbd+++xvbn+=moved
over ^in++++=over
your ^pp$+pp2+++=your
knee ^nn++++=knee
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+aux++=were
smoothing ^vbg+++xvbgx+=smoothing
a ^at++++=a
wrinkle ^nn++++=wrinkle
from ^in++++=from
the ^ati++++=the
jeans ^nns++++=jeans.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
stood ^vbd+++xvbn+=stood
up ^rp++++=up.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
caught ^vbd+++xvbnx+=caught
your ^pp$+pp2+++=your
wrist ^nn++++=wrist.
. ^zz++++=EXTRAWORD
The ^ati++++=The
room ^nn++++=room
became ^vbd+++xvbn+=became
very ^ql+amp+++=very
clear ^vb++++=clear:
: ^zz++++=EXTRAWORD
the ^ati++++=the
gray ^np++++=gray
pipe ^nn++++=pipe
along ^in++++=along
the ^ati++++=the
ceiling ^nn+nom+++=ceiling,
, ^zz++++=EXTRAWORD
the ^ati++++=the
basket ^nn++++=basket
of ^in++++=of
clean ^jj+atrb+++=clean
socks ^nns++++=socks,
, ^zz++++=EXTRAWORD
the ^ati++++=the
brown ^jj+atrb+++=brown
ring ^nn++++=ring
on ^in++++=on
the ^ati++++=the
carpet ^nn++++=carpet
where ^wrb+who+++=where
something ^pn++++=something
had ^vbd+hvd+aux++=had
spilled ^vprf+++xvbnx+=spilled
long ^rb++++=long
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
you ^pp2+pp2+++=you
pulled ^vbd+++xvbn+=pulled
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
pushed ^vbd+++xvbnx+=pushed
you ^pp2+pp2+++=you
against ^in++++=against
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
breath ^nn++++=breath
smelled ^vbd+++xvbn+=smelled
of ^in++++=of
coffee ^nn++++=coffee.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
kicked ^vbd+++xvbn+=kicked
his ^pp$+pp3+++=his
shin ^nn++++=shin
and ^cc++++=and
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
you ^pp2+pp2+++=you
an ^at++++=an
ungrateful ^jj+atrb+++=ungrateful
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
think ^vb+vprv+tht0++=think
people ^nns++++=people
carry ^vb++++=carry
people ^nns++++=people
on ^in++++=on
their ^pp$+pp3+++=their
head ^nn++++=head
for ^in++++=for
nothing ^pn++++=nothing?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
ran ^vbd+++xvbn+=ran
upstairs ^jjb++++=upstairs
without ^in++++=without
your ^pp$+pp2+++=your
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cold ^nn++++=cold
entered ^vbd+++xvbn+=entered
your ^pp$+pp2+++=your
chest ^nn++++=chest
like ^in++++=like
a ^at++++=a
blade ^nn++++=blade.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
walked ^vbd+++xvbn+=walked
until ^cs+sub+++=until
the ^ati++++=the
house ^nn++++=house
could ^md+pos+++=could
no ^at++++=no
longer ^rbr++++=longer
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen
and ^cc++++=and
then ^rn+tm+++=then
stood ^vbd+++xvbn+=stood
beside ^in+pl+++=beside
a ^at++++=a
petrol ^nn++++=petrol
station ^nn+nom+++=station,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
here ^rn+pl+++=here
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
called ^vpsv++agls+xvbnx+=called
a ^at++++=a
gas ^nn++++=gas
station ^nn+nom+++=station,
, ^zz++++=EXTRAWORD
trembling ^jj+++xvbg+=trembling
so ^ql+emph+++=so
hard ^jj++++=hard
your ^pp$+pp2+++=your
teeth ^nn++++=teeth
struck ^vbd+++xvbn+=struck
one ^cd1++++=one
another ^dt++++=another.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
did ^vbd+dod+aux++=did
not ^xnot++not++=not
call ^vb++++=call
your ^pp$+pp2+++=your
auntie ^npt++++=auntie.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
knew ^vbd+vprv+tht0+xvbn+=knew
your ^pp$+pp2+++=your
uncle ^nn++++=uncle
would ^md+prd+++=would
say ^vb+vpub+tht0++=say
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
misunderstood ^vprf+++xvbn+=misunderstood.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
say ^vb+vpub+tht0++=say
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
village ^nn+nom+++=village-minded.
- ^zz++++=EXTRAWORD
minded ^jj+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
auntie ^npt++++=auntie
might ^md+pos+++=might
believe ^vb+vprv+tht0++=believe
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
belief ^nn++++=belief
would ^md+prd+++=would
not ^xnot++not++=not
make ^vb++++=make
a ^at++++=a
bed ^nn++++=bed
appear ^vb+seem+++=appear
for ^in++++=for
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Belief ^nn++++=Belief
would ^md+prd+++=would
not ^xnot++not++=not
pay ^vb++++=pay
tuition ^nn+nom+++=tuition.
. ^zz++++=EXTRAWORD
America ^np++++=America
was ^vbd+bedz+aux++=was
give ^vb++++=give-and-take.
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
take ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
bus ^nn++++=bus
driver ^nn++++=driver
let ^vbd+++xvbn+=let
you ^pp2+pp2+++=you
ride ^vb++++=ride
to ^in++++=to
Portland ^np++++=Portland
even ^cs+sub+++=even
though ^cs+sub+++=though
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
short ^jj+pred+++=short
by ^in++++=by
seventy ^cd++++=seventy-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
cents ^nns++++=cents.
. ^zz++++=EXTRAWORD
From ^in++++=From
there ^rn+pl+++=there
you ^pp2+pp2+++=you
took ^vbd+++xvbn+=took
another ^dt++++=another
bus ^nn++++=bus
south ^np+pl+++=south.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
chose ^vbd+++xvbn+=chose
Connecticut ^np+++??+=Connecticut
because ^cs+cos+++=because
the ^ati++++=the
ticket ^nn++++=ticket
was ^vbd+bedz+vrb++=was
affordable ^jj+pred+++=affordable
and ^cc+cls+++=and
because ^cs+cos+++=because
the ^ati++++=the
name ^nn++++=name
looked ^vbd+++xvbn+=looked
harmless ^jj++++=harmless
on ^in++++=on
the ^ati++++=the
map ^nn++++=map.
. ^zz++++=EXTRAWORD
The ^ati++++=The
town ^nn++++=town
where ^wrb+who+++=where
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
off ^rb+phrv+++=off
had ^vb+hv+vrb++=had
one ^cd1++++=one
main ^jjb+atrb+++=main
street ^nn++++=street,
, ^zz++++=EXTRAWORD
a ^at++++=a
laundromat ^nn+++??+=laundromat,
, ^zz++++=EXTRAWORD
two ^cd++++=two
churches ^nns++++=churches,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
restaurant ^nn+nom+++=restaurant
with ^in++++=with
a ^at++++=a
wooden ^jj+atrb+++=wooden
lobster ^nn+nom+++=lobster
hanging ^vwbg+++xvbg+=hanging
above ^jjb++++=above
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
The ^ati++++=The
restaurant ^nn+nom+++=restaurant
owner ^nn++++=owner,
, ^zz++++=EXTRAWORD
a ^at++++=a
broad ^jj+atrb+++=broad
woman ^nn++++=woman
called ^vbd+++xvbn+=called
Maureen ^np++++=Maureen,
, ^zz++++=EXTRAWORD
hired ^j+++xvbn+=hired
you ^pp2+pp2+++=you
after ^in++++=after
looking ^xvbg+++xvbg+=looking
at ^rb++++=at
your ^pp$+pp2+++=your
visa ^nn++++=visa
and ^cc++++=and
then ^rn+tm+++=then
at ^in++++=at
your ^pp$+pp2+++=your
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
understand ^vb+vprv+tht0++=understand
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
cash ^nn++++=cash,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
paperwork ^nn+++??+=paperwork."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
understood ^vbd+vprv++xvbn+=understood.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
did ^vbd+dod+aux++=did
not ^xnot++not++=not
tell ^vb++++=tell
her ^pp$+pp3+++=her
that ^cs+sub+++=that
the ^ati++++=the
visa ^nn++++=visa
allowed ^vwbn+++xvbn+=allowed
you ^pp2+pp2+++=you
to ^to++++=to
stay ^vbi++++=stay
but ^cs+sub+++=but
that ^cs"++++=that
the ^ati++++=the
work ^nn++++=work
forms ^nns++++=forms
had ^vb+hv+aux++=had
not ^xnot++not++=not
arrived ^vbd+++xvbn+=arrived,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
address ^nns+nom+++=address
on ^in++++=on
every ^at++++=every
application ^nn+nom+++=application
was ^vbd+bedz+vrb++=was
the ^ati++++=the
house ^nn++++=house
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
fled ^vprf+++xvbnx+=fled,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
no ^at++++=no
longer ^rbr++++=longer
knew ^vbd+vprv++xvbn+=knew
what ^wdt+who+whcl++=what
letters ^nns+nom+++=letters
might ^md+pos+++=might
be ^vb+be+aux++=be
waiting ^vbg+++xvbgx+=waiting
in ^in++++=in
Maine ^np++++=Maine.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
paid ^vbd+++xvbnx+=paid
you ^pp2+pp2+++=you
less ^rbr++++=less
than ^in++++=than
the ^ati++++=the
other ^ap++++=other
waitresses ^nns+nom+++=waitresses.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
knew ^vbd+vprv++xvbn+=knew
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
complained ^vbd+vpub++xvbnx+=complained
about ^in++++=about
their ^pp$+pp3+++=their
wages ^nns++++=wages
within ^in++++=within
your ^pp$+pp2+++=your
hearing ^nvbg+++xvbg+=hearing.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
said ^vbd+vpub+tht0+xvbn+=said
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
gave ^vbd+++xvbnx+=gave
you ^pp2+pp2+++=you
evening ^nn++++=evening
shifts ^vbz++++=shifts
and ^cc+phrs+++=and
let ^vb+++xvbn+=let
you ^pp2+pp2+++=you
take ^vb++++=take
home ^nr++++=home
bread ^nn++++=bread
that ^tht+rel+subj++=that
would ^md+prd+++=would
otherwise ^rb+cnj+++=otherwise
be ^vb+be+aux++=be
thrown ^vpsv++agls+xvbnx+=thrown
away ^rb+phrv+++=away.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
rented ^vbd+++xvbn+=rented
a ^at++++=a
room ^nn++++=room
above ^in+pl+++=above
a ^at++++=a
shop ^nn++++=shop
selling ^xvbg+++xvbg+=selling
used ^vwbn+++xvbn+=used
furniture ^nn++++=furniture.
. ^zz++++=EXTRAWORD
The ^ati++++=The
room ^nn++++=room
had ^vb+hv+vrb++=had
a ^at++++=a
sink ^nn++++=sink,
, ^zz++++=EXTRAWORD
a ^at++++=a
hot ^jj+atrb+++=hot
plate ^nn++++=plate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
radiator ^nn++++=radiator
that ^tht+rel+subj++=that
clicked ^vbd+++xvbn+=clicked
all ^rb++++=all
night ^nn++++=night.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bathroom ^nn++++=bathroom
was ^vbd+bedz+vrb++=was
down ^rp++++=down
the ^ati++++=the
hall ^nn++++=hall.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
window ^nn++++=window
would ^md+prd+++=would
not ^xnot++not++=not
close ^rb+cnj+++=close,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
winter ^nn++++=winter
you ^pp2+pp2+++=you
could ^md+pos+++=could
see ^vb+vprv+++=see
your ^pp$+pp2+++=your
breath ^nn++++=breath
while ^cs+sub+++=while
sitting ^vbg+++xvbg+=sitting
on ^in++++=on
the ^ati++++=the
toilet ^nn++++=toilet.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
month ^nn++++=month,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
put ^vbd+++xvbn+=put
most ^ql+emph+++=most
of ^in++++=of
your ^pp$+pp2+++=your
money ^nn++++=money
in ^in++++=in
an ^at++++=an
envelope ^nn++++=envelope
and ^cc++++=and
sent ^vbd+++xvbn+=sent
it ^pp3+it+++=it
to ^in++++=to
your ^pp$+pp2+++=your
parents ^nns++++=parents.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
wrote ^vbd+vprv++xvbn+=wrote
their ^pp$+pp3+++=their
address ^nns+nom+++=address
carefully ^rb++++=carefully.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
did ^vbd+dod+aux++=did
not ^xnot++not++=not
include ^vb++++=include
your ^pp$+pp2+++=your
own ^ap++++=own.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
write ^vbi++++=write
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
registered ^vprf+++xvbnx+=registered
for ^in++++=for
college ^nn++++=college.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
write ^vbi++++=write
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
lived ^vbd+++xvbn+=lived
in ^in++++=in
a ^at++++=a
house ^nn++++=house
with ^in++++=with
a ^at++++=a
lawn ^nn++++=lawn.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
write ^vbi++++=write
that ^tht+vcmp+++=that
Americans ^nns+nom+++=Americans
all ^abn++++=all
owned ^jj+atrb++xvbn+=owned
cars ^nns++++=cars,
, ^zz++++=EXTRAWORD
as ^ql++++=as
your ^pp$+pp2+++=your
cousins ^nns++++=cousins
believed ^vbd+vprv++xvbn+=believed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
when ^wrb+who+++=when
you ^pp2+pp2+++=you
crossed ^vbd+++xvbn+=crossed
the ^ati++++=the
street ^nn++++=street
people ^nns++++=people
rolled ^vbd+++xvbn+=rolled
down ^rp++++=down
their ^pp$+pp3+++=their
windows ^nns++++=windows
to ^to++++=to
offer ^vbi++++=offer
you ^pp2+pp2+++=you
rides ^vbz++++=rides.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
to ^to++++=to
write ^vbi++++=write.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
restaurant ^nn+nom+++=restaurant,
, ^zz++++=EXTRAWORD
customers ^nns+nom+++=customers
asked ^vbd+vsua++xvbn+=asked
where ^wrb+who+whcl++=where
you ^pp2+pp2+++=you
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said
Nigeria ^np++++=Nigeria,
, ^zz++++=EXTRAWORD
some ^dti++++=some
asked ^jj+++xvbn+=asked
if ^cs+cnd+++=if
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
near ^in+pl+++=near
Jamaica ^np++++=Jamaica.
. ^zz++++=EXTRAWORD
Others ^aps++++=Others
said ^vbd+vpub+tht0+xvbn+=said
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
sponsored ^vprf+++xvbnx+=sponsored
a ^at++++=a
child ^nn++++=child
in ^in++++=in
Africa ^np++++=Africa.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
wearing ^vwbg+++xvbg+=wearing
a ^at++++=a
cap ^nn++++=cap
embroidered ^vbd+++xvbn+=embroidered
with ^in++++=with
an ^at++++=an
American ^jj+atrb+++=American
flag ^nn++++=flag
asked ^vbd+vsua++xvbn+=asked
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
in ^in++++=in
a ^at++++=a
hut ^nn++++=hut.
. ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
leaned ^vbd+++xvbnx+=leaned
toward ^in++++=toward
his ^pp$+pp3+++=his
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
learn ^vb+vprv+++=learn
English ^jj++++=English
so ^ql++++=so
well ^rb++++=well."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
carried ^vbd+++xvbn+=carried
away ^rp+pl+++=away
his ^pp$+pp3+++=his
plate ^nn++++=plate.
. ^zz++++=EXTRAWORD
Half ^abn++++=Half
a ^at++++=a
steak ^nn++++=steak
remained ^vbd+++xvbn+=remained
on ^in++++=on
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
pink ^jj++++=pink
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
a ^at++++=a
mound ^nn+++??+=mound
of ^in++++=of
mashed ^jj+atrb++xvbn+=mashed
potatoes ^nns++++=potatoes
untouched ^jj++++=untouched.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
thought ^vbd+++xvbn+=thought
of ^in++++=of
your ^pp$+pp2+++=your
mother ^nn++++=mother
scraping ^nn++++=scraping
burned ^vbd+++xvbn+=burned
rice ^np++++=rice
from ^in++++=from
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
a ^at++++=a
pot ^vb++++=pot
because ^cs+cos+++=because
wasting ^vbg+++xvbg+=wasting
food ^nn++++=food
brought ^vbd+++xvbn+=brought
bad ^jj+atrb+++=bad
luck ^nn++++=luck.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
emptied ^vbd+++xvbn+=emptied
everything ^pn++++=everything
into ^in++++=into
a ^at++++=a
black ^jj++++=black
bin ^&fw++++=bin
while ^cs+sub+++=while
the ^ati++++=the
cook ^nn++++=cook
sprayed ^vbd+++xvbn+=sprayed
soap ^nn++++=soap
over ^in++++=over
dishes ^nns++++=dishes.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
Maureen ^np++++=Maureen
caught ^vbd+++xvbn+=caught
you ^pp2+pp2+++=you
wrapping ^jj+atrb++xvbg+=wrapping
leftover ^jjr+atrb+++=leftover
meat ^nn++++=meat
in ^in++++=in
foil ^nn++++=foil.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can
take ^vb++++=take
the ^ati++++=the
bread ^nn++++=bread,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
the ^ati++++=the
entr ^nn+++??+=entr
es ^&fw++++=es."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
word ^nn++++=word
came ^vbd+++xvbn+=came
out ^rp+pl+++=out
grandly ^rb+cnj+++=grandly,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
food ^nn++++=food
was ^vbd+bedz+vrb++=was
fried ^jj+atrb+++=fried
fish ^nn++++=fish,
, ^zz++++=EXTRAWORD
boiled ^jj+atrb++xvbn+=boiled
carrots ^nns+++??+=carrots,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
meatloaf ^jj+++??+=meatloaf
glazed ^jj+++xvbn+=glazed
with ^in++++=with
ketchup ^nn+++??+=ketchup.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
stopped ^vbd+++xvbn+=stopped
taking ^vbg+++xvbg+=taking
the ^ati++++=the
meat ^nn++++=meat.
. ^zz++++=EXTRAWORD
At ^in++++=At
night ^nn++++=night,
, ^zz++++=EXTRAWORD
something ^pn++++=something
gathered ^vbd+++xvbn+=gathered
at ^rb++++=at
the ^ati++++=the
base ^nn++++=base
of ^in++++=of
your ^pp$+pp2+++=your
throat ^nn++++=throat.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+vrb++=had
no ^at++++=no
shape ^nn++++=shape
you ^pp2+pp2+++=you
could ^md+pos+++=could
describe ^vb++++=describe.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
felt ^vbd+vprv++xvbn+=felt
like ^in++++=like
a ^at++++=a
cord ^nn++++=cord
drawn ^vwbn+++xvbn+=drawn
tight ^jj++++=tight
by ^in++++=by
patient ^nn++++=patient
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
tightening ^vbg+++xvbg+=tightening
one ^cd1++++=one
small ^jj++++=small
measure ^vb++++=measure
each ^dt++++=each
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
would ^md+prd+++=would
lie ^vb++++=lie
on ^in++++=on
the ^ati++++=the
mattress ^nns+nom+++=mattress
listening ^vwbg+++xvbg+=listening
to ^in++++=to
the ^ati++++=the
radiator ^nn++++=radiator,
, ^zz++++=EXTRAWORD
swallowing ^nn++++=swallowing
to ^to++++=to
prove ^vbi+vprv+++=prove
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
still ^rb++++=still
could ^md+pos+++=could.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
did ^vbd+dod+aux++=did
not ^xnot++not++=not
call ^vb++++=call
home ^nr++++=home.
. ^zz++++=EXTRAWORD
International ^jj+atrb+++=International
calls ^nns++++=calls
cost ^nn++++=cost
money ^nn++++=money,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
reason ^nn++++=reason.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
your ^pp$+pp2+++=your
mother ^npt++++=mother
heard ^vbd+vprv++xvbn+=heard
your ^pp$+pp2+++=your
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
know ^vb+vprv+++=know.
