Dear ^jj+atrb+++=Dear
efficiently ^rb++++=efficiently
coincidence ^nn+nom+++=coincidence
can ^md+pos+++=can
govern ^vb++++=govern
a ^at++++=a
nation ^nn++++=nation.
. ^zz++++=EXTRAWORD
Last ^rb++++=Last
winter ^nn++++=winter
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
stopped ^vpsv++agls+xvbnx+=stopped
outside ^jjb++++=outside
the ^ati++++=the
pharmacy ^nn+nom+++=pharmacy
because ^cs+cos+++=because
one ^pn++++=one
of ^in++++=of
my ^pp$+pp1+++=my
rear ^jjb+atrb+++=rear
lights ^nns++++=lights
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
The ^ati++++=The
officer ^nn++++=officer
could ^md+pos+++=could
not ^xnot++not++=not
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
older ^jjr++++=older
than ^in++++=than
nineteen ^cd++++=nineteen.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face
had ^vb+hv+vrb++=had
the ^ati++++=the
soft ^jj+atrb+++=soft
unfinished ^jj+atrb+++=unfinished
look ^nn++++=look
you ^pp2+pp2+++=you
had ^vb+hv+vrb++=had
when ^wrb+who+++=when
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
ten ^cd++++=ten,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
below ^rb++++=below
that ^dt+dem+++=that
face ^nn++++=face
was ^vbd+bedz+vrb++=was
an ^at++++=an
adult ^nn++++=adult's
's ^vbz+bez+vrb++0=EXTRAWORD
heavy ^jj+atrb+++=heavy
body ^nn++++=body
and ^cc++++=and
so ^ql++++=so
much ^ap++++=much
equipment ^nn+nom+++=equipment
that ^tht+rel+++=that
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
leaned ^vbd+++xvbnx+=leaned
toward ^in++++=toward
my ^pp$+pp1+++=my
window ^nn++++=window
he ^pp3a+pp3+++=he
clanked ^vbd+++xvbnx+=clanked.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
his ^pp$+pp3+++=his
bare ^jj+atrb+++=bare
forearm ^nn++++=forearm.
. ^zz++++=EXTRAWORD
Pale ^nn++++=Pale
hairs ^nns++++=hairs,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
red ^jj+atrb+++=red
pimple ^nn++++=pimple
near ^in+pl+++=near
the ^ati++++=the
wrist ^nn++++=wrist,
, ^zz++++=EXTRAWORD
a ^at++++=a
black ^jj+atrb+++=black
strap ^nn++++=strap
cutting ^vwbg+++xvbg+=cutting
into ^in++++=into
the ^ati++++=the
skin ^nn++++=skin.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
asked ^vbd+vsua++xvbnx+=asked
why ^wrb+who+whcl++=why
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
a ^at++++=a
restricted ^jj+atrb++xvbn+=restricted
retail ^nn++++=retail
zone ^nn++++=zone
after ^in++++=after
six ^cd++++=six.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub+tht0+xvbnx+=said
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
collecting ^vbg+++xvbgx+=collecting
your ^pp$+pp2+++=your
grandmother ^nn+nom+++=grandmother's
's ^$++++=EXTRAWORD
antibiotics ^nns++++=antibiotics.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
moments ^nns+nom+++=moments
when ^wrb+who+++=when
the ^ati++++=the
body ^nn++++=body
recognizes ^vbz+vprv+++=recognizes
a ^at++++=a
country ^nn++++=country
before ^cs+sub+++=before
the ^ati++++=the
mind ^nn++++=mind
does ^vbz+doz+vrb++=does.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mouth ^nn++++=mouth
went ^vbd+++xvbn+=went
dry ^jj++++=dry.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
unreliable ^jj+pred+++=unreliable
when ^wrb+who+++=when
holding ^vbg+vprv++xvbg+=holding
a ^at++++=a
spoon ^nn++++=spoon,
, ^zz++++=EXTRAWORD
became ^j+++xvbn+=became
perfectly ^rb+amp+++=perfectly
still ^rb++++=still
on ^in++++=on
the ^ati++++=the
steering ^xvbg+++xvbg+=steering
wheel ^vb++++=wheel.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
apologized ^vbd+++xvbnx+=apologized.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thanked ^vbd+++xvbnx+=thanked
him ^pp3o+pp3+++=him
for ^in++++=for
his ^pp$+pp3+++=his
service ^nn++++=service.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
showed ^vbd+vprv++xvbnx+=showed
him ^pp3o+pp3+++=him
the ^ati++++=the
bottle ^nn++++=bottle.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
made ^vbd+++xvbnx+=made
me ^pp1o+pp1+++=me
wait ^vb++++=wait
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
to ^in++++=to
someone ^pn++++=someone
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
hear ^vb+vprv+++=hear,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
a ^at++++=a
warning ^nn++++=warning
for ^in++++=for
defective ^jj+atrb+++=defective
equipment ^nn+nom+++=equipment
and ^cc++++=and
another ^dt++++=another
for ^in++++=for
" ^zz++++="evasive
evasive ^jj+atrb+++=EXTRAWORD
demeanor ^nn++++=demeanor."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
home ^nr++++=home,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
grandmother ^nn+nom+++=grandmother
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
ill ^jj++++=ill.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
her ^pp$+pp3+++=her
the ^ati++++=the
pharmacy ^nn+nom+++=pharmacy
line ^nn++++=line
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
long ^rb++++=long.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
courage ^nn+nom+++=courage
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
offering ^vbg+++xvbgx+=offering
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
asked ^vbd+vsua++xvbn+=asked
how ^wrb+who+whcl++=how
it ^pp3+it+++=it
happened ^vbd+++xvbn+=happened,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
perhaps ^rb++++=perhaps
you ^pp2+pp2+++=you
meant ^vbd+vprv++xvbn+=meant
that ^tht+vcmp+++=that
as ^ql++++=as
an ^at++++=an
accusation ^nn+nom+++=accusation.
. ^zz++++=EXTRAWORD
Fair ^jj++++=Fair
enough ^qlp++++=enough.
. ^zz++++=EXTRAWORD
Young ^jj+atrb+++=Young
people ^nns++++=people
are ^vb+ber+aux++=are
entitled ^vpsv++agls+xvbnx+=entitled
to ^to++++=to
accuse ^vbi++++=accuse
the ^ati++++=the
old ^jj++++=old;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
few ^ap++++=few
traditions ^nns+nom+++=traditions
not ^xnot++not++=not
yet ^rb++++=yet
requiring ^vbg+vsua++xvbg+=requiring
a ^at++++=a
permit ^nn++++=permit.
. ^zz++++=EXTRAWORD
The ^ati++++=The
textbook ^nn++++=textbook
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
permit ^vb++++=permit
textbooks ^nns++++=textbooks
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
have ^vb+hv+vrb++=have
dates ^nns++++=dates
and ^cc++++=and
arrows ^nns++++=arrows.
. ^zz++++=EXTRAWORD
First ^rb++++=First
this ^dt+dem+++=this
emergency ^nn++++=emergency,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
that ^dt+dem+++=that
election ^nn+nom+++=election,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
ruling ^jj++++=ruling
that ^dt+dem+++=that
allowed ^jj+++xvbn+=allowed
the ^ati++++=the
next ^ap++++=next
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
will ^md+prd+++=will
be ^vb+be+vrb++=be
a ^at++++=a
shaded ^jj+atrb++xvbn+=shaded
box ^nn++++=box
titled ^vbd+++xvbn+=titled
The ^ati++++=THE
Collapse ^nn++++=COLLAPSE
Of ^in++++=OF
Institutional ^jj+atrb+++=INSTITUTIONAL
Norms ^nns++++=NORMS.
. ^zz++++=EXTRAWORD
Students ^nns++++=Students
will ^md+prd+++=will
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
diagram ^nn++++=diagram
and ^cc++++=and
wonder ^nn++++=wonder
why ^wrb+who+++=why
everyone ^pn++++=everyone
did ^vbd+dod+aux++=did
not ^xnot++not++=not
stand ^vb++++=stand
up ^rp++++=up
at ^in++++=at
the ^ati++++=the
red ^jj+atrb+++=red
arrow ^nn++++=arrow.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
lived ^vbd+++xvbn+=lived
history ^nn++++=history
does ^vbz+doz+aux++=does
not ^xnot++not++=not
have ^vb+hv+vrb++=have
red ^jj+atrb+++=red
arrows ^nns++++=arrows.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+vrb++=has
a ^at++++=a
dentist ^nn+nom+++=dentist
appointment ^nn+nom+++=appointment
at ^in++++=at
eleven ^cd++++=eleven
and ^cc++++=and
a ^at++++=a
leak ^nn++++=leak
under ^in++++=under
the ^ati++++=the
sink ^nn++++=sink.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
an ^at++++=an
election ^nn+nom+++=election
whose ^whp+rel+obj++=whose
totals ^nns++++=totals
did ^vbd+dod+aux++=did
not ^xnot++not++=not
make ^vb++++=make
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
totals ^nns++++=totals
before ^cs+sub+++=before
that ^dt+pdem+++=that
did ^vbd+dod+aux++=did
not ^xnot++not++=not
make ^vb++++=make
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
depending ^vbg+++xvbg+=depending
on ^in++++=on
which ^whp+rel+pied++=which
channel ^nn++++=channel
you ^pp2+pp2+++=you
watched ^vbd+++xvbn+=watched.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
lawsuits ^nns++++=lawsuits.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
experts ^nns++++=experts.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
expert ^nn++++=expert
said ^vbd+vpub+tht0+xvbn+=said
the ^ati++++=the
process ^nns+nom+++=process
was ^vbd+bedz+vrb++=was
sound ^jj+pred+++=sound;
; ^zz++++=EXTRAWORD
another ^dt++++=another
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
compromised ^vpsv++agls+xvbnx+=compromised
beyond ^in++++=beyond
repair ^nn++++=repair;
; ^zz++++=EXTRAWORD
a ^at++++=a
third ^nn++++=third
shouted ^vbd+vpub++xvbn+=shouted
until ^cs+sub+++=until
the ^ati++++=the
host ^nn++++=host
thanked ^vbd+++xvbn+=thanked
all ^abn++++=all
three ^cd++++=three
for ^in++++=for
a ^at++++=a
valuable ^jj+atrb+++=valuable
discussion ^nn++++=discussion.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
went ^vbd+++xvbn+=went
to ^in++++=to
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
came ^vbd+++xvbn+=came
the ^ati++++=the
pardons ^nns+++??+=pardons.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
the ^ati++++=the
pardoned ^jj+atrb++xvbn+=pardoned
men ^nns++++=men
were ^vbd+bed+vrb++=were
crooks ^nns++++=crooks
in ^in++++=in
the ^ati++++=the
plain ^jj+atrb+++=plain
old ^jj+atrb+++=old
sense ^nn++++=sense
envelopes ^nns++++=envelopes,
, ^zz++++=EXTRAWORD
contracts ^nns++++=contracts,
, ^zz++++=EXTRAWORD
girlfriends ^nns+++??+=girlfriends
on ^in++++=on
payroll ^nn++++=payroll
and ^cc++++=and
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
thinking ^nvbg+++xvbg+=thinking
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
vulgar ^jj+pred+++=vulgar
but ^cc+phrs+++=but
temporary ^jj++++=temporary,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
drunk ^vprf+++xvbn+=drunk
guest ^nn++++=guest
taking ^vwbg+++xvbg+=taking
a ^at++++=a
dump ^nn++++=dump
on ^in++++=on
your ^pp$+pp2+++=your
rug ^nn++++=rug.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
would ^md+prd+++=would
throw ^vb++++=throw
out ^rb+phrv+++=out
the ^ati++++=the
rug ^nn++++=rug,
, ^zz++++=EXTRAWORD
open ^jj++++=open
the ^ati++++=the
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
never ^rb++++=never
invite ^vb++++=invite
the ^ati++++=the
fellow ^jjb++++=fellow
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Except ^in++++=Except
the ^ati++++=the
fellow ^nn++++=fellow
bought ^vbd+++xvbn+=bought
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
declared ^vbd+vpub++xvbnx+=declared
the ^ati++++=the
rug ^nn++++=rug
a ^at++++=a
national ^jj+atrb+++=national
symbol ^nn++++=symbol
and ^cc++++=and
made ^vwbn+++xvbn+=made
everyone ^pn++++=everyone
salute ^vb++++=salute
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Forgive ^vb++++=Forgive
the ^ati++++=the
image ^nn++++=image.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
grandmother ^nn+nom+++=grandmother
says ^vbz+vpub+tht0++=says
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
disgusting ^vbg+++xvbgx+=disgusting.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
also ^rb++++=also
accurate ^jj+pred+++=accurate.
. ^zz++++=EXTRAWORD
Judges ^nns++++=Judges
were ^vbd+bed+aux++=were
called ^vpsv++agls+xvbnx+=called
enemies ^nns++++=enemies.
. ^zz++++=EXTRAWORD
Reporters ^nns+nom+++=Reporters
published ^vbd+++xvbn+=published
their ^pp$+pp3+++=their
home ^nr++++=home
addresses ^nns+nom+++=addresses.
. ^zz++++=EXTRAWORD
Election ^nn+nom+++=Election
workers ^nns+nom+++=workers
found ^vbd+vprv++xvbn+=found
photographs ^nns++++=photographs
of ^in++++=of
their ^pp$+pp3+++=their
children ^nns++++=children
pasted ^vbd+++xvbn+=pasted
beneath ^in+pl+++=beneath
messages ^nns+nom+++=messages
about ^in++++=about
treason ^nn++++=treason.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ministries ^nns++++=ministries
agencies ^nns++++=agencies,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
still ^rb++++=still
called ^vwbn+++xvbn+=called
them ^pp3o+pp3+++=them
then ^rn+tm+++=then
issued ^jj+atrb++xvbn+=issued
statements ^nns+nom+++=statements
saying ^vwbg+++xvbg+=saying
intimidation ^nn+nom+++=intimidation
had ^vb+hv+vrb++=had
no ^at++++=no
place ^nn++++=place
in ^in++++=in
public ^jj+atrb+++=public
life ^nn++++=life,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
people ^nns++++=people
doing ^vwbg+++xvbg+=doing
the ^ati++++=the
intimidating ^nvbg+++xvbg+=intimidating
were ^vbd+bed+aux++=were
invited ^vpsv++agls+xvbnx+=invited
to ^in++++=to
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
A ^at++++=A
prosecutor ^nn++++=prosecutor
was ^vbd+bedz+aux++=was
dismissed ^vpsv++agls+xvbnx+=dismissed
on ^in++++=on
a ^at++++=a
Tuesday ^nr++++=Tuesday
and ^cc++++=and
charged ^vpsv++agls+xvbn+=charged
on ^in++++=on
Friday ^nr++++=Friday.
. ^zz++++=EXTRAWORD
Someone ^pn++++=Someone
drove ^vbd+++xvbn+=drove
a ^at++++=a
truck ^nn++++=truck
through ^in++++=through
the ^ati++++=the
windows ^nns++++=windows
of ^in++++=of
an ^at++++=an
opposition ^nn+nom+++=opposition
office ^nn++++=office.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
important ^jj++++=important
approved ^jj+++xvbn+=approved
of ^in++++=of
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
naturally ^rb+cnj+++=naturally,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
many ^ap++++=many
important ^jj+atrb+++=important
people ^nns++++=people
found ^vbd+vprv++xvbn+=found
it ^pp3+it+++=it
understandable ^jj++++=understandable.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
we ^pp1a+pp1+++=we
continued ^vbd+++xvbn+=continued.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vb+hv+vrb++=had
your ^pp$+pp2+++=your
parents ^nns++++=parents
over ^in++++=over
for ^in++++=for
salmon ^nn++++=salmon.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
grandmother ^nn+nom+++=grandmother
knitted ^vbd+++xvbn+=knitted
that ^cs+sub+++=that
gray ^np++++=gray
scarf ^nn++++=scarf
you ^pp2+pp2+++=you
hate ^vb++++=hate.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
replaced ^vbd+++xvbnx+=replaced
the ^ati++++=the
boards ^nns++++=boards
on ^in++++=on
the ^ati++++=the
back ^jjb+atrb+++=back
steps ^nns++++=steps,
, ^zz++++=EXTRAWORD
badly ^rb++++=badly
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
and ^cc++++=and
less ^rbr++++=less
badly ^rb++++=badly
the ^ati++++=the
second ^od++++=second.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
finished ^vbd+++xvbn+=finished
a ^at++++=a
thousand ^cd++++=thousand-piece
- ^zz++++=EXTRAWORD
piece ^nn++++=EXTRAWORD
puzzle ^nn++++=puzzle
of ^in++++=of
Venice ^np++++=Venice,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
neither ^dt++neg++=neither
of ^in++++=of
us ^pp1o+pp1+++=us
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
to ^in++++=to
Venice ^np++++=Venice
and ^cc++++=and,
, ^zz++++=EXTRAWORD
barring ^vbg+++xvbg+=barring
a ^at++++=a
dramatic ^jj+atrb+++=dramatic
improvement ^nn+nom+++=improvement
in ^in++++=in
my ^pp$+pp1+++=my
left ^jj+atrb++xvbn+=left
knee ^nn++++=knee
and ^cc++++=and
the ^ati++++=the
Department ^nn+nom+++=Department
of ^in++++=of
Foreign ^jj+atrb+++=Foreign
Travel ^np++++=Travel's
's ^$++++=EXTRAWORD
opinion ^nn++++=opinion
of ^in++++=of
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
of ^in++++=of
us ^pp1o+pp1+++=us
will ^md+prd+++=will
go ^vb++++=go.
. ^zz++++=EXTRAWORD
The ^ati++++=The
puzzle ^nn++++=puzzle
had ^vb+hv+vrb++=had
six ^cd++++=six
hundred ^cd++++=hundred
pieces ^nns++++=pieces
of ^in++++=of
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
all ^abn++++=all
nearly ^rb+down+++=nearly
the ^ati++++=the
same ^ap++++=same
blue ^nn++++=blue.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
complained ^vbd+vpub++xvbn+=complained
about ^rb++++=about
them ^pp3o+pp3+++=them
for ^in++++=for
two ^cd++++=two
weeks ^nns++++=weeks.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside,
, ^zz++++=EXTRAWORD
the ^ati++++=the
president ^npt++++=president
ordered ^vbd+vsua++xvbn+=ordered
the ^ati++++=the
arrest ^nn++++=arrest
of ^in++++=of
three ^cd++++=three
inspectors ^npts++++=inspectors
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
investigated ^vprf+++xvbnx+=investigated
his ^pp$+pp3+++=his
friends ^nns++++=friends.
. ^zz++++=EXTRAWORD
Inside ^jjb++++=Inside,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
a ^at++++=a
cloud ^nn++++=cloud.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
not ^xnot++not++=not
mean ^vb++++=mean
that ^tht+vcmp+++=that
ordinary ^jj+atrb+++=ordinary
life ^nn++++=life
was ^vbd+bedz+vrb++=was
worthless ^jj+pred+++=worthless.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
an ^at++++=an
easy ^jj+atrb+++=easy
thing ^nn++++=thing
for ^in++++=for
fiery ^jj+atrb+++=fiery
young ^jj+atrb+++=young
men ^nns++++=men
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
usually ^rb+down+++=usually
while ^cs+sub+++=while
some ^dti++++=some
woman ^nn++++=woman
washes ^vbz++++=washes
their ^pp$+pp3+++=their
socks ^nns++++=socks.
. ^zz++++=EXTRAWORD
The ^ati++++=The
salmon ^nn++++=salmon
mattered ^vbd+++xvbn+=mattered.
. ^zz++++=EXTRAWORD
The ^ati++++=The
scarf ^nn++++=scarf
mattered ^vbd+++xvbn+=mattered.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
laugh ^nn++++=laugh
mattered ^vbd+++xvbn+=mattered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
you ^pp2+pp2+++=you
called ^vbd+++xvbn+=called
from ^in++++=from
college ^nn++++=college
pretending ^vwbg+++xvbg+=pretending
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=did
not ^xnot++not++=not
need ^vb++++=need
money ^nn++++=money
when ^wrb+who+++=when
you ^pp2+pp2+++=you
plainly ^rb++++=plainly
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
Birds ^nns++++=Birds
still ^rb++++=still
flew ^vbd+++xvbn+=flew.
. ^zz++++=EXTRAWORD
People ^nns++++=People
still ^rb++++=still
fell ^vbd+++xvbn+=fell
in ^in++++=in
love ^nn++++=love,
, ^zz++++=EXTRAWORD
paid ^jj+atrb++xvbn+=paid
bills ^nns++++=bills,
, ^zz++++=EXTRAWORD
got ^jj+atrb++xvbn+=got
cavities ^nns+nom+++=cavities,
, ^zz++++=EXTRAWORD
brought ^jj+atrb++xvbn+=brought
casseroles ^nns+++??+=casseroles
after ^in++++=after
funerals ^nns+nom+++=funerals.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
things ^nns++++=things
are ^vb+ber+vrb++=are
not ^xnot++not++=not
distractions ^nns+nom+++=distractions
from ^in++++=from
life ^nn++++=life.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
life ^nn++++=life.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
they ^pp3a+pp3+++=they
can ^md+pos+++=can
also ^rb++++=also
be ^vb+be+aux++=be
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
sandbags ^vbz+++??+=sandbags
against ^in++++=against
reality ^nn+nom+++=reality.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
myself ^ppl+pp1+++=myself
the ^ati++++=the
next ^ap++++=next
election ^nn+nom+++=election
would ^md+prd+++=would
correct ^jj+atrb+++=correct
matters ^nns+nom+++=matters.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
that ^dt+dem+++=that
election ^nn+nom+++=election
was ^vbd+bedz+aux++=was
" ^zz++++="secured"
secured ^vbd+++xvbn+=EXTRAWORD
" ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
Emergency ^nn++++=Emergency
Verification ^np+nom++??+=Verification
Act ^nn++++=Act,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
myself ^ppl+pp1+++=myself
the ^ati++++=the
courts ^nns++++=courts
would ^md+prd+++=would
object ^vb++++=object.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
courts ^nns++++=courts
were ^vbd+bed+aux++=were
enlarged ^vpsv++agls+xvbnx+=enlarged,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
myself ^ppl+pp1+++=myself
the ^ati++++=the
states ^nns++++=states
would ^md+prd+++=would
resist ^vb++++=resist.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
governors ^npts++++=governors
were ^vbd+bed+aux++=were
removed ^vpsv++agls+xvbnx+=removed
for ^in++++=for
administrative ^jj+atrb+++=administrative
disloyalty ^nn+++??+=disloyalty,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
myself ^ppl+pp1+++=myself
the ^ati++++=the
civil ^jj+atrb+++=civil
service ^nn++++=service
was ^vbd+bedz+vrb++=was
too ^ql++++=too
large ^jj++++=large
to ^to++++=to
conquer ^vbi++++=conquer.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
loyalty ^nn++++=loyalty
attestations ^nns+nom+++=attestations
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
signed ^vbd+++xvbnx+=signed
mine ^pp$$++++=mine
