# ^zz++++=##
# ^zz++++=EXTRAWORD
Will ^md+prd+++=WILL
of ^in++++=of
her ^pp$+pp3+++=her
affairs ^nns++++=affairs,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
voice ^nn++++=voice
trembled ^vbd+++xvbn+=trembled.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
fear ^vb++++=fear
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
giving ^vbg+++xvbgx+=giving
you ^pp2+pp2+++=you
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
of ^in++++=of
trouble ^nn++++=trouble,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
not ^xnot++not++=not
think ^vb+vprv+++=think
of ^in++++=of
that ^dt+pdem+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
replied ^vbd+vpub++xvbnx+=replied.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
husband ^nn++++=husband
and ^cc++++=and
I ^pp1a+pp1+++=I
were ^vbd+bed+vrb++=were
friends ^nns++++=friends
in ^in++++=in
earlier ^jjr+atrb+++=earlier
years ^nns++++=years.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
can ^md+pos+++=can
aid ^vb++++=aid
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
consider ^nn+nom+++=consider
it ^pp3+it+++=it
a ^at++++=a
privilege ^nn++++=privilege."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
placed ^vbd+++xvbnx+=placed
before ^in++++=before
him ^pp3o+pp3+++=him
a ^at++++=a
small ^jj+atrb+++=small
packet ^nn++++=packet
of ^in++++=of
papers ^nns++++=papers.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
a ^ap++++=a
few ^ap"++++=few
notes ^nns++++=notes,
, ^zz++++=EXTRAWORD
several ^ap++++=several
unpaid ^jj+atrb+++=unpaid
accounts ^nns++++=accounts
of ^in++++=of
doubtful ^jj+atrb+++=doubtful
value ^nn++++=value,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
certificates ^nns+nom+++=certificates
for ^in++++=for
fifty ^cd++++=fifty
shares ^nns++++=shares
in ^in++++=in
the ^ati++++=the
Western ^jj+atrb+++=Western
and ^cc+phrs+++=and
Northern ^jj+atrb+++=Northern
Railroad ^nn++++=Railroad
Company ^nn++++=Company.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
husband ^nn++++=husband
always ^rb++++=always
believed ^vbd+vprv+tht0+xvbn+=believed
these ^dt+pdem+++=these
shares ^vbz++++=shares
secure ^vb++++=secure,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Lloyd ^np++++=Lloyd.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
were ^vbd+bed+aux++=were
intended ^vpsv++agls+xvbnx+=intended,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
provision ^nn++++=provision
for ^in++++=for
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Perkins ^np++++=Perkins,
, ^zz++++=EXTRAWORD
the ^ati++++=the
broker ^nn++++=broker,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
offered ^vprf+++xvbnx+=offered
to ^to++++=to
sell ^vbi++++=sell
them ^pp3o+pp3+++=them
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
desire ^nn++++=desire
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
says ^vbz+vpub+tht0++=says
the ^ati++++=the
market ^nn++++=market
is ^vbz+bez+vrb++=is
unsettled ^jj+pred+++=unsettled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
to ^to++++=to
do ^vbi++++=do."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith
examined ^vwbn+++xvbn+=examined
the ^ati++++=the
certificates ^nns+nom+++=certificates.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
price ^nn++++=price
does ^vbz+doz+vrb++=does
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Perkins ^np++++=Perkins
think ^vb+vprv+tht0++=think
they ^pp3a+pp3+++=they
will ^md+prd+++=will
bring ^vb++++=bring?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ninety-two."
ninety ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
have ^vb+hv+vrb++=have
you ^pp2+pp2+++=you
any ^dti++++=any
other ^ap++++=other
ready ^jj+atrb+++=ready
money ^nn++++=money?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Only
only ^ap+down+++=EXTRAWORD
enough ^qlp++++=enough
to ^to++++=to
meet ^vbi++++=meet
our ^pp$+pp1+++=our
expenses ^nns++++=expenses
for ^in++++=for
two ^cd++++=two
months ^nns++++=months."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then,
then ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
judgment ^nn+nom+++=judgment,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
should ^md+nec+++=should
sell ^vb++++=sell."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
the ^ati++++=the
stock ^nn++++=stock
once ^rb+tm+++=once
sold ^vwbn+++xvbn+=sold,
, ^zz++++=EXTRAWORD
the ^ati++++=the
money ^nn++++=money
may ^md+pos+++=may
soon ^rb+tm+++=soon
be ^vb+be+aux++=be
spent ^vpsv++agls+xvbnx+=spent."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
must ^md+nec+++=must
not ^xnot++not++=not
be ^vb+be+aux++=be
spent ^vpsv++agls+xvbnx+=spent.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
must ^md+nec+++=must
be ^vb+be+aux++=be
converted ^vpsv++agls+xvbnx+=converted
into ^in++++=into
some ^dti++++=some
form ^nn++++=form
that ^tht+rel+subj++=that
will ^md+prd+++=will
afford ^vb++++=afford
both ^abx++++=both
shelter ^nn++++=shelter
and ^cc++++=and
employment ^nn+nom+++=employment."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Lloyd ^np++++=Lloyd
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
anxiously ^rb++++=anxiously.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
thought ^vprf+++xvbnx+=thought,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
perhaps ^rb++++=perhaps
we ^pp1a+pp1+++=we
might ^md+pos+++=might
keep ^vb++++=keep
a ^at++++=a
small ^jj+atrb+++=small
shop ^nn++++=shop.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
my ^pp$+pp1+++=my
marriage ^nn+nom+++=marriage
I ^pp1a+pp1+++=I
assisted ^vbd+++xvbnx+=assisted
an ^at++++=an
aunt ^nn++++=aunt
in ^in++++=in
the ^ati++++=the
dry ^jj++++=dry-goods
- ^zz++++=EXTRAWORD
goods ^nns++++=EXTRAWORD
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
eldest ^jjt+atrb+++=eldest
daughter ^nn+nom+++=daughter
is ^vbz+bez+vrb++=is
skilful ^jj+pred+++=skilful
with ^in++++=with
her ^pp$+pp3+++=her
needle ^nn++++=needle;
; ^zz++++=EXTRAWORD
Ellen ^np++++=Ellen
has ^vbz+hvz+vrb++=has
taste ^nn++++=taste
in ^in++++=in
selecting ^xvbg+++xvbg+=selecting
colours ^nns++++=colours;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
little ^ap++++=little
Mary ^np++++=Mary
could ^md+pos+++=could
make ^vb++++=make
herself ^ppl+pp3+++=herself
useful ^jj++++=useful.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
a ^at++++=a
store ^nn++++=store
requires ^vbz++++=requires
capital ^nn++++=capital,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
must ^md+nec+++=must
also ^rb++++=also
have ^vb+hv+vrb++=have
a ^at++++=a
home ^nr++++=home."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
building ^jj+++xvbg+=building
can ^md+pos+++=can
provide ^vb+vsua+++=provide
both ^abx++++=both."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hope ^nn++++=Hope
stirred ^vbd+++xvbn+=stirred
faintly ^rb++++=faintly
beneath ^in+pl+++=beneath
the ^ati++++=the
widow ^nn++++=widow's
's ^$++++=EXTRAWORD
sorrow ^nn++++=sorrow.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
possible ^jj++++=possible?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
ascertain ^vb+vprv+++=ascertain.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
mean ^jj+atrb+++=mean
time ^nn++++=time,
, ^zz++++=EXTRAWORD
give ^vb++++=give
me ^pp1o+pp1+++=me
authority ^nn+nom+++=authority
to ^to+ncmp+++=to
confer ^vbi++++=confer
with ^in++++=with
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Perkins ^np++++=Perkins
and ^cc++++=and
dispose ^vb++++=dispose
of ^in+ppvb+++=of
the ^ati++++=the
shares ^vbz++++=shares
if ^cs+cnd+++=if
the ^ati++++=the
present ^jj+atrb+++=present
price ^nn++++=price
can ^md+pos+++=can
be ^vb+be+aux++=be
obtained ^vpsv++agls+xvbnx+=obtained."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
place ^nn++++=place
the ^ati++++=the
matter ^nn++++=matter
wholly ^rb++++=wholly
in ^in++++=in
your ^pp$+pp2+++=your
hands ^nns++++=hands."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
expression ^nn++++=expression
of ^in++++=of
confidence ^nn+nom+++=confidence
touched ^vbd+++xvbn+=touched
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith
more ^rbr++++=more
deeply ^rb++++=deeply
than ^in++++=than
any ^dti++++=any
promise ^nn++++=promise
of ^in++++=of
compensation ^nn+nom+++=compensation
could ^md+pos+++=could
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
left ^vbd+++xvbnx+=left
the ^ati++++=the
house ^nn++++=house
with ^in++++=with
a ^at++++=a
warmer ^jjr+atrb+++=warmer
heart ^nn++++=heart
than ^cs+sub+++=than
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
carried ^vprf+++xvbnx+=carried
into ^in++++=into
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Yet ^rb+cnj+++=Yet,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in++++=to
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
visit ^vb++++=visit
had ^vb+hv+aux++=had
not ^xnot++not++=not
paid ^vwbn+++xvbn+=paid!
! ^zz++++=EXTRAWORD
On ^in++++=On
returning ^nn++++=returning
toward ^in++++=toward
his ^pp$+pp3+++=his
counting ^nvbg+++xvbg+=counting-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith
called ^vbd+++xvbn+=called
upon ^in++++=upon
Perkins ^np++++=Perkins,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
preparing ^vbg+++xvbg+=preparing
to ^to+vcmp+++=to
go ^vbi++++=go
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
fortunate ^jj+pred+++=fortunate,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
broker ^nn++++=broker,
, ^zz++++=EXTRAWORD
after ^in++++=after
hearing ^xvbg+++xvbg+=hearing
his ^pp$+pp3+++=his
errand ^nn++++=errand.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
purchaser ^nn+nom+++=purchaser
for ^in++++=for
fifty ^cd++++=fifty
shares ^nns++++=shares
of ^in++++=of
Western ^jj++++=Western
and ^cc+phrs+++=and
Northern ^jj++++=Northern
at ^rb++++=at
ninety ^cd++++=ninety-two.
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
expects ^vbz++++=expects
a ^at++++=a
rise ^nn++++=rise
within ^in++++=within
ten ^cd++++=ten
days ^nns++++=days,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+vrb++=is
eager ^jj+pred+++=eager
to ^to+jcmp+++=to
close ^vbi++++=close."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
the ^ati++++=the
stock ^nn++++=stock
weak ^jj++++=weak?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
are ^vb+ber+vrb++=are
rumours ^nns++++=rumours;
; ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
certain ^jj++++=certain.
. ^zz++++=EXTRAWORD
The ^ati++++=The
last ^jj+atrb+++=last
dividend ^nn++++=dividend
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
earned ^vprf+++xvbn+=earned,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suspect ^vb+vprv+++=suspect,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
heavy ^jj+atrb+++=heavy
obligations ^nns+nom+++=obligations
fall ^vb++++=fall
due ^jj++++=due
next ^ap++++=next
week ^nn++++=week.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
men ^nns++++=men
who ^whp+rel+subj++=who
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
know ^vb+vprv+++=know
are ^vb+ber+aux++=are
buying ^vbg+++xvbgx+=buying."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
prefer ^vb+vprv+++=prefer
certainty ^nn++++=certainty
for ^in++++=for
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Lloyd ^np++++=Lloyd,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith.
. ^zz++++=EXTRAWORD
" ^zz++++="Sell
sell ^vb++++=EXTRAWORD
the ^ati++++=the
shares ^nns++++=shares."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
necessary ^jj+atrb+++=necessary
authority ^nn+nom+++=authority
was ^vbd+bedz+aux++=was
given ^vpsv++agls+xvbnx+=given;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
before ^cs+sub+++=before
two ^cd++++=two
o'clock ^rb++++=o'clock
the ^ati++++=the
transaction ^nn+nom+++=transaction
was ^vbd+bedz+aux++=was
completed ^vpsv++agls+xvbnx+=completed.
. ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
was ^vbd+bedz+aux++=was
the ^ati++++=the
purchaser ^nn+nom+++=purchaser?
? ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones.
. ^zz++++=EXTRAWORD
Scarcely ^rb+down+++=Scarcely
half ^rb++++=half
an ^at++++=an
hour ^nn++++=hour
after ^in++++=after
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
Perkins ^np++++=Perkins
entered ^vbd+++xvbn+=entered
his ^pp$+pp3+++=his
counting ^nvbg+++xvbg+=counting-room.
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
something ^pn++++=something
that ^dt+pdem+++=that
will ^md+prd+++=will
pay ^vb++++=pay,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
broker ^nn++++=broker.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
eyes ^nns++++=eyes
of ^in++++=of
Jones ^np++++=Jones
brightened ^vbd+++xvbn+=brightened.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Western
western ^jj+atrb+++=EXTRAWORD
and ^cc+phrs+++=and
Northern ^jj+atrb+++=Northern
Railroad ^nn++++=Railroad
stock ^nn++++=stock.
. ^zz++++=EXTRAWORD
Fifty ^cd++++=Fifty
shares ^vbz++++=shares
at ^rb++++=at
ninety ^cd++++=ninety-two."
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Too
too ^ql++++=EXTRAWORD
high ^np++++=high."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
sold ^vbd+++xvbn+=sold
at ^rb++++=at
ninety ^cd++++=ninety-four
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
yesterday ^nr+tm+++=yesterday."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
may ^md+pos+++=may
sell ^vb++++=sell
at ^in++++=at
eighty ^cd++++=eighty
to ^to++++=to-morrow."
- ^zz++++=EXTRAWORD
morrow ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
likely ^jj++++=likely.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+aux++=is
a ^at++++=a
report ^vb++++=report
that ^tht+vcmp+++=that
the ^ati++++=the
company ^nn++++=company
will ^md+prd+++=will
consolidate ^nn+nom+++=consolidate
with ^in++++=with
the ^ati++++=the
Central ^jj+atrb+++=Central
line ^nn++++=line.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
true ^jj++++=true,
, ^zz++++=EXTRAWORD
the ^ati++++=the
shares ^nns++++=shares
will ^md+prd+++=will
go ^vb++++=go
to ^to++++=to
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
ten ^cd++++=ten."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
true ^jj++++=true!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="Reports
reports ^nns++++=EXTRAWORD
are ^vb+ber+vrb++=are
cheap ^jj+pred+++=cheap."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
are ^vb+ber+vrb++=are
the ^ati++++=the
shares ^nns++++=shares,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Perkins ^np++++=Perkins,
, ^zz++++=EXTRAWORD
moving ^vbg+++xvbg+=moving
toward ^in++++=toward
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
place ^vb++++=place
them ^pp3o+pp3+++=them
elsewhere ^rb++++=elsewhere."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Stop!
stop ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Whose ^whp+who+++=Whose
stock ^nn++++=stock
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Perkins ^np++++=Perkins
hesitated ^vbd+++xvbn+=hesitated.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
not ^xnot++not++=not
at ^in++++=at
liberty ^nn++++=liberty
to ^to++++=to
say ^vbi+vpub+++=say."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
some ^dti++++=some
frightened ^jj+atrb++xvbn+=frightened
holder ^nn++++=holder
is ^vbz+bez+aux++=is
sacrificing ^vbg+++xvbgx+=sacrificing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Possibly."
possibly ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
must ^md+nec+++=must
the ^ati++++=the
money ^nn++++=money
be ^vb+be+aux++=be
paid ^vpsv++agls+xvbnx+=paid?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="To-day."
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones
rubbed ^vbd+++xvbn+=rubbed
his ^pp$+pp3+++=his
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
The ^ati++++=The
thought ^nn+++xvbn+=thought
of ^in++++=of
a ^at++++=a
profit ^nn++++=profit
of ^in++++=of
eighteen ^cd++++=eighteen
dollars ^nns++++=dollars
upon ^in++++=upon
each ^dt++++=each
share ^vb++++=share
took ^vbd+++xvbn+=took
possession ^nn++++=possession
of ^in++++=of
his ^pp$+pp3+++=his
imagination ^nn+nom+++=imagination.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
asked ^vbd+vsua++xvbnx+=asked
several ^ap++++=several
rapid ^jj+atrb+++=rapid
questions ^nns+nom+++=questions,
, ^zz++++=EXTRAWORD
affected ^xvbn+++xvbn+=affected
indifference ^nn+nom+++=indifference,
, ^zz++++=EXTRAWORD
complained ^j+++xvbn+=complained
of ^in++++=of
the ^ati++++=the
risk ^nn++++=risk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finally ^rb++++=finally
offered ^vbd+++xvbn+=offered
ninety ^cd++++=ninety-one.
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
a ^at++++=a
cent ^nnu"++++=cent
below ^in+pl+++=below
ninety ^cd++++=ninety-two,"
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Perkins ^np++++=Perkins.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
let ^vb+++xvbn+=let
it ^pp3+it+++=it
go ^vb++++=go."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
well ^rb++++=well."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
broker ^nn++++=broker
reached ^vbd+++xvbn+=reached
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="Perkins!"
perkins ^np++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well?"
well ^rb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
suppose ^vb+vprv+tht0++=suppose
the ^ati++++=the
transfer ^nn+nom+++=transfer
can ^md+pos+++=can
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
at ^rb++++=at
once ^rb"+tm+++=once?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
ten ^cd++++=ten
minutes ^nns++++=minutes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
take ^vb++++=take
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones
signed ^vbd+++xvbn+=signed
the ^ati++++=the
