**the ^nn+++??+=**THE
Price ^nn++++=PRICE
, ^zz++++=EXTRAWORD
a ^at++++=a
cake ^nn++++=cake
bought ^vwbn+++xvbn+=bought
by ^in++++=by
the ^ati++++=the
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
speech ^nn++++=speech
on ^in++++=on
Republican ^nn+nom+++=Republican
Simplicity ^nn+nom+++=Simplicity.
. ^zz++++=EXTRAWORD
Republican ^nn+nom+++=Republican
Simplicity ^nn+nom+++=Simplicity
is ^vbz+bez+vrb++=is
a ^at++++=a
noble ^jj+atrb+++=noble
phrase ^nn++++=phrase.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
served ^vprf+++xvbnx+=served
us ^pp1o+pp1+++=us
long ^jj++++=long
and ^cc++++=and
faithfully ^rb+cnj+++=faithfully,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
avoid ^vbi++++=avoid
paying ^vbg+++xvbg+=paying
a ^at++++=a
bill ^nn++++=bill.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
came ^vbd+++xvbn+=came
down ^rb+phrv+++=down
to ^in+ppvb+++=to
us ^pp1o+pp1+++=us
from ^in++++=from
our ^pp$+pp1+++=our
fathers ^nns+nom+++=fathers,
, ^zz++++=EXTRAWORD
together ^nn+nom+++=together
with ^in++++=with
liberty ^nn++++=liberty,
, ^zz++++=EXTRAWORD
equality ^nn+nom+++=equality,
, ^zz++++=EXTRAWORD
the ^ati++++=the
town ^nn++++=town
pump ^nn++++=pump,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
certain ^jj+atrb+++=certain
pieces ^nns++++=pieces
of ^in++++=of
furniture ^nn++++=furniture
nobody ^pn++++=nobody
has ^vbz+hvz+aux++=has
dared ^vprf+++xvbnx+=dared
throw ^vb++++=throw
away ^rb+phrv+++=away.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
appropriate ^jj+pred+++=appropriate
to ^to+jcmp+++=to
a ^at++++=a
young ^jj+atrb+++=young
country ^nn++++=country
whose ^whp+rel+obj++=whose
statesmen ^nns++++=statesmen
rode ^vbd+++xvbn+=rode
horseback ^nn++++=horseback,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
presidents ^npts++++=presidents
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
butcher ^nn++++=butcher
personally ^rb+cnj+++=personally,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whose ^whp+rel+obj++=whose
entire ^jjb+atrb+++=entire
foreign ^jj+atrb+++=foreign
policy ^nn++++=policy
could ^md+pos+++=could
be ^vb+be+aux++=be
carried ^vpsv++agls+xvbnx+=carried
in ^in++++=in
a ^at++++=a
carpetbag ^nn+++??+=carpetbag.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
a ^at++++=a
custom ^nn++++=custom
may ^md+pos+++=may
be ^vb+be+vrb++=be
venerable ^jj+pred+++=venerable
and ^cc++++=and
still ^rb++++=still
have ^vb+hv+vrb++=have
rheumatism ^nn+nom+++=rheumatism.
. ^zz++++=EXTRAWORD
Benjamin ^np+++??+=Benjamin
Franklin ^np++++=Franklin
went ^vbd+++xvbn+=went
to ^in++++=to
France ^np++++=France
in ^in++++=in
plain ^nn++++=plain
dress ^nn++++=dress
and ^cc++++=and
conquered ^vbd+++xvbn+=conquered
a ^at++++=a
court ^nn++++=court.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
has ^vbz+hvz+aux++=has
misled ^vprf+++xvbnx+=misled
us ^pp1o+pp1+++=us
for ^in++++=for
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
century ^nn++++=century.
. ^zz++++=EXTRAWORD
Franklin ^np++++=Franklin
could ^md+pos+++=could
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
in ^in++++=in
a ^at++++=a
flour ^nn++++=flour
sack ^nn++++=sack
and ^cc++++=and
conquered ^vbd+++xvbn+=conquered
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
genius ^nn++++=genius,
, ^zz++++=EXTRAWORD
wit ^nn++++=wit,
, ^zz++++=EXTRAWORD
fame ^nn++++=fame,
, ^zz++++=EXTRAWORD
wisdom ^nn++++=wisdom,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
head ^nn++++=head
which ^whp+rel+subj++=which
looked ^vbd+++xvbn+=looked
official ^jj++++=official
without ^in++++=without
assistance ^nn+nom+++=assistance.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fur ^nn++++=fur
cap ^nn++++=cap
became ^vbd+++xvbn+=became
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
that ^dt+dem+++=that
cap ^nn++++=cap,
, ^zz++++=EXTRAWORD
enlarged ^j+++xvbn+=enlarged
it ^pp3+it+++=it
into ^in++++=into
a ^at++++=a
national ^jj+atrb+++=national
doctrine ^nn++++=doctrine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
forced ^vbd+++xvbn+=forced
it ^pp3+it+++=it
upon ^in++++=upon
generations ^nns+nom+++=generations
of ^in++++=of
diplomats ^vbz+++??+=diplomats
whose ^whp+who+++=whose
heads ^nns++++=heads
were ^vbd+bed+aux++=were
designed ^vpsv++agls+xvbnx+=designed
for ^in++++=for
ordinary ^jj+atrb+++=ordinary
weather ^nn++++=weather.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
Franklin ^np++++=Franklin
wore ^vbd+++xvbn+=wore
no ^at++++=no
court ^nn++++=court
uniform ^nn++++=uniform,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
civilian ^jj+atrb+++=civilian
representatives ^nns++++=representatives
must ^md+nec+++=must
appear ^vb+seem+++=appear
at ^in++++=at
European ^jj+atrb+++=European
state ^nn++++=state
functions ^nns+nom+++=functions
in ^in++++=in
black ^jj+atrb+++=black
evening ^nn++++=evening
clothes ^nns++++=clothes.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+aux++=is
called ^vpsv++agls+xvbnx+=called
democratic ^jj++++=democratic.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
also ^rb++++=also
conspicuous ^jj+pred+++=conspicuous,
, ^zz++++=EXTRAWORD
inappropriate ^jj++++=inappropriate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
discourteous ^jj++++=discourteous.
. ^zz++++=EXTRAWORD
Imagine ^vb+vprv+++=Imagine
a ^at++++=a
great ^jj++++=great
ceremonial ^jj++++=ceremonial
at ^rb++++=at
this ^dt+dem+++=this
imperial ^jj+atrb+++=imperial
court ^nn++++=court.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
generals ^nns+nom+++=generals
blazing ^jj++++=blazing
in ^in++++=in
scarlet ^jj++++=scarlet
and ^cc++++=and
gold ^nn++++=gold;
; ^zz++++=EXTRAWORD
admirals ^nns+nom+++=admirals
afloat ^jj++++=afloat
in ^in++++=in
embroidery ^nn+nom+++=embroidery;
; ^zz++++=EXTRAWORD
chamberlains ^vbz+++??+=chamberlains
paneled ^vbd+++xvbn+=paneled
with ^in++++=with
silver ^nn++++=silver;
; ^zz++++=EXTRAWORD
ministers ^nns+nom+++=ministers
wearing ^vwbg+++xvbg+=wearing
stars ^nns++++=stars,
, ^zz++++=EXTRAWORD
ribbons ^nns++++=ribbons,
, ^zz++++=EXTRAWORD
swords ^nns++++=swords,
, ^zz++++=EXTRAWORD
feathers ^nns+nom+++=feathers,
, ^zz++++=EXTRAWORD
crosses ^vbz++++=crosses,
, ^zz++++=EXTRAWORD
cords ^nns++++=cords,
, ^zz++++=EXTRAWORD
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
chains ^nns++++=chains,
, ^zz++++=EXTRAWORD
medals ^nns++++=medals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
enough ^dt++++=enough
metal ^nn++++=metal
to ^in++++=to
stock ^nn++++=stock
a ^at++++=a
hardware ^nn++++=hardware
shop ^nn++++=shop.
. ^zz++++=EXTRAWORD
The ^ati++++=The
walls ^nns++++=walls
glow ^nn++++=glow,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mirrors ^nns++++=mirrors
multiply ^vb++++=multiply
the ^ati++++=the
splendor ^nn++++=splendor,
, ^zz++++=EXTRAWORD
the ^ati++++=the
chandeliers ^nns+nom+++=chandeliers
hang ^vb++++=hang
overhead ^jjb++++=overhead
like ^in++++=like
captured ^vbd+++xvbn+=captured
constellations ^nns+nom+++=constellations.
. ^zz++++=EXTRAWORD
Into ^in++++=Into
this ^dt+dem+++=this
river ^nn++++=river
of ^in++++=of
color ^nn++++=color
steps ^nns++++=steps
the ^ati++++=the
representative ^nn++++=representative
of ^in++++=of
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
in ^in++++=in
a ^at++++=a
swallow ^vb++++=swallow-tail
- ^zz++++=EXTRAWORD
tail ^nn++++=EXTRAWORD
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
white ^jj+atrb+++=white
tie ^nn++++=tie,
, ^zz++++=EXTRAWORD
low ^jj+atrb+++=low
shoes ^nns++++=shoes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
solemn ^jj+atrb+++=solemn
expression ^nn++++=expression
of ^in++++=of
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
come ^vprf+++xvbn+=come
to ^to++++=to
measure ^vbi++++=measure
the ^ati++++=the
corpse ^nn++++=corpse.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
visible ^jj+pred+++=visible
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
Republican ^nn+nom+++=Republican
Simplicity ^nn+nom+++=Simplicity
sees ^vbz+vprv+++=sees
to ^to+vcmp+++=to
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
resembles ^vbz++++=resembles
an ^at++++=an
undertaker ^nn+nom+++=undertaker
who ^whp+rel+subj++=who
has ^vbz+hvz+vrb++=has
mislaid ^nn+++??+=mislaid
the ^ati++++=the
funeral ^nn++++=funeral;
; ^zz++++=EXTRAWORD
a ^at++++=a
head ^jjb+atrb+++=head
waiter ^nn++++=waiter
seeking ^vwbg+++xvbg+=seeking
employment ^nn+nom+++=employment;
; ^zz++++=EXTRAWORD
a ^at++++=a
Presbyterian ^jj++++=Presbyterian
elder ^jjr++++=elder
dropped ^vpsv++by+xvbn+=dropped
by ^in++++=by
accident ^nn++++=accident
into ^in++++=into
the ^ati++++=the
Book ^nn++++=Book
of ^in++++=of
Revelation ^nn+nom+++=Revelation.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
eye ^nn++++=eye
turns ^nns++++=turns
toward ^in++++=toward
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
People ^nns++++=People
ask ^vb++++=ask
who ^whp+who+++=who
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+aux++=are
told ^vpsv++agls+xvbnx+=told
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
embodies ^nns+++??+=embodies
the ^ati++++=the
power ^nn++++=power,
, ^zz++++=EXTRAWORD
wealth ^nn++++=wealth,
, ^zz++++=EXTRAWORD
dignity ^nn+nom+++=dignity,
, ^zz++++=EXTRAWORD
enterprise ^nn++++=enterprise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sovereign ^nn++++=sovereign
majesty ^nn++++=majesty
of ^in++++=of
the ^ati++++=the
Great ^jj+atrb+++=Great
Republic ^nn++++=Republic
beyond ^in++++=beyond
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
look ^vb++++=look
at ^rb++++=at
his ^pp$+pp3+++=his
coat ^nn++++=coat
again ^rb+tm+++=again
and ^cc++++=and
conclude ^vb+vprv+++=conclude
that ^tht+vcmp+++=that
the ^ati++++=the
Great ^jj+atrb+++=Great
Republic ^nn++++=Republic
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
unexpectedly ^rb++++=unexpectedly
bereaved ^jj++++=bereaved.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said
that ^tht+vcmp+++=that
a ^at++++=a
uniform ^nn++++=uniform
is ^vbz+bez+vrb++=is
undemocratic ^jj+pred+++=undemocratic.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
interesting ^jj+pred+++=interesting,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
we ^pp1a+pp1+++=we
put ^vbd+++xvbn+=put
uniforms ^nns++++=uniforms
upon ^in++++=upon
soldiers ^nns+nom+++=soldiers,
, ^zz++++=EXTRAWORD
sailors ^nns++++=sailors,
, ^zz++++=EXTRAWORD
policemen ^nns++++=policemen,
, ^zz++++=EXTRAWORD
postmen ^nns++++=postmen,
, ^zz++++=EXTRAWORD
firemen ^nns++++=firemen,
, ^zz++++=EXTRAWORD
railway ^nn++++=railway
conductors ^nns++++=conductors,
, ^zz++++=EXTRAWORD
messenger ^np+nom+++=messenger
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
young ^jj+atrb+++=young
person ^nn++++=person
who ^whp+rel+subj++=who
carries ^vbz++++=carries
the ^ati++++=the
keys ^nns++++=keys
at ^in++++=at
a ^at++++=a
hotel ^nn++++=hotel.
. ^zz++++=EXTRAWORD
Apparently ^rb++++=Apparently
liberty ^nn++++=liberty
can ^md+pos+++=can
survive ^vb++++=survive
blue ^jj+atrb+++=blue
trousers ^nns+nom+++=trousers
upon ^in++++=upon
a ^at++++=a
letter ^nn++++=letter
carrier ^nn++++=carrier
but ^cc++++=but
would ^md+prd+++=would
perish ^vb++++=perish
under ^in++++=under
gold ^nn++++=gold
braid ^nn++++=braid
upon ^in++++=upon
an ^at++++=an
ambassador ^nn++++=ambassador.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
offer ^vb++++=offer
a ^at++++=a
suggestion ^nn+nom+++=suggestion
gratis ^nns+++??+=gratis.
. ^zz++++=EXTRAWORD
The ^ati++++=The
government ^nn+nom+++=government
is ^vbz+bez+aux++=is
accustomed ^vpsv++agls+xvbnx+=accustomed
to ^to++++=to
accepting ^vbg+vprv++xvbg+=accepting
gratis ^nns+++??+=gratis
suggestions ^nns+nom+++=suggestions,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
frequently ^rb++++=frequently
spends ^vbz++++=spends
several ^ap++++=several
millions ^cds++++=millions
discovering ^jj+++xvbg+=discovering
why ^wrb+who+++=why
it ^pp3+it+++=it
should ^md+nec+++=should
not ^xnot++not++=not
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
so ^pn++++=so.
. ^zz++++=EXTRAWORD
Give ^vb++++=Give
every ^at++++=every
ambassador ^nn++++=ambassador
and ^cc++++=and
minister ^nn+nom+++=minister,
, ^zz++++=EXTRAWORD
during ^in++++=during
his ^pp$+pp3+++=his
term ^nn++++=term
of ^in++++=of
service ^nn++++=service,
, ^zz++++=EXTRAWORD
temporary ^jj+atrb+++=temporary
rank ^nn++++=rank
in ^in++++=in
the ^ati++++=the
Army ^nn++++=Army
or ^cc++++=or
Navy ^nn++++=Navy.
. ^zz++++=EXTRAWORD
Make ^vb++++=Make
him ^pp3o+pp3+++=him
a ^at++++=a
colonel ^nn++++=colonel,
, ^zz++++=EXTRAWORD
general ^jj++++=general,
, ^zz++++=EXTRAWORD
commodore ^npt++++=commodore,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
admiral ^nn++++=admiral
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
temperature ^nn++++=temperature
and ^cc++++=and
importance ^nn+nom+++=importance
of ^in++++=of
his ^pp$+pp3+++=his
post ^nn++++=post.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
him ^pp3o+pp3+++=him
wear ^vb++++=wear
the ^ati++++=the
uniform ^nn++++=uniform
at ^rb++++=at
official ^jj+atrb+++=official
ceremonies ^nns++++=ceremonies.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
need ^nn++++=need
not ^xnot++not++=not
command ^vb++++=command
troops ^nns++++=troops.
. ^zz++++=EXTRAWORD
Few ^ap++++=Few
generals ^nns+nom+++=generals
do ^vb+do+vrb++=do
so ^ql++++=so
at ^rb++++=at
a ^at++++=a
court ^nn++++=court
reception ^nn+nom+++=reception.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
need ^nn++++=need
not ^xnot++not++=not
sail ^vb++++=sail
a ^at++++=a
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
admirals ^nns+nom+++=admirals
spend ^vb++++=spend
years ^nns++++=years
resisting ^vwbg+++xvbg+=resisting
that ^dt+dem+++=that
temptation ^nn+nom+++=temptation.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
rank ^nn++++=rank
would ^md+prd+++=would
merely ^rb+down+++=merely
permit ^nn++++=permit
him ^pp3o+pp3+++=him
to ^to++++=to
appear ^vbi+seem+++=appear
among ^in++++=among
the ^ati++++=the
official ^jj+atrb+++=official
plumage ^nn+nom+++=plumage
of ^in++++=of
Europe ^np++++=Europe
without ^in++++=without
looking ^nn++++=looking
like ^in++++=like
a ^at++++=a
black ^jj+atrb+++=black
beetle ^nn++++=beetle
in ^in++++=in
a ^at++++=a
tulip ^nn++++=tulip
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
transferred ^vpsv++agls+xvbnx+=transferred
or ^cc+phrs+++=or
recalled ^vbd+vprv++xvbn+=recalled,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rank ^nn++++=rank
vanishes ^vbz++++=vanishes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lays ^vbz++++=lays
aside ^rp++++=aside
the ^ati++++=the
sword ^nn++++=sword
and ^cc++++=and
resumes ^vbz++++=resumes
citizenship ^nn+nom+++=citizenship,
, ^zz++++=EXTRAWORD
rheumatism ^nn+nom+++=rheumatism,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
privilege ^nn++++=privilege
of ^in++++=of
criticizing ^xvbg+++xvbg+=criticizing
his ^pp$+pp3+++=his
successor ^nn++++=successor.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
could ^md+pos+++=could
be ^vb+be+vrb++=be
simpler ^jjr+pred+++=simpler.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
should ^md+nec+++=should
have ^vb+hv+vrb++=have
dignity ^nn+nom+++=dignity
abroad ^rb+pl+++=abroad
and ^cc++++=and
democracy ^nn+nom+++=democracy
at ^in++++=at
home ^nr++++=home;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
a ^at++++=a
diplomat ^nn++++=diplomat
became ^vbd+++xvbn+=became
too ^rb++++=too
fond ^jj++++=fond
of ^in++++=of
his ^pp$+pp3+++=his
feathers ^nns+nom+++=feathers,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
could ^md+pos+++=could
console ^vb+++??+=console
ourselves ^ppls+pp1+++=ourselves
with ^in++++=with
the ^ati++++=the
knowledge ^nn++++=knowledge
that ^tht+ncmp+++=that
the ^ati++++=the
nation ^nn++++=nation
has ^vbz+hvz+aux++=has
survived ^vprf+++xvbnx+=survived
more ^rbr++++=more
dangerous ^jj+atrb+++=dangerous
decorations ^nns+nom+++=decorations.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
clothes ^nns++++=clothes
are ^vb+ber+vrb++=are
only ^rb+down+++=only
the ^ati++++=the
visible ^jj+atrb+++=visible
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
difficulty ^nn++++=difficulty.
. ^zz++++=EXTRAWORD
The ^ati++++=The
salary ^nn++++=salary
is ^vbz+bez+vrb++=is
the ^ati++++=the
bone ^nn++++=bone.
. ^zz++++=EXTRAWORD
People ^nns++++=People
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
never ^rb++splt++=never
lived ^vprf+++xvbnx+=lived
abroad ^rb+pl+++=abroad
imagine ^vb+vprv+++=imagine
that ^tht+vcmp+++=that
an ^at++++=an
ambassador ^nn++++=ambassador's
's ^$++++=EXTRAWORD
business ^nns+nom+++=business
is ^vbz+bez+aux++=is
done ^vpsv++agls+xvbnx+=done
in ^in++++=in
an ^at++++=an
office ^nn++++=office.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
suppose ^vb+vprv+tht0++=suppose
foreign ^jj+atrb+++=foreign
ministers ^nns+nom+++=ministers
come ^vprf+++xvbn+=come
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
state ^nn++++=state
their ^pp$+pp3+++=their
proposals ^nns+nom+++=proposals,
, ^zz++++=EXTRAWORD
receive ^vb++++=receive
an ^at++++=an
American ^jj+atrb+++=American
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
go ^vb++++=go
away ^rp+pl+++=away
convinced ^jj+++xvbn+=convinced.
. ^zz++++=EXTRAWORD
In ^cs+sub+++=In
that ^cs"++++=that
case ^nn++++=case
a ^at++++=a
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
two ^cd++++=two
chairs ^nns++++=chairs,
, ^zz++++=EXTRAWORD
a ^at++++=a
flag ^nn++++=flag,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
lunch ^vb++++=lunch
basket ^nn++++=basket
would ^md+prd+++=would
be ^vb+be+vrb++=be
enough ^qlp++++=enough.
. ^zz++++=EXTRAWORD
Unfortunately ^rb++++=Unfortunately
mankind ^nn++++=mankind
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
arranged ^vpsv++agls+xvbnx+=arranged
on ^in++++=on
this ^dt+dem+++=this
economical ^jj+atrb+++=economical
plan ^nn++++=plan.
. ^zz++++=EXTRAWORD
A ^at++++=A
large ^jj+atrb+++=large
part ^nn++++=part
of ^in++++=of
diplomacy ^nn+nom+++=diplomacy
is ^vbz+bez+vrb++=is
social ^jj+pred+++=social.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
who ^whp+rel+obj++=who
distrust ^nn++++=distrust
one ^cd1++++=one
another ^dt++++=another
at ^rb++++=at
noon ^nn++++=noon
may ^md+pos+++=may
understand ^vb+vprv+++=understand
one ^cd1++++=one
another ^dt++++=another
after ^in++++=after
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
A ^at++++=A
minister ^nn+nom+++=minister
who ^whp+rel+subj++=who
will ^md+prd+++=will
not ^xnot++not++=not
yield ^vb++++=yield
a ^at++++=a
comma ^nn++++=comma
across ^in+pl+++=across
a ^at++++=a
green ^jj+atrb+++=green
table ^nn++++=table
may ^md+pos+++=may
surrender ^nn+nom+++=surrender
a ^at++++=a
semicolon ^nn+++??+=semicolon
over ^in++++=over
coffee ^nn++++=coffee.
. ^zz++++=EXTRAWORD
Acquaintance ^nn+nom+++=Acquaintance
softens ^nns+++??+=softens
official ^jj+atrb+++=official
stiffness ^nns+nom+++=stiffness;
; ^zz++++=EXTRAWORD
hospitality ^nn+nom+++=hospitality
creates ^nns+nom+++=creates
opportunities ^nns+nom+++=opportunities;
; ^zz++++=EXTRAWORD
confidence ^nn+nom+++=confidence
grows ^vbz++++=grows
in ^in++++=in
drawing ^xvbg+++xvbg+=drawing
rooms ^nns++++=rooms,
, ^zz++++=EXTRAWORD
on ^in++++=on
terraces ^nns++++=terraces,
, ^zz++++=EXTRAWORD
at ^in++++=at
country ^nn++++=country
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
those ^dt+dem+++=those
apparently ^rb++++=apparently
idle ^jj+atrb+++=idle
conversations ^nns+nom+++=conversations
where ^wrb+who+++=where
no ^at++++=no
one ^cd1++++=one
says ^vbz+vpub+++=says
anything ^pn++++=anything
important ^jj++++=important
and ^cc++++=and
everyone ^pn++++=everyone
remembers ^nns+nom+++=remembers
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
commercial ^jj++++=commercial
traveler ^jjr++++=traveler
knows ^vbz+vprv+tht0++=knows
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
entertains ^nns+++??+=entertains
a ^at++++=a
customer ^nn+nom+++=customer
because ^cs+cos+++=because
dinner ^nn++++=dinner
is ^vbz+bez+vrb++=is
cheaper ^jjr+pred+++=cheaper
than ^in++++=than
failure ^nn++++=failure.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
does ^vbz+doz+aux++=does
not ^xnot++not++=not
invite ^vb++++=invite
the ^ati++++=the
customer ^nn+nom+++=customer
to ^in++++=to
a ^at++++=a
garret ^nn+++??+=garret,
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
out ^rp+pl+++=out
sardines ^nns+++??+=sardines
on ^in++++=on
a ^at++++=a
newspaper ^nn+nom+++=newspaper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
explain ^vb+vpub+++=explain
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
firm ^nn++++=firm
believes ^vbz+vprv+++=believes
in ^in++++=in
Business ^nns+nom+++=Business
Simplicity ^nn+nom+++=Simplicity.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pays ^vbz++++=pays
for ^in++++=for
the ^ati++++=the
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
puts ^vbz++++=puts
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
expense ^nn++++=expense
account ^nn++++=account,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sells ^vbz++++=sells
the ^ati++++=the
goods ^nns++++=goods.
. ^zz++++=EXTRAWORD
An ^at++++=An
ambassador ^nn++++=ambassador
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
among ^in++++=among
other ^ap++++=other
things ^nns++++=things,
, ^zz++++=EXTRAWORD
the ^ati++++=the
chief ^jjb++++=chief
commercial ^jj++++=commercial
traveler ^jjr++++=traveler
of ^in++++=of
his ^pp$+pp3+++=his
country ^nn++++=country.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+vrb++=has
a ^at++++=a
larger ^jjr+atrb+++=larger
sample ^nn++++=sample
case ^nn++++=case
and ^cc++++=and
less ^rbr++++=less
liberty ^nn++++=liberty
to ^to++++=to
mention ^nn+nom+++=mention
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
principle ^nn++++=principle
is ^vbz+bez+vrb++=is
the ^ati++++=the
same ^ap++++=same.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
opens ^vbz++++=opens
doors ^nns++++=doors
for ^in++++=for
merchants ^nns+nom+++=merchants;
