Until ^in++++=Until
travelled ^vprf+++xvbnx+=travelled
through ^in++++=through
a ^at++++=a
tube ^nn++++=tube
concealed ^vbd+++xvbn+=concealed
beneath ^in+pl+++=beneath
the ^ati++++=the
counter ^nn++++=counter
and ^cc++++=and
been ^vprf+ben+aux+xvbn+=been
introduced ^vpsv++agls+xvbnx+=introduced
into ^in++++=into
Gip ^np++++=Gip's
's ^$++++=EXTRAWORD
pocket ^nn++++=pocket
by ^in++++=by
a ^at++++=a
wire ^nn++++=wire,
, ^zz++++=EXTRAWORD
a ^at++++=a
spring ^nn++++=spring
or ^cc++++=or
some ^dti++++=some
such ^abl++++=such
mechanical ^jj+atrb+++=mechanical
contrivance ^nn+nom+++=contrivance.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stooped ^vbd+++xvbnx+=stooped
to ^to++++=to
inspect ^vbi++++=inspect
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
counter ^nn++++=counter.
. ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
machinery ^nn+nom+++=machinery,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
shopman ^nn++++=shopman,
, ^zz++++=EXTRAWORD
producing ^vbg+++xvbg+=producing
a ^at++++=a
second ^od++++=second
ball ^nn++++=ball
from ^in++++=from
my ^pp$+pp1+++=my
elbow ^nn++++=elbow.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
straightened ^vbd+++xvbnx+=straightened
abruptly ^rb++++=abruptly.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
dropped ^vbd+++xvbnx+=dropped
that ^dt+dem+++=that
ball ^nn++++=ball
into ^in++++=into
his ^pp$+pp3+++=his
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
cheek ^nn++++=cheek
bulged ^vbd+++xvbn+=bulged;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
watered ^vbd+++xvbn+=watered;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
a ^at++++=a
slight ^jj+atrb+++=slight
cough ^nn++++=cough
he ^pp3a+pp3+++=he
brought ^vbd+++xvbnx+=brought
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
Gip ^np++++=Gip's
's ^$++++=EXTRAWORD
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
another ^dt++++=another
appeared ^jj+++xvbn+=appeared
upon ^in++++=upon
the ^ati++++=the
tip ^nn++++=tip
of ^in++++=of
his ^pp$+pp3+++=his
nose ^nn++++=nose.
. ^zz++++=EXTRAWORD
A ^at++++=A
fourth ^od++++=fourth
rolled ^jj+++xvbn+=rolled
from ^in++++=from
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve.
. ^zz++++=EXTRAWORD
A ^at++++=A
fifth ^od++++=fifth
emerged ^vprf+++xvbn+=emerged
from ^in++++=from
his ^pp$+pp3+++=his
left ^jj+atrb++xvbn+=left
ear ^nn++++=ear,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
perhaps ^rb++++=perhaps
explained ^vbd+vpub++xvbn+=explained
its ^pp$+it+++=its
unusual ^jj+atrb+++=unusual
capacity ^nn+nom+++=capacity.
. ^zz++++=EXTRAWORD
Gip ^np+++??+=Gip
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
often ^rb++++=often
laugh ^vb++++=laugh
aloud ^rb+cnj+++=aloud,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sound ^nn++++=sound
disposed ^vbd+++xvbn+=disposed
me ^pp1o+pp1+++=me
to ^in++++=to
indulgence ^nn+nom+++=indulgence.
. ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
neat ^jj++++=neat,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Extremely
extremely ^rb+amp+++=EXTRAWORD
neat ^jj++++=neat.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
we ^pp1a+pp1+++=we
should ^md+nec+++=should
prefer ^vb+vprv+tht0++=prefer
something ^pn++++=something
he ^pp3a+pp3+++=he
can ^md+pos+++=can
take ^vb++++=take
away ^rb+phrv+++=away."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
the ^ati++++=the
Home ^nr++++=Home
Conjurer ^np+nom+++=Conjurer's
's ^$++++=EXTRAWORD
Cabinet ^nn++++=Cabinet,
, ^zz++++=EXTRAWORD
containing ^vbg+++xvbg+=containing
eighty ^cd++++=eighty-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
deceptions ^nns+nom+++=deceptions
and ^cc++++=and
one ^cd1++++=one
genuine ^jj+atrb+++=genuine
surprise ^nn++++=surprise;
; ^zz++++=EXTRAWORD
the ^ati++++=the
Instantaneous ^np+++??+=Instantaneous
Castle ^nn++++=Castle,
, ^zz++++=EXTRAWORD
requiring ^vbg+vsua++xvbg+=requiring
no ^at++++=no
foundations ^nns+nom+++=foundations;
; ^zz++++=EXTRAWORD
the ^ati++++=the
Obedient ^jj+atrb+++=Obedient
Compass ^nn++++=Compass,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
points ^nns++++=points
towards ^in++++=towards
whatever ^nn+nom+++=whatever
is ^vbz+bez+vrb++=is
most ^ql+emph+++=most
desired ^jj+++xvbn+=desired;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
" ^zz++++="
He ^pp3a+pp3+++=He
placed ^vbd+++xvbnx+=placed
upon ^in++++=upon
the ^ati++++=the
counter ^nn++++=counter
a ^rb++++=a
little ^rb"++++=little
cone ^nn++++=cone
of ^in++++=of
blue ^jj+atrb+++=blue
cardboard ^nn++++=cardboard.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
Vanishing ^jj+atrb++xvbg+=Vanishing
Halfpenny ^nn++++=Halfpenny."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
trick ^nn++++=trick."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+vrb++=EXTRAWORD
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
a ^at++++=a
halfpenny ^nn++++=halfpenny
from ^in++++=from
my ^pp$+pp1+++=my
waistcoat ^nn++++=waistcoat
pocket ^nn++++=pocket
and ^cc++++=and
put ^vb+++xvbn+=put
it ^pp3+it+++=it
beneath ^in+pl+++=beneath
the ^ati++++=the
cone ^nn++++=cone.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shopman ^nn++++=shopman
tapped ^vwbn+++xvbn+=tapped
once ^rb+tm+++=once.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
lifted ^vbd+++xvbnx+=lifted
the ^ati++++=the
cone ^nn++++=cone.
. ^zz++++=EXTRAWORD
The ^ati++++=The
coin ^nn++++=coin
had ^vbd+hvd+aux++=had
vanished ^vprf+++xvbnx+=vanished.
. ^zz++++=EXTRAWORD
" ^zz++++="Palmed,"
palmed ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Certainly
certainly ^rb++++=EXTRAWORD
not ^xnot++not++=not
by ^in++++=by
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
searched ^vbd+++xvbnx+=searched
my ^pp$+pp1+++=my
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
empty ^jj+pred+++=empty.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
your ^pp$+pp2+++=your
other ^ap++++=other
pocket ^nn++++=pocket,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
suggested ^vbd+vpub++xvbnx+=suggested.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tried ^vbd+++xvbnx+=tried
it ^pp3+it+++=it
and ^cc++++=and
found ^vbd+vprv++xvbn+=found
not ^xnot++not++=not
the ^ati++++=the
halfpenny ^nn++++=halfpenny
but ^cc++++=but
a ^at++++=a
small ^jj+atrb+++=small
grey ^jj+atrb+++=grey
rat ^nn++++=rat,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
sat ^vbd+++xvbn+=sat
up ^rp++++=up
between ^in++++=between
my ^pp$+pp1+++=my
fingers ^nns+nom+++=fingers
and ^cc++++=and
washed ^vbd+++xvbn+=washed
its ^pp$+it+++=its
whiskers ^nns+nom+++=whiskers.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
confess ^nns+nom+++=confess
I ^pp1a+pp1+++=I
dropped ^vbd+++xvbnx+=dropped
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
it ^pp3+it+++=it
reached ^vbd+++xvbn+=reached
the ^ati++++=the
floor ^nn++++=floor
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
a ^at++++=a
twisted ^nn++++=twisted
strip ^vb++++=strip
of ^in++++=of
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shopman ^nn++++=shopman
caught ^vbd+++xvbn+=caught
the ^ati++++=the
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
shook ^j+++xvbn+=shook
it ^pp3+it+++=it
open ^jj++++=open,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
revealed ^vbd+vprv+tht0+xvbn+=revealed
a ^at++++=a
printed ^jj+atrb++xvbn+=printed
invoice ^nn+++??+=invoice
headed ^vwbn+++xvbn+=headed:
: ^zz++++=EXTRAWORD
One ^cd1++++=ONE
Perfectly ^rb+amp+++=PERFECTLY
Natural ^jj+atrb+++=NATURAL
Explanation ^nn+nom+++=EXPLANATION
Supplied ^vbd+++xvbn+=Supplied
to ^in++++=to
a ^at++++=a
Gentleman ^nn+nom+++=Gentleman
Price ^nn++++=Price:
: ^zz++++=EXTRAWORD
Whatever ^nn+nom+++=Whatever
He ^pp3a+pp3+++=He
Can ^md+pos+++=Can
Believe ^vb+vprv+++=Believe
" ^zz++++="That,"
that ^dt+pdem+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
an ^at++++=an
old ^jj+atrb+++=old
sort ^nn++++=sort
of ^in++++=of
joke ^nn++++=joke."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
old ^jj++++=old,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
Nearly ^rb+down+++=Nearly
as ^in++++=as
old ^jj++++=old
as ^ql++++=as
explanations ^nns+nom+++=explanations."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
crushed ^vbd+++xvbnx+=crushed
the ^ati++++=the
invoice ^nn+++??+=invoice
into ^in++++=into
a ^at++++=a
pellet ^nn++++=pellet.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pellet ^nn++++=pellet
lengthened ^vbd+++xvbn+=lengthened
into ^in++++=into
a ^at++++=a
stick ^nn++++=stick
of ^in++++=of
sealing ^xvbg+++xvbg+=sealing
wax ^nn++++=wax;
; ^zz++++=EXTRAWORD
the ^ati++++=the
sealing ^jj+atrb++xvbg+=sealing
wax ^nn++++=wax
softened ^vbd+++xvbn+=softened
into ^in++++=into
a ^at++++=a
scarlet ^jj+atrb+++=scarlet
worm ^nn++++=worm;
; ^zz++++=EXTRAWORD
the ^ati++++=the
worm ^nn++++=worm
tied ^vbd+++xvbn+=tied
itself ^ppl++++=itself
in ^in++++=in
a ^at++++=a
bow ^nn++++=bow
and ^cc++++=and
became ^vbd+++xvbn+=became
a ^at++++=a
ribbon ^nn++++=ribbon
about ^in++++=about
a ^at++++=a
parcel ^nn++++=parcel
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
until ^in++++=until
that ^dt+dem+++=that
instant ^nn+nom+++=instant,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
on ^in++++=on
the ^ati++++=the
counter ^nn++++=counter.
. ^zz++++=EXTRAWORD
Gip ^np+++??+=Gip
regarded ^vwbn+++xvbn+=regarded
the ^ati++++=the
parcel ^nn++++=parcel
with ^in++++=with
shining ^xvbg+++xvbg+=shining
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
shopman ^nn++++=shopman.
. ^zz++++=EXTRAWORD
" ^zz++++="Our
our ^pp$+pp1+++=EXTRAWORD
first ^rb++++=first
complimentary ^jj+atrb+++=complimentary
selection ^nn+nom+++=selection."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
too ^ql++++=too
much ^ap++++=much
given ^jj+++xvbn+=given
to ^in++++=to
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Gip ^np+++??+=Gip,
, ^zz++++=EXTRAWORD
after ^in++++=after
reflection ^nn+nom+++=reflection.
. ^zz++++=EXTRAWORD
" ^zz++++="Dadda
dadda ^nn+++??+=EXTRAWORD
may ^md+pos+++=may
pay ^vb++++=pay."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
shopman ^jj+atrb+++=shopman's
's ^vbz+bez+aux++0=EXTRAWORD
smile ^vb++++=smile
sharpened ^vwbn+++xvbn+=sharpened.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
father ^nn++++=father
will ^md+prd+++=will
pay ^vb++++=pay
in ^in++++=in
the ^ati++++=the
usual ^jj+atrb+++=usual
manner ^nn++++=manner."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
care ^nn++++=care
for ^in++++=for
that ^dt+dem+++=that
phrase ^nn++++=phrase.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
much ^rb++++=much?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
depends ^vbz++++=depends
entirely ^rb+amp+++=entirely
upon ^in++++=upon
what ^wdt+who+++=what
is ^vbz+bez+aux++=is
purchased ^vpsv++agls+xvbnx+=purchased."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
suppose ^vb+vprv+tht0++=suppose
we ^pp1a+pp1+++=we
settle ^vb++++=settle
the ^ati++++=the
price ^nn++++=price
beforehand ^rb++++=beforehand."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="With
with ^in++++=EXTRAWORD
genuine ^jj+atrb+++=genuine
magic ^nn++++=magic,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
shopman ^nn++++=shopman,
, ^zz++++=EXTRAWORD
" ^zz++++="nothing
nothing ^pn++++=EXTRAWORD
is ^vbz+bez+vrb++=is
beforehand ^rb++++=beforehand."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
to ^in++++=to
Gip ^np+++??+=Gip.
. ^zz++++=EXTRAWORD
" ^zz++++="Would
would ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
like ^vb++++=like
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
the ^ati++++=the
showroom ^nn+++??+=showroom?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gip ^np+++??+=Gip
looked ^vbd+++xvbn+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ought ^md+nec+++=ought,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
to ^in++++=to
have ^vbi+vbi+aux++=have
said ^vprf+++xvbnx+=said
no ^at++++=no.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fellow ^jjb+atrb+++=fellow's
's ^vbz+bez+vrb++0=EXTRAWORD
tricks ^nns++++=tricks
were ^vbd+bed+aux++=were
becoming ^vbg+++xvbgx+=becoming
intrusive ^jj++++=intrusive;
; ^zz++++=EXTRAWORD
the ^ati++++=the
shop ^nn++++=shop
was ^vbd+bedz+aux++=was
badly ^rb++splt++=badly
lit ^vpsv++agls+xvbnx+=lit;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
in ^in++++=in
his ^pp$+pp3+++=his
affability ^nn+nom+++=affability
something ^pn++++=something
too ^ql++++=too
smooth ^vb++++=smooth
to ^to++++=to
be ^vbi++vrb++=be
wholesome ^jj+pred+++=wholesome.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Gip ^np++++=Gip's
's ^$++++=EXTRAWORD
hand ^nn++++=hand
was ^vbd+bedz+vrb++=was
still ^rb++++=still
in ^in++++=in
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
showroom ^nn+++??+=showroom
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
lie ^vbi++++=lie
beyond ^in++++=beyond
a ^at++++=a
harmless ^jj+atrb+++=harmless
curtain ^nn++++=curtain
of ^in++++=of
green ^jj++++=green
baize ^jj++++=baize.
. ^zz++++=EXTRAWORD
Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
dislikes ^nns++++=dislikes
making ^vwbg+++xvbg+=making
a ^at++++=a
scene ^nn++++=scene
in ^in++++=in
a ^at++++=a
shop ^nn++++=shop.
. ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
a ^at++++=a
minute ^nn++++=minute,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
are ^vb+ber+vrb++=are
due ^jj+atrb+++=due
home ^nr++++=home
for ^in++++=for
tea ^nn++++=tea."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Time,"
time ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
shopman ^nn++++=shopman,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
always ^rb++++=always
most ^ql+emph+++=most
accommodating ^jj+++xvbg+=accommodating
to ^in++++=to
good ^jj+atrb+++=good
customers ^nns+nom+++=customers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lifted ^vbd+++xvbnx+=lifted
the ^ati++++=the
curtain ^nn++++=curtain.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
long ^rb++++=long
gallery ^nn+nom+++=gallery
filled ^vbd+++xvbn+=filled
with ^in++++=with
toys ^nns++++=toys.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
astonishingly ^rb++++=astonishingly
long ^jj+pred+++=long.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
considering ^vbg+++xvbg+=considering
the ^ati++++=the
two ^cd++++=two
neighbouring ^jj+atrb+++=neighbouring
premises ^nns++++=premises
and ^cc++++=and
the ^ati++++=the
street ^nn++++=street
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
preposterous ^jj+pred+++=preposterous;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
myself ^ppl+pp1+++=myself
there ^ex+pex+++=there
might ^md+pos+++=might
be ^vb+be+vrb++=be
an ^at++++=an
angle ^nn++++=angle
in ^in++++=in
the ^ati++++=the
building ^nvbg+++xvbg+=building.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gallery ^nn+nom+++=gallery
bent ^vbd+++xvbn+=bent,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps.
. ^zz++++=EXTRAWORD
Mirrors ^nns++++=Mirrors
were ^vbd+bed+aux++=were
also ^rb++splt++=also
employed ^vpsv++agls+xvbnx+=employed
many ^ap++++=many
mirrors ^nns++++=mirrors,
, ^zz++++=EXTRAWORD
narrow ^jj++++=narrow
and ^cc+phrs+++=and
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
multiplied ^vwbn+++xvbn+=multiplied
the ^ati++++=the
lamps ^nns++++=lamps
into ^in++++=into
distances ^nns+nom+++=distances
and ^cc++++=and
reflected ^vbd+vprv++xvbn+=reflected
Gip ^np+++??+=Gip
and ^cc++++=and
me ^pp1o+pp1+++=me
in ^in++++=in
various ^jj+atrb+++=various
uncomplimentary ^jj+atrb+++=uncomplimentary
forms ^nns++++=forms.
. ^zz++++=EXTRAWORD
In ^in++++=In
one ^cd1++++=one
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
squat ^jj+pred+++=squat
and ^cc++++=and
crimson ^nn+++??+=crimson;
; ^zz++++=EXTRAWORD
in ^in++++=in
another ^ppls++++=another
Gip ^np+++??+=Gip
had ^vb+hv+vrb++=had
antlers ^nns+nom+++=antlers;
; ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
third ^nn++++=third
the ^ati++++=the
shopman ^jj++++=shopman
alone ^rb++++=alone
made ^vprf+++xvbn+=made
no ^at++++=no
reflection ^nn+nom+++=reflection.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
glass ^nn++++=glass
is ^vbz+bez+vrb++=is
faulty ^jj+pred+++=faulty,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remarked ^vbd+vpub++xvbnx+=remarked.
. ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
the ^ati++++=the
contrary ^nn+nom+++=contrary,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
only ^rb+down+++=only
perfectly ^rb+amp+++=perfectly
truthful ^jj+atrb+++=truthful
one ^cd1++++=one
we ^pp1a+pp1+++=we
possess ^nns+nom+++=possess."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
toys ^nns++++=toys
were ^vbd+bed+aux++=were
displayed ^vpsv++agls+xvbnx+=displayed
without ^in++++=without
much ^ap++++=much
regard ^nn++++=regard
to ^in++++=to
commercial ^jj+atrb+++=commercial
order ^nn++++=order.
. ^zz++++=EXTRAWORD
A ^at++++=A
rocking ^jj+++xvbg+=rocking-horse
- ^zz++++=EXTRAWORD
horse ^nn++++=EXTRAWORD
cropped ^vbd+++xvbn+=cropped
actual ^jj+atrb+++=actual
grass ^nn++++=grass
from ^in++++=from
a ^at++++=a
tray ^nn++++=tray.
. ^zz++++=EXTRAWORD
A ^at++++=A
regiment ^nn+nom+++=regiment
of ^in++++=of
blue ^jj+atrb+++=blue
soldiers ^nns+nom+++=soldiers
snored ^vbd+++xvbn+=snored
in ^in++++=in
a ^at++++=a
box ^nn++++=box
labelled ^vwbn+++xvbn+=labelled
Wake ^vb++++=WAKE
Only ^rb+down+++=ONLY
In ^in++++=IN
Case ^in"++++=CASE
Of ^in"++++=OF
War ^nn++++=WAR.
. ^zz++++=EXTRAWORD
A ^at++++=A
tin ^nn++++=tin
railway ^nn++++=railway
ran ^vbd+++xvbn+=ran
vertically ^rb++++=vertically
up ^rp++++=up
the ^ati++++=the
wall ^nn++++=wall
and ^cc++++=and
vanished ^vpsv++agls+xvbn+=vanished
through ^in++++=through
the ^ati++++=the
ceiling ^nn+nom+++=ceiling,
, ^zz++++=EXTRAWORD
returning ^vbg+++xvbg+=returning
with ^in++++=with
its ^pp$+it+++=its
carriages ^nns+nom+++=carriages
full ^jj++++=full
of ^in++++=of
exceedingly ^rb++++=exceedingly
small ^jj+atrb+++=small
passengers ^nns+nom+++=passengers.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
bottled ^jj+atrb+++=bottled
thunderstorms ^nns++++=thunderstorms,
, ^zz++++=EXTRAWORD
folding ^jj+atrb+++=folding
dragons ^nns++++=dragons,
, ^zz++++=EXTRAWORD
self ^nn++++=self-denying
- ^zz++++=EXTRAWORD
denying ^vbg+vpub++xvbg+=EXTRAWORD
money ^nn++++=money-boxes,
- ^zz++++=EXTRAWORD
boxes ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
portable ^jj+atrb+++=portable
