# ^zz++++=##
# ^zz++++=EXTRAWORD
Lights ^nns++++=Lights
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
clamouring ^vbg+++xvbgx+=clamouring
for ^in++++=for
death ^nn++++=death
now ^rn+tm+++=now
cried ^vbd+++xvbn+=cried
for ^in++++=for
pardon ^nn++++=pardon
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
vehemence ^nn+nom+++=vehemence.
. ^zz++++=EXTRAWORD
Sicard ^np+++??+=Sicard
was ^vbd+bedz+aux++=was
drawn ^vpsv++agls+xvbnx+=drawn
aside ^rp++++=aside,
, ^zz++++=EXTRAWORD
protected ^xvbn+++xvbn+=protected,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ultimately ^rb++++=ultimately
restored ^vbd+++xvbn+=restored
to ^in++++=to
liberty ^nn++++=liberty.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
must ^md+nec+++=must
not ^xnot++not++=not
pass ^vb++++=pass
too ^ql++++=too
hastily ^rb++++=hastily
over ^in++++=over
this ^dt+dem+++=this
act ^nn++++=act.
. ^zz++++=EXTRAWORD
Monnot ^np+++??+=Monnot
could ^md+pos+++=could
have ^vb+hv+aux++=have
remained ^vprf+++xvbnx+=remained
silent ^jj++++=silent.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
would ^md+prd+++=would
have ^vb+hv+aux++=have
accused ^vprf+++xvbnx+=accused
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
no ^at++++=no
one ^cd1++++=one
would ^md+prd+++=would
even ^rb++++=even
have ^vb+hv+aux++=have
noticed ^vprf+++xvbnx+=noticed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
moments ^nns+nom+++=moments
when ^wrb+who+++=when
silence ^nn+nom+++=silence
makes ^vbz++++=makes
a ^at++++=a
man ^nn++++=man
the ^ati++++=the
accomplice ^nn++++=accomplice
of ^in++++=of
wickedness ^nns+nom+++=wickedness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
watchmaker ^jjr++++=watchmaker,
, ^zz++++=EXTRAWORD
little ^rb++++=little
divining ^vbg+++xvbg+=divining
whether ^cs+who+++=whether
the ^ati++++=the
mob ^nn++++=mob
would ^md+prd+++=would
listen ^vb++++=listen
to ^in++++=to
him ^pp3o+pp3+++=him
or ^cc++++=or
strike ^nn++++=strike
him ^pp3o+pp3+++=him
down ^rp++++=down
beside ^in+pl+++=beside
the ^ati++++=the
priest ^nn++++=priest,
, ^zz++++=EXTRAWORD
placed ^xvbn+++xvbn+=placed
his ^pp$+pp3+++=his
body ^nn++++=body
before ^in++++=before
another ^dt++++=another
man ^nn++++=man's
's ^$++++=EXTRAWORD
body ^nn++++=body
and ^cc++++=and
his ^pp$+pp3+++=his
good ^jj+atrb+++=good
name ^nn++++=name
against ^in++++=against
the ^ati++++=the
fury ^nn++++=fury
of ^in++++=of
assassins ^nns+++??+=assassins.
. ^zz++++=EXTRAWORD
In ^in++++=In
an ^at++++=an
age ^nn++++=age
boasting ^vwbg+++xvbg+=boasting
loudly ^rb++++=loudly
of ^in++++=of
fraternity ^nn+nom+++=fraternity,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
practised ^vbd+++xvbnx+=practised
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
same ^ap++++=same
prison ^nn++++=prison
was ^vbd+bedz+vrb++=was
the ^ati++++=the
aged ^jj+atrb+++=aged
Marquis ^npt++++=Marquis
de ^&fw++++=de
Sombreuil ^np+++??+=Sombreuil,
, ^zz++++=EXTRAWORD
formerly ^rb+tm+++=formerly
governor ^nn++++=governor
of ^in++++=of
the ^ati++++=the
Invalides ^np+++??+=Invalides.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
daughter ^nn+nom+++=daughter
Marie ^np++++=Marie,
, ^zz++++=EXTRAWORD
young ^jj++++=young,
, ^zz++++=EXTRAWORD
gentle ^jj++++=gentle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
devoted ^jj+++xvbn+=devoted,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
refused ^vprf+++xvbnx+=refused
to ^to+vcmp+++=to
abandon ^vbi++++=abandon
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
summoned ^vpsv++agls+xvbnx+=summoned
before ^in++++=before
the ^ati++++=the
dreadful ^jj+atrb+++=dreadful
tribunal ^nn+nom+++=tribunal,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
followed ^vbd+vprv++xvbnx+=followed,
, ^zz++++=EXTRAWORD
clinging ^vbg+++xvbg+=clinging
to ^in++++=to
him ^pp3o+pp3+++=him
as ^cs+sub+++=as
though ^cs+sub+++=though
filial ^jj+atrb+++=filial
love ^nn++++=love
might ^md+pos+++=might
form ^vb++++=form
a ^at++++=a
shield ^nn++++=shield
that ^tht+rel+++=that
steel ^nn++++=steel
could ^md+pos+++=could
not ^xnot++not++=not
pierce ^vb++++=pierce.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man
was ^vbd+bedz+aux++=was
condemned ^vpsv++agls+xvbnx+=condemned
almost ^rb+hdg+++=almost
before ^cs+sub+++=before
the ^ati++++=the
questions ^nns+nom+++=questions
had ^vbd+hvd+aux++=had
ceased ^vprf+++xvbnx+=ceased.
. ^zz++++=EXTRAWORD
The ^ati++++=The
doors ^nns++++=doors
opened ^vbd+++xvbn+=opened.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
them ^pp3o+pp3+++=them
stood ^vbd+++xvbn+=stood
the ^ati++++=the
executioners ^nns+nom+++=executioners,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
arms ^nns++++=arms
red ^jj++++=red
with ^in++++=with
the ^ati++++=the
work ^nn++++=work
already ^rb++++=already
done ^vbd+++xvbn+=done.
. ^zz++++=EXTRAWORD
Marie ^np++++=Marie
darted ^vbd+++xvbn+=darted
forward ^rb++++=forward.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
father ^nn++++=father
is ^vbz+bez+vrb++=is
innocent ^jj+pred+++=innocent!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ruffians ^nns++++=ruffians
bade ^vbd+++xvbn+=bade
her ^pp$+pp3+++=her
stand ^vb++++=stand
aside ^rp++++=aside.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
father ^nn++++=father,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
answered ^vbd+vpub++xvbnx+=answered.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
kill ^vb++++=kill
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
kill ^vb++++=kill
me ^pp1o+pp1+++=me
first ^rb++++=first."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
theatrical ^jj++++=theatrical
in ^cs+sub+++=in
that ^cs"++++=that
appeal ^nn++++=appeal,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
scene ^nn++++=scene
has ^vbz+hvz+vrb++=has
since ^cs+sub+++=since
been ^nn+ben+++=been
represented ^vpsv++by+xvbnx+=represented
by ^in++++=by
painter ^nn++++=painter
and ^cc++++=and
poet ^nn++++=poet.
. ^zz++++=EXTRAWORD
The ^ati++++=The
daughter ^nn+nom+++=daughter
saw ^vbd+vprv++xvbn+=saw
death ^nn++++=death
fearfully ^rb++++=fearfully
close ^jj++++=close;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
weapons ^nns++++=weapons,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stains ^nns++++=stains
upon ^in++++=upon
the ^ati++++=the
pavement ^nn+nom+++=pavement,
, ^zz++++=EXTRAWORD
the ^ati++++=the
distorted ^jj+atrb++xvbn+=distorted
faces ^nns++++=faces
of ^in++++=of
men ^nns++++=men
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
forgotten ^vprf+++xvbnx+=forgotten
mercy ^nn++++=mercy.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
shrink ^vb++++=shrink.
. ^zz++++=EXTRAWORD
Youth ^nn++++=Youth
pleaded ^vbd+vpub++xvbn+=pleaded
for ^in++++=for
age ^nn++++=age;
; ^zz++++=EXTRAWORD
weakness ^nns+nom+++=weakness
confronted ^vbd+++xvbn+=confronted
violence ^nn+nom+++=violence;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
purity ^nn++++=purity
stood ^vbd+++xvbn+=stood
where ^wrb+who+++=where
hardened ^jj+atrb++xvbn+=hardened
men ^nns++++=men
trembled ^vbd+++xvbn+=trembled
to ^to++++=to
stand ^vbi++++=stand.
. ^zz++++=EXTRAWORD
For ^in++++=For
an ^at++++=an
instant ^nn+nom+++=instant
the ^ati++++=the
mob ^nn++++=mob
wavered ^vbd+++xvbn+=wavered.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
assassins ^nns+++??+=assassins,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
in ^in++++=in
brutal ^jj+atrb+++=brutal
sport ^nn++++=sport
or ^cc++++=or
in ^in++++=in
a ^at++++=a
sudden ^jj+atrb+++=sudden
desire ^nn++++=desire
to ^to+ncmp+++=to
test ^vb++++=test
the ^ati++++=the
courage ^nn+nom+++=courage
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
comprehend ^nn+++??+=comprehend,
, ^zz++++=EXTRAWORD
held ^j+++xvbn+=held
out ^rp+pl+++=out
a ^at++++=a
glass ^nn++++=glass
containing ^vwbg+++xvbg+=containing
a ^at++++=a
red ^jj++++=red
liquid ^jj++++=liquid.
. ^zz++++=EXTRAWORD
" ^zz++++="Drink,"
drink ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
your ^pp$+pp2+++=your
father ^nn++++=father
shall ^md+prd+++=shall
be ^vb+be+aux++=be
saved ^vpsv++agls+xvbnx+=saved."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
afterwards ^rb+tm+splt++=afterwards
reported ^vpsv++agls+xvbnx+=reported
that ^tht+vcmp+++=that
the ^ati++++=the
cup ^nn++++=cup
contained ^vbd+++xvbn+=contained
blood ^nn++++=blood
drawn ^vwbn+++xvbn+=drawn
from ^in++++=from
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
victims ^nns++++=victims.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tale ^nn++++=tale
passed ^vbd+++xvbn+=passed
rapidly ^rb++++=rapidly
through ^in++++=through
France ^np++++=France
and ^cc++++=and
gave ^vbd+++xvbn+=gave
Marie ^np++++=Marie
the ^ati++++=the
sorrowful ^jj+atrb+++=sorrowful
name ^nn++++=name
by ^in++++=by
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
long ^rb++splt++=long
remembered ^vpsv++agls+xvbnx+=remembered.
. ^zz++++=EXTRAWORD
Justice ^nn++++=Justice,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
requires ^vbz++++=requires
us ^pp1o+pp1+++=us
to ^to++++=to
add ^vbi+vpub+++=add
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
herself ^ppl+pp3+++=herself
denied ^vbd+vpub++xvbn+=denied
having ^vbg+++xvbg+=having
drunk ^jj+atrb++xvbn+=drunk
blood ^nn++++=blood;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
probable ^jj+pred+++=probable
that ^tht+jcmp+++=that
the ^ati++++=the
draught ^nn++++=draught
was ^vbd+bedz+vrb++=was
wine ^nn++++=wine,
, ^zz++++=EXTRAWORD
discoloured ^xvbn+++xvbn+=discoloured
perhaps ^rb++++=perhaps
by ^in++++=by
the ^ati++++=the
dreadful ^jj+atrb+++=dreadful
disorder ^nn+nom+++=disorder
of ^in++++=of
the ^ati++++=the
place ^nn++++=place.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
need ^nn++++=need
no ^at++++=no
hideous ^jj+atrb+++=hideous
embellishment ^nn+nom+++=embellishment
to ^to++++=to
magnify ^vbi++++=magnify
her ^pp$+pp3+++=her
heroism ^nn+nom+++=heroism.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
believed ^vbd+vprv+tht0+xvbnx+=believed
herself ^ppl+pp3+++=herself
surrounded ^vpsv++by+xvbn+=surrounded
by ^in++++=by
men ^nns++++=men
capable ^jj++++=capable
of ^in++++=of
any ^dti++++=any
outrage ^nn+nom+++=outrage,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
she ^pp3a+pp3+++=she
accepted ^vbd+vprv++xvbnx+=accepted
the ^ati++++=the
cup ^nn++++=cup.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
drank ^vbd+++xvbnx+=drank.
. ^zz++++=EXTRAWORD
" ^zz++++="Pardon
pardon ^nn++++=EXTRAWORD
for ^in++++=for
Sombreuil ^np+++??+=Sombreuil!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shouted ^vbd+vpub++xvbn+=shouted
some ^dti++++=some.
. ^zz++++=EXTRAWORD
" ^zz++++="Pardon!
pardon ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
the ^ati++++=the
daughter ^nn+nom+++=daughter
take ^vb++++=take
him ^pp3o+pp3+++=him
away ^rp+pl+++=away!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
cry ^nn++++=cry
spread ^vbd+++xvbn+=spread.
. ^zz++++=EXTRAWORD
Those ^dt+pdem+++=Those
who ^whp+rel+obj++=who
a ^at++++=a
moment ^nn++++=moment
before ^cs+sub+++=before
had ^vbd+hvd+aux++=had
demanded ^vprf+++xvbnx+=demanded
the ^ati++++=the
father ^nn++++=father's
's ^$++++=EXTRAWORD
death ^nn++++=death
now ^rn+tm+++=now
applauded ^vbd+++xvbn+=applauded
the ^ati++++=the
child ^nn++++=child
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
braved ^vprf+++xvbnx+=braved
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Marie ^np++++=Marie
put ^vbd+++xvbn+=put
her ^pp$+pp3+++=her
arm ^vb++++=arm
around ^rp++++=around
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
strength ^nn++++=strength
had ^vb+hv+aux++=had
nearly ^rb+down+splt++=nearly
failed ^vprf+++xvbnx+=failed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
led ^vbd+++xvbn+=led
him ^pp3o+pp3+++=him
through ^in++++=through
the ^ati++++=the
dreadful ^jj+atrb+++=dreadful
court ^nn++++=court.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
cannot ^md+pos+not++=cannot
imagine ^vb+vprv+++=imagine
the ^ati++++=the
feelings ^nns+nom+++=feelings
with ^in++++=with
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
crossed ^vbd+++xvbnx+=crossed
that ^dt+dem+++=that
pavement ^nn+nom+++=pavement,
, ^zz++++=EXTRAWORD
passed ^j+++xvbn+=passed
the ^ati++++=the
weapons ^nns++++=weapons
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
lowered ^vpsv++agls+xvbnx+=lowered
for ^in++++=for
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reached ^vbd+++xvbn+=reached
the ^ati++++=the
outer ^jjb+atrb+++=outer
air ^nn++++=air.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
step ^nn++++=step
appeared ^vbd+seem++xvbn+=appeared
a ^at++++=a
deliverance ^nn+nom+++=deliverance.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
shout ^vb++++=shout
behind ^rp+pl+++=behind
them ^pp3o+pp3+++=them
might ^md+pos+++=might
have ^vb+hv+aux++=have
recalled ^vprf+++xvbnx+=recalled
them ^pp3o+pp3+++=them
to ^in++++=to
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Near ^in+pl+++=Near
them ^pp3o+pp3+++=them
in ^in++++=in
captivity ^nn+nom+++=captivity
was ^vbd+bedz+vrb++=was
another ^ppls++++=another
father ^npt++++=father,
, ^zz++++=EXTRAWORD
Jacques ^np++++=Jacques
Cazotte ^np+++??+=Cazotte,
, ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
of ^in++++=of
letters ^nns+nom+++=letters
already ^rb++++=already
advanced ^jj+++xvbn+=advanced
in ^in++++=in
years ^nns++++=years.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
daughter ^nn+nom+++=daughter
Elizabeth ^np++++=Elizabeth
had ^vb+hv+aux++=had
also ^rb++splt++=also
followed ^vprf+++xvbnx+=followed
him ^pp3o+pp3+++=him
to ^in++++=to
prison ^nn++++=prison.
. ^zz++++=EXTRAWORD
Cazotte ^np++++=Cazotte's
's ^$++++=EXTRAWORD
bald ^jj+atrb+++=bald
forehead ^nn++++=forehead,
, ^zz++++=EXTRAWORD
white ^jj+atrb+++=white
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
feeble ^jj+atrb+++=feeble
frame ^nn++++=frame
might ^md+pos+++=might
have ^vb+hv+aux++=have
awakened ^vprf+++xvbnx+=awakened
pity ^nn++++=pity
in ^in++++=in
men ^nns++++=men
less ^rbr++++=less
frantic ^jj++++=frantic;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
September ^nr+nom+++=September
murderers ^nns+nom+++=murderers
regarded ^vwbn+++xvbn+=regarded
grey ^np++++=grey
hairs ^nns++++=hairs
not ^xnot++not++=not
as ^in++++=as
a ^at++++=a
claim ^vb++++=claim
to ^to+vcmp+++=to
reverence ^nn+nom+++=reverence,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^in++++=as
an ^at++++=an
easy ^jj+atrb+++=easy
mark ^nn++++=mark
for ^in++++=for
the ^ati++++=the
sword ^nn++++=sword.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
brought ^vpsv++agls+xvbnx+=brought
out ^rb+phrv+++=out
and ^cc++++=and
ordered ^vpsv++agls+xvbn+=ordered
to ^to+vcmp+++=to
death ^vb++++=death.
. ^zz++++=EXTRAWORD
Elizabeth ^np++++=Elizabeth
placed ^vwbn+++xvbn+=placed
herself ^ppl+pp3+++=herself
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
cannot ^md+pos+not++=cannot
reach ^vb++++=reach
my ^pp$+pp1+++=my
father ^nn++++=father,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="without
without ^in++++=EXTRAWORD
passing ^nn++++=passing
through ^in++++=through
my ^pp$+pp1+++=my
heart ^nn++++=heart."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
executioners ^nns+nom+++=executioners
commanded ^vbd+vpub++xvbn+=commanded
her ^pp$+pp3+++=her
to ^to++++=to
withdraw ^vbi++++=withdraw.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
clasped ^vbd+++xvbnx+=clasped
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
more ^rbr++++=more
closely ^rb++++=closely.
. ^zz++++=EXTRAWORD
" ^zz++++="Strike
strike ^nn++++=EXTRAWORD
us ^pp1o+pp1+++=us
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
not ^xnot++not++=not
leave ^nn++++=leave
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
people ^nns++++=people
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
witnessed ^vprf+++xvbnx+=witnessed
Marie ^np++++=Marie
de ^&fw++++=de
Sombreuil ^np++++=Sombreuil's
's ^$++++=EXTRAWORD
devotion ^nn+nom+++=devotion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
image ^nn++++=image
of ^in++++=of
that ^dt+dem+++=that
noble ^jj+atrb+++=noble
courage ^nn+nom+++=courage
had ^vb+hv+vrb++=had
not ^xnot++not++=not
wholly ^rb++++=wholly
faded ^jj+++xvbn+=faded
from ^in++++=from
minds ^nns++++=minds
so ^rb++++=so
violently ^rb++++=violently
changeable ^jj++++=changeable.
. ^zz++++=EXTRAWORD
A ^at++++=A
murmur ^nn++++=murmur
passed ^vbd+++xvbn+=passed
among ^in++++=among
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
called ^jj+++xvbn+=called
Elizabeth ^np++++=Elizabeth
a ^at++++=a
brave ^jj+atrb+++=brave
child ^nn++++=child;
; ^zz++++=EXTRAWORD
others ^aps++++=others
declared ^nn+++xvbn+=declared
that ^tht+ncmp+++=that
so ^ql+emph+++=so
good ^jj++++=good
a ^at++++=a
daughter ^nn+nom+++=daughter
must ^md+nec+++=must
not ^xnot++not++=not
be ^vb+be+aux++=be
murdered ^vpsv++agls+xvbnx+=murdered.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cry ^nn++++=cry
of ^in++++=of
pardon ^nn++++=pardon
arose ^vbd+++xvbn+=arose
once ^rb+tm+++=once
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
go ^vb++++=go!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+aux++=is
saved ^vpsv++agls+xvbnx+=saved
for ^in++++=for
his ^pp$+pp3+++=his
daughter ^nn+nom+++=daughter's
's ^$++++=EXTRAWORD
sake ^nn++++=sake!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
Cazotte ^np+++??+=Cazotte
also ^rb++++=also
passed ^vbd+++xvbn+=passed
alive ^jj++++=alive
through ^in++++=through
the ^ati++++=the
gate ^nn++++=gate
of ^in++++=of
death ^nn++++=death.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
blessed ^vbd+++xvbnx+=blessed
Elizabeth ^np++++=Elizabeth,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
joy ^nn++++=joy
was ^vbd+bedz+vrb++=was
solemn ^jj+pred+++=solemn,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
too ^ql++++=too
well ^rb++++=well
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
escaped ^vprf+++xvbnx+=escaped
the ^ati++++=the
murderers ^nns+nom+++=murderers,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
hatred ^nn++++=hatred
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
delivered ^vprf+++xvbnx+=delivered
him ^pp3o+pp3+++=him
into ^in++++=into
their ^pp$+pp3+++=their
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
for ^in++++=for
that ^dt+dem+++=that
day ^nn++++=day,
, ^zz++++=EXTRAWORD
the ^ati++++=the
father ^nn++++=father
was ^vbd+bedz+aux++=was
restored ^vpsv++agls+xvbnx+=restored
to ^in++++=to
his ^pp$+pp3+++=his
child ^nn++++=child,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
child ^nn++++=child
received ^vbd+++xvbn+=received
the ^ati++++=the
earthly ^jj+atrb+++=earthly
reward ^nn++++=reward
of ^in++++=of
her ^pp$+pp3+++=her
devotion ^nn+nom+++=devotion.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
every ^at++++=every
prayer ^nn++++=prayer
prevailed ^vbd+++xvbn+=prevailed.
. ^zz++++=EXTRAWORD
Madame ^npt++++=Madame
de ^&fw++++=de
Fausse ^np+++??+=Fausse
Lendry ^np+++??+=Lendry
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
the ^ati++++=the
prison ^nn++++=prison
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
attend ^vb++++=attend
an ^at++++=an
uncle ^nn++++=uncle
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
dangerously ^rb++++=dangerously
ill ^jj+pred+++=ill.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
watched ^vprf+++xvbnx+=watched
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him
amid ^in++++=amid
increasing ^xvbg+++xvbg+=increasing
confusion ^nn++++=confusion,
, ^zz++++=EXTRAWORD
hoping ^vbg+vprv++xvbg+=hoping
that ^tht+vcmp+++=that
sickness ^nns+nom+++=sickness,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
disarm ^vb++++=disarm
cruelty ^nn++++=cruelty.
. ^zz++++=EXTRAWORD
Surely ^rb+cnj+++=Surely,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
men ^nns++++=men
who ^whp+rel+subj++=who
claimed ^vbd+vpub++xvbn+=claimed
to ^to+vcmp+++=to
punish ^vbi++++=punish
enemies ^nns++++=enemies
of ^in++++=of
the ^ati++++=the
nation ^nn++++=nation
would ^md+prd+++=would
not ^xnot++not++=not
butcher ^nn++++=butcher
one ^cd1++++=one
already ^rb++++=already
lying ^vbg+++xvbg+=lying
helpless ^jj++++=helpless
upon ^in++++=upon
his ^pp$+pp3+++=his
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
A ^at++++=A
sentry ^nn++++=sentry,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
heart ^nn++++=heart
