# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
September ^nr+nom+++=September
was ^vbd+bedz+vrb++=was
dependent ^jj+pred+++=dependent;
; ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore
her ^pp$+pp3+++=her
will ^md+prd+++=will
was ^vbd+bedz+vrb++=was
a ^at++++=a
crime ^nn++++=crime.
. ^zz++++=EXTRAWORD
Lady ^npt++++=Lady
Ursula ^np+++??+=Ursula
could ^md+pos+++=could
separate ^jj++++=separate
us ^pp1o+pp1+++=us
by ^in++++=by
a ^at++++=a
word ^nn++++=word,
, ^zz++++=EXTRAWORD
immure ^nn+++??+=immure
Bertha ^np+++??+=Bertha
behind ^in+pl+++=behind
holy ^jj+atrb+++=holy
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
bestow ^vb++++=bestow
her ^pp$+pp3+++=her
upon ^in++++=upon
some ^dti++++=some
rich ^jj+atrb+++=rich
suitor ^nn++++=suitor
as ^ql++++=as
reward ^vb++++=reward
for ^in++++=for
a ^at++++=a
flattering ^jj+atrb+++=flattering
bow ^nn++++=bow.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sought ^vbd+++xvbnx+=sought
employment ^nn+nom+++=employment
with ^in++++=with
the ^ati++++=the
desperation ^nn+nom+++=desperation
of ^in++++=of
a ^at++++=a
storm ^nn++++=storm-tossed
- ^zz++++=EXTRAWORD
tossed ^vbd+++xvbn+=EXTRAWORD
sailor ^nn++++=sailor
who ^whp+rel+subj++=who
sees ^vbz+vprv+++=sees
one ^cd1++++=one
light ^nn++++=light
upon ^in++++=upon
a ^at++++=a
limitless ^jj+atrb+++=limitless
shore ^nn++++=shore.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
first ^od++++=first
entered ^vprf+++xvbn+=entered
the ^ati++++=the
service ^nn++++=service
of ^in++++=of
Cornelius ^np+++??+=Cornelius
Agrippa ^np+++??+=Agrippa.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
name ^nn++++=name
was ^vbd+bedz+aux++=was
already ^rb++splt++=already
uttered ^vpsv++agls+xvbnx+=uttered
with ^in++++=with
fear ^nn++++=fear
from ^in++++=from
Cologne ^np++++=Cologne
to ^in++++=to
Milan ^np++++=Milan.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
called ^jj+++xvbn+=called
him ^pp3o+pp3+++=him
philosopher ^nn+nom+++=philosopher,
, ^zz++++=EXTRAWORD
some ^dti++++=some
magician ^nn++++=magician,
, ^zz++++=EXTRAWORD
some ^dti++++=some
servant ^nn+nom+++=servant
of ^in++++=of
Satan ^np++++=Satan.
. ^zz++++=EXTRAWORD
Peasants ^nns+nom+++=Peasants
crossed ^vbd+++xvbn+=crossed
themselves ^ppls+pp3+++=themselves
when ^wrb+who+++=when
his ^pp$+pp3+++=his
black ^jj+atrb+++=black
horse ^nn++++=horse
passed ^vbd+++xvbn+=passed;
; ^zz++++=EXTRAWORD
scholars ^nns++++=scholars
denounced ^vbd+++xvbn+=denounced
the ^ati++++=the
books ^nns++++=books
they ^pp3a+pp3+++=they
secretly ^rb++++=secretly
desired ^vb+++xvbn+=desired
to ^to+vcmp+++=to
read ^vbn+vprv++xvbn+=read;
; ^zz++++=EXTRAWORD
priests ^nns++++=priests
warned ^vbd+vpub+tht0+xvbn+=warned
their ^pp$+pp3+++=their
flocks ^nns++++=flocks
that ^tht+rel+obj++=that
his ^pp$+pp3+++=his
furnaces ^nns++++=furnaces
were ^vbd+bed+aux++=were
fed ^vpsv++by+xvbnx+=fed
by ^in++++=by
the ^ati++++=the
bones ^nns++++=bones
of ^in++++=of
unbaptized ^jj+atrb++xvbn+=unbaptized
children ^nns++++=children.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
nothing ^pn++++=nothing
of ^in++++=of
his ^pp$+pp3+++=his
learning ^nvbg+++xvbg+=learning
and ^cc++++=and
cared ^vprf+++xvbn+=cared
little ^ap++++=little
for ^in++++=for
his ^pp$+pp3+++=his
reputation ^nn+nom+++=reputation.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
offered ^vbd+++xvbnx+=offered
wages ^nns++++=wages.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
sufficient ^jj+pred+++=sufficient.
. ^zz++++=EXTRAWORD
Agrippa ^np+++??+=Agrippa
inhabited ^vbd+++xvbn+=inhabited
an ^at++++=an
ancient ^jj+atrb+++=ancient
house ^nn++++=house
beyond ^in++++=beyond
the ^ati++++=the
town ^nn++++=town
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
ground ^nn++++=ground
descended ^vbd+++xvbn+=descended
toward ^in++++=toward
a ^at++++=a
marsh ^nn++++=marsh.
. ^zz++++=EXTRAWORD
The ^ati++++=The
building ^jj+++xvbg+=building
had ^vb+hv+aux++=had
once ^cs+tm+++=once
belonged ^vprf+++xvbn+=belonged
to ^in++++=to
monks ^nns++++=monks;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
chapel ^npl++++=chapel
served ^vbd+++xvbn+=served
as ^ql++++=as
his ^pp$+pp3+++=his
library ^nn+nom+++=library,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
refectory ^nn++++=refectory
as ^in++++=as
a ^at++++=a
laboratory ^nn++++=laboratory,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
burial ^nn++++=burial
vaults ^nns++++=vaults
of ^in++++=of
their ^pp$+pp3+++=their
use ^nn++++=use
I ^pp1a+pp1+++=I
never ^rb++++=never
inquired ^vbd+++xvbn+=inquired.
. ^zz++++=EXTRAWORD
All ^abn++++=All
night ^nn++++=night
strange ^jj++++=strange
lights ^vbz++++=lights
moved ^vbd+++xvbn+=moved
behind ^in+pl+++=behind
the ^ati++++=the
narrow ^jj+atrb+++=narrow
windows ^nns++++=windows.
. ^zz++++=EXTRAWORD
Acrid ^jj+atrb+++=Acrid
vapours ^nns++++=vapours
mingled ^vbd+++xvbn+=mingled
with ^in++++=with
scents ^nns++++=scents
delicious ^jj++++=delicious
as ^in++++=as
the ^ati++++=the
breath ^nn++++=breath
of ^in++++=of
Arabia ^np++++=Arabia.
. ^zz++++=EXTRAWORD
At ^rb++++=At
times ^nns++++=times
the ^ati++++=the
earth ^nn++++=earth
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
throb ^vbi++++=throb
beneath ^in+pl+++=beneath
the ^ati++++=the
furnaces ^nns++++=furnaces,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blue ^jj+atrb+++=blue
flame ^nn++++=flame
crept ^vbd+++xvbn+=crept
over ^in++++=over
the ^ati++++=the
floor ^nn++++=floor
without ^in++++=without
consuming ^nn++++=consuming
aught ^vbd+++xvbn+=aught
it ^pp3+it+++=it
touched ^vbd+++xvbn+=touched.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
the ^ati++++=the
terrible ^jj+atrb+++=terrible
alchymist ^nn+nom+++=alchymist,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
the ^ati++++=the
vulgar ^nn++++=vulgar
imagined ^vbd+vprv++xvbn+=imagined
commanding ^jj+atrb++xvbg+=commanding
legions ^nns+++??+=legions
of ^in++++=of
spirits ^nns++++=spirits,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
frequently ^rb++++=frequently
in ^in++++=in
need ^in"++++=need
of ^in"++++=of
a ^at++++=a
boy ^nn++++=boy
to ^to++++=to
carry ^vbi++++=carry
charcoal ^nn+nom+++=charcoal,
, ^zz++++=EXTRAWORD
grind ^nn+++??+=grind
minerals ^nns+nom+++=minerals,
, ^zz++++=EXTRAWORD
scour ^vb++++=scour
vessels ^nns++++=vessels,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
keep ^vb++++=keep
a ^at++++=a
steady ^jj+atrb+++=steady
fire ^nn++++=fire
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
slept ^vbd+++xvbnx+=slept.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
office ^nn++++=office.
. ^zz++++=EXTRAWORD
For ^in++++=For
nearly ^rb+down+++=nearly
a ^at++++=a
year ^nn++++=year
I ^pp1a+pp1+++=I
served ^vbd+++xvbnx+=served
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
metals ^nns++++=metals
dissolve ^vb++++=dissolve,
, ^zz++++=EXTRAWORD
powders ^nns+nom+++=powders
explode ^vb++++=explode,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drops ^nns++++=drops
of ^in++++=of
colourless ^jj+atrb+++=colourless
fluid ^nn++++=fluid
eat ^vb++++=eat
holes ^nns++++=holes
through ^in++++=through
iron ^nn++++=iron.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
a ^at++++=a
glass ^nn++++=glass
globe ^nn++++=globe
filled ^vbd+++xvbn+=filled
itself ^ppl++++=itself
with ^in++++=with
moving ^xvbg+++xvbg+=moving
shadows ^nps++++=shadows,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
chamber ^nn++++=chamber
was ^vbd+bedz+vrb++=was
empty ^jj+pred+++=empty
and ^cc++++=and
the ^ati++++=the
lamp ^nn++++=lamp
extinguished ^vbd+++xvbn+=extinguished.
. ^zz++++=EXTRAWORD
Again ^rb+cnj+++=Again,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
voice ^nn++++=voice
issue ^nn++++=issue
from ^in++++=from
a ^at++++=a
sealed ^jj+atrb++xvbn+=sealed
vessel ^nn++++=vessel,
, ^zz++++=EXTRAWORD
murmuring ^vbg+++xvbg+=murmuring
in ^in++++=in
a ^at++++=a
language ^nn+nom+++=language
unknown ^jj++++=unknown
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Agrippa ^np+++??+=Agrippa
rebuked ^vbd+++xvbn+=rebuked
my ^pp$+pp1+++=my
terror ^nn++++=terror.
. ^zz++++=EXTRAWORD
" ^zz++++="Fear,"
fear ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
ignorance ^nn+nom+++=ignorance
kneeling ^vwbg+++xvbg+=kneeling
before ^in++++=before
its ^pp$+it+++=its
own ^ap++++=own
image ^nn++++=image."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
severe ^jj+pred+++=severe,
, ^zz++++=EXTRAWORD
absorbed ^j+++xvbn+=absorbed,
, ^zz++++=EXTRAWORD
capricious ^jj++++=capricious;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
cruel ^jj++++=cruel.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
paid ^vpsv++by+xvbn+=paid
by ^in++++=by
some ^dti++++=some
wealthy ^jj+atrb+++=wealthy
patron ^nn++++=patron,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
paid ^vbd+++xvbnx+=paid
me ^pp1o+pp1+++=me
generously ^rb++++=generously;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
abandoned ^vpsv++by+xvbn+=abandoned
by ^in++++=by
fortune ^nn++++=fortune,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
forgot ^vbd+vprv++xvbnx+=forgot
both ^abx++++=both
his ^pp$+pp3+++=his
own ^ap++++=own
hunger ^nn++++=hunger
and ^cc++++=and
mine ^nn++++=mine.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyes ^nns++++=eyes
burned ^vbd+++xvbn+=burned
with ^in++++=with
that ^cs+sub+++=that
inward ^jjb+atrb+++=inward
fever ^nn++++=fever
which ^whp+rel+obj++=which
consumes ^nns+++??+=consumes
men ^nns++++=men
who ^whp+rel+subj++=who
seek ^vb++++=seek
to ^to+vcmp+++=to
tear ^vb++++=tear
from ^in++++=from
Nature ^nn++++=Nature
the ^ati++++=the
secrets ^nns++++=secrets
she ^pp3a+pp3+++=she
has ^vbz+hvz+aux++=has
hidden ^vprf+++xvbnx+=hidden
beneath ^in+pl+++=beneath
rock ^npl++++=rock,
, ^zz++++=EXTRAWORD
star ^nn++++=star,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
grave ^nn++++=grave.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
left ^vbd+++xvbnx+=left
him ^pp3o+pp3+++=him
at ^rb++++=at
last ^rb"++++=last
because ^cs+cos+++=because
Bertha ^np+++??+=Bertha
entreated ^vbd+++xvbn+=entreated
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
grow ^vb++++=grow
pale ^nn++++=pale
in ^cs+sub+++=in
that ^cs"++++=that
accursed ^nn++++=accursed
house ^npl++++=house,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
clothes ^nns++++=clothes
smell ^nn++++=smell
of ^in++++=of
sulphur ^nn++++=sulphur;
; ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
dreams ^nps++++=dreams
are ^vb+ber+aux++=are
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
demons ^nns++++=demons.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
Winzy ^np+++??+=Winzy.
. ^zz++++=EXTRAWORD
Better ^jjr+atrb+++=Better
poverty ^nn++++=poverty
beneath ^in+pl+++=beneath
the ^ati++++=the
sun ^nn++++=sun
than ^in++++=than
gold ^nn++++=gold
earned ^vbd+++xvbn+=earned
in ^in++++=in
a ^at++++=a
sorcerer ^jjr+atrb+++=sorcerer's
's ^vbz+bez+vrb++0=EXTRAWORD
dungeon ^nn++++=dungeon."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
obeyed ^vbd+++xvbnx+=obeyed.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
happy ^jj+atrb+++=happy
obedience ^nn+nom+++=obedience
brief ^nn++++=brief
and ^cc++++=and
ruinous ^jj++++=ruinous!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
laboured ^vbd+++xvbnx+=laboured
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
could ^md+pos+++=could,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
work ^nn++++=work
was ^vbd+bedz+vrb++=was
scarce ^jj+pred+++=scarce
and ^cc++++=and
wages ^nns++++=wages
mean ^nn++++=mean.
. ^zz++++=EXTRAWORD
Lady ^npt++++=Lady
Ursula ^np+++??+=Ursula
discovered ^vbd+vprv++xvbn+=discovered
our ^pp$+pp1+++=our
attachment ^nn+nom+++=attachment,
, ^zz++++=EXTRAWORD
redoubled ^j+++xvbn+=redoubled
her ^pp3o+pp3+++=her
vigilance ^nn+nom+++=vigilance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
forbade ^vbd+++xvbn+=forbade
Bertha ^np+++??+=Bertha
to ^to++++=to
leave ^vbi++++=leave
the ^ati++++=the
castle ^nn++++=castle
except ^in++++=except
on ^in++++=on
feast ^nn++++=feast-days.
- ^zz++++=EXTRAWORD
days ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Soon ^rb+tm+++=Soon
a ^at++++=a
new ^jj+atrb+++=new
figure ^nn++++=figure
appeared ^vbd+seem++xvbn+=appeared
upon ^in++++=upon
its ^pp$+it+++=its
terraces ^nns++++=terraces:
: ^zz++++=EXTRAWORD
Albert ^np++++=Albert
Hoffer ^np+++??+=Hoffer,
, ^zz++++=EXTRAWORD
the ^ati++++=the
son ^nn++++=son
of ^in++++=of
a ^at++++=a
wealthy ^jj+atrb+++=wealthy
magistrate ^nn+nom+++=magistrate.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rode ^vbd+++xvbnx+=rode
a ^at++++=a
white ^jj+atrb+++=white
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
wore ^j+++xvbn+=wore
a ^at++++=a
chain ^nn++++=chain
of ^in++++=of
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
never ^rb++++=never
in ^in++++=in
his ^pp$+pp3+++=his
life ^nn++++=life
desired ^vbd+vsua++xvbn+=desired
what ^wdt+who+whcl++=what
money ^nn++++=money
could ^md+pos+++=could
not ^xnot++not++=not
procure ^vb++++=procure.
. ^zz++++=EXTRAWORD
Lady ^npt++++=Lady
Ursula ^np+++??+=Ursula
received ^vbd+++xvbn+=received
him ^pp3o+pp3+++=him
with ^in++++=with
smiles ^nn++++=smiles
reserved ^vbd+++xvbn+=reserved
for ^in++++=for
the ^ati++++=the
prosperous ^nn++++=prosperous.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
hunted ^vbd+++xvbnx+=hunted
in ^in++++=in
her ^pp$+pp3+++=her
forests ^nns++++=forests,
, ^zz++++=EXTRAWORD
supped ^j+++xvbn+=supped
at ^rb++++=at
her ^pp3o+pp3+++=her
table ^nn++++=table,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sang ^nc+++xvbn+=sang
beneath ^rb++++=beneath
Bertha ^np++++=Bertha's
's ^$++++=EXTRAWORD
window ^nn++++=window
with ^in++++=with
a ^at++++=a
voice ^nn++++=voice
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
melodious ^jj++++=melodious,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
richly ^rb++splt++=richly
accompanied ^vpsv++by+xvbnx+=accompanied
by ^in++++=by
lutes ^nns+++??+=lutes.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
I ^pp1a+pp1+++=I
laughed ^vbd+++xvbnx+=laughed.
. ^zz++++=EXTRAWORD
Could ^md+pos+++=Could
Bertha ^vb+++??+=Bertha
prefer ^vb+vprv+++=prefer
that ^tht+vcmp+++=that
perfumed ^vprf+++xvbn+=perfumed
popinjay ^nn++++=popinjay
to ^in++++=to
the ^ati++++=the
companion ^nn++++=companion
of ^in++++=of
her ^pp$+pp3+++=her
childhood ^nn+nom+++=childhood?
? ^zz++++=EXTRAWORD
Could ^md+pos+++=Could
a ^at++++=a
gold ^nn++++=gold
buckle ^nn++++=buckle
outweigh ^vb++++=outweigh
ten ^cd++++=ten
years ^nns++++=years
of ^in++++=of
devotion ^nn+nom+++=devotion?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
laughed ^vbd+++xvbnx+=laughed
then ^rn+tm+++=then
doubted ^vbd+vprv++xvbn+=doubted
then ^rn+tm+++=then
watched ^vbd+++xvbn+=watched.
. ^zz++++=EXTRAWORD
Jealousy ^nn++++=Jealousy
does ^vbz+doz+aux++=does
not ^xnot++not++=not
enter ^vb++++=enter
the ^ati++++=the
breast ^nn++++=breast
like ^in++++=like
an ^at++++=an
armed ^jj+++xvbn+=armed
invader ^jjr++++=invader;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
steals ^vbz++++=steals
in ^in++++=in
as ^in++++=as
mist ^nn++++=mist
creeps ^nns+++??+=creeps
through ^in++++=through
a ^at++++=a
ruined ^jj+atrb++xvbn+=ruined
casement ^nn+nom+++=casement.
. ^zz++++=EXTRAWORD
A ^at++++=A
look ^nn++++=look
becomes ^vbz++++=becomes
a ^at++++=a
confession ^nn++++=confession,
, ^zz++++=EXTRAWORD
silence ^nn+nom+++=silence
a ^at++++=a
conspiracy ^nn+nom+++=conspiracy,
, ^zz++++=EXTRAWORD
a ^at++++=a
smile ^nn++++=smile
an ^at++++=an
oath ^nn++++=oath
of ^in++++=of
inconstancy ^nn+++??+=inconstancy.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
Bertha ^np+++??+=Bertha
walking ^vwbg+++xvbg+=walking
beside ^in+pl+++=beside
Albert ^np++++=Albert
in ^in++++=in
the ^ati++++=the
linden ^np++++=linden
avenue ^nn++++=avenue.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
listened ^vbd+++xvbnx+=listened
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke;
; ^zz++++=EXTRAWORD
once ^rb+tm+++=once
she ^pp3a+pp3+++=she
laughed ^vbd+++xvbnx+=laughed.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
laugh ^nn++++=laugh!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
the ^ati++++=the
music ^nn++++=music
of ^in++++=of
our ^pp$+pp1+++=our
forest ^nn++++=forest
rambles ^vbz++++=rambles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
the ^ati++++=the
rich ^jj++++=rich
fool ^jjb++++=fool
possessed ^jj+++xvbn+=possessed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
at ^rb++++=at
last ^rb"++++=last
she ^pp3a+pp3+++=she
contrived ^vbd+++xvbnx+=contrived
to ^to++++=to
meet ^vbi++++=meet
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
sullen ^jj+pred+++=sullen.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
found ^vprf+++xvbnx+=found
cheerful ^jj+atrb+++=cheerful
company ^nn++++=company,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
coloured ^vbd+++xvbnx+=coloured.
. ^zz++++=EXTRAWORD
" ^zz++++="Lady
lady ^npt++++=EXTRAWORD
Ursula ^np+++??+=Ursula
commanded ^vbd+vpub++xvbn+=commanded
me ^pp1o+pp1+++=me
to ^to++++=to
attend ^vbi++++=attend
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
commanded ^vbd+vpub++xvbn+=commanded
you ^pp2+pp2+++=you
to ^to++++=to
laugh ^vbi++++=laugh?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
I ^pp1a+pp1+++=I
laughed ^vbd+++xvbnx+=laughed
at ^in+ppvb+++=at
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
appear ^vb+seem+++=appear
contemptuous ^jj++++=contemptuous."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
watch ^vb++++=watch
less ^rbr++++=less
closely ^rb++++=closely."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Or
or ^cc++++=EXTRAWORD
love ^nn++++=love
less ^rbr++++=less
dearly ^rb++++=dearly?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
proud ^jj+atrb+++=proud
eyes ^nns++++=eyes
flashed ^vbd+++xvbn+=flashed.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
your ^pp$+pp2+++=your
love ^nn++++=love
consists ^nns+nom+++=consists
of ^in++++=of
suspicion ^nn++++=suspicion
and ^cc++++=and
reproach ^nn++++=reproach,
, ^zz++++=EXTRAWORD
less ^ql++++=less
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
blessing ^nn++++=blessing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
turned ^vbd+++xvbnx+=turned
from ^in++++=from
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
caught ^vbd+++xvbnx+=caught
her ^pp$+pp3+++=her
hand ^nn++++=hand;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
withdrew ^vbd+++xvbnx+=withdrew
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Words ^nns++++=Words
followed ^vbd+vprv++xvbn+=followed
hot ^jj++++=hot,
, ^zz++++=EXTRAWORD
foolish ^jj+atrb+++=foolish,
, ^zz++++=EXTRAWORD
poisonous ^jj+atrb+++=poisonous
words ^nns++++=words,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
passion ^nn++++=passion
forges ^&fw++++=forges
and ^cc++++=and
repentance ^nn+nom+++=repentance
can ^md+pos+++=can
never ^rb++splt++=never
wholly ^rb++++=wholly
destroy ^vb++++=destroy.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
accused ^vbd+++xvbnx+=accused
me ^pp1o+pp1+++=me
of ^in++++=of
idleness ^nns+nom+++=idleness;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
accused ^vbd+++xvbnx+=accused
her ^pp$+pp3+++=her
of ^in++++=of
vanity ^nn++++=vanity.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
spoke ^vbd+++xvbnx+=spoke
Albert ^np++++=Albert's
's ^$++++=EXTRAWORD
name ^nn++++=name;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
called ^vbd+++xvbnx+=called
her ^pp3o+pp3+++=her
false ^jj++++=false.
. ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
she ^pp3a+pp3+++=she
grew ^vbd+++xvbnx+=grew
white ^jj++++=white.
. ^zz++++=EXTRAWORD
" ^zz++++="False?"
false ^jj++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
repeated ^vbd+++xvbnx+=repeated.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
seek ^vb++++=seek
one ^cd1++++=one
truer ^jjr++++=truer."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
departed ^vbd+++xvbnx+=departed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remained ^vbd+++xvbnx+=remained
beneath ^in+pl+++=beneath
the ^ati++++=the
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
listening ^jj+++xvbg+=listening
to ^in++++=to
the ^ati++++=the
retreat ^nn++++=retreat
