# ^zz++++=##
# ^zz++++=EXTRAWORD
Indian ^jj+atrb+++=INDIAN
Then ^rn+tm+++=Then
Maine ^np++++=Maine
gave ^vbd+++xvbn+=gave
a ^rb++++=a
little ^rb"++++=little
cry ^nn++++=cry
and ^cc++++=and
darted ^vbd+++xvbn+=darted
down ^rp++++=down
the ^ati++++=the
slope ^nn++++=slope.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
look ^vb++++=look!
! ^zz++++=EXTRAWORD
Look ^vb++++=Look
here ^rn+pl+++=here!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
woods ^nns++++=woods,
, ^zz++++=EXTRAWORD
behind ^in+pl+++=behind
a ^at++++=a
screen ^nn++++=screen
of ^in++++=of
hazel ^np++++=hazel,
, ^zz++++=EXTRAWORD
grew ^j+++xvbn+=grew
a ^at++++=a
thicket ^nn++++=thicket
whose ^whp+rel+obj++=whose
branches ^nns++++=branches
were ^vbd+bed+aux++=were
covered ^vpsv++agls+xvbnx+=covered
with ^in++++=with
brilliant ^jj+atrb+++=brilliant
scarlet ^jj+atrb+++=scarlet
leaves ^nns++++=leaves.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
merely ^rb+down+++=merely
red ^jj++++=red;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
possessed ^vbd+++xvbnx+=possessed
the ^ati++++=the
deep ^jj+atrb+++=deep,
, ^zz++++=EXTRAWORD
glowing ^jj+atrb++xvbg+=glowing
color ^nn++++=color
of ^in++++=of
embers ^nns++++=embers
when ^wrb+who+++=when
the ^ati++++=the
flame ^nn++++=flame
has ^vbz+hvz+aux++=has
just ^rb+emph+splt++=just
withdrawn ^vprf+++xvbnx+=withdrawn
a ^at++++=a
scarlet ^jj++++=scarlet
so ^ql++++=so
rich ^np++++=rich
that ^tht+rel+obj++=that
the ^ati++++=the
girls ^nns++++=girls
gathered ^vbd+++xvbn+=gathered
about ^rb++++=about
them ^pp3o+pp3+++=them
with ^in++++=with
exclamations ^nns+nom+++=exclamations.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
are ^vb+ber+vrb++=are
gorgeous ^jj+pred+++=gorgeous!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Georgia ^np+++??+=Georgia.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
are ^vb+ber+vrb++=are
Napoleonic ^jj+pred+++=Napoleonic,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Massachusetts ^np+++??+=Massachusetts.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
conquer ^vb++++=conquer
everything ^pn++++=everything
in ^in++++=in
sight ^nn++++=sight."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Maine ^np++++=Maine
broke ^vbd+++xvbn+=broke
off ^rb+phrv+++=off
a ^at++++=a
small ^jj+atrb+++=small
spray ^nn++++=spray
and ^cc++++=and
held ^vbd+vprv+tht0+xvbn+=held
it ^pp3+it+++=it
against ^in++++=against
her ^pp$+pp3+++=her
blue ^jj+atrb+++=blue
serge ^nn++++=serge
blouse ^nn++++=blouse.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
October ^nr++++=October.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
wear ^vb++++=wear
my ^pp$+pp1+++=my
yellow ^jj+atrb+++=yellow
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
with ^in++++=with
these ^dt+dem+++=these
leaves ^nns++++=leaves
around ^rp++++=around
the ^ati++++=the
skirt ^nn++++=skirt
and ^cc++++=and
in ^in++++=in
my ^pp$+pp1+++=my
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
enough ^qlp++++=enough
branches ^nns++++=branches
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
mantle ^nn++++=mantle."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
look ^vb++++=look
like ^in++++=like
the ^ati++++=the
calendar ^nn++++=calendar
over ^in++++=over
the ^ati++++=the
library ^nn+nom+++=library
desk ^nn++++=desk,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tennessee ^np+nom+++=Tennessee.
. ^zz++++=EXTRAWORD
" ^zz++++="Only
only ^rb+down+++=EXTRAWORD
more ^rbr++++=more
respectable ^jj++++=respectable."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=mustn't
n't ^xnot++not++0=EXTRAWORD
strip ^vb++++=strip
the ^ati++++=the
whole ^jj+atrb+++=whole
bush ^nn++++=bush,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Maine ^np++++=Maine
said ^vbd+vpub++xvbn+=said
conscientiously ^rb++++=conscientiously.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
come ^vb++++=come
for ^in+ppvb+++=for
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
need ^vb++++=need
to ^to+vcmp+++=to-morrow.
- ^zz++++=EXTRAWORD
morrow ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
else ^rb+cnj+++=else
is ^vbz+bez+vrb++=is
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
find ^vbi+vprv+tht0++=find
it ^pp3+it+++=it
behind ^in+pl+++=behind
all ^abn++++=all
this ^dt+dem+++=this
hazel ^np++++=hazel."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
one ^cd1++++=one
but ^cc++++=but
us ^pp1o+pp1+++=us,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Vermont ^np+++??+=Vermont.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
Chicago ^np++++=Chicago,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
added ^vbd+vpub++xvbn+=added
Georgia ^np+++??+=Georgia
in ^in++++=in
a ^at++++=a
lower ^jjr+atrb+++=lower
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="Chicago?"
chicago ^np++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Maine ^np++++=Maine
turned ^vbd+++xvbn+=turned.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+whq++=EXTRAWORD
is ^vbz+bez+vrb++=is
she ^pp3a+pp3+++=she?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Wasn't
was ^vbd+bedz+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
she ^pp3a+pp3+++=she
following ^jj+++xvbg+=following
us ^pp1o+pp1+++=us?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tennessee ^np+nom+++=Tennessee.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
disappeared ^vbd+seem++xvbnx+=disappeared
when ^wrb+who+++=when
Massachusetts ^np+++??+=Massachusetts
began ^vbd+++xvbn+=began
her ^pp$+pp3+++=her
funeral ^nn++++=funeral
oration ^nn+nom+++=oration
over ^in++++=over
the ^ati++++=the
play ^nn++++=play.
. ^zz++++=EXTRAWORD
A ^at++++=A
reasonable ^jj+atrb+++=reasonable
act ^nn++++=act."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
twenty ^cd++++=twenty
feet ^nns++++=feet
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
Chicago ^np++++=Chicago
stood ^vbd+++xvbn+=stood
behind ^in+pl+++=behind
the ^ati++++=the
trunk ^nn++++=trunk
of ^in++++=of
a ^at++++=a
beech ^nn++++=beech
and ^cc++++=and
heard ^vbd+vprv++xvbn+=heard
every ^at++++=every
word ^nn++++=word.
. ^zz++++=EXTRAWORD
Chicago ^np++++=Chicago's
's ^$++++=EXTRAWORD
name ^nn++++=name
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
really ^rb+emph+++=really
Chicago ^vb++++=Chicago
any ^dti++++=any
more ^rbr++++=more
than ^in++++=than
Maine ^np++++=Maine's
's ^$++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
Maine ^np++++=Maine.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
custom ^nn++++=custom
at ^in++++=at
Miss ^npt++++=Miss
Auden ^np++++=Auden's
's ^$++++=EXTRAWORD
to ^to++++=to
give ^vbi++++=give
the ^ati++++=the
girls ^nns++++=girls
geographical ^jj+atrb+++=geographical
names ^nns++++=names
according ^in+cmpx+++=according
to ^in"++++=to
their ^pp$+pp3+++=their
homes ^nrs++++=homes;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
since ^in++++=since
two ^cd++++=two
Helens ^np++++=Helens,
, ^zz++++=EXTRAWORD
three ^cd++++=three
Marys ^np+++??+=Marys,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
four ^cd++++=four
Elizabeths ^np+++??+=Elizabeths
inhabited ^vbd+++xvbn+=inhabited
the ^ati++++=the
senior ^jj+atrb+++=senior
corridor ^nn++++=corridor,
, ^zz++++=EXTRAWORD
the ^ati++++=the
custom ^nn++++=custom
was ^vbd+bedz+vrb++=was
useful ^jj+pred+++=useful
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
picturesque ^jj++++=picturesque.
. ^zz++++=EXTRAWORD
Chicago ^np++++=Chicago
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
school ^nn++++=school
only ^rb+down+++=only
three ^cd++++=three
weeks ^nns++++=weeks
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
expected ^vprf+++xvbnx+=expected
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
admired ^vpsv++agls+xvbnx+=admired
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
from ^in+ppvb+++=from
a ^at++++=a
great ^jj+atrb+++=great
city ^nn++++=city
and ^cc++++=and
possessed ^vbd+++xvbn+=possessed
a ^at++++=a
seal ^nn++++=seal
ring ^nn++++=ring,
, ^zz++++=EXTRAWORD
a ^at++++=a
traveling ^nn+nom+++=traveling
clock ^nn++++=clock,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
knowledge ^nn++++=knowledge
of ^in++++=of
restaurants ^nns+nom+++=restaurants.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
discovered ^vprf+++xvbnx+=discovered
that ^tht+vcmp+++=that
Massachusetts ^np+++??+=Massachusetts
was ^vbd+bedz+vrb++=was
funnier ^jjr+pred+++=funnier
than ^cs+sub+++=than
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
Tennessee ^np+nom+++=Tennessee
cleverer ^jjr++++=cleverer,
, ^zz++++=EXTRAWORD
Georgia ^np+++??+=Georgia
prettier ^jjr++++=prettier,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Maine ^np++++=Maine
more ^rbr++++=more
important ^jj++++=important
without ^in++++=without
seeming ^vb+seem++xvbg+=seeming
to ^to+vcmp+++=to
know ^vbi+vprv+tht0++=know
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
discovery ^nn+nom+++=discovery
had ^vb+hv+vrb++=had
not ^xnot++not++=not
improved ^jj+++xvbn+=improved
her ^pp3o+pp3+++=her
temper ^nn++++=temper.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
the ^ati++++=the
girls ^nns++++=girls
settled ^vbd+++xvbn+=settled
again ^rb+tm+++=again
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Maine ^np++++=Maine
drew ^vbd+++xvbn+=drew
a ^at++++=a
notebook ^nn++++=notebook
from ^in++++=from
her ^pp$+pp3+++=her
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
need ^nn++++=need
a ^at++++=a
committee ^nn+nom+++=committee
for ^in++++=for
decorations ^nns+nom+++=decorations,
, ^zz++++=EXTRAWORD
one ^pn++++=one
for ^in++++=for
refreshments ^nns+nom+++=refreshments,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one
for ^in++++=for
music ^nn++++=music."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Put
put ^vbd+++xvbn+=EXTRAWORD
Chicago ^np++++=Chicago
on ^in++++=on
refreshments ^nns+nom+++=refreshments,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Georgia ^np+++??+=Georgia
suggested ^vbd+vpub++xvbn+=suggested.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she
can ^md+pos+++=can
make ^vb++++=make
fudge ^nn+++??+=fudge."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Chicago
chicago ^np++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she
can ^md+pos+++=can
do ^vb+do+vrb++=do
everything ^pn++++=everything,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Massachusetts ^np+++??+=Massachusetts
replied ^vbd+vpub++xvbn+=replied.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me
yesterday ^nr+tm+++=yesterday
that ^tht+rel+obj++=that
our ^pp$+pp1+++=our
gymnasium ^nn++++=gymnasium
is ^vbz+bez+vrb++=is
a ^at++++=a
chicken ^nn++++=chicken
coop ^nn+++??+=coop
compared ^vbd+++xvbn+=compared
with ^in++++=with
the ^ati++++=the
one ^cd1++++=one
at ^rb++++=at
her ^pp3o+pp3+++=her
former ^ap++++=former
school ^nn++++=school."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
rather ^rb++++=rather
" ^zz++++="
Vermont ^np+++??+=Vermont
hesitated ^vbd+++xvbn+=hesitated.
. ^zz++++=EXTRAWORD
" ^zz++++="Rather
rather ^rb++++=EXTRAWORD
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Maine ^np++++=Maine.
. ^zz++++=EXTRAWORD
" ^zz++++="Slippery."
slippery ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Georgia ^np+++??+=Georgia.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
prickly ^jj+pred+++=prickly."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
gives ^vbz++++=gives
me ^pp1o+pp1+++=me
the ^ati++++=the
feeling ^jj+++xvbg+=feeling
of ^in++++=of
being ^nn+nn+aux++=being
examined ^vwbn+++xvbn+=examined
by ^in++++=by
an ^at++++=an
Inquisitor ^np+++??+=Inquisitor,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tennessee ^np+nom+++=Tennessee.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say
good ^jj++++=good-morning,
- ^zz++++=EXTRAWORD
morning ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
suspects ^vbz+vprv+++=suspects
a ^at++++=a
hidden ^jj+atrb++xvbn+=hidden
insult ^nn++++=insult."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
does ^vbz+doz+aux++=does
try ^vb++++=try
to ^to+vcmp+++=to
bite ^vbi++++=bite
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
head ^jjb++++=head
off ^rp+pl+++=off,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Massachusetts ^np+++??+=Massachusetts
agreed ^vbd+vpub++xvbn+=agreed.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
animal ^nn++++=animal
bites ^nns++++=bites
everything ^pn++++=everything?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
snapping ^jj+atrb++xvbg+=snapping
turtle ^nn+++??+=turtle,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
offered ^xvbn+++xvbn+=offered
Vermont ^np+++??+=Vermont.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
mosquito ^nn+++??+=mosquito."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
wolf ^nn++++=wolf."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
snake ^nn++++=snake,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Maine ^np++++=Maine
absently ^rb+cnj+++=absently,
, ^zz++++=EXTRAWORD
writing ^vbg+++xvbg+=writing
" ^zz++++="Refreshments
refreshments ^nns+nom+++=EXTRAWORD
Chicago ^np++++=Chicago."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
word ^nn++++=word
had ^vb+hv+aux++=had
scarcely ^rb+down+splt++=scarcely
left ^vprf+++xvbnx+=left
her ^pp3o+pp3+++=her
lips ^nns++++=lips
before ^cs+sub+++=before
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
up ^rp++++=up,
, ^zz++++=EXTRAWORD
distressed ^j+++xvbn+=distressed.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
mean ^vb+vprv+tht0++=mean
that ^tht+vcmp+++=that!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
horrid ^jj+atrb+++=horrid
thing ^nn++++=thing
to ^to++++=to
say ^vbi+vpub+++=say!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+vrb++=is
new ^jj+pred+++=new
and ^cc+phrs+++=and
lonely ^jj++++=lonely,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
half ^abn++++=half
kind ^nn++++=kind
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
ask ^vb++++=ask
her ^pp$+pp3+++=her
to ^to++++=to
serve ^vbi++++=serve
on ^in++++=on
the ^ati++++=the
chief ^jjb+atrb+++=chief
committee ^nn+nom+++=committee
with ^in++++=with
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
the ^ati++++=the
beech ^np++++=beech
tree ^nn++++=tree
Chicago ^np++++=Chicago's
's ^$++++=EXTRAWORD
cheeks ^nns++++=cheeks
burned ^vbd+++xvbn+=burned.
. ^zz++++=EXTRAWORD
A ^at++++=A
snake ^nn++++=snake!
! ^zz++++=EXTRAWORD
So ^ql++++=So
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
thought ^vbd+++xvbnx+=thought
her ^pp3o+pp3+++=her
a ^at++++=a
slippery ^jj++++=slippery,
, ^zz++++=EXTRAWORD
biting ^vbg+++xvbg+=biting
snake ^nn++++=snake!
! ^zz++++=EXTRAWORD
Maine ^np++++=Maine
could ^md+pos+++=could
make ^vb++++=make
the ^ati++++=the
insult ^nn++++=insult
and ^cc++++=and
repent ^vb++++=repent
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
sweet ^jj+atrb+++=sweet
breath ^nn++++=breath,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
would ^md+prd+++=would
all ^rb++splt++=all
admire ^vb++++=admire
her ^pp$+pp3+++=her
conscience ^nn+nom+++=conscience.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
Maine ^np++++=Maine's
's ^$++++=EXTRAWORD
way ^nn++++=way.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
Maine ^np++++=Maine
stepped ^vbd+++xvbn+=stepped
on ^in++++=on
a ^at++++=a
beetle ^nn++++=beetle,
, ^zz++++=EXTRAWORD
the ^ati++++=the
class ^nn++++=class
praised ^vbd+++xvbn+=praised
her ^pp$+pp3+++=her
for ^in++++=for
feeling ^xvbg+++xvbg+=feeling
sorry ^uh++++=sorry;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
Chicago ^np++++=Chicago
offered ^vbd+++xvbn+=offered
an ^at++++=an
opinion ^nn++++=opinion,
, ^zz++++=EXTRAWORD
Massachusetts ^np+++??+=Massachusetts
rolled ^vbd+++xvbn+=rolled
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes
and ^cc++++=and
Tennessee ^np+nom+++=Tennessee
made ^vbd+++xvbn+=made
some ^dti++++=some
cutting ^jj+++xvbg+=cutting
little ^ap++++=little
speech ^nn++++=speech.
. ^zz++++=EXTRAWORD
Chicago ^np++++=Chicago
drew ^vbd+++xvbn+=drew
back ^jjb++++=back
silently ^rb++++=silently.
. ^zz++++=EXTRAWORD
A ^at++++=A
twig ^nn++++=twig
snapped ^vbd+++xvbn+=snapped
beneath ^in+pl+++=beneath
her ^pp$+pp3+++=her
shoe ^nn++++=shoe,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
group ^nn++++=group
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall
was ^vbd+bedz+aux++=was
now ^rn+tm+splt++=now
debating ^vbg+++xvbgx+=debating
whether ^cs+who+++=whether
pumpkins ^nns+++??+=pumpkins,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
hollowed ^jj+++xvbn+=hollowed,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
safely ^rb++splt++=safely
hold ^vb+vprv+++=hold
candles ^nns++++=candles
indoors ^rn+pl+++=indoors.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
show ^vb++++=show
them ^pp3o+pp3+++=them
who ^whp+who+++=who
is ^vbz+bez+vrb++=is
slippery ^jj+pred+++=slippery,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Chicago ^np++++=Chicago
whispered ^vbd+++xvbn+=whispered.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
show ^vb+vprv+++=show
October ^nr++++=October
how ^wrb+who+++=how
a ^at++++=a
snake ^nn++++=snake
can ^md+pos+++=can
bite ^vb++++=bite."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
went ^vbd+++xvbnx+=went
home ^nr++++=home
by ^in++++=by
the ^ati++++=the
lower ^jjr+atrb+++=lower
path ^nn++++=path,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
that ^tht+rel+++=that
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
By ^in++++=By
Thursday ^nr++++=Thursday
evening ^nn++++=evening
the ^ati++++=the
school ^nn++++=school
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
a ^at++++=a
delirium ^nn+++??+=delirium
of ^in++++=of
preparation ^nn+nom+++=preparation.
. ^zz++++=EXTRAWORD
Corn ^nn++++=Corn-stalks
- ^zz++++=EXTRAWORD
stalks ^nns+++??+=EXTRAWORD
marched ^vbd+++xvbn+=marched
from ^in++++=from
the ^ati++++=the
kitchen ^nn++++=kitchen
garden ^nn++++=garden
to ^in++++=to
the ^ati++++=the
assembly ^nn++++=assembly
hall ^nn++++=hall.
. ^zz++++=EXTRAWORD
Pumpkins ^np+++??+=Pumpkins
appeared ^vbd+seem++xvbn+=appeared
upon ^in++++=upon
window ^nn++++=window
ledges ^nns+++??+=ledges.
. ^zz++++=EXTRAWORD
The ^ati++++=The
art ^nn++++=art
room ^nn++++=room
surrendered ^vbd+++xvbn+=surrendered
paste ^nn++++=paste,
, ^zz++++=EXTRAWORD
colored ^jj+atrb++xvbn+=colored
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
gilt ^jj+atrb+++=gilt
paint ^nn++++=paint,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
large ^jj+atrb+++=large
rolls ^nns++++=rolls
of ^in++++=of
yellow ^jj++++=yellow
cr ^&fo++++=cr
pe ^nn+++??+=pe.
. ^zz++++=EXTRAWORD
Girls ^nns++++=Girls
rushed ^vbd+++xvbn+=rushed
through ^rb+phrv+++=through
corridors ^nns++++=corridors
carrying ^vwbg+++xvbg+=carrying
baskets ^nns++++=baskets,
, ^zz++++=EXTRAWORD
brooms ^nns++++=brooms,
, ^zz++++=EXTRAWORD
masks ^vbz++++=masks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
