Ivan ^np++++=Ivan
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
saw ^vbd+vprv+tht0+xvbnx+=saw
her ^pp$+pp3+++=her
husband ^nn++++=husband
dressed ^vbd+++xvbn+=dressed
in ^in++++=in
prison ^nn++++=prison
clothes ^nns++++=clothes
and ^cc++++=and
chained ^vpsv++agls+xvbn+=chained
among ^in++++=among
thieves ^nns++++=thieves,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
fell ^vbd+++xvbnx+=fell
to ^in++++=to
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
For ^in++++=For
some ^dti++++=some
time ^nn++++=time
she ^pp3a+pp3+++=she
could ^md+pos+++=could
neither ^rb++splt++=neither
speak ^vb++++=speak
nor ^cc++neg++=nor
move ^nn++++=move.
. ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
raised ^vbd+++xvbn+=raised
her ^pp3o+pp3+++=her
and ^cc++++=and
held ^vbd+vprv++xvbn+=held
the ^ati++++=the
children ^nns++++=children.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
cried ^vbd+++xvbnx+=cried
and ^cc+phrs+++=and
clung ^vbd+++xvbn+=clung
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
told ^vbd+vpub+tht0+xvbnx+=told
her ^pp$+pp3+++=her
all ^abn++++=all
that ^dt+pdem+++=that
had ^vbd+hvd+aux++=had
happened ^vprf+++xvbnx+=happened
and ^cc+phrs+++=and
asked ^vbd+vsua+tht0+xvbn+=asked
her ^pp$+pp3+++=her
to ^to++++=to
send ^vbi++++=send
petitions ^nns+nom+++=petitions
to ^in++++=to
the ^ati++++=the
Czar ^npt++++=Czar.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
already ^rb++splt++=already
sent ^vprf+++xvbnx+=sent
one ^pn++++=one,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+aux++=was
refused ^vpsv++agls+xvbnx+=refused."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
lowered ^vbd+++xvbn+=lowered
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
God ^np++++=God
alone ^rb++++=alone
can ^md+pos+++=can
help ^vb++++=help
us ^pp1o+pp1+++=us."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
in ^in++++=in
a ^at++++=a
low ^jj+atrb+++=low
voice ^nn++++=voice:
: ^zz++++=EXTRAWORD
" ^zz++++="Vanya,
vanya ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me
the ^ati++++=the
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
it ^pp3+it+++=it
not ^xnot++not++=not
you ^pp2+pp2+++=you
who ^whp+who+++=who
did ^vbd+dod+vrb++=did
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
drew ^vbd+++xvbn+=drew
back ^jjb++++=back
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
struck ^vprf+++xvbnx+=struck
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
too ^ql++++=too
believe ^vb+vprv+++=believe
it ^pp3+it+++=it!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
covered ^vbd+++xvbnx+=covered
his ^pp$+pp3+++=his
face ^nn++++=face
with ^in++++=with
his ^pp$+pp3+++=his
hands ^nns++++=hands
and ^cc++++=and
wept ^vbd+++xvbn+=wept.
. ^zz++++=EXTRAWORD
A ^at++++=A
soldier ^nn++++=soldier
came ^vbd+++xvbn+=came
to ^to++++=to
say ^vbi+vpub+++=say
that ^tht+vcmp+++=that
the ^ati++++=the
visit ^nn++++=visit
was ^vbd+bedz+vrb++=was
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife
and ^cc++++=and
children ^nns++++=children
were ^vbd+bed+aux++=were
led ^vpsv++agls+xvbnx+=led
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Aksionov ^np+++??+=Aksionov
never ^rb++++=never
saw ^vbd+vprv++xvbn+=saw
them ^pp3o+pp3+++=them
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
ceased ^vbd+++xvbnx+=ceased
to ^to++++=to
hope ^vbi++++=hope
in ^in++++=in
human ^jj+atrb+++=human
justice ^nn++++=justice.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
own ^ap++++=own
wife ^nn++++=wife
doubts ^nns++++=doubts
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
use ^nn++++=use
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there
in ^in++++=in
begging ^xvbg+++xvbg+=begging
men ^nns++++=men?
? ^zz++++=EXTRAWORD
God ^np++++=God
knows ^vbz+vprv+++=knows
the ^ati++++=the
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
trust ^vb+vprv+++=trust
in ^in++++=in
Him ^pp3o+pp3+++=Him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
tried ^vpsv++agls+xvbnx+=tried
and ^cc++++=and
condemned ^jj+++xvbn+=condemned.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
flogged ^vpsv++agls+xvbnx+=flogged
until ^cs+sub+++=until
the ^ati++++=the
wounds ^nns++++=wounds
on ^in++++=on
his ^pp$+pp3+++=his
back ^jjb++++=back
bled ^jj+++xvbn+=bled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
healed ^vbd+++xvbnx+=healed,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
sent ^vpsv++agls+xvbnx+=sent
in ^in++++=in
chains ^nns++++=chains
to ^in++++=to
Siberia ^np++++=Siberia.
. ^zz++++=EXTRAWORD
Twenty ^cd++++=Twenty-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
years ^nns++++=years
passed ^vbd+++xvbn+=passed.
. ^zz++++=EXTRAWORD
During ^in++++=During
those ^dt+dem+++=those
years ^nns++++=years
Aksionov ^np+++??+=Aksionov
grew ^vbd+++xvbn+=grew
old ^jj++++=old.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
dark ^jj+atrb+++=dark
curls ^nns++++=curls
became ^vbd+++xvbn+=became
white ^jj++++=white,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
his ^pp$+pp3+++=his
wife ^nn++++=wife's
's ^$++++=EXTRAWORD
dream ^nn++++=dream.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
beard ^nn++++=beard
grew ^vbd+++xvbn+=grew
long ^jj++++=long
and ^cc+phrs+++=and
thin ^jj++++=thin.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
back ^jjb++++=back
was ^vbd+bedz+aux++=was
bent ^vpsv++agls+xvbnx+=bent,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
seldom ^rb++++=seldom
laughed ^vbd+++xvbn+=laughed
or ^cc+phrs+++=or
spoke ^vbd+++xvbn+=spoke
of ^in++++=of
his ^pp$+pp3+++=his
former ^ap++++=former
life ^nn++++=life.
. ^zz++++=EXTRAWORD
In ^in++++=In
prison ^nn++++=prison
he ^pp3a+pp3+++=he
learned ^vbd+vprv++xvbnx+=learned
to ^to+vcmp+++=to
make ^vbi++++=make
boots ^nns++++=boots
and ^cc++++=and
earned ^vbd+++xvbn+=earned
a ^rb++++=a
little ^rb"++++=little
money ^nn++++=money.
. ^zz++++=EXTRAWORD
With ^in++++=With
it ^pp3+it+++=it
he ^pp3a+pp3+++=he
bought ^vbd+++xvbnx+=bought
a ^at++++=a
book ^nn++++=book
of ^in++++=of
sacred ^jj+atrb+++=sacred
lives ^nns++++=lives.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
read ^vbd+vprv++xvbnx+=read
whenever ^nn+nom+++=whenever
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
enough ^qlp++++=enough
light ^jj++++=light
in ^in++++=in
the ^ati++++=the
prison ^nn++++=prison,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
Sundays ^nrs++++=Sundays
he ^pp3a+pp3+++=he
read ^vbd+vprv++xvbnx+=read
aloud ^rb++++=aloud
in ^in++++=in
the ^ati++++=the
chapel ^nn++++=chapel
and ^cc++++=and
sang ^vpsv++agls+xvbn+=sang
in ^in++++=in
the ^ati++++=the
choir ^nn++++=choir.
. ^zz++++=EXTRAWORD
The ^ati++++=The
prison ^nn++++=prison
authorities ^nns+nom+++=authorities
respected ^vbd+++xvbn+=respected
him ^pp3o+pp3+++=him
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
obedient ^jj+pred+++=obedient
and ^cc+phrs+++=and
peaceful ^jj++++=peaceful.
. ^zz++++=EXTRAWORD
The ^ati++++=The
prisoners ^nns+nom+++=prisoners
called ^vbd+++xvbn+=called
him ^pp3o+pp3+++=him
" ^zz++++="Gran'dad"
gran ^np++++=EXTRAWORD
'dad" ^nn+++??+=EXTRAWORD
and ^cc++++=and
" ^zz++++="the
the ^ati++++=EXTRAWORD
holy ^jj+atrb+++=holy
man ^nn++++=man."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
quarrelled ^vbd+++xvbnx+=quarrelled,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came
to ^in++++=to
him ^pp3o+pp3+++=him
to ^to++++=to
settle ^vbi++++=settle
the ^ati++++=the
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
send ^vbi++++=send
a ^at++++=a
request ^vb++++=request
to ^to+vcmp+++=to
the ^ati++++=the
governor ^nn++++=governor,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
asked ^vbd+vsua++xvbnx+=asked
him ^pp3o+pp3+++=him
to ^to++++=to
speak ^vbi++++=speak
for ^in++++=for
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
accepted ^vbd+vprv++xvbn+=accepted
their ^pp$+pp3+++=their
respect ^nn++++=respect
without ^in++++=without
pride ^nn++++=pride.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
prayed ^vbd+vsua++xvbnx+=prayed
often ^rb+cnj+++=often,
, ^zz++++=EXTRAWORD
worked ^j+++xvbn+=worked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
waited ^vpsv++agls+xvbn+=waited
for ^in++++=for
death ^nn++++=death.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
whether ^cs+who+++=whether
his ^pp$+pp3+++=his
wife ^nn++++=wife
was ^vbd+bedz+aux++=was
living ^vbg+++xvbgx+=living,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
his ^pp$+pp3+++=his
children ^nns++++=children
remembered ^vwbn+vprv++xvbn+=remembered
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
whether ^cs+who+++=whether
his ^pp$+pp3+++=his
shops ^nns++++=shops
and ^cc++++=and
house ^nn++++=house
still ^rb++++=still
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
the ^ati++++=the
family ^nn++++=family.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
such ^abl++++=such
thoughts ^nns++++=thoughts
had ^vbd+hvd+aux++=had
tormented ^vprf+++xvbnx+=tormented
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
worldly ^jj+atrb+++=worldly
things ^nns++++=things
pass ^nn++++=pass.
. ^zz++++=EXTRAWORD
God ^np++++=God
alone ^rb++++=alone
remains ^nns++++=remains."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day
a ^at++++=a
group ^nn++++=group
of ^in++++=of
new ^jj+atrb+++=new
prisoners ^nns+nom+++=prisoners
arrived ^vbd+++xvbn+=arrived
from ^in++++=from
Vladimir ^np+++??+=Vladimir
province ^nn++++=province.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
evening ^nn++++=evening
the ^ati++++=the
older ^jjr+atrb+++=older
prisoners ^nns+nom+++=prisoners
gathered ^vbd+++xvbn+=gathered
around ^rp++++=around
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
asking ^vbg+vsua++xvbg+=asking
where ^wrb+who+whcl++=where
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came
from ^in+ppvb+++=from
and ^cc+cls+++=and
why ^wrb+who+++=why
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
condemned ^vpsv++agls+xvbnx+=condemned.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
newcomers ^nns+nom+++=newcomers
was ^vbd+bedz+vrb++=was
a ^at++++=a
tall ^jj+atrb+++=tall,
, ^zz++++=EXTRAWORD
strong ^jj+atrb+++=strong
man ^nn++++=man
of ^in++++=of
about ^in++++=about
sixty ^cd++++=sixty.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
beard ^nn++++=beard
was ^vbd+bedz+aux++=was
cut ^vpsv++agls+xvbnx+=cut
short ^jj++++=short,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
although ^cs+con+++=although
his ^pp$+pp3+++=his
hair ^nn++++=hair
was ^vbd+bedz+vrb++=was
grey ^np++++=grey,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
carried ^vbd+++xvbnx+=carried
himself ^ppl+pp3+++=himself
boldly ^rb++++=boldly.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laughed ^vbd+++xvbnx+=laughed
easily ^rb++++=easily
and ^cc++++=and
spoke ^vbd+++xvbn+=spoke
as ^cs+sub+++=as
if ^cs+cnd+++=if
prison ^nn++++=prison
were ^vbd+bed+vrb++=were
only ^ap+down+++=only
another ^ppls++++=another
inn ^npl++++=inn
along ^in++++=along
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
name ^nn++++=name
is ^vbz+bez+vrb++=is
Makar ^np+++??+=Makar
Semyonich ^np+++??+=Semyonich,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
come ^vb++++=come
from ^in+ppvb+++=from
Vladimir ^np+++??+=Vladimir.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
accuse ^vb++++=accuse
me ^pp1o+pp1+++=me
of ^in++++=of
stealing ^xvbg+++xvbg+=stealing
a ^at++++=a
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
only ^ap+down+++=only
borrowed ^jj+++xvbn+=borrowed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
driver ^nn++++=driver
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
police ^nns++++=police
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
care ^nn++++=care
about ^in++++=about
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi+vbi+aux++=have
been ^vprf+ben+aux+xvbn+=been
sent ^vpsv++agls+xvbnx+=sent
here ^rn+pl+++=here
long ^rb++++=long
ago ^rb++++=ago
for ^in++++=for
other ^ap++++=other
matters ^nns+nom+++=matters,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
never ^rb++++=never
caught ^vbd+++xvbn+=caught
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
they ^pp3a+pp3+++=they
send ^vb++++=send
me ^pp1o+pp1+++=me
for ^in++++=for
a ^at++++=a
thing ^nn++++=thing
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
So ^ql++++=So
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
with ^in++++=with
justice ^nn++++=justice."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Aksionov ^np+++??+=Aksionov
heard ^vbd+vprv++xvbn+=heard
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
his ^pp$+pp3+++=his
town ^nn++++=town,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
raised ^vbd+++xvbnx+=raised
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
the ^ati++++=the
merchants ^nns+nom+++=merchants
Aksionov ^np+++??+=Aksionov
in ^in++++=in
Vladimir ^np+++??+=Vladimir?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Know
know ^vb+vprv+++=EXTRAWORD
them ^pp3o+pp3+++=them?
? ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
rich ^jj+atrb+++=rich
merchants ^nns+nom+++=merchants,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
their ^pp$+pp3+++=their
father ^nn++++=father
is ^vbz+bez+vrb++=is
in ^in++++=in
Siberia ^np++++=Siberia.
. ^zz++++=EXTRAWORD
A ^at++++=A
sinner ^nn++++=sinner
like ^in++++=like
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Gran ^np++++=Gran'dad,
'dad, ^nn+++??+=EXTRAWORD
why ^wrb+who+++=why
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
here ^rn+pl+++=here?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
did ^vbd+dod+aux++=did
not ^xnot++not++=not
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
speak ^vbi++++=speak
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
my ^pp$+pp1+++=my
sins ^nns++++=sins,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
spent ^vprf+++xvbnx+=spent
twenty ^cd++++=twenty-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
years ^nns++++=years
in ^in++++=in
chains ^nns++++=chains."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
others ^aps++++=others
told ^vbd+vpub++xvbn+=told
Makar ^np+++??+=Makar
how ^wrb+who+++=how
Aksionov ^np+++??+=Aksionov
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
accused ^vpsv++agls+xvbnx+=accused
of ^in++++=of
murdering ^xvbg+++xvbg+=murdering
a ^at++++=a
merchant ^nn+nom+++=merchant
and ^cc+cls+++=and
how ^wrb+who+++=how
a ^at++++=a
bloody ^jj+atrb+++=bloody
knife ^nn++++=knife
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
his ^pp$+pp3+++=his
bag ^nn++++=bag.
. ^zz++++=EXTRAWORD
Makar ^np+++??+=Makar
slapped ^vbd+++xvbn+=slapped
his ^pp$+pp3+++=his
knee ^nn++++=knee.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
exclaimed ^vbd+++xvbnx+=exclaimed.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
strange ^jj++++=strange!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
how ^wrb+who+++=how
old ^jj++++=old
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
grown ^vprf+++xvbnx+=grown,
, ^zz++++=EXTRAWORD
Gran ^np++++=Gran'dad!"
'dad!" ^nn+++??+=EXTRAWORD
Aksionov ^np+++??+=Aksionov
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
sharply ^rb++++=sharply.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
find ^vb+vprv+++=find
it ^pp3+it+++=it
strange ^jj++++=strange?
? ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
you ^pp2+pp2+++=you
heard ^vbd+vprv++xvbn+=heard
of ^in++++=of
the ^ati++++=the
affair ^nn++++=affair?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
heard ^vbd+vprv++xvbn+=heard
of ^in++++=of
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Makar ^np+++??+=Makar
replied ^vbd+vpub++xvbn+=replied.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
long ^rb++++=long
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
People ^nns++++=People
forget ^vb+vprv+++=forget
such ^abl++++=such
things ^nns++++=things."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
how ^wrb+who+++=how
could ^md+pos+++=could
the ^ati++++=the
knife ^nn++++=knife
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
put ^vpsv++agls+xvbnx+=put
into ^in++++=into
my ^pp$+pp1+++=my
bag ^nn++++=bag?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
Makar ^np+++??+=Makar
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
man ^nn++++=man
who ^whp+rel+subj++=who
put ^vb+++xvbn+=put
it ^pp3+it+++=it
there ^ex+pex+++=there
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
murderer ^nn+nom+++=murderer.
. ^zz++++=EXTRAWORD
Unless ^cs+cnd+++=Unless
the ^ati++++=the
bag ^nn++++=bag
was ^vbd+bedz+vrb++=was
under ^in++++=under
your ^pp$+pp2+++=your
head ^nn++++=head.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
have ^vb+hv+aux++=have
reached ^vprf+++xvbnx+=reached
it ^pp3+it+++=it
without ^in++++=without
waking ^xvbg+++xvbg+=waking
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
these ^dt+dem+++=these
words ^nns++++=words
Aksionov ^np++++=Aksionov's
's ^$++++=EXTRAWORD
heart ^nn++++=heart
began ^vbd+++xvbn+=began
to ^to++++=to
beat ^vbi++++=beat
violently ^rb++++=violently.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
Makar ^np+++??+=Makar
where ^wrb+who+++=where
the ^ati++++=the
bag ^nn++++=bag
had ^vbd+hvd+aux++=had
lain ^vprf+++xvbn+=lain.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
man ^nn++++=man."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
