Among ^in++++=Among
mechanical ^jj+atrb+++=mechanical
ingenuity ^nn+nom+++=ingenuity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
useful ^jj+atrb+++=useful
indifference ^nn+nom+++=indifference
to ^in++++=to
appearances ^nns+nom+++=appearances
which ^whp+rel+subj++=which
permits ^vbz++++=permits
a ^at++++=a
man ^nn++++=man
to ^to++++=to
carry ^vbi++++=carry
files ^nns++++=files
and ^cc++++=and
iron ^nn++++=iron
tools ^nns++++=tools
hidden ^vbd+++xvbn+=hidden
about ^in++++=about
his ^pp$+pp3+++=his
person ^nn++++=person
without ^in++++=without
behaving ^xvbg+++xvbg+=behaving
as ^cs+sub+++=as
though ^cs+sub+++=though
every ^at++++=every
buckle ^nn++++=buckle
proclaimed ^vbd+++xvbn+=proclaimed
high ^jj+atrb+++=high
treason ^nn++++=treason.
. ^zz++++=EXTRAWORD
In ^in++++=In
February ^nr+nom+++=February
1440 ^cd++++=1440,
, ^zz++++=EXTRAWORD
Helen ^np++++=Helen
went ^vbd+++xvbn+=went
to ^in++++=to
Vissegrad ^np+++??+=Vissegrad
under ^in++++=under
a ^at++++=a
lawful ^jj+atrb+++=lawful
pretext ^nn++++=pretext
connected ^vbd+++xvbn+=connected
with ^in++++=with
the ^ati++++=the
removal ^nn++++=removal
of ^in++++=of
the ^ati++++=the
queen ^nn++++=queen's
's ^$++++=EXTRAWORD
household ^nn++++=household
goods ^nns++++=goods.
. ^zz++++=EXTRAWORD
The ^ati++++=The
castle ^nn++++=castle
was ^vbd+bedz+aux++=was
occupied ^vpsv++by+xvbnx+=occupied
by ^in++++=by
persons ^nns++++=persons
who ^whp+rel+subj++=who
knew ^vbd+vprv++xvbn+=knew
her ^pp3o+pp3+++=her
and ^cc++++=and
had ^vb+hv+vrb++=had
no ^at++++=no
reason ^nn++++=reason
to ^to++++=to
suspect ^vbi+vprv+++=suspect
that ^tht+vcmp+++=that
a ^at++++=a
waiting ^jj+++xvbg+=waiting-woman,
- ^zz++++=EXTRAWORD
woman ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
moving ^vbg+++xvbg+=moving
among ^in++++=among
chests ^nns++++=chests
and ^cc++++=and
bedding ^nn++++=bedding,
, ^zz++++=EXTRAWORD
intended ^vpbn+vsua++xvbn+=intended
to ^to+vcmp+++=to
alter ^vbi++++=alter
the ^ati++++=the
succession ^nn++++=succession
of ^in++++=of
a ^at++++=a
kingdom ^nn+nom+++=kingdom.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
the ^ati++++=the
chamber ^nn++++=chamber
containing ^vwbg+++xvbg+=containing
the ^ati++++=the
crown ^nn++++=crown
was ^vbd+bedz+aux++=was
heavily ^rb++splt++=heavily
secured ^vpsv++agls+xvbnx+=secured;
; ^zz++++=EXTRAWORD
the ^ati++++=the
doors ^nns++++=doors
were ^vbd+bed+aux++=were
sealed ^vpsv++agls+xvbnx+=sealed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
locks ^nns++++=locks
strong ^jj++++=strong,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
keys ^nns++++=keys
not ^xnot++not++=not
in ^in++++=in
Helen ^np++++=Helen's
's ^$++++=EXTRAWORD
possession ^nn++++=possession.
. ^zz++++=EXTRAWORD
Worse ^jjr++++=Worse
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
ladies ^nns++++=ladies
of ^in++++=of
the ^ati++++=the
household ^nn++++=household
slept ^vbd+++xvbn+=slept
near ^in+pl+++=near
the ^ati++++=the
place ^nn++++=place,
, ^zz++++=EXTRAWORD
guards ^vbz++++=guards
passed ^vprf+++xvbn+=passed
through ^in++++=through
the ^ati++++=the
passages ^nns+nom+++=passages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
stroke ^nn++++=stroke
of ^in++++=of
a ^at++++=a
hammer ^nn++++=hammer
or ^cc++++=or
rasp ^nn+++??+=rasp
might ^md+pos+++=might
awaken ^vb++++=awaken
inquiry ^nn++++=inquiry.
. ^zz++++=EXTRAWORD
Night ^nn++++=Night
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
The ^ati++++=The
castle ^nn++++=castle
grew ^vbd+++xvbn+=grew
quiet ^jj++++=quiet,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
to ^in++++=to
those ^dt+dem+++=those
engaged ^jj+++xvbn+=engaged
in ^in++++=in
a ^at++++=a
forbidden ^jj+atrb++xvbn+=forbidden
enterprise ^nn++++=enterprise
no ^at++++=no
building ^nvbg+++xvbg+=building
is ^vbz+bez+vrb++=is
ever ^rb++++=ever
wholly ^rb++++=wholly
silent ^jj++++=silent.
. ^zz++++=EXTRAWORD
Beams ^nns++++=Beams
crack ^jjb++++=crack,
, ^zz++++=EXTRAWORD
wind ^nn++++=wind
presses ^nns+nom++??+=presses
against ^in++++=against
casements ^nns+nom+++=casements,
, ^zz++++=EXTRAWORD
sleepers ^nns+nom+++=sleepers
turn ^nn++++=turn
in ^in++++=in
their ^pp$+pp3+++=their
beds ^nns++++=beds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
distant ^jj+atrb+++=distant
footsteps ^nns++++=footsteps
seem ^vb+seem+++=seem
always ^rb++++=always
to ^to++++=to
be ^vbi+vbi+aux++=be
approaching ^vbg+++xvbgx+=approaching
the ^ati++++=the
guilty ^jj+atrb+++=guilty
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Helen ^np++++=Helen's
's ^$++++=EXTRAWORD
accomplice ^nn++++=accomplice
entered ^vbd+++xvbn+=entered
the ^ati++++=the
inner ^jjb+atrb+++=inner
room ^nn++++=room
with ^in++++=with
his ^pp$+pp3+++=his
tools ^nns++++=tools.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
remained ^vbd+++xvbnx+=remained
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
could ^md+pos+++=could
watch ^vb++++=watch
and ^cc++++=and,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
necessary ^jj++++=necessary,
, ^zz++++=EXTRAWORD
give ^vb++++=give
warning ^nn++++=warning.
. ^zz++++=EXTRAWORD
The ^ati++++=The
outer ^jjb+atrb+++=outer
fastenings ^nns++++=fastenings
were ^vbd+bed+aux++=were
overcome ^vpsv++agls+xvbnx+=overcome;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
came ^vbd+++xvbn+=came
the ^ati++++=the
sealed ^jj+atrb++xvbn+=sealed
door ^nn++++=door,
, ^zz++++=EXTRAWORD
the ^ati++++=the
iron ^nn++++=iron
bands ^nns++++=bands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
chest ^nn++++=chest
within ^in+strn+++=within.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
filed ^vbd+++xvbn+=filed,
, ^zz++++=EXTRAWORD
forced ^xvbn+++xvbn+=forced,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
broke ^vbd+++xvbn+=broke.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
sound ^jj++++=sound
appeared ^vb+++xvbn+=appeared
to ^to+vcmp+++=to
Helen ^vbi++++=Helen
loud ^jj++++=loud
enough ^qlp++++=enough
to ^to++++=to
rouse ^vbi++++=rouse
the ^ati++++=the
whole ^jj+atrb+++=whole
fortress ^nns+nom+++=fortress.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
a ^at++++=a
movement ^nn+nom+++=movement
outside ^in+pl+++=outside
caused ^vwbn+++xvbn+=caused
them ^pp3o+pp3+++=them
to ^to++++=to
stop ^vbi++++=stop,
, ^zz++++=EXTRAWORD
scarcely ^rb+down+++=scarcely
breathing ^nvbg+++xvbg+=breathing.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
entered ^vbd+++xvbn+=entered.
. ^zz++++=EXTRAWORD
The ^ati++++=The
work ^nn++++=work
began ^vbd+++xvbn+=began
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
A ^at++++=A
lock ^nn++++=lock
resisted ^vbd+++xvbn+=resisted
with ^in++++=with
that ^dt+dem+++=that
peculiar ^jj+atrb+++=peculiar
obstinacy ^nn+nom+++=obstinacy
by ^in++++=by
which ^whp+rel+pied++=which
lifeless ^jj+atrb+++=lifeless
objects ^nns++++=objects
sometimes ^rb++++=sometimes
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
take ^vbi++++=take
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
authority ^nn+nom+++=authority.
. ^zz++++=EXTRAWORD
The ^ati++++=The
accomplice ^nn++++=accomplice
laboured ^vbd+++xvbn+=laboured
until ^cs+sub+++=until
sparks ^np++++=sparks
and ^cc++++=and
fragments ^nns+nom+++=fragments
fell ^vbd+++xvbn+=fell
near ^in+pl+++=near
the ^ati++++=the
stove ^nn++++=stove.
. ^zz++++=EXTRAWORD
Chains ^nns++++=Chains
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi++vrb++=be
divided ^jj+++xvbn+=divided;
; ^zz++++=EXTRAWORD
seals ^nns++++=seals
must ^md+nec+++=must
be ^vb+be+aux++=be
removed ^vpsv++agls+xvbnx+=removed
without ^in++++=without
rendering ^nn++++=rendering
their ^pp$+pp3+++=their
violation ^nn+nom+++=violation
immediately ^rb+tm+++=immediately
visible ^jj++++=visible;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
obstacle ^nn++++=obstacle
conquered ^vbd+++xvbn+=conquered
revealed ^vbd+vprv++xvbn+=revealed
another ^dt++++=another
behind ^in+pl+++=behind
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Helen ^np++++=Helen
prayed ^vbd+vsua++xvbn+=prayed
to ^in++++=to
the ^ati++++=the
Virgin ^jjb++++=Virgin
and ^cc+phrs+++=and
listened ^jj+++xvbn+=listened
for ^in++++=for
the ^ati++++=the
guard ^nn++++=guard.
. ^zz++++=EXTRAWORD
At ^rb++++=At
length ^rb"++++=length
the ^ati++++=the
final ^jj+atrb+++=final
chest ^nn++++=chest
was ^vbd+bedz+aux++=was
opened ^vpsv++agls+xvbnx+=opened.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
wavering ^jj+atrb+++=wavering
light ^nn++++=light,
, ^zz++++=EXTRAWORD
lay ^j+++xvbn+=lay
the ^ati++++=the
Crown ^nn++++=Crown
of ^in++++=of
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Stephen ^np++++=Stephen.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
at ^rb++++=at
such ^abl++++=such
a ^at++++=a
moment ^nn++++=moment
the ^ati++++=the
sight ^nn++++=sight
imposed ^vbd+++xvbn+=imposed
reverence ^nn+nom+++=reverence.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
plunderers ^nns+nom+++=plunderers
admiring ^vwbg+++xvbg+=admiring
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
the ^ati++++=the
object ^nn++++=object
at ^rb++++=at
which ^whp+who+++=which
queens ^np++++=queens,
, ^zz++++=EXTRAWORD
bishops ^npt++++=bishops,
, ^zz++++=EXTRAWORD
generals ^nns+nom+++=generals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ambassadors ^npt++++=ambassadors
had ^vbd+hvd+aux++=had
looked ^vprf+++xvbnx+=looked
with ^in++++=with
desire ^nn++++=desire
or ^cc++++=or
fear ^nn++++=fear;
; ^zz++++=EXTRAWORD
the ^ati++++=the
sign ^nn++++=sign
under ^in++++=under
which ^whp+rel+pied++=which
the ^ati++++=the
dead ^jj+atrb+++=dead
king ^npt++++=king
had ^vbd+hvd+aux++=had
ruled ^vprf+++xvbnx+=ruled
and ^cc++++=and
for ^in++++=for
which ^whp+rel+pied++=which
living ^nvbg+++xvbg+=living
men ^nns++++=men
might ^md+pos+++=might
soon ^rb+tm+++=soon
shed ^nn+++xvbn+=shed
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
Helen ^np++++=Helen
took ^vbd+++xvbn+=took
it ^pp3+it+++=it
with ^in++++=with
trembling ^xvbg+++xvbg+=trembling
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
The ^ati++++=The
damaged ^jj+atrb++xvbn+=damaged
locks ^nns++++=locks
and ^cc++++=and
seals ^nns++++=seals
were ^vbd+bed+aux++=were
arranged ^vpsv++agls+xvbnx+=arranged
as ^ql++++=as
nearly ^rb+down+++=nearly
as ^in++++=as
possible ^nn++++=possible
in ^in++++=in
their ^pp$+pp3+++=their
former ^ap++++=former
condition ^nn+nom+++=condition.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
deception ^nn+nom+++=deception
could ^md+pos+++=could
not ^xnot++not++=not
survive ^vb++++=survive
a ^at++++=a
close ^jj+atrb+++=close
examination ^nn+nom+++=examination,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
every ^at++++=every
hour ^nn++++=hour
was ^vbd+bedz+vrb++=was
precious ^jj+pred+++=precious.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
fragment ^nn+nom+++=fragment
of ^in++++=of
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
fastening ^nn++++=fastening
escaped ^vbd+++xvbn+=escaped
notice ^vb+vprv+++=notice
and ^cc+phrs+++=and
remained ^vpsv++agls+xvbn+=remained
near ^in+pl+++=near
the ^ati++++=the
stove ^nn++++=stove
a ^at++++=a
small ^jj+atrb+++=small
witness ^nns+nom+++=witness
capable ^jj++++=capable,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
it ^pp3+it+++=it
been ^vprf+ben+aux+xvbn+=been
observed ^vpsv++agls+xvbnx+=observed
too ^ql++++=too
soon ^rb+cnj+++=soon,
, ^zz++++=EXTRAWORD
of ^in++++=of
defeating ^xvbg+++xvbg+=defeating
the ^ati++++=the
whole ^jj+atrb+++=whole
enterprise ^nn++++=enterprise.
. ^zz++++=EXTRAWORD
The ^ati++++=The
crown ^nn++++=crown
was ^vbd+bedz+aux++=was
placed ^vpsv++agls+xvbnx+=placed
within ^in++++=within
a ^at++++=a
velvet ^nn++++=velvet
cushion ^nn++++=cushion,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
Helen ^np++++=Helen
sewed ^vbd+++xvbn+=sewed
so ^rb++++=so
carefully ^rb++++=carefully
that ^dt+dem+++=that
no ^at++++=no
one ^cd1++++=one
examining ^vbg+++xvbg+=examining
the ^ati++++=the
outside ^nn++++=outside
would ^md+prd+++=would
imagine ^vb+vprv+tht0++=imagine
it ^pp3+it+++=it
contained ^vbd+++xvbn+=contained
anything ^pn++++=anything
more ^rbr++++=more
dangerous ^jj++++=dangerous
than ^in++++=than
feathers ^nns+nom+++=feathers.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
then ^rn+tm+++=then
returned ^vbd+++xvbn+=returned
among ^in++++=among
the ^ati++++=the
sleeping ^jj+atrb++xvbg+=sleeping
household ^nn++++=household.
. ^zz++++=EXTRAWORD
The ^ati++++=The
accomplice ^nn++++=accomplice
concealed ^vbd+++xvbn+=concealed
his ^pp$+pp3+++=his
implements ^nns+nom+++=implements,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
imagines ^vbz+vprv+++=imagines,
, ^zz++++=EXTRAWORD
with ^in++++=with
perfect ^jj+atrb+++=perfect
comfort ^nn++++=comfort,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
two ^cd++++=two
waited ^vbd+++xvbn+=waited
for ^in++++=for
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
daylight ^nn++++=daylight
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
Helen ^np++++=Helen
expected ^vwbn+++xvbn+=expected
accusation ^nn+nom+++=accusation
in ^in++++=in
every ^at++++=every
greeting ^nvbg+++xvbg+=greeting.
. ^zz++++=EXTRAWORD
Servants ^nns+nom+++=Servants
entered ^vbd+++xvbn+=entered
and ^cc+phrs+++=and
departed ^vbd+++xvbn+=departed;
; ^zz++++=EXTRAWORD
baggage ^nn+nom+++=baggage
was ^vbd+bedz+aux++=was
assembled ^vpsv++agls+xvbnx+=assembled;
; ^zz++++=EXTRAWORD
questions ^nns+nom+++=questions
were ^vbd+bed+aux++=were
asked ^vpsv++agls+xvbnx+=asked
concerning ^in++++=concerning
boxes ^nns++++=boxes
and ^cc++++=and
coverings ^nns++++=coverings.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cushion ^nn++++=cushion
attracted ^vbd+++xvbn+=attracted
no ^at++++=no
notice ^nn++++=notice.
. ^zz++++=EXTRAWORD
The ^ati++++=The
party ^nn++++=party
left ^vbd+++xvbn+=left
Vissegrad ^np+++??+=Vissegrad,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
crown ^nn++++=crown
of ^in++++=of
Hungary ^np+nom+++=Hungary
passed ^vbd+++xvbn+=passed
through ^in++++=through
its ^pp$+it+++=its
own ^ap++++=own
guards ^nns++++=guards
in ^in++++=in
an ^at++++=an
article ^nn++++=article
of ^in++++=of
household ^nn++++=household
furniture ^nn++++=furniture.
. ^zz++++=EXTRAWORD
For ^in++++=For
additional ^jj+atrb+++=additional
concealment ^nn+nom+++=concealment
the ^ati++++=the
baggage ^nn+nom+++=baggage
was ^vbd+bedz+aux++=was
covered ^vpsv++agls+xvbnx+=covered
with ^in++++=with
an ^at++++=an
ox ^nn++++=ox-hide,
- ^zz++++=EXTRAWORD
hide ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
tail ^nn++++=tail
of ^in++++=of
which ^whp+rel+pied++=which
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
cut ^vpsv++agls+xvbnx+=cut
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
the ^ati++++=the
sacred ^jj+atrb+++=sacred
regalia ^nns++++=regalia
of ^in++++=of
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Stephen ^np++++=Stephen
travelled ^vbd+++xvbn+=travelled
beneath ^in+pl+++=beneath
a ^at++++=a
hide ^vb++++=hide
whose ^whp+who+++=whose
tail ^nn++++=tail
swung ^vbd+++xvbn+=swung
at ^in++++=at
the ^ati++++=the
rear ^nn++++=rear
of ^in++++=of
the ^ati++++=the
wagon ^nn++++=wagon
a ^at++++=a
circumstance ^nn+nom+++=circumstance
which ^whp+rel+subj++=which
would ^md+prd+++=would
have ^vb+hv+aux++=have
seemed ^vprf+++xvbnx+=seemed
undignified ^jj++++=undignified
had ^vb+hv+vrb++=had
the ^ati++++=the
safety ^nn++++=safety
of ^in++++=of
a ^at++++=a
dynasty ^nn++++=dynasty
not ^xnot++not++=not
depended ^vprf+++xvbn+=depended
upon ^in++++=upon
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
History ^nn++++=History,
, ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
conducted ^vpsv++by+xvbn+=conducted
by ^in++++=by
human ^jj+atrb+++=human
beings ^nns++++=beings,
, ^zz++++=EXTRAWORD
seldom ^rb++++=seldom
maintains ^vbz+vpub+tht0++=maintains
the ^ati++++=the
splendour ^nn++++=splendour
represented ^vbd+++xvbn+=represented
in ^in++++=in
paintings ^nns++++=paintings.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
first ^od++++=first
halt ^vb++++=halt
brought ^vbd+++xvbn+=brought
little ^ap++++=little
relief ^nn++++=relief.
. ^zz++++=EXTRAWORD
Helen ^np++++=Helen
was ^vbd+bedz+aux++=was
exhausted ^vpsv++agls+xvbnx+=exhausted,
, ^zz++++=EXTRAWORD
hungry ^jj++++=hungry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tormented ^vpsv++by+xvbn+=tormented
by ^in++++=by
the ^ati++++=the
conviction ^nn+nom+++=conviction
that ^tht+ncmp+++=that
horsemen ^nns++++=horsemen
must ^md+nec+++=must
already ^rb++++=already
be ^vb+be+aux++=be
following ^vbg+++xvbgx+=following.
. ^zz++++=EXTRAWORD
The ^ati++++=The
breakfast ^nn++++=breakfast
offered ^vbd+++xvbn+=offered
to ^in++++=to
her ^pp$+pp3+++=her
consisted ^vbd+++xvbn+=consisted
chiefly ^rb++++=chiefly
of ^in++++=of
herrings ^nns++++=herrings.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
happier ^jjr+atrb+++=happier
conditions ^nns+nom+++=conditions
these ^dt+pdem+++=these
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
acceptable ^jj++++=acceptable;
; ^zz++++=EXTRAWORD
after ^cs+sub+++=after
a ^at++++=a
night ^nn++++=night
spent ^vbd+++xvbn+=spent
committing ^vbg+++xvbg+=committing
high ^jj+atrb+++=high
treason ^nn++++=treason,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
appeared ^vbd+seem++xvbnx+=appeared
a ^at++++=a
poor ^jj+atrb+++=poor
reward ^nn++++=reward.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
ate ^vbd+++xvbnx+=ate
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
could ^md+pos+++=could,
, ^zz++++=EXTRAWORD
watched ^j+++xvbn+=watched
the ^ati++++=the
doors ^nns++++=doors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
continued ^jj+++xvbn+=continued
her ^pp3o+pp3+++=her
journey ^nn++++=journey.
. ^zz++++=EXTRAWORD
At ^rb++++=At
one ^cd1++++=one
lodging ^nn++++=lodging
the ^ati++++=the
cushion ^nn++++=cushion
was ^vbd+bedz+aux++=was
placed ^vpsv++agls+xvbnx+=placed
so ^pn++++=so
near ^rb++++=near
ordinary ^jj+atrb+++=ordinary
domestic ^jj+atrb+++=domestic
objects ^nns++++=objects
that ^tht+rel+obj++=that
a ^at++++=a
spoon ^nn++++=spoon
lay ^vbd+++xvbn+=lay
across ^in+pl+++=across
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Helen ^np++++=Helen
contemplated ^vwbn+++xvbn+=contemplated
that ^dt+dem+++=that
spoon ^nn++++=spoon
with ^in++++=with
almost ^rb+hdg+++=almost
superstitious ^jj+atrb+++=superstitious
uneasiness ^nns+nom+++=uneasiness.
. ^zz++++=EXTRAWORD
A ^at++++=A
servant ^nn+nom+++=servant
had ^vb+hv+vrb++=had
only ^rb+down+++=only
to ^to++++=to
move ^vbi++++=move
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
press ^nn++++=press
the ^ati++++=the
cushion ^nn++++=cushion,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
remark ^nn++++=remark
upon ^in++++=upon
its ^pp$+it+++=its
unusual ^jj+atrb+++=unusual
weight ^nn++++=weight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beneath ^in+pl+++=beneath
his ^pp$+pp3+++=his
hand ^nn++++=hand
he ^pp3a+pp3+++=he
might ^md+pos+++=might
feel ^vb+vprv+++=feel
the ^ati++++=the
hard ^jj+atrb+++=hard
curve ^nn++++=curve
of ^in++++=of
a ^at++++=a
kingdom ^nn+nom+++=kingdom.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
servants ^nns+nom+++=servants,
, ^zz++++=EXTRAWORD
happily ^rb+cnj+++=happily,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
their ^pp$+pp3+++=their
own ^ap++++=own
concerns ^nns++++=concerns.
. ^zz++++=EXTRAWORD
The ^ati++++=The
spoon ^nn++++=spoon
was ^vbd+bedz+aux++=was
removed ^vpsv++agls+xvbnx+=removed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cushion ^nn++++=cushion
remained ^vbd+++xvbn+=remained
unopened ^vbd+++xvbn+=unopened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
travellers ^nns+nom+++=travellers
went ^vbd+++xvbn+=went
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Danube ^np++++=Danube
presented ^vwbn+++xvbn+=presented
a ^at++++=a
more ^rbr++++=more
substantial ^jj+atrb+++=substantial
danger ^nn++++=danger.
. ^zz++++=EXTRAWORD
Winter ^nn++++=Winter
was ^vbd+bedz+aux++=was
breaking ^vbg+++xvbgx+=breaking;
; ^zz++++=EXTRAWORD
great ^jj+atrb+++=great
pieces ^nns++++=pieces
of ^in++++=of
ice ^nn++++=ice
moved ^vbd+++xvbn+=moved
upon ^in++++=upon
the ^ati++++=the
swollen ^jj+atrb+++=swollen
water ^nn++++=water,
, ^zz++++=EXTRAWORD
striking ^vbg+++xvbg+=striking
one ^cd1++++=one
another ^dt++++=another
and ^cc++++=and
turning ^nvbg+++xvbg+=turning
in ^in++++=in
the ^ati++++=the
current ^nn++++=current.
. ^zz++++=EXTRAWORD
The ^ati++++=The
passage ^nn+nom+++=passage
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
in ^in++++=in
a ^at++++=a
boat ^nn++++=boat
ill ^jj++++=ill-fitted
- ^zz++++=EXTRAWORD
fitted ^vbd+++xvbn+=EXTRAWORD
to ^to++++=to
inspire ^vbi++++=inspire
confidence ^nn+nom+++=confidence
even ^rb++++=even
in ^in++++=in
travellers ^nns+nom+++=travellers
burdened ^vbd+++xvbn+=burdened
only ^rb+down+++=only
with ^in++++=with
their ^pp$+pp3+++=their
lives ^nns++++=lives.
. ^zz++++=EXTRAWORD
Helen ^np++++=Helen
carried ^vbd+++xvbn+=carried,
, ^zz++++=EXTRAWORD
besides ^rb++++=besides
her ^pp$+pp3+++=her
life ^nn++++=life,
, ^zz++++=EXTRAWORD
the ^ati++++=the
crown ^nn++++=crown,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
believed ^vprf+++xvbn+=believed
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
the ^ati++++=the
vessel ^nn++++=vessel
overturned ^vbd+++xvbn+=overturned
she ^pp3a+pp3+++=she
must ^md+nec+++=must
answer ^vb++++=answer
not ^xnot++not++=not
merely ^rb+down+++=merely
for ^in++++=for
drowning ^xvbg+++xvbg+=drowning
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
but ^in++++=but
for ^in"++++=for
casting ^nvbg+++xvbg+=casting
Hungary ^np+nom+++=Hungary's
's ^$++++=EXTRAWORD
sacred ^jj+atrb+++=sacred
treasure ^nn++++=treasure
into ^in++++=into
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boatmen ^nn++++=boatmen
watched ^vbd+++xvbn+=watched
the ^ati++++=the
ice ^nn++++=ice
and ^cc++++=and
pulled ^vbd+++xvbn+=pulled
hard ^jj++++=hard.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
the ^ati++++=the
craft ^nn++++=craft
was ^vbd+bedz+aux++=was
forced ^vpsv++agls+xvbnx+=forced
aside ^rp++++=aside;
; ^zz++++=EXTRAWORD
once ^rb+tm+++=once
a ^at++++=a
floe ^nn+++??+=floe
came ^vbd+++xvbn+=came
so ^pn++++=so
near ^rb++++=near
that ^dt+dem+++=that
those ^dt+dem+++=those
aboard ^in+pl+++=aboard
expected ^vbd+vprv++xvbn+=expected
the ^ati++++=the
thin ^jj+atrb+++=thin
planks ^nns++++=planks
