Wal ^nn++++=Wal,
cleared ^vbd+++xvbn+=cleared
the ^ati++++=the
Parson ^nn++++=Parson
had ^vb+hv+vrb++=had
him ^pp3o+pp3+++=him
by ^in++++=by
both ^abx++++=both
legs ^nns++++=legs.
. ^zz++++=EXTRAWORD
" ^zz++++="There!"
there ^rn+pl+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
pantin ^nn+++??+=pantin'.
'. ^nn+++??+=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
perceive ^vb+vprv+tht0++=perceive
firmness ^nns+nom+++=firmness
has ^vbz+hvz+aux++=has
prevailed ^vprf+++xvbnx+=prevailed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
turkey ^nn++++=turkey
was ^vbd+bedz+vrb++=was
upside ^nn++++=upside
down ^in++++=down
and ^cc++++=and
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
appear ^vb+seem+++=appear
convinced ^vbd+++xvbn+=convinced.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Parson ^nn++++=Parson
lugged ^vwbn+++xvbn+=lugged
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
nest ^nn++++=nest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Huldy ^np+++??+=Huldy
stood ^vwbn+++xvbn+=stood
by ^in++++=by
with ^in++++=with
her ^pp$+pp3+++=her
apron ^nn++++=apron
up ^in+cmpx+++=up
to ^in"++++=to
her ^pp$+pp3+++=her
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sot ^nn+++??+=sot
the ^ati++++=the
bird ^nn++++=bird
atop ^rb++++=atop
them ^pp3o+pp3+++=them
thirteen ^cd++++=thirteen
eggs ^nns++++=eggs
and ^cc++++=and
held ^vbd+vprv++xvbn+=held
him ^pp3o+pp3+++=him
there ^rn+pl+++=there
with ^in++++=with
both ^abx++++=both
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
as ^ql++++=as
solemn ^jj++++=solemn
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
ordainin ^nn+++??+=ordainin'
' ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Remain,"
remain ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
Parson ^nn++++=Parson.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tom ^np++++=tom's
's ^$++++=EXTRAWORD
neck ^nn++++=neck
stretched ^vwbn+++xvbn+=stretched
out ^rp+pl+++=out
a ^at++++=a
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
" ^zz++++="Remain,"
remain ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
Parson ^nn++++=Parson
agin ^nn+++??+=agin.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
turkey ^np++++=turkey
riz ^nn+++??+=riz
straight ^jj++++=straight
up ^rp++++=up,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
Parson ^nn++++=Parson
hangin ^nn+++??+=hangin'
' ^zz++++=EXTRAWORD
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
fussed ^vbd+++xvbnx+=fussed
and ^cc+phrs+++=and
fuzzled ^vbd+++xvbn+=fuzzled
and ^cc+phrs+++=and
wuzzled ^vbd+++xvbn+=wuzzled
all ^abn++++=all
over ^in++++=over
that ^dt+dem+++=that
box ^nn++++=box.
. ^zz++++=EXTRAWORD
Straw ^nn++++=Straw
flew ^vbd+++xvbn+=flew,
, ^zz++++=EXTRAWORD
the ^ati++++=the
board ^nn++++=board
tipped ^vwbn+++xvbn+=tipped,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
eggs ^nns++++=eggs
went ^vbd+++xvbn+=went
crack ^jjb+atrb+++=crack
one ^pn++++=one,
, ^zz++++=EXTRAWORD
two ^cd++++=two,
, ^zz++++=EXTRAWORD
six ^cd++++=six,
, ^zz++++=EXTRAWORD
all ^abn++++=all
on ^rp++++=on
them ^pp3o+pp3+++0='em
till ^in++++=till
the ^ati++++=the
Parson ^nn++++=Parson
slipped ^vbd+++xvbn+=slipped
and ^cc++++=and
sot ^nn+++??+=sot
down ^rp++++=down
square ^npl++++=square
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle.
. ^zz++++=EXTRAWORD
Lordy ^np+++??+=Lordy
massy ^nn+++??+=massy!
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
yellow ^jj+pred+++=yellow
on ^in++++=on
his ^pp$+pp3+++=his
trousers ^nns+nom+++=trousers,
, ^zz++++=EXTRAWORD
shell ^nn++++=shell
on ^in++++=on
his ^pp$+pp3+++=his
cuffs ^nns++++=cuffs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
turkey ^np++++=turkey
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
of ^in++++0=o'
the ^ati++++=the
shed ^jj+++xvbn+=shed
like ^in++++=like
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
converted ^vpsv++agls+xvbnx+=converted
agin ^nn+++??+=agin
domestic ^jj+atrb+++=domestic
life ^nn++++=life
forever ^rb++++=forever.
. ^zz++++=EXTRAWORD
For ^in++++=For
half ^nn++++=half
a ^at++++=a
minute ^nn++++=minute
Huldy ^np+++??+=Huldy
never ^rb++++=never
spoke ^vbd+++xvbn+=spoke.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
gentle ^jj++++=gentle
as ^ql++++=as
could ^md+pos+++=could
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
guess ^vb++++=guess
instinct ^nn++++=instinct
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
wake ^vb++++=wake
up ^rp++++=up."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
Parson ^nn++++=Parson,
, ^zz++++=EXTRAWORD
risin ^nn+++??+=risin'
' ^zz++++=EXTRAWORD
careful ^jj++++=careful.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
be ^vbi++vrb++=be
physiological ^jj+atrb+++=physiological
obstacles ^nns++++=obstacles
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
not ^xnot++not++=not
sufficiently ^rb++++=sufficiently
considered ^vbd+vprv++xvbn+=considered."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
into ^in++++=into
his ^pp$+pp3+++=his
study ^nn++++=study
and ^cc++++=and
took ^vpsv++agls+xvbn+=took
down ^rb+phrv+++=down
the ^ati++++=the
biggest ^jjt+atrb+++=biggest
Hebrew ^jj+atrb+++=Hebrew
book ^nn++++=book
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
Whenever ^nn+nom+++=Whenever
worldly ^jj+atrb+++=worldly
affairs ^nns++++=affairs
proved ^vbd+vprv++xvbn+=proved
unreasonable ^jj++++=unreasonable,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
into ^in++++=into
Hebrew ^nn++++=Hebrew.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
eggs ^nns++++=eggs
in ^in++++=in
Hebrew ^nn++++=Hebrew
to ^to++++=to
break ^vbi++++=break
under ^in++++=under
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
cleaned ^vwbn+++xvbn+=cleaned
the ^ati++++=the
nest ^nn++++=nest,
, ^zz++++=EXTRAWORD
borrowed ^j+++xvbn+=borrowed
fifteen ^cd++++=fifteen
eggs ^nns++++=eggs
from ^in++++=from
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Abner ^np+++??+=Abner
Pease ^np+++??+=Pease,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
set ^nn+++xvbn+=set
a ^rb++++=a
little ^rb"++++=little
speckled ^vbd+++xvbn+=speckled
hen ^nn++++=hen
on ^in++++=on
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
never ^rb++++=never
said ^vbd+vpub++xvbn+=said
one ^cd1++++=one
word ^nn++++=word
round ^in++++=round
the ^ati++++=the
village ^nn+nom+++=village,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither.
. ^zz++++=EXTRAWORD
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
heard ^vbd+vprv+tht0+xvbn+=heard
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
hired ^jj+atrb++xvbn+=hired
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who'd
'd ^vbd+hvd+aux++0=EXTRAWORD
heard ^vprf+++xvbnx+=heard
the ^ati++++=the
gobblin ^nn+++??+=gobblin',
', ^nn+++??+=EXTRAWORD
and ^cc++++=and
by ^in++++=by
night ^nn++++=night
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
improved ^vprf+++xvbnx+=improved
the ^ati++++=the
account ^nn++++=account
so ^ql++++=so
the ^ati++++=the
Parson ^nn++++=Parson
had ^vbd+hvd+aux++=had
tried ^vprf+++xvbnx+=tried
to ^to+vcmp+++=to
hatch ^vbi++++=hatch
the ^ati++++=the
eggs ^nns++++=eggs
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Huldy ^np+++??+=Huldy
always ^rb++++=always
maintained ^vbd+vpub+tht0+xvbn+=maintained
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
turkey ^nn++++=turkey,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
believe ^vb+vprv+tht0++=believe
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
consulted ^vbd+++xvbnx+=consulted
her ^pp$+pp3+++=her
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
enough ^qlp++++=enough
to ^to++++=to
prevent ^vbi++++=prevent
the ^ati++++=the
pig ^nn++++=pig
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
The ^ati++++=The
parish ^nn++++=parish
had ^vbd+hvd+aux++=had
put ^vprf+++xvbnx+=put
up ^rb+phrv+++=up
a ^at++++=a
new ^jj++++=new
well ^rb++++=well-curb,
- ^zz++++=EXTRAWORD
curb ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
handsome ^jj+atrb+++=handsome
square ^nn++++=square
concern ^nn++++=concern
with ^in++++=with
a ^at++++=a
cover ^nn++++=cover
and ^cc++++=and
a ^at++++=a
windlass ^nn++++=windlass.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
stood ^vbd+++xvbn+=stood
near ^in+pl+++=near
the ^ati++++=the
back ^jjb+atrb+++=back
fence ^nn++++=fence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Zeb ^np+++??+=Zeb
White ^np++++=White,
, ^zz++++=EXTRAWORD
the ^ati++++=the
carpenter ^nn+nom+++=carpenter,
, ^zz++++=EXTRAWORD
left ^j+++xvbn+=left
some ^dti++++=some
rails ^nns++++=rails
and ^cc++++=and
boards ^nns++++=boards
around ^in++++=around
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
same ^ap++++=same
week ^nn++++=week
Huldy ^np+++??+=Huldy
bought ^vbd+++xvbn+=bought
a ^rb++++=a
little ^rb"++++=little
spotted ^vbd+++xvbn+=spotted
pig ^nn++++=pig
from ^in++++=from
Liphlet ^np+nom+++=Liphlet's
's ^$++++=EXTRAWORD
farm ^nn++++=farm.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++0=She'd
'd ^vbd+hvd+aux++=EXTRAWORD
bargained ^vprf+++xvbnx+=bargained
him ^pp3o+pp3+++=him
down ^in++++=down
fifty ^cd++++=fifty
cents ^nns++++=cents,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
by ^in++++=by
pointin ^nn+++??+=pointin'
' ^zz++++=EXTRAWORD
out ^rp+pl+++=out
a ^at++++=a
crook ^nn++++=crook
in ^in++++=in
the ^ati++++=the
pig ^nn++++=pig's
's ^$++++=EXTRAWORD
tail ^nn++++=tail
which ^whp+rel+subj++=which
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
injure ^vb++++=injure
the ^ati++++=the
pig ^nn++++=pig
but ^cc++++=but
done ^vbd+++xvbn+=done
considerable ^jj+atrb+++=considerable
harm ^nn++++=harm
to ^in++++=to
Liphlet ^np+nom+++=Liphlet's
's ^$++++=EXTRAWORD
price ^nn++++=price.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pig ^nn++++=pig
was ^vbd+bedz+aux++=was
to ^to++++=to
go ^vbi++++=go
in ^in++++=in
a ^at++++=a
pen ^nn++++=pen
behind ^in+pl+++=behind
the ^ati++++=the
barn ^nn++++=barn.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
before ^cs+sub+++=before
Zeb ^np+++??+=Zeb
finished ^vbd+++xvbn+=finished
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
the ^ati++++=the
critter ^nn++++=critter
got ^vbd+++xvbn+=got
loose ^jj++++=loose.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Parson ^nn++++=Parson
come ^vprf+++xvbn+=come
out ^rp+pl+++=out
from ^in++++=from
a ^at++++=a
funeral ^nn++++=funeral
sermon ^nn++++=sermon
and ^cc++++=and
seen ^vprf+++xvbn+=seen
that ^tht+vcmp+++=that
pig ^nn++++=pig
rootin ^nn+++??+=rootin'
' ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
parsnip ^nn+++??+=parsnip
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
also ^rb++++=also
seen ^vbd+vprv++xvbn+=seen
the ^ati++++=the
new ^jj+atrb+++=new
square ^nn++++=square
structure ^nn++++=structure
by ^in++++=by
the ^ati++++=the
fence ^nn++++=fence
and ^cc++++=and,
, ^zz++++=EXTRAWORD
never ^rb++++=never
havin ^nn+++??+=havin'
' ^zz++++=EXTRAWORD
examined ^vbd+++xvbn+=examined
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
it ^pp3+it+++=it
for ^in++++=for
the ^ati++++=the
pigpen ^nn++++=pigpen.
. ^zz++++=EXTRAWORD
" ^zz++++="Huldy
huldy ^nn+++??+=EXTRAWORD
need ^nn++++=need
not ^xnot++not++=not
be ^vb+be+aux++=be
troubled ^vpsv++agls+xvbnx+=troubled,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
simple ^jj+atrb+++=simple
matter ^nn++++=matter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
chased ^vbd+++xvbnx+=chased
the ^ati++++=the
pig ^nn++++=pig.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pig ^nn++++=pig
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
theological ^jj++++=theological.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
household ^nn++++=household.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
run ^vbd+++xvbnx+=run
through ^rb+phrv+++=through
the ^ati++++=the
beans ^nns++++=beans,
, ^zz++++=EXTRAWORD
round ^in++++=round
the ^ati++++=the
lilacs ^nns++++=lilacs,
, ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
clothesline ^nn+++??+=clothesline,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
between ^in++++=between
the ^ati++++=the
Parson ^np++++=Parson's
's ^$++++=EXTRAWORD
legs ^nns++++=legs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Parson ^nn++++=Parson
ketched ^vbd+++xvbn+=ketched
him ^pp3o+pp3+++=him
at ^rb++++=at
last ^rb"++++=last
by ^in++++=by
the ^ati++++=the
hind ^jjb+atrb+++=hind
parts ^nns++++=parts,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
pig ^nn++++=pig
screeched ^vbd+++xvbn+=screeched
enough ^qlp++++=enough
to ^to++++=to
wake ^vbi++++=wake
Pharaoh ^np+++??+=Pharaoh,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carried ^vbd+++xvbn+=carried
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
kickin ^nn+++??+=kickin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
wrigglin ^nn+++??+=wrigglin',
', ^nn+++??+=EXTRAWORD
to ^in++++=to
the ^ati++++=the
new ^jj+atrb+++=new
curb ^nn++++=curb.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cover ^nn++++=cover
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
nailed ^vbd+++xvbn+=nailed
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Parson ^nn++++=Parson
lifted ^vbd+++xvbn+=lifted
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
remain ^vb++++=remain
where ^wrb+who+++=where
you ^pp2+pp2+++=you
belong ^vb++++=belong,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
dropped ^vbd+++xvbn+=dropped
the ^ati++++=the
pig ^nn++++=pig
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
come ^vprf+++xvbn+=come
a ^at++++=a
splash ^nn++++=splash.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
there ^ex+pex+++=there
come ^vprf+++xvbn+=come
a ^at++++=a
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
there ^ex+pex+++=there
come ^vprf+++xvbn+=come
a ^at++++=a
squeal ^nn++++=squeal
from ^in++++=from
the ^ati++++=the
bowels ^nns+++??+=bowels
of ^in++++=of
the ^ati++++=the
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Parson ^nn++++=Parson
looked ^vbd+++xvbn+=looked
down ^rp++++=down
and ^cc++++=and
seen ^vbd+vprv++xvbn+=seen
the ^ati++++=the
pig ^nn++++=pig
swimmin ^nn+++??+=swimmin'
' ^zz++++=EXTRAWORD
round ^in++++=round
in ^in++++=in
the ^ati++++=the
parish ^nn++++=parish
water ^nn++++=water
supply ^nn++++=supply.
. ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
heard ^vbd+vprv++xvbn+=heard
him ^pp3o+pp3+++=him
callin ^nn+++??+=callin',
', ^nn+++??+=EXTRAWORD
and ^cc++++=and
she ^pp3a+pp3+++=she
come ^vprf+++xvbn+=come
runnin ^nn+++??+=runnin'.
'. ^nn+++??+=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
stop ^vb++++=stop
to ^to++++=to
ask ^vbi++++=ask
how ^wrb+who+++=how
nor ^cc+cls+neg++=nor
why ^wrb+who+++=why.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
fetched ^vbd+++xvbnx+=fetched
a ^at++++=a
clothes ^nns++++=clothes-basket,
- ^zz++++=EXTRAWORD
basket ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
tied ^j+++xvbn+=tied
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
well ^rb++++=well-rope,
- ^zz++++=EXTRAWORD
rope ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
scattered ^jj+atrb++xvbn+=scattered
meal ^nn++++=meal
in ^in++++=in
the ^ati++++=the
bottom ^nn++++=bottom,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lowered ^vbd+++xvbn+=lowered
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pig ^nn++++=pig
climbed ^vbd+++xvbn+=climbed
in ^in+strn+++=in;
; ^zz++++=EXTRAWORD
Zeb ^np+++??+=Zeb
and ^cc++++=and
the ^ati++++=the
hired ^jj+atrb++xvbn+=hired
boy ^nn++++=boy
hauled ^vbd+++xvbn+=hauled;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
presently ^rb+tm+++=presently
up ^rp++++=up
he ^pp3a+pp3+++=he
come ^vb++++=come,
, ^zz++++=EXTRAWORD
drippin ^nn+++??+=drippin',
', ^nn+++??+=EXTRAWORD
indignant ^jj++++=indignant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
smellin ^nn+++??+=smellin'
' ^zz++++=EXTRAWORD
of ^in++++=of
wet ^jj+atrb+++=wet
pig ^nn++++=pig
from ^in++++=from
one ^cd1++++=one
end ^nn++++=end
to ^in++++=to
t ^zz++++=t'other.
'other. ^nn+++??+=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
mistook ^vbd+++xvbnx+=mistook
the ^ati++++=the
purpose ^nn++++=purpose
of ^in++++=of
the ^ati++++=the
structure ^nn++++=structure,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
Parson ^nn++++=Parson.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
fear ^vb++++=fear
the ^ati++++=the
water ^nn++++=water
may ^md+pos+++=may
require ^vb+vsua+++=require
attention ^nn+nom+++=attention."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
" ^zz++++="Quite
quite ^rb++++=EXTRAWORD
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^cs+sub+++=That
well ^rb++++=well
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
pumped ^vbd+++xvbn+=pumped
and ^cc+phrs+++=and
scrubbed ^vbd+++xvbn+=scrubbed
and ^cc+phrs+++=and
limed ^vbd+++xvbn+=limed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
three ^cd++++=three
days ^nns++++=days
they ^pp3a+pp3+++=they
carried ^vbd+++xvbnx+=carried
water ^nn++++=water
from ^in++++=from
Deacon ^np+++??+=Deacon
Blodgett ^np+++??+=Blodgett's.
's. ^nn+++??+=EXTRAWORD
The ^ati++++=The
village ^nn+nom+++=village
women ^nns++++=women
had ^vb+hv+vrb++=had
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
to ^to+ncmp+++=to
say ^vbi+vpub+++=say.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
shows ^vbz+vprv+++=shows,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge,
, ^zz++++=EXTRAWORD
" ^zz++++="what
what ^wdt+who+++=EXTRAWORD
comes ^vbz++++=comes
of ^in++++=of
entrustin ^nn+++??+=entrustin'
' ^zz++++=EXTRAWORD
a ^at++++=a
house ^nn++++=house
to ^in++++=to
a ^at++++=a
child ^nn++++=child."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Now ^rn+tm+++=Now
how ^wrb+who+++=how
the ^ati++++=the
Parson ^nn++++=Parson
throwin ^nn+++??+=throwin'
' ^zz++++=EXTRAWORD
a ^at++++=a
pig ^nn++++=pig
into ^in++++=into
a ^at++++=a
well ^rb++++=well
proved ^vbd+vprv+tht0+xvbn+=proved
Huldy ^np+++??+=Huldy
was ^vbd+bedz+vrb++=was
too ^ql++++=too
young ^jj++++=young,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
could ^md+pos+++=could
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
gossip ^nn++++=gossip
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
need ^vb++++=need
a ^at++++=a
bridge ^npl++++=bridge
if ^cs+cnd+++=if
it ^pp3+it+++=it
can ^md+pos+++=can
jump ^vb++++=jump.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Parson ^nn++++=Parson,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
begun ^j+++xvbn+=begun
to ^to++++=to
see ^vbi+vprv+++=see
daylight ^nn++++=daylight.
. ^zz++++=EXTRAWORD
Arter ^np+++??+=Arter
the ^ati++++=the
pig ^nn++++=pig
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
up ^rb+phrv+++=up
instructin ^nn+++??+=instructin'
' ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
in ^in++++=in
domestic ^jj+atrb+++=domestic
operations ^nns+nom+++=operations.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
a ^at++++=a
fence ^nn++++=fence
wanted ^vbd+++xvbn+=wanted
mendin ^nn+++??+=mendin',
', ^nn+++??+=EXTRAWORD
