Among ^in++++=Among
there ^rn+pl+++=there
until ^cs+sub+++=until
death ^nn++++=death
should ^md+nec+++=should
release ^vb++++=release
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Gertrude ^np++++=Gertrude
had ^vb+hv+aux++=had
meanwhile ^rb++splt++=meanwhile
been ^vprf+ben+aux+xvbnx+=been
placed ^vpsv++agls+xvbnx+=placed
under ^in++++=under
restraint ^nn++++=restraint,
, ^zz++++=EXTRAWORD
lest ^cs+sub+++=lest
her ^pp$+pp3+++=her
presence ^nn+nom+++=presence
should ^md+nec+++=should
disturb ^vb++++=disturb
the ^ati++++=the
execution ^nn+nom+++=execution
or ^cc++++=or
excite ^vb++++=excite
compassion ^nn++++=compassion
for ^in++++=for
the ^ati++++=the
condemned ^nn++++=condemned.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
love ^nn++++=love,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
joined ^vbd+++xvbn+=joined
to ^in++++=to
courage ^nn+nom+++=courage
and ^cc++++=and
guided ^vpsv++by+xvbn+=guided
by ^in++++=by
duty ^nn++++=duty,
, ^zz++++=EXTRAWORD
discovers ^nns+nom+++=discovers
paths ^nns++++=paths
which ^whp+rel+obj++=which
vigilance ^nn+nom+++=vigilance
overlooks ^vbz++++=overlooks.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
escaped ^vbd+++xvbnx+=escaped
from ^in++++=from
confinement ^nn+nom+++=confinement,
, ^zz++++=EXTRAWORD
travelled ^j+++xvbn+=travelled
with ^in++++=with
all ^rb++++=all
possible ^jj+atrb+++=possible
speed ^nn++++=speed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reached ^vbd+++xvbn+=reached
the ^ati++++=the
place ^nn++++=place
of ^in++++=of
punishment ^nn+nom+++=punishment
whilst ^cs+sub+++=whilst
Rudolf ^np++++=Rudolf
yet ^rb++++=yet
lived ^vbd+++xvbn+=lived.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wheel ^vb++++=wheel
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
raised ^vpsv++agls+xvbnx+=raised
above ^jjb++++=above
the ^ati++++=the
scaffold ^nn+++??+=scaffold.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
it ^pp3+it+++=it
lay ^vbd+++xvbn+=lay
her ^pp$+pp3+++=her
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
limbs ^nns++++=limbs
shattered ^vbd+++xvbn+=shattered,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
body ^nn++++=body
bound ^vwbn+++xvbn+=bound
fast ^rb+cnj+++=fast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
face ^nn++++=face
already ^rb++++=already
marked ^vpsv++by+xvbn+=marked
by ^in++++=by
that ^dt+dem+++=that
pallor ^nn++++=pallor
which ^whp+rel+obj++=which
suffering ^xvbg+++xvbg+=suffering
brings ^vbz++++=brings
before ^in++++=before
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Soldiers ^nns+nom+++=Soldiers
stood ^vbd+++xvbn+=stood
around ^rp++++=around;
; ^zz++++=EXTRAWORD
a ^at++++=a
rude ^jj+atrb+++=rude
crowd ^nn++++=crowd
watched ^vbd+++xvbn+=watched
from ^in++++=from
below ^in+strn+++=below;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
executioners ^nns+nom+++=executioners,
, ^zz++++=EXTRAWORD
hardened ^xvbn+++xvbn+=hardened
by ^in++++=by
their ^pp$+pp3+++=their
dreadful ^jj+atrb+++=dreadful
office ^nn++++=office,
, ^zz++++=EXTRAWORD
regarded ^xvbn+++xvbn+=regarded
the ^ati++++=the
anguish ^nn++++=anguish
of ^in++++=of
their ^pp$+pp3+++=their
victim ^nn++++=victim
with ^in++++=with
indifference ^nn+nom+++=indifference.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Gertrude ^np++++=Gertrude
came ^vbd+++xvbn+=came
through ^in++++=through
the ^ati++++=the
multitude ^nn++++=multitude.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
garments ^nns+nom+++=garments
were ^vbd+bed+vrb++=were
disordered ^jj+pred+++=disordered
by ^in++++=by
haste ^nn++++=haste,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
breath ^nn++++=breath
failed ^vbd+++xvbn+=failed
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
beheld ^nn+++??+=beheld
Rudolf ^np++++=Rudolf,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
uttered ^vbd+++xvbnx+=uttered
no ^at++++=no
wild ^jj+atrb+++=wild
cry ^nn++++=cry.
. ^zz++++=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
moment ^nn++++=moment
she ^pp3a+pp3+++=she
clasped ^vbd+++xvbnx+=clasped
her ^pp$+pp3+++=her
hands ^nns++++=hands
as ^cs+sub+++=as
though ^cs+sub+++=though
her ^pp$+pp3+++=her
heart ^nn++++=heart
must ^md+nec+++=must
break ^vb++++=break;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
approaching ^jj+++xvbg+=approaching
the ^ati++++=the
scaffold ^nn+++??+=scaffold,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
called ^vbd+++xvbnx+=called
him ^pp3o+pp3+++=him
by ^in++++=by
his ^pp$+pp3+++=his
name ^nn++++=name.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
that ^dt+dem+++=that
beloved ^jj+atrb+++=beloved
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
Rudolf ^np++++=Rudolf
opened ^vbd+++xvbn+=opened
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="Gertrude!"
gertrude ^np++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
exclaimed ^vbd+++xvbnx+=exclaimed.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
hast ^&fw++++=hast
thou ^pp2+pp2+++=thou
come ^vb++++=come?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
leave ^vb++++=leave
this ^dt+dem+++=this
place ^nn++++=place.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
not ^xnot++not++=not
thy ^pp$+pp2+++=thy
gentle ^jj+atrb+++=gentle
spirit ^nn++++=spirit
be ^vb+be+aux++=be
tortured ^vpsv++by+xvbnx+=tortured
by ^in++++=by
my ^pp$+pp1+++=my
misery ^nn++++=misery."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
come ^vprf+++xvbn+=come,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
" ^zz++++="because
because ^cs+cos+++=EXTRAWORD
thou ^pp2+pp2+++=thou
art ^nn++++=art
my ^pp$+pp1+++=my
husband ^nn++++=husband.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
save ^vb++++=save
thee ^pp2+pp2+++=thee
from ^in++++=from
judgment ^nn+nom+++=judgment;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
not ^xnot++not++=not
forsake ^vb+++??+=forsake
thee ^pp2+pp2+++=thee
in ^in++++=in
suffering ^xvbg+++xvbg+=suffering."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
officers ^nns+nom+++=officers
commanded ^vbd+vpub++xvbn+=commanded
her ^pp$+pp3+++=her
to ^to++++=to
withdraw ^vbi++++=withdraw.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knelt ^vbd+++xvbnx+=knelt
at ^in++++=at
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
the ^ati++++=the
wheel ^nn++++=wheel
and ^cc++++=and
refused ^vbd+++xvbn+=refused.
. ^zz++++=EXTRAWORD
" ^zz++++="Woman,"
woman ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
one ^pn++++=one,
, ^zz++++=EXTRAWORD
" ^zz++++="thou
thou ^pp2+pp2+++=EXTRAWORD
canst ^nn+++??+=canst
do ^vb+do+vrb++=do
him ^pp3o+pp3+++=him
no ^at++++=no
service ^nn++++=service.
. ^zz++++=EXTRAWORD
Go ^vb++++=Go,
, ^zz++++=EXTRAWORD
ere ^nn+++??+=ere
force ^nn++++=force
be ^vb+be+aux++=be
used ^vpsv++agls+xvbnx+=used."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
pray ^vb+vsua+++=pray,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
replied ^vbd+vpub++xvbnx+=replied;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
speak ^vb++++=speak
comfort ^nn++++=comfort
to ^in++++=to
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
remain ^vb++++=remain
where ^wrb+who+++=where
God ^np++++=God
hath ^vbz+hvz+aux++=hath
appointed ^vprf+++xvbnx+=appointed
my ^pp$+pp1+++=my
duty ^nn++++=duty."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
roughest ^jjt++++=roughest
were ^vbd+bed+vrb++=were
for ^in++++=for
a ^rb++++=a
little ^rb"++++=little
while ^cs+sub+++=while
silenced ^vprf+++xvbn+=silenced.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
Rudolf ^np++++=Rudolf,
, ^zz++++=EXTRAWORD
fearing ^vbg+vprv++xvbg+=fearing
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
might ^md+pos+++=might
be ^vb+be+aux++=be
imprisoned ^vpsv++agls+xvbnx+=imprisoned
or ^cc+phrs+++=or
punished ^vbd+++xvbn+=punished,
, ^zz++++=EXTRAWORD
entreated ^j+++xvbn+=entreated
her ^pp$+pp3+++=her
more ^rbr++++=more
earnestly ^rb++++=earnestly.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
beloved ^jj++++=beloved,
, ^zz++++=EXTRAWORD
save ^vb++++=save
thyself ^ppl++++=thyself.
. ^zz++++=EXTRAWORD
Remember ^nn+nom+++=Remember
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
already ^rb++++=already
dead ^jj+pred+++=dead
in ^in++++=in
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
men ^nns++++=men.
. ^zz++++=EXTRAWORD
Carry ^vb++++=Carry
not ^xnot++not++=not
my ^pp$+pp1+++=my
sentence ^nn+nom+++=sentence
into ^in++++=into
thine ^pp$+pp2+++=thine
own ^ap++++=own
life ^nn++++=life."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
Gertrude ^np++++=Gertrude
looked ^vbd+++xvbn+=looked
up ^rp++++=up
at ^in++++=at
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
tenderness ^nns+nom+++=tenderness
stronger ^jjr++++=stronger
than ^in++++=than
fear ^nn++++=fear.
. ^zz++++=EXTRAWORD
" ^zz++++="Whilst
whilst ^cs+sub+++=EXTRAWORD
thou ^pp2+pp2+++=thou
hast ^&fw++++=hast
breath ^nn++++=breath,
, ^zz++++=EXTRAWORD
thou ^pp2+pp2+++=thou
art ^nn++++=art
my ^pp$+pp1+++=my
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
where ^wrb+who+++=where
thou ^pp2+pp2+++=thou
sufferest ^jjt++++=sufferest
I ^pp1a+pp1+++=I
will ^md+prd+++=will
remain ^vb++++=remain.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
they ^pp3a+pp3+++=they
slay ^vb++++=slay
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
die ^vb++++=die
with ^in++++=with
thee ^pp2+pp2+++=thee;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
spare ^jj++++=spare
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
comfort ^vb++++=comfort
thee ^pp2+pp2+++=thee
until ^in++++=until
the ^ati++++=the
end ^nn++++=end."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
daylight ^nn++++=daylight
faded ^vbd+++xvbn+=faded.
. ^zz++++=EXTRAWORD
The ^ati++++=The
idle ^jj++++=idle
and ^cc+phrs+++=and
curious ^jj++++=curious
departed ^jj+++xvbn+=departed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Gertrude ^np++++=Gertrude
stayed ^vbd+++xvbn+=stayed.
. ^zz++++=EXTRAWORD
A ^at++++=A
priest ^nn++++=priest
was ^vbd+bedz+aux++=was
permitted ^vpsv++agls+xvbnx+=permitted
to ^to+vcmp+++=to
approach ^vb++++=approach
and ^cc++++=and
speak ^vb++++=speak
to ^in++++=to
the ^ati++++=the
dying ^jj+atrb++xvbg+=dying
man ^nn++++=man
of ^in++++=of
repentance ^nn+nom+++=repentance,
, ^zz++++=EXTRAWORD
forgiveness ^nns+nom+++=forgiveness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
mercy ^nn++++=mercy
which ^whp+rel+obj++=which
no ^at++++=no
earthly ^jj+atrb+++=earthly
tribunal ^nn+nom+++=tribunal
can ^md+pos+++=can
withhold ^vb++++=withhold.
. ^zz++++=EXTRAWORD
Rudolf ^np++++=Rudolf
confessed ^vbd+vpub++xvbn+=confessed
whatever ^nn+nom+++=whatever
guilt ^nn++++=guilt
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
his ^pp$+pp3+++=his
rash ^nn++++=rash
association ^nn+nom+++=association
with ^in++++=with
violent ^jj+atrb+++=violent
men ^nns++++=men;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
still ^rb++++=still
protested ^vprf+++xvbn+=protested
that ^tht+vcmp+++=that
the ^ati++++=the
emperor ^nn++++=emperor's
's ^$++++=EXTRAWORD
murder ^nn++++=murder
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
hidden ^vpsv++agls+xvbnx+=hidden
from ^in++++=from
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
forgive ^vb++++=forgive
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
condemned ^vprf+++xvbnx+=condemned
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="as
as ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I
desire ^nn++++=desire
to ^to+ncmp+++=to
be ^vbi+vbi+aux++=be
forgiven ^vpsv++agls+xvbnx+=forgiven.
. ^zz++++=EXTRAWORD
May ^md+pos+++=May
God ^vb++++=God
judge ^nn++++=judge
between ^in++++=between
them ^pp3o+pp3+++=them
and ^cc++++=and
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
in ^in++++=in
wrath ^nn++++=wrath,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
mercy ^nn++++=mercy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Night ^nn++++=Night
descended ^vbd+++xvbn+=descended
coldly ^rb++++=coldly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind
rose ^vbd+++xvbn+=rose
and ^cc+phrs+++=and
swept ^vbd+++xvbn+=swept
across ^in+pl+++=across
the ^ati++++=the
open ^jj+atrb+++=open
ground ^nn++++=ground;
; ^zz++++=EXTRAWORD
rain ^nn++++=rain
followed ^vbd+vprv++xvbn+=followed,
, ^zz++++=EXTRAWORD
beating ^nvbg+++xvbg+=beating
upon ^in++++=upon
the ^ati++++=the
scaffold ^nn+++??+=scaffold
and ^cc++++=and
upon ^in++++=upon
the ^ati++++=the
broken ^jj+atrb++xvbn+=broken
body ^nn++++=body
which ^whp+rel+subj++=which
could ^md+pos+++=could
neither ^dt++neg++=neither
turn ^nn++++=turn
nor ^cc++neg++=nor
seek ^vb++++=seek
shelter ^nn++++=shelter.
. ^zz++++=EXTRAWORD
Gertrude ^np++++=Gertrude
removed ^vwbn+++xvbn+=removed
her ^pp$+pp3+++=her
cloak ^nn++++=cloak
and ^cc++++=and
contrived ^jj+++xvbn+=contrived
to ^to++++=to
spread ^vbi++++=spread
it ^pp3+it+++=it
over ^rp++++=over
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
gusts ^nns++++=gusts
displaced ^vwbn+++xvbn+=displaced
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
rose ^vbd+++xvbnx+=rose,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
ordered ^vprf+++xvbn+=ordered
to ^to+vcmp+++=to
keep ^vbi++++=keep
back ^rb+cnj+++=back,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arranged ^vbd+vsua++xvbn+=arranged
it ^pp3+it+++=it
anew ^nn+++??+=anew
with ^in++++=with
patient ^nn++++=patient
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stroked ^vbd+++xvbnx+=stroked
the ^ati++++=the
damp ^jj+atrb+++=damp
hair ^nn++++=hair
from ^in++++=from
his ^pp$+pp3+++=his
forehead ^nn++++=forehead
and ^cc++++=and
spoke ^vpsv++agls+xvbn+=spoke
to ^in++++=to
him ^pp3o+pp3+++=him
of ^in++++=of
the ^ati++++=the
compassion ^nn++++=compassion
of ^in++++=of
Christ ^np++++=Christ,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
Himself ^ppl+pp3+++=Himself
endured ^vbd+++xvbn+=endured
mockery ^nn+nom+++=mockery,
, ^zz++++=EXTRAWORD
wounds ^nns++++=wounds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
death ^nn++++=death.
. ^zz++++=EXTRAWORD
At ^rb++++=At
intervals ^nns+nom+++=intervals
Rudolf ^np++++=Rudolf's
's ^$++++=EXTRAWORD
agony ^nn++++=agony
forced ^vwbn+++xvbn+=forced
from ^in++++=from
him ^pp3o+pp3+++=him
a ^at++++=a
groan ^nn++++=groan;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
Gertrude ^np++++=Gertrude
prayed ^vbd+vsua++xvbn+=prayed
aloud ^rb+cnj+++=aloud,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
voice ^nn++++=voice
sometimes ^rb++++=sometimes
lost ^vbd+++xvbn+=lost
in ^in++++=in
the ^ati++++=the
storm ^nn++++=storm,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
never ^rb++++=never
wholly ^rb++++=wholly
ceasing ^vbg+++xvbg+=ceasing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sentinels ^nn++++=sentinels
changed ^vbd+++xvbn+=changed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
torches ^nns++++=torches
burned ^vbd+++xvbn+=burned
low ^jj++++=low,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
long ^jj+atrb+++=long
hours ^nns++++=hours
passed ^vbd+++xvbn+=passed.
. ^zz++++=EXTRAWORD
No ^at++++=No
sleep ^nn++++=sleep
visited ^vbd+++xvbn+=visited
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
watched ^vbd+++xvbnx+=watched
every ^at++++=every
movement ^nn+nom+++=movement
of ^in++++=of
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whenever ^nn+nom+++=whenever
consciousness ^nns+nom+++=consciousness
returned ^vbd+++xvbn+=returned,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
her ^pp$+pp3+++=her
still ^rb++++=still
beneath ^in+pl+++=beneath
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Toward ^in++++=Toward
morning ^nn++++=morning
he ^pp3a+pp3+++=he
whispered ^vbd+vpub++xvbnx+=whispered,
, ^zz++++=EXTRAWORD
" ^zz++++="Water."
water ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
None ^pn++++=None
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
provided ^vpsv++agls+xvbnx+=provided.
. ^zz++++=EXTRAWORD
Gertrude ^np++++=Gertrude
implored ^vbd+++xvbn+=implored
the ^ati++++=the
guards ^nns++++=guards,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
answered ^vbd+vpub++xvbnx+=answered
that ^tht+vcmp+++=that
the ^ati++++=the
condemned ^jj+atrb++xvbn+=condemned
man ^nn++++=man
must ^md+nec+++=must
receive ^vb++++=receive
no ^at++++=no
relief ^nn++++=relief.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
about ^in++++=about
her ^pp$+pp3+++=her
and ^cc++++=and
perceived ^jj+atrb++xvbn+=perceived
rainwater ^nn+nom+++=rainwater
gathered ^vbd+++xvbn+=gathered
in ^in++++=in
a ^at++++=a
hollow ^nn++++=hollow
of ^in++++=of
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
Having ^vbg+hvg++xvbg+=Having
no ^at++++=no
vessel ^nn++++=vessel,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
drew ^vbd+++xvbnx+=drew
off ^rp+pl+++=off
her ^pp3o+pp3+++=her
shoe ^nn++++=shoe,
, ^zz++++=EXTRAWORD
filled ^j+++xvbn+=filled
it ^pp3+it+++=it
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
she ^pp3a+pp3+++=she
could ^md+pos+++=could,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carried ^vbd+++xvbn+=carried
the ^ati++++=the
poor ^jj+atrb+++=poor
draught ^nn++++=draught
to ^in++++=to
the ^ati++++=the
scaffold ^nn+++??+=scaffold.
. ^zz++++=EXTRAWORD
Much ^ap++++=Much
was ^vbd+bedz+aux++=was
spilled ^vpsv++agls+xvbnx+=spilled
before ^cs+sub+++=before
she ^pp3a+pp3+++=she
reached ^vbd+++xvbnx+=reached
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
a ^rb++++=a
little ^rb"++++=little
remained ^vbd+++xvbn+=remained;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dipping ^vbg+++xvbg+=dipping
her ^pp$+pp3+++=her
fingers ^nns+nom+++=fingers
therein ^rb+cnj+++=therein,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
moistened ^vbd+++xvbnx+=moistened
his ^pp$+pp3+++=his
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
small ^jj+atrb+++=small
act ^nn++++=act
of ^in++++=of
mercy ^nn++++=mercy,
, ^zz++++=EXTRAWORD
denied ^vpbn+vpub++xvbn+=denied
by ^in++++=by
armed ^xvbn+++xvbn+=armed
men ^nns++++=men
and ^cc++++=and
performed ^vpsv++by+xvbn+=performed
by ^in++++=by
a ^at++++=a
weary ^jj+atrb+++=weary
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
more ^rbr++++=more
worthy ^jj+pred+++=worthy
of ^in++++=of
remembrance ^nn+nom+++=remembrance
than ^in++++=than
many ^ap++++=many
victories ^nns++++=victories.
. ^zz++++=EXTRAWORD
Power ^nn++++=Power
had ^vbd+hvd+aux++=had
raised ^vprf+++xvbnx+=raised
the ^ati++++=the
wheel ^nn++++=wheel;
; ^zz++++=EXTRAWORD
love ^vb++++=love
brought ^vbd+++xvbn+=brought
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Morning ^nn++++=Morning
broadened ^vbd+++xvbn+=broadened
into ^in++++=into
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Persons ^nns++++=Persons
came ^vbd+++xvbn+=came
again ^rb+tm+++=again
to ^in++++=to
gaze ^nn++++=gaze,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
mocked ^jj+++xvbn+=mocked
at ^in++++=at
Rudolf ^np++++=Rudolf,
, ^zz++++=EXTRAWORD
calling ^nvbg+++xvbg+=calling
him ^pp3o+pp3+++=him
traitor ^nn++++=traitor
and ^cc++++=and
murderer ^nn+nom+++=murderer.
. ^zz++++=EXTRAWORD
Gertrude ^np++++=Gertrude
made ^vbd+++xvbn+=made
no ^at++++=no
bitter ^jj+atrb+++=bitter
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
only ^ap+down+++=only
said ^vprf+++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Pray
pray ^vb+vsua+++=EXTRAWORD
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
guilty ^jj++++=guilty
or ^cc+phrs+++=or
innocent ^jj++++=innocent
of ^in++++=of
the ^ati++++=the
worst ^jjt+atrb+++=worst
charge ^nn++++=charge,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
a ^at++++=a
soul ^nn++++=soul
passing ^vwbg+++xvbg+=passing
into ^in++++=into
eternity ^nn+nom+++=eternity."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
turned ^vbd+++xvbn+=turned
away ^rb+phrv+++=away
ashamed ^jj++++=ashamed.
. ^zz++++=EXTRAWORD
Compassion ^nn++++=Compassion
is ^vbz+bez+vrb++=is
seldom ^rb++++=seldom
entirely ^rb+amp+++=entirely
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
even ^rb++++=even
in ^in++++=in
a ^at++++=a
crowd ^nn++++=crowd
assembled ^vbd+++xvbn+=assembled
to ^to++++=to
behold ^vbi++++=behold
suffering ^vbg+++xvbg+=suffering;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
waits ^nns+++??+=waits
only ^rb+down+++=only
for ^in++++=for
some ^dti++++=some
nobler ^jjr+atrb+++=nobler
