**editor ^nn++++=**EDITOR'S
's ^$++++=EXTRAWORD
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
track ^nn++++=track.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bear ^vb+vprv+++=bear
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
a ^at++++=a
wide ^jj+atrb+++=wide
circle ^nn++++=circle
and ^cc++++=and
crossed ^vbd+++xvbn+=crossed
our ^pp$+pp1+++=our
own ^ap++++=own
trail ^nn++++=trail.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
then ^rn+tm+splt++=then
entered ^vprf+++xvbnx+=entered
a ^at++++=a
stretch ^nn++++=stretch
of ^in++++=of
young ^jj+atrb+++=young
forest ^nn++++=forest
where ^wrb+who+++=where
every ^at++++=every
branch ^nn++++=branch
was ^vbd+bedz+aux++=was
loaded ^vpsv++agls+xvbnx+=loaded
with ^in++++=with
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
followed ^vbd+vprv++xvbn+=followed
until ^cs+sub+++=until
the ^ati++++=the
daylight ^nn++++=daylight
began ^vbd+++xvbn+=began
to ^to++++=to
fade ^vbi++++=fade.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sky ^nn++++=sky
between ^in++++=between
the ^ati++++=the
trunks ^nns++++=trunks
changed ^vbd+++xvbn+=changed
from ^in++++=from
grey ^np++++=grey
to ^in++++=to
yellow ^jj++++=yellow
and ^cc++++=and
then ^rn+tm+++=then
to ^in++++=to
a ^at++++=a
cold ^jj+atrb+++=cold
green ^nn++++=green.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
no ^at++++=no
longer ^rbr++++=longer
see ^vb+vprv+++=see
the ^ati++++=the
small ^jj+atrb+++=small
drops ^nns++++=drops
of ^in++++=of
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
still ^rb++++=still
saw ^vbd+vprv++xvbn+=saw
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
saw ^vbd+vprv++xvbn+=saw
things ^nns++++=things
that ^tht+rel+subj++=that
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
the ^ati++++=the
same ^ap++++=same
story ^nn++++=story
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
crust ^nn++++=crust,
, ^zz++++=EXTRAWORD
a ^at++++=a
hair ^nn++++=hair
on ^in++++=on
bark ^nn++++=bark,
, ^zz++++=EXTRAWORD
a ^at++++=a
dark ^jj+atrb+++=dark
place ^nn++++=place
where ^wrb+who+++=where
a ^at++++=a
paw ^npt++++=paw
had ^vbd+hvd+aux++=had
pressed ^vprf+++xvbnx+=pressed
to ^in++++=to
the ^ati++++=the
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
he ^pp3a+pp3+++=he
stopped ^vbd+++xvbnx+=stopped.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
leave ^vb++++=leave
the ^ati++++=the
track ^nn++++=track
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why?"
why ^wrb+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
we ^pp1a+pp1+++=we
follow ^vb+vprv+++=follow
farther ^rbr++++=farther,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
push ^vb++++=push
him ^pp3o+pp3+++=him
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
circle ^nn++++=circle.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+aux++=is
tired ^vpsv++agls+xvbnx+=tired
and ^cc+phrs+++=and
wants ^vbz++++=wants
to ^to+vcmp+++=to
settle ^vbi++++=settle.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
must ^md+nec+++=must
go ^vb++++=go
round ^rb++++=round
him ^pp3o+pp3+++=him
and ^cc++++=and
see ^vb+vprv+++=see
where ^wrb+who+whcl++=where
he ^pp3a+pp3+++=he
has ^vbz+hvz+vrb++=has
stayed ^vprf+++xvbnx+=stayed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
understood ^vbd+vprv+tht0+xvbnx+=understood
his ^pp$+pp3+++=his
plan ^nn++++=plan.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
to ^to++++=to
follow ^vbi+vprv+++=follow
directly ^rb++++=directly
but ^cc++++=but
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
wide ^jj+atrb+++=wide
circuit ^nn++++=circuit
around ^rp++++=around
the ^ati++++=the
place ^nn++++=place
where ^wrb+who+++=where
the ^ati++++=the
bear ^vb+vprv+++=bear
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
we ^pp1a+pp1+++=we
crossed ^vbd+++xvbn+=crossed
his ^pp$+pp3+++=his
outgoing ^vbg+++xvbg+=outgoing
track ^npl++++=track,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
would ^md+prd+++=would
know ^vb+vprv+tht0++=know
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
we ^pp1a+pp1+++=we
completed ^vbd+++xvbn+=completed
the ^ati++++=the
circuit ^nn++++=circuit
without ^in++++=without
finding ^xvbg+++xvbg+=finding
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bear ^nn++++=bear
would ^md+prd+++=would
be ^vb+be+vrb++=be
inside ^jjb+pred+++=inside.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
turned ^vbd+++xvbn+=turned
to ^in++++=to
the ^ati++++=the
right ^nn++++=right.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
marked ^vbd+++xvbn+=marked
our ^pp$+pp1+++=our
course ^nn++++=course
by ^in++++=by
the ^ati++++=the
trees ^nns++++=trees
and ^cc++++=and
by ^in++++=by
the ^ati++++=the
slope ^nn++++=slope
of ^in++++=of
the ^ati++++=the
land ^nn++++=land.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
all ^abn++++=all
sense ^nn++++=sense
of ^in++++=of
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
The ^ati++++=The
forest ^npl++++=forest
appeared ^vbd+seem++xvbn+=appeared
the ^ati++++=the
same ^ap++++=same
on ^in++++=on
every ^at++++=every
side ^nn++++=side
firs ^nns+++??+=firs,
, ^zz++++=EXTRAWORD
bare ^jj+atrb+++=bare
birches ^nns++++=birches,
, ^zz++++=EXTRAWORD
fallen ^vprf+++xvbn+=fallen
trunks ^nns++++=trunks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
deep ^jj+atrb+++=deep
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
hard ^jj+atrb+++=hard
work ^nn++++=work.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^md"++pmd"++=had
to ^md+nec+++=to
pass ^vb++++=pass
through ^in++++=through
thickets ^nns+++??+=thickets
where ^wrb+who+++=where
the ^ati++++=the
snowshoes ^nns+++??+=snowshoes
would ^md+prd+++=would
not ^xnot++not++=not
fit ^vb++++=fit
between ^in++++=between
the ^ati++++=the
stems ^nns++++=stems.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fell ^vbd+++xvbnx+=fell
over ^in++++=over
hidden ^xvbn+++xvbn+=hidden
logs ^nns++++=logs.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
gun ^nn++++=gun
caught ^vbd+++xvbn+=caught
in ^in++++=in
branches ^nns++++=branches.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
I ^pp1a+pp1+++=I
stepped ^vbd+++xvbnx+=stepped
on ^in++++=on
a ^at++++=a
bent ^xvbn+++xvbn+=bent
fir ^np++++=fir,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
my ^pp$+pp1+++=my
weight ^nn++++=weight
freed ^vbd+++xvbn+=freed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
rose ^vbd+++xvbn+=rose
between ^in++++=between
my ^pp$+pp1+++=my
legs ^nns++++=legs
and ^cc++++=and
threw ^vbd+++xvbn+=threw
me ^pp1o+pp1+++=me
on ^in++++=on
my ^pp$+pp1+++=my
back ^nn++++=back.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
came ^vbd+++xvbn+=came
to ^to++++=to
help ^vbi++++=help
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
angry ^jj+pred+++=angry
from ^in++++=from
fatigue ^nn++++=fatigue
and ^cc++++=and
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
to ^to++++=to
go ^vbi++++=go
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
The ^ati++++=The
circle ^nn++++=circle
seemed ^vbd+seem++xvbn+=seemed
endless ^jj++++=endless.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
passed ^vprf+++xvbnx+=passed
this ^dt+dem+++=this
place ^nn++++=place
already ^rb+cnj+++=already,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
crooked ^jj+atrb+++=crooked
birch ^nn++++=birch
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
it ^pp3+it+++=it
before ^in+strn+++=before."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
are ^vb+ber+vrb++=are
many ^ap++++=many
crooked ^jj+atrb+++=crooked
birches ^nns++++=birches."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
the ^ati++++=the
way ^nn++++=way
but ^cc++++=but
did ^vbd+dod+aux++=did
not ^xnot++not++=not
say ^vb+vpub+++=say
so ^rb++++=so.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
went ^vbd+++xvbn+=went
on ^rp++++=on
another ^ppls++++=another
half ^abn++++=half-hour.
- ^zz++++=EXTRAWORD
hour ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Damian ^np+++??+=Damian
pointed ^vbd+++xvbn+=pointed
to ^in++++=to
a ^at++++=a
line ^nn++++=line
of ^in++++=of
holes ^nns++++=holes
crossing ^vwbg+++xvbg+=crossing
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
his ^pp$+pp3+++=his
track ^nn++++=track."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
gone ^vprf+++xvbnx+=gone."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
old ^jj+atrb+++=old
track ^nn++++=track,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
entered ^vbd+++xvbnx+=entered."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
brushed ^vbd+++xvbnx+=brushed
snow ^nn++++=snow
from ^in++++=from
a ^at++++=a
small ^jj+atrb+++=small
fir ^nn++++=fir,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
place ^nn++++=place
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
ourselves ^ppls+pp1+++=ourselves
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
earlier ^jjr++++=earlier.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
the ^ati++++=the
circle ^nn++++=circle,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
no ^at++++=no
track ^nn++++=track
going ^vwbg+++xvbg+=going
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
inside ^jjb+pred+++=inside."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
frightens ^nns+++??+=frightens
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
night ^nn++++=night."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
By ^in++++=By
then ^rn+tm+++=then
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
nearly ^rb+down+++=nearly
dark ^jj+pred+++=dark.
. ^zz++++=EXTRAWORD
The ^ati++++=The
forester ^nn+nom+++=forester's
's ^$++++=EXTRAWORD
hut ^nn++++=hut
was ^vbd+bedz+vrb++=was
several ^ap++++=several
miles ^nns++++=miles
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Damian ^np+++??+=Damian
said ^vbd+vpub+tht0+xvbn+=said
we ^pp1a+pp1+++=we
could ^md+pos+++=could
not ^xnot++not++=not
reach ^vb++++=reach
it ^pp3+it+++=it
without ^in++++=without
crossing ^xvbg+++xvbg+=crossing
the ^ati++++=the
bear ^nn++++=bear's
's ^$++++=EXTRAWORD
circle ^nn++++=circle.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
went ^vbd+++xvbn+=went
instead ^rb+cnj+++=instead
to ^in++++=to
a ^at++++=a
road ^npl++++=road
used ^vwbn+++xvbn+=used
for ^in++++=for
hauling ^nn+nom+++=hauling
timber ^nn++++=timber
and ^cc++++=and
found ^vbd+vprv++xvbn+=found
an ^at++++=an
empty ^jj+atrb+++=empty
sledge ^nn+++??+=sledge
track ^nn++++=track.
. ^zz++++=EXTRAWORD
The ^ati++++=The
horses ^nns++++=horses
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
to ^to++++=to
meet ^vbi++++=meet
us ^pp1o+pp1+++=us
had ^vb+hv+aux++=had
not ^xnot++not++=not
come ^vb++++=come.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
wait ^vb++++=wait,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
waited ^vbd+++xvbn+=waited
until ^cs+sub+++=until
darkness ^nns+nom+++=darkness
covered ^vbd+++xvbn+=covered
the ^ati++++=the
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
No ^at++++=No
bells ^nns++++=bells
sounded ^vbd+++xvbn+=sounded,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
light ^nn++++=light
appeared ^vbd+seem++xvbn+=appeared.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
collected ^vwbn+++xvbn+=collected
dry ^jj+atrb+++=dry
branches ^nns++++=branches
from ^in++++=from
beneath ^in+pl+++=beneath
the ^ati++++=the
firs ^nns+++??+=firs.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
scraped ^vbd+++xvbn+=scraped
away ^rp+pl+++=away
the ^ati++++=the
snow ^nn++++=snow
beside ^in+pl+++=beside
a ^at++++=a
fallen ^vprf+++xvbn+=fallen
tree ^nn++++=tree
and ^cc++++=and
made ^vbd+++xvbn+=made
a ^at++++=a
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wood ^npl++++=wood
smoked ^vbd+++xvbn+=smoked
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
burned ^vbd+++xvbn+=burned
well ^jj+pred+++=well.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
took ^vbd+++xvbn+=took
off ^rb+phrv+++=off
our ^pp$+pp1+++=our
outer ^jjb+atrb+++=outer
coats ^nns++++=coats
and ^cc++++=and
held ^vwbn+vprv++xvbn+=held
them ^pp3o+pp3+++=them
near ^in+pl+++=near
the ^ati++++=the
flames ^nns++++=flames.
. ^zz++++=EXTRAWORD
Steam ^nn++++=Steam
rose ^vbd+++xvbn+=rose
from ^in++++=from
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
bread ^nn++++=bread
and ^cc++++=and
some ^dti++++=some
cold ^jj+atrb+++=cold
meat ^nn++++=meat
in ^in++++=in
my ^pp$+pp1+++=my
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Damian ^np+++??+=Damian
had ^vb+hv+aux++=had
two ^cd++++=two
boiled ^xvbn+++xvbn+=boiled
potatoes ^nns++++=potatoes.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
divided ^vbd+++xvbn+=divided
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
After ^in++++=After
eating ^xvbg+++xvbg+=eating,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
how ^wrb+who+whcl++=how
tired ^jj+++xvbn+=tired
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
legs ^nns++++=legs
trembled ^vbd+++xvbn+=trembled
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fire ^nn++++=fire
warmed ^vwbn+++xvbn+=warmed
one ^cd1++++=one
side ^nn++++=side
of ^in++++=of
me ^pp1o+pp1+++=me
while ^cs+sub+++=while
the ^ati++++=the
other ^ap++++=other
froze ^vbd+++xvbn+=froze.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
cut ^vbd+++xvbn+=cut
fir ^np++++=fir
branches ^nns++++=branches
and ^cc++++=and
laid ^vwbn+++xvbn+=laid
them ^pp3o+pp3+++=them
on ^in++++=on
the ^ati++++=the
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
" ^zz++++="Sleep,
sleep ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
keep ^vb++++=keep
the ^ati++++=the
fire ^nn++++=fire."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
sleep ^vb++++=sleep
too ^ql++++=too."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
wake ^vb++++=wake
you ^pp2+pp2+++=you
later ^rbr+tm+++=later."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
lay ^vbd+++xvbnx+=lay
down ^rb+phrv+++=down
in ^in++++=in
my ^pp$+pp1+++=my
coat ^nn++++=coat
with ^in++++=with
my ^pp$+pp1+++=my
feet ^nns++++=feet
toward ^in++++=toward
the ^ati++++=the
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
The ^ati++++=The
branches ^nns++++=branches
were ^vbd+bed+vrb++=were
hard ^jj+pred+++=hard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
first ^rb"++++=first
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
smoke ^nn++++=smoke
turned ^vbd+++xvbn+=turned
above ^rb++++=above
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
the ^ati++++=the
flames ^nns++++=flames
made ^vbd+++xvbn+=made
a ^at++++=a
low ^jj+atrb+++=low
sound ^nn++++=sound,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
nothing ^pn++++=nothing
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
opened ^vbd+++xvbnx+=opened
my ^pp$+pp1+++=my
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
understand ^vb+vprv+++=understand
where ^wrb+who+whcl++=where
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
lying ^vbg+++xvbgx+=lying
in ^in++++=in
a ^at++++=a
great ^jj+atrb+++=great
hall ^npl++++=hall.
. ^zz++++=EXTRAWORD
White ^jj+atrb+++=White
pillars ^nns++++=pillars
rose ^vbd+++xvbn+=rose
on ^in++++=on
every ^at++++=every
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
above ^rb++++=above
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
a ^at++++=a
black ^jj+atrb+++=black
vault ^nn++++=vault
covered ^vbd+++xvbn+=covered
with ^in++++=with
stars ^nns++++=stars.
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
glittered ^vbd+++xvbn+=glittered.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
moment ^nn++++=moment
I ^pp1a+pp1+++=I
remained ^vbd+++xvbnx+=remained
still ^jj+pred+++=still
and ^cc++++=and
looked ^vpsv++agls+xvbn+=looked
in ^in++++=in
wonder ^nn++++=wonder.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
the ^ati++++=the
white ^jj+atrb+++=white
pillars ^nns++++=pillars
were ^vbd+bed+vrb++=were
birch ^nn++++=birch
trunks ^nns++++=trunks
coated ^vbd+++xvbn+=coated
with ^in++++=with
hoar ^nn+++??+=hoar-frost,
- ^zz++++=EXTRAWORD
frost ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
black ^jj+atrb+++=black
vault ^nn++++=vault
was ^vbd+bedz+vrb++=was
the ^ati++++=the
winter ^nn++++=winter
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
stars ^nns++++=stars
shone ^vbd+++xvbn+=shone
between ^in++++=between
branches ^nns++++=branches
loaded ^vbd+++xvbn+=loaded
with ^in++++=with
ice ^nn++++=ice.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fire ^nn++++=fire
had ^vbd+hvd+aux++=had
burned ^vprf+++xvbnx+=burned
low ^jj++++=low.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
sat ^vbd+++xvbn+=sat
beside ^in+pl+++=beside
it ^pp3+it+++=it
with ^in++++=with
his ^pp$+pp3+++=his
head ^jjb++++=head
on ^in++++=on
his ^pp$+pp3+++=his
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
" ^zz++++="Damian,"
damian ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
called ^vbd+++xvbnx+=called.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
raised ^vbd+++xvbnx+=raised
his ^pp$+pp3+++=his
head ^jjb++++=head
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
morning ^nn++++=morning
soon ^rb+cnj+++=soon,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
put ^vbd+++xvbn+=put
more ^rbr++++=more
wood ^nn++++=wood
on ^in++++=on
the ^ati++++=the
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
boots ^nns++++=boots
had ^vbd+hvd+aux++=had
frozen ^vprf+++xvbnx+=frozen
stiff ^jj++++=stiff,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
could ^md+pos+++=could
hardly ^rb+down+++=hardly
force ^nn++++=force
my ^pp$+pp1+++=my
feet ^nns++++=feet
into ^in++++=into
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
coats ^nns++++=coats
were ^vbd+bed+vrb++=were
dry ^jj+pred+++=dry
on ^in++++=on
the ^ati++++=the
outside ^jjb++++=outside
but ^cc++++=but
damp ^nn++++=damp
within ^in+strn+++=within.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
drank ^vbd+++xvbn+=drank
melted ^vbd+++xvbn+=melted
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
ate ^j+++xvbn+=ate
the ^ati++++=the
last ^jj+atrb+++=last
crust ^nn++++=crust
of ^in++++=of
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
set ^vpsv++agls+xvbn+=set
off ^rb+phrv+++=off
toward ^in++++=toward
