# ^zz++++=#
Passing ^vwbg+++xvbg+=Passing
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
it ^pp3+it+++=it
go ^vb++++=go,
, ^zz++++=EXTRAWORD
Sam ^nn++++=Sam."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
been ^vb+vbd+vrb+xvbnx+=been
lettin ^nn+++??+=lettin'
' ^zz++++=EXTRAWORD
it ^pp3+it+++=it
go ^vb++++=go.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
fire ^nn++++=fire
wo ^&fw++++=won't."
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jos ^np+++??+=Jos
called ^vbd+++xvbn+=called
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
time ^nn++++=time
Sam ^nn++++=Sam
caught ^vbd+++xvbn+=caught
his ^pp$+pp3+++=his
own ^ap++++=own
name ^nn++++=name
and ^cc++++=and
an ^at++++=an
imitation ^nn+nom+++=imitation
of ^in++++=of
his ^pp$+pp3+++=his
anxious ^jj++++=anxious
blowing ^jj+++xvbg+=blowing
at ^rb++++=at
the ^ati++++=the
coals ^nns++++=coals.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
picked ^vbd+++xvbnx+=picked
up ^rp++++=up
the ^ati++++=the
meat ^nn++++=meat
fork ^nn++++=fork
and ^cc++++=and
pointed ^vbd+++xvbn+=pointed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Laugh
laugh ^nn++++=EXTRAWORD
all ^abn++++=all
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
git ^np++++=git
hungry ^jj++++=hungry,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
come ^vprf+++xvbn+=come
" ^zz++++="
Jos ^np+++??+=Jos
rose ^vbd+++xvbn+=rose
with ^in++++=with
the ^ati++++=the
quickness ^nns+nom+++=quickness
of ^in++++=of
a ^at++++=a
cat ^nn++++=cat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
crossed ^vbd+++xvbnx+=crossed
the ^ati++++=the
strip ^nn++++=strip
of ^in++++=of
firelight ^nn++++=firelight
in ^in++++=in
three ^cd++++=three
steps ^nns++++=steps
and ^cc++++=and
struck ^vprf+++xvbn+=struck
once ^rb+tm+++=once.
. ^zz++++=EXTRAWORD
Sam ^nn++++=Sam
made ^vbd+++xvbn+=made
no ^at++++=no
dramatic ^jj+atrb+++=dramatic
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fork ^nn++++=fork
fell ^vbd+++xvbn+=fell.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
heavily ^rb++++=heavily
among ^in++++=among
his ^pp$+pp3+++=his
pans ^nns++++=pans,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hand ^nn++++=hand
pressed ^vbd+++xvbn+=pressed
to ^in++++=to
his ^pp$+pp3+++=his
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vpsv++agls+xvbn+=looked
with ^in++++=with
astonishment ^nn+nom+++=astonishment
at ^in++++=at
the ^ati++++=the
fire ^nn++++=fire
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
him ^pp3o+pp3+++=him
so ^ql++++=so
much ^ap++++=much
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
rolled ^vbd+++xvbnx+=rolled
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
scattering ^vbg+++xvbg+=scattering
spoons ^nns++++=spoons
into ^in++++=into
the ^ati++++=the
ashes ^nns++++=ashes.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
six ^cd++++=six-shooter
- ^zz++++=EXTRAWORD
shooter ^jjr+atrb+++=EXTRAWORD
cleared ^jj+atrb++xvbn+=cleared
leather ^nn++++=leather.
. ^zz++++=EXTRAWORD
Jos ^np+++??+=Jos
turned ^vbd+++xvbn+=turned,
, ^zz++++=EXTRAWORD
knife ^nn++++=knife
red ^nn++++=red
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
fired ^vbd+++xvbn+=fired
once ^rb+tm+++=once.
. ^zz++++=EXTRAWORD
The ^ati++++=The
young ^jj+atrb+++=young
vaquero ^nn+++??+=vaquero
went ^vbd+++xvbn+=went
backward ^jj++++=backward
into ^in++++=into
the ^ati++++=the
dark ^nn++++=dark.
. ^zz++++=EXTRAWORD
For ^in++++=For
perhaps ^rb++++=perhaps
two ^cd++++=two
seconds ^nns++++=seconds
nobody ^pn++++=nobody
moved ^vbd+++xvbn+=moved.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^ap++++=little
flame ^nn++++=flame
found ^vbd+vprv++xvbn+=found
a ^at++++=a
shaving ^nvbg+++xvbg+=shaving,
, ^zz++++=EXTRAWORD
crept ^j+++xvbn+=crept
along ^in++++=along
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
at ^rb++++=at
last ^rb"++++=last
to ^to++++=to
burn ^vbi++++=burn
properly ^rb++++=properly.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Esteban ^np+++??+=Esteban
reached ^vbd+++xvbn+=reached
for ^in++++=for
his ^pp$+pp3+++=his
rifle ^nn++++=rifle.
. ^zz++++=EXTRAWORD
" ^zz++++="Alfred,"
alfred ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tom ^np++++=Tom.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
moved ^vbd+++xvbnx+=moved
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
fired ^vbd+++xvbn+=fired
into ^in++++=into
the ^ati++++=the
ground ^nn++++=ground
before ^in++++=before
Esteban ^np++++=Esteban's
's ^$++++=EXTRAWORD
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
Tom ^np++++=Tom
kicked ^vbd+++xvbn+=kicked
the ^ati++++=the
nearest ^jjt+atrb+++=nearest
saddle ^nn++++=saddle
toward ^in++++=toward
the ^ati++++=the
embers ^nns++++=embers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
both ^abx++++=both
men ^nns++++=men
sprang ^vbd+++xvbn+=sprang
for ^in++++=for
their ^pp$+pp3+++=their
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
opportunity ^nn+nom+++=opportunity
for ^in++++=for
explanations ^nns+nom+++=explanations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
explanations ^nns+nom+++=explanations
would ^md+prd+++=would
in ^in++++=in
any ^dti++++=any
case ^nn++++=case
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
a ^at++++=a
poor ^jj+atrb+++=poor
chance ^nn++++=chance
against ^in++++=against
ten ^cd++++=ten
bereaved ^jj+atrb+++=bereaved
and ^cc+phrs+++=and
hostile ^jj+atrb+++=hostile
vaqueros ^nns+++??+=vaqueros.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
of ^in++++=of
camp ^nn++++=camp
at ^rb++++=at
a ^at++++=a
run ^nn+++xvbn+=run.
. ^zz++++=EXTRAWORD
Shots ^nns++++=Shots
followed ^vbd+vprv++xvbn+=followed
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
clipped ^vbd+++xvbn+=clipped
the ^ati++++=the
brim ^nn++++=brim
from ^in++++=from
Alfred ^np++++=Alfred's
's ^$++++=EXTRAWORD
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
struck ^vprf+++xvbn+=struck
the ^ati++++=the
wagon ^nn++++=wagon
with ^in++++=with
a ^at++++=a
sound ^nn++++=sound
like ^in++++=like
an ^at++++=an
axe ^nn++++=axe
blow ^nn++++=blow.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mules ^nns++++=mules
broke ^vbd+++xvbn+=broke
their ^pp$+pp3+++=their
tether ^jjr++++=tether
and ^cc++++=and
went ^vbd+++xvbn+=went
ghosting ^jj+++xvbg+=ghosting
across ^in+pl+++=across
the ^ati++++=the
flats ^nns++++=flats,
, ^zz++++=EXTRAWORD
harness ^nns+nom+++=harness
chains ^nns++++=chains
flashing ^vwbg+++xvbg+=flashing
in ^in++++=in
the ^ati++++=the
last ^ap++++=last
of ^in++++=of
the ^ati++++=the
light ^nn++++=light.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
and ^cc++++=and
Alfred ^np++++=Alfred
rode ^vbd+++xvbn+=rode
north ^np+pl+++=north.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
explain ^vbi+vpub+++=explain
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
persons ^nns++++=persons
who ^whp+rel+subj++=who
prefer ^vb+vprv+tht0++=prefer
their ^pp$+pp3+++=their
geography ^nn++++=geography
in ^in++++=in
small ^jj+atrb+++=small
doses ^nns++++=doses
and ^cc++++=and
their ^pp$+pp3+++=their
gunfights ^nns++++=gunfights
uninterrupted ^jj++++=uninterrupted.
. ^zz++++=EXTRAWORD
Long ^rb++++=Long
before ^cs+sub+++=before
men ^nns++++=men
invented ^vbd+++xvbn+=invented
wages ^nns++++=wages,
, ^zz++++=EXTRAWORD
revolvers ^nns+nom+++=revolvers
or ^cc++++=or
disputes ^nns++++=disputes
concerning ^in++++=concerning
either ^dtx++++=either,
, ^zz++++=EXTRAWORD
a ^at++++=a
river ^nn++++=river
had ^vbd+hvd+aux++=had
run ^vprf+++xvbnx+=run
across ^in+ppvb+++=across
that ^dt+dem+++=that
region ^nn++++=region.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
magnificent ^jj+atrb+++=magnificent
river ^nn++++=river,
, ^zz++++=EXTRAWORD
broad ^jj++++=broad
enough ^qlp++++=enough
to ^to++++=to
carry ^vbi++++=carry
whole ^jj+atrb+++=whole
forests ^nns++++=forests
and ^cc++++=and
patient ^nn++++=patient
enough ^qlp++++=enough
to ^to++++=to
spend ^vbi++++=spend
a ^at++++=a
thousand ^cd++++=thousand
centuries ^nns++++=centuries
eating ^vwbg+++xvbg+=eating
its ^pp$+it+++=its
way ^nn++++=way
through ^in++++=through
clay ^nn++++=clay
and ^cc++++=and
stone ^nn++++=stone.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
earth ^nn++++=earth
lifted ^vbd+++xvbn+=lifted
somewhere ^rb+cnj+++=somewhere,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
settled ^vbd+++xvbn+=settled
somewhere ^rb++++=somewhere
else ^rb+cnj+++=else;
; ^zz++++=EXTRAWORD
the ^ati++++=the
water ^nn++++=water
turned ^vbd+++xvbn+=turned
aside ^rp++++=aside,
, ^zz++++=EXTRAWORD
the ^ati++++=the
forests ^nns++++=forests
vanished ^vbd+++xvbn+=vanished,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
river ^npl++++=river
left ^vbd+++xvbn+=left
behind ^rb+phrv+++=behind
a ^at++++=a
dry ^jj+atrb+++=dry
bed ^nn++++=bed
winding ^vwbg+++xvbg+=winding
beneath ^in+pl+++=beneath
bluffs ^nns+++??+=bluffs
the ^ati++++=the
color ^nn++++=color
of ^in++++=of
old ^jj+atrb+++=old
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
Wind ^nn++++=Wind
and ^cc++++=and
sudden ^jj+atrb+++=sudden
rain ^nn++++=rain
continued ^vbd+++xvbn+=continued
the ^ati++++=the
labor ^nn++++=labor.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
cut ^vbd+++xvbnx+=cut
side ^nn++++=side
gullies ^nns+++??+=gullies,
, ^zz++++=EXTRAWORD
scooped ^jj+atrb++xvbn+=scooped
caves ^nns++++=caves,
, ^zz++++=EXTRAWORD
raised ^jj+atrb++xvbn+=raised
shelves ^nns++++=shelves
and ^cc++++=and
towers ^nns++++=towers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
several ^ap++++=several
places ^nns++++=places
where ^wrb+who+++=where
a ^at++++=a
man ^nn++++=man
could ^md+pos+++=could
enter ^vb++++=enter
with ^in++++=with
a ^at++++=a
horse ^nn++++=horse
but ^cc++++=but
could ^md+pos+++=could
not ^xnot++not++=not
leave ^vb++++=leave
except ^in++++=except
as ^ql++++=as
a ^at++++=a
spirit ^nn++++=spirit.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
narrow ^jj+atrb+++=narrow
ravine ^npl++++=ravine,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
passed ^j+++xvbn+=passed
clean ^jj++++=clean
through ^in++++=through
the ^ati++++=the
western ^jj+atrb+++=western
bluff ^nn++++=bluff.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
scarcely ^rb+down+++=scarcely
twenty ^cd++++=twenty
feet ^nns++++=feet
wide ^jj++++=wide
at ^in++++=at
the ^ati++++=the
mouth ^nn++++=mouth
and ^cc++++=and
narrower ^jjr++++=narrower
within ^in+strn+++=within,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
beyond ^in++++=beyond
it ^pp3+it+++=it
lay ^vbd+++xvbn+=lay
open ^jj+atrb+++=open
desert ^nn++++=desert
and ^cc++++=and,
, ^zz++++=EXTRAWORD
fifteen ^cd++++=fifteen
miles ^nns++++=miles
farther ^rbr++++=farther,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Bar ^nn++++=Bar-M
- ^zz++++=EXTRAWORD
m ^zz++++=EXTRAWORD
ranch ^nn++++=ranch.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
knew ^vbd+vprv+tht0+xvbn+=knew
that ^tht+vcmp+++=that
cut ^vbd+++xvbn+=cut.
. ^zz++++=EXTRAWORD
So ^ql++++=So
did ^vbd+dod+vrb++=did
Esteban ^np+++??+=Esteban.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sunset ^nn++++=sunset
flattened ^vwbn+++xvbn+=flattened
itself ^ppl++++=itself
in ^in++++=in
crimson ^nn+++??+=crimson
strips ^nns++++=strips
beneath ^in+pl+++=beneath
the ^ati++++=the
clouds ^nns++++=clouds.
. ^zz++++=EXTRAWORD
Ahead ^rb+cnj+++=Ahead,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bluff ^nn++++=bluff
ran ^vbd+++xvbn+=ran
black ^nn++++=black
against ^in++++=against
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
without ^in++++=without
break ^nn++++=break
except ^in++++=except
for ^in"++++=for
the ^ati++++=the
little ^jj+atrb+++=little
notch ^nn++++=notch
of ^in++++=of
the ^ati++++=the
ravine ^nn++++=ravine.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
came ^vbd+++xvbn+=came
the ^ati++++=the
hard ^nn++++=hard
drumming ^vwbg+++xvbg+=drumming
of ^in++++=of
pursuit ^nn++++=pursuit.
. ^zz++++=EXTRAWORD
" ^zz++++="They're
they ^pp3a+pp3+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
gainin ^nn+++??+=gainin',"
'," ^nn+++??+=EXTRAWORD
Alfred ^nn++++=Alfred
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
got ^vbd+++xvbn+=got
the ^ati++++=the
better ^jjr+atrb+++=better
horses ^nns++++=horses."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
got ^vbd+++xvbnx+=got
more ^rbr++++=more
of ^in++++=of
' ^zz++++='em."
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
Alfred ^np++++=Alfred's
's ^$++++=EXTRAWORD
manner ^nn++++=manner
of ^in++++=of
pointing ^xvbg+++xvbg+=pointing
out ^rp+pl+++=out
that ^cs+sub+++=that
Esteban ^np++++=Esteban's
's ^$++++=EXTRAWORD
men ^nns++++=men
could ^md+pos+++=could
ride ^vb++++=ride
without ^in++++=without
regard ^nn++++=regard
for ^in++++=for
preserving ^xvbg+++xvbg+=preserving
their ^pp$+pp3+++=their
mounts ^nns++++=mounts,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
spare ^vb++++=spare
animals ^nns+nom+++=animals,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
Tom ^np++++=Tom
and ^cc++++=and
Alfred ^np++++=Alfred
each ^ppls++++=each
possessed ^vbd+++xvbn+=possessed
only ^rb+down+++=only
one ^cd1++++=one
horse ^nn++++=horse
and ^cc++++=and
a ^at++++=a
strong ^jj+atrb+++=strong
desire ^nn++++=desire
to ^to+ncmp+++=to
keep ^vbi++++=keep
it ^pp3+it+++=it
under ^in++++=under
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
bent ^vbd+++xvbnx+=bent
low ^jj++++=low.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
slickers ^nns+nom+++=slickers
flapped ^vbd+++xvbn+=flapped.
. ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
lost ^vbd+++xvbn+=lost
his ^pp$+pp3+++=his
hat ^nn++++=hat
altogether ^nn+nom+++=altogether
and ^cc++++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
go ^vb++++=go
back ^jjb++++=back
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
ravine ^nn++++=ravine
mouth ^nn++++=mouth
a ^at++++=a
rifle ^nn++++=rifle
cracked ^vbd+++xvbn+=cracked.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
horse ^nn++++=horse
stumbled ^vbd+++xvbn+=stumbled,
, ^zz++++=EXTRAWORD
recovered ^j+++xvbn+=recovered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
plunged ^vpsv++agls+xvbn+=plunged
between ^in++++=between
the ^ati++++=the
clay ^nn++++=clay
walls ^nns++++=walls.
. ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
followed ^vbd+vprv++xvbn+=followed.
. ^zz++++=EXTRAWORD
Bullets ^nns+nom+++=Bullets
struck ^vbd+++xvbn+=struck
the ^ati++++=the
bluff ^nn++++=bluff
and ^cc++++=and
threw ^vbd+++xvbn+=threw
out ^rb+phrv+++=out
white ^jj+atrb+++=white
puffs ^nns++++=puffs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sound ^nn++++=sound
of ^in++++=of
every ^at++++=every
shot ^nn++++=shot
doubled ^vwbn+++xvbn+=doubled
in ^in++++=in
the ^ati++++=the
narrow ^jj+atrb+++=narrow
place ^nn++++=place
until ^cs+sub+++=until
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
that ^tht+vcmp+++=that
the ^ati++++=the
dead ^jj+atrb+++=dead
river ^npl++++=river
itself ^ppl++++=itself
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
up ^rb+phrv+++=up
firearms ^nns++++=firearms.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
bay ^npl++++=bay
made ^vbd+++xvbn+=made
thirty ^cd++++=thirty
yards ^nns++++=yards
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
its ^pp$+it+++=its
hindquarters ^nns+nom+++=hindquarters
sagged ^vbd+++xvbn+=sagged.
. ^zz++++=EXTRAWORD
" ^zz++++="Hit,"
hit ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tom ^np++++=Tom
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
forced ^vpsv++agls+xvbnx+=forced
to ^to+vcmp+++=to
stop ^vbi++++=stop
where ^wrb+who+++=where
the ^ati++++=the
ravine ^npl++++=ravine
narrowed ^vbd+++xvbn+=narrowed
beside ^in+pl+++=beside
a ^at++++=a
shelf ^nn++++=shelf
of ^in++++=of
crumbling ^xvbg+++xvbg+=crumbling
clay ^nn++++=clay.
. ^zz++++=EXTRAWORD
The ^ati++++=The
horse ^nn++++=horse's
's ^vbz+bez+vrb++0=EXTRAWORD
right ^jj+atrb+++=right
hind ^jjb+atrb+++=hind
leg ^nn++++=leg
was ^vbd+bedz+aux++=was
shattered ^vpsv++agls+xvbnx+=shattered
above ^jjb++++=above
the ^ati++++=the
hock ^nn++++=hock.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
rise ^vbi++++=rise,
, ^zz++++=EXTRAWORD
sweating ^vbg+++xvbg+=sweating
and ^cc+phrs+++=and
trembling ^vbg+nom++xvbg+=trembling.
. ^zz++++=EXTRAWORD
Alfred ^np++++=Alfred
dismounted ^vbd+++xvbn+=dismounted,
, ^zz++++=EXTRAWORD
placed ^xvbn+++xvbn+=placed
his ^pp$+pp3+++=his
revolver ^nn+nom+++=revolver
behind ^in+pl+++=behind
its ^pp$+it+++=its
ear ^nn++++=ear
and ^cc++++=and
fired ^vwbn+++xvbn+=fired.
. ^zz++++=EXTRAWORD
The ^ati++++=The
animal ^nn++++=animal
dropped ^vbd+++xvbn+=dropped.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
pulled ^vbd+++xvbnx+=pulled
the ^ati++++=the
body ^nn++++=body
crosswise ^rb++++=crosswise
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
they ^pp3a+pp3+++=they
could ^md+pos+++=could.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
saddle ^nn++++=saddle
came ^vbd+++xvbn+=came
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
snatched ^vbd+++xvbn+=snatched
the ^ati++++=the
rifle ^nn++++=rifle
from ^in++++=from
its ^pp$+it+++=its
scabbard ^nn+++??+=scabbard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
both ^abx++++=both
men ^nns++++=men
crouched ^vbd+++xvbn+=crouched
behind ^in+pl+++=behind
the ^ati++++=the
dead ^jj+atrb+++=dead
horse ^nn++++=horse
as ^ql++++=as
the ^ati++++=the
first ^rb++++=first
vaqueros ^nns+++??+=vaqueros
entered ^vbd+++xvbn+=entered
the ^ati++++=the
cut ^nn+++xvbn+=cut.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
little ^ap++++=little
to ^to++++=to
say ^vbi+vpub+++=say
about ^in++++=about
the ^ati++++=the
next ^ap++++=next
minute ^nn++++=minute,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
action ^nn++++=action
of ^in++++=of
that ^dt+dem+++=that
sort ^nn++++=sort
is ^vbz+bez+vrb++=is
plain ^nn++++=plain.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
appeared ^vbd+seem++xvbn+=appeared
beside ^in+pl+++=beside
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
fired ^vbd+++xvbn+=fired.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
fell ^vbd+++xvbn+=fell.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
more ^ql++++=more
rushed ^jj+++xvbn+=rushed
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
shot ^vbd+++xvbn+=shot
one ^pn++++=one
through ^in++++=through
the ^ati++++=the
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
dropped ^jj+++xvbn+=dropped
behind ^in+pl+++=behind
a ^at++++=a
boulder ^nn++++=boulder.
. ^zz++++=EXTRAWORD
Esteban ^np+++??+=Esteban
shouted ^vbd+vpub++xvbn+=shouted
from ^in++++=from
outside ^nn++++=outside.
. ^zz++++=EXTRAWORD
Rifles ^nns++++=Rifles
answered ^vbd+vpub++xvbn+=answered
from ^in++++=from
the ^ati++++=the
heights ^nns++++=heights,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
angle ^nn++++=angle
was ^vbd+bedz+vrb++=was
bad ^jj+pred+++=bad
and ^cc++++=and
the ^ati++++=the
twilight ^nn++++=twilight
poorer ^jjr++++=poorer.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
fired ^vbd+++xvbn+=fired
at ^rb++++=at
a ^at++++=a
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hat ^nn++++=hat
vanished ^vbd+++xvbn+=vanished.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
attack ^nn++++=attack
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
Smoke ^vb++++=Smoke
drifted ^vbd+++xvbn+=drifted
between ^in++++=between
the ^ati++++=the
walls ^nns++++=walls.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dead ^jj+atrb+++=dead
horse ^nn++++=horse
jerked ^vbd+++xvbn+=jerked
once ^rb+tm+++=once
beneath ^rb++++=beneath
their ^pp$+pp3+++=their
arms ^nns++++=arms
and ^cc++++=and
was ^vbd+bedz+vrb++=was
still ^rb++++=still.
. ^zz++++=EXTRAWORD
Somewhere ^rb++++=Somewhere
down ^in++++=down
the ^ati++++=the
ravine ^nn++++=ravine
an ^at++++=an
injured ^jj+atrb++xvbn+=injured
man ^nn++++=man
groaned ^vbd+++xvbn+=groaned
steadily ^rb+cnj+++=steadily,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
regularity ^nn+nom+++=regularity
of ^in++++=of
a ^at++++=a
saw ^nn++++=saw.
. ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
opened ^vbd+++xvbn+=opened
