# ^zz++++=#
Silverhorns ^np+++??+=Silverhorns
to ^to+vcmp+++=to
murder ^vbi++++=murder
Silverhorns ^np+++??+=Silverhorns,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
failed ^vprf+++xvbnx+=failed
with ^in++++=with
a ^at++++=a
thoroughness ^nns+nom+++=thoroughness
that ^tht+rel+subj++=that
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
satisfy ^vb++++=satisfy
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
does ^vbz+doz+aux++=does
not ^xnot++not++=not
merely ^rb+down+++=merely
satisfy ^vb++++=satisfy
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mcleod ^np+++??+=McLeod.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
strengthens ^vbz++++=strengthens
my ^pp$+pp1+++=my
faith ^nn++++=faith."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Rain ^nn++++=Rain
ticked ^vbd+++xvbn+=ticked
upon ^in++++=upon
the ^ati++++=the
cab ^nn++++=cab
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
down ^in++++=down
the ^ati++++=the
line ^nn++++=line
a ^at++++=a
switch ^nn++++=switch
lamp ^nn++++=lamp
showed ^vbd+vprv++xvbn+=showed
green ^nn++++=green,
, ^zz++++=EXTRAWORD
suspended ^xvbn+++xvbn+=suspended
in ^in++++=in
the ^ati++++=the
vapour ^nn++++=vapour.
. ^zz++++=EXTRAWORD
Mcleod ^np+++??+=McLeod
settled ^vbd+++xvbn+=settled
against ^in++++=against
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
cab ^nn++++=cab
and ^cc++++=and
folded ^vbd+++xvbn+=folded
his ^pp$+pp3+++=his
arms ^nns++++=arms.
. ^zz++++=EXTRAWORD
" ^zz++++="Begin
begin ^vb++++=EXTRAWORD
at ^in++++=at
the ^ati++++=the
beginning ^nvbg+++xvbg+=beginning,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
failure ^nn++++=failure
properly ^rb++++=properly
narrated ^jj+++xvbn+=narrated
is ^vbz+bez+vrb++=is
better ^jjr+pred+++=better
than ^in++++=than
most ^ql+emph+++=most
victories ^nns++++=victories."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
beginning ^nvbg+++xvbg+=beginning
was ^vbd+bedz+vrb++=was
seven ^cd++++=seven
years ^nns++++=years
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
Brassard ^np+++??+=Brassard
and ^cc++++=and
I ^pp1a+pp1+++=I
were ^vbd+bed+aux++=were
hunting ^vbg+++xvbgx+=hunting
north ^nr+pl+++=north
of ^in++++=of
the ^ati++++=the
Crooked ^jj+atrb+++=Crooked
Water ^nn++++=Water.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
found ^vbd+vprv++xvbn+=found
a ^at++++=a
track ^nn++++=track
in ^in++++=in
the ^ati++++=the
mud ^nn++++=mud
beside ^in+pl+++=beside
a ^at++++=a
beaver ^jjr+atrb+++=beaver
pond ^nn++++=pond
a ^at++++=a
track ^npl++++=track
so ^ql+emph+++=so
large ^jj+atrb+++=large
Billy ^np++++=Billy
laid ^vbd+++xvbn+=laid
his ^pp$+pp3+++=his
cap ^nn++++=cap
in ^in++++=in
it ^pp3+it+++=it
and ^cc++++=and
had ^vb+hv+aux++=had
room ^nn++++=room
left ^vbd+++xvbn+=left
for ^in++++=for
his ^pp$+pp3+++=his
tobacco ^nn++++=tobacco
pouch ^nn+++??+=pouch."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Billy's
billy ^np++++=EXTRAWORD
's ^$++++=EXTRAWORD
cap ^nn++++=cap
is ^vbz+bez+vrb++=is
no ^at++++=no
standard ^nn++++=standard
of ^in++++=of
measurement ^nn+nom+++=measurement.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
head ^nn++++=head
is ^vbz+bez+vrb++=is
scarcely ^rb+down+++=scarcely
larger ^jjr+pred+++=larger
than ^in++++=than
a ^at++++=a
turnip ^nn++++=turnip."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
tremendous ^jj+atrb+++=tremendous
track ^nn++++=track.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
followed ^vbd+vprv+tht0+xvbn+=followed
it ^pp3+it+++=it
through ^in++++=through
black ^jj++++=black
spruce ^jj++++=spruce
and ^cc+phrs+++=and
alder ^jjr++++=alder
until ^in++++=until
noon ^nn++++=noon.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
burnt ^vbd+++xvbn+=burnt-over
- ^zz++++=EXTRAWORD
over ^in++++=EXTRAWORD
patch ^nn++++=patch,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
bull ^nn++++=bull
for ^in++++=for
perhaps ^rb++++=perhaps
three ^cd++++=three
seconds ^nns++++=seconds.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
antlers ^nns+nom+++=antlers
were ^vbd+bed+vrb++=were
pale ^nn++++=pale
at ^rb++++=at
the ^ati++++=the
tips ^nns++++=tips,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
silver ^nn++++=silver.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
how ^wrb+who+++=how
Billy ^np++++=Billy
named ^vbd+++xvbn+=named
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
ye ^pp2+pp2+++=ye
fired ^vbd+++xvbn+=fired?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
had ^vb+hv+vrb++=had
no ^at++++=no
shot ^nn++++=shot.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
behind ^in+pl+++=behind
a ^at++++=a
windfall ^nn++++=windfall."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
weak ^jj+atrb+++=weak
excuse ^nn++++=excuse,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
continue ^vb++++=continue."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
next ^ap++++=next
year ^nn++++=year
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
him ^pp3o+pp3+++=him
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
ten ^cd++++=ten
miles ^nns++++=miles
east ^np+pl+++=east.
. ^zz++++=EXTRAWORD
The ^ati++++=The
year ^nn++++=year
after ^in++++=after
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
farther ^rbr++++=farther
north ^nr+pl+++=north.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
I ^pp1a+pp1+++=I
caught ^vbd+++xvbnx+=caught
sight ^nn++++=sight
of ^in++++=of
him ^pp3o+pp3+++=him
crossing ^vbg+++xvbg+=crossing
a ^at++++=a
ridge ^nn++++=ridge
at ^rb++++=at
sunset ^nn++++=sunset.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
we ^pp1a+pp1+++=we
heard ^vbd+vprv+tht0+xvbn+=heard
him ^pp3o+pp3+++=him
thrashing ^vbg+++xvbg+=thrashing
a ^at++++=a
birch ^nn++++=birch.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
within ^in++++=within
thirty ^cd++++=thirty
yards ^nns++++=yards,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
three ^cd++++=three
young ^jj+atrb+++=young
trees ^nns++++=trees
between ^in++++=between
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder
and ^cc++++=and
my ^pp$+pp1+++=my
sights ^nns++++=sights.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
season ^nn++++=season
something ^pn++++=something
happened ^vbd+++xvbn+=happened."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Predestination,"
predestination ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mcleod ^np+++??+=McLeod.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
beast ^nn++++=beast
was ^vbd+bedz+aux++=was
appointed ^vpsv++agls+xvbnx+=appointed
to ^to+vcmp+++=to
live ^vbi++++=live,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ye ^pp2+pp2+++=ye
were ^vbd+bed+aux++=were
appointed ^vpsv++agls+xvbnx+=appointed
to ^to+vcmp+++=to
waste ^vbi++++=waste
cartridges ^nns+++??+=cartridges."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
year ^nn++++=year
I ^pp1a+pp1+++=I
determined ^jj+++xvbnx+=determined
to ^to+jcmp+++=to
settle ^vbi++++=settle
the ^ati++++=the
question ^nn+nom+++=question."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
declaration ^nn+nom+++=declaration
which ^whp+rel+subj++=which
must ^md+nec+++=must
have ^vb+hv+aux++=have
caused ^vprf+++xvbnx+=caused
great ^np++++=great
anxiety ^nn++++=anxiety
in ^in++++=in
heaven ^nn++++=heaven."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hemenway ^np+++??+=Hemenway
stretched ^vwbn+++xvbn+=stretched
his ^pp$+pp3+++=his
wet ^jj+atrb+++=wet
boots ^nns++++=boots
toward ^in++++=toward
the ^ati++++=the
firebox ^nn+++??+=firebox.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
irritation ^nn+nom+++=irritation,
, ^zz++++=EXTRAWORD
warmed ^xvbn+++xvbn+=warmed
by ^in++++=by
the ^ati++++=the
cab ^nn++++=cab
and ^cc++++=and
encouraged ^vpsv++by+xvbn+=encouraged
by ^in++++=by
an ^at++++=an
audience ^nn+nom+++=audience,
, ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
to ^to++++=to
loosen ^vbi++++=loosen
into ^in++++=into
narrative ^nn++++=narrative
pleasure ^nn++++=pleasure.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
went ^vbd+++xvbn+=went
in ^in++++=in
by ^in++++=by
canoe ^nn+++??+=canoe
from ^in++++=from
Saint ^nn++++=Saint
Aur ^np+++??+=Aur
le ^&fw++++=le
Billy ^np++++=Billy,
, ^zz++++=EXTRAWORD
young ^jj+atrb+++=young
Tom ^np++++=Tom
Vane ^np++++=Vane,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
Tom ^np++++=Tom?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
lad ^nn++++=lad
with ^in++++=with
spectacles ^nns++++=spectacles?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
wears ^vbz++++=wears
them ^pp3o+pp3+++=them
for ^in++++=for
reading ^xvbg+++xvbg+=reading."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
for ^in++++=for
shooting ^xvbg+++xvbg+=shooting?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
claims ^nns++++=claims
not ^xnot++not++=not."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
he ^pp3a+pp3+++=he
shoots ^nns++++=shoots
without ^in++++=without
seeing ^nn++++=seeing.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
theology ^nn++++=theology
in ^cs+sub+++=in
that ^cs"++++=that
too ^rb++++=too."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
had ^vb+hv+vrb++=had
twelve ^cd++++=twelve
days ^nns++++=days.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
four ^cd++++=four
it ^pp3+it+++=it
rained ^vbd+++xvbn+=rained
without ^in++++=without
interruption ^nn+nom+++=interruption.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
ordinary ^jj+atrb+++=ordinary
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
deliberate ^jj+atrb+++=deliberate
descent ^nn++++=descent
of ^in++++=of
the ^ati++++=the
whole ^jj+atrb+++=whole
Atlantic ^np++++=Atlantic
Ocean ^nn++++=Ocean.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tents ^nns++++=tents
leaked ^vprf+++xvbn+=leaked,
, ^zz++++=EXTRAWORD
the ^ati++++=the
blankets ^nns++++=blankets
smoked ^vbd+++xvbn+=smoked,
, ^zz++++=EXTRAWORD
the ^ati++++=the
flour ^nn++++=flour
became ^vbd+++xvbn+=became
paste ^nn++++=paste,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
woods ^nns++++=woods
were ^vbd+bed+vrb++=were
so ^ql+emph+++=so
full ^jj++++=full
of ^in++++=of
water ^nn++++=water
that ^tht+rel+++=that
whenever ^nn+nom+++=whenever
you ^pp2+pp2+++=you
leaned ^vbd+++xvbn+=leaned
against ^in++++=against
a ^at++++=a
tree ^nn++++=tree
another ^dt++++=another
shower ^nn++++=shower
fell ^vbd+++xvbn+=fell
from ^in++++=from
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
said ^vbd+vpub+tht0+xvbn+=said
the ^ati++++=the
moose ^nn+++??+=moose
had ^vb+hv+aux++=had
probably ^rb++splt++=probably
learned ^vprf+++xvbnx+=learned
to ^to+vcmp+++=to
swim ^vbi++++=swim
and ^cc+phrs+++=and
gone ^xvbn+++xvbn+=gone
south ^np+pl+++=south."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Billy
billy ^np++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
imagination ^nn+nom+++=imagination."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
the ^ati++++=the
fifth ^nn++++=fifth
morning ^nn++++=morning
the ^ati++++=the
wind ^nn++++=wind
shifted ^vbd+++xvbn+=shifted
north ^nr+pl+++=north
and ^cc++++=and
the ^ati++++=the
sky ^nn++++=sky
cleared ^vwbn+++xvbn+=cleared.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
found ^vbd+vprv++xvbn+=found
fresh ^jj+atrb+++=fresh
sign ^nn++++=sign
above ^jjb++++=above
Long ^rb++++=Long
Pond ^nn++++=Pond:
: ^zz++++=EXTRAWORD
bark ^nn++++=bark
newly ^rb++++=newly
stripped ^vbd+++xvbn+=stripped,
, ^zz++++=EXTRAWORD
mud ^nn++++=mud
still ^rb++++=still
oozing ^vbg+++xvbg+=oozing
in ^in++++=in
the ^ati++++=the
hoofprints ^nns+++??+=hoofprints,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
bed ^nn++++=bed
warm ^vb++++=warm
enough ^qlp++++=enough
for ^in++++=for
Billy ^np++++=Billy
to ^to++++=to
swear ^vbi+vpub+tht0+xvbn+=swear
the ^ati++++=the
bull ^np++++=bull
had ^vbd+hvd+aux++=had
risen ^vwbn+++xvbn+=risen
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
us ^pp1o+pp1+++=us."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+vrb++=EXTRAWORD
he ^pp3a+pp3+++=he?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
swears ^vbz++++=swears
warmly ^rb++++=warmly
on ^in++++=on
cold ^jj+atrb+++=cold
evidence ^nn+nom+++=evidence.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
sign ^nn++++=sign
was ^vbd+bedz+vrb++=was
fresh ^jj+pred+++=fresh.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
followed ^vbd+vprv++xvbn+=followed
all ^abn++++=all
day ^nn++++=day
and ^cc++++=and
came ^vbd+++xvbn+=came
at ^rb++++=at
last ^rb"++++=last
to ^in++++=to
a ^at++++=a
ridge ^nn++++=ridge
above ^jjb++++=above
a ^at++++=a
marsh ^nn++++=marsh.
. ^zz++++=EXTRAWORD
From ^in++++=From
there ^rn+pl+++=there
we ^pp1a+pp1+++=we
could ^md+pos+++=could
see ^vb+vprv+++=see
two ^cd++++=two
miles ^nns++++=miles
of ^in++++=of
yellow ^jj+atrb+++=yellow
grass ^nn++++=grass,
, ^zz++++=EXTRAWORD
scattered ^jj+atrb++xvbn+=scattered
pools ^nns++++=pools,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
little ^ap++++=little
islands ^nns++++=islands
of ^in++++=of
spruce ^nn++++=spruce.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
far ^rb+pl+++=far
end ^nn++++=end
stood ^vbd+++xvbn+=stood
a ^at++++=a
cow ^nn++++=cow
and ^cc++++=and
calf ^nn++++=calf."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Family
family ^nn++++=EXTRAWORD
life ^nn++++=life,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mcleod ^np+++??+=McLeod.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
sacred ^jj+atrb+++=sacred
institution ^nn+nom+++=institution,
, ^zz++++=EXTRAWORD
even ^rb++++=even
among ^in++++=among
your ^pp$+pp2+++=your
intended ^vbn+vsua++xvbn+=intended
victims ^nns++++=victims."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
lay ^vbd+++xvbn+=lay
there ^rn+pl+++=there
until ^in++++=until
dusk ^nn++++=dusk.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
as ^in++++=as
the ^ati++++=the
light ^nn++++=light
began ^vbd+++xvbn+=began
to ^to++++=to
go ^vbi++++=go,
, ^zz++++=EXTRAWORD
the ^ati++++=the
alders ^nn++++=alders
moved ^vbd+++xvbn+=moved
below ^rb++++=below
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
First ^rb++++=First
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
palms ^nns++++=palms
of ^in++++=of
antlers ^nns+nom+++=antlers;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
head ^nn++++=head;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
whole ^jj+atrb+++=whole
bull ^np++++=bull
stepped ^vbd+++xvbn+=stepped
out ^rp+pl+++=out."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Silverhorns?"
silverhorns ^vbz+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
no ^at++++=no
mistaking ^jj+++xvbg+=mistaking
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
antlers ^nns+nom+++=antlers
seemed ^vbd+seem++xvbn+=seemed
wider ^jjr++++=wider
than ^in++++=than
the ^ati++++=the
space ^nn++++=space
between ^in++++=between
two ^cd++++=two
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
The ^ati++++=The
right ^jj+atrb+++=right
palm ^np++++=palm
was ^vbd+bedz+vrb++=was
dark ^jj+pred+++=dark,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
left ^nn++++=left
carried ^vbd+++xvbn+=carried
three ^cd++++=three
bleached ^jj+atrb++xvbn+=bleached
tines ^nns+++??+=tines
that ^tht+rel+subj++=that
shone ^vbd+++xvbn+=shone
against ^in++++=against
the ^ati++++=the
alders ^nn++++=alders.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stood ^vbd+++xvbnx+=stood
quartering ^jj+++xvbg+=quartering
away ^rp+pl+++=away
at ^in++++=at
seventy ^cd++++=seventy
yards ^nns++++=yards."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mcleod ^np+++??+=McLeod
leaned ^vbd+++xvbn+=leaned
forward ^rb++++=forward
despite ^in++++=despite
his ^pp$+pp3+++=his
principles ^nns++++=principles.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
fair ^nn++++=fair
shot ^vbd+++xvbn+=shot?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
fairest ^jjt++++=fairest
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
ever ^rb++++=ever
had ^vb+hv+vrb++=had
at ^rb++++=at
him ^pp3o+pp3+++=him
except ^cs+sub+++=except
that ^cs"++++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
wrong ^jj+atrb+++=wrong
side ^nn++++=side
of ^in++++=of
Billy ^np++++=Billy.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
was ^vbd+bedz+vrb++=was
behind ^in+pl+++=behind
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bull ^nn++++=bull
was ^vbd+bedz+vrb++=was
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
dead ^jj+atrb+++=dead
spruce ^nn++++=spruce
lay ^vbd+++xvbn+=lay
across ^in+pl+++=across
my ^pp$+pp1+++=my
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
To ^to++++=To
move ^vbi++++=move
the ^ati++++=the
rifle ^nn++++=rifle
I ^pp1a+pp1+++=I
had ^md"++pmd"++=had
to ^md+nec+++=to
lift ^vb++++=lift
it ^pp3+it+++=it
over ^in++++=over
Billy ^np++++=Billy's
's ^$++++=EXTRAWORD
back ^jjb++++=back."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
not ^xnot++not++=not
shoot ^vb++++=shoot
from ^in++++=from
where ^wrb+who+++=where
ye ^pp2+pp2+++=ye
were ^vbd+bed+vrb++=were?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
bullet ^nn++++=bullet
through ^in++++=through
Billy ^np++++=Billy
would ^md+prd+++=would
have ^vb+hv+aux++=have
spoiled ^vprf+++xvbnx+=spoiled
the ^ati++++=the
guide ^nn++++=guide."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
might ^md+pos+++=might
have ^vb+hv+aux++=have
improved ^vprf+++xvbnx+=improved
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
raised ^vbd+++xvbnx+=raised
the ^ati++++=the
rifle ^nn++++=rifle
inch ^nn++++=inch
by ^in++++=by
inch ^nn++++=inch.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
lay ^vbd+++xvbn+=lay
flat ^nn++++=flat,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv+tht0+xvbg+=holding
his ^pp$+pp3+++=his
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bull ^np++++=bull
stood ^vbd+++xvbn+=stood
listening ^jj+++xvbg+=listening.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
the ^ati++++=the
barrel ^nn++++=barrel
clear ^jj++++=clear,
, ^zz++++=EXTRAWORD
drew ^j+++xvbn+=drew
down ^rp++++=down
on ^in++++=on
the ^ati++++=the
shoulder ^nn+nom+++=shoulder
and ^cc++++=and
the ^ati++++=the
dead ^jj++++=dead
spruce ^jj++++=spruce
rolled ^jj+++xvbn+=rolled."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Rolled?"
rolled ^vbd+++xvbn+=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Six
six ^cd++++=EXTRAWORD
inches ^nns++++=inches.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
enough ^qlp++++=enough.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
dragged ^vbd+++xvbn+=dragged
another ^ppls++++=another
branch ^nn++++=branch,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
dragged ^vbd+++xvbn+=dragged
another ^ppls++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
entire ^jjb+atrb+++=entire
slope ^nn++++=slope
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
crack ^vbi++++=crack
from ^in++++=from
top ^nn++++=top
to ^in++++=to
bottom ^nn++++=bottom.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bull ^nn++++=bull
went ^vbd+++xvbn+=went
through ^in++++=through
the ^ati++++=the
alders ^nn++++=alders
like ^in++++=like
a ^at++++=a
storm ^nn++++=storm.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fired ^vbd+++xvbnx+=fired
at ^rb++++=at
a ^at++++=a
grey ^jj+atrb+++=grey
patch ^nn++++=patch
and ^cc++++=and
cut ^vb+++xvbn+=cut
a ^at++++=a
twig ^nn++++=twig."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="First
first ^od++++=EXTRAWORD
attempted ^vprf+++xvbn+=attempted
murder ^vb++++=murder
