Well ^rb+cnj+++=Well,
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Coming ^vbg+++xvbg+=Coming
home ^nr++++=home,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
liked ^vbd+++xvbnx+=liked
the ^ati++++=the
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
the ^ati++++=the
little ^ap++++=little
bell ^nn++++=bell,
, ^zz++++=EXTRAWORD
the ^ati++++=the
red ^jj+atrb+++=red
cushions ^nns++++=cushions,
, ^zz++++=EXTRAWORD
the ^ati++++=the
singin ^nn+++??+=singin'
' ^zz++++=EXTRAWORD
boys ^nns++++=boys
and ^cc++++0=an'
the ^ati++++=the
rector ^nn++++=rector's
's ^$++++=EXTRAWORD
nightshirt ^nn+++??+=nightshirt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
intended ^vbd+vsua++xvbnx+=intended
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
' ^zz++++='Piscopal
piscopal ^jj++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
big ^jj++++=big
enough ^dt++++=enough
to ^in++++=to
own ^ap++++=own
boots ^nns++++=boots.
. ^zz++++=EXTRAWORD
Marthy ^np+++??+=Marthy
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can
belong ^vb++++=belong
before ^in++++=before
boots ^nns++++=boots."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
studied ^vbd+++xvbnx+=studied
over ^in++++=over
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
then ^rn+tm+++=then
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
they ^pp3a+pp3+++=they
cut ^vbd+++xvbnx+=cut
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
they ^pp3a+pp3+++=they
stick ^vb++++=stick
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
they ^pp3a+pp3+++=they
pull ^vb++++=pull
a ^at++++=a
tooth ^nn++++=tooth?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
honey ^nn++++=honey."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
belong ^vb++++=belong
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^cs+sub+++=That
looked ^vprf+++xvbn+=looked
settled ^vbd+++xvbn+=settled.
. ^zz++++=EXTRAWORD
Reverend ^npt++++=Reverend
Vale ^npl++++=Vale
come ^vprf+++xvbn+=come
to ^to++++=to
see ^vbi+vprv+++=see
us ^pp1o+pp1+++=us
Tuesday ^nr++++=Tuesday
evenin ^nn+++??+=evenin',
', ^nn+++??+=EXTRAWORD
bringin ^nn+++??+=bringin'
' ^zz++++=EXTRAWORD
a ^at++++=a
book ^nn++++=book
and ^cc++++0=an'
a ^at++++=a
manner ^nn++++=manner
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
mild ^jj++++=mild-spoken
- ^zz++++=EXTRAWORD
spoken ^vprf+++xvbn+=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
with ^in++++=with
hands ^nns++++=hands
that ^tht+rel+subj++=that
looked ^vprf+++xvbn+=looked
like ^in++++=like
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
never ^rb++splt++=never
shelled ^vprf+++xvbnx+=shelled
corn ^nn++++=corn,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
out ^rp+pl+++=out
later ^rbr+tm+++=later
they ^pp3a+pp3+++=they
was ^vbd+bedz+vrb++=was
capable ^jj+atrb+++=capable
hands ^nns++++=hands
in ^in++++=in
an ^at++++=an
emergency ^nn++++=emergency.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
explained ^vbd+vpub++xvbnx+=explained
baptism ^nn+nom+++=baptism,
, ^zz++++=EXTRAWORD
sponsors ^vbz++++=sponsors,
, ^zz++++=EXTRAWORD
vows ^nns+++??+=vows,
, ^zz++++=EXTRAWORD
regeneration ^nn+nom+++=regeneration
and ^cc++++0=an'
spiritual ^jj+atrb+++=spiritual
membership ^nn+nom+++=membership,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
listened ^vbd+++xvbnx+=listened
careful ^jj++++=careful.
. ^zz++++=EXTRAWORD
Marthy ^np+++??+=Marthy
listened ^vbd+++xvbn+=listened
too ^ql++++=too.
. ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
set ^vbd+++xvbn+=set
under ^in++++=under
the ^ati++++=the
table ^nn++++=table
makin ^nn+++??+=makin'
' ^zz++++=EXTRAWORD
a ^at++++=a
corral ^nn++++=corral
out ^rp+pl+++=out
of ^in++++0=o'
the ^ati++++=the
rector ^nn++++=rector's
's ^$++++=EXTRAWORD
coat ^nn++++=coat
tails ^nns++++=tails.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
rector ^nn++++=rector
says ^vbz+vpub+++=says
" ^zz++++="baptismal
baptismal ^jj+atrb+++=EXTRAWORD
water ^nn++++=water,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
come ^vb++++=come
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
water ^nn++++=water?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
water ^nn++++=water
used ^vwbn+++xvbn+=used
in ^in++++=in
holy ^jj+atrb+++=holy
baptism ^nn+nom+++=baptism,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Reverend ^npt++++=Reverend
Vale ^nn++++=Vale.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
with ^in++++=with
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
place ^nn++++=place
it ^pp3+it+++=it
upon ^in++++=upon
the ^ati++++=the
forehead ^nn++++=forehead."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="With
with ^in++++=EXTRAWORD
a ^at++++=a
needle ^nn++++=needle?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
son ^nn++++=son."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Show
show ^nn++++=EXTRAWORD
me ^pp1o+pp1+++=me
the ^ati++++=the
needle ^nn++++=needle."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
no ^at++++=no
needle ^nn++++=needle."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
looked ^vbd+++xvbn+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
Marthy ^np+++??+=Marthy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
his ^pp$+pp3+++=his
face ^vb++++=face
shut ^vbd+++xvbn+=shut
up ^rp++++=up
like ^in++++=like
a ^at++++=a
morning ^nn++++=morning-glory
- ^zz++++=EXTRAWORD
glory ^nn++++=EXTRAWORD
after ^in++++=after
sundown ^nn++++=sundown.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
vaccinated ^vpsv++agls+xvbnx+=vaccinated,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
the ^ati++++=the
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
got ^vprf+++xvbnx+=got
baptism ^nn+nom+++=baptism
and ^cc++++0=an'
vaccination ^nn+nom+++=vaccination
twisted ^vbd+++xvbn+=twisted
together ^nn+nom+++=together
in ^in++++=in
his ^pp$+pp3+++=his
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
all ^rb++++=all
the ^ati++++=the
explanations ^nns+nom+++=explanations
in ^in++++=in
the ^ati++++=the
county ^nn++++=county
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
untwist ^nn+nom+++=untwist
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
had ^vb+hv+vrb++=had
some ^dti++++=some
experience ^nn+nom+++=experience
with ^in++++=with
vaccination ^nn+nom+++=vaccination
or ^cc++++=or,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
exact ^jj++++=exact,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
had ^vb+hv+vrb++=had
experience ^nn+nom+++=experience
avoidin ^nn+++??+=avoidin'
' ^zz++++=EXTRAWORD
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
smallpox ^nn++++=smallpox
down ^rp++++=down
at ^rb++++=at
Briar ^nn++++=Briar
Junction ^nn+nom+++=Junction
the ^ati++++=the
winter ^nn++++=winter
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
Doctor ^nn++++=Doctor
Peavy ^np+++??+=Peavy
said ^vbd+vpub++xvbn+=said
every ^at++++=every
livin ^nn+++??+=livin'
' ^zz++++=EXTRAWORD
soul ^nn++++=soul
on ^in++++=on
our ^pp$+pp1+++=our
place ^nn++++=place
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
vaccinated ^jj+++xvbn+=vaccinated.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
come ^vb++++=come
out ^rb+phrv+++=out
with ^in+ppvb+++=with
his ^pp$+pp3+++=his
little ^ap++++=little
leather ^nn++++=leather
case ^nn++++=case
and ^cc++++0=an'
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
ivory ^nn++++=ivory,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
Sonny ^nn++++=Sonny
seen ^vbd+vprv+tht0+xvbn+=seen
him ^pp3o+pp3+++=him
scrape ^vb++++=scrape
Marthy ^np++++=Marthy's
's ^$++++=EXTRAWORD
arm ^vb++++=arm.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
you ^pp2+pp2+++=you
doin ^nn+++??+=doin'
' ^zz++++=EXTRAWORD
to ^in++++=to
Ma ^npt++++=Ma?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Sonny ^nn++++=Sonny.
. ^zz++++=EXTRAWORD
" ^zz++++="Protectin'
protectin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
doctor ^nn++++=doctor.
. ^zz++++=EXTRAWORD
" ^zz++++="Does
does ^vbz+doz+aux++=EXTRAWORD
protection ^nn+nom+++=protection
hurt ^vbd+++xvbn+=hurt?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Just
just ^rb+emph+++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
protect ^vb++++=protect
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Sonny ^nn++++=Sonny,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
went ^vpsv++agls+xvbn+=went
through ^in++++=through
the ^ati++++=the
pantry ^nn++++=pantry
window ^nn++++=window
without ^in++++=without
openin ^nn+++??+=openin'
' ^zz++++=EXTRAWORD
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
run ^vbd+++xvbnx+=run
like ^in++++=like
zig ^nn+++??+=zig-zag
- ^zz++++=EXTRAWORD
zag ^nn+++??+=EXTRAWORD
lightnin ^nn+++??+=lightnin'.
'. ^nn+++??+=EXTRAWORD
By ^in++++=By
the ^ati++++=the
time ^nn++++=time
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
around ^rp++++=around
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
smokehouse ^nn+++??+=smokehouse
loft ^nn++++=loft,
, ^zz++++=EXTRAWORD
behind ^in+pl+++=behind
two ^cd++++=two
hams ^nns++++=hams
and ^cc++++0=an'
a ^at++++=a
sack ^nn++++=sack
of ^in++++=of
dried ^xvbn+++xvbn+=dried
apples ^nns++++=apples.
. ^zz++++=EXTRAWORD
Doctor ^nn++++=Doctor
Peavy ^np+++??+=Peavy
coaxed ^vwbn+++xvbn+=coaxed.
. ^zz++++=EXTRAWORD
Marthy ^np+++??+=Marthy
coaxed ^vwbn+++xvbn+=coaxed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
commanded ^vbd+vpub++xvbnx+=commanded.
. ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
said ^vbd+vpub++xvbn+=said
no ^at++++=no
to ^in++++=to
each ^dt++++=each
one ^pn++++=one
in ^in++++=in
a ^at++++=a
separate ^nn+nom+++=separate
tone ^nn++++=tone,
, ^zz++++=EXTRAWORD
suitable ^jj++++=suitable
to ^in++++=to
our ^pp$+pp1+++=our
rank ^nn++++=rank.
. ^zz++++=EXTRAWORD
Finally ^rb++++=Finally
the ^ati++++=the
doctor ^nn++++=doctor
' ^zz++++='lowed
lowed ^jj+++xvbn+=EXTRAWORD
maybe ^rb+hdg+++=maybe
it ^pp3+it+++=it
would ^md+prd+++=would
encourage ^nn+nom+++=encourage
him ^pp3o+pp3+++=him
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
us ^pp1o+pp1+++=us
done ^vbd+++xvbn+=done.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
rolled ^vbd+++xvbnx+=rolled
up ^rp++++=up
my ^pp$+pp1+++=my
sleeve ^nn++++=sleeve.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
vaccinated ^vpsv++agls+xvbnx+=vaccinated
twice ^rb++++=twice
already ^rb+cnj+++=already,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
moments ^nns+nom+++=moments
when ^wrb+who+++=when
a ^at++++=a
father ^nn++++=father's
's ^$++++=EXTRAWORD
arm ^nn++++=arm
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
rightly ^rb++++=rightly
belong ^vb++++=belong
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
doctor ^nn++++=doctor
scraped ^vbd+++xvbn+=scraped
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
on ^in++++=on
the ^ati++++=the
virus ^nn++++=virus
and ^cc++++0=an'
tied ^vbd+++xvbn+=tied
a ^at++++=a
rag ^nn++++=rag
over ^in++++=over
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
peeped ^vbd+++xvbn+=peeped
down ^rp++++=down.
. ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
it ^pp3+it+++=it
hurt ^vbd+++xvbn+=hurt?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
a ^at++++=a
mite ^nn++++=mite,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
Doctor ^nn++++=Doctor
Peavy ^np+++??+=Peavy
had ^vbd+hvd+aux++=had
dug ^vprf+++xvbnx+=dug
like ^in++++=like
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
plantin ^nn+++??+=plantin'
' ^zz++++=EXTRAWORD
beans ^nns++++=beans.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+vrb++=EXTRAWORD
it ^pp3+it+++=it
again ^rb+cnj+++=again,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Sonny ^nn++++=Sonny.
. ^zz++++=EXTRAWORD
The ^ati++++=The
doctor ^nn++++=doctor
done ^vwbn+++xvbn+=done
the ^ati++++=the
other ^ap++++=other
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
come ^vprf+++xvbn+=come
down ^rp++++=down,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+vrb++=EXTRAWORD
Ma ^npt++++=Ma
again ^rb+tm+++=again."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Marthy ^np+++??+=Marthy
never ^rb++++=never
flinched ^vbd+++xvbn+=flinched.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
held ^vbd+vprv++xvbnx+=held
out ^rp+pl+++=out
her ^pp$+pp3+++=her
left ^vbd+++xvbn+=left
arm ^vb++++=arm,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
her ^pp3o+pp3+++=her
right ^jj+atrb+++=right
one ^cd1++++=one
was ^vbd+bedz+vrb++=was
still ^rb+atrb+++=still
red ^jj+pred+++=red.
. ^zz++++=EXTRAWORD
" ^zz++++="Now?"
now ^rn+tm+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+vrb++=EXTRAWORD
Aunt ^nn++++=Aunt
Dicey ^np+++??+=Dicey."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Aunt ^nn++++=Aunt
Dicey ^np+++??+=Dicey
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
our ^pp$+pp1+++=our
aunt ^nn++++=aunt
by ^in++++=by
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
cooked ^vbd+++xvbnx+=cooked
for ^in++++=for
us ^pp1o+pp1+++=us
and ^cc++++0=an'
claimed ^vbn+vpub++xvbn+=claimed
kin ^nns++++=kin
whenever ^nn+nom+++=whenever
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
work ^nn++++=work
to ^to++++=to
be ^vbi+vbi+aux++=be
divided ^vpsv++agls+xvbnx+=divided.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out
by ^in++++=by
the ^ati++++=the
chicken ^nn++++=chicken
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
explained ^vbd+vpub++xvbn+=explained,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++0=she'd
'd ^md+prd+vrb++=EXTRAWORD
sooner ^rbr++++=sooner
face ^nn++++=face
the ^ati++++=the
smallpox ^nn++++=smallpox
itself ^ppl++++=itself
than ^in++++=than
Doctor ^nn++++=Doctor
Peavy ^np+++??+=Peavy
with ^in++++=with
that ^dt+dem+++=that
scraper ^nn++++=scraper.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
fond ^jj+pred+++=fond
of ^in++++=of
Sonny ^nn++++=Sonny,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
after ^in++++=after
some ^dti++++=some
discussion ^nn++++=discussion
about ^in++++=about
wages ^nns++++=wages,
, ^zz++++=EXTRAWORD
providence ^nn+nom+++=providence
and ^cc+cls+++0=an'
whether ^cs+who+++=whether
vaccination ^nn+nom+++=vaccination
was ^vbd+bedz+aux++=was
mentioned ^vpsv++agls+xvbnx+=mentioned
in ^in++++=in
Scripture ^nn++++=Scripture,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
submitted ^vbd+vpub++xvbnx+=submitted.
. ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
watched ^vbd+++xvbn+=watched
from ^in++++=from
the ^ati++++=the
loft ^nn++++=loft.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
it ^pp3+it+++=it
take ^vb++++=take?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
yet ^rb+cnj+++=yet,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
doctor ^nn++++=doctor.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
takes ^vbz++++=takes
time ^nn++++=time."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Thet ^np+++??+=Thet
answer ^nn++++=answer
was ^vbd+bedz+vrb++=was
unfortunate ^jj+pred+++=unfortunate.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
give ^vb++++=give
Sonny ^nn++++=Sonny
room ^nn++++=room
for ^in++++=for
policy ^nn++++=policy.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
wait ^vb++++=wait
till ^cs+sub+++=till
it ^pp3+it+++=it
takes ^vbz++++=takes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
stay ^vb++++=stay
under ^in++++=under
the ^ati++++=the
smokehouse ^nn+++??+=smokehouse
ladder ^nn++++=ladder
a ^at++++=a
week ^nn++++=week,
, ^zz++++=EXTRAWORD
so ^ql++++=so
we ^pp1a+pp1+++=we
tried ^vbd+++xvbn+=tried
further ^jjb+atrb+++=further
persuasion ^nn++++=persuasion.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
vaccinated ^vbd+++xvbn+=vaccinated
Amos ^np+++??+=Amos,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hired ^jj+atrb++xvbn+=hired
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
claimed ^vbd+vpub+tht0+xvbnx+=claimed
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
had ^vb+hv+vrb++=had
it ^pp3+it+++=it
in ^in++++=in
Alabama ^np+++??+=Alabama.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
vaccinated ^vbd+++xvbn+=vaccinated
Lemuel ^np+++??+=Lemuel,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
happened ^vbd+++xvbn+=happened
to ^to+vcmp+++=to
be ^vbi++vrb++=be
bringin ^nn+++??+=bringin'
' ^zz++++=EXTRAWORD
meal ^nn++++=meal
from ^in++++=from
the ^ati++++=the
mill ^nn++++=mill
and ^cc++++0=an'
'd ^md+prd+vrb++=had
no ^at++++=no
connection ^nn+nom+++=connection
with ^in++++=with
the ^ati++++=the
household ^nn++++=household
exceptin ^nn+++??+=exceptin'
' ^zz++++=EXTRAWORD
friendship ^nn+nom+++=friendship.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
even ^rb++++=even
sent ^vwbn+++xvbn+=sent
for ^in++++=for
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carter ^np++++=Carter,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
Sonny ^nn++++=Sonny
trusted ^vbd+++xvbn+=trusted
her ^pp3o+pp3+++=her
more ^ql++++=more
than ^cs+sub+++=than
most ^ql+emph+++=most
adults ^nns++++=adults,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he
trusted ^vbd+++xvbnx+=trusted
her ^pp3o+pp3+++=her
too ^ql++++=too
much ^ap++++=much
to ^in++++=to
