Romance ^nn+nom+++=Romance
sovereign ^nn++++=sovereign
was ^vbd+bedz+aux++=was
to ^to++++=to
have ^vbi+vbi+aux++=have
paid ^vprf+++xvbnx+=paid
for ^in++++=for
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
gloves ^nns++++=gloves
for ^in++++=for
Laura ^np++++=Laura
and ^cc++++=and
a ^at++++=a
cab ^nn++++=cab
for ^in++++=for
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
Love ^nn++++=Love
may ^md+pos+++=may
walk ^vb++++=walk,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
reflected ^vbd+vprv++xvbnx+=reflected,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gloves ^nns++++=gloves
are ^vb+ber+vrb++=are
merely ^rb+down+++=merely
civilization ^nn+nom+++=civilization
worn ^vbd+++xvbn+=worn
on ^in++++=on
the ^ati++++=the
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
crossed ^vbd+++xvbnx+=crossed
the ^ati++++=the
studio ^nn++++=studio
and ^cc++++=and
slipped ^vbd+++xvbn+=slipped
the ^ati++++=the
coin ^nn++++=coin
into ^in++++=into
the ^ati++++=the
battered ^jj+atrb++xvbn+=battered
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
The ^ati++++=The
beggar ^nn++++=beggar
looked ^vbd+++xvbn+=looked
down ^rp++++=down,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="Thank
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
low ^jj+pred+++=low
and ^cc++++=and
remarkably ^rb++++=remarkably
composed ^vbd+++xvbn+=composed.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
generous ^jj++++=generous."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
at ^rb++++=at
all ^abn++++=all,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Hughie ^np+++??+=Hughie,
, ^zz++++=EXTRAWORD
blushing ^vbg+++xvbg+=blushing.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wish ^vb+vprv+tht0++=wish
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
more ^rbr++++=more."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man's
's ^$++++=EXTRAWORD
wrinkled ^vwbn+++xvbn+=wrinkled
face ^vb++++=face
altered ^vbd+++xvbn+=altered
for ^in++++=for
an ^at++++=an
instant ^nn+nom+++=instant.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
quite ^rb++++=quite
a ^at++++=a
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
suggested ^vbd+vpub++xvbn+=suggested
that ^tht+vcmp+++=that
happiness ^nns+nom+++=happiness
had ^vbd+hvd+aux++=had
looked ^vprf+++xvbnx+=looked
in ^in++++=in
at ^in++++=at
the ^ati++++=the
window ^nn++++=window
and ^cc++++=and
decided ^vbd+vprv++xvbn+=decided
not ^xnot++not++=not
to ^to++++=to
disturb ^vbi++++=disturb
the ^ati++++=the
portrait ^nn++++=portrait.
. ^zz++++=EXTRAWORD
Trevor ^np++++=Trevor
returned ^vbd+++xvbn+=returned.
. ^zz++++=EXTRAWORD
" ^zz++++="Stand
stand ^vb++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
exclaimed ^vbd+++xvbnx+=exclaimed.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
expression ^nn++++=expression
is ^vbz+bez+vrb++=is
quite ^rb++++=quite
wrong ^jj+pred+++=wrong.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
look ^vb++++=look
as ^cs+sub+++=as
if ^cs+cnd+++=if
someone ^pn++++=someone
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
you ^pp2+pp2+++=you
a ^at++++=a
railway ^nn++++=railway."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hughie ^np+++??+=Hughie
took ^vbd+++xvbn+=took
his ^pp$+pp3+++=his
departure ^nn++++=departure
and ^cc++++=and
walked ^vpsv++agls+xvbn+=walked
to ^in++++=to
Laura ^np++++=Laura's
's ^$++++=EXTRAWORD
house ^npl++++=house,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
compassion ^nn++++=compassion
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
his ^pp$+pp3+++=his
cab ^nn++++=cab
fare ^nn++++=fare.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
gave ^vbd+++xvbn+=gave
away ^rb+phrv+++=away
a ^at++++=a
sovereign ^nn++++=sovereign?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Laura ^np++++=Laura,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
told ^vbd+vpub+tht0+xvbnx+=told
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Hughie,
hughie ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
all ^abn++++=all
you ^pp2+pp2+++=you
had ^vb+hv+vrb++=had."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
all ^rb++++=all.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
eightpence ^nn+nom+++=eightpence,
, ^zz++++=EXTRAWORD
a ^at++++=a
silver ^nn++++=silver
pencil ^nn++++=pencil,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
aunt ^nn++++=aunt
in ^in++++=in
Kensington ^np++++=Kensington."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
absurd ^jj+atrb+++=absurd
person ^nn++++=person!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
kissed ^vbd+++xvbnx+=kissed
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
encouraged ^vbd+++xvbn+=encouraged
him ^pp3o+pp3+++=him
greatly ^rb+amp+++=greatly.
. ^zz++++=EXTRAWORD
Women ^nns++++=Women
often ^rb++++=often
reward ^nn++++=reward
virtues ^nns++++=virtues
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
would ^md+prd+++=would
be ^vb+be+aux++=be
alarmed ^vpsv++agls+xvbnx+=alarmed
to ^to++++=to
find ^vbi+vprv+++=find
in ^in++++=in
a ^at++++=a
husband ^nn++++=husband's
's ^$++++=EXTRAWORD
balance ^nn+nom+++=balance
sheet ^nn++++=sheet.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
evening ^nn++++=evening
Hughie ^np+++??+=Hughie
dined ^vbd+++xvbn+=dined
at ^rb++++=at
the ^ati++++=the
Palette ^nn+nom+++=Palette
Club ^nn++++=Club,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
food ^nn++++=food
was ^vbd+bedz+vrb++=was
bad ^jj+pred+++=bad
enough ^qlp++++=enough
to ^to++++=to
be ^vbi++vrb++=be
artistic ^jj+pred+++=artistic
and ^cc++++=and
the ^ati++++=the
conversation ^nn+nom+++=conversation
good ^jj++++=good
enough ^qlp++++=enough
to ^to++++=to
be ^vbi++vrb++=be
unpaid ^jj+pred+++=unpaid.
. ^zz++++=EXTRAWORD
Near ^in+pl+++=Near
midnight ^nn++++=midnight
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
Trevor ^np++++=Trevor
smoking ^vwbg+++xvbg+=smoking
alone ^rb++++=alone
beneath ^in+pl+++=beneath
a ^at++++=a
portrait ^nn++++=portrait
of ^in++++=of
a ^at++++=a
celebrated ^jj+atrb++xvbn+=celebrated
critic ^nn++++=critic,
, ^zz++++=EXTRAWORD
painted ^j+++xvbn+=painted
without ^in++++=without
mercy ^nn++++=mercy.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Hughie ^np+++??+=Hughie,
, ^zz++++=EXTRAWORD
" ^zz++++="did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
finish ^vb++++=finish
your ^pp$+pp2+++=your
beggar ^nn++++=beggar?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
beggar ^nn++++=beggar?
? ^zz++++=EXTRAWORD
Entirely ^rb+amp+++=Entirely."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
tired ^vpsv++agls+xvbnx+=tired,
, ^zz++++=EXTRAWORD
poor ^jj+atrb+++=poor
soul ^nn++++=soul."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
endured ^vbd+++xvbnx+=endured
it ^pp3+it+++=it
heroically ^rb++++=heroically.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
much ^ap++++=much
interested ^jj++++=interested
in ^in++++=in
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Enormously.
enormously ^rb+amp+++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
asked ^vbd+vsua+tht0+xvbnx+=asked
your ^pp$+pp2+++=your
name ^nn++++=name,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
you ^pp2+pp2+++=you
lived ^vbd+++xvbn+=lived,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
your ^pp$+pp2+++=your
income ^nn++++=income
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
you ^pp2+pp2+++=you
had ^vb+hv+vrb++=had
expectations ^nns+nom+++=expectations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
why ^wrb+who+++=why
you ^pp2+pp2+++=you
wore ^vbd+++xvbn+=wore
so ^rb+emph+++=so
admirable ^jj++++=admirable
a ^at++++=a
coat ^nn++++=coat
with ^in++++=with
so ^rb+emph+++=so
deplorable ^jj++++=deplorable
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
gloves ^nns++++=gloves."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hughie ^np+++??+=Hughie
stared ^vbd+++xvbn+=stared.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Everything.
everything ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
professionless ^jj+atrb+++=professionless
career ^nn++++=career,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
aunt ^nn++++=aunt,
, ^zz++++=EXTRAWORD
Colonel ^npt++++=Colonel
Merton ^np+++??+=Merton,
, ^zz++++=EXTRAWORD
Laura ^np++++=Laura,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ten ^cd++++=ten
thousand ^cd++++=thousand
pounds ^nns++++=pounds."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj+atrb+++=dear
Alan ^np++++=Alan!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
had ^vb+hv+vrb++=had
no ^at++++=no
right ^nn++++=right
to ^to+ncmp+++=to
discuss ^vbi++++=discuss
my ^pp$+pp1+++=my
affairs ^nns++++=affairs
with ^in++++=with
a ^at++++=a
model ^nn++++=model."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Artists
artists ^nns+nom+++=EXTRAWORD
have ^vb+hv+vrb++=have
no ^at++++=no
rights ^nns++++=rights;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
curiosities ^nns+nom+++=curiosities."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=will
tell ^vb++++=tell
every ^at++++=every
beggar ^nn++++=beggar
in ^in++++=in
London ^np++++=London.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+aux++=be
surrounded ^vpsv++agls+xvbnx+=surrounded
tomorrow ^nr+tm+++=tomorrow
by ^in++++=by
an ^at++++=an
army ^nn++++=army
of ^in++++=of
confidential ^jj+atrb+++=confidential
mendicants ^nns+nom+++=mendicants."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Trevor ^np++++=Trevor
began ^vbd+++xvbn+=began
to ^to++++=to
laugh ^vbi++++=laugh.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
making ^vbg+++xvbg+=making
that ^dt+dem+++=that
noise ^nn++++=noise?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
your ^pp$+pp2+++=your
army ^nn++++=army
could ^md+pos+++=could
purchase ^vb++++=purchase
Europe ^np++++=Europe."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
old ^jj+atrb+++=old
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
cloak ^nn++++=cloak
was ^vbd+bedz+vrb++=was
Baron ^npt++++=Baron
Hausberg ^np+++??+=Hausberg."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hughie ^np+++??+=Hughie
put ^vbd+++xvbn+=put
down ^rb+phrv+++=down
his ^pp$+pp3+++=his
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
" ^zz++++="Baron
baron ^npt++++=EXTRAWORD
Hausberg ^np+++??+=Hausberg
the ^ati++++=the
banker ^nn++++=banker?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
same ^ap++++=same.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
owns ^vbz++++=owns
houses ^nns++++=houses
in ^in++++=in
five ^cd++++=five
capitals ^nns+nom+++=capitals,
, ^zz++++=EXTRAWORD
mines ^nns++++=mines
in ^in++++=in
three ^cd++++=three
continents ^nns++++=continents,
, ^zz++++=EXTRAWORD
railways ^nns++++=railways
in ^in++++=in
countries ^nns++++=countries
whose ^whp+rel+obj++=whose
names ^nns++++=names
you ^pp2+pp2+++=you
could ^md+pos+++=could
not ^xnot++not++=not
spell ^nn++++=spell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sufficient ^jj+atrb+++=sufficient
government ^nn+nom+++=government
bonds ^nns++++=bonds
to ^to++++=to
make ^vbi++++=make
patriotism ^nn+nom+++=patriotism
profitable ^jj++++=profitable.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
buy ^vb++++=buy
this ^dt+dem+++=this
club ^nn++++=club
tonight ^nr+tm+++=tonight
and ^cc++++=and
improve ^vb++++=improve
it ^pp3+it+++=it
by ^in++++=by
shutting ^xvbg+++xvbg+=shutting
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
why ^wrb+who+++=why
was ^vbd+bedz+vrb++=was
he ^pp3a+pp3+++=he
dressed ^vbd+++xvbnx+=dressed
as ^ql++++=as
a ^at++++=a
beggar ^nn++++=beggar?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
painting ^vbg+++xvbgx+=painting
him ^pp3o+pp3+++=him
as ^ql++++=as
one ^pn++++=one.
. ^zz++++=EXTRAWORD
The ^ati++++=The
idea ^nn++++=idea
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
own ^ap++++=own.
. ^zz++++=EXTRAWORD
Millionaires ^nns++++=Millionaires
grow ^vb++++=grow
weary ^jj++++=weary
of ^in++++=of
being ^nn+nn+aux++=being
painted ^vbd+++xvbn+=painted
beside ^in+pl+++=beside
pillars ^nns++++=pillars.
. ^zz++++=EXTRAWORD
Poverty ^nn++++=Poverty
was ^vbd+bedz+vrb++=was
a ^at++++=a
novelty ^nn++++=novelty."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
gave ^vbd+++xvbnx+=gave
him ^pp3o+pp3+++=him
a ^at++++=a
sovereign ^nn++++=sovereign!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
did ^vbd+dod+vrb++=did."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hughie ^np+++??+=Hughie
covered ^vbd+++xvbn+=covered
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
never ^rb++splt++=never
recover ^vb++++=recover."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
the ^ati++++=the
contrary ^nn+nom+++=contrary,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
may ^md+pos+++=may
recover ^vb++++=recover
your ^pp$+pp2+++=your
sovereign ^nn++++=sovereign."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Alan,
alan ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
monstrous ^jj+pred+++=monstrous.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
should ^md+nec+++=should
have ^vb+hv+aux++=have
warned ^vprf+++xvbnx+=warned
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
ruin ^nn++++=ruin
the ^ati++++=the
finest ^jjt+atrb+++=finest
scene ^nn++++=scene
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
witnessed ^vprf+++xvbnx+=witnessed
outside ^jjb++++=outside
a ^at++++=a
theatre ^nn++++=theatre?
? ^zz++++=EXTRAWORD
Never ^rb++++=Never.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
you ^pp2+pp2+++=you
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
the ^ati++++=the
money ^nn++++=money,
, ^zz++++=EXTRAWORD
Hausberg ^np+++??+=Hausberg
looked ^vbd+++xvbn+=looked
as ^cs+sub+++=as
if ^cs+cnd+++=if
human ^jj+atrb+++=human
nature ^nn++++=nature
had ^vb+hv+aux++=had
suddenly ^rb++splt++=suddenly
paid ^vprf+++xvbnx+=paid
a ^at++++=a
dividend ^nn++++=dividend."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
must ^md+nec+++=must
think ^vb+vprv+++=think
me ^pp1o+pp1+++=me
an ^at++++=an
imbecile ^nn++++=imbecile."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
thinks ^vbz+vprv+tht0++=thinks
you ^pp2+pp2+++=you
delightful ^jj++++=delightful."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
people ^nns++++=people
say ^vb+vpub+++=say
when ^wrb+who+whcl++=when
they ^pp3a+pp3+++=they
mean ^vb+vprv+++=mean
an ^at++++=an
imbecile ^nn++++=imbecile
with ^in++++=with
good ^jj+atrb+++=good
manners ^nns+nom+++=manners."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Trevor ^np++++=Trevor
laughed ^vbd+++xvbn+=laughed
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Hughie ^np+++??+=Hughie
went ^vbd+++xvbn+=went
home ^nr++++=home
in ^in++++=in
a ^at++++=a
condition ^nn+nom+++=condition
of ^in++++=of
magnificent ^jj+atrb+++=magnificent
humiliation ^nn+nom+++=humiliation.
. ^zz++++=EXTRAWORD
All ^abn++++=All
night ^nn++++=night
he ^pp3a+pp3+++=he
imagined ^vbd+vprv++xvbnx+=imagined
the ^ati++++=the
Baron ^nn++++=Baron
recounting ^vwbg+++xvbg+=recounting
the ^ati++++=the
episode ^nn++++=episode
at ^in++++=at
royal ^jj+atrb+++=royal
dinner ^nn++++=dinner
tables ^nns++++=tables
while ^cs+sub+++=while
ministers ^nns+nom+++=ministers
and ^cc++++=and
archdukes ^vbz+++??+=archdukes
applauded ^vbd+++xvbn+=applauded.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
may ^md+pos+++=may
survive ^vb++++=survive
being ^vbg+beg++xvbg+=being
ridiculous ^jj++++=ridiculous
in ^rb++++=in
private ^nn+nom+++=private;
; ^zz++++=EXTRAWORD
society ^nn++++=society
was ^vbd+bedz+aux++=was
invented ^vpsv++agls+xvbnx+=invented
to ^to++++=to
prevent ^vbi++++=prevent
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
At ^rb++++=At
ten ^cd++++=ten
the ^ati++++=the
next ^ap++++=next
morning ^nn++++=morning
a ^at++++=a
carriage ^nn+nom+++=carriage
stopped ^vbd+++xvbn+=stopped
before ^in++++=before
Hughie ^np++++=Hughie's
's ^$++++=EXTRAWORD
lodging ^nn++++=lodging.
. ^zz++++=EXTRAWORD
From ^in++++=From
it ^pp3+it+++=it
descended ^vbd+++xvbn+=descended
a ^at++++=a
solemn ^jj+atrb+++=solemn
gentleman ^nn+nom+++=gentleman
in ^in++++=in
black ^nn++++=black,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
gloves ^nns++++=gloves
in ^in++++=in
one ^cd1++++=one
hand ^nn++++=hand
and ^cc++++=and
discretion ^nn+nom+++=discretion
in ^in++++=in
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
card ^nn++++=card
announced ^vbd+vpub++xvbn+=announced
him ^pp3o+pp3+++=him
as ^ql++++=as
Monsieur ^npt++++=Monsieur
Gustave ^np+++??+=Gustave
Naudin ^np+++??+=Naudin,
, ^zz++++=EXTRAWORD
private ^jj+atrb+++=private
secretary ^nn+nom+++=secretary
to ^in++++=to
Baron ^npt++++=Baron
Hausberg ^np+++??+=Hausberg.
. ^zz++++=EXTRAWORD
Hughie ^np++++=Hughie's
's ^$++++=EXTRAWORD
heart ^nn++++=heart
sank ^vbd+++xvbn+=sank.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sovereign ^nn++++=sovereign
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
returned ^vpsv++agls+xvbnx+=returned
ceremoniously ^jj++++=ceremoniously.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
there ^ex+pex+++=there
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
receipt ^nn++++=receipt.
. ^zz++++=EXTRAWORD
" ^zz++++="Monsieur
monsieur ^npt++++=EXTRAWORD
Erskine ^np+++??+=Erskine?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
visitor ^nn++++=visitor.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes.
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fear ^vb++++=fear
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
come ^vprf+++xvbn+=come
about ^in++++=about
my ^pp$+pp1+++=my
unfortunate ^jj+atrb+++=unfortunate
mistake ^nn++++=mistake."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Mistake,
mistake ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yesterday
yesterday ^nr+tm+++=EXTRAWORD
in ^in++++=in
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Trevor ^np++++=Trevor's
's ^$++++=EXTRAWORD
studio ^np++++=studio.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
assure ^vb++++=assure
you ^pp2+pp2+++=you
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
no ^at++++=no
intention ^nn+nom+++=intention
of ^in++++=of
being ^xvbg+++xvbg+=being
offensive ^jj++++=offensive.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Baron ^np++++=Baron's
's ^$++++=EXTRAWORD
disguise ^vb++++=disguise
was ^vbd+bedz+aux++=was
so ^ql++++=so
complete ^vb++++=complete,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
occasionally ^rb++++=occasionally
rather ^rb++++=rather
stupid ^jj++++=stupid."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Naudin ^np+++??+=Naudin
