*[sam ^nn+++??+=*[Sam
' ^zz++++=EXTRAWORD
low ^jj++++=low
to ^in++++=to
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
The ^ati++++=The
parson ^nn++++=parson
would ^md+prd+++=would
come ^vprf+++xvbn+=come
down ^rp++++=down
and ^cc++++=and
find ^vb+vprv+++=find
his ^pp$+pp3+++=his
breakfast ^nn++++=breakfast
hot ^jj++++=hot,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
stock ^nn++++=stock
brushed ^vbd+++xvbn+=brushed,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
sermon ^nn++++=sermon
paper ^nn++++=paper
laid ^vwbn+++xvbn+=laid
by ^in++++=by
his ^pp$+pp3+++=his
plate ^nn++++=plate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
spectacles ^nns++++=spectacles
most ^ql+emph+++=most
wonderful ^jj++++=wonderful
of ^in++++=of
all ^rb++++=all
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
could ^md+pos+++=could
put ^vb+++xvbn+=put
his ^pp$+pp3+++=his
hand ^nn++++=hand
on ^in++++=on
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="'Huldah,'
' ^zz++++=EXTRAWORD
huldah ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he
one ^cd1++++=one
mornin ^nn+++??+=mornin',
', ^nn+++??+=EXTRAWORD
' ^zz++++='the
the ^ati++++=EXTRAWORD
dispensations ^nns+nom+++=dispensations
of ^in++++=of
Providence ^np+nom++??+=Providence,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
mysterious ^jj++++=mysterious,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
attended ^vpsv++by+xvbnx+=attended
by ^in++++=by
mercies ^nns+++??+=mercies.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Yes,
' ^zz++++=EXTRAWORD
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
had ^vb+hv+vrb++=had
not ^xnot++not++=not
supposed ^jj+++xvbn+=supposed,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
at ^rb++++=at
a ^at++++=a
buckwheat ^nn+++??+=buckwheat
cake ^nn++++=cake
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
theological ^jj+atrb+++=theological
proposition ^nn+nom+++=proposition,
, ^zz++++=EXTRAWORD
' ^zz++++='that
that ^dt+dem+++=EXTRAWORD
the ^ati++++=the
domestic ^jj+atrb+++=domestic
machinery ^nn+nom+++=machinery
could ^md+pos+++=could
continue ^vb++++=continue
in ^in++++=in
operation ^nn+nom+++=operation
with ^in++++=with
so ^ql++++=so
little ^ap++++=little
visible ^jj+atrb+++=visible
disturbance ^nn+nom+++=disturbance.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'No,
' ^zz++++=EXTRAWORD
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turned ^vbd+++xvbn+=turned
her ^pp$+pp3+++=her
head ^jjb++++=head
to ^to++++=to
hide ^vbi++++=hide
a ^at++++=a
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
had ^vb+hv+vrb++=hadn't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
least ^rbt++++=least
notion ^nn++++=notion
that ^tht+ncmp+++=that
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
up ^rp++++=up
since ^in++++=since
four ^cd++++=four,
, ^zz++++=EXTRAWORD
skimmed ^j+++xvbn+=skimmed
six ^cd++++=six
pans ^nns++++=pans
of ^in++++0=o'
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
kneaded ^jj+atrb++xvbn+=kneaded
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
mended ^j+++xvbn+=mended
the ^ati++++=the
kitchen ^nn++++=kitchen
pump ^nn++++=pump,
, ^zz++++=EXTRAWORD
doctored ^j+++xvbn+=doctored
the ^ati++++=the
cow ^nn++++=cow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sent ^vbd+++xvbn+=sent
the ^ati++++=the
bound ^jj+atrb++xvbn+=bound
boy ^nn++++=boy
back ^jjb++++=back
to ^to++++=to
wash ^vbi++++=wash
his ^pp$+pp3+++=his
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought
domestic ^jj+atrb+++=domestic
machinery ^nn+nom+++=machinery
went ^vbd+++xvbn+=went
of ^in++++=of
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
planets ^nns++++=planets,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
quieter ^jjr++++=quieter.
. ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
state ^nn++++=state
of ^in++++0=o'
things ^nns++++=things
might ^md+pos+++=might
have ^vb+hv+aux++=have
continued ^vprf+++xvbnx+=continued
peaceable ^jj++++=peaceable
if ^cs+cnd+++=if
there ^rn+pl+++=there
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
been ^vprf+ben+vrb+xvbn+=been
a ^at++++=a
parcel ^nn++++=parcel
of ^in++++0=o'
women ^nns++++=women
in ^in++++=in
the ^ati++++=the
parish ^nn++++=parish
that ^tht+rel+subj++=that
felt ^vprf++tht0+xvbn+=felt
the ^ati++++=the
Lord ^npt++++=Lord
had ^vbd+hvd+aux++=had
laid ^vprf+++xvbnx+=laid
on ^rb+phrv+++=on
them ^pp3o+pp3+++0='em
the ^ati++++=the
oversight ^nn++++=oversight
of ^in++++=of
other ^ap++++=other
folks ^nns++++=folks's
's ^$++++=EXTRAWORD
concerns ^nns++++=concerns.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
always ^rb++++=always
is ^vbz+bez+vrb++=is
sich ^&fw++++=sich
persons ^nns++++=persons.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+aux++0=EXTRAWORD
born ^vpsv++agls+xvbnx+=born
with ^in++++=with
a ^at++++=a
spiritual ^jj+atrb+++=spiritual
spyglass ^nns+++??+=spyglass
under ^in++++=under
one ^cd1++++=one
arm ^nn++++=arm
and ^cc++++=and
a ^at++++=a
moral ^jj+atrb+++=moral
yardstick ^nn+++??+=yardstick
under ^in++++=under
t ^zz++++=t'other,
'other, ^nn+++??+=EXTRAWORD
and ^cc++++=and
they ^pp3a+pp3+++=they
never ^rb++++=never
can ^md+pos+++=can
be ^vb+be+vrb++=be
easy ^jj+pred+++=easy
till ^cs+sub+++=till
they ^pp3a+pp3+++=they've
've ^vb+hv+aux++0=EXTRAWORD
measured ^vprf+++xvbnx+=measured
everybody ^pn++++=everybody
and ^cc++++=and
sighted ^vbd+++xvbn+=sighted
every ^at++++=every
speck ^nn++++=speck
on ^in++++=on
the ^ati++++=the
horizon ^nn++++=horizon.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
head ^jjb+atrb+++=head
one ^cd1++++=one
was ^vbd+bedz+vrb++=was
Widder ^np+++??+=Widder
Pipperidge ^np+++??+=Pipperidge.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
peaked ^jj+atrb+++=peaked
woman ^nn++++=woman
with ^in++++=with
snappin ^nn+++??+=snappin'
' ^zz++++=EXTRAWORD
black ^jj+atrb+++=black
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
a ^at++++=a
nose ^nn++++=nose
hooked ^vbd+++xvbn+=hooked
like ^in++++=like
a ^at++++=a
hawk ^nn+++??+=hawk's
's ^$++++=EXTRAWORD
beak ^nn++++=beak,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
mouth ^nn++++=mouth
that ^tht+rel+subj++=that
shut ^vwbn+++xvbn+=shut
like ^in++++=like
a ^at++++=a
steel ^nn++++=steel
purse ^nn++++=purse-clasp.
- ^zz++++=EXTRAWORD
clasp ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wore ^vbd+++xvbnx+=wore
bombazine ^nn+++??+=bombazine
ever ^rb++++=ever
since ^cs+sub+++=since
Cap ^nn++++=Cap'n
'n ^nn+++??+=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
them ^pp3o+pp3+++=them
that ^cs+sub+++=that
said ^vprf++tht0+xvbn+=said
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
had ^vb+hv+vrb++=had
her ^pp$+pp3+++=her
widow ^nn++++=widow's
's ^$++++=EXTRAWORD
weeds ^nns++++=weeds
cut ^vbd+++xvbn+=cut
and ^cc++++=and
ready ^jj++++=ready
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
ailin ^nn+++??+=ailin'.
'. ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+tht0++=say
that ^tht+vcmp+++=that
was ^vbd+bedz+vrb++=was
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
A ^at++++=A
lie ^vb++++=lie
travels ^nns++++=travels
in ^in++++=in
light ^nn++++=light
shoes ^nns++++=shoes,
, ^zz++++=EXTRAWORD
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
truth ^nn++++=truth
is ^vbz+bez+vrb++=is
pullin ^np++++=pullin'
' ^zz++++=EXTRAWORD
on ^in++++=on
its ^pp$+it+++=its
boots ^nns++++=boots;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
never ^rb++++=never
help ^vb++++=help
a ^at++++=a
lie ^nn++++=lie
along ^in++++=along
unless ^cs+cnd+++=unless
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
exactly ^rb++++=exactly
where ^wrb+who+++=where
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
goin ^nn+++??+=goin'.
'. ^nn+++??+=EXTRAWORD
" ^zz++++="Mis'
mis ^npt++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
had ^vbd+hvd+aux++=had
expected ^vprf+++xvbnx+=expected,
, ^zz++++=EXTRAWORD
arter ^jjr++++=arter
a ^at++++=a
decent ^jj+atrb+++=decent
season ^nn++++=season,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Parson ^nn++++=Parson
Carryl ^np+++??+=Carryl
might ^md+pos+++=might
be ^vb+be+aux++=be
led ^vpsv++agls+xvbnx+=led
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
advantages ^nns+nom+++=advantages
of ^in++++=of
a ^at++++=a
mature ^jj+atrb+++=mature
companion ^nn++++=companion.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
a ^at++++=a
good ^jj+atrb+++=good
feather ^nn++++=feather
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
twelve ^cd++++=twelve
silver ^nn++++=silver
teaspoons ^nns+++??+=teaspoons,
, ^zz++++=EXTRAWORD
two ^cd++++=two
hundred ^cd++++=hundred
dollars ^nns++++=dollars
at ^in++++=at
interest ^nn++++=interest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
disposition ^nn+nom+++=disposition
that ^tht+rel+subj++=that
never ^rb++++=never
allowed ^vwbn+++xvbn+=allowed
anybody ^pn++++=anybody
near ^rb++++=near
her ^pp$+pp3+++=her
to ^to++++=to
remain ^vbi++++=remain
unconscious ^jj++++=unconscious
of ^in++++=of
their ^pp$+pp3+++=their
faults ^nns++++=faults.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++0=She'd
'd ^md+prd+vrb++=EXTRAWORD
more ^rbr++++=more'n
'n ^nn+++??+=EXTRAWORD
once ^rb+tm+++=once
observed ^vbn+vprv++xvbn+=observed
that ^tht+vcmp+++=that
ministers ^nns+nom+++=ministers
needed ^vwbn+++xvbn+=needed
wives ^nns++++=wives
who ^whp+rel+subj++=who
understood ^vbd+vprv++xvbn+=understood
the ^ati++++=the
responsibilities ^nns+nom+++=responsibilities
of ^in++++=of
the ^ati++++=the
position ^nn+nom+++=position,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
' ^zz++++='position'
position ^nn+nom+++=EXTRAWORD
' ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
way ^nn++++=way
that ^tht+rel+subj++=that
made ^vprf+++xvbn+=made
it ^pp3+it+++=it
sound ^jj++++=sound
like ^in++++=like
the ^ati++++=the
seat ^nn++++=seat
next ^rb++++=next
the ^ati++++=the
throne ^nn++++=throne.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
one ^cd1++++=one
afternoon ^nn++++=afternoon
she ^pp3a+pp3+++=she
and ^cc++++=and
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Deacon ^np+++??+=Deacon
Blodgett ^np+++??+=Blodgett
and ^cc++++=and
Miss ^npt++++=Miss
Asphyxia ^np++++=Asphyxia
Smith ^np++++=Smith
went ^vbd+++xvbn+=went
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
parsonage ^nn+nom+++=parsonage.
. ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
set ^vbd+++xvbn+=set
out ^rb+phrv+++=out
pound ^nn++++=pound
cake ^nn++++=cake,
, ^zz++++=EXTRAWORD
quince ^nn+++??+=quince
preserve ^nn++++=preserve,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
best ^jjt++++=best
India ^np++++=India
tea ^nn++++=tea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
three ^cd++++=three
of ^in++++=of
them ^pp3o+pp3+++0='em
ate ^vbd+++xvbn+=ate
enough ^qlp++++=enough
to ^to++++=to
prove ^vbi+vprv+tht0++=prove
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
no ^at++++=no
prejudice ^nn++++=prejudice
against ^in++++=against
her ^pp$+pp3+++=her
cookin ^nn+++??+=cookin'.
'. ^nn+++??+=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
gone ^vprf+++xvbnx+=gone
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
began ^vbd+++xvbn+=began.
. ^zz++++=EXTRAWORD
" ^zz++++="'Dear
' ^zz++++=EXTRAWORD
dear ^uh++++=EXTRAWORD
Parson ^nn++++=Parson
Carryl ^np+++??+=Carryl,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
foldin ^nn+++??+=foldin'
' ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
' ^zz++++='we
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
felt ^vprf+++xvbnx+=felt
some ^dti++++=some
concern ^nn++++=concern.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Indeed?'
' ^zz++++=EXTRAWORD
indeed ^rb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
parson ^nn++++=parson.
. ^zz++++=EXTRAWORD
" ^zz++++="'Only
' ^zz++++=EXTRAWORD
only ^rb+down+++=EXTRAWORD
affectionate ^jj+atrb+++=affectionate
concern ^nn++++=concern,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Blodgett ^np+++??+=Blodgett.
. ^zz++++=EXTRAWORD
" ^zz++++="'Entirely
' ^zz++++=EXTRAWORD
entirely ^rb+amp+++=EXTRAWORD
disinterested ^jj++++=disinterested,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Miss ^npt++++=Miss
Asphyxia ^np++++=Asphyxia,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
been ^vprf+ben+vrb+xvbn+=been
disinterested ^jj++++=disinterested
in ^in++++=in
anything ^pn++++=anything
since ^cs+sub+++=since
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
weaned ^vpsv++agls+xvbnx+=weaned.
. ^zz++++=EXTRAWORD
" ^zz++++="'The
' ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
dear ^jj+atrb+++=dear
young ^jj+atrb+++=young
person ^nn++++=person
you ^pp2+pp2+++=you
retain ^vb++++=retain,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge,
, ^zz++++=EXTRAWORD
' ^zz++++='appears
appears ^vbz+seem+++=EXTRAWORD
amiable ^jj++++=amiable,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
inexperienced ^jj+pred+++=inexperienced.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Huldah?'
' ^zz++++=EXTRAWORD
huldah ^nn+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
parson ^nn++++=parson.
. ^zz++++=EXTRAWORD
' ^zz++++='She
she ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+aux++=has
conducted ^vprf+++xvbnx+=conducted
the ^ati++++=the
household ^nn++++=household
with ^in++++=with
remarkable ^jj+atrb+++=remarkable
regularity ^nn+nom+++=regularity.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Surface
' ^zz++++=EXTRAWORD
surface ^nn++++=EXTRAWORD
regularity ^nn+nom+++=regularity,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge.
. ^zz++++=EXTRAWORD
' ^zz++++='Young
young ^jj+atrb+++=EXTRAWORD
persons ^nns++++=persons
make ^vb++++=make
a ^at++++=a
show ^nn++++=show.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
prudence ^nn+nom+++=prudence,
, ^zz++++=EXTRAWORD
foresight ^nn++++=foresight,
, ^zz++++=EXTRAWORD
supervision ^nn++++=supervision
these ^dt+dem+++=these
come ^vprf+++xvbn+=come
only ^rb+down+++=only
with ^in++++=with
years ^nns++++=years.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'And
' ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
trials ^nns++++=trials,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Blodgett ^np+++??+=Blodgett.
. ^zz++++=EXTRAWORD
" ^zz++++="'And
' ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
observation ^nn+nom+++=observation,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Miss ^npt++++=Miss
Asphyxia ^np++++=Asphyxia.
. ^zz++++=EXTRAWORD
" ^zz++++="'You,
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
, ^zz++++=EXTRAWORD
dear ^jj+atrb+++=dear
sir ^npt++++=sir,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge,
, ^zz++++=EXTRAWORD
leanin ^nn+++??+=leanin'
' ^zz++++=EXTRAWORD
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
' ^zz++++='should
should ^md+nec+++=EXTRAWORD
exercise ^vb++++=exercise
personal ^jj+atrb+++=personal
oversight ^nn++++=oversight.
. ^zz++++=EXTRAWORD
A ^at++++=A
master ^nn++++=master
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
know ^vb+vprv+++=know
the ^ati++++=the
condition ^nn+nom+++=condition
of ^in++++=of
his ^pp$+pp3+++=his
estate ^nn++++=estate.
. ^zz++++=EXTRAWORD
Livestock ^nn++++=Livestock,
, ^zz++++=EXTRAWORD
stores ^nns++++=stores,
, ^zz++++=EXTRAWORD
expenditures ^nns++++=expenditures,
, ^zz++++=EXTRAWORD
winter ^nn++++=winter
provision ^nn++++=provision
these ^dt+pdem+++=these
cannot ^md+pos+not++=cannot
safely ^rb++++=safely
be ^vb+be+aux++=be
abandoned ^vpsv++agls+xvbnx+=abandoned
to ^in++++=to
a ^at++++=a
girl ^nn++++=girl.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
parson ^nn++++=parson
looked ^vbd+++xvbn+=looked
solemn ^jj++++=solemn.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^md+prd+aux++=EXTRAWORD
never ^rb++splt++=never
thought ^vprf+++xvbnx+=thought
of ^in++++=of
himself ^ppl+pp3+++=himself
as ^in++++=as
havin ^nn+++??+=havin'
' ^zz++++=EXTRAWORD
an ^at++++=an
estate ^nn++++=estate
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
The ^ati++++=The
word ^nn++++=word
pleased ^vbd+++xvbn+=pleased
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
sounded ^vbd+++xvbn+=sounded
patriarchal ^jj++++=patriarchal,
, ^zz++++=EXTRAWORD
like ^in++++=like
Abraham ^np++++=Abraham.
. ^zz++++=EXTRAWORD
" ^zz++++="'There
' ^zz++++=EXTRAWORD
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
force ^nn++++=force
in ^in++++=in
your ^pp$+pp2+++=your
observation ^nn+nom+++=observation,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="'We
' ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=EXTRAWORD
knew ^vbd+vprv+tht0+xvbn+=knew
you ^pp2+pp2+++=you
would ^md+prd+++=would
see ^vb+vprv+tht0++=see
it ^pp3+it+++=it,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
all ^rb++++=all
went ^vbd+++xvbn+=went
away ^rp+pl+++=away
with ^in++++=with
their ^pp$+pp3+++=their
mouths ^nns++++=mouths
pursed ^vbd+++xvbn+=pursed
up ^rp++++=up
in ^in++++=in
righteousness ^nns+nom+++=righteousness.
. ^zz++++=EXTRAWORD
" ^zz++++="Next
next ^ap++++=EXTRAWORD
mornin ^nn+++??+=mornin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
parson ^nn++++=parson
says ^vbz+vpub+++=says
to ^to+vcmp+++=to
Huldy ^vb+++??+=Huldy,
, ^zz++++=EXTRAWORD
' ^zz++++='Huldah,
huldah ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
concluded ^vprf+++xvbnx+=concluded
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
incumbent ^nn++++=incumbent
upon ^in++++=upon
me ^pp1o+pp1+++=me
to ^to++++=to
acquaint ^vbi++++=acquaint
myself ^ppl+pp1+++=myself
more ^rbr++++=more
particularly ^rb++++=particularly
with ^in++++=with
temporal ^jj+atrb+++=temporal
affairs ^nns++++=affairs.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Yes,
' ^zz++++=EXTRAWORD
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
begin ^vb++++=begin
with ^in++++=with
the ^ati++++=the
poultry ^nn++++=poultry.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Yes,
' ^zz++++=EXTRAWORD
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
twinkle ^nn++++=twinkle
in ^in++++=in
her ^pp$+pp3+++=her
eye ^nn++++=eye,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
parson ^nn++++=parson
never ^rb++++=never
saw ^vbd+vprv++xvbn+=saw
twinkles ^nns+++??+=twinkles
unless ^cs+cnd+++=unless
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
in ^in++++=in
the ^ati++++=the
original ^nn+nom+++=original
